name,url,telephone,tax_num,street,locality,region,postcode,country
Grace Community Church Inc,http://,,EIN 92-0130090,6689 Changepoint Dr,Anchorage,AK,99518,USA
Anchorage Concert Foundation,http://,(907) 272-1471,EIN 92-0161542,430 W 7th Ave Ste 200,Anchorage,AK,99501,USA
Redeemed Ministries,http://,,EIN 92-0135118,PO Box 2260,Dot Lake,AK,99737,USA
Han Ma Um Zen Center Of Alaska Inc,http://,,EIN 92-0131028,1248 Medfra St,Anchorage,AK,99501,USA
Daybreak Inc,http://,(907) 746-6019,EIN 91-0109284,550 S Alaska St Ste 208,Palmer,AK,99645,USA
Interior Youth Basketball Inc,http://www.interioryouthbasketball.com,(907) 457-4492,EIN 92-0101376,Po Box 74317,Fairbanks,AK,99707,USA
Spring Brook Church Of Christ,http://,,EIN 23-7304459,Spring Brook Drive,Eagle River,AK,99577,USA
Mendenhall River Community School Parent Teacher Organization,http://www.akpta.org,,EIN 94-3127066,10014 Crazy Horse Dr,Juneau,AK,99801,USA
University Of Christian Studies & Seminary,http://,,EIN 92-0152016,Po Box 770454,Eagle River,AK,99577,USA
Pta Alaska,http://www.akpta.org,,EIN 92-0138814,1049 E Poppy Ln,Soldotna,AK,99669,USA
Alaska Council Of Teachers Of Mathematics,http://,,EIN 94-3035278,Po Box 877618,Wasilla,AK,99687,USA
Real Alaskan Alpine Club,http://,,EIN 92-0085127,1957 Weston Dr,Fairbanks,AK,99709,USA
"Civil Air Patrol, Inc.",http://www.capnhq.gov/,,EIN 92-0149651,P O Box 559,Glenallen,AK,99588,USA
North Slope Baptist Mission Inc,http://,,EIN 94-3048802,Po Box 203,Pt Hope,AK,99766,USA
Last Frontier Toastmasters Club,http://,,EIN 92-0160668,750 Cope Industrial Way,Palmer,AK,99645,USA
Seward Association For The Advancement Of Marine Science,http://www.alaskasealife.org,(907) 224-6300,EIN 92-0132479,Po Box 1329,Seward,AK,99664,USA
Alaska Multiple Sclerosis Center Inc,http://,,EIN 20-1966870,3300 Providence Dr Ste B 04,Anchorage,AK,99508,USA
Pier One Theatre Inc,http://pieronetheatre.org,(907) 235-7333,EIN 23-7448364,Po Box 894,Homer,AK,99603,USA
Anchorage Community Education Advisory Board Inc,http://,,EIN 51-0189312,PO Box 112387,Anchorage,AK,99511,USA
Circle District Historical Society,http://,,EIN 92-0074363,Po Box 30189,Central,AK,99730,USA
"Rosemary Hubbell Wirkus Memory Disorder Residential Facility, Inc.",http://,,EIN 65-0440591,PO Box 671325,Chugiak,AK,99567,USA
North Star Council On Aging Inc,http://,,EIN 92-0037749,1424 Moore St,Fairbanks,AK,99701,USA
Seward Polar Bear Jumpoff Festival Inc,http://,,EIN 92-0132023,Po Box 386,Seward,AK,99664,USA
Alaska Scottish Ritecare Foundation,http://,,EIN 92-0110302,518 East 14th Avenue Suite 5,Anchorage,AK,99501,USA
Volunteers Of America Inc,http://,,EIN 74-2240098,509 W 3rd Ave Ste 103,Anchorage,AK,99501,USA
Bayshore Parent-Teacher Association Pta,http://www.akpta.org,(907) 742-5360,EIN 92-0119698,10500 Bayshore Dr,Anchorage,AK,99515,USA
Copper Valley Community Library Association,http://,,EIN 92-6010355,Po Box 173,Glennallen,AK,99588,USA
First Prebyterian Church,http://,,EIN 92-0024336,505 Sawmill Creek Rd,Sitka,AK,99835,USA
International Reading Association Inc,http://,,EIN 92-6003048,1851 Blackburn Way,North Pole,AK,99705,USA
Supporters Of Slingerland,http://,,EIN 92-0088319,1422 Demure Pl,Anchorage,AK,99508,USA
Alert Alaska,http://,,EIN 92-0138490,600 Burrow St Ste 404,Anchorage,AK,99501,USA
Alaska Pta,http://www.alaska.net/~akpta/,,EIN 92-0088246,1004 W Tudor Rd,Anchorage,AK,99503,USA
Light Of The World Tabernacle Church Inc,http://,,EIN 92-0143098,Po Box 202009,Anchorage,AK,99520,USA
Anchorage Festival Of Music,http://www.anchoragefestivalofmusic.org,(907) 276-2465,EIN 74-1936296,Po Box 100272,Anchorage,AK,99510,USA
Kachemak Swim Club Assoc,http://,,EIN 94-3076126,Po Box 578,Homer,AK,99603,USA
Benton Bay Athletic Lions Club Foun Dation,http://,(907) 345-3737,EIN 94-3057694,Po Box 91395,Anchorage,AK,99509,USA
Share The Spirit,http://,,EIN 92-0157475,Po Box 3218,Homer,AK,99603,USA
Alaska Museum Of Science And Nature,http://,,EIN 92-0138658,201 N Bragaw St,Anchorage,AK,99508,USA
Alaska Center For Land Reform Inc,http://,,EIN 92-0163260,Po Box 91539,Anchorage,AK,99509,USA
Martin Luther King Jr Foundation Of Alaska Inc,http://,,EIN 92-0117946,Po Box 200156,Anchorage,AK,99520,USA
Downtown Soup Kitchen,http://www.downtownsoupkitchen.org,(907) 277-4302,EIN 92-0141715,Po Box 202684,Anchorage,AK,99520,USA
Sitka-Edgecumbe Youth Football Inc,http://,,EIN 92-0160198,PO Box 1891,Sitka,AK,99835,USA
National Spiritual Assembly Of The Bahais Of Alaska Assembly Of Homer,http://,,EIN 92-0075263,Po Box 713,Homer,AK,99603,USA
Alaska Buddhist Society-Hwei Yuan Town,http://,,EIN 92-0130836,12810 Mission Cir,Anchorage,AK,99516,USA
Cook Inlet Soccer Club,http://www.ciscsoccer.org,,EIN 94-3055547,9210 Vanguard Dr Ste 102b,Anchorage,AK,99507,USA
Mccarthy Area Council,http://,,EIN 92-0155556,Po Box Mxy,Glennallen,AK,99588,USA
Juneau-Douglas High School Fast Break Club Inc,http://,,EIN 92-0152539,1013 Wee Burn Dr,Juneau,AK,99801,USA
Child Evangelism Fellowship Inc,http://www.cefalaska.com,(907) 262-9605,EIN 92-0038207,43687 Kalifornsky Beach Rd,Soldotna,AK,99669,USA
Girdwood 2020,http://,,EIN 92-0173178,Po Box 1102,Girdwood,AK,99587,USA
Perseverance Theatre Incorporated,http://www.perseverancetheatre.org,(907) 364-2421,EIN 92-0071124,914 3rd St,Douglas,AK,99824,USA
Forget Me Not Mission II,http://www.forgetmenotmission.com,(907) 978-7809,EIN 26-3848831,5068 W Pinnacle Ridge Cir,Wasilla,AK,99654,USA
Jubilee Worship Center,http://,,EIN 92-0086051,541 3rd St,Fairbanks,AK,99701,USA
Baxter Bible Church Efca,http://,,EIN 92-0081408,3600 Baxter Rd,Anchorage,AK,99504,USA
Green Star of Interior Alaska,http://www.iagreenstar.org,907-452-4152,EIN 92-0163048,PO Box 82391,Fairbanks,AK,99708,USA
North Star Youth Court,http://www.nsyc.org,(907) 457-6792,EIN 91-1823580,PO Box 82147,Fairbanks,AK,99708,USA
Afghan Child Project,http://,,EIN 27-1816505,645 G St Ste 100,Anchorage,AK,99501,USA
Alaska Baptist Convention Inc,http://,,EIN 92-6001032,1750 Omalley Rd,Anchorage,AK,99507,USA
"Petersburg Senior Nutrition, Inc.",http://,,EIN 92-0080411,PO Box 1330,Petersburg,AK,99833,USA
Pta Alaska Pt Higgins,http://www.alaska.net/~akpta/,,EIN 92-0143484,Point Higgins PTA 981 N Pt Higgins Rd,Ketchikan,AK,99901,USA
National Committee On Planned Giving Inc,http://,,EIN 92-0157486,3900 Borland Dr,Anchorage,AK,99517,USA
"Ronald Gribble Memorial Scholarship Fund, Inc.",http://,,EIN 92-0163342,PO Box 1206,Homer,AK,99603,USA
Anchorage Waldorf Education Association Inc,http://waldorfak.org,(907) 770-2956,EIN 92-0132913,3250 Baxter Rd,Anchorage,AK,99504,USA
Alaska Regional Hospital Auxiliary,http://,,EIN 92-0031390,1200 Airport Heights Road,Anchorage,AK,99508,USA
Family Bible Fellowship And Academy,http://,(907) 262-8741,EIN 86-0779111,Po Box 2763,Soldotna,AK,99669,USA
Sterling Lutheran Church Inc,http://,,EIN 94-3177371,35070 Mccall Rd,Sterling,AK,99672,USA
Far North Missionary Fellowship Inc,http://,,EIN 23-7096932,Po Box 80768,Fairbanks,AK,99708,USA
Brave Heart Volunteers,http://www.braveheartvolunteers.org,(907) 747-4600,EIN 73-1639840,120 Katlian Street P.O. Box 6336,Sitka,AK,99835,USA
Habitat For Humanity International Inc,http://www.hfhanchorage.org,(907) 272-0800,EIN 92-0140434,1057 W Fireweed Ln Ste 103,Anchorage,AK,99503,USA
American Friends Of Claremont Fan Court School,http://,,EIN 98-0125932,46040 Ciechanski Rd,Kenai,AK,99611,USA
Womens International Bowling Congress Inc,http://,,EIN 92-0058160,512 Marshall Dr,Fairbanks,AK,99712,USA
Challenge Alaska,http://,,EIN 92-0080897,3350 Commercial Dr Ste 208,Anchorage,AK,99501,USA
Sitka Counseling & Prevention Services Inc,http://scpsak.org,(907) 747-1417,EIN 91-1833550,113 Metlakatla St,Sitka,AK,99835,USA
Spiritual Assembly Of The Bahais Of Revilla Island,http://,,EIN 92-0084034,87 Chacon St,Ketchikan,AK,99901,USA
Southcentral Foundation,http://www.scf.cc,(907) 729-4955,EIN 92-0086076,7033 E Tudor Rd,Anchorage,AK,99507,USA
Until That Day Church,http://,,EIN 92-0143531,Po Box 770454,Eagle River,AK,99577,USA
Safari Club International Foundation,http://,,EIN 92-0150802,P.O. Box 71747,Fairbanks,AK,99707,USA
Lighthouse Community Christian School,http://,,EIN 92-0156058,PO Box 58553,Fairbanks,AK,99711,USA
Wrangell Mountains Center,http://www.wrangells.org,,EIN 92-0117864,Po Box 142972,Anchorage,AK,99514,USA
Denali Bible Chapel Inc,http://,,EIN 92-6003070,1201 Lathrop St,Fairbanks,AK,99701,USA
Children's Surgical Centre,http://www.csc.org,(907) 486-6974,EIN 71-0897496,PO Box 2545,Kodiak,AK,99615,USA
Wasilla Youth Baseball,http://wasillayouthbaseball.com,,EIN 51-0256020,Po Box 870714,Wasilla,AK,99687,USA
Abbott Loop Community Chapel Incorporated,http://,,EIN 92-0040271,2626 Abbott Rd,Anchorage,AK,99507,USA
Talkeetna Bible Church,http://,,EIN 92-0089760,Po Box 72,Talkeetna,AK,99676,USA
Alaska Ostomy Association,http://,,EIN 51-0189323,3332 Purdue St,Anchorage,AK,99508,USA
Beautiful Savior Lutheran Church,http://,,EIN 92-0093178,8100 Arctic Blvd,Anchorage,AK,99518,USA
General Teamsters Local 959 Jesse L Carr Charity Fund,http://,,EIN 92-0133751,520 E 34th Ave Ste 102,Anchorage,AK,99503,USA
Alaska Addiction Rehabilitation Services,http://nugensranchak.org,(907) 376-4534,EIN 92-0065231,Po Box 871545,Wasilla,AK,99687,USA
North Gulf Oceanic Society,http://,(907) 235-6590,EIN 92-0085763,3430 Main St Ste B1,Homer,AK,99603,USA
Auke Bay Bible Church Of Auke Bay Alaska,http://,,EIN 23-7069632,Po Box 210116,Auke Bay,AK,99821,USA
Sonshine House Daycare And Preschool,http://,,EIN 92-0162130,185 Shady Lane,Soldotna,AK,99669,USA
Alaska Tennis Association Inc,http://,,EIN 92-0145679,Po Box 140673,Anchorage,AK,99514,USA
Senior Citizens Support Services Inc,http://,(907) 586-3132,EIN 92-0137026,Po Box 20022,Juneau,AK,99802,USA
Alaska Public Interest Research Group Inc,http://,(907) 258-3650,EIN 92-0047627,Po Box 220411,Anchorage,AK,99522,USA
Xi Lambda Chapter X3191,http://,,EIN 92-0154811,5861 Chisana Way,Anchorage,AK,99516,USA
ALASKA WORLD AFFAIRS COUNCIL,http://www.alaskaworldaffairs.org,907-276-8038,EIN 92-6002686,"406 G Street,  Suite 207",Anchorage,AK,99501,USA
Toughlove Of Kodiak Island,http://,,EIN 92-0159144,1412 Mill Bay Rd,Kodiak,AK,99615,USA
Anchorage Bible Fellowship,http://,,EIN 92-0069492,7348 Elmore Rd,Anchorage,AK,99507,USA
Palmer Economic Development Authority,http://,(907) 355-5098,EIN 92-0151740,Po Box 2865,Palmer,AK,99645,USA
Alaska Bird Club,http://,,EIN 92-0134866,Po Box 101825,Anchorage,AK,99510,USA
ALASKA COMMUNITY ACTION ON TOXICS,http://www.akaction.org,(907) 222-7714,EIN 92-0177082,505 W Northern Lights Blvd Ste 205,Anchorage,AK,99503,USA
Ministry Of The Living Stones Incorporated,http://,,EIN 92-0130307,32930 Fair Game Avenue,Sterling,AK,99672,USA
Kenai Peninsula Fair Association,http://kenaipeninsulafair.org,(907) 567-3670,EIN 27-0502341,16200 Sterling Hwy,Ninilchik,AK,99639,USA
"Touch Of Class Cat Club, Inc.",http://,,EIN 82-0117718,943 W 6th Ave 110,Anchorage,AK,99501,USA
Douglas Island Pink And Chum Incorporated,http://www.dipac.net,(907) 463-5113,EIN 92-0060815,2697 Channel Dr,Juneau,AK,99801,USA
United Way Of Matanuska-Susitna Borough,http://www.unitedwaymatsu.org,(907) 373-5807,EIN 92-0126154,Po Box 872485,Wasilla,AK,99687,USA
Friends Of Alaska Casa,http://,,EIN 92-0133200,Po Box 242484,Anchorage,AK,99524,USA
Play N Learn Center Inc,http://www.thrivalaska.com,(907) 479-0900,EIN 92-0047999,1949 Gillam Way Ste F,Fairbanks,AK,99701,USA
Terminal Radio Inc,http://,,EIN 92-0088295,Po Box 467,Valdez,AK,99686,USA
Barrow Search And Rescue Inc,http://,,EIN 92-0109811,Po Box 565,Barrow,AK,99723,USA
Fairbanks Rescue Mission Inc,http://www.fairbanksresceumission.org,,EIN 23-7326856,Po Box 73250,Fairbanks,AK,99707,USA
Food Bank of Alaska,http://www.foodbankofalaska.org,(907) 272-3663,EIN 92-0073175,2121 Spar Ave,Anchorage,AK,99501,USA
Arcturus Composite Squadron Civil Air Patrol,http://www.capnhq.gov/,,EIN 92-0148283,P O Box 92,Elmendorf AFB,AK,99506,USA
Valdez Museum And Historical Archive Association Incorporated,http://valdezmuseum.org,(907) 835-2764,EIN 92-0159463,Po Box 8,Valdez,AK,99686,USA
Greater Sitka Arts Council Inc,http://thinkartthinksitka.com,,EIN 23-7279104,Po Box 564,Sitka,AK,99835,USA
National Spiritual Assembly Of The Bahais Of Alaska Assembly Of Hoona,http://,,EIN 92-0075264,Gen Del,Hoonah,AK,99829,USA
REACH,http://www.reachak.org,(907) 586-8228,EIN 92-0070127,213 3rd Skeet,Juneau,AK,99801,USA
National Spiritual Assembly Of The Bahais Of Alaska Savoonga,http://,,EIN 92-0084035,Po Box 134,Savoonga,AK,99769,USA
Aglow International,http://,,EIN 92-0163880,PO Box 876,Seward,AK,99664,USA
National Society Of The Daughters Of The American Revolution,http://,,EIN 23-7027800,Po Box 240611,Anchorage,AK,99524,USA
Alaska Native Justice Center Inc,http://www.anjc.org,(907) 793-3550,EIN 92-0145727,3600 San Jeronimo Dr Ste 264,Anchorage,AK,99508,USA
Anchorage Mennonite Fellowship,http://,,EIN 92-0095433,1013 W 16th Ave,Anchorage,AK,99501,USA
Heritage Bible Fellowship,http://,,EIN 92-0115666,Po Box 3262,Homer,AK,99603,USA
Anchorage Horse Council Inc,http://www.anchoragehorsecouncil.com,(907) 522-1552,EIN 92-0099876,Po Box 112195,Anchorage,AK,99511,USA
Birch Ridge Community Church,http://,,EIN 92-0114261,33325 Echo Lake Road,Soldotna,AK,99669,USA
Palmer Hockey Association,http://,,EIN 94-3107362,Po Box 1471,Palmer,AK,99645,USA
Affinity Films Inc,http://www.affinityfilms.org,,EIN 92-0082476,Po Box 91182,Anchorage,AK,99509,USA
Ascent Russian Orphan Aid Foundation,http://www.iOrphan.org,,EIN 91-2192371,PO Box 1305,Anchorage,AK,99645,USA
Toughlove International,http://,,EIN 92-0163210,3721 Portage Blvd,Juneau,AK,99801,USA
Stuart Lutton Scholarship Fund,http://,,EIN 92-0147551,Po Box 2852,Kodiak,AK,99615,USA
Anchorage Neighborhood Housing Services Inc,http://www.nwalaska.org,(907) 677-8490,EIN 92-0082642,2515 A St,Anchorage,AK,99503,USA
Sunshine Community Health Center Inc,http://www.sunshineclinic.org,(907) 733-2273,EIN 92-0117838,Hc 89 Box 8190,Talkeetna,AK,99676,USA
Prince William Sound Aquaculture Corp,http://www.pwsac.com,(907) 424-7511,EIN 92-0047772,Po Box 1110,Cordova,AK,99574,USA
Alaska Native Medical Center Auxiliary Inc,http://,,EIN 92-0055126,4315 Diplomacy Dr,Anchorage,AK,99508,USA
American Guild Of Organists,http://,,EIN 92-0094320,808 N Mccavit Ln,Wasilla,AK,99654,USA
Talkeetna Christian Center,http://,,EIN 92-0059879,Po Box 282,Talkeetna,AK,99676,USA
Wasilla Ministries Inc,http://,,EIN 92-0133462,2600 Ptarmigan Pl,Wasilla,AK,99654,USA
Petersburg Arts Council,http://,,EIN 23-7237812,Po Box 1648,Petersburg,AK,99833,USA
Mustang Hockey Association,http://,,EIN 92-0097188,Po Box 773904,Eagle River,AK,99577,USA
Alaska Arts Southeast Inc,http://www.fineartscamp.org,907-747-3085,EIN 23-7240278,PO Box 3086,Sitka,AK,99835,USA
Christian Pilots Association Of Alaska Inc,http://,,EIN 92-0076019,12145 Avion St,Anchorage,AK,99516,USA
Alaskas Healing Hearts,http://,(907) 232-1527,EIN 27-4036000,Po Box 876061,Wasilla,AK,99687,USA
Association For The Severly Handicapped,http://,,EIN 92-0147958,3500 Walker Cir,Anchorage,AK,99502,USA
Friends Of Recycling,http://,,EIN 92-0165523,Po Box 822,Haines,AK,99827,USA
Friends Of The Tanana Valley Railroad Inc,http://,,EIN 92-0143398,Po Box 84498,Fairbanks,AK,99708,USA
Peace Feather,http://,,EIN 92-0147418,PO Box 2085,Homer,AK,99603,USA
Wasilla-Kink Historical Society,http://www.wkhsociety.org,(907) 376-2005,EIN 92-0058042,300 N Boundary St,Wasilla,AK,99654,USA
Friends of the Campbell Creek Science Center,http://www.friendsofcampbellcreek.org,(907) 267-1254,EIN 20-3140552,5600 Science Center Drive,Anchorage,AK,99507,USA
ALASKA FINE ARTS ACADEMY,http://,,EIN 92-0103270,12340 Old Glenn Hwy Ste 200,Eagle River,AK,99577,USA
Alaska Joint Electrical Apprenticeship And Training Trust,http://ajeatt.org,(907) 337-9500,EIN 92-0081203,5800 B St,Anchorage,AK,99518,USA
Indigenous Messengers International,http://,,EIN 92-0163822,1231 Northern Lights Blvd 431,Anchorage,AK,99503,USA
Northern Lights Swim Club Boosters,http://,,EIN 92-0132684,Po Box 110754,Anchorage,AK,99511,USA
Tanana Chiefs Conference,http://www.tananachiefs.org,(907) 452-8251,EIN 92-0040308,112 First Avenue,Fairbanks,AK,99701,USA
BREAD LINE INC,http://www.stonesoupcafe.org,(907) 452-1974,EIN 92-0111082,Po Box 73715,Fairbanks,AK,99707,USA
Road Runners Club Of America,http://anchoragerunningclub.org,(907) 277-2431,EIN 92-0085126,Po Box 243362,Anchorage,AK,99524,USA
Christian Mission Ministry Inc,http://,,EIN 20-8762418,Po Box 2622,Seward,AK,99664,USA
Alaska Celebrates,http://,,EIN 94-3117886,PO Box 109,Soldotna,AK,99669,USA
Lynn Canal Medical Corp.,http://,,EIN 92-0131507,PO Box 1549,Haines,AK,99827,USA
Anchorage Zen Community Inc,http://,,EIN 92-0156131,900 W 5th Ave,Anchorage,AK,99501,USA
Anchorage Youth Soccer Club Inc,http://anchorageyouthsoccer.org,(907) 563-9143,EIN 92-0132118,1225 E International Airport Rd,Anchorage,AK,99518,USA
The Anchorage Daily News Neighbor To Neighbor,http://,,EIN 92-0107674,PO Box 149001,Anchorage,AK,99514,USA
Church Of The Living God,http://,,EIN 94-3140267,501 W International Airport Rd 18,Anchorage,AK,99518,USA
HANNAH MINISTRIES INC,http://,,EIN 06-1737303,Hc 34 Box 2732,Wasilla,AK,99654,USA
Alaska Association For Historic Preservation Inc,http://www.aahp-online.net,(907) 929-9870,EIN 92-0085097,Po Box 102205,Anchorage,AK,99510,USA
Ketchikan Youth Soccer League Inc,http://,,EIN 92-0133187,Po Box 5271,Ketchikan,AK,99901,USA
Tundra Tykes Incorporated,http://,,EIN 92-0143472,750 D St,Anchorage,AK,99501,USA
Anchorage Post Society Of American Military Engineers Benjamin B,http://www.sameanchorage.org/,(907) 563-3835,EIN 92-0162011,Po Box 6409,Jber,AK,99506,USA
"South Kachemak Corp., Inc.",http://,,EIN 92-0072108,PO Box 197,Seldovia,AK,99663,USA
