name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	The China Care Program		Half the Skys Nurture and Education Programs	The Youth Empowerment Program
Safe Futures Inc	http://	(860) 447-0366	EIN 06-0950718	16 Jay St	New London	CT	06320	USA	Domestic Violence, Family Violence Shelters, Homeless & Housing	To save lives, restore hope, and change the future for those impacted by domestic violence and sexual assault in southeastern connecticut.					Transitioned approximately 36 women and children, who were homeless and survivors of domestic violence, to independent living, free from domestic violence within 24 months, by providing safe, afordable housing and supportive services that develop self-esteem and self-reliance.   provided approximately 5,969 victims/survivors of domestic violence and sexual assault emergency assistance and support, including two (2) 24-hour hotlines, crisis intervention services, general advocacy, safety planning, court-based advocacy, support groups, information and referrals, and supportive services.   provided approximately 131 women, children and men, fleeing a domestic violence situation, with safe, confidential, emergency shelter; food, clothing, and personal care items; crisis intervention services; case management; advocacy; and supportive services.   provided approximately 21,274 units of school-based violence prevention education to approximately 3,503 students in approximately 21 elementary/middle/high schools and 1 church. In addition, we provided other training, community awareness, and educational programs and activities to another approximately 3,867 individuals from the community in order to increase their understanding of issues related to the dynamics of domestic violence and sexual assault, services available for victims and survivors and their families/friends, and strategies for prevention.				
Pta Connecticut Congress	http://		EIN 06-1348008	490 Highland Ave	Cheshire	CT	06410	USA	Education, Parent & Teacher Groups										
Artreach, Inc.	http://www.artreachheals.org	860-887-0014	EIN 22-2921497	401 W. Thames St. Unit 702	Norwich	CT	06360	USA		Artreach, Inc. is a nonprofit mental health organization employing the arts, recreation and wellness activities to aid in the recovery and community integration of low-income adults with chronic mental illnesses. Our goals are to:      * Through artistic, cultural, recreational and wellness activities, encourage members to acquire and actively implement into their lives socialization and stress reduction skills necessary to build self confidence and increase the chance of sustaining recovery.     * Challenge the myths and misconceptions that stigmatize people with mental illnesses so that members can successfully integrate into the community.     * Expand the community based recreational opportunities available to people who have persistent mental illnesses to reduce their sense of isolation.		Adults 18 - 98 who have been diagnosed with psychiatric disorders, their families and friends.  Through performances, we also reach people nationwide to increase positive perceptions about people who have mental illnesses.			The Second Step Players, Stand Up For Mental Health CT, Artreach Holistic Wellness Program, Artreach Recreation for Recovery, Artreach Artistic Development				
Strays & Others Inc	http://www.straysandothers.petfinder.com	203-966-6556	EIN 06-1205549	PO Box 473	New Canaan	CT	06840	USA	Animal Protection & Welfare, Animals	Strays & Others, Inc. is a volunteer-run, 501(c)3, Fairfield County based, nonprofit organization dedicated to the rescue and responsible placement of homeless and unwanted animals.  Founded in 1985, the organization provides both refuge and sanctuary for nearly 50 animals at any given time; offers medical care, spaying and neutering, good nutrition in nurturing environments; and has placed over 4,450 animals into loving, permanent homes.  The main focus is on dogs and cats, although the group has been known to help a wide variety of animals in need including: domestic birds, waterfowl, assorted wildlife, and three horses in need!    Strays & Others is also known for its unusually high success rate in matching each animal with the best suitable home - 96% stay in their adoptive homes forever!  The group is currently seeking foster homes, volunteers, direct animal care, fundraising, marketing and creative input!		homeless and abandoned animals	more than 200 animals including cats, dogs, wildlife and one horse!	the Fairfield County area of Connecticut and bordering Westchester County, NY	Adoptions, Low Cost Spay/Neutering, Senior Support, Humane Education, Emergency Rescue and a Sanctuary Program.				
Lebanon Bible Church	http://		EIN 06-1317672	Po Box 148	Lebanon	CT	06249	USA											
MOURNING PARENTS ACT, INC. -- !MPACT	http://www.mourningparentsact.org/	860-742-8933	EIN 20-0645138	PO Box 599	Coventry	CT	06238	USA	Disaster Aid, Safety Education	Mourning Parents ACT, Inc., also known as !MPACT, is a nonprofit organization whose mission is to eliminate tragedies caused by inexperienced drivers through awareness, education and legislation.									
All Our Kin	http://www.allourkin.org	203-772-2294	EIN 06-1539280	PO Box 8477	New Haven	CT	06530	USA	Education, Vocational & Technical Schools	All Our Kin, Inc., is a nationally-recognized, New Haven-based nonprofit organization that trains, supports, and sustains community child care providers in order to ensure that children and families have the foundation they need to succeed in school and in life. Our vision: all children, regardless of where they live, their racial or ethnic background, or how much money their parents earn, will begin their lives with all the advantages, all the tools, and all the experiences that we, as a society, are capable of giving them.And All Our Kin works to achieve that vision on many different levels at the same time. We make it possible for children to receive the excellent foundational early learning experiences they need and deserve. We furnish working parents with the resources to find and keep high-quality child care. We equip caregivers with the skills and resources to move out of poverty and open child care businesses in their communities. And we invest in neighborhoods, by building the capacity, quality, and viability of local child care businesses.				Connecticut	Family, friend and neighbor caregivers provide much of the daily child care to families in low-income neighborhoods. Through the Toolkit project, All Our Kin provides materials, mentorship and support to help these unlicensed caregivers meet health and safety standards, fulfill state licensing requirements, and become part of a professional community of child care providers. In this incentive-based project, caregivers receive boxes of useful resources and goodies, which gradually increase in value, as they move through the licensing process. Each box contains the necessary paperwork for each step towards licensure, as well as health and safety supplies; educational supplies such as quality childrens books, blocks, and art materials; and vouchers for training.				
Liz Baldino Memorial Fund	http://		EIN 06-1325304	504 Carrington Rd	Bethany	CT	06524	USA											
Thirty Thirty Park Inc	http://		EIN 06-6107772	3030 Park Ave	Bridgeport	CT	06604	USA	Homeless & Housing, Housing & Shelter										
Our Companions Domestic Animal Sanctuary Inc	http://www.ourcompanions.org	(860) 242-9999	EIN 41-2047734	Po Box 956	Manchester	CT	06045	USA	Animal Protection & Welfare, Animals	Our companions is an animal rescue organization that is committed to doing the right thing for animals, regardless of the cost or challenge. Our companions offers programs to help animals in need today, while working to prevent animals from becoming homeless tomorrow. Our companions provides its services through its valerie friedman program center in manchester, ct and a 43 acres animal sanctuary in ashford, ct.					Our companions operates an animal sanctuary in ashford, ct where animals are cared for and rehabilitated in a cage-free, home-like environment while they await new homes. Our companions also operates its valerie friedman program center in manchester, ct which provides dog training and other canine behavioral programs, programs that facilitate the sterilization and care for feral cats, volunteer programs, educational programs and monthly meet and greet events featuring adoptable animals and community partners.				
John L Starks Foundation Inc	http://www.johnstarks.com	(203) 322-7788	EIN 73-1438056	1127 High Ridge Road No 331	Stamford	CT	06905	USA	Amateur Sports, Sports	The foundation provides monetary grants to new york, connecticut, new jersey and tulsa area high school students who demonstrate academic achievement and a commitment to community service but lack the financial means to pursue a college education. In addition, from time to time, the foundation will provide financial assistance to other non-profits and community organizations whose primary focus is to further the educational, recreational and social development of children and families.					Provide scholarships for high school seniors' secondary education based on financial need and academic performance. Donations were made to various non profits whose mission and goals are compatible with the john l. Starks foundation.				
Compassionate Friends, Inc.	http://		EIN 36-3725400	55 Sherwood Dr	Torrington	CT	06790	USA											
Save the Children Federation, Inc.	http://www.savethechildren.org/	1-800-728-3843	EIN 06-0726487	501 Kings Highway East Suite 400	Fairfield	CT	06825	USA	Disaster Aid, Disaster Preparedness & Relief Services, International, International Relief, Refugees, Zika Virus	Save the Children invests in childhood  every day, in times of crisis and for our future. In the United States and around the world, we are dedicated to ensuring every child has the best chance for success. Our pioneering programs give children a healthy start, the opportunity to learn and protection from harm. Our advocacy efforts provide a voice for children who cannot speak for themselves. As the leading expert on children, we inspire and achieve lasting impact for millions of the worlds most vulnerable girls and boys. By transforming childrens lives now, we change the course of their future and ours.		children	143 million children in 120 countries, through the Save the Children global movement	the U.S. and around the world	education, nutrition, health, child protection and disaster relief - in the United States and around the world.				
Harc, Inc.	http://www.harc-ct.org	(860) 218-6000	EIN 06-0710289	900  Asylum Ave Ms#1002	Hartford	CT	06105	USA	Developmentally Disabled Centers, Disabilities, Human Service Organizations, Job Training, Vocational Rehabilitation	HARC was founded in 1951 by parents and friends of children with intellectual disability.  At that time few community programs were available and children were almost always referred to an institution.  Throughout the years HARC maintains a family focus in both its array of programs and governance structure.  Raising children is among life?s greatest joys and privileges.  Creating new family visions and meeting their unanticipated challenges associated with developmental disabilities are achieved with HARC?s help.  Our mission is to help people with intellectual and related disabilities and their families enjoy lives of quality, inclusion and dignity by providing support, education, and advocacy.		those with Intellectual and related disabilities	2,500	Hartford CT	arts, life enrichment, supported employment, Camp Bulova, Birth to Three program				
Multiple Myeloma Research Foundation, Inc.	http://www.themmrf.org	203-229-0464	EIN 06-1504413	383 Main Avenue 5th Floor	Norwalk	CT	06851	USA	Cancer, Cancer Research, Health, Nerve, Muscle & Bone Diseases	The Multiple Myeloma Research Foundation, Inc. is the world''s largest private funder of myeloma research. It''s mission: To accelerate the search for a cure for multiple myeloma. To achieve this purpose, four goals are pursued: Funding research in the field of multiple myeloma, building collaborations among researchers and industry, providing disease and treatment related information to patients and family members while advocating for optimal patient care, and raising awareness of multiple myeloma.  The MMRF was started by Karen Andrews after her twin sister Kathy Giusti was diagnosed with MM at age 37. Both sisters were shocked by the lack of awareness and research funding for this incurable cancer and were determined to help find a cure.	By working closely with researchers, clinicians and our partners in the biotech and pharmaceutical industry, we helped bring multiple myeloma patients six new treatments in one decade that are extending lives around the globe. We are now at a turning point where we have the knowledge, the team and the tools to build upon this success and advance the next generation of treatments.   We are reaching incredible milestones in advancing our innovative research portfolio of basic science, validation, and clinical trials programs to ensure that better, more effective treatments are brought to patients as soon as possible.				The mission of the MMRF is to relentlessly pursue innovative means that accelerate the development of next-generation multiple myeloma treatments to extend the lives of patients and lead to a cure. As the world's number-one private funder of multiple myeloma research, the MMRF has raised over $225 million since its inception and directs 90% of total budget to research and related programming.				
'r kids Family Center	http://www.rkidsct.org	(203) 865-5437	EIN 06-1453694	45 Dixwell Ave	New Haven	CT	06511	USA	Adoption, Children & Youth	The 'r kids Family Center mission is to provide specialized, quality services to children and families in transition. Our objective is to promote permanency, safety and stability for children by providing nurturing services to biological, foster, adoptive and relative care families.					Working with Department of Children and Families referred clients, 'r kids works with families who have been separated from their children. The goal is to provide intensive support services to allow for permanency either within the birth home, the relative care or adoptive home. Staff provide initially center based supervised visitation and individualized parenting support .Additionally assessment and treatment planning services are provided. The provision of unsupervised and in-home visits occurs for those families who have a plan of reunification. If reunification is not the goal, staff prepairs the families and children for a permanent out-of - home placement. Staff provide children with programming to meet specific individual needs, including referrals and transitional planning and support. Our services are on-going and multi-faceted, singularly geared toward the timely implementation and support of effective permanency plans.				
Connecticut Humane Society	http://www.cthumane.org	(860) 594-4502	EIN 06-0667605	701 Russell Rd	Newington	CT	06111	USA	Animal Protection & Welfare, Animals	The connecticut humane society is the leading resource in the state for companion animal welfare; enriching the lives of families and communities through adoption services, medical care, education, and prevention of cruelty.					Animal rescue, protection, and adoption - the connecticut humane society operates three animal care and adoption centers and a full service donor subsidized veterinary clinic. Companion animals are surrendered for adoption by owners, taken in from law enforcement and rescued from partner animal sheltering organizations. Rehoming activities and veterinary care to underserved pet owners help to prevent animal suffering, reduce euthanasia, and other forms of animal cruelty and neglect. Pets receive food, shelter, medical care and emotional support from professional staff and more than 380 volunteers. Through educational efforts with our nearly 17,000 pet owning clients as well as our legislative efforts to enact stronger anti-cruelty laws, we strive to reduce and prevent harm to companion animals in connecticut.   fox memorial clinic - the animal clinic program provides subsidized veterinary services to animals whose owners can not afford care for their animals. During 2014, the program provided more than 17,682 services to animals inlcuding 1,436 spay-neuters.   humane education - the humane education program hosts training workshops for municipal animal control officers and other shelter/rescue groups, conducts facility tours to community groups where they learn about shelter operations and runs dog obedience classes for pet owners.   community outreach				
Shakespeare On The Sound Inc	http://www.shakespeareonthesound.org	(203) 299-1300	EIN 06-1437037	Po Box 15	Norwalk	CT	06853	USA	Arts & Culture, Theater	To produce free, professional open air productions of the plays of william shakespeare, and to provide educational outreach programs for the community.					Theatre production - "the two gentlemen of verona" by william shakespeare - open air production held in rowayton - +-7,500 attendees benefited from the production.   educational outreach programs for schools, libraries, adult centers, and other community organizations in the greater fairfield county area.   to produce free, professional open-air productions of the plays of william shakespeare, and to provide educational outreach programs for the community.				
Prospect Congregational Church, UCC	http://www.prospectctucc.org	203-758-4872	EIN 	25 Center St.	Prospect	CT	06712	USA		They have been saying to one another, Who will roll away the stone for us from the entrance to the tomb?  Mark 16:3  The mission of our church shall be to promote faith, discipleship, justice and peace on earth; and to bear witness to the rolling away of the stone of worldly darkness, to let the light of His resurrection shine upon ourselves, and our fellowship.  As He has rolled away the stone for us, so let us roll away the stone of worldly darkness for those around us, letting the light of His resurrection shine upon them as it shines upon us and our fellowship.		All are Welcome!							
Slant Of Light Theater Company	http://		EIN 94-3473270	38 Buckingham Pl	Norwalk	CT	06851	USA	Arts & Culture, Theater										
Netpets Inc	http://www.netpets.org		EIN 58-2307874	Po Box 1187	Southbury	CT	06488	USA	Animal Protection & Welfare, Animal-Related, Animals, Military & Veterans Organizations, Veterans	NetPets.Org was originally created to offer aid and benefit our pets through education and awareness. To provide information both informative and educational. To offer the owners, breeders and pet lovers a better understanding of their responsibilities and obligations to the pets. Assist all the pet related non and not for profit organizations by offering free listing of their websites in order to give them a better presence on the Internet. On 9/19/2010 started the Military Pets Foster Project. This is a perpetual program that provides Foster care, through tens of thousands of volunteer Foster Homes throughout the globe, for the pets of active duty military when they are on orders. This is basically a Free service for them.					The Military Pets FOSTER Project is a perpetual program. It is comprised of a nationwide and global network of individual volunteer foster homes that house, nurture and care for the dogs, cats, birds, horses and other pets for all the military and other personnel for Free when they are mobilized. Since 9/19/01 the Project has successfully fostered well over 9,600 pets of our brave servicemen and women.				
Kitty Harbor Inc	http://		EIN 55-0809688	2263 Glasgo Rd	Griswold	CT	06351	USA	Animal Protection & Welfare, Animals										
WORLD-WIDE LIGHTHOUSE MISSIONS INC	http://www.wwlm.org	(860) 645-4141	EIN 06-1402089	PO Box 5010	Manchester	CT	06045	USA	International, International Relief	THE MISSION OF THE WORLD-WIDE LIGHTHOUSE MISSIONS IS TO FURNISH SUPPORT TO PERSONS IN NEED, THROUGHOUT THE WORLD, AND ATTEMPT TO MAKE A DIFFERENCE IN THE LIVES OF PERSONS WHO, WITH SUPPORT AND TRAINING, CAN REACH A BETTER WAY OF LIFE AND A GREATER DEGREE OF SELF-SUFFICENCY.					Supplies schools, clinics with materials and aid. Sponsored feeding programs. Shipped and provided relief aid to those in need, both at home and abroad, without discrimination.				
Friends Of Brooksvale Park Inc	http://		EIN 30-0261510	156 Brooksvale Ave	Hamden	CT	06518	USA	Sports										
Gardner's House Inc	http://www.gardnershouse.org	860-206-7754	EIN 26-0617898	P.O Box 4188	Hartford	CT	06147	USA	Cancer	Gardners House is a place for cancer survivors and their families to go for Respite, a place to help them relieve some stress, for children to get counseling in private, but most of all to help those who are dying in silence. To fill the void that is left by this disease, a home away from home, a place of peace and quiet, a safe Haven, an oasis in the desert for survivors and family, a place to heal body soul and mind and to get away from the hospital and hospice atmosphere as far as possible.  To help with recuperation, it will be a positive caring place to be. We will be looking for ways to help those in need financially and emotionally, to get the help they need. (Please! so many are running out of Time)				North East					
STARelief and Pet Assistance	http://www.starelief.org	(203) 667-0504	EIN 45-4536373	PO Box 3035	Stamford	CT	06905	USA	Animal Protection & Welfare, Animals	STARelief and Pet Assistance mission is to provide life-saving veterinary care, pet food, emergency boarding and foster care to pets whose families are struggling with financial hardship. Join us.  Company Overview STARelief is a group of volunteers dedicated to keeping pets & families together during hard financial times. We do this by providing free life saving pet food and veterinary care, as well as assisting families with spaying & neutering their pets.  Our goal is to lessen the amount of animals that are left behind or relinquished to local animal shelters. We donate pet food to low income, seniors, disabled & the homeless with pets.  In these difficult times, many families are faced with the hard decision of giving up their pet, because they can no longer properly care for them. This accounts for most of the 3-4 million pets that are destroyed in shelters each year in the United States. STAR hopes to decrease this burden on families by supplying food and supplies. Families should not have to choose between feeding themselves or their pets. We are one of the only organizations of our kind in the area & the need for our help keeps growing each week.  As animal shelters fill up and as families struggle, STAR Pet Food Pantry is committed to making a difference in our community in a whole new way. We service the Westchester, Fairfield and New Haven counties.  Description STARelief and Pet Assistance is a 501(c)(3) nonprofit organization dedicated to keeping pets happy, healthy and in their homes.	Donated over 24,000 pounds of lifesaving pet food. Provided over $63,205 in veterinary care to pets in need.   Prevented over 317 animals from being surrendered to local animal shelters.	Seniors on a fixed income, Low-income, unemployed, pets of domestic violence, current and ex-military personnel, and people with disabilities	216 individuals and families	National Organization	Pet Food Pantry Home For Life Veterinary Grants  Pets For Military Vets  Safe Pet Foster Program				
Wildlife in Crisis, Inc.	http://www.wildlifeincrisis.org	203-544-9913	EIN 22-3020015	PO Box 1246	Weston	CT	06883	USA	Animals, Environment, Natural Resources Conservation & Protection, Wildlife Preservation & Protection, Wildlife Sanctuaries	Wildlife in Crisis is a non-profit, 501(c)(3) tax-exempt organization, founded in 1988 to care for injured and orphaned wildlife. We are for over 5,000 injured and orphaned wild animals each year. Our volunteers answer over 20,000 calls about distressed wildlife and wildlife issues every year. At WIC, the emphasis is on emergency medical care and temporary housing for injured and orphaned animals-not on keeping releasable animals in cages for public display. We run a nurture center- not a 'nature' center. Since there is a direct correlation between rising numbers of injured and orphaned wildlife and unbridled development the purpose of our Wildlife in Crisis Land Trust is to protect wild animals by preserving their natural habitats and providing them with permanent sanctuary. Since our ultimate  goal is to help people live harmoniously with native wildlife, we provide ongoing practical environmental educational programs to surrounding communities. Wildlife in Crisis relies entirely on donations to care for debilitated wildlife.									
Pet Animal Welfare Society of Connecticut (PAWS)	http://www.pawsct.org	(203) 750-9572	EIN 06-6067445	504 Main Ave	Norwalk	CT	06851	USA	Animal Protection & Welfare, Animal-Related, Animals	PAWS was founded in 1962 by Westport resident Betty Holmes Long. We are dedicated to rescuing homeless & abused pets & placing them in new, loving homes. We also seek to decrease pet overpopulation through education and by offering low cost spay/neuter to our community. PAWS also offers humane education to local schools & girl scout/boy scout troops.		homeless animals	500 animals in need	Fairfield County, CT	The 2 major objectives of PAWS are 1) The rescue & placement of homeless pets 2) Low cost spay/neuter to decrease the number of unwanted pets being born.We also assist the public in placing animals that they own but can no longer keep. We also help people place animals that they have found as strays.				
Bristol Health Care Inc	http://www.bristolhospital.org	(860) 584-3400	EIN 22-2577731	400 N Main St	Bristol	CT	06010	USA	Health, Nursing Facilities, Seniors	To provide quality and comprehensive health care according to resident needs, including short-term rehabilitative care, skilled nursing care, and long-term care, while being attentive to quality of life and preservation of individual dignity in a home-like setting.					Nursing home and long-term care facility providing health care and community health education for the elderly and others.				
Uja Federation of Greenwich	http://www.ujafedgreenwich.org	203-552-1818	EIN 06-6068624	Holly Hill Lane	Greenwich	CT	06830	USA	Federated Giving Programs, Philanthropy	The uja federation of greenwich is committed to the preservation, enrichment and continuity of the jewish people and to the enhancement of jewish life in greenwich, north america, israel, and throughout the world. Central to our mission is a community built on the jewish ideal of tzedakah: charity, righteousness and social justice. It is our support for local programs, agencies and the humanitarian work of the united jewish communities, that enriches local, national and international jewish life. Believing that each jew is responsible one for another, we have a unique opportunity to strengthen our jewish community, to improve the quality of life and to bring dignity to all people. We believe that it is our obligation to identify, educate and encourage members of the community to assume leadership roles and to serve as role models for future generations. To accomplish this mission, we are building a vibrant and inclusive jewish community.					Allocations to agencies: the federation makes allocations to agencies in the current year from campaign revenues of the prior year.   educational and community development: a broad offering of educational and community development programs.				
Joshuas Tract Conservation & Historic Trust	http://www.joshuaslandtrust.org	(860) 429-9023	EIN 06-6087579	Po Box 4	Mansfield Ctr	CT	06250	USA	Environment, Land Resources Conservation	To preserve the rural character of the area for the benefit and well being of the inhabitants; to acquire and assure the preservation and maintenance of land in the interest of conservation of natural resources, and the development of an open space program; to acquire and assure the preservation and maintenance of land and/or improvements to land having unique historical significance to the area. In 2011, the trust became accredited by the land trust alliance.					To preserve land the rural character of the area for the benefit and well being of the inhabitants; to acquire and assure the preservation and maintenance of land in the interest of conservation of natural resources, and the development of an open space program.				
Connecticut Burns Care Foundation Incorporated	http://		EIN 06-1017365	601 Boston Post Rd Ste 2	Milford	CT	06460	USA											
Sofia Sees Hope Inc	http://sofiaseeshope.org	860-556-3119	EIN 46-4552134	PO Box 705	Ledyard		06339	USA		Sofia Sees Hope is a patient advocacy organization dedicated to  transforming the lives of those affected by blindness caused by Leber Congenital Amaurosis and other rare inherited retinal diseases by generating awareness, supporting affected families,  and raising funds to advance research for diagnosis, treatments, and cures.		children, adults and families affected by blindess caused by inherited retinal diseases			1) generating awareness and hope for an end to blindness 2) raising funds for diagnosis, treatment, and cures 3) providing assistance to support affected families with medical related travel expense				
Greater Hartford Festival Of Jazz	http://www.hartfordjazz.com	(860) 490-2199	EIN 06-1358376	Po Box 230760	Hartford	CT	06123	USA	Arts & Culture, Commemorative Events	To bring together the hartford, ct region's diverse cultural groups in appreciation of jazz music through performances of local and international jazz musicians.					Held jazz festival free to the general public july 16-18, 2010 in bushnell park, hartford, ct. Local as well as internationally known artists performed. All segments of the greater hartford community attended. The festival is acknowledged as a major summer event in greater hartford.				
Byram Volunteer Fire Department Inc	http://		EIN 06-1420116	264 Delavan Ave	Greenwich	CT	06830	USA	Disaster Aid, Fire Prevention										
The Land Trust Of Danbury Inc	http://		EIN 23-7134512	Po Box 32	Danbury	CT	06813	USA											
