name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Geographic areas served	Programs	Results	Target demographics	Direct beneficiaries per year	
Students Today Leaders Forever	http://www.stlf.net	612-276-2003	EIN 20-2797098	609 10th St S Suite 103	Minneapolis	MN	55404	USA	Children & Youth, Youth Development Programs	Revealing leadership through service, relationships, and action.	Oregon, New Mexico, Colorado, North Dakota, Nebraska, Oklahoma, Minnesota, Iowa, Wisconsin, Illinois, Michigan, Ohio, New York, and Mississippi.	Pay It Forward Tour (Middle school, high school, and college tours), Leadership Camp, Leadership Training	STLF is growing to reach more students in the United States and so far we're present in 14 states and serving nearly 4,000 students annually.  Our alumni have gone on to do amazing things in their years of service, organizational leadership roles, and entrepreneurial ventures.	We with students from middle school through college, and even have Pay It Forward Tours for adults!	In 2012, STLF served more than 3,600 students, and we're growing!	
Little Voyageurs Montessori School Inc	http://www.lvmschool.com	(763) 788-0889	EIN 41-1327355	825 51st Ave Ne	Columbia Hts	MN	55421	USA	Education, Elementary & Secondary Schools, Literacy	Education program for preschool and kindergarten children.		Montessori program with extended day care for approximately 40 children ages 2. 75 - 6 years old for generally 5 days per week year-round. Little voyageurs' montessori school reaches out to include children from low and moderate income families. Grant funds for 2014-2015 were 61,900.				
International Friendship Through The Performing Arts	http://		EIN 41-1738386	1960 Cliff Lake Rd Ste 129-219	Eagan	MN	55122	USA	Arts & Culture, Dance							
Sexual Violence Center	http://www.sexualviolencecenter.org	(612) 871-5100	EIN 36-3346890	3757 Fremont Ave N	Minneapolis	MN	55412	USA	Mental Health, Sexual Assault Services	To eradicate sexual violence and abuse by: challenging the systems and individuals that promote plivilege, oppression and domination. Educating those that will join us as advocates and catalysts for change, and supporting those who have been victimized, empowering them to not only survive but thrive finding power and movement in our collective voices.		Direct services -since 1985, the sexual violence center (svc) has been serving youth and adult victim/survivors of sexual violence 12 years of age and older. Svc works in hennepin, carver, scott and other metro counties and has offices in minneapolis and chaska. The sexual violence center meets the needs of anyone affected by sexual violence with a range of services to support them through crisis and trauma, including:24-hour crisis support telephone line staffed by trained advocates,individual, in-person counseling giving intensive, directed support to victims and survivors,support groups for victims and survivors as well as friends and family of victims,crisis support in hospitals for victims of sexual assault during their evidentiary examinations,legal advocacies and legal clinics, ensuring that victim/survivors have the resources they need to file restraining orders, navigate the criminal justice system and get connected to legal representation. Svc provides services to victim/survivors at no cost. Services are provided in various locations beyond svcs offices including schools, correctional facilities, hospitals, police stations and county government buildings. Special support to incarcerated victim/survivors -svc is the prison rape elimination act (prea) community service provider to inmates in several correctional facilities in hennepin and scott counties. Through these contracts, svc advocates provide quality support services for people who are incarcerated at par with those available to the community outside of prison/jail. Svc also runs support groups and provides one-to-one counseling for incarcerated populations. Community education -staff, interns and volunteer advocates of the sexual violence center challenge the systems, attitudes and beliefs that perpetuate sexual violence in the community by bringing training and presentations to a range of organizations, institutions and community groups. Svc has a tabling presence at a variety of special events across the metro area. Presentations and informational sessions are conducted for partner agencies and in institutions housing people who need more information about svcs services. Topical trainings including sexual violence 101 and sessions about reaching marginalized populations with advocacy services are carried out in institutions including schools, correctional facilities and partner agencies. Svc also provides professional trainings for staff of organizations who, through the course of their work, find themselves engaged in supporting people affected by sexual violence. Program to engage the community to respond to sexual violence -we encourage and support those who want to join svc to make change. Svc trains community members to rise up and join us in the fight against the effects of sexual violence in the community through the 40-hour sexual assault advocacy training. This training is offered on a routine basis yearly, and is set in compliance with mn state statute. After training, svc provides the organization, on-going education and supervision for volunteer advocates and interns to participate in every area of svc service delivery. Systems change and prevention -svc coordinates two multi-disciplinary teams focused on ensuring that the systems responding to sexual violence prioritize the needs and perspectives of victims. Each team brings together stakeholders from agencies that have a role to play in the victim response, from law enforcement to corrections, medical professionals to advocacy agencies. Teams are run at the county-level under a national model for sexual violence-focused systems change. The svc-coordinated sexual assault interagency council (saic) team has been bringing together key professionals engaged in sexual violence response in carver county for over ten years. The svc-run sexual assault multi-disciplinary action response team (smarteam) of hennepin county has been working for the past two years on a collaborative process that will result in the first multi-agency protocol to guide victim response in minnesotas largest county. Additional and up-to-date information about the sexual violence center can be found online at: www. Sexualviolencecenter. Org.				
U S Green Building Council- Minnesota Chapter Inc	http://www.usgbcmn.org	(612) 328-9098	EIN 45-0567106	701 Washington Ave N	Minneapolis	MN	55401	USA	Environment, Environmental Education	Raises awareness of green building principles and practices among the design, construction and real estate communities, as well as the general public.		General programs: education and training & green schools coalitionsee schedule o  grant funded programs: dynamic green home & mpca benchmarking reportsee schedule o				
Edvisions Schools Inc	http://www.edvisions.com	(507) 248-3738	EIN 41-1983677	501 Main St	Henderson	MN	56044	USA	Education	Our mission is to create schools that will enhance relationships and build relevant learning envirenments that empower students, parents and teachers to make choices. These learning environments utilize self-directed, project-based learning to build student autonomy through relevant learning opportunities, create student belongingness through full-time advisories, and empower teachere vie teacher-led and democratically governed schools. To create engaging schools of this nature requires edvisions to engage in dialogue concerning the nature of learning and assessment that aligns with whole-child development rather than academic achievement alone.		Edvisions schools has an overall focus of leading educational reform. In regards to this we:develop new schools around a personalized project based modelprovide professional development to existing schools around personalized project based learning. Participate in national conversations around school reform and changing the social mindset around schoolingadminister the hope survey as a way to evaluate the success of schools beyond standardized test scores. Provide services for schools that are needing expertise in certain areas: finances, technology, facilities. Fiscally host organizations that are working for educational reform.				
Stable Pathways Inc	http://		EIN 27-3863582	Po Box 480106	Minneapolis	MN	55448	USA	Health, Rehabilitative Care							
African Development Center	http://www.adcminnesota.org	(612) 333-4772	EIN 20-0553370	1931 S 5th St	Minneapolis	MN	55454	USA	Family Services	The mission of adc is to grow businesses, build wealth and increase reinvestment in the african communities of minnesota.		Adc's culturally competent business development services and its partnerships with crucial funding sources have directly contributed to the surge in african-owned businesses throughout minnesota. In addition to ongoing technical assistance, adc offers at least three start-up business workshops each year in the twin cities and at least two in greater minnesota in 2012 (willmar/st. Cloud and rochester). In 2013, more than 100 business class graduates participated in workshops in the twin cities and greater mn. After completion of the workshop, clients ready to start their businesses engage in one-on-one guidance with adc's business lenders. In 2014, adc made 15 projects; 28 loans; leveraged over $480k with a total project cost of almsot $1m, created 38 jobs and retained 78. Additionally, adc holds "homestretch" workshops the first saturday of each month for first-time home buyers in the twin cities as well as financially consulting. About 16 workshops were held throughout the year in minnesota. In 2013, almost 400 families successfully completed these workshops and financial counseling.				
CAIR-Minnesota	http://www.cairmn.com	6122063360	EIN 45-0553731	2021 East Hennepin Avenue  Suite 402	Minneapolis	MN	55413	USA	Civil Rights, Intergroup & Race Relations, Race	To enhance the understanding of Islam, encourage dialogue, protect civil liberties, empower American Muslims, and build coalitions of mutual understanding.	Twin Cities Metro and Greater Minnesota	complaint resolution through pro bono legal aid and advocacy, media justice and balanced views, community empowerment trainings, and civic engagement.	CAIR-MN has represented over 600 cases of employment discrimination, hate crimes, and school harrassment since our doors opened in 2007.  CAIR-MN holds an annual workshop, "Positive Interactions - How to Effectively Interact with your Muslim Employees. Employers and HR professionals from fortune 500 companies like General Mills, 3M and others have attended. CAIR-MN also provides individualized diversity trainings to companies. The Mayo Clinic, Ameriprise, and The YWCA are just some of our clients. Both of these trainings provide a better understanding of Islam and practices and help employers understand their legal responsibility to provide religious accommodation.	those who have faced racial, religious, or ethnic discrimination.	over 120 clients, provided free legal advice at legal clinics to 75 people, 50 students attended the leadership program,  over 200 positive media stories, and over 1000 community members have gone through media, Know Your Rights, civic engagement and Safety trainings.	
White Bear Lake Area Educational Foundation	http://www.wblaef.org	(651) 407-7696	EIN 41-1778186	4801 Highway 61 N Ste 201	Saint Paul	MN	55110	USA	Education, Student Services	The mission of the white bear lake area educational foundation is to enhance the district's ability to provide excellence in education for all students.		Brosious fund - endowment fund used to give grants to an individual or group of teachers to enhance the rigor of the curriculum or instruction within the school district.   legacy fund - fund dedicated to further the foundation's mission to enhance the school district's ability to provide excellence in education by funding programs to support school initiatives which promote and foster the commitment to excellence.   angel fund - fund that provides funding to students and their families for education-based needs. When these basic needs are met, students are able to concentrate on learning, rather than being distracted by unfortunate circumstances that are beyond their control. Local community organizations have partnered with the foundation in support of the angel fund.   other funds - the foundation is willing to establish new funds for a specific purpose if donor gifts are greater than $15,000. The foundation has several funds established for various purposes, all of which support the mission of the foundation.				
The Minnesota Ffa Foundation Incorporated	http://www.mnffafoundation.org	(507) 534-0188	EIN 41-6038263	Po Box 365	Plainview	MN	55964	USA	Education	It is the mission of the minnesota ffa foundation to provide resources that promote and enhance premier leadership, personal development and career success for minnesota youth in agricultural education.		Coordination of state ffa conferences and meetings, state ffa trophies and awards, general support of state ffa programs.   college and post secondary scholarships, ffa trophies and funding of special ffa projects and programs.				
Fergus Falls Band Boosters	http://www.music.fergusotters.org/	(218) 998-0544	EIN 41-1653013	Po Box 115	Fergus Falls	MN	56538	USA	Education	Support school band program		Funded scholarships for students to attend band camps  funded students to attend honor and all-state band festivals  donated funds towards purchase of band instruments				
OSIRIS ORGANIZATION	http://osirisorganization.org		EIN 41-1879599	6702 Kara Drive	Eden Prairie	MN	55346	USA	Education	Provide life enhancing skills to youth and families through computer technology and entrepreneurial outreach programs with the purpose of inspiring youth to grow into self reliant and productive members of society		The organization is dedicated to provide life enhancing skills to youth and families computer technology and entrepreneurial education so they can become healthy and productive members in our society				
Grand Marais Playhouse Inc	http://www.grandmaraisplayhouse.com	218-387-1284	EIN 41-1246286	PO Box 996	Grand Marais	MN	55604	USA	Arts & Culture, Theater	A non-profit community theater dedicated to offering high quality theater and educational opportunities. We value artistic challenge, diversity, community and collaboration!	Cook County Minnesota					
Longonot Education Initiative	http://www.longonot.org/		EIN 27-5377384	3828 5th Ave S.	Minneapolis	MN	55409	USA		To support and develop sustainable education opportunities for children in Kenya.	Ngong, Kenya	daily lunch programs, a safe learning environment (Longonot Education Center), an orphanage (Faraja Children's Home), a daycare center for children living in a slum (Living Positive Kenya Daycare Center), and an education program for poverty-stricken youth in the slum of Mathare (Ahadi Education Center).	-Constructed a new school building, the Longonot Education Center, in 2012. -Started a daily feeding program at the Longonot Education Center. -Constructed a security wall for Faraja Children's Home. -Provided daily meals, beds, school fees to Faraja Children's Home. -Started the Ahadi Education Center, a school for teenaged boys struggling with poverty and drug addiction	children	260 children.	
People for Parks	http://www.peopleforparks.net	(612) 767-6892	EIN 36-3339180	PO Box 24901	Minneapolis	MN	55424	USA	Environment, Environmental Beautification, Philanthropy, Sports	People for Parks is a nonprofit organization of volunteers that helps stimulate community and financial support for the Minneapolis Park and Recreation System's unique natural resources and its many facilities and programs.We work with the Minneapolis Park and Recreation Board as well as other community leaders to ensure that our city's park system continues its legacy of service to all.Thanks to our many donors and involved citizens, this work helps Minneapolis remain a beautiful place in which to live and work or visit.	Minneapolis	Peace Garden, Martin Luther King Jr. Park Legacy Advisory Committee; trees throughout the park system; Universal access playground at Wabun Picnic area; landscaping and a dedication to Senator Allan Spear at Mueller park planned for 2013; support for the 9-11 tribute, pavers at Lake Harriet and much more.	Fundraising for the universal access playground is at 74%! The playground is going to be AMAZING. Children with disabilities will be able to use 70% of the equipment.			
American Refugee Committee	http://www.arcrelief.org	(612) 872-7060	EIN 36-3241033	615 1st Ave Ne Ste 500	Minneapolis	MN	55413	USA	Economic Development, International, International Development, International Economic Development, International Migration & Refugee Issues, Microfinance	The american refugee committee (arc) works with refugees, displaced people, and those at risk to help them survive crises and rebuild lives of dignity, health, security and self-sufficiency.		People suffering during the most vulnerable times of their lives know better than anyone what they need. That's why our programs start with refugees and their unique experiences. They let us know what needs to happen to make meaningful change in their communities, and we work together to make it so. Arc brings expertise and non-traditional partners to co-create solutions that add new value to communities. But it is refugees themselves who tell us what makes sense for them. In the following descriptions, you'll see how these people are working through the most challenging times they've seen. You'll get a snapshot of each of the different groups of people we're working with and how they're building a better future. Our partners are diverse, and so is the work we do. But it's all for the same goal - to help people take back				
Minnesota Humanities Center	http://www.mnhum.org	(651) 774-0105	EIN 41-1322769	987 Ivy Ave E	Saint Paul	MN	55106	USA		The minnesota humanities center (humanities center) is an independent, not-for-profit organization. Its mission is to build a thoughtful, literate, and engaged society. Financial support for the programs and services of the humanities center comes from the national endowment for the humanities, the state of minnesota, private and corporate foundations, individuals, and revenue earned from fees and conference center rentals. The minnesota humanities center provides humanities-based professional development services to schools and educators and it works in partnership with numerous organizations to conduct meaningful and engaging public humanities programming in communities throughout minnesota. Its relationship-based approach to humanities programming is focused on bringing into public life the stories and experiences of people and communities that have been missing and marginalized.		The minnesota humanities center's will use $1,075,000 of the legacy funds for work divided into three key program areas in order to meet its critical responsibilities to the public: 1) minnesota humanities education strategy; 2) towards a more perfect union: talking about the constitution and 3) veterans' voices. The minnesota humanities education strategy transforms relationships to increase student and community engagement. Participants strengthen relationships, broaden worldviews, develop a shared language and support student and community-centered practices and procedures. During this time period, legacy funding supported:six-session cohort educators' institute that helps participants expand their capacity to relate across worldviews and ways of knowing; recognizing and amplifying skills and techniques to use in their daily practice; and become a part of a community of educators committed to using a humanities-based approach to improve the educational experience for young people across minnesota. In-person and online professional developmentcreation and access to educational materials and resources that support and encourage exemplary teaching including over 300 online resourcespublic events featuring artists from tpt's mn original series for nearly 150 educatorscollaborative programming with schools, non-profit organization, state agencies and community based organizationsmuseum on main street partnership with the smithsonian institution's museum on main street program to bring a new traveling exhibit entitled water: resource for life to minnesota. Support to allow the continued traveling of why treaties matter: self-government in the dakota and ojibwe nation exhibit created in partnership with the minnesota indian affairs council and the smithsonian national museum of the american indian. Toward a more perfect union: talking about the constitution harnessed the power of community conversations and the documentary constitution usa by twin cities public television (tpt) to bring minnesotans from 33 communities with diverse backgrounds and experiences together to explore the constitution as a living document in their lives. Veterans' voices is a veterans'-led initiative which draws on the power of the humanities to call attention to the stores and contributions of veterans through plays, art, discussion groups and the veterans' voices award to amplify, honor and recognize the stories and contributions of minnesota veterans in their own voice. This program included fourteen public events.   event and conference center: the humanities center operates a full-service event center, as created by the state legislature in 1996. In addition to housing programs of the humanities center, this restored architectural landmark serves educators, social service providers, other non-profits, state colleges and universities, and state agencies and community groups seeking to improve both their individual work and the quality of life for all minnesotans, by providing high-quality, cost effective meeting and event space for educational and public programs and staff education and development.				
Minnesota Independent Scholars Forum	http://		EIN 36-3406556	PO Box 80235	Minneapolis	MN	55408	USA								
Dyslexia Institute Of Minnesota Inc	http://www.TheReadingCenter.org		EIN 41-1633734	847 5th St Nw	Rochester	MN	55901	USA	Education, Literacy, Remedial Reading & Encouragement, Special Education	The mission of the Reading Center/Dyslexia Institute of Minnesota is to help children and individuals with reading disabilities to overcome their learning challenges and succeed.						
North Anoka County Emergency Foodshelf	http://		EIN 31-1673282	Po Box 2	Cedar	MN	55011	USA	Emergency Assistance, Human Services	The North Anoka County Emergency (NACE) Foodshelf strives to curb suffering from hunger in our communities by providing balanced nutrition to all who are truly in need of assistance.						
Twin Cities Pet Rescue	http://		EIN 27-0162063	PO Box 2869	Minneapolis	MN	55402	USA	Animal Protection & Welfare, Animals	Pet rescue		Rescue and rehome homeless pets and promote community awareness				
Holistic Ministry Of Children Of The Horn Africa	http://		EIN 71-1016355	1351 84th Ct N	Brooklyn Park	MN	55444	USA	International, International Relief							
Catholic Schools Foundation Of Winona Mn Inc	http://www.csfwinona.org	(507) 453-5000	EIN 41-1564670	1115 W Broadway St	Winona	MN	55987	USA	Education	To provide financial assistance and tuition aid, and to promote catholic elementary and secondary education in the winona, mn area		The foundation invests contributions received from the general public and distributes the earnings to winona area catholic schools				
JSAW	http://www.jsaw.org	9524521283	EIN 35-2231614	7385 Bush Lake Rd	Edina	MN	55439	USA	Protestant, Religion	To create a safe positive environment within action sports where youth can belong, be introduced to Jesus Christ and be engaged in discipleship both in the Minneapolis area and around the world.	Minneapolis	Small groups, mentoring, camps, trips and other events.		Youth in action sports		
Clear Waters Life Center	http://	(218) 776-2789	EIN 77-0643868	256 2nd Ave Sw	Clearbrook	MN	56634	USA	Children & Youth, Children & Youth Services	Faith based programming		A youth center, classes on parenting, family life, marriage, finances, etc, support groups, bible teaching, clothing exchange				
National Multiple Sclerosis Society	http://www.nationalmssociety.org/chapters/mnm/ind	(612) 335-7916	EIN 41-0790658	200 12th Ave S	Minneapolis	MN	55415	USA		People affected by ms can live their best lives as we stop ms in its tracks, restore what has been lost and end ms forever.		Research to move us closer to a world free of ms, in 2014, the upper midwest chapter contributed towards the national multiple sclerosis society's investment of an estimated $50. 6 million to support more than 380 research projects around the world aimed at stopping ms in its tracks, restoring function, and ending the disease forever. The society collaborates worldwide to develop solutions for everyone affected by ms, including those with progressive ms, through the accelerated discovery and commercial development of promising research discoveries, new ms therapies, and research tools.   client programs - people living with ms, family members, caregivers and other members of their support system connect to each other and to an extensive variety of programs, services and resources. Many community based programs, such as the financial assistance program, support independence, safety, health and quality of life for people living with ms and their families by offering guidance and resources to help contain the financial and other impacts of ms.   community programs the society collaborates with dozens of other community organizations, focusing on access to health care, rehabilitation, treatments and therapies; long-term care; disability rights issues; vocational training and rehab, wellness and fitness; and outreach and education to rural and underserved populations.				
Katahdin Inc	http://	(612) 872-4701	EIN 41-1323281	Po Box 22036	St Paul	MN	55122	USA	Crime & Law, Crime & Legal-Related	Treatment and educational service		In the past katahdin had three programs. Due to a loss of funding from contributors, katahdin's only activity was the disposal of its assets.				
Susan G Komen Breast Cancer Foundation	http://		EIN 41-1924790	301 S Avenue	Bloomington	MN	55425	USA	Breast Cancer							
Out on a Limb Dance Company & School	http://www.outonalimbdance.org		EIN 41-1988345	1535 W. Larpenteur Ave	St Paul	MN	55113	USA	Arts & Culture, Dance							
Merrick Community Services	http://www.merrickcs.org		EIN 41-0693851	965 Payne Ave Ste 300	Saint Paul	MN	55130	USA	Food, Food Banks & Pantries, Human Service Organizations, Human Services, Neighborhood Centers, Senior Centers, Seniors	To improve the lives of the residents of the east side of st. Paul, by empowering individuals, strengthening families, and promoting their independence.		Emergency services program operates two food shelves and provides emergency assistance to families and individuals. This program also serves families and children by providing school supplies, holiday food and support. The program served 9,702 individuals.   the senior program provides meals on wheels and chore services, vital to assisting individuals in maintaining independence; a monthly brown bag of food, at minimal cost, to supplement food budget and improve nutrition; and social activities to keep seniors involved in their community and impact their sense of isolation. The program served 844 individuals.   youth and family programs includes academic enrichment, cultural awareness, mentoring, and support aimed at closing the achievement gap, and addressing the racial disparities and disproportionality of services for youth and their families, ages 5 to 15 years. Parenting enrichment classes, case management and referal services are included. The program served 832 individuals.   the employment program and all other program activities.				
Kappa Eta Kappa Beta Chapter Incorporated	http://		EIN 41-6038148	2221 University Ave Se Ste 111	Minneapolis	MN	55414	USA								
North High Alumni Choir	http://		EIN 41-1854812	2681 Germain Ct	Maplewood	MN	55109	USA	Arts & Culture, Singing & Choral Groups							
Morning Earth	http://www.morning-earth.org		EIN 20-1024675	Po Box 1085	Forest Lake	MN	55025	USA	Adult Education, Arts & Culture, Arts Education, Education, Environment, Environmental Education, Humanities	Urban people, especially children,are orphaned from Earth. Morning Earth helps reconnect them with their birth mother. Morning Earth's mission is to help people experience, cherish, and protect the natural Earth, through the arts of photography and poetry and through education in ecology, using two primary means:  Morning Earth Photo/Poems which celebrate nature, written daily by John Caddy, delivered daily to subscribers by email, and posted on  www.morning-earth.org/   Website education in ecology in extensive graphic and text versions.  www.morning-earth.org/						
Childrens Cancer Research Fund	http://www.childrenscancer.org	952-893-9355	EIN 41-1893645	7301 Ohms Lane Suite 460	Minneapolis	MN	55439	USA	Cancer, Cancer Research, Health	Children''s Cancer Research Fund is dedicated to finding a cure for childhood cancer by providing funds to the University of Minnesota for research and training relating to the prevention, treatment and cure of childhood cancer. The organization also educates the public about pediatric cancer and supports quality-of-life programs for pediatric cancer patients and their families.	Patients have been treated from all 50 states and 21 countries.  Researchers trained in pediatric hematology/ oncology and blood and marrow transplantation at the University of Minnesota work in 23 states and 5 countries.	Fundraisers: Dawn of a Dream Gala, KS95 for Kids Radiothon, Glamorama Fashion Show, Time to Fly Walk/Run  Care Partners Volunteer Program		pediatric cancer patients, their families and friends		
Minnesota Land Trust	http://www.mnland.org	(651) 647-9590	EIN 41-1713652	2356 University Ave W Ste 240	Saint Paul	MN	55114	USA	Environment, Land Resources Conservation, Natural Resources Conservation & Protection	The minnesota land trust protects and restores minnesota's most vital natural lands in order to provide wildlife habitat, clean water, outdoor experiences and scenic beauty for generations to come.		See schedule oprotected 2,238 acres of significant natural and scenic land and 56,586 feet of fragile shoreline by completing 16 new land protection projects this past fiscal year while managing, monitoring and enforcing all previously completed easements. This brings the total number of land protection projects completed by the land trust to 492, protecting 46,628 acres of significant land and 1,024,925 feet of shoreline. These projects are increasingly focused on specific landscapes in minnesota selected by the land trust because they best represent minnesota's cherished natural areas. We also advanced the st. Louis river restoration initiative by completing the radio tower bay restoration, advancing the chambers grove restoration and wild rice restoration, and helping to host tours and other outreach. Finally, we made significant progress in the outdoor recreation project by helping the city identify and fund key projects such as the quarry park ice climbing venue, superior hiking trail spurs, national water trail designation on the st. Louis river, spirit mountain xc skiing venue and more. We also helped the city acquire several key parcels necessary for its outdoor infrastructure.				
Traveling Angels	http://		EIN 26-3957515	Po Box 835	Moose Lake	MN	55767	USA	Homeless & Housing, Housing Support							
Scholarship Fund Of The Minneapolis Branch Aauw	http://www.aauwmpls.org	(612) 870-1661	EIN 41-1963383	2115 Stevens Ave	Minneapolis	MN	55404	USA	Education, Scholarships, Scholarships & Student Financial Aid	To carry out the charitable and educational functions of minneapolis branch of the american association of university women.		College scholarships are awarded to young women graduating from minneapolis public high schools in furtherance of the organization's exempt purposes.				
Community Involvement Programs	http://		EIN 41-0972546	1600 Broadway St Ne Ste 1	Minneapolis	MN	55413	USA	Health, Home Health Care, Human Services, Job Training, Mental Health, Residential Care & Adult Day Programs, Residential Mental Health Treatment, Vocational Rehabilitation	Our Vision for the Individuals We Support:  * Each individual will experience a quality of life defined by personal preferences, cultural identity and informed choices.  * Individuals will participate as citizens contributing to the life of their neighborhoods and communities by the work that they do, the relationships they develop and the interests they share.  * People will be known for their talents, abilities and interests rather then their deficits, disability or difficulties.  * Each person's network of relationships will include family, friends and others who care about the person.						
Laboure Society	http://www.labouresociety.org	(651) 452-1160	EIN 41-2001751	7625 Parklawn Ave	Edina	MN	55435	USA	Philanthropy, Public Foundations	Provide financial assistance to individuals who must eliminate personal debt in order to pursue their vocation to priesthood or religious life in the catholic church.		The laboure society was established to provide spiritual support and material assistance to resolve student loans for those entering formation for priesthood or religious life.				
