name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Geographic areas served	Programs	Results	Target demographics	Direct beneficiaries per year
New River Community And Technical College Foundation Inc	http://www.newriver.edu/foundation-and-alumni	(304) 929-1042	EIN 55-0677640	280 University Dr	Beaver	WV	25813	USA		The foundaiton's purpose is to aid, stregthen, and further in every proper way the work and services of new river community and technical college, an agency of the state of west viginia. The organzation is operated to receive, hold, invest, and adminster property and to make expenditures for the benefit of new river community & technical college and its students and staff.		Scholarships for the benefit of new river community and technical college and bluefield state college students. Significant donated services are provided to the foundation by new river community and technical college in the form of personnel who operate the foundation, office space and general operating supplies. This benefits this program.   the organization under the terms of a contract operated as a "program provider" for road scholar, inc. , which itself is a non-profit organization which provides learning opportunities to adults through short-term academic programs. As a program provider, the organization is responsibile for providing a variety of approved services to include, educational instruction, meals, lodgining,and transportation to groups enlisted in the road scholar programs. Significant donated services are provided by new river commmunity and technical college in the form of the personnel that operate this program, rental space and general operating supplies. This benefits this program significantly. This program was discontinued during the course of the year ended june 30, 2015.   indirect expenses allocated to the function of student support and program services.			
Cradles To Crayons, Inc.	http://		EIN 55-0751704	2606 National Road	Wheeling	WV	26003	USA	Child Day Care, Children & Youth						
American Guild Of Organists Blennerhassett Chapter	http://		EIN 31-1010808	10 Scenic Hls	Parkersburg	WV	26104	USA							
Lake Volunteer Fire Department Inc	http://	(304) 752-0021	EIN 55-0643608	Po Box 296	Lake	WV	25121	USA		Volunteer fire department		Responded to 9 fires, 31 vehicular accidents, and 17 other calls			
Young Mens Christian Association	http://www.parkersburgymca.org	(304) 485-5585	EIN 55-0357059	1800 30th St	Parkersburg	WV	26101	USA	Human Services, Physical Fitness & Community Recreational Facilities, Sports, Young Mens or Womens Associations	The parkersburg ymca is a volunteer led public charity and community service organization that includes men, women, and children of all ages, abilities, incomes, races, and religions. Our mission is to put christian principles into practice through programs that build healthy spirit, mind, and body for all. We are dedicated to building strong kids, strong families, and strong communities through programs that promote healthy lifestyles, strong values, leadership development, community interaction, and international understanding. All persons are welcome at the ymca, regardless of their ability to pay.		Healthy living - ymca programs are designed for people of all ages, abilities, faiths, ethnic groups, and incomes. The parkersburg ymca offers a welcoming atmosphere where participants feel comfortable and receive the support they need to improve their physical, mental, and spiritual health. Ymca programs help develop self esteem and self confidence, build lasting relationships, and increase civic engagement. Services are offered at affordable fees for the community with financial assistance available for those who can not afford the full fee. Examples of these programs for youths and adults include childcare, swimming, youth sports, group exercise, general wellness and leadership.   youth development - the ymca promotes the development of youth through a series of programs designed to work with children of all abilities. Through youth spirit programs, youth develop self-esteem, values, and a sense of team work. Through teen leadership programs, the youth develop leadership and social qualities as well as learning a sense of responsibility and volunteerism.   childcare and camping - our residential and day camping offers adventure and learning activities that provide challenges, education, and promote spiritual awareness, mental development, physical well being, social growth, and self-respect. Our camps provide a reverence for nature and respect for the inter-relatedness of all living things on earth. Our camps are open to all, regardless of income or special needs, so that children appreciate diversity, become community leaders and develop lifelong values.   other miscellaneous services provided by the ymca.			
Keith Full Gospel Church	http://		EIN 55-0729948	23511 Coal River Rd	Orgas	WV	25148	USA							
Monroe County Coalition For Children & Families Inc	http://		EIN 55-0716112	Po Box 737	Union	WV	24983	USA	Family Counseling						
United States Amateur Boxing Inc	http://		EIN 55-0615779	1 Abney Cir	Charleston	WV	25314	USA							
Christian Assistance Network	http://		EIN 55-0674723	Po Box 503	Franklin	WV	26807	USA	Christianity, Religion						
Kappa Sigma Pi Of West Virginia	http://	(304) 623-9856	EIN 55-0354024	591 Pressley Ridge Rd	Clarksburg	WV	26301	USA		The organization provides facilities, land, and maintenance for the pressley ridge school. The school is a non-profit organization that provides room & board for troubled youths.		The organization provides facilities, land, and maintenance for the pressley ridge school. The school is a non-profit organization that provides room & board for troubled youths.			
Mountain State Art & Craft Fair Inc	http://		EIN 55-6021971	305 Beechwood Est	Scott Depot	WV	25560	USA	Arts & Culture						
One World One Family Now	http://	(304) 845-2192	EIN 33-0433799	2508 Mccrearys Ridge Rd	Moundsville	WV	26041	USA		Operation of a retreat center		Operation of a retreat center that sponsors religious gatherings workshop retreats and seminars. Participants during the past year were approximately 2765 opened additional outreach center in wheeling wv			
Tyler Mountain Cross Lanes Community Services Ltd	http://		EIN 55-0644279	5320 Frontier Dr	Cross Lanes	WV	25313	USA							
Victory Assembly Of God Inc	http://		EIN 55-0756552	49 Scarce Fat Rd	Mineral Wells	WV	26150	USA							
Lewis County United Methodist Ministries	http://		EIN 55-0649967	Po Box 473	Weston	WV	26452	USA	Human Services, Residential Care & Adult Day Programs	Serve distressed in area		Charitable donations of food, clothing, prescription medications,utility bills, etc for distressed or displaced members of the localcommunity.			
Shepherdstown Day Care Inc	http://		EIN 55-0539244	Po Box 388	Shepherdstown	WV	25443	USA	Child Day Care, Children & Youth	THE CENTER PROVIDES DAY CARE EDUCATIONAL PROGRAMS AND INSTRUCTION TO CHILDREN FROM LOCAL FAMILIES BASED ON A SLIDING SCALE FOR INCOME.					
Greater Wheeling Coalition for the Homeless Inc	http://www.wheelinghomeless.org	304-232-6105	EIN 55-0670538	84 15TH St	Wheeling	WV	26003	USA	Homeless & Housing, Homeless Shelters	HOMELESSNESS - TO ADVANCE HOUSING AND HUMAN SERVICES TO THE HOMELESS AND TO EDUCATE THE COMMUNITY ON THE PLIGHT OF HOMLESSNESS IN THE AREA.	the northern panhandle of West Virginia	case management, transitional housing, residential housing for individuals with disabilities and rapid rehousing assistance.  We assist the homeless in Brooke, Hancock, Ohio, Marshall and Wetzel counties of West Virginia.		the homeless	
Webwerwood Elementary Pta	http://		EIN 55-0689040	732 Gordon Dr	Charleston	WV	25303	USA	Education						
Mountwood Park Trust Fund, Inc.	http://		EIN 55-0574847	Rt 2 Box 56	Waverly	WV	26184	USA							
West Virginia National Guard Foundation Inc	http://		EIN 55-0706859	1703 Coonskin Dr	Charleston	WV	25311	USA		Support the needs and heritage of wvng		Helped 137 national guard or reserve men women & families with financial assistance in their time of need  goldstar veterans memorial and preservation of the heritage and service contributions of the wv national guard members and vererans			
West Virginia Community Development Hub	http://www.wvhub.org	6814046053	EIN 20-0022399	103 Adams Street Suite 200	Fairmont	WV	26554	USA	Economic Development	To engage communities and organizations in a system of community development that is locally-determined and directed, continuous, intentional, and aligned across all three sectors of society (public, private and civil).	West Virginia	HubCAP, Blueprint Communities and Standards for Excellence.	The Hub has successfully worked in over 50 communities throughout WV to stimulate community and economic development efforts across multiple sectors.	build capacity and strengthen nonprofits and communities	
Barbour County Senior Center Inc	http://		EIN 55-0539976	Po Box 146	Philippi	WV	26416	USA		Organization operates a senior citizens center in barbour county west virginia. Senior citizens are provided with transportation, nutrition, in-home care and other personal and social services.		Nutrition program provides nutritious meals to senior citizens of barbour county. Meals are delivered to the homes of senior citizens and also provided at the senior center's facilities. There were 11,040 meals served on site and 40,159 home delivered meals served during the year ended september 30, 2014.   transportation programs provide transportation services to senior citizens of barbour county. Total passengers trips were 20,578.   in-home care program provides in home care and other personal services to home bound persons who would otherwise be institutionalized.   other support services including information and referral services as well as other social services.			
Wheeling Health Right Inc	http://www.wheelinghealthright.com	304-233-3869	EIN 31-1149085	61-29th St	Wheeling	WV	26003	USA	Community Clinics, Health, Mental Health, Mental Health Disorders, Smoking Addiction	Wheeling Health Right provides quality health care and medications to those most in need, the low-income, and uninsured. The patients are at or below 100% of the federal poverty level, not eligible for Medicaid or VA benefits and residents of WV or Ohio.    These patients are the most needy, the ones who fall through the cracks.  The patients are primarily the working poor, who cant afford health insurance or it is not offered at their place of employment.  Wheeling Health Right was incorporated in 1985 and opened its doors in 1986.  Wheeling Health Right currently serves over 16,000 patients, delivered 64,000 patient encounters by midlevel providers and physicians in FY 2006. The clinic filled 145,000 prescriptions. Patient numbers have grown dramatically through the downsizing, layoffs and closing of major industries such as steel and mining in the Ohio Valley.   New jobs are retail, no benefit jobs. The clinic depends heavily on community support and in kind donations. In FY 2006, in kind inpatient, outpatient, lab, testing, x-rays and surgery totaled over $6.4 million. Donated pharmaceuticals tallied $12 million. Volunteer services of physicians, both primary care and specialty, totaled over $2million.	Northern Panhandle of West Virginia including Brooke, Ohio, Marshall, Wetzel & Tyler Counties and Belmont County in Ohio.	Wheeling health right inc is a nonprofit corporation established to provide free health care services to individuals who have no medical insurance and are in low income groups			
Friends Of The Shepherdstown Library Inc	http://		EIN 55-0747131	Po Box 278	Shepherdstown	WV	25443	USA	Education, Libraries						
Clay Co Development Corp	http://	(304) 587-4251	EIN 55-0480251	Po Box 455	Clay	WV	25043	USA	Public Transportation Systems	Assistance to elderly & low income		The organization administers federal and state financial assistance benefiting the elderly and low income individuals of clay county, west virginia.			
Our Redeemer Lutheran Church	http://		EIN 55-0644916	3043 Washington Blvd	Huntington	WV	25705	USA							
West Virginia Youth Symphony Inc	http://wvyouthsymphony.org	(304) 561-3542	EIN 55-0711071	Po Box 2292	Charleston	WV	25328	USA	Arts & Culture, Symphony Orchestras	Music education in orchestral music for children ages 7-20 yrs old.		Three orchestral ensembles performed three major concerts (winter, spring, symphony sunday) for the general public in the charleston, wv area. Over 110 student musicians met weekly to rehearse. Approximately 1800 attended concerts.   instruction in small chamber ensemble playing was offered to approximately 30 students at no extra cost. There was one performance (chamber) of these ensembles and approximately 300 people were in attendance. In addition, sectional coaching brought in highly skilled local professional musicians to orchestra rehearsals multiple times during the year.			
Shepherd University Foundation Inc	http://www.shepherd.edu/fndtnweb/	(304) 876-5391	EIN 55-6020064	Po Box 5000	Shepherdstown	WV	25443	USA	Education	Provide scholarships and awards for students attending shepherd university, shepherdstown, wv and provide assistance and support for faculty, facilities and programs of the university.		Scholarships & awards - shepherd university students  general university support			
Childers Manor Inc	http://		EIN 55-0703248	465 W Main St	West Union	WV	26456	USA	Homeless & Housing, Senior Citizens Housing & Retirement Communities, Seniors	Provide shelter for the elderly and handicapped.		Provide shelter for the elderly and handicapped.			
Ritchie County Educational Trust	http://		EIN 55-6020147	Po Box 239	Harrisville	WV	26362	USA	Education, Scholarships, Scholarships & Student Financial Aid						
Coal City Colts Inc	http://		EIN 55-0757247	Po Box 286	Coal City	WV	25823	USA	Children & Youth, Youth Development Programs						
Energy And Mineral Law Foundation	http://	(304) 234-9400	EIN 55-6108323	1 Bank Plz	Wheeling	WV	26003	USA	Geology, Technology	General support & furtherance of the exempt activities of the "energy and mineral law foundation", a 501(c)(3) education organization that provides continuing legal education in the mineral resources area by conducting institutes and publishing on mineral topics. The "foundation" funds student scholarships and research relating to energy law.		General support & furtherance of the exempt activities of the "energy and mineral law foundation", a 501(c)(3) education organization that provides continuing legal education in the mineral resources area by conducting institutes and publishing on mineral topics. The "foundation" funds student scholarships and research relating to energy law.			
Faith Christian Academy Inc	http://www.faithchristianacademy.net	(304) 263-0111	EIN 55-0641484	138 Greensburg Rd	Martinsburg	WV	25404	USA	Education, Preschools	The mission of faith christian academy is to provide the highest quality academic and biblical world-view training in an environment that encourages spiritual, academic, social, and physical growth.		Education - student grades pre-k through 12 - 290 students			
Mathias Civic Center Association	http://		EIN 34-1017815	Po Box 98	Mathias	WV	26812	USA							
West Virginia Convention-Of Southern Baptists	http://		EIN 55-0487668	28 Mission Way	Scott Depot	WV	25560	USA	Religion, Religion-Related						
Appalachian Community Partners	http://		EIN 55-0753552	Po Box 127	Kincaid	WV	25119	USA	Community Foundations, Philanthropy						
Beckley Concert Association	http://www.beckleyconcerts.org	(304) 787-3948	EIN 55-6019164	Po Box 2083	Beckley	WV	25802	USA	Arts & Culture, Music	Community concert management		Management of community concerts, building and maintenance, concert audience and public appreciation of music			
Military Working Dog Team Support Association Inc	http://mwdtsa.org		EIN 13-4346918	1036 Quail Pointe Dr	Charleston	WV	25302	USA	Animal Protection & Welfare, Animals	Military working dog teams		Care packages sent to deployed active duty teams of all four services  recognition events for active duty teams at home station kennels  retired military dogs recognition and finacial support for adopted mwds support to veteran dog handler events and causes and war dog memorials			
New Vision Renewable Energy	http://www.nvre.org	304-457-2971	EIN 45-4696610	P.O. Box 425	Philippi	WV	26416	USA		Are you looking to get involved in an Earth Day event?  Help us bring an end to the powerful pollutants used by families living in energy poverty around the world. Donate to New Vision Renewable Energy and your funds will be used to provide clean and safe solar powered lights to women and children who spend most of their time in the home on chores and studying by the toxic fumes of kerosene.	national and international communities	Global I.M.P.A.C.T. youth mentoring network to share STEM values and innovative business skills while educating about climate change issues.		youth and families	bring over 1200 solar lights to 28 countries.
Welty Home For The Aged Inc	http://	(304) 242-2300	EIN 55-0362615	83 Edgington Ln	Wheeling	WV	26003	USA	Human Services, Seniors, Supportive Housing for Older Adults	The mission of the welty home for the aged, inc. Is to own, operate and maintain within the city of wheeling and elsewhere in ohio county, west virginia, facilities having the capacity to provide a full range of secondary healthcare services for the (continued at schedule o) (continued) aged, the ill and the disabled, including but not limited to, specialty and restorative healthcare services, rehabilitative healthcare services, custodial care services, skilled nursing services and programs and other health related services all of which shall be designed to provide care for men and women in a christian, charitable and benevolent manner. The operations in furtherance of the corporation's charitable purposes are carried out by four limited liability companies: 1) good shepherd nursing home, lc; 2) the welty home, lc; 3) welty retirement apartments, lc; and 4) welty home real estate, lc.		Good shepherd nursing home, lc (gsnh) is a 192-bed skilled care nursing facility operating at 159 edgington lane, wheeling, west virginia. Gsnh is the largest non-profit skilled care nursing facility in the state of west virginia and remains a (restraint free) nursing home. Gsnh has maintained its reputation as a quality care facility and continues to operate at the lowest rate structure in ohio county. Approximately 66% of its 192-bed capacity consists of department of welfare (medicaid) patients.   the welty home, lc at 52 washington ave, wheeling, west virginia continued to provide assisted living care at its facility for a maximum of 52 residents in 52 individual private rooms. Rates for private room, board, laundry and nursing care services are presently established at a per diem rate for those residents with sufficient financial resources to pay such charges. If an applicant or a resident is unable to pay the full amount of such charges, the welty home, lc has adopted a charitable subsidy policy to assist such applicants or residents. In 2014, the welty home, lc provided approximately $77,000 of financial assistance to residents who were unable to pay the full amount of the regular occupancy fees.   the welty retirement apartments continued to provide a housing alternative, with increased security, comfort and specialized services, for the elderly who wish to be relieved of the burden of maintaining a free standing residence, but who do not have a desire or a need for custodial type of care offered at the welty home, allowing them to live independently and age (in place) to avoid the common situation where the elderly decline in physical and emotional health by being isolated in a single family home which is not physically suited to their needs and which they are physically unable to maintain. The welty retirement apartments provide a proper residential environment for the aged with special support services such as a secure building equipped with fire alarm, smoke detection, sprinkler system, (continued at schedule o) (continued) elevator, central call system, grab bars and other specialized equipment and facilities for the aged. In addition, at no extra cost, the welty apartments provide a limited level of medical supervision by a registered nurse, 24 hour coverage by personnel available to respond to the call system, all at a location convenient to transportation, shopping, hospitals and churches. Services also include transportation services, cleaning services and meal services to the residents of the apartments. If an applicant or a resident is unable to pay the full amount of rental charges, welty retirement apartments, lc has adopted a charitable subsidy policy to assist such applicants or residents. The welty retirement apartments, lc also continued to operate 8 apartments (the braddock apartments) for the elderly on the first floor of the good shepherd nursing home building, adjacent to the chapel. The braddock apartments continued to provide cost effective housing to its residents as well as expanded services such as transportation services, housecleaning services, dietary services and limited nursing services. Priority in admission is given to applicants who have a spouse or other loved one residing at good shepherd nursing home. Due to the support of the diocese of wheeling-charleston and the capital support of the clara welty trust, the welty home for the aged, inc. Has been able to continue to expand its charitable mission for the aged of ohio county west virginia without incurring substantial debt or operating deficits, while providing its employees with good working conditions, competitive wages and one of the highest levels of health care and other employee benefits in the geriatric care industry in west virginia.   welty home real estate, lc is a real estate holding company which owns an interest in the bertha welty apartments at 1315 and 1325 national road, wheeling, west virginia. Welty home real estate, lc continued to hold these properties and make them available to the welty retirement apartments, lc, without charge, for rental purposes. The bertha welty apartments is a 38-unit apartment complex for the elderly. The project was completed and opened for occupancy in september of 2008 and the occupancy rate was immediately 100%.			
Mountaineer Food Bank Inc	http://www.mountaineerfoodbank.org	(800) 426-4798	EIN 55-0611100	484 Enterprise Dr	Gassaway	WV	26624	USA	Food, Food Banks & Pantries, Food Programs	To help to alleviate hunger in west virginia, to educate the general public of the organizations existence and mission, promote awareness of hunger in west virginia, continue to develop and maintain a network for food acquisition, storage, distribution and usage throughout the state, and seek out and collaborate with other organizations who share the mission to alleviate hunger in west virginia.		Distribution of surplus food, supplies, and commodities in the state of west virginia through a network of food pantries and other eligible organizations.			
Blue And Gray Reunion Incorporated	http://		EIN 55-0694080	804 Baughman Rd	Philippi	WV	26416	USA	Arts & Culture, Historical Organizations						
New Life Worship Center	http://		EIN 55-0639383	1492 Knights Rd	Weirton	WV	26062	USA							
G - Force Boosters Inc	http://	(304) 844-1505	EIN 55-0696875	Po Box 517	Morgantown	WV	26507	USA	Amateur Sports, Sports	Training of amateur gymnastic athletes		Training of amateur gymastic athletes 60 gymnasts			
Altrusa International, Inc.	http://		EIN 55-6022164	PO Box 148	Parkersburg	WV	26102	USA							
St Joseph Health Initiative Inc	http://		EIN 55-0357048	137 Mount Saint Joseph Rd	Wheeling	WV	26003	USA		TO OWN, CONDUCT, OPERATE AND MANAGE A HOSPITAL, LONG TERM CARE FACILITY, OR OTHER RELATED ENTITIES OR INSTITUTIONS FOR THE CARE OF THE SICK AND INFIRM, AND FOR THE TRAINING OF NURSES FOR SUCH PURPOSES; TO PROMOTE AND SUPPORT HEALTHCARE AND CHARITABLE WORKS OF THE SISTERS OF ST. JOSEPH THROUGH EDUCATION, HEALTHCARE, PASTORAL AND SOCIAL MINISTRIES AND TO COLLABORATE WITH OTHERS FOR THE LIFE AND MISSION OF THE CHURCH AND THE PEOPLE OF WEST VIRGINIA; TO MAKE GIFTS, GRANTS OR DONATIONS FOR PUBLIC					
Ted Shuttlesworth Evangelistic Association	http://www.tedshuttlesworth.com	(304) 825-7000	EIN 52-1213895	Po Box 7	Farmington	WV	26571	USA	Christianity, Religion	Ted shuttlesworth evangelistic association spreads the gospel of the lord jesus christ through teaching and the ministry of the gifts of the holy spirit including healing and deliverance.		Ted shuttlesworth evangelistic association spreads the gospel of the lord jesus christ through teaching and the ministry of the gifts of the holy spirit including healing and deliverance.			
Elkins High School Alumnae Assoc Inc	http://		EIN 55-0726815	Po Box 782	Elkins	WV	26241	USA	Alumni Associations, Education						
Independent Assemblies Of God	http://		EIN 55-0601331	Po Box 6889	Wheeling	WV	26003	USA							
Webster County Commission Of Senior Citizens Inc	http://	(304) 847-5252	EIN 55-0534204	148 Court Squre	Webster Springs	WV	26288	USA	Human Services, Senior Centers, Seniors	To improve the quality of life for senior citizens in webster co, wv.		Title iii-b programs provide in-home, chore, and transportation services.   title iii-c programs provide congregate and home-delivered meals.   the lighthouse and fair programs provide caregiver and respite services to seniors and their caregivers.			
Petersburg Interfaith Pantry Inc	http://		EIN 55-0699479	Po Box 41	Petersburg	WV	26847	USA	Food, Food Banks & Pantries						
Montgomery General Elderly Care Center Inc	http://www.montgomeryhealth.com	(304) 442-5151	EIN 55-0623339	Washington Sixth Avenue	Montgomery	WV	25136	USA	Health, Nursing Facilities, Seniors	To provide quality, cost-effective, and convenient healthcare services that meet and exceed reasonable internal and external customer expectations.		The center provided 19,646 days of inpatient care.			
Mountaineer Military Museum	http://		EIN 02-0661275	345 Center Ave	Weston	WV	26452	USA	Arts & Culture, Museums						
Full Gospel Businessmens Fellowship International	http://		EIN 55-0566928	Po Box 1674	Parkersburg	WV	26102	USA							
Hardy County Historical Society Inc	http://		EIN 55-0672431	Po Box 4	Moorefield	WV	26836	USA							
Institute West Dunbar Pinewood Sub Area Planning Committee Inc	http://		EIN 55-0684575	142 Marshall Ave	Dunbar	WV	25064	USA		Community cleanup, community development, sewer, street lighting, playground improvement, road improvement, school youth and senior programs		Provided community cleanup, community development, and street lighting. Made playground improvement, sewer and road improvements. Also provided school youth and senior programs			
Ronald Mcdonald House Charities Of Southern West Virginia Inc	http://www.charlestonrmhc.com	(304) 346-0279	EIN 55-0631080	910 Pennsylvania Ave	Charleston	WV	25302	USA	Health, Patient & Family Support	To help alleviate the stress, financial hardship and loneliness that is often added to the trauma of illness by providing a temporary home to parents and families at an affordable cost, so that they could be near their child while he/she receives the necessary health care and recovers.		Provide temporary housing, lodging & other assistance for seriously & chronically ill children and their families. Provide support for community children's charities through grants.			
Association For Women In Science Inc	http://		EIN 52-1746263	Po Box 6315	Morgantown	WV	26506	USA							
