name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Emerging Leaders Program	Training Wheels -	After School Program -	Summer Program
Discovery Time School	http://www.discoverytime.net	814-623-2818	EIN 31-1444812	322 South Juliana Street Ste 2	Bedford	PA	15522	USA	Education, Preschools	Discovery time is dedicated to guiding and nurturing students through an academically rigorous & innovative inquiry-based curriculum which enhances their natural curiosity and supports them as they develop into lifeling learners. Through deep learning, personal motivation and individual accountability, discovery time school equips each student with the skills and mindset necessary for becoming successful, responsible and caring citizens of our global community. Teachers encourage students to challenge themselves, make positive choices and mature to independence within our democratic system. Students develop a love of reading, research, languages, cultures, exploration and the arts in a safe and healthy environment that celebrates their gifts and strengthens their confidence. Discovery time school is an institution that supports family, community, equality, stewardship, individuality, servant leadership, academic excellence and the fine arts.	Private academic school for students from 3 years old to 6th grade, summer childcare provided to children ages 18 months old to 10 years old, & before and after school care to students ages 3 - 10 years old.		Licensed private academic school from Toddler through Preparatory School (K-8).		Bedford County, Pennsylvania				
Feathered Sanctuary Exotic Bird Rescue	http://fsebr.webs.com/	(717) 464-3333	EIN 26-2172156	2911 Willow Street Pike	Willow Street	PA	17584	USA	Animals, Bird Sanctuaries	Our mission is to to find loving and nurturing homes for displaced companion birds. We will provide education for current owners in an attempt to keep a bird in his or her current home. If this is not possible, we have a companion bird friendly facility devoted to caring for displaced parrots as well as foster homes that will foster birds until a suitable adoption can be arranged. In order to reduce the numbers of birds needing relocation, we will provide educational materials to the public so that they may be better informed about the needs of companion birds.	We participate in Lancaster CARES and other outreach events to educate people on how to properly take care of their parrots.  Through education we hope to break the cycle of parrots being bounced from home to home	We have found forever homes for over 1,000 birds since we first opened our doors.	parrots find forever homes, to educate the public on parrots.		Lancaster and surrounding areas				
J'Burgh	http://www.jburgh.org	412-621-8875	EIN 	4607 Forbes Ave.	Pittsburgh	PA	15213	USA		J'Burgh is an initiative of the Hillel Jewish University Center of Pittsburgh with support from Shalom Pittsburgh and the Jewish Healthcare Foundation. It is designed to serve the needs of the approximately 2,500 Jewish graduate students and young professionals in their twenties living in Pittsburgh. Our mission is to bring together Jewish grad students, young professionals, and their friends to create opportunities for them to build a community together, celebrate their Judaism together, and network for professional opportunities and development. J'Burgh's goal is to provide a gateway for Pittsburgh's young Jewish adult population to explore and develop their personal Jewish identity within our city.		It is estimated that there are 2,500 young Jewish adults between the ages of 21-29 years old, living in Pittsburgh.  In our first full year of programming, we reached out to over 600 individual participants, and expect to have over 900 during the 2009-2010 academic year.		900	Pittsburgh				
DoPeace	http://dopeace.org	267-679-2170	EIN 26-4314228	140 S Easton Rd	Glenside	PA	19038	USA	Education, Graduate & Professional Schools, Literacy, Preschools, Remedial Reading & Encouragement	DoPeace is formed to bring the little children of the slums of the world into classrooms.	We have developed the infrastructure of local NGOs who have implemented our low-cost model of one-room schools in the slums of Bangladesh. Each school caters to 210 students and is established within a slum community of 300 to 500 families. The little children, along with their parents, simply walk to the schools within 10 minutes.	Since 2014, more than 10,000 children have been enrolled in DoPeace Learning Centers the slums of Bangladesh. We have developed an infrastructure of five NGOs, 100 teachers and professionals, and 45 one-room schools in five slums. We have the know-how and proven model of low-cost education (1 USD/month/child) that can be scaled up and implemented worldwide.	We have developed an infrastructure of five NGOs, 100 teachers and professionals, and 45 one-room schools in five slums. We have the know-how and proven model of low-cost education (1 USD/month/child) that can be scaled up and implemented worldwide.	We have developed the infrastructure of local NGOs who have implemented our low-cost model of one-room schools in the slums of Bangladesh. Each school caters to 210 students and is established within a slum community of 300 to 500 families. The little children, along with their parents, simply walk to the schools within 10 minutes. Currently, we have 45 such schools. Each school operates at a low cost of US$2,500 per year. We would need to establish 20 schools per year for the next three years t	DoPeace is formed to bring the little children of the slums of the world into classrooms. Since 2014, more than 10,000 children have been enrolled in the slums of Bangladesh.				
Twilight Wish Foundation	http://www.twilightwishfoundation.org	1-877-TWF-WISH	EIN 73-1670060	PO Box 1042	Doylestown	PA	18901	USA	Arts & Culture, Centers to Support the Independence of Specific Populations, Human Services, Humanities, Senior Centers, Seniors	Our mission is to honor and enrich the lives of deserving elderly through wish granting celebrations that connect generations.  Our vision is to make the world a nicer place to age, one wish at a time.	Wish Granting Program, DUTY Program, Intergenerational Education Program	Since our founding in 2003, we have impacted the lives of over 2,360 deserving senior citizens by making their heartfelt wishes come true.	We grant wishes to deserving, low income senior citizens, 68 and older, earning less than 200% of poverty level annually or who are permanent residents of a nursing facility.  Recipients should have a history of giving back to their community.	Approximately 200	U.S.				
Oakland Planning & Development Corporation	http://www.oaklandplanning.org	412-621-7863	EIN 25-1382510	235 Atwood Street	Pittsburgh	PA	15213	USA	Homeless & Housing, Senior Citizens Housing & Retirement Communities, Seniors	OPDC is a community-based organization that engages in planning and development activities that contribute to the vitality of Oakland.   It accomplishes this mission by:   Encouraging reinvestment in and stabilization of the community through real estate development, commercial revitalization, home ownership, and meeting the needs of low-income households, the elderly, and the special needs population;   Encouraging community resident participation in the planning process, fostering cooperation among the various constituencies in Oakland, and strengthening Oakland as a viable residential community;   Helping people in Oakland and surrounding communities become better able to compete in the job market and assisting them with job placements.	Real Estate Development, Community Organizing and Volunteer Engagement, Property Management, Workforce Development, Neighborhood Planning				All four Oakland neighborhoods in the City of Pittsburgh - Central, North, South, and West				
Lake Erie Fanfare Inc	http://www.leregiment.org		EIN 25-1611070	909 E 35th St	Erie	PA	16504	USA	Arts & Culture, Bands & Ensembles, Children & Youth, Unknown, Youth Community Service Clubs	An All volunteer 501(c)(3) non-profit organization dedicated to promoting the drum corps and related activities in our area for their educational, artistic and family oriented entertainment values									
The Lamb Foundation	http://		EIN 23-2482780	114 N Main St	North Wales	PA	19454	USA											
The Circle School	http://www.circleschool.org	717-564-6700	EIN 23-2304696	210 Oakleigh Avenue	Harrisburg	PA	17111	USA	Education	The Circle Schools mission is to provide self-directed schooling in a democratic environment emphasizing both freedom and responsibility- a great setting for authentic, internally motivated, passionate life choices to surface. The Circle School is part of the emerging worldwide movement of integral education.  The Circle School strives to be affordable to families at all income levels through a generous need-based financial aid program.	Licensed academic school for children preschool through 12th grade; approximately 67 students enrolled.		The Circle School admits students ages 4 - 18 without regard to financial ability, race, color, religion, ancestry, or sexual orientation. With or without special needs or giftedness, every child who wants to be here and can thrive in our community is welcome.		Greater Harrisburg, PA, including Dauphin, Cumberland, York, Lancaster, Lebanon, Perry, Adams, and Juniata Counties.				
Steppingstone Scholars, Inc.	http://www.steppingstonescholars.org	(215_ 508-5150	EIN 42-1612131	1301 Cecil B. Moore Avenue Ritter Hall/Annex 004-016	Philadelphia	PA	19122	USA	Education, Educational Services, Special Education, Student Services	The Steppingstone Scholars program prepares motivated schoolchildren for acceptance and success at college preparatory schools. These schools include, public,independent and parochial schools in the Philadelphia area.  Students are accepted into the Scholars Program in  fourth grade, begin  the 14-month academic preparation component during the summer before fifth grade, and begin attending their new schools in the sixth grade.  The Scholars Program comprises every phase of the Scholars' progression through the program, from admission in the fouth grade to graduation from college.		Of the 128 Scholars who have gone through the program, from 5th grade through high school, 87% entered college.  Of these, 97% are still on track to graduate, or have already graduated.  This year, 100% of Steppingstones high school seniors graduated from high school, as compared to 64% of their peers in the Philadelphia School District.							
Crawford County Literacy Council Inc	https://www.crawfordcountyreadprogram.net	(814) 337-7323	EIN 25-1642326	P.O. Box 1165 640 Walnut Street	Meadville	PA	16335	USA	Education, Literacy, Remedial Reading & Encouragement	Promote literacy in crawford county including the following: reading, introduction - reading, writing, math, english as a second language, and ged preparation.	The council provides guidance and tutoring in reading skills to many residents of crawford county.								
Golden Slipper Club Charities	http://www.goldenslipper.com	(610) 660-0510	EIN 23-6430340	215 N Presidential Blvd 1ST Fl	Bala Cynwyd	PA	19004	USA	Community Service Clubs	TO PROVIDE PROGRAM SERVICES & CHARITABLE ACTIVITIES TO SENIOR CITIZENS, CHILDREN IN NEED AND THE GENERAL PUBLIC WHEN CONSIDERED APPROPRIATE	The organization provided financial aid and recreational activities to underprivileged children, students and elderly in need of financial assistance. The organization awarded 48 scholarships to students and provided financial assistance to 118 needy families.								
Chabad of Penn State	http://www.psujew.com	814-863-4929	EIN 16-1650950	443 E Waring Ave	State College	PA	16801	USA	Judaism	To foster Jewish pride and identity by providing a warm environment that enables Penn State students to explore their Jewish heritage regardless of religious background or financial status.    To be a true Home Away from Home for every Jewish student at Penn State.					North-Central PA				
