name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Geographic areas served	Results	Target demographics	Direct beneficiaries per year
Mount Saint Clare Education Foundation	http://	(563) 242-7611	EIN 42-0745980	843 13th Ave N	Clinton	IA	52732	USA	Education, Undergraduate Colleges	To continue the long practice of offering scholarships to deserving students with financial need. The foundation was established as the successor nonprofit/tax-deductible entity of the franciscan university of the prairies.	The general purpose for which mount saint clare education foundation is organized is the conduct and performance of religious, educational and charitable activities. Mount saint clare education foundation provides scholarships and support to students pursuing courses of study at institutions of instruction and learning. In 2010, $70,550 in scholarships were awarded to 59 students attending ashford university in clinton, iowa. Ashford university certified that the amounts stipulated for each individual student by the foundation was credited to that student's account. In 2010, $250 was given to the ywca in clinton, iowa to be awarded to one student at the university of iowa. The foundation also sponsors and supports educational programs or courses of study at institutions of instruction and learning; creates, develops and delivers educational, extracurricular and religious programs and services for learners at all levels of preparation and at any geographic location; maintains and supports the members of the religious institute known as the sisters of st. Francis in clinton, iowa, who are roman catholic religious women dedicated to the service of god, who give public witness through their public profession of vows of poverty, chastity and obedience.				
Prayer House Warehouse Ministries, Inc.	http://		EIN 42-1371180	604 Catherine Apt E2	Radcliffe	IA	50230	USA							
Bishop Drumm Retirement Center	http://www.mercydesmoines.org/bishopdrumm	(515) 643-7302	EIN 42-0725196	5837 Winwood Dr	Johnston	IA	50131	USA							
Pella Tennis Association	http://		EIN 42-1140120	1018 210th Pl	Pella	IA	50219	USA							
Evangelical Lutheran Church In America	http://		EIN 42-1103964	Po Box 128	Alta Vista	IA	50603	USA							
National Ttt Society	http://		EIN 42-6068484	910 Stagecoach Rd	Coon Rapids	IA	50058	USA							
Montgomery County Family Young Mens Christian Association Inc	http://www.mcymca.com	(712) 623-2161	EIN 42-1433436	101 E Cherry St	Red Oak	IA	51566	USA	Human Services, Physical Fitness & Community Recreational Facilities, Sports, Young Mens or Womens Associations	The montgomery county ymca is a dedicated community service organization that includes men, women and youth in our community. We are dedicated to building strong youth, and strong families within our	The ymca views health holistically, a healthy person has unity of body, mind, and spirit. The ymca has identified the growing national obesity rates in this country as a critical social issue that must be addressed and our health and well being programs are designed to help people develop new skills and grow in spirit mind and body by setting realistic goals for self improvement and disease prevention through an active lifestyle, proper nutrition, stress management, and health education. Ymca programs promote interaction, teamwork, and development of moral and ethical behavior, social skills and self esteem. We serve all ages, abilities, races, nationalities and religions and provide financial assistance to those who need it. We provided $23,064 in financial assistance to members of our community.   demographic studies project that for the first time in our nation's history, children will live shorter loves than their parents and also face a declining standard of living. Every day the ymca helps to reinforce young people with positive values, their commitment to service and their motivation to learn. Ymca programs offer a range of experiences that develop children's cognitive social, physical and emotional growth. The ymca's 40 plus youth programs impact more than 700 children on an annual basis  the montgomery county family views its aquatics department as an area where a healthy person has unity of body, mind, and spirit for all. Adult water classes generate a new generation of participants all looking to build muscle strength and stamina to ultimately maintain an improved and healthier lifestyle. Group swim lessons; because of the increasing rate of child obesity, are very beneficial to the well being of youth in maintaining a more active and healthier lifestyle.				
Love For Animals, Inc.	http://		EIN 42-1144728	312 W 64th St	Davenport	IA	52806	USA	Animal Protection & Welfare, Animals						
South Des Moines Girls Amateur Softball	http://		EIN 42-1306584	Po Box 35032	Des Moines	IA	50315	USA	Baseball & Softball, Sports						
Brotherhood Of Christ Church	http://		EIN 31-1725462	Rr 1 Box 116a	Davis City	IA	50065	USA	Protestant, Religion						
4-H Clubs And Affiliated 4-H Organizations Allison Activettes 4	http://		EIN 42-1226448	PO Box 65	Bristow	IA	50611	USA							
Prairie And River Spirtual Resources Inc	http://		EIN 39-1892652	2010 E 38TH St Ste 104	Davenport	IA	52807	USA	Human Services, Neighborhood Centers						
Freedom Homes Of The Qcz Inc	http://		EIN 43-2083544	720 E Locust Street	Davenport	IA	52803	USA	Homeless & Housing, Low-Income & Subsidized Rental Housing						
Studio Arts College International (SACI)	http://www.saci-florence.edu	055 289948	EIN 	Via Sant'Antonino 11	Florence		50123	Italy	Arts & Culture, Arts Education	Studio Arts College International, Florence, Italy, was founded in SACIs mission is to provide undergraduate and graduate students with a challenging, life-enhancing experience in the center of Florence in traditional and contemporary studio arts, design, conservation, and art history. Students directly access centuries of Italian culture through a wide range of courses of academic excellence. SACI engages in leading areas of research and exploration, interacts with the community through artistic and social programs, and prepares students to excel in their chosen field.   SACI offers many different programs of study to meet the diverse needs of students: Academic Year Abroad, Academic Semester Abroad, Post-Baccalaureate Programs in Studio Art and Conservation, MFA Program in Studio Arts, Photography and Communication Design, MA Program in Art History and Summer Studies (including summer term non-credit study programs).		Worldwide	http://www.saci-florence.edu/6-category-support-saci/115-page-saci-donors.php		
Substance Abuse Service For Clayton County Inc	http://		EIN 42-1178988	600 Gunder Rd Ste 7	Elkader	IA	52043	USA	Mental Health, Substance Abuse Treatment						
Neighborhood Housing Services Of Davenport Inc	http://www.mvnhs.org	(563) 324-1556	EIN 42-1154088	710 Charlotte St	Davenport	IA	52803	USA	Home Improvement & Repairs, Homeless & Housing, Housing Development, Construction & Management, Housing Rehabilitation	To promote and sustain affordable housing options for low to moderate income individuals and families. To renew pride, restore confidence, promote reinvestment, and revitalize neighborhoods.	Assisting low and moderate income persons in obtaining and maintaining a home.   assisting low and moderate income persons in maintaining their homes with repairs and lead abatement.   assisting low and moderate income persons in maintaining their lease through rental assistance.				
Washington County Humane Society	http://pawsandmore.petfinder.com/	(319) 653-6713	EIN 42-1096734	1004 1/2 W Madison St	Washington	IA	52353	USA		Paws & more animal shelter, also known as washington county humane society, is a private, adoption guarantee shelter located in washington, iowa. "paws" stands for "providing animals with shelter", while "more" stands for the loving care and treatment we give to every animal who passes through our door. We provide humane care to all animals needing protection, seek suitable homes for animals without owners and provide euthanasia only when medically or behaviorally necessary.	The shelter provides animal control for washington county as well as implementing a volunteer class program which currently has over 100 participants. In addition, the shelter provides a place for community service work and has a pet therapy visitation program weekly allowing elderly nursing home residents to interact with various pets. In 2014 paws and more animal sheter took in 608 animals.				
First Church Of The Open Bible	http://		EIN 42-1333392	509 S 17th St	Clear Lake	IA	50428	USA							
Susan G Komen Breast Cancer Foundation	http://		EIN 42-1438018	Po Box 65664	W Des Moines	IA	50265	USA							
Green Mountain Community Park Inc Producers Savings Bank	http://		EIN 42-1145388	3346 160th St	Gladbrook	IA	50635	USA							
Senior Center Commission	http://		EIN 42-1152264	28 S Linn St	Iowa City	IA	52240	USA							
Urbandale Girls Recreation Association	http://www.leaguelineup.com/welcome.asp?url=ugra	(515) 577-9011	EIN 42-1216032	Po Box 7774	Urbandale	IA	50323	USA		The association provides structured athletic participation, education and social interaction opportunities for girls residing in or attending schools in urbandale, iowa. The association charges fees to participate in those activities to provide and maintain facilities and equipment necessary for the girls to receive instruction/training in the sports and to compete in the sporting activities to further develop their learned skills as well as teamwork and sportsmanship.	Provided recreation/education of youth through softball, basketball, volleyball and track programs. Benefitted approximately 600 girls who reside in or attend school in the city of urbandale, iowa.				
Faith Lutheran Church	http://		EIN 42-0844344	3101 Hamilton Blvd	Sioux City	IA	51104	USA							
Lamb Arts LTD-LAMB  Arts Regional Theatre/School	http://www.lambtheatre.com	712-293-0930	EIN 20-3694629	LAMB Arts Regional Theatre 417 Market Street	Sioux City	IA	51103	USA	Arts & Culture, Arts Education, Performing Arts Schools, Theater	OUR VISION: LAMB Arts Regional Theatre, a 501( c ) 3 nonprofit organization, is an artistic focal point for our area, enriching the quality of life for all residents in the tri-state region--A showcase for outstanding live theatre productions and an arts education program that is second to none. OUR MISSION:  LAMB Arts Regional Theatre provides its audience, performers and students first class experiences where dedication, excellence, and professionalism are the norm, affirming our belief that quality arts opportunities should be accessible to everyone.	LAMB Theatre presents 9-12 fully produced theatrical productions annually.   The LAMB School serves nearly 5,000 students (babies -Kindermusik---through young adults) through workshops, classes, lessons and special performances.  LAMB has and is associated with other nonprofit organizations in successful collaborations.	Northwest Iowa, Western Nebraska,Western South Dakota	LAMB has collaborated since Camp Imagination (Mary Treglia House project) began presenting music/theatre experiences for their students;worked with the Siouxland Autistic Families in Celebrate Autism (creative dramatics leading toward a public performances).   The LAMB Caravan has traveled just under 12,000 since 2009 presenting children's theatre plays to families in Wyoming, Montana, North Dakota, South Dakota, Nebraska, and central & northwest Iowa.	LAMB targets any individual in the tri-state area of any age who is interested in the lively arts.	LAMB Theatre plays to patrons in 147 different zip codes.  The LAMB School serves 5,000 students annually through workshops, lessons, classes, and special performances.
Gates Memorial Trust	http://		EIN 42-6070488	606 Southwoods Dr	Nevada	IA	50201	USA							
Decorah United Soccer Club	http://		EIN 26-1725537	1923 Ballroom Rd	Decorah	IA	52101	USA	Soccer, Sports						
House Of Compassion	http://	(641) 752-5999	EIN 42-1423404	211 W Church St	Marshalltown	IA	50158	USA	Community Service Clubs	To provide food and shelter for the low income and homeless.	The homeless shelter served over 256 homeless individuals and the soup kitchen served 18,783 meals. There was 21,650 volunteer hours contributed to the organization.				
Liga Latina De Futbol Del Centro De Iowa	http://		EIN 42-1560997	2200 Se Windover Dr	Ankeny	IA	50021	USA	Ethnic &  Immigrant Centers, Immigration						
St Marys Parish Foundation	http://	(641) 236-3174	EIN 42-1149288	Po Box 744	Grinnell	IA	50112	USA		Prov for needs of st marys catholic church					
Pella Community Affairs Commission 507 Franklin St	http://		EIN 42-1319400	518 Franklin Street	Pella	IA	50219	USA	Nonprofit Management						
Consultimate International Inc	http://		EIN 52-1691868	PO Box 121	Thurman	IA	51654	USA							
Westminster House Inc	http://		EIN 42-1114920	940 Cummins Pky	Des Moines	IA	50312	USA	Mental Health, Residential Mental Health Treatment						
St John Evangelical Lutheran Church	http://		EIN 42-6005460	416 Main Ave	Clinton	IA	52732	USA							
Avon Community Church	http://		EIN 51-0162672	5975 Se 46th St	Carlisle	IA	50047	USA							
Demolay International	http://		EIN 42-1435596	312 E College St	Iowa City	IA	52240	USA							
Norwalk Soccer Club	http://		EIN 42-1455480	Po Box 431	Norwalk	IA	50211	USA	Soccer, Sports						
Society Of Manufacturing Engineers	http://		EIN 42-6102468	2201 Van Buren Ave	Ames	IA	50010	USA							
Starr Home For Aged	http://		EIN 42-0698052	302 N Grand Ave	Charles City	IA	50616	USA	General Hospitals, Health						
Helping Hands Food Pantry	http://	(641) 828-7702	EIN 42-1389348	Po Box 412	Knoxville	IA	50138	USA		Provide food,clothing,furniture,shelter for low income families	Fed 6,540 families fed 16,060 individuals				
Forensic Association Of Computer Technologists	http://		EIN 42-1419912	Po Box 214	Donahue	IA	52746	USA	Technology						
Syracuse Recreational Trail	http://		EIN 42-1472244	PO Box 220	Wheatland	IA	52777	USA	Environment, Parks & Playgrounds						
Friends Of The Cedar Falls Public Library Inc	http://	(319) 266-3023	EIN 42-1181508	524 Main St	Cedar Falls	IA	50613	USA		Sale of donated books at a low cost to support youth and youngadult activities in cedar falls.	Support for cedar falls public library. Includes contributions to youthand young adult programs and public services as well as general supportof library operations and contributes to the library endowment fund.				
Friends Of The Mines Of Spain	http://		EIN 42-1423836	8991 Bellevue Hts	Dubuque	IA	52003	USA	Animals, Wildlife Sanctuaries						
White Eagle 7th Generation Multicultural Pow Wow Incorporated	http://www.whiteeaglepowwow.org		EIN 22-3859273	2901 Maple St	Wdm	IA	50265	USA	Arts & Culture, Civil Rights, Cultural & Ethnic Awareness, Humanities	White Eagle 7th Generation Multicultural Pow Wow, founded in 2000, "To have a gathering to bring down the walls of misunderstandings, to help all races mend theSacred Circle of Life"					
Pta Iowa Congress Fulton	http://		EIN 42-6120348	2540 Central Ave	Dubuque	IA	52001	USA							
Spectrum Resource Program	http://www.spectrumresourcesdsm.org	(515) 288-1023	EIN 42-1452303	1700 Keosauqua Way	Des Moines	IA	50314	USA	Community Coalitions, Employment Preparation & Procurement, Homeless & Housing, Housing Rehabilitation, Job Training	Spectrum resources goal is to develop innovative career training systems for the unemployed, under-employed and hard to place members of the central iowa workforce. Through our mission; to guide our clients on the critical path, providing support in their pursuit of continued quality improvement in all aspects of life, we help individuals become more complete, whole citizens.	Prevention/reduction of juveile delinguency and ex-offender recidivism in iowa through career and on-the-job training in fields that stimulate and compensate individuals.				
Waverly Area Veterans Post	http://		EIN 27-0443329	Po Box 454	Waverly	IA	50677	USA	Military & Veterans Organizations, Veterans						
Great River Players Inc	http://		EIN 42-1208690	Po Box 112	Keokuk	IA	52632	USA	Arts & Culture, Theater		Provided 3 amateur theatrical productions and 2 youth programs to introduce youth to theatre				
Evangelical Free Church	http://		EIN 42-1184160	302 S 2ND St	Polk City	IA	50226	USA							
First Resources Corp	http://www.firstresources.us	(641) 622-2543	EIN 42-1279294	102 S Main St	Sigourney	IA	52591	USA	Job Training, Vocational Rehabilitation	Provides rehab services to those needed	Family & children services- an array of programs designed to prevent or alleviate abuse or neglect of children-emotion, physical, sexual, and to prevent an out-of-natural-home placement  residential services - services in this area include home and community base service waiver, community supervised appartment living arrangement children at home and in home health care  mental health services- community based mental health services to individuals diagnosed with chronic mental illness  vocational services - vocational employment training and supported employment services within a community based setting are provided to people with disabilities.				
Amanda Cares Inc	http://www.amandathepanda.org	(515) 223-4847	EIN 42-1166117	1821 Grand Ave	Wdm	IA	50265	USA	Family Services, Health, Human Services, Patient & Family Support	Amanda the panda's mission is to restore grieving children and families back into the mainstream of their lives through innovative services that provide hope and healing. Services include: weekend grief camps, support groups, fun days, school visits, community outreach and holiday support.	Camp amanda - for children & adults that have experienced the death of a loved one; amanda the panda & support groups - caring support for children and family members.				
Council On American Islamic Relations Iowa Chapter	http://		EIN 27-1408016	5001 1st Ave Se	Cedar Rapids	IA	52402	USA	Arts & Culture, Cultural & Ethnic Awareness						
Teen Challenge Of The Midlands Inc	http://		EIN 47-0601957	900 N League Rd	Colfax	IA	50054	USA	Mental Health, Substance Abuse Treatment						
Optimist International	http://		EIN 42-6075502	808 N 8th St	Red Oak	IA	51566	USA							
Wildthunder Wildlife and Animal Rehabilitation and Sanctuary	http://www.wildthunderwars.com	319 961-3352	EIN 81-1441270	2584 Henley Ave. Independence, IA. 50644	Independence	IA	50644	USA		To help injured and orphaned wildlife, including bats, reptiles, raptors, and all other animals in need. To rehabilitate and return wildlife back into the wild when ever possible, or to find educational placement when it is not. To educate the public about the benefits of wildlife, and the importance of spaying and neutering domestic animals. To educate and fight against animal cruelty and neglect.					
Crittenton Center	http://www.crittentoncenter.org	712-255-4321	EIN 42-0698246	814 Pierce St., Suite 100	Sioux City	IA	51101	USA	Education, Elementary & Secondary Schools, Family Services, Homeless & Housing, Homeless Shelters, Housing & Shelter, Literacy	Crittenton Center has advocated for children and families in Siouxland for over one hundred twenty-one years.  Today's Crittenton Center programs are multi-disciplinary, family oriented services designed to encircle families with a continuum of nurturing support.  Its Mission is, "Crittenton Center provides services and life skills to all children, young adults and families empowering them to lead quality and self-sufficient lives."	Emergency Shelter, Child Development, Daycare, Preschool, HOPES Program, Supervised Adult Living (SAL)	Siouxland Area	Over 3,000 area children and families served in our Fiscal Year 2016!  *Over 150 infants - 4 yr olds received quality child development services  *Over 30 homeless individuals were helped to find a place to live & receive support  *Over 2,500 children and families rec'd parent education, resource or referral information.   *Over 110 parents were provided in-home support to enhance their parenting skills	Local/Regional children and families in need of support	3,000 children and families
Affiliated Wood Carvers Ltd	http://	(563) 359-9684	EIN 42-1187604	2724 State St	Bettendorf	IA	52722	USA		The organization promotes and educates the public about the art of woodcarving.	Provide shows, viewings, and competitive exhibits of the art of woodcarving.				
Peace Haven Endowment Corporation	http://		EIN 42-1203816	812 Central Street	Walnut	IA	51577	USA							
Beat Cancer Today, Inc.	http://		EIN 46-0582681		West Des Moines	IA	50266	USA		The mission of Beat Cancer Today is to raise awareness of childhood cancer and provide financial support for continued childhood cancer research and patient and family support programs.					
World Marketplace	http://		EIN 42-1335468	601 Hollywood Blvd	Iowa City	IA	52240	USA	Arts & Culture, Arts, Culture & Humanities						
Kanawha Emergency Medical Technicians Advisory Board	http://		EIN 42-1222884	Po Box 167	Kanawha	IA	50447	USA	Health, Health Support						
A Call To Serve Ministries of Iowa	http://www.actsofiowa.org	641-780-7858	EIN 26-1811074	951 204th Pl	Pella	IA	50219	USA	Christianity, Emergency Assistance, Home Improvement & Repairs, Homeless & Housing, Housing Rehabilitation, Religion	Through volunteering our time and talents we model Gods love, build stronger Christian relationships, and promote servant leadership in our communities.	The ministry has completed over 500 projects in 16 iowa communities. The volunteers have provided assistance in home repair, maintenance and disaster response.	Central Iowa			
Four Oaks Family And Childrens Services	http://www.fouroaks.org	(319) 364-0259	EIN 42-0998726	5400 Kirkwood Blvd Sw	Cedar Rapids	IA	52404	USA	Family Services, Human Services	Four oaks assures children become successful adults.	Pmic/rt: four oaks' psychiatric medical institution for children (pmic) beds, and our comprehensive and community residential treatment beds (rt) are places that provide out of home treatment of an intense nature to help children whose behavior or emotional issues have escalated to a point that has often "overcome" the family and sometimes the community. During their time with us they engage in a variety of treatment processes, designed to help the child gain better control over their own behavior, better understand themselves, and work through issues that may have arisen in their families. Four oaks serves children in iowa ranging in age from 5-17. We served over 500 kids and their families during the year.   community based programs: four oaks offers an array of community based programs including behavioral health intervention services, safety & permanency, parents as teachers, pediatric integrated health, supervised community treatment & functional family therapy. This array of community based child and family support services help to stabilize individual and family functioning, reduces the risk of child abuse and juvenile crime, and assists families to be self sufficient in meeting the needs of their children. Four oaks serves children in iowa ranging in age from 0-17. We served over 3,500 kids and their families during the year.   r&r: four oaks holds the dhs state contract for the recruitment and retention (r&r) of resource families. Requirements of this contract are to recruit and retain foster and adoptive parents; provide support to foster parents; complete home studies and make recommendations to dhs on foster care and adoptive family applicants; provide post adoption support services to families with iowa adoption subsidy; and to make foster family match recommendations to dhs when children are referred to foster care. Four oaks serves children in iowa ranging in age from 0-17. We served over 7,000 kids and their families during the year.   four oaks offers other programs that include after school & summer activities, classrooms that help school districts with student behavioral issues, and emergency shelters. Four oaks serves children in iowa ranging in age from 5-17. We served over 3,500 kids and their families during the year.				
4-H Clubs And Affiliated 4-H Organizations	http://		EIN 42-1222752	Local	Anamosa	IA	52205	USA							
Full Harvest Housing Inc	http://	(641) 772-4295	EIN 42-1466136	1461 250th Ave	Tingley	IA	50863	USA	Homeless & Housing, Senior Citizens Housing & Retirement Communities, Seniors	The organization provides 24 subsidized rental unts for low income elderly individuals through a program with the us department of housing and urban development.	The organization provides 24 subsidized rental units for low income elderly individuals through a program with the us department of housing and urban development.				
Iowa Friends of Companion Animals	http://www.iafriends.org	515-556-5949	EIN 27-0777011	1321 41st Street	Des Moines	IA	50311	USA	Animals	To advance the humane and responsible treatment of companion animals through collaboration and public awareness.	public awareness, law enforcement agency education, grassroots advocacy.	Iowa	Our research into the conditions in Iowa puppy mills supported the passage of a significant piece of state legislation providing additional protections for dogs in commercial kennels. We'll continue to do similar research and will continue to raise awareness.	dogs in Iowa puppy mills.	thousands of dogs.
Safe Haven Of Iowa County	http://www.wesavepets.com	(319) 655-8502	EIN 41-2186380	Po Box 444	Williamsburg	IA	52361	USA	Animal Protection & Welfare, Animals	Animal rescue	The organization rescued neglected and abandoned pets and animals and placed the animals in new homes.				
The Monroe Wildcat Athletic Booster Club	http://		EIN 42-1175376	Hi 163	Monroe	IA	50170	USA							
C & WS Rustic Hollow Shelter Inc	http://www.rustichollowshelter.org		EIN 42-1456194	Po Box 67	Nashua	IA	50658	USA	Federated Giving Programs, Philanthropy						
4-H Clubs & Affliated 4-H Organizations	http://		EIN 42-1398432	19346 Keystone Rd	McGreger	IA	52157	USA							
Calamus Wheatland Youth Ball	http://www.littleleague.org/		EIN 42-1230900	2330 190th Ave	Calamus	IA	52729	USA	Amateur Sports Competitions, Baseball & Softball, Recreation & Sports, Sports	To provide healthy activity for children using the ball field as a classroom to instill discipline, team work, sportsmanship and fair play, and to establish a set of values to guide them into adulthood.					
Friends Of The Hull Public Library Inc	http://		EIN 42-0425604	631 2nd St	Hull	IA	51239	USA	Education						
E W Montgomery Trusteeship	http://www.jewell.lib.ia.us		EIN 42-1111284	Po Box 207	Jewell	IA	50130	USA		Public library	Public library serving the residents of the city of jewell iowa population of 1195 people and the residents of hamilton county iowa population of 15302 people				
United Presbyterian Church In The Usa Central Park Presbyterian Chur	http://		EIN 42-0698292	1700 B Ave Ne	Cedar Rapids	IA	52402	USA							
Junior Hawks	http://www.wyha.org	(319) 234-6885	EIN 42-1222500	Po Box 2041	Waterloo	IA	50704	USA	Camps, Sports	To help individuals develop as athletes, leaders, and members of the community through a competitive hockey program that emphasizes excellence, committment, discipline, teamwork, and sportsmanship.	The organization provides competitive hockey programs for youth ages five through 18: approximately 130 skaters.				
Immanuel Lutheran Church	http://		EIN 42-1141620	229 11th Ave W	Grinnell	IA	50112	USA							
St Mary Coptic Orthodox Church	http://		EIN 42-1306500	3506 Hillsdale Dr	Urbandale	IA	50322	USA	Christianity, Religion						
T L C Broadcasting Corporation	http://www.kcmrfm.com	(641) 424-9300	EIN 42-1096296	316 N Federal Ave	Mason City	IA	50401	USA		It is the mission of kcmr	Daily fm broadcasting to the north iowa and southern minnesota area providing programming that offers music & features to enhance the quality of life, further christian living, and to help people deal with family & social issues.				
Rise Ltd	http://		EIN 42-1148364	106 Rainbow Dr	Elkader	IA	52043	USA	Job Training, Sheltered Employment	EMPLOYMENT TRAINING, LIVING JKILLS THROUGH SUPERVISED APARTMENT AND DAY HABILITATION PRDGRAMS AND 10.UNIT RESIDENTIAL CARE GROUP HOME FOR CHAUENGED AOUCTS.					
Ackley Christian Reformed Church	http://		EIN 42-1439916	903 Cerro Gordo	Ackley	IA	50601	USA							
Kossuth Connections Coalition Inc	http://kossuthconnections.com	(515) 320-0585	EIN 26-1402287	2300 River Rd	Algona	IA	50511	USA	Community Coalitions	Kossuth connections coalition works towards making kossuth county a safe, healthy, crime and drug free place to work, live, and raise kids by reducing the use of substance use, empowering youth by developing leadership opportunities, and limiting the access to substances in the county.	The caddy shack provides opportunities to the youth in the community to develop leadership skills as these are their first jobs. The experience helps empower them to take responsibility and learn different types of management skills. The caddy shack also provides a family friendly event for all ages to encourage kids to seek positive activities throughout the community.   youth development is an iowa of department of public health grant to bring researched based prgramming to youth. Kossuth connections delivers the life skills curriculum to the north union school which addresses prevention and promoting positive youth development.   drug free community support grant funds our coalition to lead the community towards two overall arching goals: (1) reduce underage drinking and (2) increase the community capacity to address the issues related to underage drinking.				
