name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Crisis Shelter	Childrens Crisis Shelter 	Crisis Hotline
Foundation for Children With Microcephaly	http://www.microcephaly.org	(623) 476-7494	EIN 83-0478788	21620 N. 26th Ave.  #140	Phoenix	AZ	85027	USA	Health	To make a difference in the lives of children diagnosed with Microcephaly and other closely-related neurological disorders.	In 2011 we granted a boy's wish to meet his favorite band, Sugarland. We also held our 4th successful convention in June 2012. The top doctors in the field met with families from all over the world for this educational experience.			All over the world	Wish Upon a Star, Operation Star Connect, "We Are Not Alone" biennial conventions			
COMMUNITY ALLIANCE AGAINST FAMILY ABUSE	http://www.caafaaz.org	(480) 982-0205	EIN 86-0912044	PO Box 3778	Apache Junction	AZ	85217	USA	Domestic Violence,Family Violence Shelters,Homeless & Housing	Empowering individuals, families and communities affected by domestic abuse.					Prevention, Intervention, Community Collaborations and Perpetrator Accountability			
New Era Childrens Fund	http://www.newerachildrensfund.org		EIN 86-0978466	12614 N 28th St	Phoenix	AZ	85032	USA	Children & Youth,Children & Youth Services	We help children recognize their innate nobility and thus develop a character with virtues and self esteem.								
Face in the Mirror Foundation	http://www.faceinthemirror.org	(480) 443-1344	EIN 81-0641294	6615 N Scottsdale Rd Suite 118	Scottsdale	AZ	85250	USA	Health	IMPROVE THE OUTER WELL-BEING OF CANCER PATIENTS	We were located at St. Josephs Medical Center Center taking care of Oncology patients (women & men).  At St. Josephs our volunteers visited Barrow's Neurological where we cared for the brain tumor patients and also visited patients who were receiving Radiation. We also had a relaxation room where patients could receive soothing facials or relaxing hand and foot massages outside of the hospital room environment. FIM also has a children's outreach, All About Us Kids, which served the children at Phoenix Children's Hospital and Maricopa Integrated Systems, seeing the child from the burn unit and all other childhood diseases. AAUK pampered the children and their mothers, provided them with toys, manicures, and games.		Over 4,000 cancer patients	Phoenix-metropolitan area	Provide a monthly "In Celebration of Life" Tea Party for the Cancer Patients, where hundreds of patients have found a day away from the medical worries, meet new friends, and truly celebrate life.			
Make Way For Books	http://www.makewayforbooks.org	5203986451	EIN 31-1583036	700 North Stone Avenue	Tucson	AZ	85705	USA	Education,Educational Services,Libraries,Philanthropy,Voluntarism Promotion	The mission of MAKE WAY FOR BOOKS (MWFB) is to give all children the chance to read and succeed. MWFB provides a full continuum of early literacy education, programs, and resources to make sharing books an important and enjoyable part of families' lives. Our highest priority is to serve economically disadvantaged families with young children (birth through five) and early childhood professionals in under-served areas of Tucson and southern Arizona. MWFB envisions a community in which all children enter kindergarten with the necessary early literacy skills to be successful in school and throughout life.	Make Way for Books early literacy programs create greater access to books, support early childhood educators, and empower families to make shared reading a part of their childrens daily lives. In 2013-14 more than 5,500 books were provided to participating sites and over 20,000 books were checked out from Make Way for Books lending libraries. As a result of Make Way for Books programming, 94% of participating preschool and childcare sites reported they provide more storytimes for their children.In prior years, 100% of participating parents increased the amount of time they spent reading with their young children following participation in Make Way for Books programming.	young children and families	27,000 children in Pima County	Southern Arizona	one-on-one coaching and mentoring for child care and preschools teachers on early literacy strategies, family literacy programming, free books, community events, free Make Way for Books early literacy app, and many more			
Mini Angel Eyes	http://www.miniangeleyes.org	602-400-0826	EIN 47-4523739	31711 N 164th St	Scottsdale	AZ	85262	USA	Animal-Related,Animal Training,Animals,Children & Youth,Human Services,Youth Development	Mini Angel Eyes visits facilities and homes serving abused and at-risk Children, Veterans, Hospitals, Senior Centers and more!  Teams consisting of an owner and a miniature horse offering to strengthen those we serve with hope and love.  Our educational and interactive experiences were created to both educate about miniature horses, and also to promote teamwork, trust, motor skills and communication skills.  These programs have proven to be highly successful in lowering blood pressure,  reduce depression, increase teamwork, empathy, trust, communication, and so much more!	We have had a much needed Mini Van donated to our organization so that we may visit our clients year round here in Arizona.  Raleigh and Joey are attending training to become a crisis response team.  We are looking to train three more teams to be able to visit facilities in Arizona.	We serve children, Seniors, Veterans whomever is needed of animal Assisted therapy/learning.		Arizona	We provide animal assisted therapy for the seniors, homeless, veterans, and children in all stages of life.  We never charge those who need the animal assisted therapy.			
Junior League Of Phoenix Inc	http://www.jlp.org	(602) 234-3388	EIN 86-0178631	2505 N Central Ave	Phoenix	AZ	85004	USA	Women,Womens Service Clubs	The junior league of phoenix is an organization of women committed to promoting volunteer services, developing the potential of women, and improving the community through the effective action and leadership of trained volunteers.					Members volunteered at numerous events working together to make an impact on various community organizations. Members volunteered more than 100,000 hours, including time at the annual rummage sale - this event is arizona's largest "garage" sale and has been a valley tradition for more than half a century.			
Christian Growth Ministries Inc	http://		EIN 56-2505502	6321 E Catalina Dr	Scottsdale	AZ	85251	USA	Christianity,Religion									
Arc Of Arizona Inc	http://www.tempearc.org	(480) 966-8536	EIN 94-2778658	Po Box 26014	Tempe	AZ	85285	USA	Community Recreational Centers,Developmentally Disabled Centers,Disabilities,Human Services,Sports,Thrift Shops	The mission of the arc of tempe is to empower and enrich the lives of persons with developmental disabilities by teaching self-advocacy, life skills, and civic involvement through hands-on learning and recreational activities.					The arc of tempe continued its life skills, advocacy and recreation programs in 2014. Approximately 50 developmentally and intellectually disabled individuals benefited each month from a wide range of activities throughout the year. These activities included trips to the phoenix zoo, arizona diamondback baseball games, cultural entertainment events, the greatest human race, as well as recreational activities such as bowling, hiking, camping, music therapy and exercise therapy. Participants took part in a collaborative talent event, a time to shine, with a partner organization, best buddies. The arc also collaborated with the city of tempe. At the end of the year, we relocated our thrift store due to the planned demolition of its previous location by the city of tempe.			
Flagstaff Shelter Services Inc	http://www.flagstaffshelterservices.org		EIN 20-4921369	Po Box 1808	Flagstaff	AZ	86002	USA	Homeless & Housing,Homeless Shelters,Mental Health,Mental Health & Crisis Intervention,Substance Abuse Dependency, Prevention & Treatment	To ease the suffering of homeless men and women by providing shelter and services in a safe, supportive and caring environment and to assist them in overcoming the obstacles to obtaining permanent housing.								
Turn Your Life Around (TYLA) Inc	http://www.tylahelps.com	520-887-2643	EIN 32-0219375	1109 W Prince Road, Suite 111	Tucson	AZ	85705	USA	Family Counseling	The mission of Turn Your Life Around (T.Y.L.A.), Inc. is to support, encourage,and empower homeless men and women in sustaining their lives in recovery from drugs, alcohol and mental health issues.	2012 Year to Date services are as follows: This year alone Turn Your Life Around has served 345 women. We have placed 31 women in sober living facilities, where their recovery process can begin. We have assisted 3 women in the regaining their drivers license through the Homeless Court Program. This program substitutes outstanding fines with community service hours and substance abuse treatment. Our Employment Service class has assisted 23 women in resume writing, interview techniques, job skill assessments and job search.  Our Dress for Success program has given 42 women from various recovery programs in the community over 120 sets of clothing, undergarments and hygiene packets.  Turn Your Life Around has job training in our onsite retail thrift store. In collaboration with the Department of Economic Security Workforce we train women in marketing, sales, inventory and customer service. This satisfies the requirements for their monthly cash assistance, while preparing them for re-entry into the workforce. Year to date we have accommodated 25 women.  We mentored 18 women, showing them how to achieve a life style that is beneficial to productivity.  We want to see these women live a fulfilling life with their families and become strong examples for their children. We have given out 18 (2) way bus passes to women for transportation to and from services, we have supplied 10 women with infant and toddler clothing and have helped 4 women complete the community service hours needed to be released from probation and complete their legal requirements.				clothing giveaway, peer mentoring, employment service classes, recovery support groups, relapse prevention			
Bridging-AZ Furniture Bank, Inc.	http://www.bridgingaz.org	480-375-5454	EIN 20-1207001	25 N. Extension	Mesa	AZ	85201	USA	Human Services,Public & Societal Benefit	Mission Statement: Empowering People and Bridging Lives Toward Self Sufficiency	In the past 11 years we have distributed over 250,000 items to low income families. Also the winner of Scottsdale's Nonprofit of the Year - Sterling Award and Bank of America "Local Hero" award.	Previously homeless individuals and families	furnish over 300 homes and distribute over 4,000 items to caseworkers	Arizona	Distributing furniture and household goods to caseworkers to give to their clients.			
Heard Museum	http://www.heard.org	(602) 251-0221	EIN 86-0107517	2301 N Central Ave	Phoenix	AZ	85004	USA	Art Museums,Arts & Culture,Museums	The mission of the heard museum is to educate visitors and promote greater public understanding of the arts, heritage and life ways of the indigenous peoples of the americas, with an emphasis on american indian tribes and other cultures of the southwest.					The heard museum is a private non-profit museum that pursues an educational mission of educating the public about the arts and history of american indians and other indigenous peoples of the americas with an emphasis on peoples of the southwest usa. The heard accomplishes this task by: organizing exhibits that showcase both its collection of more than 40,000 fine artworks and cultural artifacts in its permanent collection and artworks from others; holding special events that highlight one or more aspects of native art, cultures, and/or history; hosting more than 12,000 school children touring the museum each year; supporting the careers of american indian artists in the heard museum shops and books & more, a boutique bookstore and gift shop; offering indigenous ingredients within the menu of the museum's cafe and coffee cantina; and by offering programming such as lectures, book signings and presentations by experts in art, history, and cultures. Approximately 118,000 people visited the museum during the year.			
Casa Center for Positive Social Change	http://www.casacares.org	602-254-6400	EIN 86-0299194	3030 North 3rd Street #200 Suite 200	Phoenix	AZ	85012	USA	Children & Youth,Children & Youth Services,Crime & Law,Sexual Abuse Prevention,Youth Development Programs	Casa's mission is to provide social and emotional learning programs and bullying prevention to children and adolescents to develop optimal relationship skills and to prevent abusive and violent relationships. Casa's prevention programs prevent children from becoming abused, from becoming abusive, bullying people, and from becoming involved in abusive relationships. In addition, Casa leads call to action movements to increase public awareness of verbal, and emotional, other abusive behaviors and to implement abuse prevention programs and social and emotional learning programs in schools, camps and after-school systems, as well as in businesses, houses of worship, health centers, and public entities.	Casa has reached:1 million children in our sexual abuse prevention programs, Kids Talk,  stopping sexual abuse for thousands of victims, resulting in arrests of numerous sex offenders.80,000 teens with Casa healthy vs. unhealthy dating relationship program, POWER25,000 students, teachers and parents with Social and Emotional Intelligence Learning (SEL)  and bullying prevention programs		Provided SEL trainings in 9 AZ Schools reaching approximately 2,000 students, teachers, and parents		Casa major program Prevention Education to teach positive social and emotional intelligence and relationship skills along with programs to prevent bullying, sexual abuse and teen dating violence.  Since 1980, Casa Programs have  reached over 900,000 children, teens and adults. Casa also  leads the Arizona State membership alliance  SEL 4 AZ of individuals and organizations who advocate throughout AZ to integrate Social and Emotional learning (SEL) in all AZ schools, families, businesses and communities.			
Valley Dogs Inc	http://www.valleydogs.org	(480) 898-3647	EIN 26-0896950	Po Box 364	Gilbert	AZ	85299	USA	Animal Protection & Welfare,Animal-Related,Animals	No-kill dog rescue organization					Rescue and adopt out dogs, aid in the spay/neuter of dogs when appropriate to lo-income families			
Women In New Recovery	http://www.winr.org	480-464-5764	EIN 	860 N. Center Street	Mesa	AZ	85201	USA		Help women lay down a foundation for long-term recovery from substance abuse with the goal of becoming productive members of their families and their community.		Our target demographics are adult women who are in need of rehabilitation from drugs and alcohol.		Worldwide				
Women's Aglow Fellowship	http://www.aglow.org/		EIN 86-0471597	1121 Paseo Pescador	Bullhead City	AZ	86442	USA	Christianity,Religion	Aglow International is an intercultural transdenominational organization of Christian women with more than 3,500 fellowships in more than 151 nations. Our mission is to lead women to Jesus Christ and provide opportunity for Christian women to grow in their faith and minister to others. Aglow's vision to impact the lives of women worldwide is expressed in the strategic focuses of: Prayer, Evangelism, Relationship, and Reconciliation.								
DESERT RIVERS AUDUBON SOCIETY	http://desertriversaudubon.org/	480-413-9805	EIN 20-5188919	1121 N. Terrace Road	Chandler	AZ	85226	USA	Environment	To educate and inspire Arizona to protect & preserve birds, wildlife & their habitats	We have successfully installed the Burrowing Owl Habitat at Zanjero Park, Gilbert and continue to monitor the status of the owls living there. We received the mayors award for over 100 hours of volunteer service this past year for our work at the Hummingbird habitat at Desert Breeze Park, Chandler. We have won a grant from AZ Game & Fish to produce Tour de Bird, a backyard habitat garden tour this year.			Chandler, Gilbert, Mesa, Queen Creek, Apache Junction, the San Tan Valley & parts of Pinal County.	Citizen science OwlWatchers, Burrowing Owl habitat installation, demonstrate sustainable landscaping at Hummingbird Habitat at Desert Breeze Park, monthly guided free Birdwalks, Early Birds Kids Club, monthly public education programs.			
Girls Rule Foundation Inc.	http://www.girlsrulefoundation.org/	 (480) 282-4242	EIN 45-2923956	15831 S. 42nd Street	Phoenix	AZ	85048	USA	Children & Youth,Girls Clubs	Our mission is to teach teen girls positive skill sets that will influence healthy choice making, create strong self-esteem and build bright futures. Through teaching our 4 principles our goal is to help girls stay on track, dream big and stay in school through college to be our next generation of leaders.	Girls Rule! is an Arizona based 501c3 nonprofit that creates life-changing programs and workshops for girls to help them build bright futures! Everything we do is to inspire, educate and empower teen girls!	Girls ages 12-16	1250 girls and their moms/grandmothers	Arizona	1. Building & Maintaining Self-Esteem/Self-Confidence 2. Making wise and healthy choices 3. Setting personal and financial goals 4. Building a step-by-step plan and mind mapping to achieve their dreams, and identify the tools, resources & education to make their bright future happen.			
Odyssey Preparatory Academy	http://www.odyprep.com	(623) 327-3111	EIN 26-2253742	6500 S Apache Rd	Buckeye	AZ	85326	USA	Charter Schools,Education	To provide kindergarten through 8th grade education. We aim to develop inquiring, knowledgeable, and caring scholars who work to create a better and more peaceful community through intercultural awareness, understanding, and respect. Our scholars will grow as part of a challenging environment that facilitates creativity and fun. Our scholars will be empowered to use their unique talents to become active, compassionate, and lifelong learners who understand that other people, with their differences, contribute to solutions.					Kindergarten through 10th grade education.			
Posa Outreach Inc	http://		EIN 30-0322692	7229 E 1st Ave	Scottsdale	AZ	85251	USA	Children & Youth,Youth Development Programs	Posa outreach mission is to benefit families in scottsdale and phoenix metropolitan area through programs designed to provide a direct connection between the police force and community with programs such as shop with a cop, 907 fund, community services, k-9 program and others.					Shop with a cop, posa outreach signature event actually is three separate events including back to school, teen christmas and youth christmas shopping trips. Needy children in the community are paired with a police officer and given a gift card to spend for either school clothes or christmas gifts. The kids are treated to breakfast or lunch and are provided with a positive and supportive role model. Between all three events almost 900 children and needy families were served.  the 907 fund program benefits the families of police, fire and public saftey personnel injured or killed in the line of duty or otherwise injured or sick. During 2014 the 907 fund helped the families of four fallen officers and two other officers that were injured on the job.  posa outreach supports numerous community services and events designed to help the needy, children or aged including aging safely, partners for paiute neighborhood center, scottsdale explorer program, arizona black law enforcement employees (able), pals program, shrine circus, crime prevention programs, child abuse prevention etc. These programs involve volunteers and support to programs benefiting these groups.			
National Multiple Sclerosis Society	http://www.nationalmssociety.org/aza	(480) 968-2488	EIN 86-0180887	5025 E Washington St Ste 102	Phoenix	AZ	85034	USA	Health,Voluntary Health Associations & Medical Disciplines	People affected by ms can live their best lives as we stop ms in its tracks, restore what has been lost and end ms forever.					Research - to move us closer to a world free of ms, in 2014, the arizona chapter contributed towards the national multiple sclerosis society's investment of an estimated $50. 6 million to support more than 380 research projects around the world aimed at stopping ms in its tracks, restoring function, and ending the disease forever. The society collaborates worldwide to develop solutions for everyone affected by ms, including those with progressive ms, through the accelerated discovery and commercial development of promising research discoveries, new ms therapies, and research tools.  society activities - costs associated with funding constituent and community service, public education, and professional education conducted nationwide (beyond the chapters territory) for the benefit of individuals living with ms. This past year, more than 200,000 people living with ms received information, emotional support, and connections to resources and programs through the society's ms navigator program. In addition, more than 100,000 people attended groups and programs, and over 1. 1 million people engaged in conversations and accessed information and support through the society's social media channels.  client programs - people living with ms, family members, caregivers and other members of their support systems connect to each other and to an extensive variety of programs, services and resources. Many community based programs facilitate education, recreation, physical and emotional wellness, connection with others with ms, and family communication. Other programs, such as the financial assistance program, support independence, safety, health and quality of life for people living with ms and their families by offering guidance and resources to help contain the financial and other impacts of ms.			
International Pain Foundation	https://www.internationalpain.org	480-882-1342	EIN 47-3080556	38556 N. Dave Street	San Tan Valley	AZ	85140	USA	Health,Health Care,Health Support,Medical Research,Patient & Family Support	International Pain Foundation (iPain) is your Power of Pain headquarters. Our mission is to educate and support the chronic pain community around the world. iPain provides community based services that address needs of chronic pain patients with conditions such as RSD/CRPS, post cancer pain, fibromyalgia, diabetic neuropathy, lyme, lupus, and more.	The foundations objectives are reached through important educational events, support, resources, and enhancement projects that are funded through private donations and grants. The Power of Pain Foundation (dba: International Pain Foundation) demonstrates its commitment to the chronic pain community by promoting new knowledge in the cause and treatment of chronic pain conditions involving nerve pain. The ultimate goal is to provide tools and life skills to chronic pain patients giving them the ability to perform their regular activities in the community and to bolster societys ability to provide full opportunities and appropriate supports. Through supporting education for pain patients, family members, caretakers and medical professionals, we make an important contribution to the overall knowledge and treatment of chronic pain. This allows our foundation to affect the lives of the millions of people with Neuropathy pain nationwide as well as chronic pain patients, caretakers, family members and healthcare professionals. Whether you have Neuropathy pain or are a caregiver, family member or friend of someone diagnosed, well help you face the challenges and life changes of chronic nerve pain, head on.	the chronic pain community	millions of pain patients around the world.	worldwide	~ Promoting public and professional awareness of Neuropathy chronic pain conditions~ Educating those afflicted with the painful neuro diseases, their families, friends and healthcare providers on the disabling pain it causes.~ Provide action-oriented public education and pain policy improvement through activities and efforts to eliminate the under treatment of chronic pain and increase proper access to care.			
Susan G Komen Breast Cancer Foundation	http://		EIN 75-2844652	4560 E Broadway Rd	Tucson	AZ	85711	USA										
CAMP TO BELONG	http://WWW.CAMPTOBELONG.ORG	520-413-1395	EIN 94-3229145	12264 Parula Dr. P. O. Box 1146	Marana	AZ	85653	USA	Camps,Children & Youth,Foster Care,Sports	Camp To Belong's Mission is dedicated  to reuniting siblings separated in foster care  or other out-of-home care.	Our goal is to send 1000 siblings to a Camp To Belong each year!	Siblings separated in foster care or other out-of-home care ages 8 to 18.	750 to 1000	U.S.	Run week long camps to reunite sibling children who have been separated from each other within the foster care system.			
UNDERGROUND RAILROAD RESCUED KITTY NETWORK	http://www.URRKN.com	(602) 345-0007	EIN 90-0852922	1305 S 119th Dr	Avondale	AZ	85323	USA	Animal Protection & Welfare,Animals	We are an animalwelfare organization. Our goal is to assist in saving the lives of cats and kittens that are in shelters. Far too many animal shelters in the united states are overcrowded, and resort to putting healthy animals down because they do not have the facilities to care for them while they are looking for "forever" homes for them. Urrkn has a nationwide network of more than 6,000 volunteer drivers in 50 states that will help to provide transport for these animals from their shelter to their new forever homes.		Kitties reach happy & healthy forevers	Cleared our 500 th kitty home and just about to break 500k miles traveled.	Animal Rescue across the USA	We are going to the shelters to teach them how to use free resources to save more!			
RANCHO TIERRA MADRA CORP	http://www.tierramadrehorsesanctuary.org	(480) 469-9166	EIN 61-1544459	27115 N 45th St	Cave Creek	AZ	85331	USA	Animal Protection & Welfare,Animals	To provide a "forever home" to previously abused, neglected, injured or unwanted horses.		previously abused, neglected, injured, or unwanted horses		Cave Creek, Arizona	- a forever home to horses who have outlived their "usefulness" to humans- equine experiential programs to humans in different kinds of recovery- team building and leadership development for groups			
Youth on Their Own	http://www.yoto.org	(520) 293-1136	EIN 86-0644388	1443 W Prince Rd	Tucson	AZ	85705	USA	Children & Youth,Food,Food Banks & Pantries,Homeless & Housing,Homeless Centers,Youth Development Programs	Youth On Their Own is dedicated to support the high school graduation and continued success of homeless youth by providing financial assistance, basic needs, and guidance.	We have helped over 600 homeless students so far this school year, up 100% from this time last year. We have liaisons in approximately 130 schools throughout Pima County.				1. Student Living Expense Program: provides a financial incentive for students to attend school and do their very best academically.2. Emergency Needs Program: provides tangible assistance for students with a wide range of living essentials, including food, clothing, rent, utilities, and bus passes.Both programs incorporate the principles of guidance and accountability.			
Heroes Network	http://www.hn-foundation.org	6232086346	EIN 81-2938997	7025 E. Greenway Parkway #200	Scottsdale	AZ	85254	USA	Philanthropy,Philanthropy, Voluntarism & Grantmaking Foundations	Heroes Network is cause in the matter of impacting lives by engendering collaboration, contribution and community with a purpose of generating abundance that affords food, clothing, education and care for all in need, nationwide.	Heroes Network opened its doors in 2016 and has already impacted the lives and futures of children locally and nationwide.	families, children, veterans, and other targeted, underserved communities	children with school supplies needed to foster inspiration and learning.	The United States	food drives, needed supplies, and fundraising opportunities			
Cause Inc Foundation	http://		EIN 27-4621204	Po Box 10716	Phoenix	AZ	85064	USA	Human Service Organizations									
Arts Express	http://		EIN 86-0941657	4729 E Sunrise Dr Pmb 138	Tucson	AZ	85718	USA	Arts & Culture,Arts Education									
Mt Graham Safe House Inc	http://	(928) 424-4437	EIN 86-0800990	Po Box 1202	Safford	AZ	85548	USA	Mental Health,Sexual Assault Services	Assist victims of domestic violence, provide a 24 hour safe facility, and crisis intervention.					Provide a safe facility and outreach programs for victims of domestic violence and sexual assault.			
Harvest Christian Fellowship	http://		EIN 86-1033406	7601 N 31st Ave	Phoenix	AZ	85051	USA	Christianity,Religion									
Empire Ranch Foundation	http://www.empireranchfoundation.org	888-364-2829	EIN 86-0880702	PO Box 842	Sonoita	AZ	85637	USA	Environment,Natural Resources Conservation & Protection	The Empire Ranch Foundation (ERF) is a non-profit volunteer organization that was established in 1997.  Acting in cooperation with the Bureau of Land Management (BLM), the purpose of the Foundation is to protect, restore and sustain the Empire Ranch historical buildings and landscape as an outstanding western heritage and education center.		Adults, children, youth enrichment	3,000	Sonoita, Arizona	The annual ranch round up is held in the fall. The event brings in visitors and volunteers from all walks of life. The day has many exhibits and arena events which highlight ranch life. Local authors are given a venue to promote books which showcase the western ranching heritage of the south west. Other events, tours of the ranch, western movie showings and the ranch spring trail ride also educate the public as to our western heritage.			
Equine Wellbeing Rescue Inc.	http://www.EquineWellBeing.org	760-703-4860	EIN 45-2835562	PO Box 2722	Snowflake	AZ	85937	USA	Animal Protection & Welfare,Animal-Related,Animal Services,Animals,Veterinary Services	Providing loving rehabilitation, nursing and hospice care for equine with medical needs and finding homes or sanctuary for others at risk. Supporting the equine community through education and volunteer opportunities.	Since 2006, we have helped rescue, rehab and rehome over 550 horses and donkeys through our networking, shelter-in-place, sanctuary and adoption programs.	Horses and donkeys in times of need!	In 2015 we helped 35 horses and donkeys onsite and more through networking to find homes.	Serving the western states with facilities in Snowflake, AZ and southern CA.	Care for special needs equine, sanctuary of elderly or non-adoptable equine,  shelter-in-place and euthanasia funds, assisting families rehome their equine, education and volunteer opportunities for local communities and working with other rescues to assist more horses and donkeys in need.			
