name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Target demographics	Direct beneficiaries per year	Geographic areas served	Results		 
California ReLeaf	http://www.californiareleaf.org	916-497-0034	EIN 90-0138904	2115 J Street Suite 213	Sacramento	CA	95816	USA	Environment, Environmental Beautification, Natural Resources Conservation & Protection	California ReLeaf's mission is to empower grassroots efforts and build strategic partnerships that preserve, protect, and enhance California?s urban and community forests.	the California ReLeaf Network of urban forest nonprofits, urban forest pass-through grants, outreach and education, and legislative monitoring and advocacy.	plant and care for trees and to  create healthy, livable communities		communities throughout California	California ReLeaf is a nonprofit organization working statewide and is dedicated to improving the health and livability of Californias cities by planting and caring for trees. With over 85 partner organizations around the state, California ReLeaf engages volunteers to take action to improve the environment where over 94% of people live: in cities, towns, and metropolitan areas. Together California ReLeaf member organizations have planted and cared for more than 1 million trees with help from over 3 million volunteers.		
Elemental Strings and Band	http://www.elementalstrings.com	424-272-1559	EIN 27-3274582	1831 Stanford St Suite 111	Santa Monica	CA	90404	USA	Arts & Culture, Bands & Ensembles, Symphony Orchestras	Elemental Strings and Band is a 501(c)(3) non-profit organization that provides the Santa Monica community with a youth orchestra and band programs for elementary school-aged music students. Through a combination of large and small group instruction, we encourage a positive learning experience that supports students in improved self-confidence, a sense of belonging, and helping students reach their potential.  Our Mission is:  To inspire students to have a life-long love for music through the study, practice and performance of music To help students develop a strong sense of self-worth and self-respect through hard work and discipline To cultivate a strong and healthy community through music-making that promotes empathy, kindness, and the collaborative experience at an early age To encourage students to believe in their highest potential, and provide them with the necessary tools to reach their goals	Elemental Strings Orchestras, Prelude Program (a beginning strings program), and Elemental Band	elementary school-aged music students		Santa Monica			
Relief, Inc.	http://www.reliefinc.org	209-545-1700	EIN 03-0527665	2900 Standiford Ave.  Suite 16B  PMB 295	Modesto	CA	95350	USA	International, International Relief	The mission of Relief, Inc. is to improve the lives of the people of Liberia by mobilizing the International Community for the benefit of the country of Liberia and local communities in Northern California. Relief, Inc. will minister to the PHYSICAL, MENTAL, EMOTIONAL and SPIRITUAL needs of every MAN, WO MAN and CHILD of Liberia. Our mission is focused on aggressively reaching our goals; however, this requires the generosity and assistance of many.	WOW-Women Of Worth, KIS-Kids In School, Orphans, SHIP, HOPE, RILBT, WINGS, GROW	Women and children that have been negatively impacted by the 14 plus years of war in Liberia Western Africa. Locally, we target high school and college students for leadership training and mentoring. We also feed and cloth the homeless in the central valley of California.	400-500	Liberia, West/Africa and Modesto, CA	Shipments of food, clothing, Books, school and medical supplies delivered to Liberia. We have sponsored several children in school. (KIS program. We have also sponsored several women in tailoring and Computer school through our (Wow program).		
Southern California Golden Retriever Rescue	http://www.scgrescue.org	(866) 299-1899	EIN 30-0454968	Po Box 25698	Los Angeles	CA	90025	USA	Animal Protection & Welfare, Animals	Rehome and rehabilitate neglected, abused and/or abandoned animals in southern california	Rehome and rehabilitate neglected, abused and/or abandoned animals in southern california						
Soaring Spirits International	http://www.soaringspirits.org/	877-671-4071	EIN 38-3787893	2828 Cochran St #194	Simi Valley	CA	93065	USA	Health, Health Care, Mental Health, Philanthropy, Private Grantmaking Foundations, Public Health	Soaring Spirits builds community. We create, and maintain, innovative peer-based grief support programs that serve a worldwide population. Based on the powerful connections created by shared experience, we endeavor to ensure that no one need grieve the death of a spouse or life partner alone.	Soaring Spirits creates and maintains innovative and life-affirming events, groups, and on-line programs that provide vital access to hope for widowed people everywhere. Our programs include: Camp Widow, Widowed Village, Widowed Pen Pal, Widow's Voice Blog Library, Regional Social Events, You Are Not Alone Outreach, Share the Road Ride, and Widow Dash.	Any widowed person regardless of age, gender, nationality, sexual orientation, or religious affiliation		Worldwide	Soaring Spirits assessed program effectiveness in a survey of 877 widows and widowers. Respondents who used Soaring Spirits programs reported higher levels of each of the following when compared to respondents who do not use any Soaring Spirits programs: Resilience, Hope, Personal growth since the loss of their spouse, and Self esteem.		
California Shakespeare Theater	http://www.calshakes.org	510-548-3422	EIN 51-0169452	701 Heinz Ave	Berkeley	CA	94710	USA	Arts & Culture, Arts Education, Performing Arts, Theater	We strive for everyone, regardless of age, circumstance, or background, to discover and express the relevance of Shakespeare and the classics in their lives. **** We make boldly imagined and deeply entertaining interpretations of Shakespeare and the classics. **** We provide in-depth, far-reaching artistic learning programs for learners of all ages and circumstances. **** We bring disparate communities together around the creation of new American plays that reflect the cultural diversity of the Bay Area.	Founded in 1973, California Shakespeare Theater (Cal Shakes) is an award-winning, nationally recognized regional theater dedicated to the classics, with year-round artistic and educational programming. Under the leadership of Artistic Director Jonathan Moscone since 2000, Cal Shakes has earned a national reputation for creating immediate and revelatory responses to Shakespeare and the classics. Through our various programs, we expand access to the arts, and build diverse community ownership of our cultural vitality by fostering participatory approaches to the artistic process and arts education. * Our performance venue is situated in the stunning natural environment of protected open space in the hills between Berkeley and Orinda, CA. We produce four plays annually from June through late October. Under the leadership of Artistic Director Jonathan Moscone, we engage the most daring and unconventional artists from around the country to investigate and reveal great works of literature with an innovation and immediacy borne of theatrical innovation, intellectual rigor, and emotional honesty. * Cal Shakes' Artistic Learning (AL) program was formally established in 2001 to make our educational efforts accessible to students from ethnically, economically, and geographically diverse communities in Alameda and Contra Costa Counties. AL builds upon our 25 years of in-school and community-based theater training and educational activities, with a vision to create a culture of life-long learners, nourishing the imaginations of young people in preparation for the work of life. In 2007, we served over 5,400 young people from ethnically and economically diverse Bay Area communities, providing a continuum of learning opportunities in local schools, at our amphitheater, and through summer theater training camps. Our school residencies served 1,394 East Bay students. Our Student Discovery matinee program served 3,675 elementary, middle, and high school students from both urban and suburban/rural counties. More than 42% were underserved students from school in low-income communities. Our two- and five-week summer camps grew by 29%, augmented in part by the expansion of our two-week camp program into a new site in Oakland. * Launched in 2003, our New Works/New Communities program brings disparate community members together to participate as co-creators with our artists and theater partners in the development of new works of theater inspired by classic literature. In partnership with other arts and community-based organizations, we aim to make concrete connections between the work of classical writers and marginalized communities that for many reasons do not see themselves reflected in those plays. Through these collaborations, we aim to create sustainable relationships with diverse communities, contributing to a more vibrant, inclusive cultural ecosystem. Our first project, HAMLET: BLOOD IN THE BRAIN, by Naomi Iizuka, was a new play inspired by Shakespeare's masterpiece that relocates Elsinore to the drug-ravaged world of East and West Oakland in the late 1980s. Along with project partner Intersection for the Arts + Campo Santo, we engaged multiple generations of Oakland residents in a participatory, grassroots process of new play development over three years. In our second New Works project, KING OF SHADOWS, playwright Roberto Aguirre-Sacasa re-imagined Shakespeare's "A Midsummer Night's Dream", exploring themes of transformation from the perspective of marginalized and homeless gay youth and engaging transient, outcast young people in the playwrighting process. Our current project, an adaptation of John Steinbeck's collection of Depression-era short stories THE PASTURES OF HEAVEN, partners San Francisco-based playwright Octavio Solis and the Word for Word Performing Arts Company with community organizations in and around Salinas, California.		In 2008: 46,035 people attended our performances. Of these, 3,147 were students who attended our special Student Discovery Matinees. Of these, 1,206 were students from low-income communities.	San Francisco Bay Area, Northern California			
Ascencia	http://www.ascenciaCA.org	818-246-7900	EIN 20-4233822	1851 Tyburn Street	Glendale	CA	91204	USA	Homeless & Housing, Homeless Centers, Homeless Shelters, Housing & Shelter, Temporary Housing	To end homelessness in the greater Glendale area, one person, one family at a time.	Year-round emergency housing: 40 beds Scattered Site Permanent Supportive Housing:  80 household Supportive services to 80+ households of formerly chronically homeless adults with disabilities. Case management services and referrals to over 1200 homeless men, women and children each year.	Homeless families with children and homeless adults.	Over 1200	Glendale, Burbank, West Hollywood, and the Los Angeles communities of Northeast Los Angeles, from Highland Park to Atwater Village.	Over 70% of families and individuals leaving our emergency housing program move to permanent or transitional housing.  91% of formerly chronically homeless adults and families remain in permanent housing 6 months or longer.		
OwieBowWowie and Friends Foundation	http://www.iloveowie.org	530-718-4619	EIN 30-0521164	PO Box 3316 c/o Dear Owie	Grass Valley	CA	95945	USA	Philanthropy, Public Foundations	To Comfort the hurts and hearts of children who are hospitalized and alone.	We have many programs designed for specific needs. Please contact us if you would like to know more about ways in which we can help you to give.	Children who are hospitalized with a life-threatening illness.	Northridge Hospital	Northridge Hospital, Loma Linda Medical Center, Childrens Hospital Los Angeles, and many others!	Since 2010 we have donated over 2,000 Owie BowWowie to hospitalized children all over the United States, but to continue giving... we need your help.  Comfort is love in action, and it will take many of us to ensure that not one of the 20 million hospitalized children (per year) are forgotten.		
Women's Empowerment	http://www.womens-empowerment.org	916-669-2307	EIN 03-0520643	1400 N C St	Sacramento	CA	95811	USA	Adult Education, Education, Employment Preparation & Procurement, Homeless & Housing, Housing Search Assistance, Job Training	The mission of Womens Empowerment is to educate and empower women, who are homeless, with the skills and confidence necessary to get a job, create a healthy lifestyle, and regain a home for themselves and their children.	Core curriculum statistics:women's empowerment witnessed life-changing moments in 2014 as 86 women graduated and are thriving. In 2014, 88% of women secured jobs and 400 women utilized graduate services through women's empowerment including paid training like the get a job kit training program, and unpaid training and other services such as participation in the gala, holiday craft party, and clothing closet. 89% of women and their children regained and maintained a safe and stable home. The on-site childcare program provided services to 91 homeless children. Healthy meals and educational games helped kids handle the stress of homelessness and reach developmental milestones.	Homeless women in Sacramento	524	Sacramento	2009 Nonprofit of the Year 2010 Founder & Executive Director Lisa Culp named for an international Ruby Award from Soroptimist International		
PANDAS Network.org	http://pandasnetwork.org/	(619) 370-5828	EIN 37-1666562	655 Oak Grove Avenue #1373	Menlo Park	CA	94026	USA		PANDAS Network.org is dedicated to improving the diagnosis and treatment of children with PANDAS (Pediatric Autoimmune Neuropsychiatric Disorders Associated with Streptococcal Infections) and PANS (Pediatric Acute-onset Neuropsychiatric Syndrome). Armed with an impressive network of doctors, researchers and scientists, PANDAS Network.org strives to collaborate with subject matter experts, build public awareness, provide family support, and gather data and resources to better inform parents and the medical community about PANDAS and PANS.	Founded in 2009, PANDAS Network.org is a non-profit organization that raises awareness of PANDAS and PANS onset and course of illness by providing: - An ongoing database of new PANDAS and PANS cases. - Parent referrals to support groups and physicians. - A conduit for new researchers to navigate collaborations and new treating physicians to find information. - Online newsletters to parents and physicians about latest research. - Information that is medically accurate and reviewed by our Scientific Advisory Board.	Children and families affected by PANDAS and PANS		A national level	Results of our 2013 efforts include:  We are proud to be the most visited website devoted to PANDAS and PANS.  As of 12/9/2013, weve had 150,604 visits and OVER 1/3 MILLION page views! These visits were achieved through relevant web searches.  New patient brochures were developed as an introduction to PANDAS and PANS. They are ideal for physician offices and newly diagnosed families.  Informational postcards have been developed for use at future conferences to broaden outreach.  Support group listings grew to represent half of the United States! Thank you to our Support Group Coordinator for working hard to have a support group listed in every state.  Snapshots of the community were encouraged by our support of the Univ. of Buffalo / USF Online Retrospective Survey. We provided materials to physician offices informing them of the research survey and promote participation. Learn more about this survey at pandasnetwork.org/survey.   Professional Networking Opportunities were provided by the PANDAS Network dinner of appreciation held in conjunction with the Stanford Specialist Meeting.  Conference representation included an inspiring  presentation by our Executive Director along with an exhibit table at the NE PANS/PANDAS Conference and a printed awareness ad at the IOCDF Conference.  New partnerships were formed with the NIMH National Partnership Program and the AARDA National Coalition of Autoimmune Patient Groups. These new partnerships are in addition to our existing affiliation with NORD.  ----------------------------------------------------------------------------- Affiliations:  - NIMH National Partner - NORD Patient Organization - AARDA  National Coalition of Autoimmune Patient Groups - Northeast PANS/PANDAS Conference Supporter - Brain Awareness Week Partner  The DANA Foundation - Rare Disease Day Partner - Childrens Mental Heath Awareness Day Participant - PANDAS/PITAND/PANS Awareness Day Organizer - Healthwise  PANDASnetwork.org was chosen to be on their American Self-Help Group Clearinghouses database for PANDAS/PANS support groups (as seen on WebMed.com)  ----------------------------------------------------------------------------- Representation at conferences:  - NE PANS/PANDAS Conference (2013) - IOCDF Conference (2012) - University of California, Irvine Conference: UC Irvine Autoimmune Diseases of the Nervous System - Texas A & M Symposium: Who suffers from Post-Infectious Neurological Symptoms? Why Proper Diagnosis and Research are Critical - PANDAS Parents Symposium (2012) - PANDAS Parents Meeting (2011) -  Northeast PANS/PANDAS Conference (2013)		
Alternative Gift Markets, Inc.	http://www.alternativegifts.org	(316) 269-0635	EIN 95-4111142	PO Box 2267	Lucerne Valley	CA	92356	USA	Civil Rights, International, International Development, Philanthropy, Women, Womens Rights	The global mission of Alternative Gifts International is to send authentic, life-giving gifts to a needy world,  gifts that build a partnership with oppressed people in crisis and that protect and preserve the earth's endangered environment,  to nourish and sustain a more equitable and peaceful global community.AGI is a non-profit, interfaith agency. It raises funds each year for global gifts in its Alternative Gift Markets held nationwide and from individual donors. Designated grants then are sent to the established international projects of several reputable non-profit agencies for relief and development.	The organization collects donations from the general public through alternative gift markets and provides support to other charitable organizations which provide specific services for world relief and development. The donors designate the recipient organizations.						
Marine Mammal Center	http://www.marinemammalcenter.org	415-289-7335	EIN 51-0144434	2000 Bunker Road Fort Cronkhite	Sausalito	CA	94965	USA	Animal Protection & Welfare, Animals, Biological & Life Sciences, Marine Science & Oceanography, Technology		Each year The Marine Mammal Center rescues hundreds of ill, injured, and orphaned marine mammals along the California coast from San Luis Obispo to Mendocino, and now also in Hawaii. Once at our hospitals, vet staff diagnose and treat infectious diseases, starvation, and injuries, including gunshot wounds, ocean trash entanglements, and shark bites. Advanced rehabilitation and husbandry practices and over 1,000 volunteers allow many of these animals to return to their ocean home. Veterinary scientists at the Center work collaboratively with many organizations, bringing together veterinary clinicians and pathologists, rehabilitation specialists, wildlife biologists, and other scientists to address the health and survival of marine mammals and investigate human and other stresses on the marine ecosystem. Many patients also show high levels of PCBs and DDT in their blubber, indicating a possible connection between marine mammal disease and environmental toxins.	injured, orphaned or sick marine mammals.	over 500 marine mammals and educated thousands of school children.	600 miles of CA coastline, and educate and research worldwide	We've rescued over 19,000 marine mammals since 1975 and have opened a hospital in HI to save the highly endangered monk seal.	The Marine Mammal Center is a nonprofit veterinary hospital, research and educational center dedicated to the rescue and rehabilitation of ill and injured marine mammals, primarily elephant seals, harbor seals, and California sea lions. Its research team studies the causes of illness in these animals, and by doing so, learns about conditions affecting the health of marine mammal populations and the oceans  discovering conditions that can affect humans as well. In addition, the Centers education programs teach thousands of students and the visiting public each year about marine mammals and the urgent need for environmental stewardship of earths marine environments.	
Brain Rehabilitation And Injury Network (B.R.A.I.N.)	http://www.thebrainsite.org	714-828-1760	EIN 94-3455820	5656 Corporate Ave.	Cypress	CA	90630	USA	Brain Disorders Research, Health	A non profit organization that advocates for and administers help to brain injured individuals and their families.  B.R.AI.N.'s mission is to advance research, recovery and residual care for brain injured adults 18 years and older.	"Friends of Brain Injury (FBI)," "At Ease" military support group, "Writers' Workshop" for Head Injury & Non-fluent Aphasia, "Yoga for the Brain" Class, "Brain Cells" Program, Speech Therapy Treatment,  and a Caregiver Course among others	Brain-injured adults 18 years and older, and their families/caregivers		Southern California			
Kids for Peace	http://www.kidsforpeaceglobal.org	760-730-3320	EIN 26-1564351	1302 Pine Avenue	Carlsbad	CA	92008	USA	Children & Youth, International, International Cultural Exchange, International Exchange, Youth Community Service Clubs, Youth Development Programs	We create PEACE through youth leadership, community service, global friendships, and thoughtful acts of kindness.	The Great Kindness Challenge and The Peace Pledge Program	children	over five million children.	Worldwide			
OnBehalf.org	http://www.onbehalf.org	917.969.5562	EIN 01-0856839	824 6TH ST APT 9	Santa Monica	CA	90403	USA	Health, Military & Veterans Organizations, Patient & Family Support, Philanthropy, Veterans, Voluntarism Promotion	Founded in 2005 by 4 USAR veterans, OnBehalf.org is a 501(c)(3) nonprofit organization that aims to raise funds and professional services for injured veterans from Iraq and Afghanistan, as well as for the families of the fallen. Due to our all-volunteer team and low administrative expenses, over 90% of your tax-deductible contribution will reach injured veterans and military families.	financial grants for those injured vets trying to make ends meet, and sponsoring enjoyable activities that add to their quality of life.	wounded veterans from Iraq & Afghanistan	Approximately 25	Nationwide	It's been a banner year for OnBehalf, with fundraisers involving mud runs, golf tournaments, pub crawls and good old fashioned campaigns. Having worked with such fine organizations as the VFW, Wounded Warrior Project and Walter Reed, we've made this happen.		
Col. Potter Cairn Rescue Network	http://www.CairnRescue.com		EIN 33-0954902	PO Box 1354	Romoland	CA	92585	USA	Animal Protection & Welfare, Animals	CPCRN, founded in February 2001,  rescues purebred Cairn Terriers and Cairn Terrier mixes which are homeless or soon-to-be-homeless, including, without limitation, those found in animal shelters or similar facilities and those released by their owners due to change in family circumstances or otherwise.  We also rescue purebred Cairns which are being used as breeding stock by so-called puppy mills and backyard breeders, including those disposed of in puppy mill auctions.  We arrange for the pick-up and transport of our rescue Cairns; arrange for their spay/neuter as well as for the provision of other appropriate veterinary care for them; rehabilitate and foster them; seek applications for and screen permanent homes for them; and adopt them to loving forever homes.  We also educate the public about responsible Cairn Terrier ownership and care.	To rescue purebred cairn terriers and cairn terrier mixes which are homeless or soon-to-be-homeless and provide veterinary care, rehabilitation, fostering and adoption for these dogs as well as educating the public about responsible cairn terrier care and ownership.						
Legal Aid Society of San Mateo County	http://www.legalaidsmc.org	650-558-0915	EIN 94-1451894	Sobrato Center for Nonprofits - Redwood Shores 330 Twin Dolphin Drive, Suite 123	Redwood City	CA	94065	USA	Human Service Organizations, Human Services	The mission of the Legal Aid Society of San Mateo County  is to fight social injustice through civil legal advocacy for people living in poverty.  The Legal Aid Society of San Mateo Countys vision is for every person to have the basic necessities of life, including safe affordable housing, access to health care, economic security, secure immigration status, an appropriate education and freedom from violence and abuse.   We strive to empower people to overcome the causes and effects of poverty so they can participate in their community with dignity and respect.  We seek to remove barriers related to poverty, disability, race, language, age, gender, sexual orientation and immigration status through community education, legal representation, systemic advocacy and collaboration with community partners.	legal advice, representation and education	create the community we all want to see and fight social injustice for people living in poverty	2400 clients in 2015	San Mateo County	Since our founding hundreds of thousands of vulnerable and low income families have been able to stay in affordable homes and/or overcome food insecurity; children have been able to access health care coverage and medical care;  adult, teen and senior survivors of domestic violence and elder abuse have been able to stabilize their lives and live in safety.		
California Native Plant Society	http://www.cnps.org	916-447-2677	EIN 94-6116403	2707 K Street Ste 1	Sacramento	CA	95816	USA	Environment, Land Resources Conservation, Natural Resources Conservation & Protection	The mission of CNPS is to conserve California native plants and their natural habitats, and increase understanding, appreciation, and horticultural use of native plants.	Vegetation science, Rare Plant science, Horticulture science, Education, and Conservation. Since 1965, CNPS has worked hard to protect California's native plant heritage and preserve it for future generations. CNPS actively promotes the use of science in land use and management decisions through our Online Rare Plant Inventory and essential reference book: Manual of California Vegetation, 2nd Edition, both of which are the most advanced resources available for identifying and managing critical habitat in California. We work closely with decision-makers, scientists, and local planners to advocate for well-informed and environmental friendly policies, regulations, and land management practices.			California	CNPS is helping make the home gardener more environmentally friendly with our online tool, Calscape, found on our home page. Our citizen science initiative, the Rare Plant Treasure Hunt, is locating and helping rare plants across the state. Recently, we successfully petitioned for the first plant in nearly a decade to be added to the California Endangered Species list, the Livermore tarplant, known to only two populations in the East Bay.   Donate online by going to our homepage, cnps.org.		
Long Distance Voter	http://www.longdistancevoter.org/		EIN 26-2094990		San Francisco	CA	94117	USA	Civil Rights, Voter Education & Registration, Voting Rights	Long Distance Voter increases civic participation and removes impediments to voting by helping US citizens register and vote by mail.					We've had over 3 million visitors since launching in 2008.  We've had almost 1 million visitors in October 2012.  In the past four years we've registered over 120,000 voters and we've helped another 530,000+ visitors get their absentee ballots.    And we'd done this all without a single full time staff member.		
Palomacy Pigeon & Dove Adoptions	http://www.pigeonrescue.org/		EIN 94-3255070-002		San Francisco	CA	94104	USA	Animals, Wildlife Preservation & Protection	Palomacy Pigeon & Dove Adoptions saves the lives of domestic (unreleasable) birds that are otherwise killed by providing guidance, referrals, education, long-term foster care, avian vet treatment and adoption services.  Palomacy is a volunteer-powered, donation-supported project of Community Initiatives. Thanks to the support of our volunteers, we have saved the lives of more than 600 birds since we began in 2007 and helped countless others. Please visit us at www.PigeonRescue.org and at www.Facebook.com/PigeonDiplomacy	Support for unreleasable pigeons & doves in animal shelters, avian vet care and rehab for ill & injured, foster homes, humane education and placement in screened and approved forever homes.	save the lives of domestic and unreleasable pigeons and doves that would otherwise be killed for lack of homes.	More than 300 pigeons & doves	San Francisco, San Mateo, Santa Clara, Alameda, Contra Costa, Solano & Marin Counties	Last year, Palomacy saved more than 300 pigeons & doves from being killed by providing avian vet care, foster and forever homes. The need is nonstop and we are working hard to provide rescue to the pigeons & doves in seven SF/Bay Area counties as well as coaching & referral assistance all over the country & even internationally.		
