name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Geographic areas served	Programs	Direct beneficiaries per year	Goals	Objectives		Activities
Rebekahs House	http://www.rebekahshouse.org	815-337-4566	EIN 20-2070212	110 N Madison St	Woodstock	IL	60098	USA	Homeless & Housing, Homeless Shelters, Human Services, Mental Health, Personal Social Services, Substance Abuse Dependency, Prevention & Treatment	Teaching life skills to women in recovery.	103 women have benfitted from the residence. Of that 103, there were 16 relapses before they left residence.	Women in recovery from alcohol and substance abuse who have completed at least a two week detox/rehab and have a sincere desire to change their life, and need a structured environment.		The Outreach The Sober Living Residence Rides 4 Recovery Transportaion Program Women 2 Women Creativity Circle Circle of Solace Womens Spirituality Circle					
The Cradle	http://www.cradle.org	(847) 475-5800	EIN 36-2181994	2049 Ridge Avenue	Evanston	IL	60201	USA	Adoption, Children & Youth	The Cradle's mission is to benefit children and all others touched by adoption  by compassionately delivering exceptional education, guidance and lifelong support to build, sustain and preserve nurturing families.		build and strengthen families	Child and family services	options counseling for pregnant women considering adoption, education and support for those looking to adopt and lifelong support to anyone touched by adoption throughout their lifetime.	more than 1,000 expectant parents and 400 families				
KLEO BARRETT ANGEL FOUNDATION	http://www.kleobarrett.com		EIN 01-0893134	PO Box 178163 c/o Cleopatra Barrett	Chicago	IL	60617	USA	Crime & Law, Domestic Violence, Spouse Abuse Prevention	Domestic Violence Awareness and Prevention	*Direct financial assistance *Direct medical assistance *Scholarships *Mentoring/counseling men	Women and/or their families that have been affected by domestic violence. Men who need counseling/mentoring to stop the violence.			6-10				
O'Brien School for the Maasai NFP	http://www.obrienschool.org	(630) 654-2291	EIN 20-4835923	527 W. Maple St.	Hinsdale	IL	60521	USA	Education, Food, Homeless & Housing, International, International Development	Our mission is to provide the people of this Massai village in Tanzania, Africa, with everything they need to gain an education and the skills to enhance their quality of living.		the Maasai community of Sanya Station	Kilimanjaro, Tanzania	education for the children, jewelry projects for the women, and other community assistance programs.	350 students, 35 staff members, 110 widows, 85 women, and 150 village elders				
Hamdard Center for Health and Human Services NFP	http://www.hamdardcenter.org	630-835-1430	EIN 36-3917885	228 E Lake St	Addison	IL	60101	USA		To promote the physical and emotional health and psychological well-being of individuals and families by offering hope, help and healing.		immigrant and refugee populations	the Chicagoland area	1) Primary health care/medical clinic 2) Psychiatry and counseling  3) Shelter and supportive services for women and children who are victims of domestic violence 4) Case management including enrollment for Health insurance, Medicaid, and other public benefits 5) In-Home Care and Adult Day Center for seniors 6) Partner Abuse Intervention Program 7) Community Outreach, education and training	1400 individuals				
ST CYPRIAN FOOD PANTRY	http://www.stcypriansfoodpantry.org	773-283-9178	EIN 36-4424199	6525 W Irving Park Rd	Chicago	IL	60634	USA	Food, Food Banks & Pantries, Food Programs	The Pantry was founded in 1983 by the Rev. John Spruham, Vicar of St. Cyprian's Episcopal Church. Formerly located at 6501 Belmont, the church closed in 2000, forcing the pantry to relocate to the present site in February 2002. The people of United in Faith have been enthusiastic about this ministry and welcoming and responsive to ecumenical nature of the Church. Founded by an Episcopal congregation, housed in a Lutheran Church, directed by a UCC Pastor, coordinated by an Episcopalian, supported by numerous local Catholic parishes and St. Vincent DePaul Society's, and dependent upon the outpouring of gifts of food and money from endless church groups, schools and organizations who donate food and dollars as well as volunteer hours.		Our customers are largely families classified as the working poor. Although they are working, their income is insufficient to adequately provide for housing, transportation, medical needs and proper nutrition.	The Food Pantry serves the following Chicago zip codes: 60634, 60707 in Chicago(east of Harlem Ave), and 60639. Residents of these areas needing emergency food are eligible to receive food from the pantry once a month.	In addition to providing for the nutritional needs of our customers on a monthly basis, we also: Provide food for the preparation of Christmas and Thanksgiving dinner Provide Christmas gifts for children who would not otherwise receive them Provide Easter baskets for children Provide warm winter coats					
GirlForward	http://girlforward.org	(312) 505-7494	EIN 45-2987277	PO Box 607516	Chicago	IL	60660	USA	Children & Youth, Youth Development Programs	GirlForward provides adolescent refugee girls with individual mentorship, educational programs and leadership opportunities, creating a community of support that serves as a resource and empowers girls to be strong, confident, and independent.		adolescent refugee girls	Chicago, IL and Austin, TX	the Mentoring Program, Camp GirlForward and the Safe Spaces Project.	over 100 refugee girls				
La Leche League International Inc	http://		EIN 20-5289479	4868 N Hermitage Ave	Chicago	IL	60640	USA											
North Lakeside Cultural Center	http://www.northlakesidecc.org		EIN 36-3378584	6219 N Sheridan Rd	Chicago	IL	60660	USA	Arts & Culture, Cultural & Ethnic Awareness, Theater, Visual Arts	To use the historical lakefront mansion as a living resource for celebration and presentation of the arts in our culturally diverse community.									
PianoForte Foundation	http://www.pianofortefoundation.org	312-291-0291	EIN 41-2172649	408 S Michigan Ave.	Chicago	IL	60605	USA	Arts & Culture, Music	To revitalize the classical and jazz piano culture by nurturing an intimate connection between audience and artists, and presenting a variety of cocnerts and community programs. We aim to serve and expand audiences for piano music through education and entertainment, by presenting exceptionally talented artists playing the worlds finest pianos in acoustically superior surroundings, and by reaching out to new and underserved audiences.		Classical/Jazz music lovers in Chicago	Chicago, Chicago Metro Area	-Schubertiade Chicago, a free all-day marathon festival celebrating the music of Franz Schubert  -Gift of Pianos Program, PFF in collaboration with the Chicago Chapter of the Piano Technicians Guild, refurbishes donated pianos and gives to them to Public Schools or other Institutions in the Chicago area in need of a good instrument.  -Chicago Amateur Piano Competition, the first ever piano competition in the Midwest honoring the fundamental role amateur pianists have in promoting the piano and it's repertoire. June 24-17, 2010.					
Bounce Children's Foundation	http://www.bouncechildrensfoundation.org	844-626-8623	EIN 47-4495431	255 Birchwood Ave.	Deerfield	IL	60015	USA	Health, Patient & Family Support	Bounce Children's Foundation creates community for chronically ill children and their families.		We create community for chronically ill children and their families.	In and around the Chicago land area	Bounce Bash - Family adventures specially designed for children with complex medical needs to enjoy between hospital visits with their families and extended "Bounce Family".  Bounce It Forward - Sports/theatre/other tickets are donated and kids/families use them and enjoy unexpected fun.  Bounce Back Kits - Fun-filled care packages for families "locked in" and unable to leave home.  Bounce Academy - Education for parents which enhances their ability to cope emotionally, financially, intellectually and psychologically.  Bounce Net - Safe space online where parents form a community of shared support and resources.	100+ families enjoy fun stress free activities				
Fox Valley Animal Welfare League	http://www.fvawl.org		EIN 23-7235674	11 John St	North Aurora	IL	60542	USA		Fox valley animal welfare league is an organization committed to caring for and promoting the adoption of lost, unwanted, and abused companion animals. We advocate for compassionate and humane treatment of these animals by implementing programs and promoting the reduction of pet overpopulation and responsibility among pet owners and children in the community. We adhere to the highest ethical standards and are dedicated to creating a community environment that eliminates the euthanasia of healthy adoptable pets.				The league provides spaying and neutering services along with other such services as pet food clinics for owners and sponsors various pet wellness clinics throughout the community. During 2014 these services were provided to over 350 animals.					
Future Founders Foundation	http://		EIN 45-3340650	600 W Chicago Ave Ste 700	Chicago	IL	60654	USA	Education, Scholarships, Scholarships & Student Financial Aid										
H A P P E Parrots Rescue	http://www.happeparrotsrescue.com		EIN 36-4613946	319 N. Weber Rd. #110	Bolingbrook	IL	60490	USA				educate the public on the proper care of Parrots	Chicago & Suburbs	We provide in school programs for children kindergarten - 8th grade. Plus we provide free personal one on one consulting.	120 students, 50 individuals				
Cured Nfp	http://www.curedfoundation.org	(847) 793-0071	EIN 20-0351832	2937 Bayberry Dr	Buffalo Grove	IL	60089	USA	Health, Specifically Named Diseases Research	To fund research and public awareness focused on developing a cure for eosinophilic disorder				To fund research and public awareness focused on developing a cure for eosinophilic disorder. Educating patients and physicians and lending support to families afflicted with the disease.					
Breakthrough Urban Ministries Inc	http://www.breakthrough.org	(773) 772-1144	EIN 36-3810926	402 N Saint Louis Ave	Chicago	IL	60624	USA	Children & Youth, Community & Neighborhood Development, Economic Development, Employment Preparation & Procurement, Job Training, Youth Development Programs	Breakthrough urban ministries (breakthrough) was formed in 1992 to meet the physical, emotional, mental, social and spiritual needs of people in the urban setting. Breakthrough seeks to demonstrate the compassion of christ by partnering with those affected by poverty to build connections, develop skills & open doors of opportunity. In chicago's east garfield park, where disinvestment has left the neighborhood devoid of opportunity and full of broken dreams, breakthrough is restoring the broken networks of youth and families and empowering adults in the community to achieve self-sufficiency and break the cycle of poverty.				Homeless intervention:breakthrough offers a new model for the delivery of homeless services. The organization is intentional about treating every person in need of its services with dignity and respect. When guests arrive at breakthrough, they receive much more than a bed to sleep in-they receive the tools necessary to achieve self-sufficiency. Breakthrough operates two transitional housing shelters in east garfield park: the breakthrough ministry center for men and the breakthrough joshua center for women. Both facilities first aim to meet immediate needs of food and shelter by providing a clean and comfortable place to sleep and by serving breakfast, lunch and dinner. When guests arrive at breakthrough, they receive a toiletry kit, a space to shower and are granted access to laundry facilities. Once the basic needs are addressed, guests are able to access a bevy of supportive services designed to help them along their path to self-reliance. Supportive services include on-site primary and mental health care, employment training and housing search assistance and placement. Breakthrough's homeless intervention program is designed to empower homeless adults to overcome poverty and enjoy the liberty of self-sufficiency in an environment that restores dignity to people who have already had so much stripped away.   youth development:every day, breakthrough surrounds youth with a network of caring adults to support their growth and expand their opportunities. The relationships that youth build with these adults provide positive influence and can make a huge difference in the life of a child. Breakthrough's youth initiatives began operation in 2000 and have grown to serve over 300 youth each year through programs which include preschool, middle and high school academic enrichment and spiritual development activities, along with athletic programs to engage youth physically. Educators have identified early childhood education as one of the most critical necessities for preparing urban youth for academic success. Breakthrough has two primary academic enrichment programs to help meet this need. Breakthrough beginners, a pre-kindergarten program, equips young children with a strong academic foundation and fosters social and emotional development in youngsters. The nettie bailey student achievement program, named after a local hero and public educator of 27 years, focuses on teaching literacy and is recognized by the illinois state board of education as a 21st century community learning center. To address the spiritual development needs of students, program participants also have the option of participating in weekly bible studies, led by staff and volunteers, to foster spiritual growth and life-transforming experiences. To complement breakthrough's academic and spiritual development efforts, the organization offers an extensive athletics program to engage young athletes in year-round sports leagues while teaching leadership, sportsmanship and promoting healthy lifestyles.   neighborhood transformation:breakthrough seeks to end cycles of poverty in the community by providing ways for people to connect into relational networks of support, to have access to resources and opportunities, and to contribute back to the community. A variety of services, events, and resources are offered towards that end. Through the fresh market, breakthrough offers a dynamic food resource that aims to end hunger in the community. The fresh market provides groceries and various supplies to families in breakthrough's target zone. Through the fresh market community, residents also have access to such services as legal aid, food stamps, housing, employment, financial management, ged, and family workshops. The fresh market also welcomes food and general supply donations.					
Andrea Lynn Cancer Fund	http://		EIN 26-0494925	Po Box 1166	Crystal Lake	IL	60039	USA	Human Service Organizations										
Free Spirit Siberian Rescue	http://		EIN 36-4403202	25212 Graf Rd	Harvard	IL	60033	USA	Animal Protection & Welfare, Animals	CARE & ADOPTION OF NEGLECTED HOMELESS HUSK									
Special Olympics Illinois	http://soill.org	(309) 888-2551	EIN 36-2922811	605 E Willow St	Normal	IL	61761	USA	Human Service Organizations	The organization's mission is to provide year-round sports training and athletic competition in a variety of olympic-type sports for children and adults with intellectual disabilties.				During 2014, special olympics illinois conducted over 250 sports training and competition opportunities at various locations throughout the state. Over 22,000 athletes were registered in the special olympics illinois program. Athletes compete in 19 olympic type sports, earning awards for their sports accomplishments. Special olympics illinois offers opportunities to athletes for personal growth through the athlete leadership program. This program will give athletes the opportunity to interact in a conference style setting while providing input to the management of the organization on issues regarding training and competition. Special olympics illinois communicates regularly to its constituents, athletes, family members and donors through various print media, local newsletters, a statewide quarterly newsletter, and annual report provide information about participation in programs, athlete testimonials, and volunteer spotlights. Special olympics illinois conducts several special events each year to raise funds and help communicate the message about special olympics to the general public. High profile events such as the law enforcement torch run are very successful both in terms of funds raised and increased public awareness. In 2014 there was increased emphasis on project unify. Special olympics project unify is an education-based project, funded by the u. S. Department of education that uses the sports and education programs of special olympics to activate young people across the u. S. In order to promote school communities where all young people are agents of change - fostering respect, dignity, and advocacy for people with intellectual disabilities. Project unify began its sixth year of activities in illinois in 2014. Project unify initiatives include a host of core activities: be a fan - "r word", social networking, sports experience, fans in the stands, get into it (tm), partners club, school enrichment, youth summits, young athletes (tm), unified sports (r), camp schriver, athlete leadership programs, traning and education, youth forums and global youth congress. Special olympics project unify incorporates special olympics sports and related activites. Currently there are 116 project unify schools having an influence on more than 27,500 students with and without intellectual disabilities. These schools are geographically diverse across the state and schools range from early childhood through college.					
Hooved Animal Humane Society	http://www.hahs.org	(815) 337-5563	EIN 23-7150339	10804 Mcconnell Rd	Woodstock	IL	60098	USA	Animal Protection & Welfare, Animals	Hooved animal humane society investigates the abuse and neglect of hooved animals.				The society investigates and corrects the abuse of hooved animals. Through intervention, some animals may be rescued, brought back to health and placed by the society to a new home.   the society promotes the humane treatment of hooved animals through education.					
Guardian Angel Basset Rescue Inc	http://www.bassetrescue.org	(815) 584-1044	EIN 36-4204784	413 W. Waupansie P. O. Box 288	Dwight	IL	60420	USA	Animal Protection & Welfare, Animals	Basset Hound Rescue				The rescue of bassett hounds from abusive and unwanted situations and the providing of the necessary medical treatment to them before they are adopted out.					
