name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Variety Freedom Program	Variety Future Kids Program	Chatter Matters! Communication Camp
Northwoods Land Trust Inc	http://		EIN 31-1776860	Po Box 321	Eagle River	WI	54521	USA	Environment, Land Resources Conservation									
Advocates For Victims Of Domestic &Sexual Abuse In Langlade Cnty Inc	http://www.availinc.org	(715) 623-5177	EIN 39-1374621	Po Box 355	Antigo	WI	54409	USA	Domestic Violence, Family Violence Shelters, Homeless & Housing	Empower people affected by abuse to discover their own strengths and enable them to make their own decisions through empathetic, non-judgmental support.					Domestic abuse/sexual assault program - provides a 24-hour hot line, temporary housing, advocacy, and counseling for victims.			
Raymond Youth Baseball Inc	http://		EIN 31-1633495	2659 76th St	Franksville	WI	53126	USA	Baseball & Softball, Sports									
Bountiful Harvest Of Faith Ministries Inc	http://		EIN 26-1851480	3027 33rd St S Apt 1	La Crosse	WI	54601	USA	Christianity, Religion									
Blue Mountain Project	http://www.bluemountainproject.org	(218) 365-6628	EIN 20-1410413	Po Box 473	Ripon	WI	54971	USA	Community Health Systems, Health, International, International Cultural Exchange, International Exchange, Job Training	Operation of a health clinic. Education and job training of the local population. Partnering with local groups to further economic development.					Blue mountain project is dedicated to partnering with the people of the hagley gap district of jamaica to improve health, education and the economy.			
Friends Of Mead Public Library	http://		EIN 39-1509301	701 N 8th St	Sheboygan	WI	53081	USA										
Volunteer Intertribal Medicine Inc	http://		EIN 23-7181491	21501 W Cleveland Ave	New Berlin	WI	53146	USA										
Wisconsin Womens Network Inc	http://	(608) 255-9809	EIN 39-1194583	612 West Main Street	Madison	WI	53703	USA		Improvement of the status of women					Serve as networking and information sharing facilitation for member organizations and individuals including a quarterly newsletter, e-bulletins and other publications, sponsor events celebrating women's accomplishments.			
Hand-N-Hand Of Northeastern Wisconsin Inc	http://		EIN 20-0679489	2950 Yonder Ct	Suamico	WI	54313	USA	Health									
Repairers Of The Breach Inc	http://www.repairers.org		EIN 39-1707495	Po Box 13791	Milwaukee	WI	53213	USA	Homeless & Housing, Homeless Centers, Homeless Shelters, Housing Development, Construction & Management	Homeless outreach offering job placement, hygiene, educational programming, soup kitchen, medical clinic, veteran outreach, recovery support, counseling, mailing address and support groups.					Resource center/refuge:programming includes hygiene (showers,clothing bank) soup kitchen, telephone/message service, mail service, birth certificate acquisition, aoda recovery support, job support, housing resource lists,anger management, veterans outreach, access to psychiatric outreach, linkages to other agencies. Medical clinic:open to the larger community. This free service includes screening, diagnosis, referrals toother healthcare providers. Operates with all volunteer staff including supervised students providing medical students, student nurses etc. With hands on experience to help fulfill their academic requirements.			
Rotary International	http://	(262) 658-3313	EIN 23-7100020	6535 Green Bay Rd	Kenosha	WI	53142	USA		Service to the community					Service to the community			
ONEIDA COUNTY HUMANE SOCIETY	http://ochspets.org	715-362-5992	EIN 39-1312508	1852 NORTH STEVENS ST	Rhinelander	WI	54501	USA		To value each life we touch through protection and life-enhancing care and to strengthen the human-animal bond through education, promoting the dignity and well-being of all animals.		ANIMALS OF ONEIDA COUNTY WISCONSIN		ONEIDA COUNTY WISCONSIN				
GOOD FRIEND INC	http://www.goodfriendinc.com	414-510-0385	EIN 26-0731915	407 N. Grand Ave.	Waukesha	WI	53186	USA	Autism Research, Health	To create autism awareness, teach acceptance of differences, and foster empathy for students with ASD among their typically-developing peers.	We have provided services directly to over 30,000 people, and reach thousands more annually with our original, award-winning films for elementary ("We ALL Fit", 2014) and middle school ("Choosing To Be a GFF", 2011) students.	Typically-developing students (peers) in grades K-8; plus staff in education and related fields who work with children from birth to 15 years old.	approximately 6,000	nationwide	staff in-services for EC/pre-K programs, summer camps, sports/rec programs, elementary & middle schools; awareness & sensitivity workshops for medical & dental staff and related service providers; student training for ages 4-15 through Peer Sensitivity Workshops (K-5th grade), Individual Classroom Presentations (6th-8th grade), and general assemblies; plus Sibshops, for children aged 8-13 who have a sibling with a brain-based disability.			
St Nicholas Mission	http://		EIN 94-3286543	N65w6503 Cleveland St	Cedarburg	WI	53012	USA										
Fort Atkinson Garden Club	http://		EIN 39-1983828	413 S 4TH St E	Fort Atkinson	WI	53538	USA	Unknown									
Worldbuilders Inc	http://	(715) 341-3716	EIN 90-0618018	Po Box 186	Stevens Point	WI	54481	USA	Philanthropy, Public Foundations	Receive charitable contributions and forward them to tax exempt organizations under code section 501(c)3.					Organized to collect and forward charitable contributions to other tax exempt organizations under code section 501(c)3.			
Wildlife in Need Center	http://www.helpingwildlife.org	(262) 965-3090	EIN 39-1773974	W349 S1480 S. Waterville Road, Suite B	Oconomowoc	WI	53066	USA	Animals, Environment, Environmental Education, Wildlife Preservation & Protection	To provide wildlife rehabilitation to Wisconsin wildlife with the intent to release back to their native habitat, conduct research designed to further the positive impact of rehabilitation, and provide quality community education programs and services.		Injured, ill, and orphaned wildlife and the public who cares about them	2581 animals representing 132 species from 104 cities.  WINC fielded over 10,000 phone calls and presented 117 education programs to 26,000 people	Southeastern Wisconsin	Wildlife rehabilitation to Wisconsin wildlife with the intent to release back to the native habitat, research to further the positive impact of rehabilitation, and education programs and services to educate the surrounding communities on how they can interact with the wildlife around them.			
The Green Bay TEA Party aka Wisconsin TEA Party	http://www.greenbayteaparty.org/	920-461-3129	EIN 45-4280493	2221 South Webster Avenue Mail Stop #149	Green Bay	WI	54301	USA	Christianity, Leadership Development, Military & Veterans Organizations, Philanthropy, Public Foundations, Religion, Veterans	There is a great cleansing taking place right now.  Many Groups that call themselves TEA Party Groups are nothing more than extensions of the Republican Party and Carry Water for them.   I'm not saying not to vote for Republican Candidates I'm saying make damn sure they are Conservatives in the Real Sense of the Word!  If They Don't Support Bills Such as those being brought forth by Wisconsin Assemblyman Andre' Jacque regarding prolife. then they are probably posers.  If you can get just a few friends together regionally we can take control back.... How Wisconsin Taxpayers are going to take back control of our government.  The Short Version. 1.     ORGANIZE!  We are forming working groups of citizen/taxpayers on a county by county basis that will continue to educate and reach out to each counties voter/taxpayers. 2.     FUNDRAISE! The more funding we receive the more we can afford to reach out and educate the population as well as get out the vote! Please do me a favor and watch this then get back to me: https://youtu.be/P5i2viK-C8o Email me at: murph@greenbayteaparty.org  Phone: 920-785-1219 9am to 5pm please!		Wisconsin Taxpayers.		To Restore; Fiscal Responsibility, Free Markets, and a Constitutionally Limited Government.	WebWarriors, Stop Common Core in Wisconsin, C.U.T. (http://cutwi.com/), Wisconsin Taxpayers (http://www.wisconsintaxpayers.com/)			
Boxes Of Love Ltd	http://www.boxesofloveltd.org		EIN 39-2005025	PO  Box 821	Woodruff	WI	54568	USA	Christianity, Civil Rights, International, International Relief, Religion	Providing material goods for orphanages, village famlies, hospitals, clinics, churches for national workers.								
BOYS AND GIRLS CLUB OF PORTAGE COUNTY INC	http://www.bgclubpc.org	(715) 341-4386	EIN 73-1630506	1145 Clark St	Stevens Point	WI	54481	USA	Boys & Girls Clubs, Children & Youth	To inspire and enable youth, especially those who need us most, to realize their full potential as productive, responsible, and caring community members.					The boys & girls club of portage county continued to expand its services to youth. A progam was launched in partnership with the county and school district to reduce truancy rates in the community called the portage county truancy abatement program. The club now operates 7 locations serving a registered membership of about 1,500 youth and a daily average attendance ranging from 250-400 per day depending on the time of year. One of the clubs continued focuses remains on serving more teens and more kids in general who need our services the most. Key programs include the following: arts, technology, character development, education & career development, health & life skills, and sports, fitness & recreation.			
Rape Crisis Center, Inc.	http://www.danecountyrcc.org	(608) 251-5126	EIN 23-7329215	2801 Coho Street #301 301	Madison	WI	53713	USA	Mental Health, Sexual Assault Services	The Rape Crisis Center works within Dane County to offer and promote hope, help and healing for those harmed by sexual violence, and strives through education and outreach to create social change to end sexual violence.					Through the 24/7 helpline (formerly known as the crisis phone line), 608-251-rape (7273), the rape crisis center provided immediate support on over 2,260 calls and responded with in-person advocacy for over 430 accompaniments to the hospital for a sexual assault nurse examiner medical and forensic evidence collection exam or to meet with law enforcement to support a client during the assault report. A dedicated helpline answered in spanish, 608-25valor (258-2567), provided access to the center's free services for those whose primary language is spanish. All services are provided free of charge to victims. A university of wisconsin-madison grant assures access for its students.   rape crisis center counselors provided free individual counseling to 200 individuals for a total of 910 sessions, plus 43 individuals for the center's drop-in support group and 93 clients in support groups at the dane county jail. These programs are all designed to help victims/survivors heal from the trauma of sexual assault or childhood sexual abuse and incorporate the crimes committed against them into their lives in a healthful manner.   community education and outreach is designed to increase community awareness of the rape crisis center's free services and to create partnerships and community ownerships of the underlying beliefs and attitudes that have normalized sexual assault. Over 4,000 men, women and teens participated in agency workshops, including chimera assertiveness and self-defense designed for women. Sexual assault awareness month activities in april reached thousands more.			
Great Wisconsin Headwaters Trail System Foundation	http://www.GHTrails.org	(617) 617-0080	EIN 27-4655716	PO Box 609	Eagle River	WI	54521	USA		Build and support a system of bicycle trails in vilas county wisconsin		develop a family-friendly biking and walking trail connecting all five town centers in the area.	move along development of the trail linking Conover and Phelps, and a bike path in Eagle River to leverage the benefits of the new stretch of the Three Eagle Trail.	Eastern Vilas County, Wisconsin	Trail planning and engineering, grant writing and other marketing and fundraising,  working with county and municipal officials, coordinating with local snowmobile groups, alerting area businesses about ways to increase revenue due to new traffic from increased bicycle use in the area and the county overall.			
Green Bay Community Theater	http://www.gbcommunitytheater.com	(920) 435-6300	EIN 39-6094747	Po Box 2333	Green Bay	WI	54306	USA	Arts & Culture, Theater	Fine arts by production of plays for the greater green bay area.					Production of four comedy or drama oriented performances playing to audiences totaling 4,500 patrons.			
Chain Skimmers Water Ski Team Inc	http://		EIN 39-1304271	Po Box 214	Eagle River	WI	54521	USA	Fishing & Hunting, Sports	The organization promotes the sport of water skiing for young adults. It sponsors shows for the public during the summer months. These shows are performed on lake pleasant in conover, wisconsin. All proceeds are used to offset operating expenses.					The organization promotes the sport of water skiing for young adults. It sponsors shows for the public during the summer months. These shows are performed on lake pleasant in conover, wisconsin. All proceeds are used to offset operating expenses.			
Sussex Antique Power Association Inc	http://		EIN 39-1559010	N92w25426 Blue Heron Dr	Sussex	WI	53089	USA										
Midwest Horse Welfare Foundation Inc	http://www.equineadoption.com		EIN 39-2029994	10990 Highway 73	Pittsville	WI	54466	USA	Animal Protection & Welfare, Animal-Related, Animal Services, Animals	Mission Statement:  The Midwest Horse Welfare Foundation is dedicated to providing qualified homes for any horse in need. It is our goal to make certain that every horse placed in our care is provided with all the necessary ingredients for a safe and happy life, and that it is also protected from those who would do it harm. Each horse placed in our care will receive our full efforts to ensure that it never ends up in the auction ring or on the slaughterhouse floor. We promise to do our best to provide only the best homes with dedicated families for every animal we place.								
New Directions Learning Community Inc	http://		EIN 46-2153989	2601 Sullivan Ave	Kaukauna	WI	54130	USA	Education, Elementary & Secondary Schools, Literacy									
ADASDF (Active Dogs Academy Service Dog Foundation)	http://www.adasdf.com	(715) 353-2869	EIN 26-4717994	N3710 County Hwy F	Weyerhaeuser	WI	54895	USA		ADASDFs mission is to bring help and support to the disabled community through the use of helper dogs.  ADASDF will breed, train and grant those helper service dogs to the disabled community.  ADASDF will be a bridge of kindness between peoples and show compassion in action.     ACTIVE DOGS ACADEMY SERVICE DOG FOUNDATION INC.     A WISCONSIN NON PROFIT 501C CORPORATION - ENTITY ID#  A060548       Message from the founder-  I have been asked why I would want to take on a task of this commitment. To simply put it I feel this is the purpose I was born for. Being born with a genetic disability I early on in life came to an understanding of animals and realized the value they can give to a person. I have an appreciation for the animals that have been created and serve to help us.  My primary focus in ADASDF is to bring the use of helper dogs to those who could use a little help in life. To help those in the disabled community live fuller and more independent lives.  Helper dogs/service dogs can not only give us physical help in daily tasks but can bring so much more to a persons life. These helper dogs can enrich our lives and they so often serve us with unconditional love.	13 Dogs put into the hands of people who's lives are forever changed	Wounded Veterans	2	Weyerhaeuser, WI	We provide Service Dogs to disabled Veterans at no cost.			
Community Action Coaltion For South Central Wisconsin Inc	http://www.cacscw.org	(608) 246-4730	EIN 39-1053827	1717 N Stoughton Rd	Madison	WI	53704	USA		Community action coalition for south central wisconsin, inc. (cac) provides, supports and sustains several anti-poverty programs in dane, jefferson and waukesha counties in wisconsin. In 2014, these programs served 20,994 persons from 7,689 households and mobilized 747 volunteers who contributed 12,629 hours of service to improve the lives of those affected by poverty, hunger, homelessness and unemployment.					Housing and homelessness prevention: community action coalition for south central wisconsin, inc. (cac) provides a wide variety of services focused on preventing homelessness and helping low-income families to secure safe, and affordable housing that is sustainable and permanent. Included in the agency's housing services are two permanent housing programs in dane county (home for good and shift) and a transitional housing program in jefferson county which provides intensive case management to households who are working their way out of homelessness. Cac has been providing supportive services for veteran families funded by the veterans administration in dane county and jefferson county since 2012. This program provides case management and temporary financial assistance that allows veterans in poverty to obtain and maintain stable housing assisting in local and national efforts to end homelessness. A variety of family development programs provide similar assistance to people receiving section 8 housing vouchers, people with disabilities and other low-income community members. The dane county housing crisis hotline continues as a collaboration with the local continuum of care to provide the latest housing information on available permanent supportive housing, emergency shelters and access to youth and domestic abuse hotlines. Approximately 2,580 households received services such as housing consultation, tenant/landlord mediation, supportive housing, utility assistance, case management and financial assistance in 2014. In addition, cac provided over 16,776 referrals to other community programs.   food security programs: as an emergency food operator, cac receives and distributes food free of charge to pantries, meal sites, homeless shelters, and senior centers in dane, jefferson and waukesha county. Cac procures food from two federal food programs - the emergency food assistance program (tef ap) and fema/emergency food and shelter program (efsp). Additionally, cac receives and re-distributes donated foods from a myriad of resources, such as the national association of letter carriers stamp out hunger food drive in may. Food procured by cac totaled 2,648,854 pounds and fed over 52,000 unduplicated individuals in 2014 according to the reports received from meal sites and pantries. Cac provides coordination and technical assistance as well as access to funding for food handling equipment to the food pantries and meal sites in the three counties we serve. Cac coordinates the 39-member dane county food pantry network, which supports and organizes efforts to fight hunger in dane county. Cac organizes a total of 91 food pantries and meal sites in dane, jefferson and waukesha counties.   community relations programs: cac mobilized 747 volunteers in 2014 to help meet the basic needs of low-income individuals and families. These volunteers provided over 12,629 hours of service. Cac works to inform the public about poverty-related issues and to promote community solutions to ending poverty.			
St Croix Valley Restorative Justice Program, Inc.	http://www.scvrjp.org	7154251100	EIN 30-0133750	215 N 2nd Street Ste 108	River Falls	WI	54022	USA	Children & Youth, Community & Neighborhood Development, Crime & Law, Crime Prevention, Dispute Resolution & Mediation, Economic Development, Youth Development	To build and sustain a culture of peace & belonging utilzing restorative justice principles in our community.	Consistently providing services that are powerful and meaningful to participants and volunteers.  Served over 1,000 individuals in 2011 and volunteers contributed over 2,000 hours of service.				Addressing a range of public health concerns: impaired driving, underage drinking, controlled substance use, teen driving, disorderly conduct.  SCVRJP also offers trainings and workshops.			
Omega School Inc	http://www.omegaschool.org	(608) 256-4560	EIN 39-1166888	835 W Badger Rd	Madison	WI	53713	USA		Omega school provides opportunities for people to enhance their lives through adult basic education.					Omega school provided basic skills/ged instruction to adult students. In 2014, we assisted 19 students with earning a ged/hsed credential.   omega school provided basic reading instruction to adult students. In 2014, we assisted over 78 students with building their academic skills to be in a position to pass their first ged/hsed test.   omega school provided basic skills/ged instruction to spanish speaking adults. In 2014, we had 20 spanish speaking ged students earn their ged/hsed credential.			
Bright Young Dyslexics Foundation Inc	http://		EIN 46-2423604	905 George Street 114	Depere	WI	54115	USA	Education, Scholarships, Scholarships & Student Financial Aid									
Wise Resources Inc	http://	(715) 848-1776	EIN 39-1972441	5005 Packer Dr	Wausau	WI	54401	USA	Education, Educational Services	Collect obsolete inventory & office furniture, re-package and distribute to other non-profit orginizations.								
Ours Through Adoption Of Northeastern Wisconsin Inc	http://		EIN 39-1515234	3858 Shore Crest Trl	Green Bay	WI	54311	USA	Camps, Sports									
Fetch Wisconsin Rescue	http://www.fetchwi.org	608.561.3827	EIN 46-2551219	PO Box 930572	Verona	WI	53593	USA	Animal Protection & Welfare, Animals	Fetch Wisconsin, Inc. was founded in 2013 in Madison, Wisconsin. to help find forever homes for the thousands of deserving dogs in shelters in Wisconsin and across the country. We are a volunteer-run, 501(c)(3) nonprofit organization.	We have rescued over 225 dogs since our beginning in April 2013. We have more than 300 volunteers dedicated to each aspect of our rescue from fostering to fundraising.	rescue and rehabilitate homeless pets	150 homeless dogs.	Wisconsin	shelter outreach to reduce overcrowding, intake of owner surrenders in the local community, and spay/neuter for each pet in our care.			
Menomonee Falls Festivals Corporation	http://www.falls-fest.com	(414) 258-4800	EIN 39-1671300	8719 W Greenfield Ave	West Allis	WI	53214	USA	Arts & Culture, Commemorative Events	To conduct an annual festival with all net prodeeds going to local non profit organizations.					Proceeds from annual falls fest are going to various non-profit organizations in menomonee falls-see list			
Tall Pines Conservancy Inc	http://www.tallpinesconservancy.org	(262) 369-0500	EIN 39-1966972	W330n4465 Lakeland Dr	Nashotah	WI	53058	USA	Environment, Land Resources Conservation	Tall pines conservancy's mission is to preserve our rural heritage by protecting remaining farmland, water resources, natural areas and open spaces impacting northwestern waukesha county.					Land acquisitiontall pines conservancy applied to the federal farm & ranchland protection program for a 126 acre farm in the town of oconomowoc, waukesha county. The application was accepted by the program for purchase of development rights. The purchase of development rights on the oconomowoc farm closed in october of 2014. We anticipate closing on the gessert farm in ashippun with frpp funding in the first quarter of 2015. We continue to work on the mason creek watershed management plan together with the north lake management district, sewrpc, wdnr, trout unlimited, the town of merton and carroll university. In 2014, we embarked on an ambitous project with the city of oconomowoc called "adaptive management". Within this project, we partnered with the city to apply for the national regional conservation partnership program grant. This grant would allow us to work with national programs to assist landowners within the watershed in implementing sustainable land management practices in order to reduce phosphorus levels in our rivers, lakes and streams. We continue to work diligently with both the town of oconomowoc and ashippun on the agricultural enterprise area; encouraging landowners to sign farmland preservation agreements; furthering the creation of a purchase of development rights program; and encouraging the town of ashippun to adopt farmland preservation zoning. Tpc partnered with many outstanding non-profit organizations and governmental partners in 2014 to work together to meet mutual goals in land preservation activities including the mid-kettle partners, ozaukee washington land trust, the rock river coalition, town and country resource conservation & development, greener oconomowoc, the nature conservancy, the waukesha county land conservancy, the tyme out center, merton town library, the wildlife in need center, pro-health westwood, benjamin goss birding club and carroll university. With the help of a grant from the kettle moraine garden club, we have partnered with the town of merton to plant a butterfly garden at the oconomowoc river conservancy.   land managementwe continued to work on adopting policies to meet best practices standards of the land trust alliance and in preparation for accreditation. Our outreach strategies included working with landowners in the towns of oconomowoc, ashippun, merton, delafield and ashippun. We continued our monitoring program with newly trained volunteers, and conducted an invasive species removal work days. We received a generous grant from the pewaukee ski club to work on shoreline restoration at north lake that we'll kick off in 2015.   the sixth annual tpc "ride to the barns" a cycling event that highlighted local farms and local food was very well received and attracted over 425 cyclists. We also conducted a geology and birding hike at campquad for our members that attracted 50 attendees. As well as our first "snowski" event in february at campquad, that attracted 50 attendees, and our first annual earth day"beer tasting" of tall pines heritage beer, at our local brew pub sweet mullets, with over 60 guests. Our annual meeting was held at monches farms in july with over 60 attendees. With the assistance of an lta leadership grant, our website was entirely re-branded, we created a quarterly e-bulletin and a new newsletter format. Our carroll college intern created video's that we posted to our website on each of our projects. We continue to sponsor the chamber's winter market in oconomowoc, that attracts over 400 patrons per market in the winter months, where we were featured one month with a presentation. And we hosted tables of tpc information at the clean water festival event, the green team's market in wales, and adopted a night at summerstage, lapham peak. We conducted presentations at kirkland crossing, three pillars, and to the oconomowoc kiwanis club. In 2014, tall pines continued to work on the land conservation partnership fund, with the goal of raising $1. 5 million to fund future preservation projects. And we kicked off our fundraising plan for "the charlie brumder preservation fund" with a goal of $200,000 to be raised for stewardship. Our current membership stands at approximately 500. Our board has participated in a number of fundraising trainings.			
Jewish Museum Milwaukee	http://www.jewishmuseummilwaukee.org	414-390-5730	EIN 	1360 N Prospect Avenue	Milwaukee	WI	53202	USA		The Jewish Museum Milwaukee is dedicated to preserving and presenting the history of the Jewish people in southeastern Wisconsin and celebrating the continuum of Jewish heritage and culture. The history of American Jews is rooted in thousands of years of searching for freedom and equality. We are committed to sharing this story and the life lessons it brings with it, so that we may enhance the publics awareness and appreciation of Jewish life and culture.				Milwaukee and Suburbs, only Jewish Museum in Wisconsin				
Maggie And Keegan Hackett Fund For Special Needs Children	http://		EIN 01-0622872	2645 W Lake Park Ct	Mequon	WI	53092	USA										
River Revitalizational Foundation Inc	http://www.riverrevitaliztionfoundation.org	(414) 271-8000	EIN 39-1887400	2134 N Riverboat Rd	Milwaukee	WI	53212	USA	Environment, Natural Resources Conservation & Protection	Protect, maintain and restore the urban river basins within milwaukee county.					Protecting, restoring and maintaining land and shorelines that encompass the urban river valleys in milwaukee co.			
Shorewood High School Alumni Association	http://www.shorewoodalumni.org	414-534-6280	EIN 35-2198274	PO Box 11427	Shorewood	WI	53211	USA	Alumni Associations, Education	It is the mission of the all-volunteer, 501(c)3 nonprofit charitable Shorewood High School Alumni Association to strengthen the connection of alumni and friends to the school, as well as help to generate financial assistance for the high school.	2010: Achieved 501c3 Status, Raised $23,000 in 6 weeks to save Costumer Position (April-May), Raised $20,000 for All Class Reunion July 9&10 (attendance over 2 days of 1200 people from many geographic locations) which featured an all-star rock concert of Jerry Harrison (Talking Heads), Jon Paris, David Zucker (Scream, Airplane) and others. First corporate matching gift received August, Endowment started September.	All past attendees and graduates of Shorewood High School, Shorewood, Wisconsin.			The Shorewood High School Alumni Association puts together an annual All Class Reunion - next year will be on July 9 , 2011. Also participate year round in scholarship donations and contributions to Student Council activities such as Copperdome sponsorship and other collaborative events.			
South Milwaukee Human Concerns Inc	http://www.southmilwaukee.org/humanconcerns/	(414) 764-5340	EIN 23-7217934	Po Box 314	S Milwaukee	WI	53172	USA	Emergency Assistance, Human Services	To provide food, clothing, and other necessities and services to needy families within the city of south milwaukee, wisconsin					To provide food, clothing, and other necessities and services to needy families within the city of south milwaukee, wisconsin			
Valley Of The Kings Sanctuary And Retreat	http://www.votk.org	(262) 736-9386	EIN 39-1689294	W7593 Town Hall Rd	Sharon	WI	53585	USA	Animals, Protection of Endangered Species	Valley of the kings sanctuary and retreat provides a home for abused, abandoned, retired and injured large felids, exotics, and domestic non- human animals.					To provides a home for abused, abandoned, retired and injured large felids, exotics, and domestic non-human animals.			
Carl B Thompson Trust 0202101	http://		EIN 36-6124176	134 S 8th St	Medford	WI	54451	USA	Philanthropy, Philanthropy, Charity & Voluntarism Promotion									
