name	url	telephone	tax_num	street	locality	region	postcode	country	Mission	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Causes	Results
St Stephens Nutrition Center Inc	http://		EIN 63-1024860	21311 County Road 34	St Stephens	AL	36569	USA						Human Services, Senior Centers, Seniors	
Seton Medical Management	http://	(251) 633-1080	EIN 63-0937704	6801 Airport Blvd	Mobile	AL	36608	USA	The organization's primary purpose is to support providence hospital, a 501(c)(3) organization.				Seton medical management, inc. Seeks to improve the physical, mental, social and spiritual health status of its surrounding community by providing inpatient and outpatient medical services. During the fiscal year, seton medical management, inc. Had 1,130 pet scan procedures and 32,145 radiation oncology treatments. See community benefit report in schedule o.		
Rick Hughes Evangelistic Ministries Inc	http://		EIN 72-1385483	Po Box 100	Cropwell	AL	35054	USA						Protestant, Religion	
True To The Red White And Blue	http://		EIN 54-2177308	Po Box 3634	Hueytown	AL	35023	USA						Military & Veterans Organizations, Veterans	
Alabama Society For Crippled Children & Adults, Inc.	http://		EIN 63-0929484	Local	Centre	AL	35960	USA							
Shoals Outdoor Drama Association Inc	http://		EIN 63-0904689	1950 Jackson Rd	Florence	AL	35630	USA							
Southern Poverty Law Center, Inc.	http://www.splcenter.org	334-956-8200	EIN 63-0598743	400 Washington Ave	Montgomery	AL	36104	USA	The Southern Poverty Law Center is dedicated to fighting hate and bigotry and to seeking justice for the most vulnerable members of our society. Using litigation, education, and other forms of advocacy, the SPLC works toward the day when the ideals of equal justice and equal opportunity will be a reality.				The southern poverty law center (splc) seeks justice by supporting victims of civil rights abuses and hate crimes, and promoting the civil and human rights of groups most affected by bias and discrimination in our society: minorities, immigrants, guest workers, children, the poor, and the lgbt community - both in the deep south and nationwide. Its case docket focuses on holding hate groups accountable for murders and other violent acts committed by their members; ending workplace exploitation of immigrants; challenging unconstitutional or discriminatory laws and policies affecting immigrants, minorities and the lgbt community; and working to reform juvenile justice, mental health, and education systems that fail children and routinely push students out of classrooms and into the criminal justice system, disproportionately harming african-american and latino students living in poverty. The splc attorneys focus on these critical civil rights issues from five splc offices in the deep south.   the splc's public information and education efforts seek to combat hate and bias in our society, expose extremism, and reduce discrimination and injustice. The splc provides information about hate groups and other extremists, their activities and their crimes to the public, law enforcement, policymakers, human rights organizations, and the media with the goal of preventing hate and extremism from entering the mainstream. The splc provides information and training materials to tens of thousands of law enforcement officers nationwide and conducts in-person training with thousands of officers per year. The splc also seeks to foster equality in the classroom and support tolerance education by providing award-winning, anti-bias materials to more than 400,000 teachers and schools nationwide. The splc educates the public on the structural causes, and impacts, of inequality and uses a multifaceted approach of community education, mobilization, media and legislative advocacy to combat bias and discrimination against minorities, immigrants, the poor, the lgbt community and other vulnerable members of society. All of the splc's work is provided free of charge.	Civil Liberties, Civil Rights, Intergroup & Race Relations, Minority Rights, Race	
Victory Health Partners Inc	http://www.victoryhealth.org	251-460-0999	EIN 63-1260841	3750 Professional Pkwy	Mobile	AL	36609	USA	Victory Health Partners (VHP) is a 501 (c) (3) nonprofit faith-based health care organization. The mission of VHP is to minister to the physical, emotional, and spiritual needs of the medically underserved. Specifically, these are low income individuals, who are unable afford private insurance and do not qualify for government funded insurance. VHP offers high-quality healthcare to these individuals who qualify - regardless of ethnicity or creed.	Low income uninsured adults ages 19-64		20 counties in Alabama, 5 in Florida, and eight in Southern Mississippi	VHP offers a community solution to a community problem. By offering patients general medical care, including laboratory visits, X-rays, EKGs, and counseling, Victory provides a medical safety net to offset a major medical incident. Patients are qualified based on their income and family size. They pay a small co-payment that includes their appointment and any laboratory tests. In addition to primary medical care, Victory offers a Dental Clinic, Medication Dispensary program, Incontinence Clinic, Pulmonary Clinic, Wound Care Clinic, Womens Wellness Exams, MRIs, Minor Surgeries, Diabetes Education Program and Sleep Apnea Clinic. The Dispensary Program enables VHP patients to receive all or most of their medications at no charge. The Dental Clinic offers routine cleanings, X-rays, and treatment so patients may maintain their teeth and manage any problems effectively. This is the only clinic at Victory that will serve Medicare and Medicaid patients because not all Medicaid and Medicare patients receive dental services.  Beginning in the fall 2011, VHP expanded its services to include an Eye Clinic and a Neurology Clinic. Additional appointments for Womens Wellness Exams are now available through the service of a second volunteer OBGYN physician. VHP orders mammograms and PAP smears for its female patients and free colon screenings for those who qualify through a free state program.     In its tenth year of service, VHP remains a community initiative. The clinic has an extensive network of 150+ local physicians, dentists, healthcare providers, and hospitals that provide specialized care in their own offices when needed.	Health, Health Care	In 2011, Victory served 18,000 patients from 20 counties in Alabama, 8 in Mississippi, and 5 in Florida. Our dispensary gave over $4.5 million worth of free medications to our patients. It is truly a community initiative for a community problem. With a vast network of over 75 volunteers and 150 specialists, Victory is able to provide a full continuum of compassionate care for our patients.
Marion County High School Alumni Association	http://		EIN 63-1174476	408 13th Ave W	Guin	AL	35563	USA						Alumni Associations, Education	
Main Street Alexander City Inc	http://	(256) 329-9227	EIN 63-1123380	21 Main St	Alex City	AL	35010	USA	Downtown revitalization including historic preservation, design improvements, promotional events and materials, and economic development activities.				Downtown revitalization including historic preservation, economic development and city promotion.	Education	
Mcrae Learning Center Inc	http://	(334) 872-8078	EIN 63-1107519	Po Box 1266	Selma	AL	36702	USA	Provide care and nuturing for children				Instruction and nuturing provided to children	Education	
Alabama Association Of Nonprofits	http://www.alabamanonprofits.org	(205) 879-4712	EIN 63-1172730	Po Box 292305	Birmingham	AL	35229	USA	The mission of the alabama association of nonprofits is to strengthen and support alabama nonprofit organizations in serving their communities.				The summit: the nonprofit summit is held annually in the first quarter of each year to provide up-to-date training practices, information and networking for the nonprofit sector. Executives, front line staff, volunteers and board members attend the two days of workshops from across the state, representing social, religious, educational, health care and environmental organizations. Since 1998, the alabama association of nonprofits' summit has provided important opportunities for our nonprofit sector to replenish and respond to increasing community needs. Each year the program is designed to take into account current information and trends. The summit was not held in fiscal year ending june 30, 2013.   educational services: at aan, we are committed to providing nonprofits, board members and community stakeholders with informative workshops and conferences that will help further the important work they do. Member surveys and focus groups continue to direct our programming, with tips and trends in fund development and board governance continuing as the most requested topics. For fiscal year ending june 30, 2013, aan sponsored 33 classes/webinars which had 217 attendees.   career center: many nonprofits rely on our nonprofit career center as their primary recruitment tool in seeking the brightest and most qualified nonprofit professionals in alabama. We have over 2,300 candidates seeking jobs in the nonprofit sector and nearly 800 organizations that use the service to find employees.   nonprofit advocacy: communications and information dissemination about all matters of topics related to nonprofits, research, and giving initiatives in alabama.	Centers to Support the Independence of Specific Populations	
Humane Society Of Elmore County Inc	http://elmorehumane.org	(334) 567-3377	EIN 63-0897123	255 Central Plank Rd	Wetumpka	AL	36092	USA	Rescue & relocate abandoned animals				Rescue & relocate abandoned animals	Animal Protection & Welfare, Animal-Related, Animals	
Fort Payne Depot Museum Inc	http://fortpaynedepotmuseum.com	(256) 845-5714	EIN 63-0869280	Po Box 681420	Fort Payne	AL	35968	USA	Organization maintains a small museum with historical documents and artifacts relating to local community of fort payne, alabama				Organization maintains a museum with history and artifacts related to local community of fort payne, alabama and surrounding areas.		
West Alabama Youth Camp Project	http://		EIN 63-1127244	PO Box 307	Eutaw	AL	35462	USA						Children & Youth, Crime & Law, Youth Violence Prevention	
New Generation Mentoring Organization	http://www.newgenerationmentoring.org		EIN 45-5088946		Birmingham	AL	35215	USA	New Generation Mentoring Organization is a Non Profit Organization committed to our youth success. Our goals are to motivate, encourage and to empower every youth to achieve their goals. We mentor our youth on every aspect of life by doing one-on-one mentoring to strengthen their communication skills as well as plan group sessions to encourage team work.                Our target communities and schools are located in the Greater Birmingham and Bessemer area. We instill in all our youth to perform with excellence as they pursue their dreams. Our mentors are trained to equip and prepare our youth for life's challenges and to instill the confidence they need in order to achieve a higher education which will increase their chance on becoming successful. Knowledge is power and education is the key that will open the doors to a successful life.	The youth	Over 20p kids.	Birmingham	Mentoring, health/fitness class, tutoring.	Children & Youth, Youth Community Service Clubs	
Wounded Warrior Family Foundation	http://www.woundedwarriorfamilyfoundation.org	(334) 391-8751	EIN 27-2390160	4336 Shamrock Ln	Montgomery	AL	36106	USA	Wounded warrior family foundation provides emergency financial support to families, spouses & children of military & civilian heros who have been killed or seriously wounded.				Wounded warrior family foundation provides emergency financial support to families, spouses & children of military & civilian heros who have been killed or seriously wounded.	Children & Youth, Family Services, Health, Military & Veterans Organizations, Veterans	
Veterans of Vietnam MC HQ	http://		EIN 26-3519614	3 Tara Ln	Anniston	AL	36206	USA				All of US		Military & Veterans Organizations, Veterans	
Women's Aglow Fellowship	http://www.aglow.org/		EIN 93-0841367	231 Section Line	Gurley	AL	35748	USA	Aglow International is an intercultural transdenominational organization of Christian women with more than 3,500 fellowships in more than 151 nations. Our mission is to lead women to Jesus Christ and provide opportunity for Christian women to grow in their faith and minister to others. Aglow's vision to impact the lives of women worldwide is expressed in the strategic focuses of: Prayer, Evangelism, Relationship, and Reconciliation.					Christianity, Religion	
Mountain Brook Independent Church	http://		EIN 63-6091260	4200 Montevallo Rd S	Birmingham	AL	35213	USA							
Metropolitan Birmingham Services For The Homeless	http://		EIN 62-1051908	PO Box 320189	Birmingham	AL	35232	USA						Homeless & Housing, Homeless Centers, Human Services	
American Charity For Americans, Inc.	http://		EIN 63-1155743	PO Box 681693	Prattville	AL	36068	USA						Human Service Organizations, Human Services	
John S Jr & Antonia G Mavar Charitable Tr Dtd 04151992	http://	(251) 438-8387	EIN 63-6172463	Po Box 1628	Mobile	AL	36633	USA	To provide perpetual economic support for enriching education opportunities not otherwise available to the designated schools.				Nativity bvm elementary school, biloxi, ms - provides perpetual economic support for the catholic christian mission of the school not otherwise available through their limited budgeted resources.   st. Patrick catholic high school, biloxi, ms - provides perpetual economic support for the catholic christian mission of the school not otherwise available through their limited budgeted resources.		
Madison Station Historical Preservation Society Inc	http://		EIN 63-0875376	Po Box 2114	Madison	AL	35758	USA						Arts & Culture, Museums	
Three Hots and a Cot	http://www.cotsforvets.org		EIN 26-4355458	300 81st Street South	Birmingham	AL	35206	USA		Homeless veterans	Over 250 veterans and family members	Central Alabama	Provide services for homeless veterans while transitioning into affordable housing. This will include; lodging, meals, access to medical, dental, counseling, job placement, and other social services as needed by the participant. Identify and provide services to veterans who are in danger of becoming homeless.	Food, Food Programs, Homeless & Housing, Homeless Shelters, Job Training, Vocational Rehabilitation	
Safe Haven No Kill Animal Rescue	http://www.safehavencatsanddogs.org	256-919-7290	EIN 20-5883582	p.o box 962	Scottsboro	AL	35768	USA	To save animals from any and every situation and make people and animals happy . So the pet will have a forever loving home	forever homes		Nationwide	help educate people on animals to prevent the animals from being killed and or abandoned.	Animal Protection & Welfare, Animals	
Alabama Society For Crippled Children And Adults, Inc. Pike Count	http://		EIN 63-6053064	Rte 1 Box 253-C	Troy	AL	36081	USA							
Losel Maitri Tibetan Buddhist Center Inc	http://		EIN 63-1202016	3970 Wall St	Vestavia	AL	35243	USA						Buddhism, Religion	
Owasso Foundation	http://OwassoFoundation.org	205-312-9183	EIN 81-1650005		Clanton	AL	35045	USA						Military & Veterans Organizations, Veterans	
Hope Inspired Ministries Inc.	http://www.hopeinspiredministries.org	334-649-4330	EIN 45-4501764	52 Adams Avenue	Montgomery	AL	36104	USA	Hope Inspired Ministries seeks to serve the chronically unemployed by preparing them to obtain and maintain employment. We will do so in a manner that develops individual worth, encourages personal responsibility, and promotes the value and honor of work. Each student will be guided in the achievement of their chosen career through specialized classroom and on-the-job training. It is our intent to introduce a way of life that promotes the development of the emotional, physical, and spiritual maturity in each student.	People who are chronically unemployed		Downtown Montgomery	HIM provides job training to help those who are chronically unemployed obtain and maintain employment through more than 400 hours of training both in the classroom and through hands-on experience.		With 42 graduates in the past three years, 77% of our graduates are working, are in school or both.
Burritt Museum Association Inc	https://www.burrittonthemountain.com	(256) 536-2882	EIN 63-0868992	3101 Burritt Dr Se	Huntsville	AL	35801	USA	To enhance lives and build community through educational, artistic, and recreational experiences while preserving our heritage land and historical structures.				Burritt provides a wide range of educational learning experiences for children through field trips, camps, festivals, and their partnership with earthscope, the environmental education program sponsored by the city of huntsville. Burritt also provides artistic, and recreational experiences with their world class city lights and stars outdoor concert series, exhibits in the mansion, and theatrical events during the year. Families enjoy big festivals and monthly "step back in time" programs and holiday events including candlelight christmas, holiday magic, and easter jubilee. Burritt is an important attraction for the city of huntsville for all age groups and hosts tours, weddings, and corporate events.	Arts & Culture, History Museums	
American Civil Liberties Union Of Alabama Foundation	http://www.aclualabama.org		EIN 63-0883872	900 S Perry St	Montgomery	AL	36104	USA	Fights for individual liberties				Aclu provides public education pertaining to civil liberties and constitutional rights. Aclu sponsors litigation to establish and protect civil liberties.	Civil Liberties, Civil Rights	
Janice Capilouto Center For The Deaf-Easter Seals	http://		EIN 63-1026708	5950 Monticello Dr	Montgomery	AL	36117	USA						Health, Rehabilitative Care	
Tears Teens Empowerment Awareness With Resolutions	http://www.tearsinc.org		EIN 72-1357665	1011 S Railroad St	Phenix City	AL	36867	USA	Tears offer many programs and services within our communities from school-based programs, counseling services, martial arts, prevention and abstinence education and more.				The organization provides teens with programs that are designed to raise awareness of child abuse, neglect and dating violence. The organization also educates teens on anger management, conflict resolutions, life skills in addition to teaching abstinence as an alternative to sexual activities. Programs include abstinence education to instill character & educating young people in schools, detention center, & community-based organizations of russell county, phenix city, and locality.	Children & Youth, Children & Youth Services	
The Three Arts Club Scottsboro Educational Foundation Inc	http://	(256) 218-2100	EIN 58-2155572	906 South Scott Street	Scottsboro	AL	35768	USA	Assist funding arts education				Funded arts & science related activities for k-12 students in scottsboro, alabama	Education	
Safehouse Of Shelby County Inc	http://safehouse.org	(205) 669-1877	EIN 63-1007280	Po Box 275	Pelham	AL	35124	USA	Temporary shelter to victims of domestic violence.				Temporary shelter for abused spouses and their children; also provide referrals to appropriate government agencies. Provide food, clothing, and other essentials for temporary living.	Domestic Violence, Family Violence Shelters, Homeless & Housing, Mental Health, Sexual Assault Services, Victims Services	
Tuscaloosa Kiwanis Foundation	http://		EIN 63-1171943	Po Box 2413	Tuscaloosa	AL	35403	USA						Education, Scholarships, Scholarships & Student Financial Aid	
Health Services Inc	http://www.hservinc.org	(334) 263-2301	EIN 63-0568762	1845 Cherry St	Montgomery	AL	36107	USA	To provide healthcare to the medically underserved				Healthcare and ancillary services to the medically underserved. We serve approximately 30,000 patients		
Marion Presbyterian Church	http://		EIN 63-0856212	502 Washington St	Marion	AL	36756	USA							
Mission Birmingham	http://www.missionbirmingham.org	2059786012	EIN 27-0005520	P.O. Box 12824	Birmingham	AL	35202	USA	Mission Birmingham creates and facilitates strategic, impactful partnerships to advance the Kingdom of God by:  Convening - Gathering leaders for praying, learning and collaborating  Mission Birmingham regularly sponsors events for connecting pastors, ministry leaders and community leaders to build relationships. These events involve prayer, communicating and developing strategic plans and partnerships to advance the Kingdom in our community.    Coaching - Encouraging local churches in their missional philosophy and practice  Mission Birmingham is continually motivating church leaders to connect with one another and learn from one another as they develop effective philosophies and practices that help their congregations take the whole gospel to the whole city. We accomplish this goal in local churches by coaching them through a simple process of: 1. Looking up - Seeking God and His missional plan  2. Looking around - Determining assets and surveying ministry options 3. Looking out - Moving out of the four walls strategically and effectively   Creating - Developing tools to resource Kingdom action  Mission Birmingham creates web tools to resource churches and nonprofits such as:  	MapMyCity.org 	ServeMyCity.com  	FirstOfAll.org 	CityOnItsKnees.com	connect leaders and their organizations to make Birmingham a more livable community		Birmingham, AL	Birmingham church planting newtork	Religion	
House Of Prayer For All People Church	http://		EIN 63-1173432	707 Hughes St	Piedmont	AL	36272	USA						Protestant, Religion	
TAP INC	http://www.tapinc.us	(305) 479-3247	EIN 36-4679803	1063 Hyde Ct	Mobile	AL	36608	USA	The mission of tap is to prepare student athletes to succeed in life outside of athletics.				Tap is a developing mentoring program which uses a holistic approach to improve the overall well-being of our youth. The foundation provides opportunities to young people that may be struggling to find purpose and direction. Tap provides programs that emphasize the importance of having a sound mind, body and spirit.	Human Service Organizations	
Canebrake Memorial Golf Tournament Inc	http://		EIN 47-1518506	22824 Riviera Dr	Athens	AL	35613	USA						Alzheimers Disease Research, Health	
Womens Business Center Inc	http://www.womenbiz.biz	(251) 660-2725	EIN 72-1397483	413 Azalea Rd Ste F	Mobile	AL	36609	USA	The mission of the women's business center is the economic empowerment of women by assisting them to start and grow successful small businesses.				Conduct classes addressing issues involved in the start-up of a business(marketing research, bookkeeping, etc. ) and provide networking and mentoring programs to increase the profitability of existing businesses.   programs and one-on-one counseling on a variety of business matters	Education	
Dothan Employee Relief Fund	http://		EIN 58-2079816	Po Box 2128	Dothan	AL	36302	USA							
Thomas N & Mildred V Beach Fdn 25-6492-04-2	http://		EIN 63-6121523	Po Box 2886	Mobile	AL	36652	USA							
Daily Bread Inc	http://	(205) 995-9569	EIN 63-0878388	5171 Redfern Way	Birmingham	AL	35242	USA	Contributing to under-privileged and disadvantaged through christian ministry.				Contributing to under-privileged and disadvantaged through christian ministry		
Faith Tabernacle Of The Lord Jesus Christ Inc	http://		EIN 63-1025364	Po Box 36	Morris	AL	35116	USA							
Operation Stand Down Huntsville Inc	http://		EIN 01-0904413	4000 Marie Avenue N	Huntsville	AL	35816	USA	To provide community based intervention programs designed to help homeless veterans				Operation stand down assist 10 homeless veterans in finding permanent housing during the year 2010 further they also provided feeding sites periodically throughout the year for homeless veteran	Counseling, Mental Health	
Alabama Head Injury Foundation Inc	http://www.ahif.org	(205) 823-3818	EIN 63-0893496	3100 Lorna Rd Ste 203	Hoover	AL	35216	USA	To improve the quality of life for survivors of traumatic brain injury and for their families.				An agreement with the alabama department of rehabilitation services is designed to improve services of survivors of neurotrama through multiagency collaboration, service coordination, case management, family education, respite care, housing and other direct services but not limited to post acute medical care.   alabama child passenger safety - provides appropriate child passenger restraint systems, including car seats and booster seats, free of charge, to families of limited income in alabama. The organization discontinued administering this program during the year ended september 30, 2014.   client case funds - financial assistance provided to clients when other community resources are not available.	Brain Disorders, Education, Graduate & Professional Schools, Health, Health Support, Patient & Family Support	
Oasis Counseling For Women And Children	http://		EIN 63-1128764	1900 14th Ave S	Birmingham	AL	35205	USA						Community Mental Health Centers, Mental Health	
Bill Dunn Fund 1055002341	http://	(251) 690-1024	EIN 63-6045180	Po Box 2886	Mobile	AL	36652	USA							
Wings of Life Inc	http://		EIN 63-0982786	800 Saint Louis St	Mobile	AL	36602	USA	MINISTRY/HOMELESS ASSISTANCE	encourage and empower the addicted, the broken, the impoverished, the hungry,the homeless and the incarcerated		the United States,based along the Gulf Coast	90 day Faith-based substance abuse, Food distribution to needy families, Feeding, clothing and educating the homeless, GED preparation, Ministering to the incarcerated and their families, Character building and Discipleship for at risk youth. Drug preventions and anti-bullying in the public school system.	Protestant, Religion	
Womens Clubhouse Inc	http://		EIN 63-0356616	130 18th St N	Bessemer	AL	35020	USA							
Athens-Limestone Emergency Food And Shelter Bank Inc	http://		EIN 57-0907694	419 S Marion St	Athens	AL	35611	USA	Athens Limestone Emergency Food and Shelter Progran is a not-for-profit humanitarian organization dedicated to providing assistance to the needy in Limestone County.				We have three programs: emergency food boxes that contain enough food for a week, assistance with deliquent utility bills to prevent discontinuance of service, and assistance with rent/mortgage payments to prevent eviction. In 2007, we helped 1832 households.	Food, Food Programs	
Red Mountain Search Dog Association	http://www.rmsda.org	205-541-4051	EIN 47-2060631	51770 Highway 25	Vandiver	AL	35176	USA	The Red Mountain Search Dog Association is an all volunteer, 501(c)(3) non-profit organization consisting of certified search dog and handler teams based out of Birmingham, Alabama. The Red Mountain Search Dog Association provides supplemental Emergency Medical Services, manpower and specialized equipment, tools and skills to public safety agencies and communities as needed and when requested in response to missions involving the search of missing, injured and/or endangered persons.	Missing persons		Central Alabama	Certified search dog and handler teams	Disaster Aid, Disaster Preparedness & Relief Services, Safety Education, Search & Rescue Squads	
Ymca Of The Shoals Inc	http://ymcashoals.org	(256) 246-9622	EIN 63-0545200	2121 Helton Dr	Florence	AL	35630	USA						Human Services, Young Mens or Womens Associations	
Bahais Of Decatur	http://		EIN 91-1861319	Po Box 2521	Decatur	AL	35602	USA							
Eastern Health System Inc	http://		EIN 63-0909072	48 Medical Park East Drive 450	Birmingham	AL	35235	USA						Community Health Systems, Health	
GRACE HOUSE MINISTRIES INCORPORATED	http://www.grace-house.org/	205-786-4663	EIN 57-0903169	PO Box 547	Fairfield	AL	35064	USA	The mission of Grace House is to provide stable Christian homes for girls from crisis backgrounds with the commitment to developing mature, godly women.				The care of abused and neglected girls through the purchase, renovation, and operation of group homes, thereby providing a stable, christian home.	Human Services, Residential Care & Adult Day Programs	
Steel Magnolias Breast Cancer Support Group Inc	http://		EIN 41-2157566	Po Box 2208	Anniston	AL	36202	USA						Breast Cancer, Cancer	
Make Way Partners	http://www.makewaypartners.org	205-240-8597	EIN 76-0733035	PO Box 459	Chelsea	AL	35043	USA	Committed to prevent and combat human trafficking and all forms of modernday oppression by educating and mobilizing The Body of Christ in countries: 1) Where women & children are at highest risk of human trafficking, forced prostitution and other forms of modern-day oppression. 2) Where little to no other help is available because it is considered either too dangerous, too expensive or too remote for most people to go.	vulnerable women and children at-risk to human trafficking.	care for 1,500 unadoptable orphans and their surrounding communities	Sudan and South Sudan		indigenously led anti-trafficking network  	nutritious food and clean water 	shelter and 24-hour security  	quality education and training 	Christ-centered discipleship  	proper healthcare and medicine 	emotional trauma care and healing support	Children & Youth, Christianity, Foster Care, International, International Human Rights, International Relief, Religion	An orphan-care network consisting of three orphanages, New Life Ministry, Hope for South Sudan, and Our Father's Cleft, provides over 1,500 orphans safety from exploitation and a bright hope for the future. Each orphanage has an education system in place, training and developing leaders for the next generation.  The medical network allows Make Way Partners to give life-saving treatment to 45,000 people each year.
Central Alabama Woodcarving Assn Inc	http://		EIN 63-0941340	2046 County Road 85	Deatsville	AL	36022	USA						Unknown	
EPISCOPAL HOUSING FOUNDATION INC dba Episcopal Place	http://www.episcopalplace.org	(205) 933-1020	EIN 63-0753686	1112 26th Street South	Birmingham	AL	35205	USA	To provide low income housing (95-1br, 5-2br aparments) under sec. 202 of the national housing act, as amended and regulated by hud				To provide low income housing (95-1br, 5-2br aparments) under sec. 202 of the national housing act, as amended and regulated by hud	Homeless & Housing, Low-Income & Subsidized Rental Housing	
Department Of Alabama Veterans Of Foreign Wars Of The United States	http://	(256) 355-5702	EIN 63-0500440	2309 Veterans Dr Se	Decatur	AL	35601	USA	Charity				Contributions and awards were distributed to various organizations & individuals on the basis of need or mer	Military & Veterans Organizations, Veterans	
National Society United States Daughters Of 1812	http://		EIN 63-0931092	1132 N Eufaula Ave	Eufaula	AL	36027	USA							
