name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Geographic areas served	Programs	Results	Target demographics	Direct beneficiaries per year
HomesteadCS	http://www.HomesteadCS.org	765-423-1284	EIN 31-1057335	671 N 36th St	Lafayette	IN	47905	USA	Community & Neighborhood Development, Economic Development, Financial Counseling, Homeless & Housing, Housing Development, Construction & Management	The mission of HomesteadCS is to provide education and other resources to increase affordable, sustainable housing opportunities and financial stability in the communities we serve and to be a catalyst for the development and revitalization of our neighborhoods.	Tippecanoe, Benton, Boone, Carroll, Clinton, Fountain, Montgomery, Putnam, Warren, and White Counties in Indiana	Pre-purchase Counseling, HomeBuyer Education, Down Payment Assistance, Home Repair Grants, Foreclosure Prevention and Delinquency Counseling, Reverse Mortgage Counseling, Tenant Education, and Bank On Tippecanoe.	HomesteadCS (Homestead Consulting Services) is the dba of Lafayette Neighborhood Housing Services, Inc. Homestead has offered Homeownership Programs, including Budget and Financial Counseling, since our beginning in 1983. As part of our affordable housing mission, in 2012, we had a pilot program for Tenant Education. Tenant Education was formally added in 2013. In our history, we have helped approximately 1,150 families purchase homes and have counseled over 13,000 families regarding their housing situation. The value of homes saved through our Foreclosure Counseling exceeds $70 million and the value of homes purchased is over $7.5 million.	We help all families in our geographic service area, regardless of income, decrease foreclosure, increase homeownership, and ensure that they have a safe, decent, and affordable place to call home.	In 2015, we directly helped 323 Delinquency & Foreclosure Clients, 52 Reverse Mortgage Clients, 33 New Homeowners, 51 HomeBuyer Education Clients, 6 Bank On Tippecanoe Clients, 27 Pre-purchase Counseling Clients,  9 Post-purchase Counseling Clients, and 38 Tenant Education Clients. Over $10 million in homes were saved from foreclosure in 2015
Loveway Incorporated	http://www.lovewayinc.org	(574) 825-5666	EIN 35-1326709	54151 County Road 33	Middlebury	IN	46540	USA	Centers to Support the Independence of Specific Populations, Health, Rehabilitative Care	Loveway utilizes horses to deliver services to individuals with physical, emotional and cognitive disabilities.		1. Served 250 individuals in 20142. Volunteers contributed 6,595 hours			
Puerto Rican Parade & Cultural Organization Of Nw Indiana Inc	http://	(219) 398-0632	EIN 35-1999923	Po Box 3029	East Chicago	IN	46312	USA	Arts & Culture, Cultural & Ethnic Awareness	Foster cultural & community pride		Cultural events were held throughout year culminating with the annual pageant, picnic, 2-day festival & parade. All of these activities help promote ethnic pride, improve community relations & provide an alternative for the youth of northwest indiana.			
CROSSROADS BIBLE COLLEGE INC	http://www.crossroads.edu		EIN 31-1048513	601 N Shortridge Rd	Indianapolis	IN	46219	USA	Education, Undergraduate Colleges						
INDIANA CANINE ASSISTANT AND ADOLESCENT NETWORK INC	http://www.icandog.org	(317) 250-6450	EIN 35-2144155	5610 Crawfordsville Rd #2101	Indianapolis	IN	46224	USA	Animal-Related, Animal Services, Animals, Crime & Law, Human Services, Inmate Support	Through the training and placement of service dogs, ICAN works to increase the independence of children and adults with physical and/or developmental disabilities, while providing opportunities for incarcerated individuals to learn positive interpersonal, life, and job skills to assist them with re-entry.		ICAAN operates assistance dog training programs in three adult and two juvenile correctional facilities in Indiana.  In addition, ICAAN dogs often visit local schools and rehab clinics.			
Timothy Ball Elementary School Parent Teacher Organization	http://		EIN 35-1810109	720 W Summit St	Crown Point	IN	46307	USA	Education, Parent & Teacher Groups						
Bvm Foundation Inc	http://	(812) 933-1332	EIN 20-1155875	2056 Shrine Rd	Batesville	IN	47006	USA	Philanthropy, Private Independent Foundations						
Grace Lutheran Church	http://		EIN 35-6027384	610 N Reserve St	Muncie	IN	47303	USA							
Kappa Delta Pi	http://		EIN 31-1202436	3707 Woodview Trce	Indianapolis	IN	46268	USA							
The Village Cooperative	http://www.thevillagecooperative.org	317-602-3696	EIN 26-4098400	6055 N. College Ave.	Indianapolis	IN	46220	USA		The Village Cooperative's mission is to empower villages around the world to become self-sustaining through the implementation of handicraft projects, micro-financing enterprises, small business development, and vocational skills training.	Africa, Asia, Latin America	School, recycling and community center construction and development  community development  small donations to various countries	The Village Cooperative has complete projects in Kenya, Thailand and Uganda. Successes include three women's fair trade handicrafts groups employing widows, women affected by HIV/AIDS and those vulnerable to human trafficking. Small business grants and loans have been granted to groups starting chicken coops, fisheries, a sewing business, a party rental group and small shops. The Village Cooperative has collaborated with the UN, the EU and local Kenyan partners to transform an internally displaced persons camp in which 250 families were living under one tent into a thriving eco-village comprised of single family homes and individual gardens and orchards. In partnership with local villages, TVC has helped fund and build schools and a medical clinic in Kenya. Plans are underway for a medical clinic to service Iraqi refugees in Jordan.	Women's groups in the developing world, specifically in Kenya, Thailand and Uganda.	
Vigo County CASA Kids	http://www.vigocounty.org/casa	(812) 231-5658	EIN 27-1263421	141 Oak St	Terre Haute	IN	47807	USA	Children & Youth, Children & Youth Services, Education, Educational Services, Foster Care	CASA Kids is an organization created to support the Vigo County CASA (Court Appointed Special Advocates) program in its efforts to enrich the lives of abused and neglected children in the Wabash Valley. The organization meets these needs through raising, managing, and distributing funds.		CASA Kids accepts requests from CASA volunteers to cover varous financial needs of the abused and neglected children they serve.			
Y-Me National Breast Cancer Organization Inc	http://		EIN 35-1822900	1050 E. 86th St. Ste 55B	Indianapolis	IN	46240	USA	Breast Cancer, Unknown	The mission of Y-ME National Breast Cancer Organization, Indiana Affiliate is to ensure, through information, empowerment, and peer support, that no one faces breast cancer alone.		PROGRAMS AND SERVICESY-ME Peer Counseling Hotline is a 24/7 toll free number linking callers with a breast cancer survivor who is trained and certified as a peer counselor by the Y-ME National Breast Cancer Organization.  Trained survivor peer counselors provide psychological and social support; help callers to discern information and cope; provide resource information on breast cancer topics; and can create custom log-on Y-ME web pages tailored specifically to the caller's needs. Y-ME 'Open Door' Meetings are held frequently throughout the year. Specific topics related to breast cancer are addressed by reputable health care professionals.  Questions are answered and peer counselors are available to talk with attendees and promote breast cancer networking. Y-ME Newsletters, The Ribbon and the online Y-ME Indiana PinkLetter, provide informative news on medical issues, announcements of upcoming events and activities, recognition of volunteers and supporters, and inspirational stories of survivors.Y-ME Speakers Bureau offers presentations on the importance of early detection and breast self-examination.Y-ME Breast Cancer Survivors Fashion Show Luncheon, the major celebration fund-raiser, celebrates survivors.  Models are breast cancer survivors or their medical care team members.Y-ME Office provides space for meetings, a resource library for use by those facing breast cancer, and administrative support to assist volunteers in the delivery of services.Y-ME Health Care Providers Outreach Committee works with health care providers to meet the needs of people with breast cancer and enlist their support for Y-ME programs.  Volunteers regularly supply some 100 medical offices with current Y-ME breast cancer brochures, resource materials, and Y-ME Patient Resource Packets. Conferences address health concerns of the growing number of breast cancer survivors.			
He Loves You Ministry Inc	http://		EIN 35-1878483	4728 Fellows St	South Bend	IN	46614	USA	Christianity, Religion						
Pet Refuge Inc	http://		EIN 31-0936469	4626 S Burnett Dr	South Bend	IN	46614	USA	Animal Protection & Welfare, Animals						
Lawrenceburg Pee Wee Football Club	http://		EIN 35-2077577	423 Walnut St	Lawrenceburg	IN	47025	USA	Adult & Child Matching Programs, Children & Youth						
Retreat Campus Inc	http://www.retreatcampus.org/	(812) 879-4423	EIN 26-4191460	9100 Island Pond Road	Quincy	IN	47456	USA	Personal Social Services	This nonprofit has closed		To provide women a secure and supportive environment through educational and personal development opportunities. To nurture and empower women by promoting intellectual, emotional, physical and spiritual growth opportunities.			
Hope Center Indy Inc	http://		EIN 81-2027077	11850 Brookville Rd	Indianapolis	IN	46239	USA	Christianity, Religion						
Taltree Arboretum and Gardens Foundation Inc	http://Taltree.org	219-462-0025	EIN 35-2032442	71 N 500 W	Valparaiso	IN	46385	USA	Animals, Botanical Gardens & Arboreta, Environment, Environmental Beautification, Environmental Education, Protection of Endangered Species	Establish and maintain tree and plant collections, gardens and natural areas for the benefit of the visitors to and residents of the Northwest Indiana region.	Northwest Indiana	environment conservation classes, docent-led hikes and more	A beautiful dog-friendly oak preserve of formal gardens, woodlands, wetlands and prairies that offers a variety of events, classes and exhibits. Guests can explore the diverse landscape via approximately 4 miles of hiking trails. Taltree is home to many endangered and rare species. Its formal garden displays include the Oak Islands, Childrens Adventure Garden, the Taltree Railway Garden and the Native Plant Garden.	nature lovers	
Evansville Day School Inc	http://		EIN 35-1020931	3400 N Green River Rd	Evansville	IN	47715	USA	Education, Elementary & Secondary Schools, Literacy						
Chiara Home Incorporated	http://www.chiarahome.org	(574) 287-5435	EIN 35-1898877	1425 Clayton Dr	South Bend	IN	46614	USA	Developmentally Disabled Centers, Disabilities, Residential Care & Adult Day Programs	Respite care for handicapped individuals		The organization provides daily respite care for handicapped individuals.			
LEW WALLACE STUDY PRESERVATION SOCIETY INC	http://www.ben-hur.com	7653625769	EIN 35-2015109	PO Box 662	Crawfordsville	IN	47933	USA	Arts & Culture, Historical Societies & Historic Preservation, History Museums, Single Organization Support	To preserve the memory and accomplishments of Lew Wallace, author, inventor, and statesman. To maintain the building and grounds of the Lew Wallace Study, a National Historic Landmark.	Crawfordsville, Indiana	Maintain the building and the grounds, as well as catalog, maintain and preserve the collections of the Lew Wallace study. Provide educational programming for middle school students during the summer. The lessons center around leadership and public service using Lew Wallace as a model.	In 2015 we completed an interior restoration project returning the interior paint to Lew Wallace's original colors and the hand-painted trompe l'oeil mural around the skylight.	Historians and those interested in history, literature, art, and architecture	
Southlake Tri-City Management Corp	http://www.geminus.org	(219) 757-1921	EIN 35-1859562	8400 Louisiana Street	Merrillville	IN	46410	USA	Mental Health, Mental Health Treatment	Geminus corporation serves as a vehicle for the development of collaborative relationships in social service program development in the areas of child welfare, early childhood development and behavioral health services. Geminus corporation also serves as a cost effective provider of management and administrative services to its affiliates which include southlake community mental health center d/b/a regional mental health center and southlake tri-city rba corporation.		Head start/early head start: a free comprehensive interdisciplinary, preschool child development program for eligible children and their family members. Head start serves children ages 3 to 5 and early head start services 0 to 3 and 12 pregnant women throughout lake and porter counties in indiana and serves preschoolers with a diagnosed disability. Since 1997, geminus has been the grantee for head start in lake and porter counties in indiana. Fiscal year 2014 head start funded enrollment slots totaling 1,504, including early head start in lake and porter counties in indiana. Donated services and use of facility not included in expenses on the tax return includes amounts valued at $686,128.   the community behavioral health network (cbhn): is comprised of a community mental health center in northwest indiana with 2 offices located in lake county and a statewide family services agency headquartered in bloomington, indiana. Cbhn is certified by the indiana division of mental health and addictions (dmha) as a managed care provider to administer state funded plans. Geminus is a managed care provider under a contract with the indiana division of mental health and addictions.   family services: a program developing a culturally competent community based system of care for seriously emotionally disabled children and their families utilizing a wraparound process which involves a team of caregivers assembled around each child and family to create one coordinated care plan built around identified child and family strengths.			
Boaz Project Inc	http://www.boazproject.org	(317) 889-7606	EIN 35-2093306	622 N Madison Ave Ste 3	Greenwood	IN	46142	USA	International, International Relief	To have a positive and lasting impact on the spiritual and physical conditions of over 1,000 orphans in russia and india by providing biblical education, medical, personal, educational supplies and when needed, permanent christian homes.		Short-term trips to educate westerners about the plight of orphans in russia and india: tbp travels across the world to educate others about the circumstances of orphans in russia & india and encourages them to help tbp's mission by volunteering and/or donating to the cause. Five trips were taken in 2014. Forty americans traveled and served 690 orphans.   provide humanitarian aid in russia and india: tbp provides monthly humanitarian aid to the orphanages it supports. This takes the form of food, supplies, money, clothing, shoes, compassion and other forms to help the orphans enjoy some basic comforts of life. Approximately 690 orphans were served.   bible teaching in russia and india: tbp strives to teach orphans in russia and india the word of the bible by organizing various group activities and lessons. Approximately 110 orphans were served in 2014.   other programs include providing birthday and christmas gifts in russia and india. Education, tutoring and skill development programs along with other as needed programs such as baby nurturing.			
Good Shepherd Montessori School Inc	http://www.gsms.org	(574) 288-0098	EIN 04-3673627	1101 E Jefferson Blvd	South Bend	IN	46617	USA	Education, Primary & Elementary Schools	Combine solid academics that		Our goal is to inspire a lifelong love of learning. The montessori focus is: joyful learning, spirited interactions, compassionate care for the environment, and seeking to create a world at peace. Our culture is based on mutual respect, understanding, and a collaborative partnership with parents, students and faculty. We work to educate the whole child academically, spiritually, socially, and emotionally. To celebrate the uniqueness and differences of each child and respect each child's individual interests and learning style using a faith- based montessori education as a cornerstone. Our students learn the art of critical thinking, researching, self expression, and practical problem solving in a classroom environment that fosters independent thought.			
Inspired Kids	http://www.readinspiredmag.org		EIN 47-1277083	9149 Lantern Lane	Indianapolis	IN	46256	USA	Arts & Culture, Arts Education		Indianapolis and beyond	Inspired Magazine.		Kids get published	dozens of Kids
Wildlife In Need & Wildlife In Deed Inc	http://		EIN 35-2078568	3320 Jack Teeple Rd	Charlestown	IN	47111	USA	Animals, Wildlife Preservation & Protection						
Strides to Success Inc	http://www.stridestosuccess.org	317-838-7002	EIN 20-1123998	1350 Terry Drive	Plainfield	IN	46168	USA	Animal-Related, Animals, Centers to Support the Independence of Specific Populations, Children & Youth, Mental Health, Mental Health & Crisis Intervention, Youth Development - Agricultural	Strides To Success, Inc. is dedicated to providing unique learning opportunities that strengthen and develop lives.  Both children and adults are served by partnering with horses that teach valuable life skills.	Central Indiana	Veterans, KID coaching, animal assisted therapy for trauma, depression and personal growth		both children and adults overcome lifes challenges	225 participants
Professional Resources Inc	http://	(219) 462-7760	EIN 31-1201872	2056 South State Road 2	Valparaiso	IN	46385	USA	Job Training	Employment related educational programs & testing leading to certification.		Employment related educational programs & testing			
Maap Services Inc	http://www.aspergersyndrome.org/	(219) 662-1311	EIN 35-1790246	Po Box 524	Crown Point	IN	46308	USA		Providing information on autism		Providing resourses for families web site improvement - this is used as a source for professionals, & the families of and individuals with autism & asperger's - advertising revenues are used to cover these costs.   temple grandin speaking engagement on autism			
Independent Cat Society	http://catsociety.org	219-785-4936	EIN 	4061 County Line Road	Westville	IN	46391	USA		To shelter and find homes for homeless cats and kittens, to reduce pet overpopulation, to educate the public and prevent cruelty to animals, to promote humane education	Indiana, Illinois and Michigan	trap-neuter-return programs; Low or no cost spay and neuter programs; humane education efforts; and rescue and sheltering of homeless cats and kittens.	Over 3000 cats spayed or neutered since 2013 Over 500 cats adopted to great families since 2014	people, their families, and our communities rescue and protect all companion animals, but especially homeless cats and kittens	Over 600 families and animals
Special Medical Agencies Response Teams	http://mediccom.org/public/~smart/index.html		EIN 35-1442363	PO Box 874	New Albany	IN	47151	USA	Crime & Law, Crime Prevention, Disaster Aid, Health, Health Care, Public Safety, Disaster Preparedness & Relief	To provide a specially-trained emergency response team that may assist during disasters, lost/missing persons incidents (searches), cave rescues, and other emergencies and critical incidents.  There is no other organization in this area offering all services provided by S.M.A.R.T., Inc., in one "package."  There is no charge for our services.					
Indiana Center for Middle East Peace	http://indianacmep.org/	(260) 438-0791	EIN 26-2152801	5615 Old Mill Rd	Fort Wayne	IN	46807	USA	International, Promotion of International Understanding	To educate, engage, empower for peace, justice and understanding	Indiana and around the world	Our ultimate goal is a more educated citizenry regarding the significant issues in the critical regions of the world, especially the Middle East, that impact the entire globe. Through its programs, ICMEP:  breaks down stereotypes; provides critical analysis of the cultures, movements, and concerns in the Middle East and around the globe; challenges intolerance and injustice; and promotes strategies of non-violent conflict resolution, social transformation, and sustainable peace.		Promote peace and justice in the Middle East	
College Mentors For Kids Inc	http://www.collegementors.org	(317) 921-1798	EIN 35-2002052	1060 N Capitol Ave Ste C430	Indianapolis	IN	46204	USA	Children & Youth, Children & Youth Services, Education, Educational Services, Student Services, Youth Development Programs	College mentors for kids helps school kids look forward sooner and be able to give back later. The organization establishes chapters at colleges and universities that facilitate mentoring relationships between college students and kids in 1st-6th grade. College mentors has more than 2,200 college volunteers who mentor more than 1,500 kids throughout the midwest.		All program expenses relate to the organization, management, and facilitation of mentor programs that match elementary and middle school students with college mentors for weekly afterschool activities.			
Animals Rescue Fund Inc	http://	(765) 282-2733	EIN 35-2045922	1209 W Riggin Rd	Muncie	IN	47303	USA	Animal Protection & Welfare, Animal-Related, Animal Services, Animals	THE RESCUE AND PLACEMENT OF ABUSED, NEGLECTED, AND ABANDONED ANIMALS.		Operation of a shelter for abused, neglected, and abandoned animals. The animals are cared for until they are placed with adoptive families.			
World Missionary Press Inc	http://www.wmpress.org		EIN 35-1076405	Po Box 120	New Paris	IN	46553	USA	Christianity, Religion, Religious Printing & Publishing	World Missionary Press, Inc. was founded in 1961 by Watson and Rose Goodman, who had been missionaries in South Africa for almost 16 years. There they discovered widespread hunger for God's Word in the languages of the people. When they returned to the U.S., their goal was to supply 48-page topical Scripture booklets, beginning with "Help From Above," in 300 languages free of charge to nationals and missionaries throughout the world. The goal of 300 languages was reached in January, 2000, with Hmong Daw. WMP now produces about 4.5 million Scripture booklets and Bible studies per month. About twenty titles are available in various languages.					
Spay-Neuter Services of Indiana	http://www.SpayNeuterServices.org	317-767-7771	EIN 31-0922223	1100 W. 42nd Street Suite 205	Indianapolis	IN	46208	USA		Spay-Neuter Services of Indiana (SNSI) is a statewide financial assistance organization whose mission is to eliminate the euthanasia of healthy and treatable cats and dogs.	Indiana	low-cost and free spay/neuter surgeries.	SNSI has facilitated more than 85,000 surgeries across Indiana. We provide direct support to more than 150 non-profit animal welfare organizations through our Pet Friendly Group Grant and Community Cat programs.	Animals	9100 animals, and 150 non-profit animal welfare organizations
Hamilton County Entrepreneurship Initiative Corporation	http://		EIN 27-0246330	12175 Visionary Way Ste 220	Fishers	IN	46038	USA	Education						
Maple City Cadets, Inc.	http://		EIN 23-7303453	PO Box 281	LaPorte	IN	46350	USA							
Bloomington Symphony Orchestra	http://www.bloomingtonsymphony.com	812-331-2320	EIN 23-7076183	PO Box 1823	Bloomington	IN	47402	USA	Arts & Culture, Symphony Orchestras	The Bloomington Symphony Orchestra promotes a lifelong appreciation of and enthusiasm for music through its performances of classical orchestral literature, as well as outreach and educational work throughout the community.	South Central Indiana	Each year, the BSO performs seven public concerts, including a classical series, side-by-side concerts with local high school orchestras, a childrens concert, and a free summer concert in the park.      The BSO also engages in a wide range of community outreach activities, including innovative programs like Meet the Instruments (where children can experiment with musical instruments under the guidance of orchestra members), the Childrens Instrument Recovery Program (CHIRP) which provides reconditioned used instruments to children who would otherwise not be able to participate in their schools music programs, and a Youth Concerto Competition.	Named the citys Official Community Orchestra by Mayor Mark Kruzan in 2009 and awarded the Be More Collaborative Award by the City in 2011, the 75-member orchestra is the citys only year-round, full-time volunteer symphony orchestra.   For over forty years the BSO has been part of this community, and we take our responsibility to engage, enlighten, and entertain both our members and our audiences very seriously.		6000
Serendipity	http://		EIN 35-1832232	3167 Sw Rd 450 W	Frankfort	IN	46041	USA	Religion, Religion-Related						
Ays Inc	http://www.ayskids.org	(317) 283-3817	EIN 31-0989270	4755 Kingsway Dr., Ste. 300	Indianapolis	IN	46205	USA	Child Day Care, Children & Youth, Children & Youth Services, Youth Centers & Clubs	AYS enriches the learning and well-being of children in a safe, caring and fun environment outside of the school day.		Operates before- and after-school, early childhood and kindergarten programs in central Indiana.		children in Central Indiana in need of early childhood education, kindergarten wrap-around, before- and/or after-school or summer enrichment programs	
Crisis Pregnancy Center New Beginnings Inc	http://		EIN 31-1157124	Po Box 313	Spencer	IN	47460	USA							
Team Greyhound Adoption Of Ohio Inc	http://		EIN 34-1910171	5978 Hollow Ct	Bargersville	IN	46106	USA	Animal Protection & Welfare, Animals	Adoption of greyhounds		Adoption of racing greyhounds that no longer race and have been abandoned or will be destroyed			
Beacon Of Hope Center For Women Inc	http://		EIN 33-1184283	1221 Indy Way	Indianapolis	IN	46214	USA	Family Services						
Trustees Of Purdue University	http://		EIN 23-7444373	112 W Jefferson Rm/ste Rm 304	Plymouth	IN	46563	USA	Children & Youth, Youth Development - Agricultural						
Indiana State Wrestling Assoc	http://		EIN 31-0956901	Po Box 157	Beech Grove	IN	46107	USA							
Free Methodist Church Of North America	http://		EIN 31-1231296	246 E Main St	Greenwood	IN	46143	USA							
Student Senate Of Valparaiso University	http://		EIN 35-6044759	2056 S State Road 2	Valparaiso	IN	46385	USA	Education, Student Services						
Richmond Art Museum Inc	http://		EIN 35-6005040	350 Hub Etchison Pkwy	Richmond	IN	47374	USA	Art Museums, Arts & Culture	The mission of the Richmond Art Museum is to be the premier, dynamic visual art collection and education center serving all in our region.					
Second Helpings, Inc.	http://www.secondhelpings.org	317-632-2664	EIN 35-1484281	The Eugene and Marilyn Glick Center 1121 Southeastern Avenue	Indianapolis	IN	46202	USA	Employment Preparation & Procurement, Food, Food Programs, Job Training	Transforming Lives through the Power of Food.		Hunger Relief, Culinary Job Training and Food Rescue	Since 1998, Second Helpings has rescued over 16 million pounds of food. We have graduated over 500 students and prepared them for meaningful careers in the culinary industry. We have served over 6 million meals to 70 local social service agencies.		
Society Of Manufacturing Engineers	http://		EIN 35-6025884	7435 Diane Dr	Fort Wayne	IN	46835	USA							
Institute Of Management Accountants, Inc.	http://		EIN 51-0146676	PO Box 7007	Lafayette	IN	47903	USA							
GARY LIFE EDUCATION INITIATIVE INC	http://www.championsforeducation.info	219-730-7621	EIN 45-0581689	P.O. Box 641015	Gary	IN	46401	USA	Community & Neighborhood Development, Economic Development	The mission of Gary Life Education Initiative Incorporated is to provide mentoring, essential and enriching life skills, college and career readiness workshops to help students discover and live their purpose.	the United States, mainly Gary, Indiana	College Readiness in the Classroom Programs: College care packages coordination College readiness workshops College research College financial aid research College graduation planning Commonly used college terms College scholarships research College scholarship applications College registration assistance College tours Dropout prevention workshops Four-year high school graduation planning Goal planning workshops Team building workshops Time management workshops Vision and mission statement workshops  What to look for in a college  Business and Career Planning: Business development workshops Career exploratory field trips Career readiness workshops Community resource referrals Community service coordinating Financial literacy workshops Leadership development workshops Student summer job referrals Student resume and interview tips  Team building workshops Student Show and Tell	National educational outreach totals as of November 2014:   Gary Life Education Initiative Incorporated has provided services to benefit 8,680 students.  Current Success Rate:  98% of students who complete Gary Life Education Initiative Incorporated college and career readiness programs, pass to the next grade level on time, graduate high school on time, then continue to college or a trade school.   Class of 2014 Successes:  Program participants were Valedictorian and Salutatorian of their high school.	children, college students, parents and our communities	1193 students received services in 2013 through mentoring, youth leadership development, college and career readiness programs.
Provident Ministries Ltd	http://providentministries.org	(574) 968-1566	EIN 36-4535399	3402 S Locust Rd	South Bend	IN	46614	USA	Christianity, Religion	Church; assisting with food and supplies for areas devastated by natural disasters around the world.		Church  assisting with food & supplies for areas devastated by natural disasters around the world.			
Word Of Life Family Church Inc	http://		EIN 35-1973756	PO Box 811	Chalmers	IN	47929	USA							
