name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Programs	Target demographics	Direct beneficiaries per year	Geographic areas served
DAKOTA BOYS AND GIRLS RANCH FOUNDATION	http://www.dakotaranch.org	800-344.0957	EIN 23-7139546	6301 19th Ave. NW	Minot	ND	58703	USA	Children & Youth, Human Services, Mental Health, Protestant, Religion, Residential Mental Health Treatment	Dakota Boys and Girls Ranch provides the best, and most innovative, trauma-informed care to kids and families through Residential Treatment Facilities, Outpatient Psychiatric and Psychological Services, and Spiritual Life Programs. In addition, Dakota Memorial School (DMS) provides a quality education for kids who have special learning needs because of psychiatric, behavioral and trauma issuesgiving them the opportunity to learn, grow, and feel like human beings.	The Ranch is accredited through CARF.  We have served nearly 30,000 children and families (from 36 different states) since our start in 1952.	Residential Treatment, Outpatient Psychiatric and Psychological Services, Schools, and Spiritual Life Programs. All Ranch programs and services are trauma-informed and focus on the specific needs of each child.	children, ages 10-17, who have mental health issues, developmental difficulties, autism-spectrum disorders, and other issues for which they need treatment.	about 1,000 children and their families.	North Dakota (processes available for admission from children out of state)
Dakota Pacs 4-H Club	http://		EIN 45-0435852	PO Box 125	Arthur	ND	58006	USA							
WELLSPRING FOR THE WORLD	http://www.wellspringfortheworld.org	(701) 235-8765	EIN 20-3570846	Po Box 9993	Fargo	ND	58106	USA	International, International Relief	The mission of wellspring for the world is to provide safe drinking water for the people of the world.		During calendar year 2014 wellspring for the world funded 85 new wells. A total of 221 wells have been funded since inception. A new goal of funding a total of 1,000 wells in five years was set in april 2014. Wellspring had pledges for 56 more wells at the end of 2014.			
Our Lady Of Victory International Shrine Inc	http://		EIN 36-3679499	1016 2nd Ave N	New Rockford	ND	58356	USA							
Plains Art Museum	http://www.plainsart.org	(701) 551-6100	EIN 41-1260780	Po Box 2338	Fargo	ND	58108	USA	Art Museums, Arts & Culture	The plains art museum brings people and art together. As a public institution we celebrate the finest of human achievement and inspire and engage diverse audiences in the creation, exhibition, collection, and preservation of art.		In fiscal year 2014, plains art museum served 60,000 visitors (including 8,000 regional students) of all ages through high-quality art exhibitions, educational programs, and outreach activities. The museum offers six to eight major exhibitions annually with an equal number of smaller exhibitions. The museum's permanent collection of 3,915 objects is also used for special exhibitions and research, occasionally shown in national and international venues. Exhibitions focus on artists in the community and region. In fiscal year 2014, the museum presented the following exhibitions:kim bromley: the moby-dick seriest. L. Solien: toward the setting sunmeet the artist: an exhibition by the museum's teaching artistsfmva studio crawl previewthe one minute film festival 2003-2012red river reciprocity: contemporary ceramics in minnesota and north dakotamy generation, let's take it over: emerging artists of fargo-moorheadhappy birthday, james rosenquist! Burst sculpture by elizabeth simonsonschool spirit: celebrating youth art monththe birdhouse projectbee in flight by melissa kossick sabrina hornung: trail dust and sentiment47 degrees north: daybreaks at bad medicine lake by wayne gudmundsonheart/land: sandra menefee taylor's vital mattersliving as form (nomadic version)  in-house education programs include docent-led tours, lectures, artist talks, curator-led gallery talks, internships, art camps and art classes and workshops for children and adults. Outreach programs were also offered which brought original art exhibitions and art education programs to rural minnesota and north dakota.   museum building operations for storage and display of the permanent collection which focuses on 20th and 21st century american art, regional art, and work by native american artists.			
DAKOTA BOYS RANCH ASSOCIATION	http://www.dakotaranch.org	800-344-0957	EIN 45-0333670	PO Box 5007	Minot	ND	58702	USA	Human Services, Residential Care & Adult Day Programs	We help at-risk children and their families succeed in the name of Christ!	Best estimates indicate the Ranch has served close to 30,000 children and families since 1952.	THE RANCH OFFERS RESIDENTIAL TREATMENT FOR CHILDREN, ADOLESCENTS AND THEIR FAMILIES, INCLUDING PSYCHIATRIC AND PSYCHOLOGICAL SERVICES INDIVIDUAL THERAPY, GROUP THERAPY, FAMILY THERAPY, EDUCATIONAL GROUPS, RECREATIONAL THERAPY, SPECIAL EDUCATION SERVICES, ADDICTION SERVICES, INDEPENDENT LIVING, MENTORING AND OTHER INTERVENTIONS DEEMED APPROPRIATE	We serve children, who are ages 10-17 in psychiatric residential treatment facilities in Fargo, Bismarck and Minot; and also in residential child care facilities in Fargo and Minot. We have a safe home in Fargo which serves children ages 5-17.	Children in our facilities. Numbers of residents varies each year. In fiscal year 2011-2012, the Ranch served 867 youth and families.	North Dakota, processes available for admission from children out of state.
Kappa Delta Pi	http://		EIN 45-6017303	Valley City State College	Valley City	ND	58072	USA							
Evangelical Lutheran Church In America	http://		EIN 45-6038640	Local	Pettibone	ND	58475	USA							
Nokomis Child Care Center Inc	http://		EIN 45-0364036	618 23RD St S	Fargo	ND	58103	USA	Child Day Care, Children & Youth						
Streeter Housing Development Inc	http://		EIN 45-0360804	122 Helen St N	Streeter	ND	58483	USA							
Pembina County Historical Society	http://		EIN 45-0306575	Po Box 146	Cavalier	ND	58220	USA	Arts & Culture, History Museums	HISTORICAL PRESERVATION & EDUCATION					
Trinity Lutheran Church	http://		EIN 45-6025150	1225 128th Ave Se	Hope	ND	58046	USA							
Association To Meet Emergency Needs Inc	http://		EIN 36-3566120	Po Box 1231	Dickinson	ND	58602	USA	Food, Food Banks & Pantries						
North American Wildlife Enforcement Memorial Museum And Educational	http://		EIN 45-0436114	7928 45th St Ne	Devils Lake	ND	58301	USA	Environment, Natural Resources Conservation & Protection						
Beulah Community Nursing Home	http://www.krcc-nd.org	(701) 873-3175	EIN 45-0277390	118 22nd St Ne	Beulah	ND	58523	USA		Knife river care center is dedicated to the preservation of dignity and respect to those we serve and employ. With great compassion, we strive to make excellence our standard.		Beulah community nursing home, d/b/a knife river care center, is a licensed 86-bed long term care nursing facility, which provides skilled nursing care to the elderly in the beulah, north dakota area. The facility also provides a variety of services, which include, but are not limited to, i. V. Therapy, physical therapy, occupational therapy, speech therapy, tube feedings, tracheotomy care, and wound care. The facility provides 24-hour services of a licensed social worker in order to meet the varying psychosocial needs of all residents. Knife river care center is a participant in the state and federal medicare and medicaid programs. All costs incurred for the fiscal year were related to providing the necessary services to those individuals who required the support of a long term care facility. In order to meet state and federal requirements for electronic health records, knife river care center was able to qualify for a 1% loan through the bank of north dakota. While this isn't a grant, the 1% loan provides a more affordable method for knife river care center to meet the state and federal emr mandates. Krcc continues to pay off this low interest emr loan. Due to the proximity of oil fields in the beulah area, knife river care center is experiencing staffing shortages. The state provided a calculation method to determine how much money could be allocated to oil field long term care facilities. Knife river care center was fortunate to receive an amount based upon our census and area population of $49,431. These monies were earmarked to offset our extensive contract agency expense.			
Cando Arts Council Inc	http://	(701) 968-3964	EIN 45-0371819	Po Box 368	Cando	ND	58324	USA	Arts & Culture, Arts & Humanities Councils & Agencies	The mission of cando arts council is to provide exposure to the arts, including drama, music, dance, visual and literary arts; to aid, increase and encourage participation in the arts by providing educational opportunities and facilitating the development and appreciation of the arts.		Two theatrical productions were presented during the year. One of the productions was a musical theatrical production performed in june by elementary school-age children of the community and the surrounding area. The other event was a musical theatrical production performed in july by adults and high school-age members of the community. All events were open to the public and a small admission fee was charged or a free-will offering was accepted. A total of 273 individuals attended the june musical production, which was presented by a total of 36 performers. A total of 368 individuals attended the july musical production, which was presented by a total of 19 performers.   a variety of music concerts, 4 in total, were held during the year. All concerts were open to the public and a small admission fee was charged or a free-will offering was accepted. A total of 807 individuals attended the various concerts, which were presented by a total of 33 artists.   a variety of art shows and exhibits were held during the year. The shows and exhibits were open to the public, and were generally free to the public, with some free-will offerings accepted. In addition, classes and workshops on various topics were held periodically throughout the year. There was usually a small fee charged to offset a part of the costs of materials and instructors. There were 24 of these various events held during the year. A total of 586 individuals participated as exhibitors/lecturers/leaders in the shows and exhibits. All events were attended/viewed by a total of 3,435 individuals.			
Traill County Senior Citizens Grantee Board Incorporated	http://	(701) 293-1440	EIN 36-3620411	Box 2217 2801 32nd Ave So	Fargo	ND	58103	USA	Food, Food Programs	To provide meals, transportation and other services to the elderly.		Providing meals, transportation and other services to the elderly.			
Delta Waterfowl Foundation	http://www.deltawaterfowl.org	(701) 222-8857	EIN 53-0259796	1312 Basin Ave	Bismarck	ND	58504	USA	Animals, Environment, Water, Water Resources, Wetlands Conservation & Management	The delta waterfowl foundation's vision is to "produce ducks and secure the future of waterfowl hunting"		Waterfowl conservation programs- includes unique conservation program initiatives in the us and canada such as delta's alus program initiative. Programs are achieved through the use of various tools including communications, research, demonstration and outreach. Iintensive management includes initiatives such as predator management, habitat initiatives and henhouses. Intensive management programs are also achieved through a variety of tools such as communications, research, demonstration and outreach. The outcome of both traditional conservation programs and intensive management program are to increase waterfowl and conservation of the resource in the us and canada. Waterfowl conservation programs also include the waterfowl heritage funds program initiative or local chapter programs. A portion of funds generated at the chapter level are returned to the chapter to do local projects within their region. Projects include youth hunts, henhouses, scholarships and a variety of programs which help local communities.   hunter programs - includes hunter recruitment, retention and hunting outreach. The initiatives used in hunter recruitment include first hunt and delta waterfowls - waterfowling initiative programs. Both of these initiatives are accomplished via a wide range of tools including communication, research, demonstration, outreach and volunteer delivery. The outcome for these programs are to recruit new hunters, attract hunters back to the tradition, retain hunters and protect the rights of hunters which include access issues and gun control issues throughout the us and canada. Also included is waterfowl heritage funds program initiative or local chapter programs. A portion of funds generated at the chapter level are returned to the chapter to do local projects within their region. Projects include youth hunts, henhouses, scholarships and a variety of programs which help local communities.			
Domestic Violence Crisis Center Inc	http://	(701) 852-2258	EIN 45-0343834	Po Box 881	Minot	ND	58702	USA	Domestic Violence, Family Violence Shelters, Homeless & Housing	To provide services for victims of domestic violence and sexual assault and to reduce domestic violence by educating the public of its effects.		To provide emergency shelter and transitional housing for victims of domestic violence, as well as providing advocate support for these victims.			
Women's Aglow Fellowship	http://www.aglow.org/		EIN 45-0361331	1717 28th St West	Williston	ND	58801	USA	Christianity, Religion	Aglow International is an intercultural transdenominational organization of Christian women with more than 3,500 fellowships in more than 151 nations. Our mission is to lead women to Jesus Christ and provide opportunity for Christian women to grow in their faith and minister to others. Aglow's vision to impact the lives of women worldwide is expressed in the strategic focuses of: Prayer, Evangelism, Relationship, and Reconciliation.					
Birka Lutheran Church	http://		EIN 45-0375624	Po Box 317	Underwood	ND	58576	USA							
Minot Literacy Volunteers	http://		EIN 45-0417804	1609 4th Ave Nw	Minot	ND	58703	USA	Religion, Religion-Related						
Pembina County Memorial Hospital Association	http://www.cavalierhospital.com	(701) 265-8461	EIN 45-6013474	301 Mountain St E	Cavalier	ND	58220	USA	General Hospitals, Health	The mission of pembina county memorial hospital and wedgewood manor is to provide a family centered approach to the delivery of health services and to promote a healthy lifestyle to those we serve in cavalier and the surrounding communities. The vision that guides pembina county memorial hospital and wedgewood manor is to develop a family centered integrated healthcare organization that provides services that meet the needs of the region, thereby making us their provider of choice		Pembina county memorial hospital association is a 24 bed acute care hospital, 50 bed nursing home, and 20 unit congregate housing complex located in cavalier, nd. The facility provides quality medical and long-term care to the residents of the surrounding area, regardless of their ability to pay for services received. A 24-hour emergency room is available for patients who need immediate treatment, and treatment is provided to all individuals who present, regardless of their ability to pay. The association also supplies free or reduced services to patients who meet established criteria outlined in the facility's charity care policy. The association also provides health education and other services to the community. The association recently participated/conducted a community health needs assessement to determine further needs identified by the community. The results of this asssment are posted on the facility's website, www. Cavalierhospital. Com. Pembina county memorial hospital works collaboratively with the pembina county memorial hospital foundation to raise money to purchase new equipment for patient and resident areas. Without donations and grants through the foundation, many projects would not be able to be completed. Examples of items purchased/donated through the foundation in 2014 include the remodel of the chemotherapy treatment area, new clinic exam tables, and a secure courtyard for the nursing home residents of wedgewood manor.			
VSA ARTS OF NORTH DAKOTA	http://vsanorthdakota.net	(701) 471-1946	EIN 27-0238136	1223 S 12TH Street Sulte 7	Bismarck	ND	58501	USA		Mission statement: vsa north dakota strives to create and maintain a community where people with disabilities can learn through, participate in, and have access to the arts. Vision statement: recognizing that every individual has a creative voice that needs to be both expressed and heard, vsa north dakota provides, promotes, and furthers arts centered activities in inclusive settings so people with and without disabilities can experience the arts together. The four guiding principles of vsa north dakota are: every young person with a disability deserves access to high quality arts learning experiences; all artists in schools and art educators should be prepared to include students with disabilities in their instruction; all children, youth, and adults with disabilities should have complete access to community cultural facilities and activities; and all individuals with disabilities who aspire to careers in the arts should have the opportunity to develop appropriate skills.		Educational programs and artist residenciesarts education and experiences, mentoring, nd school for the blind pottery workshops and residencies, community options, dakota boys and girls ranch, family voices north dakota, anne carlsen center, and art shows  public awareness and outreachdirect outreachstaff presentations were available to service clubs, schools, or sites that were interested in having vsa north dakota programs in their communities. Web outreachrotating art display at minot state university center for persons with disabilitiesvsa north dakota has a rotating display of student art at the library of the minot state university center for persons with disabilities. The art is exchanged every six to eight weeks, and it is estimated that several thousand people each year see the student work, and become aware of vsa north dakota programs. Vsa north dakota regularly updates its web site, vsanorthdakota. Net, which is devoted to vsa north dakota programs and opportunities throughout the state. Social mediavsa north dakota has a facebook page, which is continuously updated about events and programs.			
Mercy Medical Center	http://		EIN 45-0381802	1301 15th Ave W	Williston	ND	58801	USA	General Hospitals, Health						
Johnson Corners Christian Academy	http://www.johnsoncorners.com	(701) 675-2345	EIN 45-0376356	11008 Highway 23	Watford City	ND	58854	USA	Education, Primary & Elementary Schools	The primary objective of the academy is to reinforce and supplement the cristian home and church. The purpose of the school is to further the students educational process both academically and spiritually.		Twenty four young people were given a christian based education according to the standards required by the state.			
Medic-One Response Team, Inc.	http://		EIN 45-0433187	569 Wall Ave	Horace	ND	58047	USA	Disaster Aid, Search & Rescue Squads						
Red River Boy Choir	http://	(701) 367-3677	EIN 45-0374760	1104 2nd Ave S Ste 315	Fargo	ND	58103	USA		To develop and train vocal control, build self-esteem, build friendships and foster a love of music through a positive, meaningfull musical and structured experience.		To develop and train vocal contorl, build self-esteem build frienships, and  to develop and train vocal contorl, build self-esteem build frienships, and foster a love of music through a positive meaningful, musical and structured experience.			
Dakota Kids 4-H Club	http://		EIN 45-0434962	Hcr 1 Box 62	Fortuna	ND	58844	USA							
Capital Area Housing Corporation	http://	(605) 224-8231	EIN 36-3300408	223 4th Ave Ne No A	Devils Lake	ND	58301	USA	Homeless & Housing, Housing Development, Construction & Management	To provide low income housing to qualified tenants		Capital area housing corporation provides affordable housing to those tenants who's income meet a guideline set by hud or rural developement. The housing project has 20 units.			
Dickinson Public Schools Foundation Inc	http://	(701) 456-0002	EIN 36-3719544	Po Box 1057	Dickinson	ND	58602	USA	Philanthropy, Philanthropy, Voluntarism & Grantmaking Foundations	Education enhancement		Grants to schools for classroom ipads, various electronics and other items needed to keep up with the recent technology and educate the students.   expenditures for various fundraising events and programs to promote the foundation and its mission. The funds received from these events are used to enhance various programs in the school system, support students on educational competitions and providing scholarships to high school seniors.			
Buffalo Trails Museum	http://	(701) 859-2228	EIN 45-0310380	Po Box 22	Epping	ND	58843	USA				Maintained a museum for public use and educational tours for local schools. Improved the safety of the facility for the building such as sidewalks.			
Fargo-Moorhead Orchestral	http://www.fmsymphony.org	(701) 478-3676	EIN 45-0275135	808 3rd Ave S Ste 300	Fargo	ND	58103	USA	Arts & Culture, Symphony Orchestras	To promote musicianship and further orchestral and chamber music in the community. In addition, sponsor and finance orchestral and chamber music concerts.		To fulfill our mission and work towards our vision, the fargo-moorhead symphony concentrates its efforts on presenting high-quality concerts of varied orchestral repertoire, introducing children and young people to orchestral music, participating in the musical education of our region's youth, reaching out to new audiences, and playing a leadership role in the cultural life of our community. Accomplishments in these program areas in 2014-2015 include:*concerts presented during the 2014-2015 season:- masterworks series - five saturday/sunday pairs of full orchestra concerts, which feature traditional and contemporary repertoire with a variety of local, regional, national, and international guest artist. - chamber music series - three performances, which feature small ensembles of fmso musicians performing chamber music of all musical periods including baroque, classical, romantic, contemporary and pop. - young people's concerts - three concerts during the school day to which elementary school children (all 4th graders from fargo, moorhead and west fargo, plus children from parochial schools and surrounding communities) are bussed to see the symphony perform music, which is geared to introduce children to the various instruments of the orchestra and symphonic music. - family concert - a repeat performance of the young people's concert in the evening for children and their families- holiday pops concerts - two performances of informal holiday classics for all ages, performed at a downtown theatre venue- rheault farms park - the fargo-moorhead orchestral association performs a free outdoor concert at rheault farms park every june as part of the fargo park districts classical music weekend. - symphony rocks & bluestem" outdoor concert featuring the symphony performing with the 12-piece funk band, post-traumatic funk syndrome" annually attracts nearly 2,000 listeners to this informal pops concert*educational programs:- young artist solo competition - the fargo-moorhead orchestral association, the fmoa guild and minnesota public radio team up each year to present a solo competition for all high school instrumentalists in north dakota, and all high school instrumentalists in minnesota and south dakota within a 75 mile range of fargo-moorhead. Judges are brought in from universities outside the fargo-moorhead region, and the final round of performance by the competition finalists is open to the public. Cash prizes are awarded to the top students, and a grand prize is awarded to the winner, which includes the opportunity to perform as a soloist during a masterworks series concert. Plus an assortment of complimentary tickets to area arts events by other performing organizations- mentorships and scholarships - various mentorship experiences are part of the fargo-moorhead orchestral associations's encouragement of young musicians. By teaching sectional rehearsals and through individual ensemble coaching, the members of fmso are a resource to young musicians in our area. In addition, the fargo-moorhead orchestral association awards various scholarships to area youth, including the 'symphony scholars' program (in which students from area high schools are nominated by their teachers to receive season tickets to the symphony). *community outreach and service:- senior citizen programs - our outreach to senior citizens includes discounted concert tickets as well as pre-concert talks presented by the music director, chair of the ndsu fine arts division, and guest soloists. - participating in the inaugural month-long, community-wide "beethovenfest" which involved providing ensembles of fmso musicians at various events throughout the community			
Home Builders Care Of Fargo Moorehead Foundation Inc	http://www.hbcfm.com	(701) 232-5846	EIN 45-0432443	1802 32nd Ave S	Fargo	ND	58103	USA	Education, Scholarships, Scholarships & Student Financial Aid	To provide assistance with building and trade areas.		Scholarships - provided scholarships to 14 students in the building and trade areas.   donations - supported projects related to the housing industry and the development of the workforce in the housing industry.   community projects - supported the community through projects related to the housing industry.			
North Dakota Bar Foundation Inc	http://	(701) 255-1404	EIN 45-0369407	1661 Capitol Way No 104ll	Bismarck	ND	58501	USA	Arts & Culture, Arts Services	To advance the science of jurisprudence and promote the administration of justice and uniformity of judicial decision, exclusively through educational and scientific means or research; to cooperate with the state bar association of north dakota, its succcessors and assigns to carry out such purpose.		Grants to support legal services to the poor.   scholarships and stipends for law students; support for a law professorship			
North Dakota Hospital Foundation	http://	(701) 224-9732	EIN 45-0418703	Po Box 7340	Bismarck	ND	58507	USA		To promote the improvement of health of the people of north dakota through the provisions of better hospital care, the fostering and sponsorship of educational programs for training of health career personnel, financial aid for individuals of north dakota needing assistance to those who are pursuing an education in health careers, the promotion of scientific knowledge in health care administration, and the promotion and sponsorship of research in hospital administration.		Hospital preparedness (hrsa) program grant:as a subcontractor for the nd health department, ndha purchases supplies and equipent for the hospitals in north dakota and provides education training for all hazard planning in the state.   hospital engagement network (hen) program grant:this is a partnership for patients project designed to reduce impatient harm by 40% and readmissions by 20%.   emdeon program grant:this grant helps provide a service to hospitals by providing insurance verification software and demographic verification software.   the north dakota hospital foundation is the receipient of various other grants which are used to benefit hospitals across the state in various ways.			
Ave Marie Village	http://		EIN 45-0358992	501 19th St Ne	Jamestown	ND	58401	USA	General Hospitals, Health						
Quality Health Associates Of North Dakota	http://www.qualityhealthnd.org	(701) 852-4231	EIN 45-0321923	3520 N Broadway	Minot	ND	58703	USA		Quality health associates of north dakota is a mission-driven organization that leads collaboration and innovation in health care quality and patient safety, and is a trusted expert in facilitating improvement for people and communities. We work with the health care provider community - hospitals, clinics, nursing homes, physician practiices, and home health agencies - to ensure that we are delivering health care in safe, high quality, and evidence based ways. We support consumers in engaging with the health system and using data to make informed decisions.		In order to meet our mission, quality health associates of north dakota works with the health care provider community - hospitals, clinics, nursing homes, physician practices, home health agencies, public health units, and pharmacies - to ensure that they are delivering health care in safe, high quality, and evidence-based ways. We support consumers in engaging with the health system and using data to make informed decisions. In north dakota, we regularly reach 44 hospitals, 100 primary care clinics and other healthcare and community providers with quality improvement resources, tools, and information via quality newsletters. In addition, we actively support the dissemination of quality improvement tools and sources on our website (www. Qualityhealthnd. Org).			
Kiddie Korner Preschool & Daycare	http://		EIN 91-1848490	421 Hill Ave S	Park River	ND	58270	USA	Child Day Care, Children & Youth	TO PROVIDE DAYCARE AND PRESCHOOL SERVICES TO AREA CHILDREN					
Alano Society	http://		EIN 45-0343175	Po Box 774	Jamestown	ND	58402	USA							
Alano Society Inc	http://		EIN 45-0343704	Po Box 672	Valley City	ND	58072	USA							
Tri-State Media Ministry Inc	http://		EIN 51-0161855	524 5th St Ne	Jamestown	ND	58401	USA							
Northwest Section Of The Ninety Nines	http://		EIN 45-0335723	PO Box 1055	Dickinson	ND	58602	USA							
Wahpeton Harmony Senior Citizens Club Inc	http://		EIN 45-0330922	520 3rd Ave S	Wahpeton	ND	58075	USA							
Bismarck Foursquare Church	http://		EIN 94-3029603	3200 N 11th St	Bismarck	ND	58503	USA							
Missouri Valley Montessori School	http://www.missourivalleymontessori.com	(701) 255-6779	EIN 45-0342297	200 W Turnpike Ave	Bismarck	ND	58501	USA		Providing a montessori school educational program for pre-school children.		Provide a montessori school educational program for pre-school children.			
Family Recovery Home Inc	http://		EIN 91-1791946	PO Box 1202	Williston	ND	58802	USA	Addictive Disorders, Health, Mental Health, Specifically Named Diseases, Substance Abuse Dependency, Prevention & Treatment, Substance Abuse Treatment	SUPPORT FOR DRUG AND ALCOHAL TREATMENT					
North Dakota Womens Network	http://www.ndwomen.org	701-223-6985	EIN 61-1501980	418 E Rosser Ave Ste 100	Bismarck	ND	58501	USA	Civil Rights, Women, Womens Rights	As leaders, the North Dakota Womens Network serves as the catalyst for improving the lives of women through communication, legislation and increased public activism.		The core mission goals of ndwn are accomplished through communication, increased public awareness and organizational capacity. Our efforts to assess the needs of north dakota women were accomplished with the aid of focus group research conducted in 2007 and additional focus groups with middle and high school students. Ndwn sends out quarterly newsletters and email alerts to members and potential members providing updates on legislation, events, latest research and other issues of interest. Ndwn has built a membership of over 200 members. Ndwn has created strong partnerships with women's organizations by assisting in organizing events for women across the state of north dakota.			North Dakota
Community Extended Nuclear Transitional Resid Exoffenders Inc	http://centreinc.org	(701) 237-9340	EIN 45-0338735	Po Box 1269	Fargo	ND	58107	USA		Centre, inc. Is a private non-profit agency that provides rehabilitative services and opportunities to achieve successful transitions.		Residential transitional living with case management (adults) - centre's residential services provide a supportive and structured living environment in which general counseling, drug testing, intensive monitoring, and chemical dependency and other treatment services are provided to adults who can benefit from a cognitive behavioral approach. The transitional residential facilities are staffed on a twenty-four hour a day basis. Although most residents are allowed to leave the facility for work and programming purposes, they must sign out and in with staff approval prior to leaving and upon return. Depending on varied referral source parameters and/or level/phase systems, residents may also sign out for other purposes. Upon resident admission, an intake interview is conducted. Fargo and mandan halfway and quarter way housing assessments are conducted, and a comprehensive individualized treatment plan is developed. Centre has a trained, certified, licensed counseling and/or case management staff that provide services to a wide range of client needs. Residents who are in need of additional specialized therapeutic services may be referred to other agencies in the community. The client's length of time in residency varies, as each individual is unique, with special needs and circumstances. However, during their stay, residents are expected to comply with the facility rules and actively participate in recommended counseling and/or programming. Clients are ordinarily discharged upon achieving the goals of the individualized treatment plan applicable to the current level of care or upon successfully completing any court ordered sentence. Clients may be discharged at any time for violating program policies or demonstrating a lack of motivation in addressing issues. Centre has locations in the following cities for this particular program: fargo, mandan and grand forks.   program hart - homeless, assessment, rehabilitation and treatment residential program for homeless veterans that provide treatment services for individuals that meet homeless criteria. Residents may reside in programming for up to two years.   residential transitional living without case management services - centre's residential services provide a supportive and structured living environment, which is staffed 24 hours a day, 365 days a year. Centre provides the residential component to an adult population referred by the human service center and includes individuals either receiving chemical dependency treatment or mental health counseling/treatment. The treatment is provide by the human service center or other provider. Although most residents are allowed to leave the facility for work and programming purposes, they must sign out and in with staff approval prior to leaving and upon return. Depending on varied referral source parameters and/or level/phase systems, residents may also sign out for other purposes.   other program services include the community service and misdemeanor probation program and veteran's manor.			
Benedictine Sponsorship Board	http://	(701) 974-2121	EIN 45-0254808	Po Box 364	Richardton	ND	58652	USA		The board is operated to support the roman catholic charitable purposes and shall assure that st. Vincent's care center, marillac manor and any other services offered or facilities built on the property formerly owned by the benedictine sisters of richardton are operated in a manner consistent with the ethical and religious directives of the us conference of catholic bishops.		Benedictine sponsorship board is established as a charitable non-profit corporation under the sponsorship of the benedictine sisters of richardton, nd and shall operate exclusively for charitable purposes.			
