name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	In-Home Respite Care
Center For Cultural And Technical Interchange Between East And West	http://www.eastwestcenter.org	(808) 944-7111	EIN 99-0161603	1601 East West Road	Honolulu	HI	96848	USA	International, Promotion of International Understanding	Promote better relations and understanding between the united states and the nations of asia and the pacific through cooperative study, training, and research.					Since 1960, the east-west center (center) has been promoting better relations and understanding among the people and nations of the united states, asia, and the pacific through cooperative study, research, and dialogue. The center serves as a resource for information and analysis on critical issues of common concern, bringing people together to exchange views, build expertise, and develop policy options. As a national, public diplomacy institution, the center works in partnership with more than 1,059 organizations throughout the united states (u. S. ) and in the region. The collaborative research, education, seminars and outreach, and other programs bring together americans and counterparts from asia and the pacific to work in an atmosphere of academic freedom on issues of mutual importance. The center's exchange and dialogue programs involve multi-country, region-wide activities involving everyone as full participants. In his speech at the center, u. S. Secretary of state john kerry delivered a policy speech in which he outlined what he termed the united states "ambitious agenda" of long-term engagement in asia and the pacific and the support for the center's mission. "we know that america's security and prosperity are closely and increasingly linked to the asia pacific," kerry said, adding that "president obama and i strongly support your (east-west center) mission of bringing people together to think creatively about the future of our role in the region. " this past year, 4,088 participants from 79 countries and territories took part in center activities throughout the region. While more information on the center and its programs may be found at our website (www. Eastwestcenter. Org), the following is a highlight of the program activities during the year. Education program: the center is at the forefront of educating people of the asia pacific region to meet the evolving demands of global change. The program focuses on community building at the campus level as a stepping-stone to community building at the regional level. The participant's experience is one of grassroots relationship building, cultural exchange, shared experiences, and communal preparation for future leadership roles throughout the region. The program offers educational opportunities for future leaders in the asia pacific region and the u. S. In an era of increased social, economic and technological interdependence. Graduate degree scholarships and certificate programs prepare students and professionals to address the challenges and complexities of the world's most dynamic region. Undergraduate degree scholarships build and strengthen the base of future leaders in the south pacific. The program also provided professional development programs for educators to strengthen the capacity of individuals and institutions to cultivate in their students an appreciation and understanding of the histories, cultures, and contemporary issues of the asia pacific. The program accomplishments include continued training of future leaders in the southeast asia youth leadership program, asia pacific leadership program (aplp), and college and k-12 educators through the asiapacificed program and the asian studies development program (asdp). Other programs focused on the pacific islands women in leadership, study of the u. S. Institutes (susi) for student leaders on global environmental issues, and the brunei-u. S. English language enrichment program for asean aimed at raising the level of english language skills in the region. In fy 2014, 442 students from 53 countries and territories participated in the center's undergraduate and graduate training and scholarship program that is unlike individual scholarship programs, since these students are instilled with a common learning experience centered on u. S. -asia pacific issues and community service.   research program: the east-west center's research program supports the center's mission by engaging the research and policy communities in the asia pacific region on issues of shared concern. Researchers contribute expertise to broad and well-established networks of specialists and institutional partners, leading collaborative and interdisciplinary research on the evolving challenges of a dynamic region. They also provide insights and analysis to the center's professional exchange, education, and public outreach programs, including its work with the media. The pacific regional integrated science and assessment program supports integrated research across the social and physical sciences to expand the options of decision-makers, including the pacific community leaders and members of the u. S. Congress to assist them in coping with climate change and its impact to the region. Center scholars conduct collaborative research on economic development and environmental change in south and southeast asia, including comparing the social and environmental impact of rapid urban growth in india and pakistan and the impact of expanding rubber cultivation in the uplands of cambodia, laos, burma, thailand, vietnam, and china yunnan province. Center researchers continue to conduct policy analysis, research, and training on the hiv epidemic in asia. The asian epidemic model, a computer modeling software enables asian nations and countries around the world to understand the dynamics of the hiv epidemic and how best to allocate resources to maximize cost effective interventions. Researchers examine how the globalization of innovation is transforming relationships between the us and asia to provide informed policy suggestions on how to minimize negative effects on economic growth and employment and how to share the benefits of science, technology, and other innovation through enhanced us-asian cooperative agreements. The asian international justice initiative (aiji) is a collaborative project to promote capacity-building relating to international justice, judicial reform, and the human rights sector focusing on southeast asia. Aiji has continued monitoring and outreach efforts at the khmer rouge tribunal in cambodia with weekly television and radio broadcasts aired nationwide by locally-owned broadcasters and has recently established a presence in dhaka, bangladesh, to observe and report on criminal trial proceedings at the international crimes tribunal of bangladesh. The seventh annual summer institute for international humanitarian law and human rights, "combatting violence against women and children in conflict situations and beyond" was held for professionals from the region to focus on human rights and business including the issues of corporate responsibility in the region. The asia-pacific governance and democracy initiative is a multi-year project that undertakes policy relevant research, organizes capacity development and leadership workshops and senior level dialogues among scholars and policymakers, and publishes books and policy briefs on important governance and democracy topics in the region.   seminars and outreach programs: the center has developed the most extensive program of trans-pacific journalist and editor exchanges in the region, with exchanges for the asia pacific region as a whole (jefferson fellows), policy-oriented seminars and capacity-building seminars (the senior policy seminar), and other seminars for health journalists, and bilateral programs with japanese, korean, and chinese journalists. The center also offers short-term policy seminars where senior and emerging leaders and business people from a variety of sectors focus on issues of regional concern. The program is developed around a thematic focus and provides participants with an opportunity to strengthen their understanding of asia pacific-u. S. Developments and challenges, build a regional network and to become leaders with a more international perspective. Jefferson fellows journalists traveled to hawaii, indonesia, and myanmar included 15 journalists from ten countries examining the "challenges of democratic transition" of two asian countries, indonesia and myanmar that are in the midst of democratic transition. East-west center in washington supports the center's mission through direct work with u. S. Policymakers and opinion leaders in the nation's capital. It facilitates understanding of the u. S. Policy process by its asia pacific participants through direct interaction with u. S. Policymakers. It also continues the successful asia matters for america/america matters for asia initiative to organize and disseminate information, data, and analysis on the u. S. -asia interactions.   other programs: other programs include the pacific islands development program (pidp), the china-us strategic philanthropy partnership (cusp) and auxiliary enterprise services. Pidp is an enduring partnership between the center and twenty-two island governments. It is the only program of its kind based in the united states, bringing together heads of government from an area that spans one-third of the globe. Pidp's role as a regional organization includes the five major activity areas: secretariat for the pacific islands conference leaders, secretariat for the united state/pacific island nations joint commercial commission, research & dialogue, education & training, and pacific island news. Cusp is a growing initiative to promote communication, exchange and collaboration between the philanthropic sectors of china and the u. S. In order to ensure the best use of resources and maximize the benefits to society as a whole. The first east-west philanthropist summit was held in 2014 with 70 representatives of the philanthropic sector in china and the us gathering to share their vision on critical issues such as environment, education, health and social innovation. Auxiliary enterprises provide conference facilities and dormitory housing for students and conference participants that participate in the center's programs.	
Seniors Law Program Inc	http://	(808) 246-8868	EIN 99-0283463	4375 Puaole St Ste A	Lihue	HI	96766	USA	Unknown	Legal services for the elderly					Provision of education, training and other legal services to senior citizens. Producing senior law day conference.	
KUPU	http://www.kupuhawaii.org	(808) 735-1221	EIN 51-0652665	677 Ala Moana Blvd Ste 1200	Honolulu	HI	96813	USA	Children & Youth, Youth Development Programs	To empower youth to serve their communities through character-building, service-learning, and environmental stewardship opportunities that encourage integrity (pono) with god, self, and others.					Kupu provided opportunities for young adults to get involved in different conservation and sustainability opportunities that allow them to serve their community and learn the importance of environmental stewardship while gaining valuable experience, knowledge, and skills that assist them in continuing their life pursuits. Kupu had the following impact this year:youth/young adults served: 295volunteers led by interns: 8,201intern and volunteer hours: 230,908education award distributed: $504,325total trainings/certifications provided: 31 different typesenvironmental workshops/events/presentations led by interns: 3,015 events/presentations reaching 20,325 community membersnumber of natives planted: 67,446acres of parks and public lands improved: 835,704acres removed of invasive species: 8,206food waste diverted from the waste stream: 57 tonsharmful diesel emissions reduced: 84. 42 tonslocally-sourced biodiesel blend utilized in exchange for diesel: 109,827+ gallons	
Waipuna Chapel	http://		EIN 99-0216947	17 Omaopio Rd	Kula	HI	96790	USA								
Japanese Christian Mission	http://		EIN 95-6100344	Po Box 562	Kaneohe	HI	96744	USA								
Waipahu Soto Zen Temple Taiyoji	http://		EIN 99-0223031	94-413 Waipahu St	Waipahu	HI	96797	USA								
Dexter Cate Foundation	http://		EIN 99-0309586	Po Box 81	Honokaa	HI	96727	USA								
Aloha School Early Learning Center Inc	http://		EIN 99-0185196	Po Box 1408	Hanalei	HI	96714	USA	Education, Preschools							
Outdoor Circle Central Organization	http://www.outdoorcircle.org	(808) 593-0300	EIN 99-0085044	1314 S King St Ste 306	Honolulu	HI	96814	USA	Environment, Environmental Education	To keep hawai'i clean, green and beautiful by preserving, protecting and enhancing our environment for future generations.					Sponsor programs to promote hawaii's urban forest by planting and protecting trees, beautifying parks and public lands and landscaping bike paths. In addition, the organization educates the public on issues affecting the scenic environment including protecting view planes, maintaining a billboard-free environment, working toward underground wiring, reviewing proposed development projects and educating children and adults about environmental issues facing future generations.	
Kona Outdoor Circle Educational Center And Sadie Seymour Botanical	http://		EIN 99-0253079	76-6280 Kuakini Hwy	Kailua Kona	HI	96740	USA	Botanical Gardens & Arboreta, Environment							
Japanese Language Ministry Of Kec	http://		EIN 99-0264372	1585 Kapiolani Blvd Ste 1240	Honolulu	HI	96814	USA								
Waikiki Foursquare Church	http://		EIN 99-0235980	310 Paoakalani Ave Ste 203e	Honolulu	HI	96815	USA								
Surfing The Nations	http://www.surfingthenations.com	(808) 622-6235	EIN 20-0245026	Po Box 860366	Wahiawa	HI	96786	USA	Arts & Culture, Christianity, Homeless & Housing, Humanities, International, International Relief, Religion	Surfing the nations was established to promote the sport of surfing among youth and in underdeveloped countries, with a view towards fostering the concept of a healthy person and clean, healthy environment. Surfing the nations impacts local and international communities through the sport of surfing and selfless service by meeting needs and changing lives.					Internationally promoting the sport of surfing among the youth and individuals in underdeveloped countries, with a view toward fostering the concept of a healthy person and a clean and healthy environment. In hawaii we are working with youth at risk and young adults, with a focus on leadership training, character development, and developing a desire and belief for a higher standard of living, as well as teaching them to swim and surf. On oahu food distribution programs reach over 100,000 people a year at four locations. Approximately 126,336 individuals received some benefit from our various programs.	
Hana Maui Trust	http://		EIN 99-6011303	Po Box 646	Hana	HI	96713	USA	Community Foundations, Philanthropy	To promote the health, welfare, happiness and development of the people of the district of hana, primarily, and elsewhere in the world.					Health care and prescriptions - the organization provided financial assistance to the hana community health center for medical services and medication.   education and scholarships - the organization awards an annual scholarship to a graduating hana high school student and provides funds for programs to the preschool, high school, and youth centers.   miscellaneous - the organization provided assistance to various community programs, such as little league, wrestling, canoe club, yearbook funds, etc.	
Palisades University Extension Club	http://		EIN 99-0231528	2005 Aaniu Loop	Pearl City	HI	96782	USA								
Dyslexia Center Of The Pacific Inc Dcp	http://www.dtchawaii.org	(808) 676-5515	EIN 57-1213369	Po Box 893100	Mililani	HI	96789	USA	Education, Health, Literacy, Remedial Reading & Encouragement, Special Education, Specifically Named Diseases Research	To raise awareness and to educate humanity about dyslexia, to empower children and adults to become independent, fluent learners in reading, writing, spelling, handwriting and mathematics, to guide them to discover their individual talents and strengths so they may gain life-long skills and become self-advocates.					The dyslexia tutoring center of hawaii, inc. (dtch) educates individuals in the realm of dyslexia awareness, dyslexia (difficulty with reading, writing, and spelling), dysgraphia (difficulty with handwriting), dyscalculia (difficulty with mathematics), and dyslexia combined with attention deficit/hyperactive disorder (ad/hd). Our mission is to raise awareness and to educate humanity about dyslexia; to empower children and adults to become independent, fluent learners in reading, writing, spelling, handwriting and mathematics, to guide them to discover their individual talents and strengths so they may gain life-long skills and become self-advocates. We envision a better informed community where children and adults with dyslexia become independent readers and use their new learned skills in school and the workplace. To date, dtch has screened over 275 students who struggle with dyslexia and related disabilities. Provided services twice a week for over 270 students and 40 educational/awareness workshops for educators, parents, and communities. The short-term outcomes of dtch's tutoring program are: students will read with less adult assistance, become willing readers as they improve fluency and accuracy, while gaining confidence in reading and writing. The long-term outcomes of dtch's tutoring program are: students will gain confidence, broaden their vocabulary, experience less anxiety, and will increase a minimum of one reading grade level (rgl) per year.	
University Of Hawaii Foundation	http://www.uhfoundation.org	(808) 956-7447	EIN 99-0085260	2444 Dole St Bachman Hall Rm 105	Honolulu	HI	96822	USA	Education, Philanthropy	The corporation is organized exclusively for the following purpose: (1) to raise and manage private support for the benefit of the university of hawaii and all campuses and units that comprise the university of hawaii system and to otherwise support the university of hawaii system, and (2) to operate exclusively for educational, charitable, scientific, or literary purposes within the meaning of section 501(c)(3) of the internal revenue code of 1986, as amended (or the corresponding provision of any future united states internal revenue law). Our mission is to unite our donors' passions with the university of hawaii's aspirations to benefit the people of hawaii and beyond. We do this by raising private philanthropic support, managing private investments, and nurturing donor and alumni relationships.					Student aid services- scholarships, fellowships, grants, and awards.   special programs- accounts for academic and non-academic division of the institution including expenses such as visiting lecturers, computer lab support, facilities funds, intramural sports, visiting professorships, a variety of outreach programs, community health fairs, workshops, alumni activities, band, mentorship programs, etc.   academic support- support for the academic divisions with the university including expenses such as business conferences, travel, research, equipment, supplies, etc.   research, athletics, faculty staff support, capital projects, and extension public services.	
Kona Gospel Chapel	http://		EIN 99-0251255	Po Box 1968	Kealakekua	HI	96750	USA								
United Way Statewide Association Of Hawaii	http://	(808) 536-1951	EIN 99-0286056	200 N Vineyard Blvd Ste 700	Honolulu	HI	96817	USA	Unknown	Uwsah provides a common pledge system in the state of hawaii whereby companies are able to donate monies to various united ways in hawaii through the statewide association. It also supports labor in its community services programs.					The organization coordinated the efforts of the respective united way organizations in connection with labor and industrial interests, supported the programs offered by the labor community and managed fundraising for statewide corporate accounts.	
Samoan Assembly Of God	http://		EIN 92-0158196	PO Box 971083	Waipahu	HI	96797	USA								
Church Of Christ Of The Redeemed Of The Lord	http://		EIN 99-6010535	2203 Kula Kolea Dr	Honolulu	HI	96819	USA								
MAUI ACADEMY OF PERFORMING ARTS	http://www.mauiacademy.org	808-244-8760	EIN 99-0187576	81 N Church St	Wailuku	HI	96793	USA	Arts & Culture, Performing Arts Schools	enriching individuals, building community and connecting our world through the performing arts	Our programs have grown to the point where we are literally bursting at the seams! We currently service over 60,000 people each year, and this number continues to grow. Our next big step is to design and build our own facility (housing studio space, costume and scene shops, administrative offices, rehearsal space and  performance space for dance and theatre).	People of all ages across the state of Hawaii	60,000 students and audience members of all ages		after school dance and drama classes and camps, the Voices program (drama residencies in elementary schools), Take Note (music residencies in schools), Educational Theatre Tours, community theatre and dance productions.	
E Ducere Inc	http://www.hoala.org	(808) 621-1898	EIN 99-0241020	1067 California Ave Ste A	Wahiawa	HI	96786	USA		To create an extraordinarily safe, dynamic learning atmosphere in which students feel needed, listened to and taken seriously all while receiving a quality education.					Program accomplishments for school year 2013-20141. High school students traveled to kona and kahoolawe for service learning. 2. New marketing strategies with the addition of multiple open houses and participation in community events. 3. First national grandparent day breakfast was a hit. 4. Purple up day which was for military student recognition. 5. In november 2013, students traveled to kona to meet the crew of the hokulea. 6. Annual trike-athon. 7. Hpd community project project clean, to help clean up graffiti. 8. Student won 1st my hawaii writing contest. 9. 100% matriculation 10. Students built aquaponic and hydroponic gardens.	
Makakilo Baptist Church	http://		EIN 99-0117935	92-611 Makakilo Dr	Kapolei	HI	96707	USA								
Moanas Hula Halau	http://	(808) 553-1703	EIN 99-0314230	Po Box 722	Kaunakakai	HI	96748	USA	Arts & Culture, Cultural & Ethnic Awareness	To educate others of the importance and significance of the hula, and its role in hawaiian history, and how it affects our lifestyle today.					To continue the interest in learning, promoting, perpetuating, preserving, and fostering the hawaiian culture through its dance by performing hula for various festivities.	
Keiki O Ka Aina Preschool Inc	http://www.keikiokaaina.org	(808) 845-3446	EIN 99-0327534	3097 Kalihi St	Honolulu	HI	96819	USA	Education, Preschools	The mission of keiki o ka `aina family learning centers (koka-flc) is to build strong communities by building strong families through communicating the vital importance of education, advocating for literacy, supporting parents as their child's first and best teacher and empowering families to undertake leadership roles in their communities.					The organization serves the family (children and parents) and community needs of hawaii's people through its educational, cultural and financial support programs. During its fiscal year, the organization served over 4,000 children and family members.	
