name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Target demographics	Geographic areas served	Results	Direct beneficiaries per year	 
Kairos Youth Services	http://www.kairosyouthservices.org	(406) 727-0076	EIN 81-0383532	Po Box 3066	Great Falls	MT	59403	USA	Children & Youth, Children & Youth Services	Serving troubled youth and their families in community based group home settings to alleviate the emotional, mental health, legal and other familial difficulties that have resulted in an inability of one or both of these parties to function in a healthy and appropriate manner and to adequately adjust to societal norms and expectations.	Operate and maintain the missouri river youth and shelter home, which provided 2,259 days of shelter, care, supervision, personal guidance and treatment services to 39 abused, neglected, troubled, delinquent, and seriously emotionally disturbed male adolescents aged ten to eighteen. Sixty-seven percent of the residents were positively discharged from the home, and sixty-seven percent of those residents discharged were able to remain in a less restrictive living arrangement.   operate and maintain the evergreen youth and shelter home, which provided 2,017 days of shelter, care, supervision, personal guidance, and treatment services to 29 abused, neglected, troubled, delinquent, and seriously emotionally disturbed adolescents aged ten to eighteen. Sixty-seven percent of the residents were positively discharged from the home, and sixty-seven percent of those residents discharged were able to remain in a less restrictive living arrangement.   operate and maintain the portage place therapeutic youth home, which provided 1,801 days of shelter, care, supervision, personal guidance, and treatment services to 11 abused, neglected, troubled, delinquent, seriously emotionally disturbed adolescents aged ten to eighteen. Fifty-six percent of the residents were positively discharged from the home, and thirty-three percent of those residents discharged were able to remain in a less restrictive living arrangement.   provided 632 hours of individual service time to 48 youth aged sixteen and older enrolled in the chafee independent/transitional living program. Specific services included: post-secondary educational support, educational and financial assistance, housing/home management, academic support, career preparation, health education, transportation assistance, mentoring services, and vocational rehabilitation programming. Also provided 122. 75 hours of aftercare and mentoring services to seven adolescents and 107 hours of early intervention and mentoring services to four adolescents.					
Bitterroot Christian Ministries Inc	http://		EIN 81-0475716	Po Box 698	Corvallis	MT	59828	USA	Religion, Religion-Related							
American Prairie Reserve	http://www.americanprairie.org	(406) 922-0793	EIN 81-0541893	PO Box 908	Bozeman	MT	59771	USA	Environment	American Prairie Reserve's mission is to create and manage a prairie-based wildlife reserve that, when combined with public lands already devoted to wildlife, will protect a unique natural habitat, provide lasting economic benefits and improve public access to and enjoyment of the prairie landscape.	Reserve area management and economic/educational programs  land acquisition - includes a portion of salaries and payment of professional fees dedicated to land acquisition to fulfill the organization's mission  bison program			The goal of American Prairie Reserve (APR) is to create the largest wildlife reserve in the lower forty-eight states, consisting of approximately 3.5 million acres of both private and public lands. APR intends to acquire and manage approximately 500,000 private acres, which will serve to glue together roughly three million acres of existing public land. Multi-jurisdictional management of the eventual wildlife complex will be conducted by the various entities with land ownership and wildlife management authority including the U.S. Fish and Wildlife Service, U.S. Bureau of Land Management, Montana Department of State Lands, Montana Fish, Wildlife & Parks and American Prairie Reserve. Conservation biologists have determined that a mixed-grass prairie would need to be approximately 5,000 square miles (roughly 3.2 million acres) in size in order to be a fully functioning ecosystem that supports the full complement of native prairie biodiversity and provides room to endure episodic localized natural phenomena like fire, disease and winter ice events. The Reserve currently spans more than 305,000 acres of deeded private land and leased public land.  We believe that connecting people with the landscape in meaningful ways is central to our goal of instilling a deeper appreciation of the prairie and its wildlife in the general public. Visitors to the Reserve will discover a public campground and a variety of trails and interpretive experiences. In 2015, we opened the Enrico Education and Science Center to serve as a hub for students, scientists, and partners conducting fieldwork on the Reserve.  American Prairie Reserve aims to restore a complete and fully functioning prairie ecosystem, the largest of its kind in North America. This is critical to secure long term conservation of the grasslands. We also aim to restore the natural, historic abundance of species in the region. To do such, we rely on our values and innovative and sound science. Our approach is rigorous, collaborative and inspiring. American Prairie Reserves (APR) approach to biodiversity restoration is built around the Freese Scale for Grassland Restoration. Developed by conservation biologist Dr. Curt Freese with Dr. Kyran Kunkel and Dr. Sam Fuhlendorf, the scale identifies the ten major ecological drivers for restoring and conserving biodiversity on temperate grasslands. This scale can be used by land managers trying to achieve a balance between agricultural production and biodiversity as well as those, like APR, which are solely focused on maximizing native prairie biodiversity. Each year, our biologists, along with input from partners and experts, rate all APR properties on the Freese Scale. The total score for a particular area is recorded and retained, allowing for annual comparisons. Armed with this information, we decide what approaches in management could lead to an improved score for a particular area of the Reserve.		
Church Universal And Triumphant	http://		EIN 81-0473916	30 Sirius Dr	Emigrant	MT	59027	USA								
Blue Mountain Clinic Inc	http://www.bluemountainclinic.org	(406) 721-1646	EIN 81-0365291	610 N California St	Missoula	MT	59802	USA	Community Clinics, Health	The mission of blue mountain clinic is to provide access to safe, affordable reproductive and primary health care; to provide education on health,reproductive choices and sexuality; to advocate for policies that improve reproductive justice and correct health disparities; and to empower individuals to actively participate in their health care.	Blue mountain clinic (bmc) features quality clinicians and experienced staff who provide: family practice - general medical services, pediatrics, mens health, and on-site lab servicessexual and reproductive healthcare , including vasectomy and cervical cancer treatmentmental health counseling lgbt primary care and counseling first trimester abortion and counselingbmc has provided access to first trimester abortion care with an emphasis on options counseling and birth control selection for 38 years. In 2014, bmc was voted "best health clinic" and dr. Ravitz was voted "best doctor" for the 7th year in a row in the missoula independent's reader's poll "best of missoula" awards. Also during the year, the fundraiser entitled "off the rack" was again a great success. Over 900 supporters attended this fundraising fashion event designed to promote healthy sexuality that goes beyond barriers, gender and stigma. During 2014, bmc continued to expanded outreach efforts to activate support for and expand access to healthcare for all montana area residents. We joined with the montana family practice residency program to train resident doctors within our family practice setting. Many of these residents will eventually practice in rural montana areas. Continued steps were taken to create a network of advocates in rural health care delivery settings, to increase prevention awareness to underserved regions of montana and surrounding states, and to improve access to women seeking care by identifying resources to offset financial constraints. Finally, our outreach/education coordinator doubled the amount of student-led discussions about issues that are pertinent to them. Topics included bullying, birth control, healthy sexuality, bystander intervention, and substance abuse. Each year, bmc staff participates in 20-35 activities for education, advocacy and outreach. Ongoing initiatives include bmc's montana access project launched askmap, started in july 2010, an sms(text) and web-based hotline to provide information on sexual health, education and resources. Users can send or text a question confidentially and anonymously and get answers and resources from a clinical professional using a technological medium that helps reduce shame and embarrassment. Bmc sees about 9,000 patient visits every year. These visits breakdown as follows:family practice - 68%, gynecology, contraceptive and sexual health - 18%, mental health counseling - 6%, abortion care - 8%					
St Labre Indian School	http://www.stlabre.org		EIN 81-0244542	Po Box 216	Ashland	MT	59003	USA	Children & Youth, Children & Youth Services, Education, Primary & Elementary Schools, Secondary & High Schools	St. Labre Indian School, founded in 1884, was one of the first efforts to care for Native Americans who had been displaced as a result of homesteading. Today, St. Labre Indian School offers kindergarten through high school education for Crow and Northern Cheyenne children on three campuses. There is no tuition charged for any student to attend. The combined enrollment of all three campuses totals over 700 children.						
Paint Up Montana, Inc.	http://		EIN 81-0516312	3704 Colin Dr	Billings	MT	59102	USA	Philanthropy, Public Foundations							
International Church Of The Foursquare Gospel	http://		EIN 94-3232642	PO Box 599	Lewistown	MT	59457	USA								
The Biomimicry Institute	http://www.biomimicry.org	415-800-1401	EIN 86-1153859	PO Box  9216	Missoula	MT	59807	USA	Biological & Life Sciences, Education, Elementary & Secondary Schools, Environment, Higher Education, Literacy, Natural Resources Conservation & Protection	We are nurturing a global community of people who look to the natural world for ideas, designs, and strategies for sustainable design.  We want to bring biology to the design table. The mission of the Biomimicry Institute is to empower people to design nature-inspired solutions for a healthy planet.	AskNature.org, Student Design Challenge, Biomimicry Education	environment	International	We created a first-ever biomimetic chemistry lab lesson plan - showing high school students that we can make building materials - cement - without destructive mining or using excessive amounts of energy, and sequestering carbon!  We also 'crowd sourced' a university level Student Design Challenge and attracted 120 teams from around the world to compete.  See their amazing design entries here:  http://biomimicrydesignchallenge.com/p/2011-winners		
Anaconda Local Development Corp	http://www.anacondadevelopment.org	(406) 563-5538	EIN 81-0380448	118 E 7th Street	Anaconda	MT	59711	USA	Economic Development, Urban & Community Economic Development	Assist in the creation and retainage of jobs through economic expansion in the cit and county of anaconda-deer lodge	Economic development activities in anaconda deer lodge county					
Missoula Aging Services	https://missoulaagingservices.org/	(406) 728-7682	EIN 81-0379543	337 Stephens Ave	Missoula	MT	59801	USA	Human Services, Senior Centers, Seniors	Missoula Aging Services promotes the independence , dignity and health of older adults and those who care for them.	Meals on Wheels, Case Management, Resource Center, Senior Corps and Montana Senior Medical Patrol.	older adults and people with disabilities	Missoula County		thousands of individuals in Missoula County.	
Trinity Lutheran Church	http://		EIN 81-0298632	221 S Center Ave	Miles City	MT	59301	USA								
Community Youth Ministries	http://		EIN 91-1629634	P O Box 336	Frenchtown	MT	59834	USA	Children & Youth, Youth Development - Religious Leadership							
Montana Dance Arts Association	http://		EIN 23-7285427	718 Logan St	Helena	MT	59601	USA								
Animeals	http://www.animeals.com	406-721-4710	EIN 20-4694132	1700 Rankin St	Missoula	MT	59808	USA	Animal Protection & Welfare, Animals	The mission of AniMeals is to save the hungry, the helpless, the lost, the little ones just struggling to survive; to house and feed as many animals as possible; to ease the suffering of the weak and unloved; to build a no-kill community and to reach the achievement of a no-kill nation.	Providing food and supplies to the shelters and rescues, furry members of families-in-crisis and in-need, pets of the homebound and disabled, feral dog and cat colonies, and people who aid in re-homing animals who have been abandoned or surrendered because of circumstances.  By keeping these programs working in unison we are able to support the community, work towards a no-kill society, and continually educate the public in responsible pet care.  In addition to our Animal Food Bank, we operate a No-Kill Adoption Center in Missoula where we have saved the lives of over 1500 cats that had run out of options.	feed hungry animals, assists pets of elderly, home-bound or disabled individuals, pets of families in-crisis, and advocate for civilized treatment of animals through our no-kill shelter.	We mainly serve Western Montana, but our food bank reaches statewide and has sent food as far as Washington, Idaho, North Dakota, and Colorado. Our No-kill shelter is located in Missoula, Montana.	AniMeals is a 501(c) (3) and exists as a Food Bank for all animals great and small and a No-Kill Adoption Center for cats. In 2006, AniMeals started as a delivery service for pets of the elderly, homebound and disabled and quickly grew into a huge operation that covers more ground than any other animal food bank in the country. In the past seven years, AniMeals has delivered over 385 tons of food and supplies to the shelters, rescues, those who feed feral dog and cat colonies, furry members of families in-crisis, pets of low-income seniors, homebound or disabled individuals, and people who aid in re-homing animals who have been abandoned or surrendered because of circumstances.  Today our territory covers over 147,000 square miles of Montana and we work with rescues in Idaho and Washington.	1000's of starving and abandonded animals and 100's of low-income and under-served individuals within our state	
La Leche League International Inc	http://www.lalecheleague.org/		EIN 81-0381946	216 N Main St	St Ignatius	MT	59865	USA	Health, Health Care	To help mothers worldwide to breastfeed through mother-to-mother support, encouragement, information and education, and to promote a better understanding of breastfeeding as an important element in the healthy development of the baby and the mother.						
Rocky Mountain Bible Mission	http://		EIN 81-0303852	1515 Fairview Ave Ste 200	Missoula	MT	59801	USA								
Beartooth Mountain Pastoral Counseling	http://		EIN 20-3113003	50 Circle T Ln	Absarokee	MT	59001	USA	Counseling, Mental Health							
Rockmont Inc	http://		EIN 51-0168144	1700 Madeline Ave	Missoula	MT	59801	USA	Group Homes, Human Services							
Partnership For Animal Welfare Humane Society	http://		EIN 36-4098540	226 Vigilante Dr	Deer Lodge	MT	59722	USA	Animal Protection & Welfare, Animals							
THE EMERGENT INSTITUTE	http://www.theemergentvoices.com		EIN 74-3179187	296 Meadow Rd	Stevensville	MT	59870	USA	Arts & Culture, Arts Education		The Emergent Voices					
Heroes and Horses	http://www.heroesandhorses.org	(406) 284-2870	EIN 46-4639973	P.O.Box 35	Manhattan	MT	59741	USA	Human Services	Mission: To use the remote wilderness, and the horse / human connection to challenge, and inspire growth in veterans suffering from mental and physical scars.  We re-galvanize our nations veterans so they can rediscover who they are, and can be after 13 years of war. Heroes and Horses focus is not about what happened, but what can happen if you choose to drive on.  Challenge: Wilderness challenges that invoke change, and develop new ways to approach, and solve problems.  Experience: We provide extreme Expedition style horse pack trips that teach self-reliance, teamwork, and help veterans move past the struggles men and women face after years of war, internal and external.  Community: H&H aims to build a community of veterans, donors and volunteers who are involved and engaged.  Education: After completion of a first trip our program continues with career training for the guide, outfitter and ranching industries with continued education.	Leadership development in an aggressive therapy designed for lasting healing.  Professional development for the leaders of tomorrow.	Combat Veterans	United States	Ran by two Navy SEALs, our program is lead by those who know what our American Heroes really need.		
Gates Of The Mountain Foundation	http://		EIN 23-7332779	2234 Gold Rush Ave	Helena	MT	59601	USA								
Montana Indian Art And Culture Association, Inc.	http://		EIN 84-1079087	PO Box 6157	Bozeman	MT	59771	USA	Arts & Culture, Cultural & Ethnic Awareness							
Women's Aglow Fellowship	http://www.aglow.org/		EIN 81-0446481	Box 602	Chester	MT	59522	USA	Christianity, Religion	Aglow International is an intercultural transdenominational organization of Christian women with more than 3,500 fellowships in more than 151 nations. Our mission is to lead women to Jesus Christ and provide opportunity for Christian women to grow in their faith and minister to others. Aglow's vision to impact the lives of women worldwide is expressed in the strategic focuses of: Prayer, Evangelism, Relationship, and Reconciliation.						
Unity Church Of Truth	http://		EIN 81-6011472	1023 2nd Ave S	Great Falls	MT	59405	USA								
Missoula Community Chorus Inc	http://		EIN 81-2544533	1001 East Broadway Pmb 610	Missoula	MT	59802	USA	Arts & Culture, Performing Arts							
KOOTENAI VALLEY CHRISTIAN SCHOOL INC	http://www.kvcs.info	(406) 293-2303	EIN 81-0510370	1024 Montana Ave	Libby	MT	59923	USA	Education, Elementary & Secondary Schools, Literacy	Providing classroom based educational opportunities for grades pre-school to 8th grade servicing approximately 100 students.	Providing classroom based educational opportunities for grades pre-school to 8th grade servicing approximately 100 students.					
Sunburst Unlimited Inc	http://www.sunburstunlimited.org		EIN 81-0517112	1917 1st Ave. North	Great Falls	MT	59401	USA	Community & Neighborhood Development, Economic Development, Environment, Food, Natural Resources Conservation & Protection, Recycling		Gardens from Garbage is a city-wide initiative in Great Falls in collaboration with the City of Great Falls and the Great Falls Public School Electric City Agriculture Academy to develop community, school, and residential compost sites. This community campaign has two goals: one: annually producing hundreds of cubic yards of "good growing dirt" from thousands of tons of food waste whilestarving the local landfill while reducing greenhouse gas emissions; two: promoting the use of the "good dirt" to develop school and community gardens, thus providing locally grown nutritious food for children and families.Sunburst initiated this program in response the the need of Montana families to have local food sources. There are 47,000 Montana families without "food security", and a large percentage of food cost is the cost of transportation to our stores. Available nutrient-rich compost encourages families to grow their own food.					
Pondera Food Pantry Inc	http://		EIN 81-0415427	220 S Front St	Conrad	MT	59425	USA								
Eagle Mount Billings	http://www.eaglemountbillings.org	(406) 969-2949	EIN 84-1370933	1140 16th St W Ste 12	Billings	MT	59102	USA	Camps, Centers to Support the Independence of Specific Populations, Children & Youth, Developmentally Disabled Centers, Disabilities, Sports, Youth Development Programs	Eagle mount billings enhances the lives of individuals with disabilities through recreation.	Eagle mount billings provided recreational opportunities in forms of skiing, swimming, golf, biking, rafting, and day camps: serving over 360 unduplicated participants with assistance of over 290 unduplicated volunteers					
Evangelical Church Of North America	http://		EIN 81-0519024	Box 181	Circle	MT	59215	USA								
Central Montana Head Start Inc	http://www.cmheadstart.org		EIN 36-3925500	25 Meadowlark Ln	Lewistown	MT	59457	USA		Central montana headstart is a nurturing and supportive non-profit organization which strenghtens and empowers children, families, and communities.	Central montana head start provides comprehensive pre-school services to over 100 children, primarily from low-income families, in fergus, musselshell, and wheatland counties.					
Rocky Mountain College	http://www.rocky.edu	(406) 657-1000	EIN 81-0235407	1511 Poly Dr	Billings	MT	59102	USA	Education, Undergraduate Colleges	Rocky mountain college educates future leaders through liberal arts and professional programs that cultivate critical thinking, creative expression, ethical decision making, informed citizenship, and professional excellence.	Instruction - higher education program leading to a baccalaureate degree or masters degree in professional studies or liberal arts. Rocky mountain college serves 700 to 1,000 students per semester.   student services - dean of students administration, student activities, publications, career counseling, financial aid, registrar, admissions, student records (registrar), etc.   auxiliary services - student residence halls, dining, bookstore, summer camps, conferences					
Powell County Museum & Arts Foundation Inc	http://	(406) 846-3111	EIN 23-7348703	1106 Main St	Deer Lodge	MT	59722	USA	Arts & Culture, Museums	Education	The foundation operates the old montana prison museum, the frontier montana museum and yesterday's playthings museum. The foundation promotes cultural activities and programs.					
Columbia Falls Booster Club Inc	http://		EIN 81-0439823	Po Box 1462	Columbia Fls	MT	59912	USA								
Whirling Disease Foundation Inc	http://		EIN 81-0504912	PO Box 327	Bozeman	MT	59771	USA	Animals							
Bob Marshall Wilderness Foundation Inc	http://www.bmwf.org	(406) 387-3847	EIN 31-1597921	Po Box 190688	Hungry Horse	MT	59919	USA	Environment, Parks & Playgrounds	The bob marshall wilderness foundation connects americans with their wilderness heritage by providing access to montana's bob marshall wilderness complex	Raise money and volunteer labor for use in the bob marshall wilderness complex, primarily for trail construction, maintenance and related activities.					
Rezq Dogs	http://www.rezqdogs.org/		EIN 26-4207289	536 Matte Lane	Dodson	MT	59524	USA		RezQ Dogs is a volunteer organization, located in north-central Montana, committed to helping the unwanted and abandoned dogs from the Fort Belknap and Rocky Boy Indian reservations.	rescue and emergency veterinary care, vaccination and spay/neuter clinics, adoptions, transportation to other rescues and shelters.	unwanted, abandoned and injured dogs from Fort Belknap and Rocky Boy's Indian Reservations	north-central Montana	Since 2010 RezQ Dogs has saved the lives of over 1000 dogs.	331 animals who otherwise would have been euthanized.	
Animal Foundation Of Great Falls Montana	http://www.theanimalfoundation.org	(406) 727-7387	EIN 72-1537063	Po Box 3426	Great Falls	MT	59403	USA	Animals	Fostering a caring community for animals by providing shelter, advancing animal welfare, and promoting the bonds between animals and humans through innovative programs, education and service	The organization's goal and mission is to build a new animal welfare center for the community  spay/neuter clinics are conducted to assist individuals of low income to assist them financially by altering thier pets to help prevent over population of dogs and cats.   ongoing maintenance of the city's only fenced dog park for the community.					
Montana Art Gallery Directors Association	http://	(406) 761-1797	EIN 81-0362735	2112 1st Ave N	Great Falls	MT	59401	USA	Arts & Culture, Professional Societies & Associations	Public art education and exhibition of art in the state of montana.	Public education and traveling exhibits for member museums across the state of montana. Estimated over 40,000 viewers of exhibits across state of montana					
Missoula Community Health Services Inc	http://www.mineralcommunityhospital.com	(406) 822-4841	EIN 81-0421823	Po Box 66	Superior	MT	59872	USA	Health, Nursing	Mineral community hospital provides quality healthcare services regardless of race, creed, sex, national origin, handicap, age or ability to pay. Although reimbursement for services rendered is critical to the operation of the hospital, it is recognized that not all individuals possess the ability to purchase essential medical services and further that their mission is to serve the community with respect to providing healthcare services and education.	Mineral community hospital is comprised of a 25-bed acute care hospital and an 11-room assisted living facility which provides healthcare services. The hospital provided 5,967 days of patient services and the assisted living facility provided 3,474 days of resident services for the year. The hospital provides care to persons covered by governmental programs at below cost and to individuals who are unable to pay. The unreimbursed value of providing care to these patients was 73,625 for charity care, 30,366 for medicaid, 193,652 for medicare, and 249,764 for other third party payors for the year.					
Habitat For Humanity International Inc	http://www.billingshabitat.org	(406) 652-0960	EIN 81-0477610	1617 1st Ave N	Billings	MT	59101	USA	Christianity, Homeless & Housing, Housing Development, Construction & Management, Religion	Habitat for humanity is an ecumenical christian housing ministry which forms partnerships with volunteers who share the vision of eliminating poverty housing worldwide.	Providing low-income families with the ability to own their own home through assistance and sweat equity on the part of families and through no-interest loans. Completed 4 homes that were transfered to the new homeowners, preliminary work began on 1 other home. Acquired and are developing several vacant lots that will be used for future home sites.   receiving donated building materials and selling those items to the general public through the restore thrift store. Excess revenue over expenses are generated to fund the organization's home building efforts.					
Little Brown Church Of The Christian And Missionary Alliance	http://		EIN 81-0406295	125 Swan Hwy	Bigfork	MT	59911	USA								
Toastmistress Clubs International	http://		EIN 81-6014747	757 N Teton	Shelby	MT	59474	USA								
Payden Memorial Foundation Inc	http://www.payden.org	(406) 222-6700	EIN 16-1619272	Po Box 166	Livingston	MT	59047	USA	Health	A community based non-profit organization dedicated to improving the lives of people living with children who have been touched by cancer.	To help those in need with access to care including funds for flights to treatment centers, food, clothing and/or other necessities to help ensure a reasonable quality of life.					
Tots Toys & Tales, Inc.	http://		EIN 81-0460199	PO Box 221	Harlowton	MT	59036	USA	Child Day Care, Children & Youth							
Plains Library Foundation	http://		EIN 81-0468071	Po Box 248	Plains	MT	59859	USA								
Red Feather Development Group	http://www.redfeather.org	(406) 585-7188	EIN 91-1632134	PO Box 907	Bozeman	MT	59771	USA	Homeless & Housing, Housing Development, Construction & Management, Housing Support, Senior Citizens Housing & Retirement Communities, Seniors	Our mission is to partner with American Indians to develop and implement sustainable solutions to the housing needs within their communities.	4 Facets: 1.)Construction of sustainable homes, 2.) Train American Indian builders the techniques in sustainable housing construction, such as straw bale homes via the Indigenous Builders Exchange Program, 3.) Partner with tribal entities to facilitate tribal members into their entry into home ownership, and 4.) Create self-sustaining housing organizations & replicate these programs in other American Indian communities.					
American Fisheries Society	http://		EIN 23-7226688	1354 Hwy 10 West	Livingston	MT	59047	USA	Animals, Fisheries Resources							
Mission Valley Friends Of The Arts	http://		EIN 81-0458844	Po Box 10	Polson	MT	59860	USA	Arts & Culture, Arts & Humanities Councils & Agencies	Formed in 1989 for the purpose of supporting and keeping live theater in the mission valley. The mission is to provide a venue for live theater programs and related events and to provide support for all arts and education programs.	Formed in 1989 for the purpose of supporing and keeping live theater in the mission valley. The mission is to provide a venue for live theater programs and related events and to provide support for all arts and education programs.					
Flathead Land Trust Inc	http://www.flatheadlandtrust.org	(406) 752-8293	EIN 36-3479966	Po Box 1913	Kalispell	MT	59903	USA	Environment, Land Resources Conservation	Flathead land trust is dedicated to the conservation of northwest montana's land and water legacy through voluntary agreements with private land owners. Flt's primary program service is private land conservation through voluntary agreements with landowners (conservation easements); within that program service flt develops, negotiates, and accepts donated conservation easements. In addition with both private and federal funds, flt purchases conservation easements.	Conservation - two conservation projects were completed in 2014. First, we facilitated the transfer of 189 acres to the montana fish, wildlife and parks' wildlife management area on the north shore of flathead lake. We also facilitated the transfer of an additional 4 acres to montana fish, wildlife and parks' pine grove pond fishing access site.   education and outreach - we hosted numerous outreach events throughout the year including: a birding tour, a biking event, a rafting trip, a celebration of the completion of our project on the north shore of flathead lake, a party to welcome our new executive director, a volunteer work event on national public lands day, a native plant tour, a holiday party / membership meeting, a public meeting for input on the update to our conservation plan, and a benefit event at a local brewery. We also had our information table at seven other events and put up a permanent display at a local state park. We sent out two newsletters, 28 e-mailed news items, and 51 facebook posts or shares, saw 13 articles published about our work, and participated in one radio interview.   stewardship - monitored all 52 conservation easement properties and one property with a covenant by meeting with the landowner on the property, assessing any change of conditions from the time of the establishment of the easement, and addressing any requests from the landowners regarding the stewardship of their land. Issues were identified on 18 of the properties and required follow-up. Completed 12 updates to the original baseline documentation reports for conserved properties.					
Rocky Mountain Assn For Retarded Children	http://	(406) 723-6501	EIN 81-6013738	845 D Wyoming	Butte	MT	59701	USA	Human Service Organizations, Human Services, Job Training	Organize social activites for developmentally disabled individuals.	The rocky mountain association for retarded citizens organizes social activities for developmentally disabled individuals. This includes dances, dinners, outings, etc.					
Their Last Best Place	http://theirlastbestplace.org	4065810678	EIN 26-3690357	PO Box 1355 Barb Marsell	Livingston	MT	59047	USA	Animal Protection & Welfare, Animals	Their  Last  Best  Place, Inc. CANINE AND EQUINE RESCUE,   REHABILITATION AND SANCTUARY 501(c)3 Public Charity-Tax ID: 26-3690357 Established  2005  Barb Marsell: Founder   406-581-0678 theirlastbestplace@yahoo.com 	  MISSION STATEMENT: A compassionate, restorative non-profit striving towards a no-kill nation. To take and rehabilitate dogs and horses from shelters, rescues or individuals that are slated for euthanasia, and teach them the skills needed to be successfully adopted into a permanent home.  To permanently house any animal considered un-adoptable for as long as they are alive, keeping them happy, healthy, and fulfilled.   To provide temporary, cost free housing for any animal belonging to victims of abuse, or other extenuating circumstances such as soldiers in foreign wars, or senior dogs whose owners have passed, also providing supportive care and/or adoption services.  To revamp existing or provide new animal friendly shelters where women and their families can be housed with their pets, to prevent the loss of the those pets, and keep the family whole both physically and emotionally.  To provide homeless persons and their dogs polar fleece sweaters and coats for warmth in winter months.						
