name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Humanitarian AidTrips and On-Site Assistance: 
Chesapeake Service Systems Inc	http://css-online.org	757-312-0456	EIN 54-1302211	1100 Executive Blvd	Chesapeake	VA	23320	USA	Job Training,Sheltered Employment,Vocational Rehabilitation	Chesapeake Service Systems mission is two-fold. First, it is to provide meaningful work opportunities to people with mental retardation and other severe disabilities, enabling them to reach their full potential in a least restrictive environment that maximizes independence. Second, it is to advocate for changed perceptions and inclusion of people with mental retardation and other disabilities in the community so that the community sees their ability rather than the disability.				Hampton Roads, Virginia	Training mentally disabled adults for employment and facilitating and administering their employment opportunities	
Society for the Prevention of Cruelty To Animals Martinsville	http://www.spcamhc.org	276-638-7297	EIN 23-7381113	132 Joseph Martin Highway	Martinsville	VA	24112	USA	Animal Protection & Welfare,Animals,Crime & Law,Domestic Violence,Family Violence Shelters,Homeless & Housing,Protection Against Abuse	The SPCA of Martinsville-Henry County serves animals and people with progressive, compassionate programs delivered by professional staff and volunteers to prevent cruelty, ensure the welfare, safety, refuge and adoption of animals; educate the public to improve the life of our community; and reduce the suffering caused by pet overpopulation.		animals			weekly low-cost spay/neuter services; monthly wellness clinics; and the adoption center where we rescue, rehabilitate, and rehome orphaned pets.	
Skyline Literacy	http://www.skylineliteracy.org	(540) 433-0505	EIN 54-1589682	975 S High St	Harrisonburg	VA	22801	USA	Education,Literacy,Remedial Reading & Encouragement	TO ASSIST AREA ADULTS IN LITERACY		area adults	more than 300 adult learners achieve their goals.	Harrisonburg, VA,	basic literacy, writing, English as a Second Language, GED preparation and US Citizenship preparation using trained volunteers.	
Oohs N Coos	http://www.oohsncoos.org		EIN 47-2329988	16985 Islip Loop Suite 304	Dumfries	VA	22026	USA	Human Service Organizations	Our mission is to educate all women of reproductive age about pregnancy, it's signs & symptoms, tests, stages, complications & preventions, labor & delivery, postal and baby/child care? We also do parenting education through expert advice on our website and in our free digital magazine for   families to help ease the stress of parenting. Finally, we provide financial assistance to needy families in the form of baby gears, clothing, books, gifts cards, educational & fun toys, daycare assistance etc. on our Facebook page - oohsncoos parenting magazine.		Pregnant women, children and needy families	Over 1000 needy families	Virginia	Education on pre-pregnancy, pregnancy, pregnancy complications, pregnancy prevention and parenting. We also give baby gears, clothing, diapers, wipes , educational toys , financial assistance and gift cards to needy families.  Giveaways are on our Facebook page Oohs n coos parenting magazine.	
Woodbridge Dance Company	http://www.WoodbridgeDanceCompany.com	703-583-2623	EIN 11-3717059	14000 Crown Cout #101	Woodbridge	VA	22193	USA	Arts & Culture,Ballet	Woodbridge Dance Company's mission is to bring affordable dance programs to our community, allowing talented dancers the opportunity to perform and gifted choreographers the means to create artistically.	WDC's dancers have had the opportunity to learn and perform with some of the most talented artist in the Washington Metro area. The training provided to younger dance students has assisted in admission to college programs and professional work.WDC has been voted "Best Arts Organization of Prince William County" for three years in a row.	inspire youth and community through dance	100 dancers present new dance works to the community.	Prince William County	dance education and workshops, instructed by regional choreographers, in presenting innovating performances.	
Roanoke Valley Horse Rescue Inc	http://www.rvhr.com	540-721-1910	EIN 02-0654488	1725 Edwardsville Rd	Hardy	VA	24101	USA	Animal Protection & Welfare,Animal-Related,Animals	Roanoke Valley Horse Rescue, RVHR, founded in 2002, evolved out of the need in our community for assistance with horses being found in undesirable situations. RVHR is comprised of a serving Board of Directors who volunteer their time to this effort and are joined by volunteers in our community who may also become members of our organization. RVHR is dedicated to educating the public on these issues and how they can be avoided as well as providing assistance to horse owners in our area that are dealing with a similar situation. Other efforts include providing educational clinics on horsemanship and horse care in general for our horse community.We also provide a refuge at our facility for horses that are in need due to starvation or neglect as well as helping these horses find new loving and suitable homes where they shall be watched over by RVHR for the rest of their lives.	~ 276 Horses Helped Since We Opened In 2002 ~~ 166 Placed in New Homes ~	Helping those horses in need of death due to starvation	29 new additional arrivals.	Our efforts help the horse in need of being removed from thier owners who no longer care for them.	placement program	
American Studies Center	http://	(703) 302-1000	EIN 51-0232804	1100 N Glebe Rd Ste 900	Arlington	VA	22201	USA		To engage in nonpartisan analysis, study and research into the interraltionship of governmental system activities and policies on the private sector of the united states and to make the results available to the general public.					Radio america produces and distributes daily and weekly programs/commentaries on public policy issues and totaling more than 4000 hours of broadcast time per year and airing on over 500 stations, satellite and the internet.  the american veterans center's mission is to preserve and promote the legacy of america's military men and women, of every generation. The center works directly with veterans to provide a forum for them to share their lessons and experiences with the public, and with future generations. Programming includes documentaries, speaker programs, its magazine american valor quarterly featuring first-hand accounts directly from veterans, its annual veterans conference and the national memorial day parade, the nations's largest memorial day event. The center houses the world war ii veterans committee, which specifically focuses on those veterans of the greatest generation as well as the national vietnam veterans committee, which honors the service and sacrifice of all those who served in vietnam.	
Child Foundation	http://	(434) 848-3329	EIN 62-1763721	12021 Robinson Ferry Rd	Brodnax	VA	23920	USA	Corporate Foundations,Philanthropy							
Boys & Girls Clubs of the Virginia Peninsula	http://www.bagclub.com	757-223-7204	EIN 54-1568297	11825 Rock Landing Drive Chesapeake Building	Newport News	VA	23606	USA	Boys & Girls Clubs,Children & Youth	The mission of Boys & Girls Clubs of America is "to inspire and enable all youth, especially those who need us most, to realize their full potential as productive, caring, & responsible citizens."		Youth	6,200 youth	Newport News,  Hampton, Williamsburg, York, Gloucester, and Matthews.	Education & Career Development, The Arts, Sports Recreation & Fitness, Health & Life Skills, and Character & Leadership Development.	
SCORE Foundation	http://www.score.org	(800) 634-0245	EIN 52-1962712	1175 Herndon Parkway Suite 900	Herndon	VA	20170	USA	Philanthropy,Private Grantmaking Foundations	The Vision of the SCORE national fundraising program is to increase the resources and education available to America's entrepreneurs. By enabling, encouraging and supporting self-sufficiency as an organization, we will benefit society and the local and national economies.			400,000 small businesses	United States	The SCORE Foundation serves as the philanthropic support arm of SCORE; assisiting in raising those vital funds to extend SCORE's counseling and training across America.	
Operation Paws for Homes	https://ophrescue.org/	(703) 344-7320	EIN 45-2785962	P.O. Box 90813	Alexandria	VA	22309	USA	Animal Protection & Welfare,Animal-Related,Animals	Operation Paws for Homes, Inc. rescues dogs of all breeds and ages from high-kill shelters reducing the numbers being euthanized. Most of our dogs come from rural shelters in South and North Carolina. With limited resources, the shelters are forced to put down anywhere between 50% and 90% of the animals that come in the front door. We also partner with shelters located in Virginia and Maryland. Our organization provides pet adoption services to families located in Virginia, Washington DC, Maryland, Southern Pennsylvania and neighboring states. OPH does not operate a shelter or have a physical location. We rely on foster families who open their homes to give love and attention to each dog before finding a forever home. Through the foster care program, we are able to learn about each dog and their needs and we provide their potential and future adopters with this information. We believe in responsible adoptions and strive to work with each adopter to find a good match for their home and lifestyle. Operation Paws for Homes, a volunteer powered 501(c)(3) organization, is 100% donor funded. We receive no funding from federal, state, or county governments. As a result, we rely on donations and our adoption fees in order to save the dogs in need that join our rescue organization.Our goal is to fulfill the dreams of dogs who find themselves abandoned in shelters. Sadly, without our help, all of these adoptable animals would face almost certain euthanasia - usually within days or hours of arriving at the shelter. Each year we take in hundreds of wonderful animals who were left at shelters by no fault of their own. We work hard to unite them with forever families who will give them the life and love they deserve. Without the dedication of our incredible adopters, fosters, donors, and volunteers, we would be unable to fulfill this dream.		abandoned and unwanted dogs who find themselves alone in shelters	approximately 1,000 dogs find forever homes!	animal rescue to assist shelters located in rural areas throughout South and North Carolina, southern Virginia, amazing Potcakes from T&C islands, and some wonderful Desi Dogs from India.	adoption, fostering and outreach.  With limited resources, the shelters are forced to put down anywhere between 50% and 90% of the animals that come in the front door. We also partner with shelters located in Virginia and Maryland. Our organization provides pet adoption services to families located in Virginia, Washington DC, Maryland, Southern Pennsylvania and neighboring states.	
Humane Society of Fairfax County Inc	http://www.hsfc.org	703-385-7387	EIN 54-6064956	4057 Chain Bridge Rd	Fairfax	VA	22030	USA	Animal Protection & Welfare,Animals	Established in 1965, the Humane Society of Fairfax County, Inc. was formed by concerned citizens as a non-profit organization to rescue and protect animals both domestic and wild from abuse, neglect, abandonment, and cruelty.		Individuals and families seeking to add a beloved pet companion to their lives.			In addition to our Ani-Meals Pet Food Pantry, we support a cat outreach program and offer humane education presentations to community groups and  school-age children upon request. We participate in educational events as well as fundraisers year-round.	
US Naval Sea Cadet Corps	http://www.seacadets.org	(703) 243-6910	EIN 52-0808385	2300 Wilson Blvd Suite 200	Arlington	VA	22201	USA	Children & Youth,Military & Veterans Organizations,Veterans,Youth Development - Citizenship	We provide compelling, life-changing programs for Americas youth that teach them the values of teamwork, discipline, service, and ethical leadership through our passionate all-volunteer force and our partnerships with the Navy and Coast Guard.		We are creating our nation's next generation of leaders.	In 2015, we provided leadership and training experience to more than 9,500 cadets, age 10 through the completion of high school.	We have more than 380 units in 46 states, as well as in Guam and Puerto Rico		
Aadamiga Usa	http://		EIN 41-2033090	4029 Justine Dr	Annandale	VA	22003	USA	Civil Rights							
Foodbank Of Southeastern Virginia	http://www.foodbankonline.org	(757) 627-6599	EIN 52-1219783	800 Tidewater Dr	Norfolk	VA	23504	USA	Food,Food Banks & Pantries,Food Programs	Leading the effort to eliminate hunger in our community.					Norfolk food distribution- during fy15, the norfolk warehouse and our partner agencies provided over 19. 4 million pounds of food and grocery products (equivalent to 16. 2 million meals) to more than 443,000 individuals in the cities of chesapeake, franklin, norfolk, portsmouth, suffolk, virginia beach and the counties of isle of wight, southhampton, and sussex.  eastern shore food distribution and thrift store - during fy15, the eastern shore food distribution and thrift store warehouse and our partner agencies provided over a million pounds of food and grocery products (equivalent to 876,275 million meals) to more than 11,000 individuals on virginia's eastern shore. The thrift store helped to support the food distribution and also provided free goods for families in emergencies.  child nutrition - during fy15, our kids cafe sites served almost 211,000 nutritionally-balanced meals and over 90,000 snacks to almost 2,400 children in 17 safe and supportive after-school site; plus 15 summer feeding programs throughout southeastern virginia and on virginia's eastern shore. During fy15, our 52 backpack schools distributed over 61,000 bags of nutritious food to 3,474 food insecure children before weekends and school breaks.  mobile pantry - is a distribution program that distributes food to individuals at offsite locations in our service area. It is basically a food pantry on the road distributing a variety of products such as dry goods, bread, meat, and produce. During fy15 the foodbank distributed 1,395,490 million pounds of food to over 24,300 individuals in the cities of chesapeake, franklin, norfolk, portsmouth, suffolk, virginia beach and the counties of accomack, north hampton, isle of wight, southhampton, and sussex.	
National Asociation Of Women Mbas	http://www.mbawomen.org	(888) 466-4622	EIN 20-3906991	Po Box 366	Ivy	VA	22945	USA	Unknown	The nawmba is a not for profit organization dedicated to empowering women business professionals to propel more women into leadership positions in corporate america, and to enhance the diversity of the nation's workforce. We do this by:-forgoing partnerships with universities and corporations. -empowering and developing women through high quality leadershipdevelopment opportunies. -offering resources and support through a strong national network ofbusiness women.					During the year, more than 2,500 people participated in a variety of programs across the nation. Our members took advantage of the following products and services. Exclusive and/or discounted admission to local and regional nawmba events, such as networking events with fellow nawmba members, live training seminars and speaker events featuring highly respected local leaders. Career and leadership focused webinars providing additional valuable job and professional development content. Nawmba career center connecting employers and job seekers through an online platform. Attendance at the nawmba annual conference and career fair. An intensive multi-day conference filled with networking opportunities, employment prospects, career and personal development breakout sessions, inspirational speakers, and functional learning tracks. 12-month subscription to bloomberg businessweek, a highly rated publication that delivers the business and financial information, news and insights. In addition to online services, nawmba serves the u. S. Through university and city based chapters. City-based, professional chapters have been established in atlanta, boston, dallas, houston, los angeles, louisville, washington d. C. , minneapolis-st. Paul, nashville, new york city, phoenix, pittsburgh, san diego and seattle.	
Community Health Charities	http://www.healthcharities.org	703-528-1007	EIN 13-6167225	1240 N Pitt Street 3rd Floor	Alexandria	VA	22314	USA	Federated Giving Programs,Health,Philanthropy	To unite caring donor in the workplace with our nation's most trusted health charities.	Over the past 5 years, Community Health Charities has raised more than $330 million from generous employees in the workplace to fund the missions of respected and accountable member health charities.			United State of America	Engagement 365, which consists of 1) Health Matters at Work 2) Volunteer Matters 365 3) Give Matters 365.	
The Motherhood Collective	http://www.themotherhoodcollective.org	434-444-4482	EIN 45-5553159	4720 Doyle Ter	Lynchburg	VA	24503	USA	Civil Rights,Counseling,Mental Health,Women,Womens Rights	NURTURING THE MOTHER TO GROW THE CHILD THROUGH EDUCATION AND SUPPORT. ADVOCATING FOR A CULTURAL CHANGE BY CONNECTING WOMEN FROM PRECONCEPTION THROUGH POSTPARTUM TO EACH OTHER AND THEIR COMMUNITIES.		WOMEN FROM PRECONCEPTION THROUGH POSTPARTUM		CENTRAL VIRGINIA	THE CAFE | THE CAFE EXPRESS | PLAYGROUP | PPMD SUPPORT GROUP | GRIEF SUPPORT GROUP	
Rx Drug Access Partnership	http://www.rxpartnership.org	(804) 377-1057	EIN 57-1186937	2924 Emerywood Pkwy Ste 300	Richmond	VA	23294	USA	Health,Health Support	Rx partnership is a public/private partnership which exists to increase access to medication for virginia's vulnerable populations and serve as a resource to the organizations that support these populations.					Rxp solicits free medications in bulk from pharmaceutical companies and arranges for their distribution directly to nonprofit, licensed affiliate pharmacies which it credentials and monitors. These pharmacies are typically operated by free clinics and community health centers. Rxp does not have a pharmacy or distributor's license, nor does it maintain a warehouse. In fiscal year 2015, the 22 rxp affiliate clinics received medication with a retail value of more than $16. 9 million. This medication assisted over 12,750 unduplicated patients with 62,500 prescriptions.	
National Safe Boating Council Inc	http://www.safeboatingcouncil.org	(703) 361-4294	EIN 23-7424720	9500 Technology Drive Suite 104	Manassas	VA	20110	USA	Disaster Aid,Safety Education	Be the foremost coalition to advance and promote a safer recreational boating experience through education, outreach and training.	People can access the NSBC's Annual Reports at http://www.safeboatingcouncil.org/annual-reports.The NSBC's Wear It! life jacket campaign continues to have a positive impact on boater behavior: http://www.safeboatingcampaign.com/resources/research.	promote safer boating through education, outreach, and training		nationally	campaigns and initiatives designed to provide resources and information on safer boating.	
Offender Aid and Restoration of Arlington County (OARA), Inc.	http://www.OARonline.org	703-228-7030	EIN 54-1024562	1400 N Uhle St Ste 704	Arlington	VA	22201	USA	Crime & Law,Inmate Support,Prison Alternatives,Rehabilitation Services for Offenders		Since July 1, 2009 to December 31, 2009 OAR has served 1,393 clients through community service coordination, education services (281 clients), transportation assistance (505 tokens, metro cards, bus tickets), food assistance (108 clients), housing assistance (140 homeless clients), employment assistance (246 clients), and job placement (62 clients) among other services.		2,300	County of Arlington, Cities of Alexandria and Falls Church, Washington DC	OAR provides programs in the areas of: Community Service; Educational and Instructional Programming (pre & post-release); and Employment andReentry Services (post-release). All of our programs aim to prepareoffenders and ex-offendersto re-enter society as productive, educated and responsible members of society and to assist their families. OAR provides community service placement, educational and vocational courses, case management, referrals, and scholarships to offenders and ex-offenders.	
Our Military Kids Inc	http://www.ourmilitarykids.org	703-734-6654	EIN 56-2483648	6861 Elm St. Suite 2A	McLean	VA	22101	USA	Children & Youth,Philanthropy,Public Foundations	Our Military Kids provides substantial support in the form of grants to the children of National Guard and Military Reserve personnel who are currently deployed overseas, as well as the children of Wounded Warriors in all components and branches of military service. The grants from Our Military Kids pay for fees associated with athletic, fine arts, and tutoring programs. Keeping the children engaged in activities of their choosing, helps to relieve the stress of separation from the military parent by providing a positive distraction, minimizing emotional destabilization, building self confidence and enabling academic achievement.	Through the generosity of its donors, Our Military Kids has provided nearly 53,000 grants totaling $21M to military children living in every state and U.S. territory. Parents have reported through periodic surveys that 80% noticed an increase in stress or anxiety in their children during deployments and 89% indicated that participation in the activity positively impacted their children by reducing some/all of their symptoms of stress.  In addition, 99% reported that participation significantly contributed to the overall well-being of the entire family.For every dollar donated, 93 cents directly supports a child.	Military children aged 3 through 18 years of age.	Provided grant awards to cover fees for 3,500 military children.	Nationwide	sports, arts, camps and academic tutoring.	
One Voice Chorus Inc	http://onevoicechorus.org	(804) 898-9202	EIN 41-2132574	O E 4th St Studio 52	Richmond	VA	23224	USA	Arts & Culture,Civil Rights,Intergroup & Race Relations,Music,Race,Singing & Choral Groups	Choral music racial reconciliation and education.					Choral music performances included 5 performances of 3 major concerts for diverse audiences.  outreach and education events included community conversations prior to major concert performances, as well as performances for 2,100 people at events hosted by a wide variety of organizations: cultureworks, first unitarian universalist church, hope in the cities, the maymont foundatiion, richmond symphony, science museum of va, richmond behavioral health center, and westminster canterbury retirement community.  cultural diversity: an interracial chorus of more than 120 singers echoes the cultural diversity of richmond, va. Singers join the chorus without audition, and intensive weekly rehearsals build relationships across cultural barriers, and produce remarkably excellent performances by any standard, but particularly for a "y'all come" chorus. Program expenses not specific to rehearsing and producing major concerts and outreach appearances included overall program development and chorus communications.	
