name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Geographic areas served	Programs	Direct beneficiaries per year	Education 	Improving Grades & GPAs:	Improving Physical Fitness & Health:	Juvenile Drop out Prevention:	Activities that Strengthen Families
Charlotte Community ToolBank	http://charlotte.toolbank.org/	704-469-5800	EIN 27-1602981	2513 South Tryon Street	Charlotte	NC	28203	USA		The Charlotte Community ToolBank equips agencies for success by putting high-quality tools in the hands of volunteers-who are painting schools, building wheelchair ramps, landscaping public spaces, and more-while empowering agencies to perform more ambitious, more meaningful and more frequent service projects for those they serve.	As of year-end 2013, ToolBank has delivered more than $911,000.00 in tools and equipment to more than 2,600 service projects, with local agencies absorbing no more than 3% of the associated costs.  ToolBank has helped transform the volunteer experience for 52,000 volunteer and more than 200 not-for-profit organizations and schools locally.	tax exempt organizations, schools, neighborhood associations, faith-based groups, civic organizations, government agencies.	the Charlotte metro-area and surrounding counties.	a tool lending service used by not-for-profit organizations tackling charitable projects in our community.	250+ not-for-profit organizations and schools locally.					
Canines for Service	http://www.caninesforservice.org	910-362-8181	EIN 56-2118747	PO Box 12643	Wilmington	NC	28405	USA	Blind & Visually Impaired Centers, Disabilities, Education, Health, Health Care, Human Services, Primary & Elementary Schools	Canines for Service is dedicated to empowering people with disabilities to achieve greater independence and enhanced quality of life and improving people's lives through the services of specially trained dogs.	Canines for Service, Inc. (CFS) provides people with disabilities independence and improved quality of life through the placement of quality trained service dogs.  Founded in 1996, CFS has provided over 85 service dogs since the first placement in December 1999 and trained over 1800 pet therapy teams.  CFS provides services within a 10 hour driving distance from Wilmington, NC to non-Veterans and nationwide to Veterans.  All of the dogs in the service dog program are rescued from shelters. The three phase training process takes up to three years and a fully trained service dog is valued at $40,000.  The client does not pay a fee for a CFS service dog.	people with mobility limitations and Veterans with mobility, TBI and/or PTS	a 10 hour driving distance from Wilmington, NC for non-Veterans and nationally for Veterans	Canines for Service, Canines for Veterans, Canines for Therapy and Canines for Literacy- accredited through Assistance Dogs International	In 2016, CFS placed service dogs with 4 Veterans which provided them with independence and improved quality of life. The Canines for Literacy teams worked in 7 schools to help children gain critical reading skills and confidence and there were over 300 pet therapy teams consistently visit  hospitals, schools, assisted living facilities, libraries, mental health facilities, hospice, etc. in multiple communities.					
Carteret County Humane Society Inc	http://www.cchsshelter.com		EIN 56-1198808	853 Hibbs Rd	Newport	NC	28570	USA	Animal Protection & Welfare, Animals	We take in all the unwanted pets in our county, work with County Animal control officers as well as community members.  We help with the over population of unwanted pets.				We take in all stray and owner turn in animals and assist in finding new forever homes.  We are the only shelter for the county and assist with all Animal Control Officers.						
Helios Warriors Inc	http://www.helioswarriors.org/	828-299-0776	EIN 80-0294606	251-D Haywood St	Asheville	NC	28801	USA	Human Service Organizations	Helios Warriors is dedicated to offering the highest quality of holistic therapies to all veterans, and their spouse or primary caregiver, in a safe and supportive environment for their physical, emotional and spiritual needs. All services are provided on a sliding scale basis, and no one in need is turned away for lack of funds.	We have served approximately 400 veterans since opening our doors in 2007.  Currently we are serving 25-30 clients each week. The veterans who have participated in our program have had overwhelmingly good things to say about the care they've received.  We help veterans heal from the traumas of their military service on a physical, emotional, and spiritual level.	veterans heal with holistic therapies	Western North Carolina	chiropractic, acupuncture, massage, reiki, health coaching, and more	25-30 veterans each week					
Forest History Society	http://www.foresthistory.org/	919-682-9319	EIN 41-0762363	701 William Vickers Ave.	Durham	NC	27701	USA	Environment, Forest Conservation	To preserve and help people use the documents of forest history. The Forest History Society identifies, collects, interprets, and disseminates historical information on the relationship of humans and forests, contributing to informed natural resource decision-making.	Currently FHS is working on our Repeat Photography Portal, a Carl Schenck documentary and will soon be starting a capital campaign to raise money for a new building as we are quickly outgrowing our current space as our collections expand.									
Friends Of Rocky Mount Animals	http://	(252) 314-7907	EIN 20-0377543	Po Box 8766	Rocky Mount	NC	27804	USA	Animal Protection & Welfare, Animals	Animal rescue / stray prevention				Animal rescue provide temporary housing to needy animals  animal rescue / stray prevention						
East Carolina University Foundation Inc	http://		EIN 56-6093187	2200 South Charles Blvd	Greenville	NC	27858	USA	Education	THE FOUNDATION RAISES, MANAGES, AND DISTRIBUTES PRIVATE RESOURCES FOR THE BENEFIT OF EAST CAROLINA UNIVERSITY, ITS STUDENTS AND ACADEMIC AND RESEARCH PROGRAMS.										
Sleep Tight Kids Inc	http://www.sleeptightkids.org		EIN 26-4410522	72 Baldwin Rd	Arden	NC	28704	USA	Human Service Organizations			Young children	Western North Carolina	newly purchased blankets, pj's, books, toothbrushes and stuffed animals.						
Supportive Housing Communities Inc	http://supportivehousingcommunities.org	(704) 335-9380	EIN 58-2067479	2120 N Davidson St	Charlotte	NC	28205	USA	Homeless & Housing, Housing Support, Human Services	Supportive housing communities, inc. Exists to provide affordable housing to alleviate homelessness and human suffering.				Supportive housing communities, inc. Owns and operates mccreesh place, a 91-unit, permanent supportive housing apartment community. In fy 2013-2014, mccreesh place provided affordable housing and support services for 119 men and women overcoming homelessness for a total of 31,211 days of housing. There were 4,625 service planning and support contacts; 465 crisis prevention and response contacts; 781 community meetings, group activities, and education/outreach sessions coordinated and facilitated by staff.						
Sacrifice Of Praise Temple Inc	http://		EIN 56-2189924	4655 Brownsboro Rd	Winston-salem	NC	27106	USA	Protestant, Religion											
STAR FOUNDATION	http://		EIN 65-1175267	4600 University Dr Apt 1207	Durham	NC	27707	USA	Children & Youth, Youth Development Programs											
Mainspring Conservation Trust Inc	http://www.ltlt.org	(828) 524-2711	EIN 56-2142199	Po Box 1148	Franklin	NC	28744	USA	Environment, Farmland Preservation, Food, Forest Conservation, Land Resources Conservation, Natural Resources Conservation & Protection	The land trust for the little tennessee				Ltlt's program work is organized around the three areas of conserve, restore, and connect. Conserve: in 2014, ltlt made four land purchases, totaling 260 acres, conveyed 40 acres to the state of nc to be managed as needmore game lands, and closed five conservation easements protecting 560 acres in three of its seven-county project area. Conservation values included 21 acres of prime farmland soil, 36,945 feet of stream frontage and 14,820 feet of u. S. Forest service boundary. Ltlt also conducted onsite monitoring of 60 conservation easements.   restore: ltlt began the clean-up of a little tennessee river brownfield site and oversaw the removal of 954 tons of contaminated soil from the floodplain. Additionally, ltlt planted 830 trees in the riparian buffer along the valley river in cherokee county on on its "welch farm" property. The property includes leased farmland, public access to the valley river, and native species propagated for wildlife and used by cherokee artisans.   connect: through 64 educational events, ltlt's citizen science/education program reached 2,192 people, 82% of whom were youth. Through many partnerships, ltlt's youth educational programs spread to five of ltlt's seven county service area. Ltlt's completed the 26th year of collecting aquatic biomonitoring data in the little tennessee river watershed to observe trends in stream health. For the second year, ltlt partnered to hold a fully attended, one-day course designed to train landowners on pro						
Reiki Education And Research Institute	http://		EIN 41-2275839	725 Providence Rd Ste 200	Charlotte	NC	28207	USA	Health, Health Support											
Girls on the Run of the Triangle Inc	http://www.gotrtriangle.org		EIN 56-2228790	1415 W Nc Highway 54 Ste 211	Durham	NC	27707	USA	Children & Youth, Girls Clubs, Recreation & Sports, Sports, Youth Development	Girls On The Run of the Triangle is an active character development program for girls that combines running and physical activity with important life lessons that focus on physical, emotional, mental and social health while building self-esteem and leadership skills.	Results showed that the new measures were reliable with our group of girls and that they could be administered in much less time than our past measures. We conducted the analyses with the sample of girls who scored below the national mean on each construct. Girls who started with lower scores on each construct showed statistically significant and meaningful improvements on the 5Cs + 1 and physical activity and sedentary behaviors. For the total sample, percentage improvement across constructs was 31-50.5%, whereas 55.4-74.1% of girls improved who began with lower pre-season scores. Findings provide evidence that the new measures are appropriate for evaluation going forward with girls ages 7-13 years and that Girls on the Run is having a positive impact on youth development, particularly for girls who need the program the most.	girls ages 8-13	Wake, Durham, and Orange Counties in North Carolina	characther development and physical activity to activate their limitless potential and become joyful, healthy, and confident.	1,550 girls on over 100 teams located in schools and partner organizations all across the Triangle region.					
Carolina Tiger Rescue	http://		EIN 56-1522499	1940 Hanks Chapel Rd	Pittsboro	NC	27312	USA	Animals, Wildlife Sanctuaries	Saving and protecting wildcats in captivity and in the wild.	Carolina Tiger Rescue provides homes to over 70 animals, many of them rescued from the pet trade.  We provide educational tours to 13,000 adults and kids each year, increasing awareness about the plight of wildcats in captivity and in the wild.			Educational Tours, Eco-cell recycling program, Internships, Community Service Opportunities, Adoption Program, Membership Program						
4 THE WORLD	http://www.4theworld.org	(919) 278-7584	EIN 75-3147466	404 Butler Dr.	Garner	NC	27529	USA	Children & Youth, Community & Neighborhood Development, Economic Development, International, International Development, Youth Development Programs	We are providing vital educational resources such as computers, books, school supplies, computers and construction materials as well as providing feeding centers and computer labs to improve enrollment in the schools. We are also conducting ESL classes, AIDS HIV Awareness programs and Disaster preparedness information and planning.		improve education and health	communities around the world	4 the World's Scholarship Program, refurbishing schools in Belize and Guatemala	5000+students, refurbished 7 schools					
Amped 4-A-Cure, Inc	http://www.amped4acure.org	704-900-6218	EIN 27-0302746	1000 NC Music Factory Blvd. Suite C3	Charlotte	NC	28206	USA	Breast Cancer	To raise funds to support cancer research, prevention and early detection  through the universal language of music	-Winner of Ning (www.ning.com) Creators Contest for our Amped Nation site. -Winner of BEST LOCAL CHARITY from Elevate Lifestyle Magazine (www.elevatelifestyle.com) 2010, 2011 and 2012	Anyone that wishes to help eradicate all types of cancer by banding together with us in supporting and raising funds for cancer research using the universal language of music as a vehicle to raise awareness and increase support.	Southeastern US-Worldwide	Amped Fitness, Music That Heals, Amplified Concert Series, An-Apple-A-Day	AACR (American Association of Cancer Research), Presbyterian and Carolinas Medical Center Healthcare systems					
