name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Geographic areas served	Programs	Target demographics	Direct beneficiaries per year	Results	DomesticViolence Emergency Shelter
Women's Aglow Fellowship	http://www.aglow.org/		EIN 51-0238704	320 Barataria St	Lockport	LA	70374	USA	Christianity, Religion	Aglow International is an intercultural transdenominational organization of Christian women with more than 3,500 fellowships in more than 151 nations. Our mission is to lead women to Jesus Christ and provide opportunity for Christian women to grow in their faith and minister to others. Aglow's vision to impact the lives of women worldwide is expressed in the strategic focuses of: Prayer, Evangelism, Relationship, and Reconciliation.						
Truth Ministries, Inc.	http://		EIN 72-1379039	47433 Singing Hill Rd	Hammond	LA	70401	USA	Protestant, Religion							
Temple Enrichment Center Inc Non-Profit	http://		EIN 20-1100132	2836 Exposition  Ave	Shreveport	LA	71109	USA	Children & Youth, Community Foundations, Education, Educational Services, Philanthropy, Youth Community Service Clubs	Our Mission statement is to foster economic social development by providing: Computer Literacy Training, Youth & Adult financial education, After-School tutorials/GED classes, Teaching Employment and job service skills, Teaching Entrepreneurial skills, and we serve as an USDA Food Distribute Pantry.						
LAFAYETTE COMMUNITY HEALTH CARE CLINIC	http://lchcc.net/		EIN 72-1221982	1317 Jefferson St	Lafayette	LA	70501	USA	Health, Public Health		Lafayette	out-patient medical services, GYN clinics, dental clinics, and pharmaceutical services, all at no cost to our patients.	provide health care to the working uninsured			
Cultural Crossroads Of Minden Inc	http://artsinminden.com	(318) 377-9200	EIN 72-1287064	Po Box 1393	Minden	LA	71058	USA	Arts & Culture	Promote arts & culture in the community		Minden spring arts festival - 3 day outdoor festival festival offers free instructional art programs for area elementary children by professional artists. Total individuals benefit > 2,500				
ST.MARK INSTITUTE OF HEALTH SCIENCES ltd	http://www.stmarkinstitute.org	+256783452511	EIN 	kyengera masanda wakiso	Kampala		71474	Uganda		Enhancing the life of orphans and PH As through parental care, guidance and education.	10 kilometers		Children from 6months-18 years old	1000	bought land  1 acre,so far we are helping 100 children in education, carrying out fund raising, we have built 3 class room block	
New Orleans Faith Health Alliance	http://www.nofha.org	504-486-8585	EIN 26-2665118	3401 Canal Street Suite 200 NE	New Orleans	LA	70119	USA	Community Clinics, Health, Hospitals	To provide quality, affordable primary care to working uninsured and their families.	Greater New Orleans Area	Provide affordable healthcare services to working uninsured individuals and families in greater new orleans. In addition to providing primary care services, the organization provides health coaching/nutrition education to all patients. However, those who are diabetic or hypertensive are strongly encouraged and recommended to work with the health coach/nutrition educator to develop an individual health plan. We logged over 1,000 visits in 2012 and continued to provide individual support to all patients making lifestyle changes for improved health. 100% of the hypertensive patients that worked with the health coach/nutrition educator improved their blood pressure over the year. The organization also provides blood pressure screenings, flu vaccines and health education in the community at health fairs, schools and in the workplace.				
Thibodaux Area Christmas Toy Dr	http://		EIN 72-1344564	Po Box 1014	Thibodaux	LA	70302	USA	Gift Distribution, Human Services							
Bpcc Foundation Inc	http://www.bpcc.edu/foundation	(318) 746-9851	EIN 72-1393535	6220 E Texas St	Bossier City	LA	71111	USA	Philanthropy, Public Foundations	The purpose and mission of the bpcc foundation is to host fundraising events and activities to raise monies that will assist the bossier parish community college in the following manner: to provide additional student scholarships, to sponsor faculty and staff professional development workshops, and to support the athletic programs. Organized in 1997, the bpcc foundation, inc. Was designed for the purpose and mission of engaging in educational, scientific, literal, benevolent, and charitable works exclusively for bossier parish community college. The fundamental purpose of the foundation is to promote the educational and cultural welfare of bossier parish community college, to improve the college's facilities so as to provide broader and educational advantages and opportunities, to encourage educational advancement, and to increase the college's usefulness to the citizens of louisiana.		Bossier parish community college scholarships for students selected by the college  bossier parish community college faculty and staff development  bossier parish community college chancellor's fund expense				
Relief Fund Of The Louisiana Dental Association	http://		EIN 72-6031859	7833 Office Park Blvd	Baton Rouge	LA	70809	USA								
Glad Tidings Church Ministries	http://		EIN 72-1297848	1886 Missile Base Rd	Stonewall	LA	71078	USA	Protestant, Religion							
Shreveport-Bossier Rescue Mission	http://www.sbrescuemission.com	(318) 227-2868	EIN 23-7050551	901 Mcneil St	Shreveport	LA	71101	USA	Homeless & Housing, Homeless Shelters, Housing Development, Construction & Management, Mental Health, Substance Abuse Treatment	The shreveport-bossier rescue mission, inc. Exists to pursue the passion of jesus christ to lift up the hungry, homeless, abused, and addicted.		The shreveport-bossier rescue mission has four facilities: the housing facility; a warehouse facilty where residents learn job skills like welding, furniture refinishing, and automotive skills; the thrift store which supports the rescue mission's work; and a work program housing facility. The shelter has free medical and dental clinics for the homeless residents which is staffed by volunteer health care professionals. Other services include: chapel services, discipleship training, work assistance, homeless intervention services, and women and family services.   thrift store and enterprise operations: supports the rescue mission's work and provides training for individuals.				
St Martin Humane Society	http://www.stmartinhumane.org	(318) 680-1267	EIN 72-1443714	Po Box 64	Breaux Bridge	LA	70517	USA	Animal Protection & Welfare, Animals	Assist in numerous rescues of animals by getting them medical attention and fostering them until adopted.		Assist in numerous rescues of animals by getting them medical attention and fostering them until adopted.				
Camp Fire, Inc. Sowela Council	http://www.campfireusa.org/		EIN 72-6001355	2126 Oak Park Blvd Sowela Council	Lake Charles	LA	70601	USA	Boys & Girls Clubs, Camp Fire, Children & Youth	Camp Fire USA's mission is to build caring, confident youth and future leaders.						
Unity In The Community Uitc	http://		EIN 72-1288679	3763 Lorraine St	Baton Rouge	LA	70805	USA	Protestant, Religion							
Inner-City Revitalization Corporation	http://www.innercityrevitalization.org		EIN 72-1402559	1902 Main St	Alexandria	LA	71302	USA	Homeless & Housing, Housing Search Assistance	Providing clean, healthful, safe and affordable housing for low income families.		Olive house - transitional housing and other low income rental housing  building of single family residences for sale to low income individuals and families.				
Shreveport Medical Education And Research Fund	http://		EIN 72-6030744	736 W Lakeshore Dr	Benton	LA	71006	USA								
Bbb Consumer Education Foundation A Non-Profit Corporation	http://	(225) 346-1162	EIN 58-1716864	748 Main St	Baton Rouge	LA	70802	USA		Consumer education		Distribute consumer education materials (more than 15,000) to businesses and two trade shows, 20 speaking engagements, and better business bureau members. Issued 35 scam alerts to the public via printed media and 52 interviews on local radio and television broadcasts on consumer tips. Awarded $1,000 scholarship to a local high school senior. Consumer id theft protection event shredded 13 tons of personal documents for the public free of charge.				
Plaquemines Animal Welfare Society	http://	(504) 392-1601	EIN 46-0519776	Po Box 83	Belle Chasse	LA	70037	USA	Animal Protection & Welfare, Animals	Rescue shelter for adoption of cats and dogs.		Rescue shelter for adoption of cats and dogs.				
Awesome Ladies Of Distinction	http://		EIN 72-1495894	3848 Irwin Kuntz Dr	Harvey	LA	70058	USA	Children & Youth, Youth Development							
Spiritual Assembly Of The Bahais Of East Baton Rouge Parish	http://		EIN 72-1162884	Po Box 84864	Baton Rouge	LA	70884	USA								
Junior League Of Alexandria Inc	http://		EIN 72-6027983	Po Box 13086	Alexandria	LA	71315	USA	Women, Womens Service Clubs	USED CLOTHING SALES-DONATED CLOTHING IS SOLD TO LOW INCOME AND ECONOMICALLY DISADVANTAGED INDIVIDUALS AT BELOW MARKET PRICES VARIOUS EDUCATIONAL COMMUNITY RELATED EXPENSES DESIGNED TO INFORM AND EDUCATE THE PUBLIC AND BUILD LEADERSHIP SKILLS AND PROMOTE VOLUNTEERISM						
Vermilion Parish Council On Aging	http://	(337) 893-2563	EIN 72-0742247	Po Box 543	Abbeville	LA	70511	USA	Human Services, Senior Centers, Seniors	To deliver services to the elderly of vermillion parish. We are the designated agency (in affiliation with regional & state agencies) for meal services,senior center, homemaker, transportation and similar services to the aging.		All programs are designed to deliver services to the elderly of vermilion parish. We are the designated agency centers, homemaker and transportation services to the elderly. Allcosts are either direct or indirect.				
Chorale Acadienne Inc	http://www.choraleacadienne.com		EIN 72-0898404	Po Box 53868	Lafayette	LA	70505	USA	Arts & Culture, Singing & Choral Groups			The Fall Concert, Spring Concert and Christmas at the Cathedral are the three concerts making up the Chorale Acadienne annual season. The musical soirees are evenings of music in the homes of our supporters. The Children's Chorus is a group of young people that performs at their own concerts, as well as come of the Chorale Acadienne programs.				
Oakdale Apostolic Church Inc	http://		EIN 72-1122840	503 W Santa Fe St	Oakdale	LA	71463	USA								
Iberville Foundation For Academic Excellence Inc	http://	(225) 687-4494	EIN 72-1224000	Po Box 672	Plaquemine	LA	70765	USA	Education, Parent & Teacher Groups	To invest directly in the work of individual teachers and schools through grants for innovative ideas and programs for the public schools of iberville parish		Provision for grants to teachers, schools, and other educational institutions in iberville parish				
Baromedical Research Institute Ltd	http://		EIN 72-0940152	17 Carriage Ln	New Orleans	LA	70114	USA		MEDICAL RESEARCH TO LEARN MORE ABOUT THE EFFECTS OF HYPERBARIC OXYGEN THERAPY ON TRAUMATIC BRAIN INJURY AND POST TRAUMATIC STRESS DISORDER.						
Restoration Pregnancy Resource Center Inc	http://www.resthse.org	(985) 542-0492	EIN 58-1753800	101 S Spruce St	Hammond	LA	70403	USA		Protecting life and restoring hope through education to expectant mothers and their families		Young women are provided education in assisting them with unwanted or				
Employment Development Services Inc	http://www.edsla.com	(225) 927-1610	EIN 72-1104540	Po Box 15447	Baton Rouge	LA	70895	USA	Job Training, Vocational Rehabilitation	To serve as the state of louisiana's central agency for the acquisition and execution of work contracts to facilitate employment of persons with disabilities.		Arrange contracts for employment of the handicapped through the louisiana state use program. There were approximately 1,400 individuals with severe disabilities that were served. Eds served 75 community rehabilitation programs during the fiscal year ending june 30, 2015.				
Manners of the Heart	http://www.mannersoftheheart.org	225.383.3235	EIN 68-0531760	763 North Boulevard	Baton Rouge	LA	70802	USA	Education, Parent & Teacher Groups, Primary & Elementary Schools	Our mission is to help children see beyond themselves so they can become all they are meant to be.	schools across the country	Manners of the Heart Elementary Character Curriculum PreK-5 Manners at the Table Elementary Etiquette Curriculum K-5  Leaders by Example High School Character Curriculum  Teacher In-service Training  PreK-12  Raising Respectful Children in a Disrespectful World Parenting book  Raising Unselfish Children in a Self-Absorbed World Parenting book  Parent/Grandparent Workshops & Conferences  Keynote and Conference Speaking National Media Contributors	children see beyond themselves to become all they are meant to be	4000+ students, locally. Countless, nationally.	MOH Impact from our founding:  95,000+ copies of our 3 parenting books distributed; 79,500 elementary children - Manners of the Heart curriculum;  18,600+ parents attended a parenting seminar;    6,000+ teachers - Teachers by Example, in-service training;    5,265+ high school students - Leaders by Example;   4,655+ business professionals - The Business of Manners;   1,876 Manners of the Heart curriculum kits distributed;   1,500 pages of material in 8 teaching manuals;         50 states and 5 countries have used our programs	
Cerebral Palsy Association Of Greater Baton Rouge Inc	http://www.mcmainscdc.org	(225) 923-3420	EIN 72-0459036	1805 College Dr	Baton Rouge	LA	70808	USA	Developmentally Disabled Centers, Disabilities, Down Syndrome, Health, Rehabilitative Care	The mission is to identify and treat children with cerebral palsy developmental delays and learning disabilities to enable them to reach their potential and to function as independently as possible.		The organization provides therapeutic services to children with cerebral palsy, developmental delays, and learning disabilities.	We serve children birth-18 years old who have cerebral palsy, developmental delays, and learning disabilities, and syndromes such as Retts and Down syndrome in the greater Baton Rouge area.			
Pelican State Youth Movement	http://www.pelicanstateyouth.org		EIN 05-0563080	709 White Ave	Bastrop	LA	71220	USA	Children & Youth, Youth Centers & Clubs, Youth Community Service Clubs	Our mission is: To better prepare our youth for the many challenges they will face in their everyday lives, while also enhancing the overall development of our communities as a whole.  PSYM is dedicated to providing our youth the critical foresight needed to heighten their awareness, stimulate their motivation, and focus their attention towards obtaining total preparedness. Our youth must realize the vital importance of "preparedness" in order to overcome the sometimes devastating factors of life, that too often, prevent many from reaching their fullest potential today and in their future lives.  Our goal is to help our youth to become successful and contributing members of our society.  And most importantly, become "positive" role models for other aspiring youth today, as well as those in future generations to come.Each component of our program is designed towards making a positive impact in the lives of all youth participants, while also enhancing the overall development and relationship among our ethnic, our elderly, and our business and government communities as a whole.						
Club Twelve	http://		EIN 72-0810508	1695 Beaumont Dr	Baton Rouge	LA	70806	USA	Mental Health, Substance Abuse Treatment							
Affordable Family Homes	http://www.affordablefamilyhomes.org		EIN 20-0007913	3820 Orleans Ave	New Orleans	LA	70119	USA	Homeless & Housing, Housing Development, Construction & Management	The purposes for which the corporation Affordable Family Homes was organized is to build housing that are affordable for people from Low to Medium income; and for all purposes for which corporations may be formed under Louisiana Nonprofit Corporation Law not inconsistent with the appropriate provisions of the Internal Revenue Code. Said corporation is organized exclusively for charitable, religious, educational and scientific purposes, including for such purposes, the making of distributions to organizations that qualify as exempt organizations under section 501 (c) (3) of the Internal Revenue Code, or the corresponding section of any further federal tax code. Since the Katrina Hurricane we are focusing on providing houses for the New Orleans Katrina victims that qualify under our program.						
Bayou Research Institute	http://	(225) 383-5554	EIN 72-1434742	442 Europe St	Baton Rouge	LA	70802	USA	Crime & Law							
Power Of Teens	http://		EIN 20-8666712	1955 Bayou Bend Dr	Bossier City	LA	71111	USA	Children & Youth, Youth Development Programs							
Parks & Recreation Commission Of Carencro Inc	http://		EIN 72-1249608	Po Box 339	Carencro	LA	70520	USA		RECREATION FOR THE CITY OF CARENCRO						
U S Naval Sea Cadet Corps Baton Rouge Inc	http://		EIN 72-1421051	Po Box 86472	Baton Rouge	LA	70879	USA	Children & Youth, Youth Centers & Clubs							
Housing Corporation Of Acadiana Inc	http://	(337) 406-8500	EIN 72-1403747	415 Guilbeau Road	Lafayette	LA	70506	USA	Human Services, Residential Care & Adult Day Programs	Provides housing to low income, elderly, and disabled individuals, which is subsidized by hud section 8 rental assistance payments.		Provides housing to low income, elderly, and disabled persons under section 811 of the national housing act under an agreement with the department of housing and urban development. 22 units are available for occupancy and 21 units were occupied for the entire year, 264 people being served.				
Grace Harbour Community Church Inc 1950 Hwy 190 E	http://		EIN 58-1867944	Po Box 1623	Hammond	LA	70404	USA								
TANKPROOF	http://attb.us/tankproof	225-939-0931	EIN 47-2705011	15114 Woodstone Dr	Prairieville	LA	70769	USA	Children & Youth, Sports, Swimming & Other Water Recreation, Youth Community Service Clubs	TANKPROOF Mission is to teach the GIFT of swimming to children ages 3-18 without cost to them. Drowning is the number 1 cause of death for children. With proper water techniques, this could be avoided.	EAST BATON ROUGE, IBERVILLE AND ASCENSION PARISHES OF LOUISIANA	WATER SAFETY, HEALTH, EXERCISE AND NUTRITION - EACH CHILD CAN BE WELL ROUNDED.	CHILDREN LEARN THE GIFT OF SWIMMING TO PREVENT DROWNING.	400 CHILDREN	Since 20111, Tankproof has trained over 1200 children and given them the GIFT of swimming.	
St Marys Residential Training School Charitable Tr	http://		EIN 72-1130448	PO Box 61260	New Orleans	LA	70161	USA	Named Trusts, Philanthropy							
The Samaritan Center Inc	http://www.samcen.org	(985) 626-4457	EIN 58-1882948	402 Girod St	Mandeville	LA	70448	USA	Emergency Assistance, Human Services	To be a christ centered organization which serves the physical and spiritual needs of people in wester st tammany parish through emergency intervention and christian partnerships		The samaritan center procdes emergency food, clothing and help with utility expenses as well as transportation assistance, school shoes and supplies for children, medical care, and a host of other daily needs of low income individuals and families.				
CREDIT ANGEL FOUNDATION	http://www.creditangelfoundation.jimdo.com	3182263247	EIN 90-0998689	7500 YOUREE DR	SHREVEPORT	LA	71105	USA		Credit Angel Foundation (CAF) is a non-profit, faith-based foundation that aides in the prevention of homelessness. CAF has been serving the Shreveport/Bossier area and surrounding communities for over three years. Our founder, Mrs. Shunta Hall, has been fully self-funded with the help of loyal community partners. As CAF has grown with more clients needing our services, so has our need for sponsorship! We provide assistance to those in need with eviction notices, utility deposits, utility bill assistance, and school uniforms. We host an annual coat drive for children and elders coordinated with other community businesses. Our most recent act of service in the community is providing a meal each Friday, to our friends at Hope Connections. Hope Connections, along with several agencies in the area send clients to us on a daily basis who are facing homelessness without assistance with these vital services. It can be heartbreaking to turn away a family that we can not offer aide to. Needless to say, Credit Angel Foundation offers many services to assist the growing needs in our community. In order for us to continue to provide these very vital housing and human service needs, were asking for your support. We are requesting from you as a community partner, a financial commitment of either one-time or monthly. Additionally, your help in providing in-kind donations in goods or services to support our efforts, to provide assistance to those we serve. ~Shunta Hall	The Shreveport Bossier Area	spiritual support group free access to school uniforms free access to school supplies Feed the homeless(Thanksgiving ) Deliver coats to nursing home and children	provide assistance with disconnections, deposits, and provide coats to the elderly and youth.	400 families, 30 agencies		
Grace Community Church Inc	http://		EIN 72-1227408	62300 Russell Town Rd	Roseland	LA	70456	USA	Correctional Facilities, Crime & Law, Education, Mental Health, Residential Mental Health Treatment, Secondary & High Schools	Grace House, foudned in 1999, grew out of the need to help troubled teens who were dealing with life controlling problems such as substance abuse, behavior problems, and juveniles problems. Many of these boys were brought to us after having been expelled from school or having failed because of these issues. Grace House was developed as a residential program that would house this teen for an extended period of time 1 - 2 years. Through educational and remedial work, through extensive counseling and therapy, and through family counseling, through recreational activities, and through family type dynamics we have been able to redirect these boys. Part of our success has been in educating parents on how to be better parents and how to cope with these issues. Our boys are now on the honor role at school and most have plans to attend college. Our goal is to return the boy to his home after having redirected the boy and changed the home.						
Looziana Basset Rescue Inc	http://www.bayoubassets.petfinder.org	(504) 884-7488	EIN 72-1515888	165 E Oakridge Park	Metairie	LA	70005	USA	Animals, Wildlife Preservation & Protection	Dog rescue and placement		Dog rescue and placement				
Childrens Cup	http://	(225) 673-4505	EIN 42-1385361	Po Box 400	Prairieville	LA	70769	USA	Christianity, Religion	Children's cup purpose is to bring children out of the cycle of poverty to become contributors to their communities as leaders and business people.		4. 3 million meals service in africa in 2014 (food and water). 10,000 children in africa received medical, psycho-social, and skills training assistance.				
Hope Connections Inc	http://www.nwlahope.org	(318) 670-4591	EIN 72-1476208	2350 Levy St	Shreveport	LA	71103	USA	Emergency Assistance	Provide assistance to homeless individuals and families as well as serve as the coordinating agency in northwest louisiana for all homeless services.		Hope connections - a day shelter that specifically serves those who are experiencing street homelessness in shreveport-bossier. The program provides shower faciliies, laundry facilities, telephone service and mail receipt services. Program also helps connect homeless individuals with other service providers in northwest louisiana.   omh grant - to provide homeless assistance through locating housing and payment of utility expenses. Also provides for outreach to persons who are homeless and living on the streets.   service as coordinating agency for homeless programs in northwest louisiana.				
Arna Bontemps Foundation Inc	http://		EIN 72-1130232	1327 3rd St	Alexandria	LA	71301	USA	Unknown							
United Church Of God-New Orleans	http://		EIN 72-1296216	Po Box 640427	Kenner	LA	70064	USA	Protestant, Religion							
