name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Results		We Provide Essential Resources.	We Advocate for Change.	We Counter the Marriage-Only Movement.	We Educate People About the Issues.	Honor Them Foundation, Inc. 	All gave some and some gave all.
Conservation Northwest	http://www.conservationnw.org	800-878-9950	EIN 94-3091547	1208 Bay St #201 Suite 201	Bellingham	WA	98225	USA	Environment, Forest Conservation, Natural Resources Conservation & Protection	Conservation Northwest protects and connects old-growth forests and other wild areas from the Washington Coast to the BC Rockies, vital to a healthy future for us, our children, and wildlife.			Washington, Idaho, BC, Oregon	We contintued to work for and secure conservation easements in the columbia highlands; an area in northeast washington where we are working in partnership with timber industry leaders, private landowners, small business owners, public agencies, conservation and recreation groups, and community leaders to conserve thousands of acres of wildlife habitat on both public and private lands.   we continue to protect old-growth forests on state and federal lands and focus the forest service on practices that restore habitat value to plantations while generating social benefits.   we continued to make strides to help wolves gain acceptance around the state and helped design a state wolf plan which was adopted by the washington fish and wildlife commission. We hosted a standing room only wolf forum in seattle, and other events. Finally, our wolf program director jasmine minbashian helped film a bbc special on the return of wolves which also aired on the discovery channel in spring 2012.	Through creative and effective strategies, Conservation Northwest has protected hundreds of thousands of acres of wildlands, wildlife habitat, and old growth, and touched thousands of lives throughout the greater Northwest since our founding in 1989.   BY THE NUMBERS: ~Helped introduce 100 fisher to the Olympic Peninsula 70 years after they were hunted to local extinction ~Are tracking and advocating for at least 2 packs of WA's returning ecosystem members: gray wolves! ~Hundreds of wildlife caught on film with our unique citizens monitoring project to support science-based advocacy. ~Loomis Forest Fund: 25,000 acres saved in prime lynx habitat  ~The Cascades Conservation Partnership: 45,000 acres saved in the Cascades ~More than 1 million acres in BC protected for the highly endangered mountain caribou							
Feminist Abortion Network Inc	http://		EIN 80-0302806	106 E E St	Yakima	WA	98901	USA	Health													
Lutheran School Association Lcms Of Snohomish County	http://zionls.org	(425) 334-5064	EIN 43-1966393	3923 103rd Ave Se	Lake Stevens	WA	98258	USA		Zion lutheran school operates programs and curriculum that build foundations of faith, education and service while transforming lives in christ.				Zion lutheran school operates programs and curriculum that build foundations of faith, education and service while transforming lives in christ.								
Transportation Choices Coalition	http://www.transportationchoices.org	(206) 329-2336	EIN 94-3185639	219 1st Ave S Ste 420	Seattle	WA	98104	USA	Economic Development	Transportation choices coalition is working to bring washingtonians more and better transportation choices - real opportunities to take a bus, catch a train, ride a bike, or walk.				Education of the public about alternatives to driving alone.   development of policies to support alternatives to driving alone.   lobbying to improve alternatives to driving alone.								
Trout Lake Church Of Christ	http://		EIN 94-3031407	Po Box 154	Trout Lake	WA	98650	USA														
Attain Housing (Formerly KITH)	http://www.attainhousing.org	425-576-9531	EIN 91-1481848	125 State Street Suite B	Kirkland	WA	98033	USA	Interfaith Coalitions, Religion	Bringing our community together to partner with homeless families by providing affordable housing and empowering them with practical case management and hope.	Families Experiencing Homelesssness		Kirkland & The Eastside	Transitional and permanent supportive housing, case management, and other support services including a weekly community supper, ESL/tutoring/homework helper and holiday programs.	Some of our 2015 Accomplishments   We assisted 50 households  50 adults & 103 children in our Transitional Housing & Permanent program. 86% successfully moved from transitional to permanent housing which is an outstanding outcome     Welcome Home Rent Assistance Program: 3 households were prevented from becoming homeless by providing rental assistance.   Community Supper Tuesday Evenings 2200+ warm meals served while also providing homework assistance, ESL help, mentoring and tutoring  Professional Life-Saving Case Management  creating a community network ensuring every family has adequate food & transportation, help with utilities, relevant health and community service referrals, education, life skills training needed to achieve self-sufficiency  Holiday(s) Celebration and Adopt-a-Family Program  for homeless and low income community members.  It takes a village: 77 local businesses and individuals made this a holiday to remember for many deserving folks.  Volunteers  Volunteers are a big part of Attain Housing. Almost 400 volunteers logged 1,846.6 hours in 2015! This includes everything from volunteering at our buildings or events to preparing and serving at the Community Supper.							
Malaria No More	http://www.MalariaNoMore.org		EIN 20-5664575	2341 Eastlake Ave E  Suite 200	Seattle	WA	98102	USA	International Development	At Malaria No More, we envision a world where no child dies from a mosquito bite. We use our innovative partnerships and focused advocacy to elevate malaria on the global health agenda, create political will and mobilize the global resources required to achieve malaria eradication within a generation.			Africa; Kenya; Cameroon; Japan; United Kingdom; United States									
Puget Sound Symphony Orchestra	http://		EIN 91-1997109	Po Box 20371	Seattle	WA	98102	USA	Arts & Culture, Symphony Orchestras													
Youth Dynamics	http://		EIN 91-0858312	Po Box 486	Burlington	WA	98233	USA	Camps, Children & Youth, Sports, Youth Centers & Clubs, Youth Development Programs													
Olympia School District Education Foundation	http://www.osdef.org	(360) 753-8853	EIN 91-1914331	1113 Legion Way SE	Olympia	WA	98501	USA	Education	The Olympia School District Education Foundation (OSDEF) provides programs and services to students and teachers of the Olympia School District; tackling income-related barriers to learning, connecting students with enriching opportunities. OSDEF accomplishes this through three different areas of purpose: providing teacher grants, saving and supporting outdoor environmental education and providing the resources for the Principals Emergency Checkbook Fund.	the students, teachers and principals in the Olympia School District	18 schools	Olympia, WA	Principal's Emergency Checkbook Fund, Cispus Outdoor Education, Innovative Teaching and Learning Grant, Closing the Achievement Gap Grant, Creativity and the Arts Grant, Building Character in the Classroom Grant, Meet-a-Need Grant	A summary of recent district accomplishments and awards: http://osd.wednet.edu/media/newsandnotes/4-18-14_news__notes.pdf							
Animal Aid Unlimited	http://		EIN 71-0884843	4508 Sw Massachusetts St	Seattle	WA	98116	USA	Animal Protection & Welfare, Animals													
Kittitas Interactive Management	http://		EIN 91-1985091	781 Kaynor Rd	Ellensburg	WA	98926	USA	Human Services, Residential Care & Adult Day Programs	Provide training support to access our community for developmentally disabled adults				Eleven clients provided with 24 hour care, need, and protection								
Honor Them Foundation, Inc.	http://www.honorthemfoundation.org		EIN 27-0965729	120 S Main St.	Colfax	WA	99111	USA	Human Service Organizations, Human Services, Military & Veterans Organizations, Veterans					It is our goal to send 10 returning combat veterans and their families on retreat vacations per month. Our package will consist of all charges related to the facility costs. The locations are five start resorts in North American								
Mikeys Chance	http://www.mikeyschance.com		EIN 26-3982836	PO Box 6343	Kennewick	WA	99336	USA	Animal Protection & Welfare, Animals		dogs that are at risk of euthanasia	over 125 dogs find permanent homes	the Pacific NW	Adoption to approved families and individuals.  Training of both canines and their people.  Lifetime followup to ensure the dog will never be at risk of ending up in a kill-shelter, nor homeless.								
TAPE MINISTRIES NORTHWEST	http://www.tapeministries.org	(206) 243-7377	EIN 94-3187978	840 S 192nd St	Seattle	WA	98148	USA	Protestant, Religion, Religion-Related, Religious Printing & Publishing	We offer access to the faith-based books that are often not included in the government talking book libraries.				There are 3,026 book titles in the library and 526 titles are available in digital form. 17,811 recordings were circulated to over 1,000 patrons.								
Washington State Society Of The Children Of The American Revolutio	http://		EIN 23-7170132	1107 Nw 103RD St	Vancouver	WA	98685	USA														
Angel Wings Foundation	http://www.angelwingsfdn.org		EIN 26-1268725	PO BOX 7350	Bonney Lake	WA	98391	USA	Children & Youth, Philanthropy, Youth Development	Helping people in Washington State who need it the most and expect it the least while leaving a legacy of purposeful giving	Individuals and families in Washington state who need it the most and expect it the least while leaving a legacy of purposeful giving		Washington State	Wings of Love, Legacy, and Random Acts of Kindness								
Athletes For Kids	http://		EIN 81-0552451	3020 Issaquah Pine-Lake Road #254	Sammamish	WA	98075	USA	Adult & Child Matching Programs, Children & Youth, Community & Neighborhood Development, Developmentally Disabled Centers, Disabilities, Economic Development, Youth Development Programs	Our mission is to enhance the lives of children with special needs and the high school athletes who mentor them. We believe that modeling acceptance, inclusion, and respect of all individuals transforms and strengthens our communities.				Athletes for Kids is a youth mentoring program that serves children in 1st-9th grades who have special needs and disabilities of all kinds. We match these children with high school athletes in a one-to-one mentoring relationship to learn from each other and positively impact each others lives.								
Northwest Therapeutic Riding Center	http://		EIN 91-1556276	1884 Kelly Rd	Bellingham	WA	98226	USA	Unknown													
Horse Harbor Foundation	http://horseharbor.org	(360) 692-2851	EIN 91-1839214	Po Box 3068	Silverdale	WA	98383	USA	Animal Protection & Welfare, Animals	To provide care and housing to a herd of 33 rescued equines. Recover and rehabilitate said equines and use in training and education to a group of 55 students, equine assisted therapy, and other community partnerships working with youth.				The horse harbor foundation provides care and keep to 33 rescued equines and teaches horsemanship to youngsters in the kitsap county area. We also teach equine assisted therapy to individuals with disability.								
Lords Neighborhood Diner	http://		EIN 31-1692002	700 Callahan Dr	Bremerton	WA	98310	USA	Food, Food Programs													
Pacific Biodiversity Institute	http://www.pacificbio.org		EIN 31-1602392	Po Box 298	Winthrop	WA	98862	USA	Environment, Natural Resources Conservation & Protection	Our Mission:  Pacific Biodiversity Institute (PBI) conducts scientific research in the fields of ecology, conservation biology and natural resource management. Our activities are focused on the conservation of biodiversity and maintenance of ecological integrity in the Pacific region. We conduct conservation science programs that aid the conservation of biodiversity and provide research and consultative services, to public agencies, educational institutions and other non-profit conservation organizations. We provide scientific and technical information for use in the public review of public land management policies. We engage in a variety of educational activities including: our conservation science internship program, the production of publications related to conservation and natural resource management issues, participation and organization of scientific workshops and public symposia, and the development of educational materials.												
Jubilee Women's Center	http://www.jwcenter.org	206-324-1244	EIN 91-1539920	620 18th Avenue E	Seattle	WA	98112	USA	Centers to Support the Independence of Specific Populations, Homeless & Housing, Homeless Shelters, Human Services, Temporary Housing	The mission of Jubilee Women's Center is to support women experiencing poverty to build stable and fulfilling futures, one extraordinary woman at a time.   Led by the guiding principle that all women are to be treated with respect and dignity, Jubilee is dedicated to providing safety, support and learning opportunities so women can gain skills and confidence to make permanent life changes.	single women experiencing poverty and homelessness	more than 1800 low-income women.	King County	safe, affordable housing and supportive care management for residents and for any low-income woman, job and life skills training, computer lab, free clothing boutique and referrals to community resources.								
International Childrens Network	http://InternationalChildren.Net	(206) 255-3856	EIN 20-1738995	P.O. Box 7695	Covington	WA	98042	USA	Arts & Culture, Arts Education, Children & Youth, Emergency Assistance, Financial Counseling	To make sure every child has self worth. Through tutoring, educational, mentorships, medical and other various programs, ICN Networks support anywhere & from anyone to help children receive hope when they once had none.				Obtaining support for orphaned and at risk children locally and around the world assist with completing education, medical, food, and clothing needs								
African United for Children's Future	http://www.theaucf.org		EIN 77-0676493	10216 SE 256th ST, STE: 103, PMB 509 Anthony K. Derricks	Kent	WA	98030	USA	Arts & Culture, Ethnic &  Immigrant Centers, Immigration, International, International Agricultural Development, International Relief, Single Organization Support													
Institute of Flight  (formerly Future of Flight Foundation)	http://www.futureofflight.org	425-438-8100 x21	EIN 20-1638987	8415 Paine Field Blvd	Mukilteo	WA	98275	USA	Arts & Culture, Museums, Science & Technology Museums	Igniting passion for the future of aerospace.  Institute of Flight inspires and nurtures multi-generational local and global visitors through immersive hands-on exhibits, tours, and aerospace education experiences.		10,000 students	Everett/Seattle/Bellevue/Washington State/USA/world	The foundation operates the future of flight facility from tour ticket revenue collected on behalf of the county and populates the gallery with exhibits and educational displays funded by gifts, grants and donations, to educate the public of the significance of innovation in commercial aviation and the impact it has on their daily lives. We hosted over 280,000 visitors to the facility in 2014, including 72,000 international visitors from all corners of the globe.   exhibits - exhibits are provided in the facility gallery that highlight the significance of commercial aviation and the innovations created by aerospace engineering. As we are developing a new master plan to design our future exhibit needs for the gallery, little change of significance occured in 2014.   education - the foundation has developed and implemented educational programs. These programs involve middle school children in an immersive learning programs with both classroom instruction and on-site (future of flight) sessions. These programs emphasizes science, technology, engineering and math (stem). This year we also implemented a family zone area with hands on interactive learning exhibits.   intern program - this will be our last year providing an international intern program in cooperation with the boeing company. This year we hosted students from brazil.	In 2015, we reached nearly 10,000 students with our STEM focused education programs.							
Merciful Love Connection	http://www.mercifulloveconnection.org	(605) 343-8011	EIN 20-3369403	6208 226TH St Se	Bothell	WA	98021	USA		To provide charitable support to the sisters of the congregation amor misericordioso's refuge of mercy, a temporary home for first time mothers.				Temporary home for unmarried first time mothers.   sisters of the congregation amor misericordioso/ refuge of mercy								
Knok Studio	http://www.knok.org	1-657-229-KNOK 	EIN 45-4021000	718 Griffin Ave #5	Enumclaw	WA	98022	USA		Knok Studio is an award winning non-profit 501(c)3 media studio that connects talented film makers to meaningful projects that are affordable for charities, churches, & non-profits.	non-profits, charities, & churches.		Seattle	cinematic, impactful short films.								
Millionair Club Charity	http://www.millionairclub.org	(206) 728-5627	EIN 91-0607513	2515 Western Ave	Seattle	WA	98121	USA	Emergency Assistance, Employment Preparation & Procurement, Human Service Organizations, Human Services, Job Training	Martin Johanson founded the Millionair Club in 1921 to provide "food for the hungry" and "jobs for those out of work."  The Club's programs have since expanded to include a hygiene center, an eye clinic, and referral assistance to help the unemployed and/or homeless attain permanent employment and self-sufficiency.				Over 89,780 individuals participated in the open meal program that includes breakfast and lunch monday - friday. The program is open to all community members, with 80% being classified as homeless or chronically homeless. Participants are not required to pay or officially register for the program. It is a drop-in program that provided nearly 7% of all the free meals in the city of seattle.   the employment program has over 500 unduplicated workers registered in the program. Over 12,500 jobs are dispatched on an annual basis to homeowners and businesses in the greater king county area. The employment program is the primary activity that helps those in the program seek permanent jobs and housing, which ultimately addresses ending homelessness. The demographics of those using the job program include 1) 36% are people of color, 2) 17% are women, 3) 79% are homeless, and 4) 35% are chronically homeless. In addition, 61 individuals were placed into permanent full and part-time jobs.   participants using millionair club programs have access to a hygiene center for laundry services and showers. Total hygiene center uses exceed 2,822 annually. There is also a free vision clinic available to particpants every thursday. It is available to all participants, whether or not they are involved in the day labor and meal program. On an annual basis over 330 individuals receive free vision care.   education, public programs and research	In 2011 we accomplished the following:  The Millionair Club Charity dispatched 10,039 jobs to working folks seeking economic security.  We served 87,946 hot breakfasts and lunches to our workers and other people seeking nutritious sustenance.  Approximately 80 individuals every night received emergency shelter through our collaboration with Compass Housing Alliance and Operation Nightwatch.  We provided 231 individuals with glasses and eye exams last year to help prepare them for the workforce.  8 participants living in shelters and transitional housing found permanent housing through our new Housing Assistance program that launched last summer.  The Millionair Club Charity provided men and women with more than 3,000 showers and 750 loads of laundry at our Hygiene Center, giving dignity to those who are homeless and trying to find jobs.  55 individuals were able to use our food pantry and clothing closet.  We expanded our partnerships with local Belltown and Seattle nonprofit organizations and continued our already existing relationships with Compass Housing Alliance, Plymouth Housing Group, Veterans Affairs Puget Sound, VOSH Foundation and others.							
Center for Infectious Disease Research	http://www.cidresearch.org	(206) 256-7200	EIN 91-0961784	307 Westlake Ave North Ste 500	Seattle	WA	98109	USA	Education, Health, Specifically Named Diseases, Technology	Our mission is to make transformative scientific advancements that lead to the prevention and treatment of infectious diseases.			From humble beginnings as a small laboratory in Issaquah, Washington with an initial staff of five, the Center for Infectious Disease Research has become the world's largest center focused solely on infectious disease research.	Throughout our 40-year history, the work performed at the Center has contributed to numerous breakthroughs advancing the science of vaccine, drug, and diagnostic discovery. Yet challenges still exist in developing effective, accessible, and reliable interventions. Success will require high-impact collaboration, innovative approaches, and cutting-edge technology, all of which are components of systems biology. Our singular focus on infectious diseases and integration of systems biology uniquely positions us as a leader in the fight against these pathogens. Our three tenets help focus our scope - on the people who are affected by, and fighting these diseases; on the cutting edge science developing future interventions; and on the hope derived from our research for the potentiality of global health. Please go to our website, www.cidresearch.org, to learn more about our work and how, with your support, we can create a healthier more hopeful world.	Some of our more notable achievements include: discovering RNA editing; identifying agents capable of killing TB; developing a malaria vaccine candidate currently in human clinical trials; sequencing 3 parasite genomes; and creating a revolutionary vaccine candidate for HIV/AIDS.    We are proud of our progress. But for the 14 million people who died last year from these diseases, progress was not enough. Just as was the case 40 years ago, there are still no vaccines to prevent or drugs to treat most of these infectious diseases. This is not only tragic; it is unjust.							
Habitat for Humanity of Kitsap County	http://www.kitsaphabitat.org	360-479-3853	EIN 91-1981992	3559 Wheaton Way PO Box 5347	Bremerton	WA	98312	USA		Habitat for Humanity of Kitsap County is a nonprofit, ecumenical Christian housing ministry dedicated to eliminating substandard housing and homelessness worldwide, making adequate, affordable shelter a matter of conscience and action. Habitat invites people from all faiths and walks of life to work together in partnership, building houses with families in need.	low-income, children, family, single parents		Kitsap County	building homes for families based on need for adequate shelter, ability to pay for the home and willingness to partner with us.	Completed our 70th home in Kitsap County in 2012; Is the only organization in Kitsap County serving families in this income range by providing decent shelter;							
Sweet Pea Cottage Enterprises	http://www.sweetpeacottage.org	(206) 217-9767	EIN 20-0773528	2011 1st Ave N	Seattle	WA	98109	USA	Education, Preschools	To enrich, inspire, challenge, and expand every child's world through an arts-based education.				Sweet pea cottage's preschool and kinder-garden of the arts programming fosters the physical, mental, emotional and social development of over 250 students each year through a variety of arts-rich experiences. Our highly qualified teaching artists support children's intuitive nature for creative play and exploration, and encourage a healthy relationship with the imagination while preparing their students with the creative and critical thinking skills needed for kindergarten and beyond. We are committed to providing the unique programming that creates a foundation for success during childrens most critical years of development.								
