name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs		The Greenway Foundation (GF) 	Cub Scouting	Boy Scouting	Venturing
LIVING ARTS CORPORATION (Mode Theatre Living Arts Corp)	http://www.livingartscorp.org	970-231-3582	EIN 39-1855489	2300 W Eisenhower Blvd	Loveland	CO	80537	USA	Arts & Culture, Performing Arts	In everything we do, we try to connect.  The arts help shape personal and global culture.  They provide clues to tackle challenges and engage in improving the state of the world, whether in a small neighborhood or on a grand scale.  We trust in the potential of experience to illicit more empathy, birth new ideas, shift our perceptions and lead to action.  We understand that the role of art is to make discomfort more comfortable. We create art and performance and use it to assist others, whether they be homeless veterans, marginalized families or other artists struggling to do their work.	Since 1994, the Living Arts Corporation has accomplished the following: -produced 50 original theatrical performances and hosted 50 art exhibitions -performed in over 500 schools around the nation -distributed 10,000 + books to rural children -supplied living and studio space to 15 visual artists -entertained the public with 24 ft. puppets commissioned from Carnival artists in Trinidad, West Indies -partnered with major retail chains to deliver over $600,000 of home goods to marginalized families, veterans and people in crisis -began the Soul Shoe Project in 2015 to draw attention to the fact that a child dies from violence every five minutes	Since 1994, the Living Arts Corporation has produced 50 original theatrical performances, performed in over 500 schools around the nation, distributed 10,000 + books to rural children, supplied living and studio space to 15 visual artists, hosted 50 art exhibitions, provided grants for research and creative projects, entertained the public with 20 ft. puppets commissioned from Carnival artists in Trinidad, West Indies, and partnered with major retail chains to deliver over $600,000 of home goods to marginalized families, veterans and people in crisis.  In 2015 we conceived of the Soul Shoe Project to assist in raising awareness and engagement to stop the silence around the fact that a child dies a violent death every 5 minutes	125 families with household donations; 9 struggling artists and provided theater and the arts to hndreds.	We work throughout the nation.	community art projects highlighting violence against children, theater productions, and local household donation programs.					
Joseph's Journey	http://www.josephsjourney.org	(303) 989-5710	EIN 84-1542777	P. O. Box 150453	Lakewood	CO	80215	USA	Children & Youth Services	Josephs Journey is dedicated to providing outdoor/wilderness experiencs to children under 21 years of age with terminal and life-threatening illnesses.				Coloraod/USA						
Denver Hooperz Youth Organaization	http://		EIN 26-3501227	2870 Forest St	Denver	CO	80207	USA	Children & Youth, Youth Development Programs											
Mountain Harvest Creative	http://		EIN 84-1610325	Po Box 1771	Paonia	CO	81428	USA	Agricultural Programs, Arts & Culture, Arts, Culture & Humanities, Community Foundations, Food, Philanthropy, Philanthropy, Charity & Voluntarism Promotion											
Sporting Woman Community Fund	http://www.thesportingwomancommunityfund.org		EIN 71-0914265	PO Box 100414	Denver	CO	80250	USA	Amateur Sports Competitions, Sports	The mission of The Sporting Woman Community Fund is to provide financial and experiential support to women and girls who wish to participate in life changing dreams through sports or nature.	We have given away over $50,000 to women and girls in our community to participate in their athletic dreams.  In addition, we have supported 31 women as they participate in the Outside INitiative, learning about themselves through mindfulness and nature.	women and girls get out and do something athletic, stretching themselves beyond what they ever imagined possible.	35 women	Denver	The mission of The Sporting Woman Community Fund is to provide financial and experiential support to women and girls who wish to participate in life changing dreams through sports or nature.  Since 2003, as part of our Athletic Supporter program, we have given away over $50,000 to women and girls in our community because we believe in their ability to transform their own lives one stroke, one stride, one hurdle at a time.  In addition, the Fund has developed a curriculum called the Outside INitiative to encourage women underserved by the resources in our community to partner with Nature and learn about themselves from the outside in.					
Family Foundations International Inc	http://www.familyfoundations.com	303-797-1139	EIN 84-1310935	8370 W. Coal Mine Ave. Suite 104	Littleton	CO	80123	USA	Religion	To impart biblical wisdom to families and individuals		create a culture of blessing	over 25,000 people globally	over 40 countries	weekend seminars, conferences, courses, trainings, and the weekly television program, "Ancient Paths with Craig Hill."					
Mesa Developmental Services	http://www.strivecolorado.org	(970) 256-8638	EIN 84-6044855	950 Grand Ave	Grand Jct	CO	81501	USA	Developmentally Disabled Centers, Disabilities, Job Training, Residential Care & Adult Day Programs, Vocational Rehabilitation	Mesa developmental services is a not-for-profit organization that provides community based services and support for persons with developmental disabilities of mesa county. We promote, within caring environments, opportunities that nurture personal growth, improve self-esteem, support community inclusion, and advance the independence of those served.					Comprehensive services - includes a number of different types of residential settings, which provide an array of training, learning and support activities provided in residential living alternatives designed to meet individual needs. The organization served 312 individuals in this capacity for fiscal year ending june 30, 2014.   adult supported living services - the organization provides individualized living services for persons who are responsible for their own living arrangements in the community. The organization served 168 individuals in this capacity for fiscal year ending june 30, 2014.   case management - the organization determines eligibility for services and support, service and support, and the monitoring of all services and support delivered pursuant to the individualized plan, and the evaluation of the results. The organization served 770 individuals in this capacity for fiscal year ending june 30, 2014.   early intervention - the organization provides support for children from birth through age two which offer infants, toddlers and their families services and support to enhance child development in the areas of cognition, speech, communication, physical, motor, vision, hearing, social-emotional development, and self help skills, parent-child or family interaction, and early identification, screening and assessment services. The organization served 203 individuals in this capacity for fiscal year ending june 30, 2014. Children's extensive support. The organization helps families to meet the challenges of caring for their child with developmental disablilities by providing medicaid benefits and additional targeted services and supports to those children with developmental disabilities. The organization served 9 individuals in this capacity for fiscal year ending june 30, 2014. Family support. The organization helps to reduce, delay, or prevent out of home placement and to reduce the stress on families as a result of supporting a family member with a developmental disability in the home. The organization served 66 individuals in this capacity for fiscal year ending june 30, 2014. The parenting place. The organization provides education, encouragement & support in three areas to young parents with children during the critical years of life. The organization served 450 households in this capacity for fiscal year ending june 30, 2014.					
Crisis Center	http://www.thecrisiscenter.org	(303) 688-1094	EIN 74-2385006	Po Box 367	Castle Rock	CO	80104	USA	Crime & Law, Domestic Violence, Family Violence Shelters, Homeless & Housing, Hot Lines & Crisis Intervention, Mental Health, Spouse Abuse Prevention	Crisis intervention services					Provides crisis intervention, residential and nonresidential information and referral supporting services to families of domestic violence residing in douglas county, colorado.					
MOUNTAIN AREA LAND TRUST	http://www.savetheland.org	303-679-0950	EIN 84-6256809	P. O. Box 4063	Evergreen	CO	80437	USA	Environment, Land Resources Conservation	Our mission is to save scenic vistas, natural areas, wildlife habitat, water resources, working ranches and historic lands, for the benefit of the community and as a legacy for future generations.	Mountain Area Land Trust (MALT) has conserved 20,808 acres throughout our six county service area since 1992.   MALT is proud to be an accredited member of the Land Trust Alliance.	Conserving  land and water resources		MALT serves a 4,378 square-mile area encompassing Clear Creek County, Park County, Gilpin County, Teller County and the mountainous regions of Boulder County and Jefferson County, Colorado.	Conservation easements - expenditures incurred in securing donated land conservation easements.   land stewardship - expenditures incurred for annual monitoring of donated conservation easements.   outreach/education - educating the public on land conservation issues through presentations, articles, workshops, community meetings and events.					
Denver Dumb Friends League	http://www.ddfl.org	(303) 751-5772	EIN 84-0405254	2080 S Quebec St	Denver	CO	80231	USA	Animal Protection & Welfare, Animals						The Dumb Friends League provides shelter and care for tens of thousands of homeless pets each year at two shelter locations. In fiscal year 2010, the League saved 18,070 pets with a 99% placement rate for healthy pets. Of that number, the League adopted 14,845 cats, dogs and other small mammals; reunited 2,505 lost pets with owners; and transferred 720 pets out for alternative placement.					
Ahava Ministries	http://www.campkivu.com	970-884-1100	EIN 26-3988223	9658 County Road 501	Bayfield	CO	81122	USA	Children & Youth, Youth Development Programs	To Train Global Leaders to Love God and Love Others in the Context of His Creation.	We are working to build a sustainable program where tuition can cover the cost of operation.  We are interested in building a summer camp in Rwanda to be able to have exchange students from both countries learn about the other.	Teenagers 13-18, College students 18-25	1000 High School Students.  100 University Students	Texas, Oklahoma, Colorado, Arizona, Florida, Arkansas, Missouri, Louisiana, Alabama, Mississippi, North Carolina, South Carolina, Georgia	backpacking, white water rafting, high ropes course, low ropes course, fly fishing, outdoor sports, rock climbing, mountaineering,					
Walking Mountains Science Center	http://www.walkingmountains.org	970-827-9725	EIN 84-1436731	318 Walking Mountains Lane PO Box 9469	Avon	CO	81620	USA	Education	To awaken a sense of wonder and inspire environmental stewardship through natural science and sustainability education.	Our new 5-acre campus, certified in February 2013 for Platinum LEED certification, opened in August 2011.  During the 2013-2014school year, we provided 77 field study programs to 3,426 students from 20 Eagle County public and private schools.  We have several thousand drop-in visitors each year who participate in our science education programming for adults and families.  2013 summer science camps served 467 children this year, and $10,000 in financial assistance was awarded to families whose children could not have participated without it.	The 5,800 K-12 Eagle County, CO students, 55% of whom are low income and/or Hispanic.  Our programs serve both residents and visitors to this mountain resort area.	29,000	Eagle County, CO	School Field Studies Programs, Summer Science Camps, After School Science Programs, Sustainability and Stewardship Programs					
Americans Against Crime	http://		EIN 85-0419126	2201 14th Ave No I-305	Longmont	CO	80501	USA												
The Home Front Cares	http://www.thehomefrontcares.org	719-434-1407	EIN 20-0564493	1120 N. Circle Dr. Suite 7	Colorado Springs	CO	80909	USA	Financial Counseling, Homeless & Housing, Homeless Centers, Human Services	The Home Front Cares primarily provides emergency and responsive support and grants for Colorado's service members, veterans and family members, who have been impacted by deployment in harm's way.	Since 2003, The Home Front Cares has raised more than $7.6 million to help thousands of Colorado service members, veterans and their families, paying essential life expenses like rent and utilities. We began by serving families of deployed soldiers in the Pikes Peak region, but as the wars have wound down over the years, we've expanded our services statewide, to include all branches of service, Guard, Active Duty, Reserve or Veteran. Today, nearly 99% of our clients are Veterans.	Service members, veterans and their families	375 veterans and families with financial grants, and provided referral services for more than 1,000 clients to ensure they receive the financial and other counseling and services they need.	Colorado	emergency financial grants to pay essential life expenses such as rent and utilities. Our grants, often made within 48 hours, prevent evictions and homelessness, and keep the power and heat on for Colorado veterans and military families in need.					
Student Overseas Missions	http://		EIN 26-3568658	6625 Delmonico Dr	Colorado Spgs	CO	80919	USA	International, International Relief											
Hope House of Colorado	http://www.hopehouseofcolorado.org	303-429-1012	EIN 84-1567838	PO Box 740568	Arvada	CO	80006	USA	Family Services for Adolescent Parents, Human Services											
Children's Future International	http://www.childrensfuture.org/		EIN 26-1761651	1031 33rd St Unit 172	Denver	CO	80205	USA	International, International Relief	Our mission is to foster a generation of educated, self-reliant and compassionate role models for Cambodia, by promoting child rights and offering 21st century education and opportunities to the poorest children in rural Cambodia. Our vision is a future where every Cambodian child is safe, healthy, educated and thriving.		Children vulnerable to human trafficking	250 students	Battambang, Cambodia						
His Song Evangelistic Outreach Ministries	http://	(816) 617-7411	EIN 80-0438812	6295 Lehman Dr	Colorado Springs	CO	80918	USA	Religion, Religion-Related	Spread god's word, love and message.					Ministry center - 80 to 120 young adults met to study bible. Performed community service in god's name. Bethel christian fellowship - small local church and bookstore.   look development - developing orphanage in ethiopia in god's name. 9 housing units to house 11 orphans each.   celebration life festival. 1000-2000 people. Local festival in sd to spread the word of god.					
PROMISE RANCH THERAPEUTIC RIDING	http://HTTPS://www.prtr.org	(303) 817-6531	EIN 26-2431767	Po Box 545	Franktown	CO	80116	USA		Provide therapuetic horseback riding					Provide therapeutic horseback riding for children and adults					
ADAMS STATE COLLEGE FOUNDATION	http://www.adams.edu	(719) 587-7121	EIN 84-6027518	208 Edgemont Blvd	Alamosa	CO	81102	USA	Education, Scholarships, Scholarships & Student Financial Aid	The adams state university foundation exists to promote and further the interests, objectives and purposes of the college; to seek and receive gifts, legacies and grants of money or property and to administer such for the benefit of the college.					Scholarships, grants, awards, and other allocations for the benefit of adams state university students, faculty, and staff. The foundation assisted 246 recipients to fund their education.					
Aspen Valley Land Trust	http://www.avlt.org	(970) 963-8440	EIN 84-0574754	320 Main St Ste 204	Carbondale	CO	81623	USA	Animals, Environment, Environmental Beautification, Farmland Preservation, Food, Land Resources Conservation, Wildlife Preservation & Protection	To permantently preserve lands					Preservation of open space and acquisition of conservation easements including annual monitoring of conservation easements, assisting in planning for open space, management and stewardship of conservation easements held by organization.					
231 Buckley Club	http://	(303) 343-4994	EIN 84-1029274	2220 So Fraser St	Aurora	CO	80014	USA		Drug & alcohol rehabilitation					Program services are provided for the rehabilitation of members to assist in the recovery from alcoholism and drug addiction.					
Center Of The Golden One	http://		EIN 33-0451374	4277 W 43rd Ave	Denver	CO	80212	USA	Christianity, Religion											
iCast International Center for Appropriate & Sustainable Technology	http://www.iCASTusa.org		EIN 41-2139623	8745 W 14th Ave Ste 220	Lakewood	CO	80215	USA	Economic Development, Energy Resources Conservation & Development, Environment, Microfinance, Rural Economic Development	iCAST's mission is to promote sustainable development using a triple bottom-line approach that promotes environmental health, economic viability and social responsibility. iCAST projects are designed to encourage self-sufficiency based on the development, application and commercialization of appropriate and sustainable technologies.					Projects to promote sustainable communities using a triple bottom line approach of environmentally friendly, socially responsible and economically viable.					
Desert Ecosystem Analysis Restoration	http://		EIN 27-0797128	2890 Seely Rd	Grand Jct	CO	81503	USA	Environment, Natural Resources Conservation & Protection											
Delta County Citizens for Animal Welfare and Shelter (CAWS)	http://www.cawsonline.org	(970) 527-3350	EIN 84-1478297	PO Box 1736	Paonia	CO	81428	USA	Animal-Related, Animals	End the suffering of innocent dogs and cats in Delta County by reducing the number of unwanted births. Promote adoption of unwanted dogs and cats in Delta County, and educate its citizens on the importance of spay and neuter.				Delta County, Colorado	CAWS Adoption Center / Foster Program Spay/Neuter Subsidy Program Feral Cat TNR Program					
The Hep C Connection	http://www.hepc-connection.org	800-522-4372	EIN 31-1525211	1325 S Colorado Blvd Suite B-302	Denver	CO	80222	USA	Counseling, Diseases of Specific Organs, Health, Mental Health, Public Health	The mission of Hep C Connection is to educate the general public about hepatitis C and to provide resources and support for those affected by the virus.				Our HelpLine serves callers from around the nation, while the rest of our programs primarily impact the state of Colorado.	PREVENTION, EDUCATION and AWARENESS PROGRAMS  - HCV Awareness and Prevention (though educational programs in jails, re-entry facilities, homeless shelters and upon request) - HIV/HCV Co-Infection Program  - Anti-Body Testing (for HCV and HIV) - Physician-led Educational Presentations for Physicians - Speakers' Bureau  LINKAGE TO CARE  SUPPORT NETWORK PROGRAMS - Hepatitis HelpLine 1-800-522-4372 - Support Groups - Monthly Connections E-newsletter - Our Website (www.hepc-connection.org) - Educational Materials - Physician-led Educational Presentations for Patients					
Zumas Rescue Ranch	http://www.zumasrescueranch.com	(720) 635-2331	EIN 80-0236203	7745 N. Moore Rd	Littleton	CO	80125	USA	Animal Protection & Welfare, Animals, Children & Youth, Foster Care, Human Services	Zumas Rescue Ranch serves as advocate and mentor for abused and neglected horses in need. These horses are providing alternative learning opportunities for children, teaching them about trust and love helping both to take their next step successfully into our world.	In four short years  with our community support,Zuma's has rescued hundreds of animals and provided alternative learning and therapy to countless children and families.		Currently we serve 15-20 familes per week.	Metro Denver Colorado	Horse Rescue Farm Animal Rescue Children's Therapy and Learning Center					
Colorado Shakespeare Festival	http://www.coloradoshakes.org	303.492.6018	EIN 	301 Grandview St.	Boulder	CO	80309	USA	Arts & Culture, Theater	To promulgate the works of William Shakespeare and other classical dramatists from other times, other cultures through performance and education.				State of Colorado, English Speaking World						
Angel Service Dogs	http://www.angelservicedogs.org	(719) 481-0222	EIN 26-4403612	13840 Gleneagle Dr	Colorado Spgs	CO	80921	USA	Health, Patient & Family Support	The purpose of the organization is devoted to placing allergy alert dogs (sometimes called peanut dogs), specially trained for peanut, tree nut, and allergen detection, with individuals and families who are inhibited by life-threatening allergies and is designed to support the acquisition, training, and placement of highly trained allergy alert dogs for sufferers of life-threatening allergies; and the distribution of related educational material to churches and civic groups allowing them to create and maintain a save environment for those challenged with these hidden disabilities.					Participate in multi-media interviews to educate the public.   participation in local events to promote allergen awareness and the use of allergy alert dogs.					
LightHawk	http://www.lighthawk.org	970-797-9355	EIN 84-0852104	PO Box 2710	Telluride	CO	81435	USA	Environment, Natural Resources Conservation & Protection	LightHawk''s mission is to accelerate conservation success through the powerful perspective of flight.   LightHawk uniquely adds value to the conservation community. We provide expertise in using the aerial perspective to accelerate and enhance efficiency of the conservation outcomes of our partners. LightHawk uses its experience in conservation planning early in our partners project development to help them identify their desired outcomes and plan strategies to fully engage the power of flight.		LightHawk works with conservation partners to accelerate conservation success through the powerful perspective of flight.		LightHawks work is international in scope. We establish conservation  partnerships with organizations in the U.S., Canada, Mexico, and Central America. Conservation   partners include international, national and community-based organizations from the public,   private, and non-profit sectors. They include many of the most effective and well-respected   conservation organizations in the world including The Nature Conservancy, Natural Resources   Defense Council, Restore Americas Estuaries, National Audubon Society, World Wildlife Fund,   Mote Marine Laboratory and numerous public and private research universities.	LightHawk donates environmental flight campaigns at no charge. We provide carefully arranged flights in support of conservation projects. Our passengers include conservation advocates, government officials, scientists, photographers, educators, media representatives, indigenous community leaders, and other stakeholders. Flights help to:   Foster dialogue and build consensus   Promote informed decision-making   Increase the efficiency and effectiveness of conservation action					
Healthquarters Ministries Inc	http://www.healthquarters.org/	(719) 382-8944	EIN 84-1328702	1235 Lake Plaza Drive Ste 125	Colorado Spgs	CO	80906	USA	Health, Health Care	To help facilitate health, both physical and spiritual, in the lives of God's people, thus enabling them to more effectively serve Jesus Christ in His world.	Please see our client reviews and check out our testimonies on our website. Also please see our website for the various programs that your donations will help.	all of God's people through nutritional health and education		Colorado Springs, CO	HealthQuarters Lodge Program, Individualized nutritional health assessments, In office and phone consultations, blood analysis, hair analysis, Ionic detoxifying foot baths with infrared, nutritional, emotional and spiritual guidance, education and counseling.					
Exodus Road Inc	http://www.theexodusroad.com	7196237436	EIN 46-1384815	Po Box 1681	Colorado Spgs	CO	80901	USA	International, International Human Rights	The Exodus Road helps find and free modern day slaves through strategic action using ordinary people. Primarily focused on empowering rescue and arrests with local police, they are utilized front lines operatives and technology to gathering evidence and make human trafficking more dangerous.	We've empowered nearly 800 survivor rescues with local police a250 arrests. We've hosted over 600 nationals in training events and employ a staff predominately of locals. We have offices and teams throughout Asia, India, and the Americas.	We help find and free modern slaves.		India, SE Asia, and the Americas.	The Exodus Road empowers literal rescue by: equipping and training nationals, gathering intelligence and evidence of human trafficking for local police partners, supporting survivors immediately following a rescue, providing technology to effective fight slavery.					
Friendship Bridge	http://www.friendshipbridge.org	303.674.0717	EIN 84-1141078	405 Urban St Suite 140	Lakewood	CO	80228	USA	Economic Development, International, International Development, International Economic Development, Microfinance, Small Business Development	Friendship Bridge provides microcredit and education to Guatemalan women so that they can create their own solutions to poverty for themselves, their children and their communities.		Rural, impoverished women in Guatemala	In 2014, Friendship Bridge empowered more than 22,000 Guatemalan women with microcredit and education.	10 departments throughout Guatemala	Microcredit Plus -- microcredit combined with nonformal education on relevant topics such as business, health and self-esteem.					
LONGS PEAK SCIENCE FOUNDATION	http://www.lpsef.org	970-396-9650	EIN 84-0794014	UNC - MAST Instittute 501 20th Street, CB 123	Greeley	CO	80639	USA	Children & Youth, Education, Primary & Elementary Schools, Secondary & High Schools	The		empower students to engage in science, technology, engineering and mathematics pursuits	365 5th - 12th grade students	Weld, Larimer & Jackson Counties	a venue for Weld, Larimer and Jackson county students to showcase their scientific and creative talents.					
Colorado House Rabbit Society	http://	(303) 378-8827	EIN 84-1459656	Po Box 238	Broomfield	CO	80038	USA	Animal Protection & Welfare, Animals	Domestic pet rabbits were rescued and placed with adopting families.					Domestic pet rabbits were rescued, given shelter and placed in homes. Rabbits receive medical care, neuter and spay and are socialized prior to placing in homes.   education and information were provided to the general public and local veterinarians and adoptive owners. Newsletters are printed and sent and information packets are distributed.					
John Austin Cheley Foundation	http://www.cheleyfoundation.org	1 (720) - 981-25	EIN 48-1077337	802 East 19th Avenue Suite B	Denver	CO	80218	USA	Camps, Children & Youth, Education, Sports, Student Services, Youth Development	The John Austin Cheley Foundation, established in 1989, honors the memory of John Austin (Jack) Cheley and helps to fulfill his dream of making a residential summer camp experience available to under-served youth who could not otherwise afford a camp experience.  The Foundation''s purpose is to secure, by financial or other means, the benefits of a wilderness summer camp experience for children whose family''s personal resources are not adequate to cover the cost of tuition and transportation.  Partial or full camperships are awarded.	Over 1000 children served Summer 2015: - 100 full camperships awarded	under-served children overcome the obstacles to a high-impact residential summer camp experience	100 children and young adults between the ages of 10 and 16	multiple states across the country	The John Austin Cheley Foundation funds need-based camperships for high potential youth to attend extended-stay wilderness summer camps that have a proven track record of positively impacting youth development.					
Colorado Honor Band Association	http://cohonorband.org	303-778-6693	EIN 	216 South Grant. St.	Denver	CO	80209	USA		Colorado Honor Band Association opens a world of opportunities for children by guiding them to develop the diligence, perseverance, and teamwork skills necessary to succeed both as musicians and as responsible citizens.				Colorado Region						
