name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Target demographics	Geographic areas served	Programs	Mission	Results	Direct beneficiaries per year
Village Cooperative School Inc	http://	(401) 789-3830	EIN 23-7313950	1157 South Rd	Wakefield	RI	02879	USA				Provided preschool education and activities	Preschool education		
Jacob J Jacoby Trust Ud Fbo H I Jacoby Scholarship Fund 240880	http://	(888) 866-3275	EIN 13-6142546	Po Box 1802	Providence	RI	02901	USA							
AIDS Relief International	http://www.aidsreliefinternational.org		EIN 27-0776058	PO Box 2346	Providence	RI	02912	USA	AIDS, Health	HIV-positive children in Mumbai, India	Mumbai, India		- Connect patients with treatment  - Provide nutritional support to severely malnourished HIV/AIDS victims, which improves the efficacy of treatment  - Work with governments and NGOs to incorporate nutritional counseling into their AIDS relief programs  - Teach patients how to maintain a healthy diet within their means		
Italo American Charitable Trust Association	http://		EIN 22-3420071	477 Broadway	Providence	RI	02909	USA	Education, Scholarships, Scholarships & Student Financial Aid						
Rhode Island Lions Cancer In Children Fund Incorporated	http://	(401) 480-8040	EIN 05-0398110	Po Box 41347	Providence	RI	02940	USA				Financial assistance is given, to various children with cancer and their families, for hospital transportation, baby-sitting services, medical aids and other necessities they may have.	Financially assist families of children with cancer.		
Right To Life Services Inc	http://rirtl.org	(401) 521-1860	EIN 05-0413808	Po Box 28285	Providence	RI	02908	USA	Civil Rights, Right to Life			Our maternity hope chest provides baby clothing, diapers, formula and other essential baby items and supplies to pregnant women and needy mothers.   through our newsletters, pamphlets, website, and social media, we provide information for needy mothers and for the general public about the needs of struggling mothers.	To aid pregnant women and young mothers		
Chris Antonelli New England Scholarship Fund	http://		EIN 23-7100687	1 Ventry Dr	Cumberland	RI	02864	USA							
Barrington District Nursing Association	http://		EIN 05-2588040	111 New Meadow Rd	Barrington	RI	02806	USA	Health, Nursing						
Friendly Sons Of Newport Social Club	http://		EIN 05-0441476	35 Farewell St	Newport	RI	02840	USA							
Rhode Island State Police Museum Foundation Inc	http://		EIN 05-0498598	311 Danielson Pike	N Scituate	RI	02857	USA	Arts & Culture, History Museums			Began publishing/printing of a historical book on the history of the rhode island state police  to collect, preserve, and maintain historical data in a museum setting; to promote and memorialize the ri state police as an educational resource for the public	To collect, preserve, and maintain historical data in a museum setting; memorializing the ri state police as an educational resource for the public		
International Flying Dutchman Class Association Of The United States	http://		EIN 02-6036396	60 Spring Hill Rd	Kingston	RI	02881	USA							
Sargent Rehabilitation Center Inc	http://		EIN 05-0258936	800 Quaker Ln	E Greenwich	RI	02818	USA	Education, Special Education						
Coastline Eap	http://		EIN 05-0413182	300 Centerville Rd Ste 301s	Pawtucket	RI	02860	USA							
Ralph H & Elizabeth C Norton Philanthropic Tr 31-36559-8	http://		EIN 36-6037367	Po Box 1802	Providence	RI	02901	USA	Arts & Culture, Fund Raising & Fund Distribution						
Adolf Frederick Lang Fund	http://	(888) 866-3275	EIN 36-7092202	Po Box 1802	Providence	RI	02901	USA	Religion, Religion-Related						
Exeter Rescue Corps Incorporated	http://		EIN 05-0350975	Po Box 333	Exeter	RI	02822	USA	Emergency Medical Services & Transport, Health			Providing ambulance service to the community	Providing ambulance service to the community		
Revco Golf Charities Foundation	http://		EIN 34-1630570	One Cvs Dr	Woonsocket	RI	02895	USA	Golf, Sports						
Hopkinton Village Inc	http://	(401) 539-0269	EIN 22-2543688	805 Main Street	Hope Valley	RI	02832	USA	Homeless & Housing, Senior Citizens Housing & Retirement Communities, Seniors			Costs incurred and developer fees received in connection with the development of low income housing.	Develop and maintain low-income housing for the elderly.		
Big Picture Learning	http://www.bigpicture.org	(401) 752-3442	EIN 05-0485883	325 Public St	Providence	RI	02905	USA	Educational Services		United States, Netherlands, Australia, Israel	Develop programs to enhance the capacity of educators to lead and support secondary school programs, develop policies to redesign secondary education programs and use telecommunications to create educational models.	Big Picture Learnings mission is to catalyze vital changes in American education by generating and sustaining innovative, personalized schools that work in tandem with the real world of their greater community.  We design break-through public schools, research and replicate new designs for education, train educators to serve as leaders in their schools and communities, and actively engage the public as participants and decision makers in the education of our youth.   Our philosophy is grounded in educating "one student at a time."  We promote and create personalized education programs that are unique for each student.		
Sweet Binks Rabbit Rescue	http://www.sweetbinks.org		EIN 22-3860898	PO Box 415	Foster	RI	02825	USA	Animal Protection & Welfare, Animal-Related, Animal Services, Animals	abandoned and neglected domestic rabbits	Rhode Island	adoption, educational events, teaching (New England Institute of Technology's Veterinarian Technician Program) and much more.	Sweet Binks seeks to educate the public on proper care, housing, diet, and behavior concerning domesticated rabbits as pets.  Our goal is to end euthanasia of rabbits in our city shelters, and find quality homes for those surrendered to shelters.  Sweet Binks has a custom 1800 sq. ft. shelter to provide sanctuary until being placed.  We also stress the importance of spay/neutering and indoor housing.		145 homeless or cruelty case rabbits
Kwan Um School Of Zen	http://		EIN 22-2488066	99 Pound Rd	Cumberland	RI	02864	USA	Buddhism, Religion						
Sojourner House Inc	http://www.sojournerri.org	(401) 861-6809	EIN 05-0370419	386 Smith St	Providence	RI	02908	USA	Crime & Law, Domestic Violence, Hot Lines & Crisis Intervention, Human Services, Mental Health, Spouse Abuse Prevention, Victims Services			Transitional housing program provides longer-term housing in individual apartments for individuals and families to have a safe place to live while beginning to address the problems that caused their homelessness. The program represents a transition from a life of instability to a life of stability, from dependence to independence, from chaos to order.   emergency shelter is available for adults and children fleeing domestic violence. The emergency shelter provides housing and case management for clients and their children. Clients are supported while they establish financial and emotional stability after leaving their abusers.   sojourner house operates an advocacy and resource center in providence, rhode island. The services provided include walk-in counseling, information and referrals, support groups, community education and outreach and advocacy.   domestic violence education and prevention	Sojourner house's mission is to provide culturally sensitive support, advocacy, safety and respect for victims of domestic abuse; and to affect systems change.		
Grace Family Church of Rhode Island	http://www.gfcri.org		EIN 56-2444368	PO Box 60	West Warwick	RI	02893	USA		individuals and families	Rhode Island	biblical counseling, advocacy, community outreach and educational programs.			30 individuals and couples and 2 local agencies
Pop Warner Little Scholars, Inc.	http://www.eteamz.com/islanders		EIN 05-0383772	17 King Road	Middletown	RI	02842	USA	Football, Recreation & Sports, Sports				Pop Warner Little Scholars' mission is to inspire youth, regardless of race, creed, religion or national origin, and to practice the ideals of sportsmanship, scholarship, and physical fitness, as reflected in the life of the late Glenn Scobie "Pop" Warner.		
East Bay Mental Health Center	http://www.eastbay.org	(401) 437-8844	EIN 05-0374544	610 Wampanoag Trail	East Providence	RI	02915	USA	Community Mental Health Centers, Mental Health			Adult general outpatient services - adult clients were provided psychotherapy and/or medication treatment after appropriate evaluative interventions.   children's mental health services - child clients were provided psychotherapy and/or medication treatment after appropriate evaluative interventions.   community support - adults received psychiatrist and nursing services, case management, vocational services and financial services.	To provide mental healthcare, social services, and substance abuse treatment		
Greater Issue Speaker Series T/A	http://		EIN 57-6055234	Po Box 1802	Providence	RI	02901	USA	Education, Universities						
Lincoln School	http://www.lincolnschool.org	(401) 331-9696	EIN 05-0258900	301 Butler Ave	Providence	RI	02906	USA				Instructional services - programs for students in nursery school through grade twelve.   infant toddler care and extended day care - daycare services for infants and toddlers, after school care for other students.   enrichment programs - programs designed for students to participate in extracurricular activities after school hours.	Lincoln school's mission is to provide an independent college preperatory school for girls where high academic and ethical standards challenge students from nursery through grade twelve to nurture their special talents and interests.		
Narcolepsy Network, Inc.	http://www.narcolepsynetwork.org	(888) 292-6522	EIN 22-2762623	46 Union Drive A212	North Kingstown	RI	02852	USA	Health, Specifically Named Diseases, Voluntary Health Associations & Medical Disciplines	people with narcolepsy	The United States	Conference: each year narcolepsy network (nn) hosts a conference in a different city, which creates a unique gathering for, support, education, awareness building, and networking among people affected by narcolepsy. A selection of workshops, lectures, support forums, energizers and creative activities are some of the offerings at the conference. Graduate students and professionals in health, education, science and government can get a unique perspective on narcolepsy and the effect it has on individuals and families. In 2014, nn hosted the 29th annual conference in denver, colorado. Nearly 450 people with narcolepsy and their supporters attended from all over the world. The conference offered special programming for children and young adults with narcolepsy as well as sessions on research treatment and advocacy. The annual membership meeting was held at the conference and nn presented awards to two researchers.   public information: information provided for public, academic, medical, and other persons interested in obtaining information about narcolepsy, its causes, symptoms and treatments. Creation and distribution of educational materials and brochures, maintenance of website, interactive forum discussion and social media outreach. Nn's facebook and twitter pages, with more than 6,000 followers, and an active facebook support group with nearly 5,000 members continued to bring narcolepsy news and information to people around the world. Fun awareness events continued, including the new york dream big walk, which had more than 145 walkers raise awareness along the hudson river in new york city. The second annual narcolepsy bed race in virginia also reached more than 60,000 in southwest virginia. Narcolepsy network continued outreach to healthcare providers and educators in 2014, including an initiative to educate medical professionals with two posters that were presented at the sleep 2014 meeting, which is attended, by approximately 5,000 sleep professionals.   newsletter, membership & scholarships: our quarterly newsletter, "the network" is for many people the only source of information about narcolepsy. The newsletter is distributed to the membership as well as many non-member sleep centers and professionals. Each newsletter provides information on diagnosis, effective treatments, resources, updates detailing new narcolepsy research, ideas for coping, personal stories and interviews, industry news, legal and insurance guidance and much more. Approximately 2,000 newsletters are printed quarterly. As part of its mission to provide support to people with narcolepsy, narcolepsy network encourages the formation of support groups. In 2014, that network of groups increased dramatically with 12 new groups starting up in cities across the country. There are now more than 30 active in-person groups in the u. S. Approximately 30 full and partial membership, and 25 conference scholarships were provided to members in need.	Narcolepsy Network is a national patient support organization founded in 1986. We are a nonprofit organization that relies on member dues and donations to fund our basic programs. Our primary focus is to:  Educate and inform individuals with narcolepsy about this life-long neurological sleep disorder, available treatments and symptom management so they may be empowered to achieve the highest quality of life possible; Provide emotional support and resources to patients, family members, and friends; Encourage and assist in the formation of local support groups and other support systems; Serve as a resource center for patients, medical providers, educators, employers, and members of the public; Advocate for the interests of all persons with narcolepsy; Promote early diagnosis, optimal treatment and scientific research; Increase public awareness of narcolepsy		
Reach In Ministry, Inc.	http://		EIN 05-0428710	40 Crossman St	Central Falls	RI	02863	USA							
Allegany County Assn For The Blind And Visually Handicapped 70084009	http://	(888) 866-3275	EIN 16-6028548	Po Box 1802	Providence	RI	02901	USA							
Worcester Free Public Library Trust	http://		EIN 04-6155472	Po Box 1802	Providence	RI	02901	USA							
Oakland Beach Learning Resource Center, Inc.	http://		EIN 04-3348347	701 Oakland Beach Ave	Warwick	RI	02889	USA	Child Day Care, Children & Youth						
Block Island Arts & Crafts Guild	http://		EIN 05-0381756	Po Box 1375	Block Island	RI	02807	USA	Fairs, Sports						
Boys & Girls Club of Pawtucket	http://www.bgcpawt.org	401.722.8840	EIN 05-0258924	One Moeller Place	Pawtucket	RI	02860	USA	Boys & Girls Clubs, Children & Youth, Youth Centers & Clubs			Since 1900, the boys & girls club of pawtucket has been a lifesaving agency to youth and families in pawtucket and surrounding communities. We currently serve more than 4,000 children annually in our 42,000 square foot building where we have the space for quiet learning, indoor exercise, art and music studio space, and most importantly, a place where kids know they will be warm and safe after school. We also benefit from a unique park like setting in urban pawtucket where youth can learn about nature and participate in a wide variety of sports and other activities on our fields and forested land. We are also in the midst of a major capital improvement project that will significantly improve upon our existing facility beginning in fiscal year 2015. (see continuation on schedule o)youth members choose a wide variety of daily programs to help them realize their full potential. These programs are focused on three areas, called our formula for impact: academic success, good character & citizenship, and healthy lifestyles.   camp ramsbottom, a scenic, wooded 167-acre property in rehoboth, massachusetts, has been a summer highlight for thousands of kids since 1966. Youth attending camp ramsbottom experience a variety of engaging outdoor activities including: archery, art, basketball, crafts, fishing, hiking, mountain biking, nature exploration, soccer, swimming, tennis and much more.	Our mission is to inspire and enable young people from Pawtucket and surrounding communities, especially those with greatest need, to realize their full potential as healthy, productive, responsible, and caring citizens.		
National Organization Of Mothers Of Twins Clubs, Inc.	http://www.nomotc.org		EIN 05-0369550	14 Holmstead Ct	Jamestown	RI	02835	USA	Human Services				NOMOTC is a network of clubs nationwide, founded in 1960 for the purpose of promoting the special aspects of child development, which relate specifically to multiple birth children.		
Armenian Music Festival Of Ri Inc	http://		EIN 06-1479288	C/o K Petrossian 120 Bolton Avenue	Providence	RI	02908	USA	Arts & Culture, Theater						
Scalabrini Villa Inc	http://		EIN 05-0449292	860 N Quidnessett Rd	N Kingstown	RI	02852	USA	Health, Nursing Facilities, Seniors						
Counseling Resources Associates Inc	http://		EIN 22-2551164	PO Box 1700	Woonsocket	RI	02895	USA	Mental Health, Mental Health Associations						
Blackstone Valley Tourism Council Inc	http://www.tourblackstone.com	(401) 724-2200	EIN 05-0424318	175 Main Street	Pawtucket	RI	02860	USA	Arts & Culture, Historical Organizations			Promotion of historical sites and tourism in the blackstone river valley area in ri and ma.	Promotion of tourism in the blackstone river valley in ri and ma.		
East Bay Realty Corporation	http://	(401) 431-9870	EIN 06-1471318	610 Wampanoag Trail	East Providence	RI	02915	USA	Real Estate Associations			Leased office space to 501(c)(3) organization	To lease office space to 501(c)(3) organization		
Middletown Rescue Wagon Assoc	http://		EIN 05-6010642	239 Wyatt Rd	Middletown	RI	02842	USA	Disaster Aid						
Hope Of Life International	http://hopeoflife.net	(401) 486-6885	EIN 26-2061324	85 Whipple St	Providence	RI	02908	USA	International, International Relief			Missions trips and evangelism - those who are interested in suporting the purpose of the organization are initiated, coordinated and fulfilled. Numerous times during the year missions teams are sent to missions sites, currently, mostly in guatemala. These missions trips include the following activities, distribution of food and clothing to the designated receipients; building of shelters, buildings, including schools, orphanages, hospitals and homes; painting existing structures; conducting bible classes; and conducting worship services.   crisis intervention and evangelism - working with organizations in the united states that have the ability to provide donated items and purchased items to be shipped to the areas of proverty identified by hope of life international (holi) as areas to be helped. Hope of life international then ships the items to those areas	To be a humanitarian organization to		
University Of Rhode Island Foundation	http://www.urifoundation.org	(401) 874-7900	EIN 05-6014351	79 Upper College Rd	Kingston	RI	02881	USA	Education			Building and equipment, the university of rhode island foundation receives gifts on behalf of donors restricted to support building and equipment initiatives through the university campus.   program services, the university of rhode island foundation receives gifts on behalf of donors restricted to support academic programs through the university. Generally, the expenditure is made to the vendor directly by the university with the foundation then providing a grant to the university to fund the expenditures after receiving appropriate documentation. Occasionally the foundation will pay the vendor directly.   scholarships, awards and fellowships, the university of rhode island foundation receives gifts on behalf of donors restricted to the support of financial aid university students. To ensure compliance with all university, federal and state financial aid requirements the university selects the student recipient and makes the awards directly to students. The foundation provides the grants to the university to fund the financial aid expenditures.	To inspire and steward philanthropic support benefitting the university of rhode island.		
Swarts Memorial Fund	http://	(888) 866-3275	EIN 36-6693648	Po Box 1802	Providence	RI	02901	USA	Named Trusts, Philanthropy						
Living In Fulfilling Environments L I F E Inc	http://www.lifeincri.org	(401) 254-2910	EIN 05-0425244	Po Box 449	Tiverton	RI	02878	USA				Operation of group homes for the developmentally disabled.   operation of day programs for the developmentally disabled. Provided 21,919 days worth of services to clients in 2014.   operation of community supported living arrangements for the developmentally disabled. Provided 3,387 days worth of services to clients in 2014.	To provide individualized supportive environments thereby empowering persons with developmental disabilities to achieve their personal goals. Our approach focuses on education and learning through self-advocacy and informed choices while celebrating peoples' unique abilities and preserving equality and human dignity.		
Rhode Island Committee For Non- Violence Initiatives Inc	http://		EIN 05-0486156	PO Box 41483	Providence	RI	02940	USA	Crime & Law						
Nifty Thrifty	http://		EIN 51-0200340	154 Taunton Ave	East Providence	RI	02914	USA	Human Services, Thrift Shops						
College Venture Consortium	http://		EIN 05-0380338	PO Box 1838	Providence	RI	02901	USA	Education						
Chariho-Westerly Animal Rescue League	http://		EIN 05-6034992	Po Box 1706	Westerly	RI	02891	USA	Animal Protection & Welfare, Animals				Provide medical and shelter		
WOMEN'S FUND OF RHODE ISLAND	http://www.wfri.org	401-274-4564	EIN 06-1741539	One Union Station	Providence	RI	02903	USA	Centers to Support the Independence of Specific Populations	advance the lives of women and girls by eliminating gender bias.	State of Rhode Island	Training women in leadership, public policy and advocacy.  The Women's Fund of Rhode Island is the go-to source for policy and research in the advancement of women and girls in our state.	To invest in women and girls in our community through research, advocacy and strategic partnerships to eliminate gender inequity through systemic change.	Through the Women's Policy Institute, the Women's Fund has trained more than 30 women in leadership, public policy and advocacy, to learn how to craft legislation and navigate the State House as policy leaders.  In 2013 this work led to the passage of a historic paid family leave law when Rhode Island became the first in the nation to pass paid family leave law with job security.  The first draft of this legislation was crafted by the Women's Policy Institute class in 2012.  Launched RIGAP - the Rhode Island Government Appointments Project - and successfully partnered with the Governor to more than double the number of women appointed by the Governor to cabinet level positions, boards, and commissions in the public sector.  Learn more at www.wfri.org	
American Association Of Family And Consumer Sciences	http://		EIN 51-0195586	Po Box 10456	Cranston	RI	02910	USA	Food, Home Economics						
Kane Family Memorial Trust	http://	(888) 866-3275	EIN 02-6066071	Po Box 1802	Providence	RI	02901	USA							
Rhode Island Indian Council Inc	http://		EIN 05-0365099	807 Broad Street	Providence	RI	02907	USA	Ethnic &  Immigrant Centers, Human Services, Immigration						
Associates In Education And Prevention In Pastoral Practice	http://		EIN 05-0472884	PO Box 63	N Kingstown	RI	02852	USA	Family Counseling						
Lolita Sheldon Armour Article Viii Charitable Trust	http://		EIN 36-6676138	Po Box 1802	Providence	RI	02901	USA							
The Chipman-Harrison Memorial Fund	http://	(888) 866-3275	EIN 22-2602486	Po Box 1802	Providence	RI	02901	USA							
Saint Elizabeth Manor East Bay	http://www.stelizabethcommunity.org	(401) 471-6060	EIN 05-0456800	1 Saint Elizabeths Way	E Greenwich	RI	02818	USA	Health, Nursing Facilities, Seniors			Saint elizabeth manor, east bay provides 24 hour care in house and makes no disbursements other than to individuals and suppliers for care to residents of the home.	Saint elizabeth manor, east bay provides nursing and rehabilitation services for 133 individuals with a 43-bed special care unit for individuals with alzheimer's disease and related dementias. Short-term transitional care provides individuals with the specialized therapy and rehabilitation needed to return home after hospitalizations.		
National Railroad Foundation & Museum	http://		EIN 05-0379079	32 Ocean View Ave	Tiverton	RI	02878	USA							
Warwick Historical Society	http://		EIN 23-7227503	25 Roger Williams Cir	Warwick	RI	02888	USA							
Thereon Snell B O Masonic Temple	http://		EIN 16-6258874	PO Box 1802	Providence	RI	02901	USA							
Faith Baptist Church	http://		EIN 05-0374663	765 Commonwealth Ave	Warwick	RI	02886	USA							
Chabad Of West Bay Chai Center Inc	http://		EIN 05-0474132	3871 Post Rd	Warwick	RI	02886	USA	Judaism, Religion						
Lively Hope Fellowship Inc	http://		EIN 05-0420683	31 Capwell Ave	Coventry	RI	02816	USA							
Community Health Of Westerly Inc	http://	(401) 596-6000	EIN 22-2490227	25 Wells Street	Westerly	RI	02891	USA	Health, Public Health			The purpose of the corporation shall be to support the advancement of the knowledge and practice of, and education and research in, medicine, surgery, nursing and all other subjects relating to the care, treatment and healing of humans, to improve the health and welfare of all persons, and to sponsor, develop and promote services and programs which are charitable, scientific or educational and which address the physical and mental needs of the community at large.	To support westerly hospital and its affiliated organizations, including medical centers, health care centers, laboratories, clinics, and other medical, surgical, or dental facilities, in the conduct of their charitable, educational, and scientific function.		
Charles F Barth Fbo Whaley Memorial Foundation	http://	(888) 866-3275	EIN 38-6063154	Po Box 1802	Providence	RI	02901	USA							
Boy Scouts Of America	http://www.BSA.scouting.org/		EIN 05-6001678	10 Risho Ave	E Providence	RI	02914	USA	Boy Scouts of America, Children & Youth			The Boy Scouts of America programs, nationally, include Tiger Cubs BSA, Cub Scouting, Boy Scouting, Varsity Scouting and Venturing. To support Boy Scouts of America, visit www.give2bsa.org.	The Mission of the Boy Scouts of America is to prepare young people to make ethical choices over their lifetime by instilling in them the values of the Scout Oath and Law. To support Boy Scouts of America, visit www.give2bsa.org.		
Glocester Heritage Society	http://www.glocesterheritagesociety.org	(401) 568-8095	EIN 23-7146779	Po Box 269	Chepachet	RI	02814	USA				Program service revenue and income from special events and activities was used for upkeep and maintenance of the headquarters building and furtherance of the organization's goals and objectives.	Mission statement: the glocester heritage society identifies, acquires, holds, arranges, restores, maintains and preserves for posterity, buildings, tracts of land and objects of historical, educational, architectural, cultural and other similar interests of outstanding value within the town of glocester, ri.		
Woonsocket North Stars	http://woonsocketnorthstars.org		EIN 22-2521727	Po Box 37	Manville	RI	02838	USA	Camps, Sports			Youth ice hockey sports program.	Youth ice hockey sports program.		
Charles F Barth Fbo Crippled Children	http://	(888) 866-3275	EIN 38-6063155	Po Box 1802	Providence	RI	02901	USA	Health, Specialty Hospitals						
Boys Scouts Of America Long Rivers	http://www.BSA.scouting.org/		EIN 06-0999852	Po Box 6767	Providence	RI	02940	USA	Boy Scouts of America, Children & Youth				The Mission of the Boy Scouts of America is to prepare young people to make ethical choices over their lifetime by instilling in them the values of the Scout Oath and Law. To support Boy Scouts of America, visit www.give2bsa.org.		
Associated Alumni Of Brown University	http://		EIN 95-3658282	38 Brown St Box 1859	Providence	RI	02912	USA							
Jewish Family Service Inc	http://www.jfsri.org	(401) 331-1244	EIN 05-0258888	959 N Main St	Providence	RI	02904	USA				Lifeline services - jewish family service administers lifeline ri, a personal emergency response system for the elderly and disabled to allow them to live safely at home.   home care services - home care solutions provides personal care, meal preparation and other household maintenance tasks to the elderly and disabled to enable them to live in the community and avoid institutionalization.   counseling services - the counseling center provides professional therapy and support to individuals and families in need on issues related to depressions, anxiety, aging and caregiving, grief and loss, trauma and stress, and life transitions.	The mission of jewish family service is to sustain, nurture and strengthen the emotional and general well-being and stability of families and individuals throughout the life cycle, within the framework of jewish tradition and values. The agency provides professional services to the greater rhode island community, with emphasis on recognizing and meeting current and emerging community needs within the framework of jewish tradition and values.		
Trust U/W Isabel L Ritter	http://		EIN 06-6171972	PO Box 1802	Providence	RI	02901	USA							
Clyde W Hall Scholarship Fund	http://		EIN 59-6737566	Po Box 1802	Providence	RI	02901	USA							
