name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs
UNITED WAY OF SOUTH MISSISSIPPI INC	http://www.unitedwaysm.org	228-896-2213	EIN 64-0826356	11975 Seaway Road  Suite b 170	Gulfport	MS	39505	USA		To rally resources to address the community's most pressing needs.					United way of south mississippi works to advance the common good by concentrating on the most critical needs facing our community. Today, more than ever, united way is working to address the issues that south mississippians care most about. We call it advancing the common good. Our goal at united way is to create long-lasting impact. We concentrate our resources on making measurable change in specific, targeted priority areas of education (especially school readiness and 3rd grade reading), income (financial stability), and health. These are the building blocks of a good life.
Tutwiler Clinic Inc	http://		EIN 64-0678336	Po Box 462	Tutwiler	MS	38963	USA	Community Clinics, Health						
West Bolivar Christian Association	http://		EIN 64-0786360	Po Box 65	Rosedale	MS	38769	USA							
Mississippi Industrial Heritage Museum Inc	http://soulelivesteam.com		EIN 04-3725572	Po Box 5031	Meridian	MS	39302	USA	Arts & Culture, Historical Organizations, History Museums, Science & Technology Museums	The mission of the Mississippi Industrial Heritage Museum is to recognize the achievements and preserve the cultural heritage of the industrial age in Mississippi and to provide a sense of awareness and pride in that heritage through programs of active public involvement.  Specifically, the Mississippi Industrial Heritage Museum will collect, preserve, and display the artifacts, history, and folklore of the Soule'' Steam Feed Works and illustrate its fundamental link to the lumber industry.  By providing entertaining and educational information for the public, the museum will positively promote enthusiasm for history, engineering, science, and the industrial arts.					
Youngheart Ministries Inc	http://		EIN 31-1468176	301 Shadowood Ln	Starkville	MS	39759	USA	Arts & Culture, Humanities						
Church After School Association Inc	http://	(662) 842-3887	EIN 64-0661776	213 W Main St Ste 230	Tupelo	MS	38804	USA		Providing after-school care for children of working parents					After-school care for approximately 200 children of working parents
Developmental Learning Center	http://		EIN 64-0857447	1000 W Ridgeway St	Jackson	MS	39213	USA	Family Services for Adolescent Parents						
Southern Pines Animal Shelter	http://www.southernpinesanimalshelter.org		EIN 64-0514796	Po Box 2021	Hattiesburg	MS	39403	USA	Animal Protection & Welfare, Animals	The shelter cares for about 200 animals on any given day.  In 2007, we received 9197 lost, stray, and unwanted pets.  SPAS is an open admission shelter; no animal is turned away.  We receive animals from a 12-county area of south Mississippi.					
Life Line Aviation, Inc.	http://		EIN 64-0856295	686 Virginia Ave Ne	Brookhaven	MS	39601	USA	Emergency Assistance, Human Services						
Friends Of Terry	http://		EIN 64-0816180	Po Box 307	Terry	MS	39170	USA	Community & Neighborhood Development, Economic Development						
Helm Incorporated	http://		EIN 64-0803784	416 W Ash St	Jackson	MS	39203	USA	Racquet Sports, Sports						
Extra Table Inc	http://		EIN 27-3779135	Po Box 17318	Hattiesburg	MS	39404	USA	Food, Food Banks & Pantries						
Mississippi Womens Bowling Association	http://		EIN 64-6023687	879 Lackland Dr	Biloxi	MS	39532	USA	Amateur Sports, Sports						
Columbus Lowndes Humane Society	http://www.clhumanesociety.org	(662) 327-3107	EIN 51-0201986	Po Box 85	Columbus	MS	39703	USA	Animal Protection & Welfare, Animals	It is the mission of the columbus-lowndes humane society to protect animals from suffering and cruelty, to provide care for animals afflicted by neglect, abandonment and exploitation and to enhance the lives of animals and people through education, adoption and compassion.					Animal shelter for stray and abandoned animals, including the provision of medical care, psay and neutering, and adoption services.
Apostolic Assemblies In Jesus Christ Inc	http://		EIN 64-0750959	270 Brisbane Dr Apt 2	Columbus	MS	39702	USA							
National Society Colonial Dames Xvii	http://		EIN 64-0780864	225 Westover Dr	Clarksdale	MS	38614	USA							
Sacred Heart League	http://www.shl.org		EIN 64-0588919	PO Box 300	Walls	MS	38680	USA	Education, Primary & Elementary Schools, Religion, Roman Catholic, Thrift Shops	We offer spiritual, material and educational assistance to Catholics and people of all faiths in the nine northern counties of Mississippi. Currently we are helping to feed, clothe, house and educate some of the thousands of evacuees from Hurricane Katrina that have come to our area.					
Edgar Dewitt Johnson Md Memorial Scholarship	http://		EIN 64-0728758	1008 Oakleigh Dr	Hattiesburg	MS	39402	USA							
Granthi Buddhist Association Inc	http://		EIN 64-0793215	345 Ulman Ave	Bay St Louis	MS	39520	USA	Buddhism, Religion						
Faith Temple Pentecostal Church	http://		EIN 62-1203624	PO Box 1425	Kosciusko	MS	39090	USA							
National Council Of Negro Women Inc	http://		EIN 91-1917336	PO Box 18602	Natchez	MS	39122	USA							
Casa-Prc Incorporated	http://		EIN 26-2977600	PO Box 1439	Picayune	MS	39466	USA	Child Abuse Prevention, Crime & Law, Domestic Violence						
Institute For Development Of Human Performance	http://		EIN 72-0723539	PO Box 386	Waveland	MS	39576	USA							
Isola Christian Community Action Group	http://		EIN 64-0872507	PO Box 186	Isola	MS	38754	USA	Community Service Clubs						
Rush Medical Group Of Newton Pa	http://rushhealthsystems.org	(601) 703-9992	EIN 64-0783323	Po Box 5187	Meridian	MS	39302	USA		Provision of outpatient health care services for newton, ms and the surrounding community.					The provision of outpatient health care services.
St Andrews Mission	http://www.standrewsmission.org	(601) 684-4678	EIN 64-0880295	104 S Front St	Mccomb	MS	39648	USA	Child Day Care, Children & Youth, Community & Neighborhood Development, Economic Development, Family Services for Adolescent Parents, Human Services, Personal Social Services	St. Andrew's mission, inc. (sam) is a non-profit christian community development agency that works in partnership with local families of low-income neighborhoods to improve the quality of life and empower people to become self-supporting.					Thrift stores - sells donated items to provide additional funds for mission's programs  senior center - provides a place to meet the needs of senior citizens  the food ministry - distributes food to those over 65 years of age or the disabled by operating a food pantry.
Parents Without Partners	http://www.parentswithoutpartners.org/		EIN 64-0609792	P.O. Box 6473 Jackson Chapter 452	Jackson	MS	39282	USA	Family Services, Human Services, Single Parent Agencies						
Pass Christian Delisle Community Center	http://		EIN 57-1231422	2108 23RD Ave	Gulfport	MS	39501	USA	Neighborhood Centers						
Citizens Reinvesting In Shaw Corporation	http://		EIN 64-0845107	Po Box 467	Shaw	MS	38773	USA	Community & Neighborhood Development, Economic Development						
Voices For Mississippis Children Inc	http://		EIN 64-0920237	119 Douglas Conner Drive	Starkville	MS	39759	USA	Human Services						
T O U C H Inc	http://		EIN 64-0896039	1100 Main St	Vicksburg	MS	39183	USA	Community Improvement & Capacity Building						
Institute Of Community Services Incorporated	http://www.ics-hs.org	(662) 252-1582	EIN 64-0440304	Po Box 160	Holly Springs	MS	38635	USA	Child Day Care, Children & Youth	To provide preschool and day care services to children primarily from low - income families.					Educational, medical, & handicapped services are provided for approximately 4,000 children  usda food cost reimbursement program assures that balanced meals and snacks are served to the children being served by agency.   the agency administers a program that provides various services to the agency's clientele.
Phi Theta Kappa Chapter	http://		EIN 58-2134368	PO Drawer 13729	Jackson	MS	39236	USA							
Methodist Hospital Of Hattiesburg Inc	http://		EIN 64-0319104	PO Box 17797	Hattiesburg	MS	39404	USA	General Hospitals, Health						
Pine Woods Chapter Of The National Audubon Society	http://		EIN 64-0735900	544 W 4th St	Hattiesburg	MS	39401	USA	Animals, Wildlife Preservation & Protection						
Civil Air Patrol 22095 Group I	http://www.capnhq.gov/		EIN 64-0757343	PO Box 188	Oxford	MS	38655	USA	Disaster Aid, Disaster Preparedness & Relief Services, Human Service Organizations, Human Services	For more than 50 years, the Civil Air Patrol has aggressively performed the missions Congress mandated in 1946: Aerospace Education, Cadet Programs, and Emergency Services.					
Greenville Renaissance Scholars	http://	(662) 378-3813	EIN 26-1184609	323 S Main St	Greenville	MS	38701	USA	Human Service Organizations	Summer academic program, student progress recognition					Summer academic program, student academic regognition  summer academic program, student academic regognition
Dominican Sisters Advocacy For The Poor	http://		EIN 64-0891288	418 Poplar St	Marks	MS	38646	USA	Family Services, Human Services						
Association For The Severly Handicapped	http://		EIN 94-3116051	2064 Salem Rd	Hazelhurst	MS	39083	USA							
Shaw Pit Bull Rescue	http://www.shawpitbullrescue.com	662.386.9153	EIN 46-0852468	158 Center Road	Columbus	MS	39702	USA		Our goal is to provide abused, abandoned or homeless pit bull dogs with the medical attention they need; as well as the love and attention they deserve to heal - both emotionally, and physically.   We will work to facilitate the rescue and placement of abused or abandoned pit bulls into responsible homes and participate in fundraising to provide veterinary treatment; spay/neuter; food and shelter.   We are dedicated to fostering responsible pit bull ownership through education, adoption, and breed advocacy.	135 dogs have found forever homes since June 2012				
Housing Education And Economic Development Inc	http://		EIN 64-0786311	3405 Medgar Evers Blvd	Jackson	MS	39213	USA	Homeless & Housing, Housing Support	To keep the public aware of Fair Housing and Fair Lending laws and issues to empower them to identify and address discriminatory housing practices. Also, to provide better housing through housing counseling activities, such as homebuyer education, credit and financial counseling, and foreclosure prevention counseling.					
Southern Baptist Bivocational Ministers Association Inc	http://		EIN 64-0797436	1758 Florence Byram Rd	Florence	MS	39073	USA	Christianity, Religion						
The Council	http://		EIN 64-0866879	Po Box 84	Greenwood	MS	38935	USA	Human Services						
Adat Inc	http://		EIN 64-0715236	Po Box 6005	Greenville	MS	38704	USA	Mental Health, Substance Abuse Dependency, Prevention & Treatment						
The Shafer Center For Crisis Intervention	http://	(601) 264-7078	EIN 64-0680352	507 N 37th Ave	Hattiesburg	MS	39401	USA	Mental Health, Sexual Assault Services	Organization dedicated to provide victim					Prevention services  client services
Greater New Prospect Missionary Baptist Church Inc	http://		EIN 64-0914846	1500 Bailey Ave	Jackson	MS	39203	USA	Protestant, Religion						
Sons Of Confederate Veterans Inc	http://		EIN 64-0766415	106 E Sixth Ave	Petal	MS	39465	USA							
Education Services Foundation	http://www.esfweb.com	(601) 321-5555	EIN 64-0860939	Po Box 5008	Jackson	MS	39296	USA	Education, Scholarships, Scholarships & Student Financial Aid	Esf was created in 1995 to make certain that mississippi students have access to higher education. Esf offers a comprehensive college planning program providing a range of information and counseling to students and their families on planning and paying for college. Esf also serves as the managing company for mississippi higher education assistance corporation (mheac), the not-for-profit secondary market corporation in the state of mississippi.					Funds contributed to mississippi higher education assistance corporation  providing management services to mississippi higher education assistance corporation  providing services to students and parents including scholarships, college access and financial aid counseling, and mentoring students in mississippi.   default prevention for mississippi community colleges and collection of tuition for nonprofit educational institutions.
Heartland Church	http://		EIN 81-0665156	Po Box 125	Southaven	MS	38671	USA	Protestant, Religion						
Mississippi Library Association Inc	http://		EIN 64-6025475	Po Box 13687	Jackson	MS	39236	USA	Education, Libraries						
New Covenant Presbyterian Church	http://		EIN 72-1351679	PO Box 842	Natchez	MS	39121	USA							
Centreville Academy Inc	http://	(601) 645-5912	EIN 64-0478872	Po Box 70	Centreville	MS	39631	USA	Education, Elementary & Secondary Schools, Literacy	To provide quality education in a rural area, so as to prepare students adequately for college, and at the same time providing normal extra curricular activities.					To provide quality education in a rural area so as to prepare students adequately for college, and at the same time providing normal extra curricular activities.
Hope Foundation Ulj	http://		EIN 72-1371203	1510 19th Ave	Gulfport	MS	39501	USA	Children & Youth, Christianity, Homeless & Housing, Housing & Shelter, Religion, Youth Development	Our purpose is to house, care for and support as many parentless youth and children as possible who have been removed from their biological homes due to no choice of their own. We provide support systems for our families. Our Residental Group and Foster Care Homes provide safe beds to sleep in, permanent stability and loving families in a long term home environment. This effort lessens the burden on the government because these children are at high risk, and need our intervention and care.   We are completely volunteer,grant funded, individually sponsored and active Nationwide. Thank you for your involvement in making the difference in a childs life and future.					
North Gulfport Community Scholar Ship Fund Inc	http://		EIN 64-0808572	4706 Wisconsin Ave	Gulfport	MS	39501	USA							
Northeast Ms Community Svcs Inc	http://		EIN 64-0617544	Po Box 930	Booneville	MS	38829	USA	Human Service Organizations, Human Services	Alleviate conditions of poverty					Transportation - public transportation servicesprovided under federal section 5311 grant with 10 regular routes and approximately 50 scheduled trips per week.   elderly services - provide senior centers, meals, homemaker, transportation and other services to individuals over 60. Following are the approximate number of individuals served in aging programs: 1,500  case management - includes csbg, liheap, weatherization, eitc and other programs which collectively enable provision of broad counseling services and specific assistance to assist low-income individuals for utilities, rent, prescriptions, and other necessities. Approximately 1,920 individuals were served under the combined programs in 2012-13.
A Natural Way	http://		EIN 27-2012481	416 Springwood Cir	Terry	MS	39170	USA	Protestant, Religion						
Brices Crossroads National Battlefield Commission Inc	http://		EIN 64-0867348	111 W Clayton St	Baldwyn	MS	38824	USA	Arts & Culture, Historical Organizations	To preserve the brices crossroads national battlefield, a historical civil war landmark.					Preservation of a historical civil war landmark visited by more than 2,000 people annually. Includes reenactment of the battle of brices crossroads carried out by volunteers from across the country.
Tennessee Branch Of The International Dyslexia Association	http://www.tnida.org	(931) 372-3116	EIN 62-1396428	4539 Big Horn Dr N	Nesbit	MS	38651	USA							Conference with an objective of promoting knowledge of dyslexia and other disorders aimed at teachers, parents, and other professionals
Legacy Education and Community Empowerment Foundation Inc.	http://	(601) 469-0990	EIN 45-3684196	Po Box 88	Forest	MS	39074	USA		Educational and charitable					Real project-designed to celebrate cultural diversity and promote cultural understanding among 20 male youth of color. Travel, rap sessions, and sports are means of effective program objectives and these methods appear to develop self respect and self esteem  parent engagement project (pep)-designed to assist parents as they endeavor to help their children by encouraging responsiblity and positive development of the lives of their children and to expand the horizons of the 15 participants so their lives may be enriched and thereby influencing the futures of their legacies.   save our youth through community action (soytca)-designed to promote programs and activities for all youth to offer positive alternatives to present life choices and steer them from negative choices which will lead to lack of self esteem. There are 10 stakeholders including individuals and organizations. The most recent project has been a series of law enforcement/student dialogue forums wherein students at local high school and middle schools asked law enforcement officers questions and engaged in meaningful dialogue with police officers.
Community Animal Rescue & Adoption	http://www.carams.org		EIN 64-0939568	960 N. Flag Chapel Rd.	Jackson	MS	39209	USA	Animal Protection & Welfare, Animal-Related, Animals	We are a no-kill, non-profit organization that places animals in loving environments and participates in spay/neuter programs with local vets.  We take in as many animals as space allows, no matter the condition they may be in.  We have pets with mange, heartworms, etc. & love each and every one.					
Foundation For Innovation Education & Research In Otorhinolaryngology	http://www.fierovoice.org	(228) 343-0020	EIN 27-2453352	1137 Ocean Springs Rd	Ocean Springs	MS	39564	USA	Ear & Throat Diseases, Health	Open medical forum in new york city new york held for physcians					The new york sinus forum was attended by approximately 250 medical professionals and is one of the fastest growing medical meetings in the united states. State of the art audio visual and staging with several live cases used in the latest surgical procedures in head and neck. Continuing medical education (cme) was available at the forum and also via the web after returning to their respective cities.
Rising Sun Missionary Baptist Church	http://		EIN 31-1470672	Po Box 364	Hernando	MS	38632	USA	Christianity, Religion						
Housing Development Corporation Of Humphreys County Inc	http://	(601) 948-6401	EIN 64-0745739	Po Box	Jackson	MS	39215	USA		Rental of affordable housing units to low-income tenants					Providing twenty hud subsidized efficiency or one bedroom apartments to qualified aged, handicapped, displaced and low-income individuals or families.
Dayspring Ministries Inc	http://		EIN 64-0814536	3583 Forest Dr	Greenville	MS	38703	USA	Interfaith Coalitions, Religion						
National Society Daughters Of The American Colonists	http://		EIN 74-2110008	244 Northwood Dr	Morton	MS	39117	USA							
Ebony Pearls Foundation Inc	http://www.ebonypearlsfoundation.com	(601) 214-5697	EIN 64-0896208	Po Box 10054	Jackson	MS	39286	USA	Philanthropy, Public Foundations	To provide community service to citizens in the jackson, mississippi metro area through community service projects and scholarships					Cotillion for inner city youth-to provide activities that enhance life skills  conferences and workshops-to provide informational activities te educate the community youth about health, reading and other important skills  scholarships- to provide scholarships to students who will be attending historically black colleges & universities
Mississippi Drug Testing Consortium Inc	http://		EIN 64-0786720	884 Luckney Rd	Brandon	MS	39047	USA	Mental Health, Substance Abuse Prevention						
Lupus Foundation Of America Mississippi Chapter	http://		EIN 64-0700332	PO Box 24292	Jackson	MS	39225	USA							
William Carey College Development Foundation Inc	http://	(601) 318-6193	EIN 64-0656856	498 Tuscan Avenue Campus Box 2	Hattiesburg	MS	39401	USA	Education	Investment of donor funds, the income of which is used for scholarships and other programs for william carey university.					No program service expenses in the current year
National Football Foundation And College Hall Of Fame Inc	http://		EIN 64-0623112	2103 Washington Ave	Pascagoula	MS	39567	USA							
Compass Points Educational Foundati On	http://		EIN 64-0945620	PO Box 565	Houston	MS	38851	USA	Arts & Culture, Radio						
Helping Hands Ministries Of Attala County Inc	http://	(662) 289-7031	EIN 64-0744335	Po Box 299	Kosciusko	MS	39090	USA	Emergency Assistance, Human Services	To provide food and clothing to needy individuals.					Provided food and clothing to needy individuals  provided food and clothing to needy individuals
Compassionate Friends, Inc.	http://		EIN 62-0728172	40 County Rd 417	Greenwood	MS	38930	USA							
Good Samaritan Center Inc	http://goodsamaritancenter.org	(601) 355-6276	EIN 64-0538126	114 Millsaps Ave	Jackson	MS	39202	USA	Emergency Assistance, Human Services	To assist families and individuals overcome economic and social disadvantage by providing nurture, support, and empowerment; especially but not exclusively, as it focuses on assissting in emergency situations.					Social servicesgood samaritan center focuses on families in crisis and a great number of these families require basic needs assistance. The organization's largest basic need program helps families with clothing items that they cannot afford. The program helps families recovering from fires, burglaries, and shelter stays. The second largest basic need program is the food assistance program where donated and purchased food items are given to families. These families can have a verifiable food crisis of have recently begun the application process for public food assistance through the departmetn of human services. The furniture and household program assists families in crisis (fire, burglary, domestic violence, ect. ) as well as low-income families with used household items donated to our nonprofit. This assistance is given after household members meet and are counseled by a case manager. In the financial assistance programs, good sameritan's case management team strives to make a "long-term" differnece in a person's life by using the occasion of "short-term" assistance. In these programs verifiable emergency is required as well as a plan to help get the client out of the crisis. Case managers help the client determine the cause of the emergency and also educate the client on budgets and basic living skills in order to help avoid a reoccurence of the situation.   community soup kitchen and meals with wheels:the community soup kitchen, located in the heart of the downtown low-income residential section of laurel, ms serves hot meals monday thru friday from 11 till 1 pm. No payment or screening is required for this service and all members of the community are welcome to come to eat a nutritious meal and fellowship with others in a safe friendly enviorment.
Five County Child Development Program Inc	http://	(601) 792-5191	EIN 64-0513252	Po Box 1195	Prentiss	MS	39474	USA		Headstart agency					Conducting a headstart program benefiting children.   providing transportation service to the ms department of human services and the general public with emphasis on low-income, elderly and handicapped resident.
Women Work The National Network For Women's Employment, Inc.	http://		EIN 64-0788363	Hinds Comm College Utica Campus	Utica	MS	39175	USA							
Indianola Rotary Club Educational Trust	http://		EIN 23-7100844	1207 Cardinal Cir	Indianola	MS	38751	USA							
Greater Columbus Learning Center Inc	http://www.gclc88.org	4199712490	EIN 64-0763848	612 Military Road	Columbus	MS	39701	USA	Education, Literacy, Remedial Reading & Encouragement	To ensure that persons from all sectors of the community have an opportunity to continue their education and improve employability.					Literacy education
Preservation Yazoo	http://		EIN 26-0714395	321 E Madison St	Yazoo City	MS	39194	USA	Disaster Aid, Disaster Preparedness & Relief Services						
God Cares Ministries	http://		EIN 74-2691899	Po Box 61	Mchenry	MS	39561	USA	Interfaith Coalitions, Religion						
Women's Aglow Fellowship	http://www.aglow.org/		EIN 93-0838896	20 Bessie Bradley Rd Greenwood MS Aglow	Isola	MS	38754	USA	Christianity, Religion	Aglow International is an intercultural transdenominational organization of Christian women with more than 3,500 fellowships in more than 151 nations. Our mission is to lead women to Jesus Christ and provide opportunity for Christian women to grow in their faith and minister to others. Aglow's vision to impact the lives of women worldwide is expressed in the strategic focuses of: Prayer, Evangelism, Relationship, and Reconciliation.					
American Institute Of Industrial Engineers Inc	http://		EIN 51-0153768	Po Box 9542	Ms State	MS	39762	USA							
Harvest Of Faith Church	http://		EIN 31-1506744	1520 Colonial Hills Dr	Southaven	MS	38671	USA	Christianity, Religion						
Bicycle Advocacy Group Of Mississippi	http://		EIN 64-0819065	Po Box 515	Jackson	MS	39205	USA	Disaster Aid, Fire Prevention, Health, Sports						
National Leighs Disease Foundation	http://		EIN 64-0771754	PO Box 2222	Corinth	MS	38835	USA							
Jefferson County Coalition For Honest Government	http://		EIN 72-1349231	PO Box 278	Fayette	MS	39069	USA	Community Improvement & Capacity Building						
New Dimensions Development Foundation Inc	http://	(601) 969-9856	EIN 64-0800603	111 W Monument St	Jackson	MS	39202	USA		The purpose of the organization is to promote, through education and leadership, economic development for the residents of mid-town jackson, ms.					The purpose of the organization is to promote, through education and leadership, economic development for the residents of mid-town jackson, ms. The organization operates a shelter for homeless women with children called "lizzie's house" and a food pantry for the homeless.
Mississippi Vision Foundation	http://		EIN 64-0736740	141 Executive Dr Ste 5	Madison	MS	39110	USA							
Mississippi Engineering Society Mes State Scholarship Fund	http://	(601) 919-1818	EIN 64-0604176	300 Castlewoods Blvd Ste 10	Brandon	MS	39047	USA		Provide scholarships for engineering students to further their education in the engineering field					Scholarships are available for high school seniors, current engineering undergraduate students, and current engineering graduate students to further their education in the engineering field.
Tunica Humane Society	http://		EIN 26-3100061	Po Box 236	Tunica	MS	38676	USA	Animal Protection & Welfare, Animals						
Kevin M Williams Ministries Inc	http://		EIN 64-0862775	2513 Hampton Ave	Tupelo	MS	38801	USA	Protestant, Religion						
The Tate County Mississippi Genealogical Society Inc	http://		EIN 64-0708600	105 Court St	Senatobia	MS	38668	USA							
Iuka Gospel Assembly Church	http://		EIN 23-7034184	Po Box 282	Iuka	MS	38852	USA							
Christ Community Church Of Hernando	http://		EIN 72-1358675	Po Box 192	Hernando	MS	38632	USA	Christianity, Religion						
Walthall County Mississippi Tr For Preservation Of Hist Culture & Art	http://		EIN 72-1378607	184 Bethlehem Loop Rd	Kokomo	MS	39643	USA	Education, Scholarships, Scholarships & Student Financial Aid						
Gap Ministries Outreach	http://		EIN 64-0897995	42 Roxie Ext Nw	Roxie	MS	39661	USA	Protestant, Religion						
Covenant Presbyterian Church 307 Ivy Ave	http://		EIN 64-0671436	PO Box 82	Louisville	MS	39339	USA							
Southern Jewel Dog Rescue	http://		EIN 27-2215302	6890 Oak Shadow	Olive Branch	MS	38654	USA	Animal Protection & Welfare, Animals						
Foundation On The Rock Ministries	http://		EIN 80-0693307	321 Railroad Ave	Terry	MS	39170	USA	Mental Health, Substance Abuse Treatment						
Mississippi Association Of Partners In Education Inc	http://www.mapie.org	(601) 605-0577	EIN 64-0838283	Po Box 2803	Madison	MS	39130	USA	Education, Educational Services	The mississippi association of partners in education is committed solely to providing training and materials to help build local support for the success of all students.					In the 2014-15 fiscal year, mape had 103 school district members and 8 business memberships along with numerous individual memberships. Mape continued its collaboration with preps at mississippi state university to present the 30th annual conference devoted to training and recognition of outstanding partnership activities. Mape highlighted award-winning and replicable partnership activities at the 13th annual governor's awards for exemplary partnerships as a part of the conference. More than 520 people from approximately 120 schools and 60 businesses and community organizations attended this two and a half day event. Mape responded to approximately 12 telephone requests and electronic inquiries for suggestions and ideas from schools working on partnership activities. Mape board members presented at 7 state-wide and regional events to help spread the partnership message. Mape posted narratives from award winning programs on their website at www. Mapie. Org so that schools and their partners can use ideas from around the state. There are now more than 100 samples of award winning activities. Since 2007, mape has recognized individuals in mississippi who have helped improve and promote public education in the state. The winter-reed partnership award was launched by mape in 2007 to honor the unique bi-partisan partnership forged by former gov. William winter and tupelo businessman jack reed sr. To advance public education in mississippi. In addition to gov. Winter and mr. Reed, honorees have included the late senator gray ferris, dr. Cathy grace, former house speaker pro temp robert clark, and the "boys of spring" including dick molpus, john henegan, andy mullins, and david crews. Ray mabus was not able to participate due to navy policy and bill gartin was unable to attend. For the 2012 event, mape honored brothers claiborne and jim barksdale. In 2013, the honoree was dr. Aubrey lucas and in 2014, the honoree was dr. Hank bounds. This event is broadcast state-wide by mississippi public broadcasting. Mape held a board planning retreat in july 2014 to outline the program of work for the coming year. Mape initiated contact with several other organizations to discuss joint programming. Mape promoted the popular guide to partnership building as well as materials to highlight the services that mape offers throughout the state. Mape has served as a statewide network of educators and community partners since 1984 and is a 501(c)(3) non-profit organization and is committed solely to providing training and materials to help build local support for the success of all students. The board of directors comprises business leaders, educators and other community leaders who have a deep commitment to partnerships in their communities and those across the state.
Spca Of Diamondhead Inc	http://		EIN 64-0820056	Po Box 6481	Diamondhead	MS	39525	USA							
Covenant House Outreach Ministries	http://		EIN 20-8866416	132 Sunset Plaza Ste N	Grenada	MS	38901	USA	Protestant, Religion						
Shepherds Staff Ministries Inc	http://www.the-shepherds-staff.com	(601) 664-0455	EIN 64-0654024	200 Park Circle Dr Ste 1	Flowood	MS	39232	USA		Provision of professional counseling and education services in a non-denominational setting dedicated to spiritual ideals, thus helping individuals, couples, families, and our larger community realize hope through empowerment, restoration, and growth.					The shepherd's staff therapists provided professional individual, family or couples counseling/therapy to more than 944 people. This included more than 49% at reduced fees, as well as free sessions to more than 470 people with terminal illnesses, frail elderly persons, persons with mental illness and families with special needs such as long-term economic loss or family tragedies.   community outreach/educational services were provided to approximately 141 people in hospitals,churches, schools, and workplaces.
Pta Mississippi Of Congress	http://		EIN 64-0865007	PO Box 720066	Byram	MS	39272	USA	Unknown						
Ballet Mississippi Foundation	http://	(601) 856-9518	EIN 64-0668124	401 Roses Bluff Dr	Madison	MS	39110	USA	Arts & Culture, Ballet	Support of public arts					Assets received by way of gift, bequest, or purchase are held and administered for the support of public ballet association and allocated to ballet mississippi.
