name	url	telephone	tax_num	street	locality	region	postcode	country	Mission	Geographic areas served	Causes	Results	Target demographics	Direct beneficiaries per year	Programs
Iglesia De Dios Pentecostal M I Movimiento Internacional	http://		EIN 66-0497143	Po Box 21065	San Juan	PR	00928	USA	Missions Trip Dominican Republic 2008						
Alianza Municipal De Servicios	http://		EIN 66-0475971	Po Box 8518	Caguas	PR	00726	USA							
Proyecto Aurora Inc	http://		EIN 66-0529432	215 Calle Cornell	San Juan	PR	00927	USA			Family Services for Adolescent Parents				
Hogar De Ayuda El Refugio Inc	http://		EIN 66-0477909	Po Box 3118	Catano	PR	00963	USA			Mental Health, Substance Abuse Dependency, Prevention & Treatment				
Saint Johns School	http://		EIN 66-0199364	1454 Ave Ashford	San Juan	PR	00907	USA	Superior English language education.		Education, Elementary & Secondary Schools, Literacy				
Iglesia Carismatica Jesucristo El Salvador Inc	http://		EIN 66-0483973	Parcela 640 Bo Hatillo	Villalba	PR	00766	USA							
Iglesia Carismatica El Camino Inc	http://		EIN 66-0463753	953 Calle Juan Pena Reyes	Rio Piedras	PR	00924	USA							
Center For The New Economy Inc	http://		EIN 66-0566096	206 Tetuan St 1002 Banco Bldg	San Juan	PR	00902	USA	THE MAIN UBJECTIVE OF THE URGANIZATION IS TO PRODUCE RESEARCH AND ANALYSIS AND DEVELOP INNOVATIVE POLICY IDEAS ADDRESSING IN PARTICULAR, BUT NOT EXCLUSIVELY, THE ECONOMIC DEVELOPMENT OF PUERTO RICO AND ITS CITIZENS AND TO CONDUCT ANY OTHER LAWFUL ACTIVITIES THAT WILL BE IN FURTHERANCE OF THE ORGANIZATION'S CHARITABLE AND EDUCATIONAL PURPOSES.		Education, Educational Services				
Fundacion De Desarrollo Comunal De P R Inc	http://		EIN 66-0264286	Po Box 6300	Caguas	PR	00726	USA			Homeless & Housing, Homeless Shelters				
Ryder Memorial Hospital Inc	http://	(787) 852-0768	EIN 66-0258919	Po Box 859	Humacao	PR	00792	USA	The hospital provides needed health care services to the community.		General Hospitals, Health				The organization is a non-profit hospital organized under the laws of the government of puerto rico which provides inpatient and outpatient services, including emergency services. The services are provided primarily to the population under the medicare program, puerto rico health reform program and commercial insurance carriers. For the year ended december 31, 2014, hospital inpatient admissions were 7,749. Patient days amounted to 70,513.
Southeastern Mennonite Conference Inc	http://		EIN 23-7247277	Hc 1 Box 3321	Florida	PR	00650	USA							
React International	http://		EIN 91-1867171	PO Box 871	Anasco		00610								
Iglesia Carismatica El Nuevo Nacimiento Inc	http://		EIN 91-1906266	Bo Dominguito	Arecibo	PR	00612	USA							
Bella Vista Hospital Inc	http://		EIN 66-0204776	Po Box 1750	Mayaguez	PR	00681	USA			Health, Hospitals				
Fundacion Modesto Gotay Pro Ninos Mentalmente Impedidos Inc	http://		EIN 66-0219031	Po Box 665	Trujillo Alto	PR	00977	USA							
Ymca Of San Juan	http://www.ymca.net		EIN 66-0190784	Po Box 360590	San Juan	PR	00936	USA	Founded in 1883, YMCAs collectively make up the largest nonprofit community service organization in America. YMCAs are at the heart of community life in neighborhoods and towns across the nation. They work to meet the health and social service needs of 16.9 million men, women and children.		Human Services, Physical Fitness & Community Recreational Facilities, Sports, Young Mens or Womens Associations				
Wisconsin Evangelical Lutheran Synod Wels	http://		EIN 66-0448447	PO Box 458	Guayama		00785								
Iglesia Carismatica Cristianos Renovados Inc	http://		EIN 66-0427218	Bo Torugo Carretera 873	Rio Piedras	PR	00926	USA							
Carlos Albizu University	http://www.albizu.edu	(787) 725-6500	EIN 66-0234412	Po Box 9023711	San Juan	PR	00902	USA	Carlos albizu university is an institution of higher education dedicated to academic excellence and research from a puralistic and multidimensional perspective. We educate students able to serve a higher complex and diverse society, with sensitivity to those most in need. We contribute to the improvement the quality in our communities by training professionals with multicultural competencies. We distinguish ourselves through an educational philosophy based on a commitment to social responsibility, characteristic of all our programs and services.		Education				Postsecondary education, general/other: multidisciplinary institution that provide quality training at both graduate and undergraduate levels. This training is address to help minorities to achieve their goals in a multicultural environment.   mental health clinic
Compania De Vivienda Para Ancianos	http://	(787) 785-2900	EIN 52-1180878	State Hwy 171 Km 07	Bayaman	PR	00959	USA	The promotion of the welfare of the needy elderly and disabled persons and families through the development, operation and management of housing for low and moderate income persons and families.		Homeless & Housing, Senior Citizens Housing & Retirement Communities, Seniors				The operation of a 100 unit low income elderly housing project
Civil Air Patrol 52000 Pr Wing Support	http://www.capnhq.gov/		EIN 58-1781039	PO Box 9066521	San Juan		00906		For more than 50 years, the Civil Air Patrol has aggressively performed the missions Congress mandated in 1946: Aerospace Education, Cadet Programs, and Emergency Services.		Disaster Aid, Disaster Preparedness & Relief Services, Human Service Organizations, Human Services				
Caribbean University	http://www.caribbean.edu	(787) 780-0070	EIN 23-7409172	Po Box 493	Bayamon	PR	00960	USA	College's provision of higher education to students under degree program.						Education services 4,128 undergraduate and 1,013 graduate students.
Hermanos Franciscanos De La Providencia Inc	http://		EIN 66-6424048	Box 6801 Carr 642 Km 22	Manati	PR	00674	USA							
Puerto Rico Conservation Trust	http://www.fideicomiso.org	(787) 722-5834	EIN 66-0288581	Po Box 9023554	San Juan	PR	00902	USA	To protect and enhance the natural resources of puerto rico.		Environment, Natural Resources Conservation & Protection				To protect and enhance the natural resources of puerto rico and to perform the functions of the united states and puerto rico in the area of conservation. Develop programs aimed at educating the public about environmental issues and the need to protect and conserve natural resources.
Asamblea Familiar Virgilio Davila Inc	http://		EIN 66-0487112	Po Box 607071	Bayamon	PR	00960	USA	"To keep children, between the ages of 6 to 12 living in the public housing project Residencial Virgilio Dvila, away from drug use, scholastic desertion and premature pregnancy by providing educational, recreational, sport and administrative programs focused in the promotion of ethical, social and spiritual values in a healthy environment in an effort to improve their quality of life, while managing our financial resources effectively to assure a healthy organizational economy needed to maintain this program".		Child Abuse Prevention, Child Day Care, Children & Youth, Crime & Law, Domestic Violence, Education, Mental Health, Student Services, Substance Abuse Prevention				
Iglesia Manantial De Vida Inc	http://		EIN 66-0441776	Expreso Arecibo A Lares Carr 129 Bo	Lares	PR	00669	USA							
Pr Summit Coordinating Committee, Inc.	http://		EIN 66-0506100	Pmb# 225, 1357 Ashford Avenue, Suite 2	San Juan		00907				Human Service Organizations, Human Services				
Fondos Unidos De Puerto Rico Inc	http://		EIN 66-0269222	Po Box 191914	San Juan	PR	00919	USA			Federated Giving Programs, Philanthropy				
Civil Air Patrol 52154 Hatillo Camuy Cadet Squadron	http://www.capnhq.gov/		EIN 58-1777997	Calle Betances 6	Camny		00627		For more than 50 years, the Civil Air Patrol has aggressively performed the missions Congress mandated in 1946: Aerospace Education, Cadet Programs, and Emergency Services.		Disaster Aid, Disaster Preparedness & Relief Services, Human Service Organizations, Human Services				
Instituto Del Hogar Celia Y Harris Bunker Inc	http://		EIN 66-0215050	Po Box 20155	Rio Piedras	PR	00928	USA			Family Services, Human Services				
Pro Viviendas Iv Inc	http://		EIN 66-0519281	Po Box 10563	San Juan	PR	00922	USA	To preserve affordable rental housing for moderate and low income families.		Homeless & Housing, Housing Development, Construction & Management				
Lutheran Social Services Of Puerto Rico	http://		EIN 66-0420997	150 Calle Del Parque	San Juan	PR	00911	USA							
Corporacion De Puerto Rico Para La Difusion Publica	http://www.tutv.puertorico.pr	(787) 766-0505	EIN 66-0453951	Po Box 190909	San Juan	PR	00919	USA	Provide wholesome entertainment and education to the residents of puerto rico through the government radio and television facilities.		Arts & Culture, Media & Communications				Media and communications programs - integrate, develop, and operate radio, television and electronic communication facilities of the commonwealth of puerto rico. Used for educational, cultural and public interest, not for private purposes.
Academia Maranatha Inc	http://		EIN 66-0443295	Po Box 1655	Rio Grande	PR	00745	USA							
Families Planning Association Of Puerto Rico	http://		EIN 23-7034732	Po Box 192379	San Juan	PR	00919	USA							
Ciudadanos Del Karso Inc	http://		EIN 66-0514059	Urb Las Cumbres 267 Sierra Morena P	San Juan	PR	00926	USA			Animals, Wildlife Sanctuaries				
Centro De Diagnostico Para Inteligencias Multiples Inc	http://		EIN 66-0436383	Po Box 270076	San Juan	PR	00928	USA			Centers to Support the Independence of Specific Populations, Human Services				
La Fondita De Jesus	http://		EIN 66-0426787	Po Box 19384	San Juan	PR	00910	USA	We try to provide the homeless with some of their basic needs.  We join them in their quest to integrate into a community where they can be nurtured and where they can contribute to the community according to their abilities.  This means to favor the creation of rehabilitation alternatives, low-cost single housing, employment opportunities, income security, vocational or any other kind of education, and health services.  If due to their condition they are unable to contribute anything because of their age or mental or physical disability, we want to make sure that they can live and die with dignity.		Crime & Law, Crime & Legal-Related, Employment, Homeless & Housing, Homeless Centers, Human Services, Job Training				
Strive De Puerto Rico Inc	http://		EIN 66-0582306	PO Box 4952	Caguas		00726				Employment, Job Training				
Andanza Inc	http://		EIN 66-0563521	Urb Santa Rita 1091 Ramirez Pabon	San Juan	PR	00925	USA			Arts & Culture, Dance				
Iglesia Asambleas De Dios De Irlanda Heights Inc	http://		EIN 66-0493015	Po Box 1229	Bayamon	PR	00960	USA							
Teen Challenge De Puerto Rico Inc	http://		EIN 66-0313822	Po Box 4273	Bayamon	PR	00958	USA			Children & Youth, Youth Development Programs				
International Reading Association, Inc.	http://		EIN 66-0365851	San Leandro 442 Sag Corazon	San Juan		00926								
Institute Of Management Accountants Inc	http://		EIN 22-3189562	PO Box 1	Carolina		00986				Chambers of Commerce & Business Leagues				
Dewey University Inc	http://	(787) 753-0039	EIN 66-0498051	Po Box 19538	San Juan	PR	00910	USA	Non profit educational institution with ten facilities located in san juan, bayamn, fajardo, mayaguez, arroyo, juana daz, hatillo, manat, carolina and naranjito. The university is licensed by the pr general council and accredited by the accrediting council for independent colleges and schools (acics) agency. Also, the university has a program participation agreement with the us department of education.		Education, Vocational & Technical Schools				To train students for the employment market in their initiation in continued professional, intellectual, and personal development.
Proyecto Sueno De Amor Sida Pediatrico Inc	http://		EIN 66-0526451	PO Box 6480	Caguas		00726				Ambulatory & Primary Health Care, Health				
Caribbean Christian Crusade Inc	http://		EIN 23-7283277	18 Calle Solimar	Mayaguez	PR	00680	USA							
Asistencia Legal Y Contributiva De Puerto Rico Inc	http://		EIN 66-0676942	F9 Calle Castilla	Bayamon	PR	00956	USA			Crime & Law, Legal Services				
Producir Inc Una Corp De Desarrollo Comunal Y Econ Para Cubuy Y Lomas	http://www.producirpr.org	(787) 294-1016	EIN 66-0428651	Po Box 35000	Canovanas	PR	00729	USA	Produce to improve self image of the puerto rican, rjavascript:__dopostback('ctl00$ctl00$m1c$cmainmenu_955','form990header\\form990part4_1')educe their dependance and promote a model of community economic development to bring economic prosperity to the families served by producir.		Community & Neighborhood Development, Economic Development				Management of such low income housing to promote and maintained physical infraestructure system to create a good quality level of live for low income family.   to foment the acquisition of knowledge of science and appropriatate technology that would stimulate the economic development of rural area.   to develope activities that foment economic growth through culture, education, security, discipline, health and desirable costume of the company.
Atlantic College, Inc.	http://		EIN 66-0404491	PO Box 3918	Guaynabo		00970				Education, Undergraduate Colleges				
Iem Al Amparo De La Roca	http://		EIN 31-1392381	Hc 3 Box 7935	Las Piedras	PR	00771	USA							
Full Gospel Businessmens Fellowship International	http://		EIN 66-0359539	Po Box 9600	Caguas		00726								
March Of Dimes Birth Defects	http://		EIN 91-1783953	258 San Jorge St	San Juan		00912								
Ryder Health Plan Inc	http://	(787) 852-0846	EIN 66-0407821	353 Ave Font Martelo Ste 1	Humacao	PR	00791	USA	Providing comprehensive health care services on a prepaid and at a low cost to subscribers		Group Health Practices, Health				Ryder health plan, inc. (the plan) was created for the purpose of providing comprehensive health care services on a prepaid basis and for the purpose of establishing and operating organized health maintenance and health care delivery systems.
Ryder Assisted Care Inc	http://	(787) 852-0768	EIN 66-0537553	Po Box 859	Humacao	PR	00792	USA	To provide housing to low-income individuals with disabilities.		Homeless & Housing, Senior Citizens Housing & Retirement Communities, Seniors				Ryder assisted care, inc. (the company) was organized as a non-for-profit organization under the laws of the commonwealth of puerto rico on may 8, 1996. The company is a 41-unit apartment facility for persons with disabilities located in humacao, puerto rico. It is operated under section 811 of the national housing act of 1990 and regulated by the u. S. Department of housing and urban development (hud) with respect to rental charges and operating methods. During the year the average percentage of occupancy was 99. 67%.
Mision Christiana Jehova-Nisi	http://		EIN 31-1483363	Po Box 8758	Humacao	PR	00792	USA							
Instituto Prevocacional E Industrial De Puerto Rico	http://		EIN 66-0421420	Po Box 1800	Arecibo	PR	00613	USA							
Colegio Radians Inc	http://		EIN 66-0373751	Po Box 371298	Cayey	PR	00737	USA			Education, Elementary & Secondary Schools, Literacy				
Misioneras Del Santisimo Sacramento Y Maria Immaculada	http://		EIN 66-0516504	Fernandez G 209	Luquillo	PR	00773	USA							
Casa Juan Bosco Inc	http://		EIN 66-0540316	Po Box 1836	Aguadilla	PR	00605	USA			Human Service Organizations, Human Services				
Costa Salud Community Health Centers Inc	http://	(787) 823-5555	EIN 66-0428488	Po Box 638	Rincon	PR	00677	USA	To provide high quality primary health care services to low income individuals and families in the area of rincon, puerto rico and other adjacent areas.						To provide high quality primary health care services to low income individuals and families in the area of rincon, puerto rico and other adjacent areas.
Programa Head Start Council For Preschool Children Of P R Inc	http://		EIN 66-0441507	PO Box 21428	San Juan		00928								
Centro De Estudios Avanzados De Puerto Rico Inc	http://		EIN 66-0380848	Po Box 9023970	San Juan	PR	00902	USA			Education, Graduate & Professional Schools				
Corporacion Educativa Ramon Barquin	http://www.amapr.org	(787) 720-6801	EIN 66-0244040	Po Box 7884	Guaynabo	PR	00970	USA	To develop students into leaders and instill in them the spiritual, democratic and civic values necessary to promote a positive transformation of our society. To develop students personality holistically in an enviroment of human dignity and academy excellence.		Unknown				As an educational institution the largest and primary exempt purpose achievements has been to develop the learning skills and spiritual, democratic and civic values of the pre-school, primary, elementary and secondary students in order to became excellent professionals and ecological, biological, psychological and social well-beings.
Migrant Health Center	http://www.mhcnon-profit.com	(787) 834-1924	EIN 66-0427801	Po Box 7128	Mayaguez	PR	00681	USA	Provide comprehensive primary care services to the special population at the western region of puerto rico which included migrants and seasonal farms worker, homeless and the general community.						Provide comprehensive primary care services to the special population of the western region in puerto rico which included migrants and seasonal farm workers, homeless, general community. Also received grants for hiv, substance abuse and prevention activities for community based organization.
Fajardo Integral Community Development Corporation	http://		EIN 66-0431102	A22 Calle B	Fajardo	PR	00738	USA			Homeless & Housing, Housing Development, Construction & Management				
Asociacion Pro Juventud Y Comunidad De Barrio Palmas Inc	http://		EIN 66-0406990	Po Box 63476	Catano	PR	00963	USA			Community & Neighborhood Development, Economic Development				
Mision Christiana Eden	http://		EIN 91-1874634	Po Box 386	Sabana Hoyos	PR	00688	USA							
Sigma Theta Tau International Inc Epsilon Lambda Chapter 129	http://		EIN 93-0800186	Po Box 9000	Mayaguez	PR	00681	USA							
Civil Air Patrol, Inc.	http://www.capnhq.gov/		EIN 66-0507416	Hc 02 Box 7270	Quebradillas		00678		For more than 50 years, the Civil Air Patrol has aggressively performed the missions Congress mandated in 1946: Aerospace Education, Cadet Programs, and Emergency Services.		Disaster Aid, Disaster Preparedness & Relief Services, Human Service Organizations, Human Services				
Servicios Cientificos Y Tecnicos Inc	http://		EIN 66-0451708	Rr Box 1722	San Juan	PR	00926	USA	The organization mission is to help reduce threats to the environment, including human health by providing research, Consultation and education on environmental issues.		Education				
American Institute Of Chemical Engineers	http://		EIN 93-1227870	100 Gran Boulevard Paseos Suite 112	San Juan	PR	00926	USA							
La Casa Del Libro Inc	http://		EIN 66-0261701	Po Box 9023544	San Juan	PR	00902	USA			Arts & Culture, Museums				
Spina Bifida & Hidrocephalus Association Of Puerto Rico Inc	http://www.sbaa.org/		EIN 66-0423489	Po Box 8262	Bayamon	PR	00960	USA	The Mission of the Spina Bifida Association of America is to promote the prevention of spina bifida and to enhance the lives of all affected. The Association was founded in 1973 to address the specific needs of the spina bifida community and serves as the national representative of over 70 chapters. SBAA's efforts benefit thousands of infants, children, adults, parents and professionals each year.		Birth Defects & Genetic Diseases, Health				
Iglesia Episcopal Puertorriquena Inc	http://		EIN 66-0197834	Po Box 902	Saint Just	PR	00978	USA							
Servicios De Salud En El Hogar El Nazareno Inc Box 594	http://		EIN 66-0361755	Po Box 29492	San Juan	PR	00929	USA							
Iglesia Pentecostal Vida Y Verdad De Las Asambleas De Dios	http://		EIN 22-3480547	Po Box 2877	Guayama	PR	00785	USA							
Pro Arte Musical Inc	http://		EIN 66-0387455	Po Box 361812	San Juan	PR	00936	USA			Arts & Culture, Music				
Atrevete Inc	http://		EIN 66-0401814	PO Box 6783	San Juan		00914								
Biblioteca Jane Stern	http://		EIN 66-0360258	Po Box 609	Dorado	PR	00646	USA	PUBLIC LIBRARY SERVICES						
Fundacion Puertorriquena Sindrome Down	http://		EIN 66-0480413	Po Box 195273	San Juan	PR	00919	USA			Down Syndrome, Health				
Puerto Rico Neighborhood Housing Services Corp	http://		EIN 66-0528601	Po Box 13926	San Juan	PR	00908	USA			Homeless & Housing, Housing Development, Construction & Management				
Iglesia Evangelica Misionera Distrito De Puerto Rico	http://		EIN 31-1390717	Po Box 71325	San Juan	PR	00936	USA							
Iglesia Evangelica Luterana Cristo El Senor	http://		EIN 66-0574398	Po Box 375285	Cayey	PR	00737	USA							
Casa Candina, Inc.	http://		EIN 66-0379996	PO Box S-5713	San Juan		00901								
La Egida Del Nino Inc	http://		EIN 66-0542131	Box 266	Arecibo		00613				Human Services				
Juan Domingo En Accion Inc	http://		EIN 66-0394776	1353 Ave Luis Vigoreaux Pmb 674	Guaynabo	PR	00966	USA			Education, Student Services				
Oficina Legal De La Comunidad Inc	http://		EIN 66-0387277	Po Box 194735	San Juan	PR	00919	USA	Provide legal assistance in non-criminal proceedings or matters as allowed by the program federal regulations to qualifying financially disable program participants who can not afford private legal assistance						
Fundacion Rene Aponte Inc	http://		EIN 66-0546394	PO Box 363507	San Juan		00936				Education, Scholarships, Scholarships & Student Financial Aid				
Asesores Financieros Comunitarios Inc	http://www.asesoresfinancierospr.com	(787) 728-8500	EIN 66-0701458	Po Box 192726	San Juan	PR	00919	USA	Empowering puerto rico community based non-profit organizations to achieve a healthy management administration, providing training and consulting services through our team of volunteers, cpa & profesiona		Economic Development				Educational program - training is provided through workshops which are  consulting program - the consulting component of the service model is
Hogar Albergue De Ninos Maltratados De San German Inc	http://	(787) 892-3515	EIN 66-0469637	Po Box 1375	San German	PR	00683	USA	To provide emergency and temporary shelter to abused children removed by the family department from their parents or custodians in the territory of puerto rico, including every related service needed to reestablish the wellbeeing of the chidren.		Crime & Law, Sexual Abuse Prevention				Provided 24 hour shelter facility for abused children at our full capacity of 20 children, including housing, food, psicologist, nurses, teachers, medical services, entertainment, etc. For the whole year.
American College Of Puerto Rico Inc	http://www.aupr.edu	(787) 620-2040	EIN 66-0350945	Po Box 602037	Bayamon	PR	00960	USA	American university of puerto rico is committed to the complete development of its students. With this goal it offers programs and services framed in a liberal and humanistic education that foster excellence in its graduates in their personal, civic and professional performance in a society constantly getting more complex and pluralistic. For the achievement of this commitment, aupr bases its actions in the philosophical principles of humanism and constructivism in which education is viewed as a process essentially individual and personal. Thus the learner is considered the center of all rational and intelligent activities and knowledge is the product of its thought, reflexion and analysis. We maintain that learning occurs from the personal experience in different contexts from which the learner constructs the solution to the problems presented by the environment or those demanded by nature, considering the multiple intelligences. From this perspective, the students visualize themselves		Education, Undergraduate Colleges				Not-for-profit educational institution offering master and bachelor degrees and post secondary programs to enrolled students. Master and bachelor degrees offered by the university, include among others, arts and sciences, business administration, criminal justice and education and technology. Post secondary programs offered by the university, include among others, secretarial sciences and criminal justice. The university's annual enrollment approximates 2,404 undergraduate students per semester. It operates in two locations, bayamon, puerto rico is the main campus and manati, puerto rico is a branch.   physical plant and operating equipment.   auxiliary enterprises including bookstore and cafeteria.
Fundacion Save A Sato Inc	http://		EIN 66-0536302	Po Box 37694	San Juan	PR	00937	USA	Puerto Rico has a terrible problem with animal overpopulation, abandonment, abuse, and neglect. Save a Sato seeks to help as many animals as possible to find better lives. We also work with local groups, vets, and the tourism industry to raise public awareness about the plight of animals and to encourage wide-spread spay and neutering of pets.		Animal Protection & Welfare, Animals				
Centro De Servicios Comunitarios Vida Plena	http://		EIN 66-0559045	Plz Cupey Gdns 200 Balle Cupey Gdns	San Juan	PR	00926	USA			Human Service Organizations, Human Services				
Fundacion Dr John A & Virginia Smith Inc	http://	(787) 852-0768	EIN 66-0524612	353 Ave Font Martelo Ste 1	Humacao	PR	00791	USA	Fund raising , student scholarships & grants.		Corporate Foundations, Philanthropy				Fundacin doctor john a. & virginia smith, inc. (the foundation) is a private, not-for-profit organization offering services to strengthen and develop relations and facilities to the community serviced by ryder memorial hospital, inc. In addition, the foundation promotes opportunities for study and professional development for students in the healthcare field, offers educational guidance related to health in puerto rico, emphasizing services at ryder memorial hospital, inc. Its objectives includes obtaining contributions from governmental agencies and other sources including ryder memorial hospital, inc. And acquiring, administrating and possessing properties for the purpose of realizing the objectives of the foundation within the framework of the laws of the commonwealth of puerto rico.
Padres Escolapios De P R Inc	http://		EIN 66-0310354	Po Box 29067	San Juan	PR	00929	USA							
Advanced Bilingual School Inc	http://		EIN 66-0587983	Hc 5 Box 55034	Aguadilla	PR	00603	USA			Education, Elementary & Secondary Schools, Literacy				
Ponce Neighborhood Housing Services Inc	http://		EIN 66-0501718	Po Box 330223	Ponce	PR	00733	USA	FACILITATE THE PURCHASE AND REHABILITATION OF LOW AND MODERATE INCOME HOUSING IN PONCE, PR AND NEARBY CITIES.		Homeless & Housing, Housing Development, Construction & Management				
Cossma Inc	http://www.cossma.org	(787) 739-8182	EIN 66-0434923	Po Box 1330	Cidra	PR	00739	USA	To provide and promote integrated primary health case services with a community focus that supports the physical, mental and social well being of individuals with the commitment to improve their daily lives.		Community Clinics, Health				Health services during the year cossma, inc provide primary health services  educational and prevention  housing and community servvices
Iglesia Carismatica De Adjuntas Inc	http://		EIN 66-0381247	4 Calle Garzas	Adjuntas	PR	00601	USA							
Mabodamaca Corporacion Pro-Rescate Ermita San Antonio De La Tuna	http://		EIN 66-0455051	Po Box 675	Isabela	PR	00662	USA			Philanthropy, Private Grantmaking Foundations				
Southwestern Educational Society Inc	http://		EIN 66-0320885	Po Box 40	Mayaguez	PR	00681	USA			Education				
