name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission
Tafuna Baptist Church	http://		EIN 66-0735910	Po Box O	Pago Pago	AS	96799	USA		
Alofa Tunoa Samoa Medical Supply	http://		EIN 30-0003094	Po Box 523	Pago Pago	AS	96799	USA	Developmentally Disabled Centers, Disabilities	
First Tongan Baptist Church Of Ilili	http://		EIN 98-0113682	PO Box 817	Pago Pago		96799			
Pacific Horizons School Inc	http://		EIN 98-0148940	Po Box 326	Pago Pago	AS	96799	USA	Education, Primary & Elementary Schools	
Teen Challenge American Samoa	http://		EIN 26-0438681	Po Box 277	Pago Pago	AS	96799	USA	Religion, Religious Media & Communications	
Pago Pago Baptist Church	http://		EIN 66-0781775	Po Box 530	Pago Pago	AS	96799	USA		
Lealaifuaneva Peter Reid Charitable Foundation Ltd	http://		EIN 66-0544331	Po Box 1030	Pago Pago	AS	96799	USA	Named Trusts, Philanthropy	
National Air Traffic Controllers Association	http://		EIN 66-0457374	PO Box 250	Pago Pago		96799			
American Samoa National Olympic Committee	http://		EIN 66-0545357	Po Box 5380	Pago Pago	AS	96799	USA	Olympics, Sports	
American Samoa Equestrian Federation	http://		EIN 31-1647080	PO Box 5380	Pago Pago		96799		Recreation & Sports, Sports	
Alofa Mo Meaola	http://		EIN 66-0803228	Po Box 367	Pago Pago	AS	96799	USA	Animal Protection & Welfare, Animals	
Manumalo Inc	http://		EIN 66-0820906	6740 Tafuna Road	Pago Pago	AS	96799	USA	Children & Youth	
Charity And Hope Ministries	http://		EIN 66-0676797	Po Box 5705	Pago Pago	AS	96799	USA		
Kanana Fou High School Pta	http://		EIN 66-0847298	Po Box 3465	Pago Pago	AS	96799	USA	Education, Parent & Teacher Groups	
Heart Of Worship Ministry	http://		EIN 66-0761221	Po Box 882	Pago Pago	AS	96799	USA	Christianity, Religion	
Le Vaomatua Inc	http://		EIN 98-0093365	Box B	Pabo Pabo		96799			
Harvest Vision Church Inc	http://		EIN 66-0594586	Po Box 5505	Pago Pago	AS	96799	USA	Christianity, Religion	
American Samoa Swimming Association	http://		EIN 66-0629715	Po Box 3298	Pago Pago	AS	96799	USA	Sports, Swimming & Other Water Recreation	
Grace Ministry	http://		EIN 66-0864959	Po Box 9061	Pago Pago	AS	96799	USA	Public & Societal Benefit	
Pala Lagoon Swimming Center Inc	http://		EIN 66-0831318	Po Box 36	Pago Pago	AS	96799	USA	Sports, Swimming & Other Water Recreation	
American Samoa Legal Aid Inc	http://		EIN 90-0835586	Po Box 3322	Pago Pago	AS	96799	USA	Crime & Law, Legal Services	
Flowers Of Tomorrow	http://		EIN 66-0805490	Po Box Ppc	Pago Pago	AS	96799	USA	Children & Youth	
Toe Afua Mai Matua Samoa Incorporation	http://		EIN 66-0845285	Po Box 481	Pago Pago	AS	96799	USA	Human Service Organizations	
Ina Ilau A Tama Ita I Inc	http://		EIN 66-0666752	PO Box 6274	Pago Pago		96799		Job Training	
