name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Results	Direct beneficiaries per year	Target demographics	Geographic areas served	HandReach works at three levels:	Individuals:	Institutions:	Society:	TO	GirlsEyeView	Get Up Get Down	Video Vanguards
Seeds of Solidarity Education Center Inc	http://www.seedsofsolidarity.org	(978) 544-9023	EIN 04-3517520	165 Chestnut Hill Rd	Orange	MA	01364	USA	Children & Youth, Food, Food Programs, Youth Development	Food and Hunger	gardens that transform hunger and promote health and nutrition, youth leadership, renewable energy and sustainable agriculture as antidotes to climate change.			low income youth, schools and families grow food everywhere	Massachusetts and beyond								
Thompson Island Outward Bound Education Center Inc	http://www.thompsonisland.org	(617) 328-3900	EIN 04-3027900	Po Box 127	South Boston	MA	02127	USA	Children & Youth, Environment, Environmental Education, Youth Development Programs	To provide individuals with adventurous and challenging experiential learning programs that inspire character development, compassion, community service, environmental responsibility and academic achievement.	Outward bound programs: participants learn basic leadership skills, building self-confidence and self esteem.   outward bound programs: participants learn basic leadership skills, building self-confidence and self esteem.												
The Papillon Foundation	http://www.papillonfoundation.com	+27836174182	EIN 	The Papillon Development Centre, Corner Mabel and Lily Streets,  Rosettenville	Johannesburg	Gauteng	2190	South Africa	Economic Development, Philanthropy, Public Foundations, Urban & Community Economic Development	mpowering people to transform their lives...and their communities" To work at transformation in poor communities A short term plan to feed, clothe and assist in charity work. A medium term of accredited skills training A long term plan of sourcing employment and self employment. Papillon to remain independent, a-political and non-religious. To offer assistance to all races, colors and creeds. To remain in good standing with all local laws. To be fully transparent and accountable To employ the services of a registered, independent annual auditor.	Charity; free distribution of donated food, clothing, bedding, furniture and appliances to poor areas. Empowerment; English language training, accredited ICDL, Computer training, Project Management and Project Planning training, small business training, trauma training for child, youth and adult volunteer counsellors.	1500 children supported annually. 421 tons of donated goods distributed (2002-2016) 9433 un-employed community members graduated from our empowerment courses. (2004-2016) 350 Police officers graduated from the accredited computer courses. 1635 refurbished computers placed at smeller NGO's, clinics, special needs schools and worthy causes. 334 community members graduated from the Project Management courses. 66 Small business owners and self-employed persons graduated from the computer courses. 147 Child handlers received free accredited trauma training.	1500 orphans and poor children. 500 poor persons and families.	The poor, un-employed, orphans, children, youth, single mothers, disabled and the elderly.	The Papillon Development Center in Rosetteville, Johanesburg!								
Centerboard Inc	http://www.thecenterboard.org	(781) 598-9417	EIN 04-3019658	16 City Hall Sq	Lynn	MA	01901	USA		To revitalize the city of lynn, massachusetts as an urban center which supports the entire region with a vital creative economy and strong, safe, and stable housing, jobs and schools.	Scattered site family emergency shelter this program offers approximately 100 families emergency shelter in two to three bedroom apartment units, all located in lynn, ma. Families, who enter the program, are referred to the program by the massachusetts department of transitional assistance. Each family is assigned to an individual family advocate who supports them throughout their stay. Family advocates offer our families resources, information and support to make the changes necessary to advance their lives from homelessness to independence.   teen living program the teen living program (tlp) is a residential program designed to provide a permanent and stable home environment for eleven pregnant or parenting young mothers and their children. In an emergency situation the program may temporarily accommodate three additional teen mothers and their children until permanent homes are found. Teen parents must be referred to centerboard by the massachusetts department of children and families. Every teen mother must attend school regularly and participate in skill development. This structured curriculum is balanced with a nurturing support system designed to foster physical and social development for the residents and their children.   adolescent group home this group home program provided residential treatment for 12 youths (ages 13-18) who were under the care of the department of children and families. This program provided long term care from three months up to two years. Youths in this program had an array of concerns such as: difficulties in school, issues at home, behavioral issues, and mental health issues. Youths had their medical and mental health needs addressed within the program by a team of professionals. Family members were encouraged to participate in the program whenever possible.   pre-independent living program 728,414 program for independent living 267,883 supported teen employment program 102,555 scattered sites stabilization program 329,968 family resource center 31,408 _________ total 1,460,228												
Pan Massachusetts Challenge Trust	http://www.pmc.org	(781) 449-5300	EIN 04-2746912	77 4th Ave	Needham Hgts	MA	02494	USA		To raise funds to be contributed to the jimmy fund at the dana-farber cancer institute for its use in connection with the research, treatment, cure of and education about cancer.	Annual bike-a-thon - approximately 5,700 cyclists ride and raise money for cancer research and treatment, for the jimmy fund at the dana-farber cancer institute in boston, massachusetts. It is reported that pmc's cycling fundraiser is the most successful athletic fundraising event, in terms of dollars raised, in the country.												
Career Collaborative, Inc.	http://www.CareerCollaborative.org	617-424-6616	EIN 04-3402682	77 Summer Street 11th Floor	Boston	MA	02110	USA	Employment, Employment Preparation & Procurement, Job Training	Career Collaborative envisions a world in which all adults are able to support themselves and their children. While many organizations offer hope and the possibility of a good life to their clients, Career Collaborative is committed to providing clients with the exact assistance they need to attain this vision. Since its inception in 1997, Career Collaborative has helped more than 1,300 poor families in the Boston area move toward economic self-sufficiency by helping adults get, keep, and most importantly, succeed at good jobs.	Career Collaborative works with adults who are chronically unemployed or underemployed.  Typically, clients have worked at jobs without career paths for minimal pay.  They do not have the skills to conduct a successful self-directed job search and, because they do not understand unwritten workplace rules, they are likely to violate them.  They need our help to get and keep good jobs.Career Collaborative:1. Teaches job search skills, which are essential for permanent economic self-sufficiency, in a highly interactive course that helps clients build relationships with other students and staff.  We supplement the course with individual services, including resume help and 20 practice interviews with volunteers and staff members.  We teach clients to use the internet for job search and help them submit online job applications.2. Makes individual referrals to good employers.  We refer clients to full-time, permanent jobs that pay at least $20,000 a year and offer benefits.  As long as the client does her or his part, we make referrals until the person gets a good job.3.  Provides coaching and feedback throughout the interview process and for at least two years after the client enters our mentoring program.  Staff members have small caseloads and provide excellent job advice and encouragement so they build trusting long-term relationships with our clients.  4.  Provides clients with an unusually broad range of supportive services both during job search and after they are employed.  For example, we connect clients with organizations that help them get interview clothing, training in budgeting and computer skills, and emergency financial assistance for food and housing.	Since December, 1997:      Career Collaborative has demonstrated that comprehensive employment services combined with intensive supportive and mentoring services lead to continuous employment. Seventy-three percent (73%) of our clients have completed two years of continuous employment or are working toward that goal. In contrast, other organizations estimate that 25% of their clients reach this goal.       Mentees have earned more than $7,300,000 during their mentoring period compared to our cumulative expenses of less than $2,600,000. These numbers do not take into account the public assistance  welfare, unemployment, food stamps, and rent subsidies  that our clients no longer need since obtaining jobs.      Career Collaborative has assisted more than 1,100 people with their job search.      Career Collaborative has developed a replicable job-readiness/job-search course and a leaders guide.	150	Career Collaborative works with adults who are chronically unemployed or underemployed. Typically, clients have worked at jobs without career paths that pay little more than minimum wage. They do not have the skills to conduct a successful self-directed job search and, because they do not understand unwritten workplace rules, they are likely to violate them. They need our help to get and keep good jobs.  Career Collaborative serves people who are not served by other workforce development organizations. Some have already used up their government-subsidized training- and workforce-preparation allotments. Others have jobs  albeit low-paying ones. Neither group qualifies for government-funded programs, leaving them without access to most other organizations.  Demographically, 63% of Career Collaboratives clients are black, 22% are Hispanic; 69% are female; half are US citizens. The other half are legal to work in the United States. Their median age is 41. Most are parents of minor children.	Boston Metro Area								
National Education For Assistance Dog Services Inc	http://www.neads.org	(978) 422-9064	EIN 23-7281887	305 Redemption Rock Trl S	Princeton	MA	01541	USA	Animal Training, Animals, Centers to Support the Independence of Specific Populations, Education, Human Services, Special Education	Neads' assistance dogs provide life-changing independence, companionship, and connection to people with a disability. With a dedicated staff and enthusiastic volunteers, neads carefully matches clients with the right dog and provides ongoing support during their entire relationship. Neads has led the industry since its inception, matching over 1,600 expertly trained assistance dogs with people who need them.	Dog training - neads dogs are trained to perform and behave obediently through the use of positive reinforcement and clear leadership. Neads dogs are taught a list of core commands and they follow a basic training schedule throught puppyhood. 90 -95% of neads puppies are trained in 9 correctional facilities in massachusetts and rhode island. Under the guidance of neads staff, prison inmates are able to provide consistent training at a high level. To ensure that the puppies have a full range of experiences,puppies spend their weekends at a volunteer's home and follow a curriculum that includes car rides,traffic, bus stations, movie theaters, restaurants, grocery stores, and all the typical experiences of life. Once a dog is nearing ocmpletion of the program and is matched with a specific client, the dog's training is tailored to the client's unique needs. Most importantly,we raise and train the perfect working partner for each of our clients. Neads trains the widest range of assistance dogs in the united states. Hearing dogs alert human partners to the source of a sound; service dogs for adults and children perform everyday tasks like picking up dropped items, opening doors, and more; social dogs help a child on the autism spectrum feel calmer and more confident; service dogs for the classroom, therapy and ministry engage and inspire a practitioner's community. Our canines for combat veterans program is designed to help the growing population of wounded veterans.   client training - neads clients live on our campus for 1 -2 week learning how to work with their new assistance dog. Approximately 55 clients graduate through our program each year. Classes include active hands-on exercises with the dog, trips into town restaurants and malls, and sit-down classes in subjects such as health records, first aid, grooming and public access. Most classes are taught by the instructor who has overseen the dog's training and who matched the dog with the client. Each client must successfully complete the training schedule and also receive a passing score on the assistance dogs internatoinal public access test to graduate and leave campus with the assistance dog. Clients are supported in a variety of ways by neads for the service life of their dogs.												
YMCA Greater Boston	http://www.ymcaboston.org	(617) 536-7800	EIN 04-2103551	316 Huntington Avenue Suite	Boston	MA	02115	USA	Human Services, Young Mens or Womens Associations	See schedule o.	Each year, more than 100,000 individuals benefit from a diverse array of programs and services such as health and wellness programs, instructional fitness programs, aquatics learn-to-swim programs, adult education, college and career programs for teens, youth development programs, programs for youth at risk, services for seniors, transitional housing for homeless families, affordable guest rooms for travelers, and critically important income-based housing for single adults.   the ymca of greater boston has a long and successful history of providing after-school and summer development, educational, recreational and social activities for youth of all ages. Over 3,600 children are enrolled in y's pre-school and early education and after school programs, and 10,000 children participate in summer day and resident camp programs. Through the ymca of greater boston's youth development initiative, the ymca works with over 16,000 middle school aged and teens each year.   the ymca of greater boston offers an array of education services to low-income individuals and families including adult basic education, computer literacy classes, and 500 participants in english as a second language for recent immigrants. The y provides comprehensive job skills training and helps with placement in permanent employment positions for as many as 120 individuals each year.												
Samaritans, Inc.	http://www.samaritanshope.org	617-536-2460 (bu	EIN 04-2643466	141 Tremont St. 7th Floor	Boston	MA	02111	USA	Children & Youth, Hot Lines & Crisis Intervention, Mental Health, Mental Health & Crisis Intervention, Youth Development	Suicide, the eleventh leading cause of death in the U.S. and the third leading cause of death among Massachusetts youth, takes the lives of thousands of individuals each year. Since the U.S. Surgeon General issued a call to action to prevent suicide in 1999, schools and human service agencies have grown more aware of the need to address suicide as a serious public health issue. Yet, there exist few resources for the suicidal, the despairing, or for individuals that have lost a loved one to suicide.   For more than thirty years, Samaritans has been dedicated to reducing the risk of suicide by befriending youth, adults and elders in crisis and educating the community with suicide prevention strategies. For many callers, the befriending support offered at Samaritans is extremely important in helping them cope with pressures in their lives. Community Education is another effective prevention program offered by Samaritans. By providing suicide prevention workshops to schools, youth and elder services, and other social service agencies, community gatekeepers are empowered to identify and intervene with peers or clients who are showing signs of suicide. Finally, Samaritans provides supportive services to those individuals, organizations and communities that have lost someone to suicide through our Survivor Support Services programs.					Greater Boston, Metrowest								
Childrens Dyslexia Centers Inc	http://www.childrensdyslexiacenters.org	(781) 862-8518	EIN 04-3169620	33 Marrett Rd	Lexington	MA	02421	USA	Education, Health, Philanthropy, Philanthropy, Voluntarism & Grantmaking Foundations, Primary & Elementary Schools, Secondary & High Schools, Specifically Named Diseases Research	To provide professional evaluation and appropriate instruction for children with dyslexia, to increase public awareness of dyslexia, and to promote effective learning options.	The various centers provide evaluation and treatment of children with learning disabilities; increase public awareness; improve standards of care;serviced 1479 children during period of record.												
World Youth Mission Inc	http://		EIN 31-1809539	267 Moody St Ste 205-206	Waltham	MA	02453	USA	Human Service Organizations														
Dreamfar High School Marathon	http://www.dreamfarhsm.org	617-694-4885	EIN 27-3188990	27 Scotney Rd	Chestnut Hill	MA	02467	USA		To challenge high school students to reach their full potentialphysically, socially, emotionally, and academicallythrough a mentor-supported marathon training program.	Dreamfar High School Marathon is the only program of its kind in New England. Dreamfar High School Marathon (DHSM) provides high school students the opportunity to experience success through marathon training.  Dreamfar students experience the benefits of regular physical activity, the support of a mentoring relationship, and the value of dedication, commitment, and teamwork while working toward the goal of completing a marathon.  Our program teaches students to tackle lifes obstacles using the skills they learn through marathon training.	Students who complete the Dreamfar High School Marathon program realize how much they are capable of doing. Their confidence and self-esteem improve through marathon training - many report that their grades improve as does their family and social life.	The high school students we serve	at risk high school students in Boston and the surrounding neighborhoods	Massachusetts								
COMMUNITY ACTION, INC	http://www.communityactioninc.org	978.373.1971	EIN 04-2383153	145 Essex Street	Haverhill	MA	01832	USA	Education, Financial Counseling, Homeless & Housing, Human Service Organizations, Human Services, Vocational & Technical Schools	Community Action, Inc. provides essential resources and opportunities for individuals, families, and communities to overcome poverty.	Children & Family Development, Community Services, Consumer Protection Services, Education & Training Services, Employment Services, Energy Assistance, Head Start Services, Housing Development, and WIC Services.		230 Family Day Care children; 72 infants and 289 preschool Head Start children; 4,900 WIC cases; provide 15,600 free breakfasts and box lunches from our Drop-In Center; 88 families with utility shut-off prevention funds and 176 families with rental assistance; 600 cases, 300 mediations, and 500 Consumer Services resolutions; 92 ESOL students, 70 GED students, 10 NECC Transition to College students, 36 Nurse Aide Training students, and 33 Certified Nurse Aide students; 6,006 Heating Assistance HH	individuals, families, and communities to overcome poverty	the greater North Shore area								
Northeastern Boxer Rescue Inc	http://www.BoxerRescue.com		EIN 52-2268534	PO Box 95	Sunderland	MA	01375	USA		When boxers are in need, NBR volunteers respond. Our mission includes hands-on rescue, as well as education. We strive to inform others about the realities of pet guardianship, promote neutering, and encourage responsible care. It is our hope that our efforts will enhance the lives of people as well as companion animals. Join us.  Help us to help boxers.													
The National Center on Family Homelessness	http://www.familyhomelessness.org	617-964-3834	EIN 22-2882452	200 Reservoir Street, Suite 200	Needham	MA	02494	USA	Community Improvement & Capacity Building, Homeless & Housing, Homeless Centers	The National Center on Family Homelessness is the leading organization focused solely on ending homelessness for children and families. We determine what families need and develop solutions that work. We train and support caregivers to help families in need. We inform policy at local and national levels to achieve lasting impact. With the power of knowledge and the will to act, we can end family homelessness in America and give every child a chance.					United States								
Suitability Inc	http://suitabilityma.org		EIN 04-3443388	536 Pawtucket Street	Lowell	MA	01854	USA	Employment, Employment Preparation & Procurement, Human Service Organizations, Job Training	To enhance the marketability of economically challenged women by  providing free support services and professional clothing.													
Biodiversity for a Livable Climate	http://		EIN 46-4207099	12 Locust Ave	Lexington	MA	02421	USA	Environment, Environmental Education														
Udavum Karangal Of Usa	http://www.myhelpinghands.org		EIN 52-2165378	23 Crosby Dr	Bedford	MA	01730	USA	Arts & Culture, Children's Museums, Food, Food Banks & Pantries	Udavum Karangal is an Orphanage in Chennai, India doing a very needed service of taking care of all ages of people discarded by our society. You may already be familiar with the Institution and its founder Mr.Vidyakar.   There are over 1600 residents now and many of them are young children.   The organization has a main campus in Tiruverkadu, right behind the Amman temple there and it is only a 30 minute trip from Chennai. Please feel free to visit the Orphanage and see for yourself how clean and well kept the place is, how disciplined the children are and how well all residents are taken care of.  The Orphanage supports mentally retarded people, AIDs patients, elderly and infirm people left on the streets, apart from all the children it takes care of, so lovingly.													
ASTRONOMICAL SOCIETY OF SOUTHERN NEW ENGLAND INC	http://www.assne.org		EIN 04-3256945	3 Hillcrest Rd Apt 3	Foxboro	MA	02035	USA	Astronomy, Technology														
World Computer Exchange Inc	http://worldcomputerexchange.org	(781) 925-3078	EIN 04-3529016	936 Nantasket Ave	Hull	MA	02045	USA	Economic Development, Education, Educational Services, Elementary & Secondary Schools, International, International Cultural Exchange, International Economic Development, International Exchange, Literacy, Microfinance	To reduce the digital divide for youth in developing countries; to use a global network of partnerships to enhance communities in these countries; and to promote the reuse of electronic equipment and its ultimate disposal in an environmentally responsible manner.	Provided low-cost donated computers, network gear and software to developing countries to connect young people to the internet years faster than otherwise possible.												
Montachusett Interfaith Hospitality Network Inc	http://mihnetwork.com	978-840-9500	EIN 03-0387748	923 Main Street	Fitchburg	MA	01420	USA	Homeless & Housing, Homeless Centers	The mission of the Montachusett Interfaith Hospitality Network is to provide shelter, meals and comprehensive assistance to homeless families with children and to increase community involvement in direct services and advocacy.		MIHN is now in its 9th year of continuous operation.  Since our inception our program has sheltered 186 families and 350 children.  We have provided a safe haven for a total of 45,371 bed night units.											
Why Me, Inc.	http://www.whyme.org	508-757-7734	EIN 04-2880644	1152 Pleasant St	Worcester	MA	01602	USA	Cancer, Children & Youth, Children & Youth Services, Health	Providing love and support to families of children with cancer	The organization provides direct financial and emotional support to children with cancer and their families.			Children with cancer from 0-18 years old, their siblings and parents.									
Project Prakash Foundation	http://www.projectprakash.org	(617) 253-1434	EIN 27-1164796	955 Massachusetts Ave Room/suite 351	Cambridge	MA	02139	USA	Philanthropy, Public Foundations	to provide life-changing eye care treatment and surgeries to children with low vision and curable blindness while also illuminating key questions in science.	eye screening camps, surgeries and post-operative care	Project Prakash has screened more than 42,000 children, provided eyecare to 1,400 and surgeries to 480 children. In 2017, our goal is to bring eyesight to 200 children.		deeply impoverished children with low vision and curable blindness	India								
Pakachoag Music School of Greater Worcester	http://www.pakmusic.org	508-791-8159	EIN 04-3029253	203 Pakachoag St	Auburn	MA	01501	USA	Arts & Culture, Arts Education, Bands & Ensembles, Performing Arts Schools	Pakachoag Music School is recognized as an on-going resource to the larger community, contributing to the vibrant and rich culture that makes central Massachusetts such a great place to live and work.  Our faculty set high expectations; our students learn to think creatively and discover the hard work reaps rewards one might never have expected.	Music Together Private Lessons Suzuki Violin Classes and Lessons Musical Theatre Performance Opportunities Community Enrichment through concerts, recitals, and special events	Pakachoag is growing!  Because of your support, our financial aid fund has grown between 10 and 20% each year for the past five years.  Our reputation is strong.  Our reach is broader than ever through partnerships and alliances.	400 students and an additional 1500 community members through enrichment programming.	persons of all ages explore inner creativity and put their imagination to work.	Greater Worcester								
Sibling Connections, Inc.	http://www.siblingconnections.org		EIN 26-1519159	P.O Box 441952	Somerville	MA	02144	USA	Children & Youth, Children & Youth Services	Children in foster care who are separated from their siblings do not develop the family connections that they will need later in life. We provide an opportunity for these children to create childhood memories and a sibling bond that will be critical for them to have.	Sibling Sundays and Camp To Belong MA		100 siblings	connect siblings separated by foster care	Massachusetts								
