name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Geographic areas served	Programs	Target demographics	Direct beneficiaries per year	Youth Leadership Task Force	National Schools of Character Program	National Schools of Character Expectations	From Competition to Meeting a Standard	An Achievable Path to Excellence
Sunlight Foundation	http://www.sunlightfoundation.com	202-742-1520	EIN 20-3903427	1818 N Street NW Suite 300	Washington	DC	20036	USA	Government & Public Administration	The Sunlight Foundation is a non-profit, nonpartisan organization that uses the power of the Internet to catalyze greater government openness and transparency, and provides new tools and resources for media and citizens, alike. We are committed to improving access to government information by making it available online, indeed redefining public information as meaning online, and by creating new tools and websites to enable individuals and communities to better access that information and put it to use.  We want to catalyze greater government transparency by engaging individual citizens and communities -- technologists, policy wonks, open government advocates and ordinary citizens - demanding policies that will enable all of us to hold government accountable. Sunlight develops and encourages new government policies to make it more open and transparent, facilitates searchable, sortable and machine readable databases, builds tools and websites to enable easy access to information, fosters distributed research projects as an community building tool, engages in advocacy for 21st century laws to require that government make data available in real time and trains thousands of journalists and citizens in using data and the web to watchdog Washington.			Grants-the sunlight foundation grants money to organizations that use new web 2. 0 technology to further the organizations mission of making information about congress and government more accessible to the american people.   sunlight labs activities include (1) prototype technology ideas to improve government transparency and political influence disclosure and (2) technical support to sunlight foundation sponsored projects.   sunlight foundation programs other than grants or the action of sunlight labs that use the transformative power of the internet and new information technology to enable citizens to learn more about what congress and their elected representatives are doing.							
International Center for Research On Women	http://www.icrw.org	2027970007	EIN 52-1081455	1120 20TH St Nw Ste 500	Washington	DC	20036	USA	International	ICRW's mission is to empower women, advance gender equality and fight poverty in the developing world. To accomplish this, ICRW works with partners to conduct empirical research, build capacity and advocate for evidence-based, practical ways to change policies and programs.	Expanded key research and analysis on issues that affect womens health, economic security, and their overall well-being. Grew ICRW programs around the world and develop integrated solutions to complex social problems such as HIV and violence against women and girls. Informed policy makers and decision makers about the critical issues facing women and girls, and create a community of public supporters advocating for womens human rights.		ICRW research identifies women's contributions to their communities and the barriers  like HIV, violence, lack of education  that prevent them from being economically stable and able to fully participate in society. We provide a path that creates the conditions under which not just one woman, but millions of women can benefit. We do this by:  Designing concrete, evidence-based plans for program designers, donors and policymakers that empower women to control their lives and help shape the future of their communities  Measuring changes in the lives of women and girls  as well as men and boys  to know how best to achieve gender equality Recommending policy priorities that give women opportunities to transform their lives ICRW talks to women. We help their voices be heard. And we make sure that the unique vulnerabilities they face as well as the unrecognized contributions they make are integrated into efforts to reduce poverty, improve health and create a more equitable world.	Women and girls, men and boys, marginalized and impoverished communities.						
American Adoption Congress	http://www.americanadoptioncongress.org	(202) 483-3399	EIN 52-1150871	1030 15th St Nw Suite B-103	Washington	DC	20005	USA		Education regarding adoption issues			Aac sponsors conferences open to the general public. Conferences include speakers, films, group workshops, etc.   aac publishes a quarterly publication referred to as the decree to provide information to members and to the public.   aac maintains a referral telephone line and website for the general public.   aac attempts to educate the public, affect public opinion, legislation, regulation and litigation so as to improve adoption.							
Network for Good Inc	http://www.networkforgood.org	(888) 284-7978	EIN 68-0480736	1140 Connecticut Ave NW Suite 700	Washington	DC	20036	USA	Community Improvement & Capacity Building, Disaster Aid, Philanthropy, Philanthropy, Charity & Voluntarism Promotion, Public Safety, Disaster Preparedness & Relief	Network for Good offers innovative online donation and peer fundraising software for nonprofits, plus the expertise, training, and support to drive successful campaigns. Since 2001, Network for Good has distributed $1 billion to over 100,000 charities through its secure online giving platform. To learn more, please visit www.networkforgood.com			What we've accomplished: - exceeded $1 billion in cumulative donations raised for nonprofits since inception. - have created a secure, convenient donation system that makes it possible to give to any charity, anywhere, anytime online - raised over $230 million in donations in 2014 to nearly 50,000 different nonprofit organizations for a year-over-year growth of nearly 20% with a fundraising cost of only 3% of donations raisedfor individuals, we've helped by: - enabling donors to research and give to any of 1. 2 million charities, in one place online at www. Networkforgood. Org, raising $14. 8 million in individual donations. - enabling individuals to give the gift of charity with the good card, a gift card that the recipient can use to give to any charityfor non-profits, we've worked with our b-corporation certified for-profit subsidiary to help by: - processing donations for charities with donatenow - driving $4. 6m in donations to charities on giving tuesday, including tripling the amount for donate now customers over 2013. - enabling charities to email their supporters with email tools from constant contact- providing events registration management with events now powered by givezooks! - providing social fundraising tools from givecorps- providing charities with fundraising coaching and resources, including fundraising fundamentals courses, "nonprofit 911" webinars, ebooks, and articles in the learning center at www. Fundraising123. Org - providing expertise and insights based on proprietary giving data, including the digital giving index available at www. Networkforgood. Org/digitalgivingindexfor corporations and organizations that want to do good, we've worked with our b-corporation certified for-profit subsidiary to help by: - enabling organizations to collect donations for any charity at their own website or among employees via web services raising nearly $90m for charities. - allowing organizations to give employees, clients or customers the gift of charity with good cards, a gift card that the recipient can use to give to any charity - allowing organizations to distribute grants to nonprofits for corporate philanthropy programs and online cause marketing campaigns- facilitating disaster giving resources to companies, including disaster giving plans and hosted giving pages for funders who want more resources to go to nonprofits, we've helped by: - providing data and analysis on what drives giving- training nonprofits to be better at outreach and fundraising - lowering the costs of fundraising for all nonprofits							
Environmental Working Group	http://www.ewg.org	(202) 667-6982	EIN 52-2148600	1436 U St Nw Ste 100	Washington	DC	20009	USA	Environment	The Environmental Working Group (EWG), founded in 1993, fills a niche in the environmental community by focusing its unique strategy on toxics, agriculture and western lands issues. Our effective advocacy efforts are bolstered by extensive web databases and a 500,000-person email list, which have become major forces in online information distribution. EWG is a national organization with headquarters in Washington, DC, and offices in Oakland, CA and Ames, Iowa.			EWG's research propels change that protects people from health problems attributed to a wide array of toxic contaminants in food, water, air, and consumer products.							
LOVE FUTBOL	http://www.lovefutbol.org		EIN 71-1027016	5105 Chevy Chase Pkwy Nw	Washington	DC	20008	USA	International, International Development	Love. Ftbol partners with and empowers underserved communities in guatemala and brazil to build simple soccer fields where youth lack safe spaces to play.			Love. Ftbol partners with and empowers underserved communities in guatemala and brazil to build simple soccer fields where youth lack safe spaces to play.							
Razoo Foundation	http://www.razoofoundation.org	866-437-1952	EIN 27-2499903	1020 19th Street NW Ste 800	Washington	DC	20036	USA	Philanthropy, Philanthropy, Charity & Voluntarism Promotion	The Razoo Foundation is a 501(c)(3) public charity that exists to promote and provide online charitable giving solutions that support a new era in philanthropy. By leveraging secure and efficient technologies, the Razoo Foundation seeks to provide robust, high-value, low-cost end-to-end solutions for donors and nonprofits to easily fundraise and engage in charitable giving activities.			The Foundation fosters the democratization of philanthropy, promoting high volume fundraising by providing cost-efficient e-solutions for charitable giving that widely benefits the charitable sector.  By using state of the art technological advancements, the Foundation provides secure donation processing e-solutions to its donors.							
World Organization for Resource Development and Education	http://	(202) 595-1355	EIN 43-1973721	1875 "Eye" Street NW, Suite #500	Washington	DC	20006	USA	International, Promotion of International Understanding	World Organization for Resource Development and Education [WORDE] is a nonprofit, educational organization that shapes public policy by cultivating a better understanding of the difference between mainstream Islam and radical Ideologies. Throughout the world, WORDEs community development projects have established international networks of moderate Muslim scholars, cultural groups, and thought leaders that build community resilience against the rise of religious extremism.	Co-Founder of the "International Cultural Center" a new cultural center for the greater Washington DC area.  Published "A Community-Based Approach to Countering Radicalization" - the first Muslim-led report which includes guidelines for US policymakers and Muslim American communities to build community resilience against radicalization.  Leading research and implementing grass-roots programs around the world to empower networks of traditional, mainstream Muslims from the US, UK, Somalia, Pakistan, Singapore and Indonesia.									
Disabled Veterans National Foundation	http://www.dvnf.org	2027370522	EIN 26-1446183	1020 19th St. NW 475	Washington	DC	20036	USA	Military & Veterans Organizations, Veterans	The Disabled Veterans National Foundation exists to provide critically needed support to disabled and at-risk veterans who leave the military woundedphysically or psychologicallyafter defending our safety and our freedom.  										
American National Red Cross	http://www.redcross.org	(202) 303-4498	EIN 53-0196605	National Headquarters 2025 E Street, NW	Washington	DC	20006	USA	American Red Cross, Blood Banks, Disaster Aid, Disaster Preparedness & Relief Services, Health, International, International Relief	The American Red Cross, a humanitarian organization led by volunteers and guided by its Congressional charter and the Fundamental Principles of the International Red Cross and Red Crescent Movement, will provide relief to victims of disasters and help people prevent, prepare for and respond to emergencies.			Biomedical services - see schedule o  domestic disaster services - see schedule o  health & safety services - see schedule o							
Capital Research Center	http://capitalresearch.org/	(202) 483-6900	EIN 52-1289734	1513 16th St Nw	Washington	DC	20036	USA	Philanthropy, Philanthropy, Charity & Voluntarism Promotion	Crc conducts philanthropic research and analyzes nonprofit organizations that promote the growth of government and identifies viable private alternatives to government regulatory and entitlement programs.			Capital research conducts philanthropic research and analyzes nonprofit organizations that promote the growth of government and identifies viable private alternatives to government regulatory and entitlement programs.							
Ambassador Theater	http://www.aticc.org/home	(703) 475-4036	EIN 26-1904229	916 G Street, NW	Washington	DC	20001	USA	Arts & Culture, Theater	ATICCs mission is to build international cultural awareness, provide a high standard of repertoire based on close relations with the diplomatic and cultural representatives of different countries in the United States, and develop interactive educational programs for the youth of the District of Columbia, DC Metro area, and around the US.	The Ambassador Theaters 6th season is rolling on!  During the past seasons, we produced 15 main stage productions in addition to various Bare Bones and Staged Readings, New Work Series, Literary Caf programs, play-reading workshops, summer camps, Studio Classes and outreach programs.  All of our programs have introduced our audiences to the cultures of several countries across multiple continents (Belgium, Bulgaria, Canada, Czech Republic, Egypt, France, Greece, India, Macedonia, Poland and Spain). We have worked with over 100 actors, artists, authors, translators, directors and designers, in addition to over a thousand students and interns from various DC Metro schools and colleges. We have even taken students abroad to perform at the Presidential Palace in Warsaw for the First Lady of Poland.  Our productions have been seen by over 12,000 spectators in many venues around the area.  We are fortunate to have developed valued friendships and partnerships with the diplomatic representatives of countries from where our productions originate.  Most recently, our production of Happily ever After received 2014 Best Play, Best Director, Best Actress and Best Actor recognition from DC Metro Theatre Arts as well as the 2013 Helen Hayes Canadian Partnership Grant Award.  I would like to express my deepest gratitude to our Board of Directors, artists, designers, partners, friends, and, most of all, our audience for helping us to fulfill our mission to continue facilitating international cultural dialogue. We have a thrilling season ahead of us, please join our Circle of Members and Supporters and sign up on our newsletter list. We would love to stay in touch and hear from you at our various events throughout the season!	DC Metro Area	Mai Stage Productions International Artist Series Bare Bones and Staged Readings Literary Cafes New Work Development Series Educational Programs: Ambassadors if International Culture: Outreach in-school Programs Studio Classes of Drama and Art Summer Theater Production Camps	many DC Metro students to be introduced to cultures from around the world as well as bring the best plays from around the world and develop an international cultural dialog	200 students, worked with 50 artists, and presented our programs to over 2000 spectators					
Middle East Media And Research Institute Inc	http://		EIN 52-2068483	1819 L Street Nw	Washington	DC	20036	USA	International, Promotion of International Understanding											
YOUNG PROFESSIONALS IN FOREIGNPOLICY	http://www.ypfp.org/		EIN 20-8034882	1714 9TH St Nw	Washington	DC	20001	USA	International, International Affairs, Foreign Policy, & Globalization	Young Professionals in Foreign Policy is a nonprofit, nonpartisan organization committed to fostering the next generation of Americas foreign policy leadership. We dedicate ourselves to honest, informed, thoughtful discussion of international affairs, to the professional advancement, intellectual development, and personal growth of our members, to camaraderie within our community, and to public service.										
National Center For Public Policy Research Inc	http://www.nationalcenter.org	(202) 543-4110	EIN 52-1226614	20 F St Nw Ste 700	Washington	DC	20001	USA		Public policy research and education.			Educate the public on issues of public concern, including us domestic & foreign policy, social security/medicare, government accountability/reform, the environment, regulatory affairs, corporate activity, health care, budget & taxes through op/eds, press releases, web site & e-mails, speeches, seminars, petitions, conferences and meetings.   promote debate on environmental policies & regulatory reform through national policy analysis papers, seminars, speeches, media interviews, a web site, and op/eds (syndicated).   promote policy/practice improvements in minority issues such as education, intact families, civil rights, health care, welfare, & social security through new visions editorials to 375 african-american newspapers, seminars, and media interviews.							
Student Veterans of America	http://www.studentveterans.org	(202) 223-4710	EIN 26-1971279	1625 K St NW  Suite 320	Washington	DC	20006	USA	Community Coalitions, Military & Veterans Organizations, Veterans	SVA's mission is to provide military veterans with the resources, support, and advocacy needed to succeed in higher education and after graduation	600+ student veteran organizations registered as SVA chapters. Global reach to more than 200,000 student veterans. New programs focused on empowering veterans to overcome administrative challenges, reintegration issues, and career-entry barriers. Recognized as "the premier advocate for veterans seeking better jobs and better futures through higher education" by Secretary Eric Shinseki of the Department of Veterans Affairs.		http://www.studentveterans.org/?page=Programs							
Active Minds, Inc.	http://www.activeminds.org		EIN 20-0587172	2001 S St NW Suite 200	Washington	DC	20009	USA	Mental Health, Mental Health Associations, Mental Health Disorders, Mental Health Treatment	Active Minds is the young adult voice in mental health advocacy. By supporting a rapidly growing network of hundreds  of student-led chapters at colleges and universities, Active Minds empowers students to speak openly about mental health in order to educate others and encourage help-seeking.  Active Minds is a national nonprofit headquartered in Washington D.C. Follow us on Twitter @Active_Minds. For more information visit: www.ActiveMinds.org.			Active Minds is the young adult voice in mental health advocacy. By supporting a rapidly growing network of hundreds  of student-led chapters at colleges and universities, Active Minds empowers students to speak openly about mental health in order to educate others and encourage help-seeking.  Active Minds is a national nonprofit headquartered in Washington D.C. Follow us on Twitter @Active_Minds. For more information visit: www.ActiveMinds.org.							
District Alliance for Safe Housing Inc (DASH)	http://www.dashdc.org/	202-462-3274	EIN 71-1019574	PO Box 91730	Washington	DC	20090	USA	Homeless & Housing, Housing Development, Construction & Management	DASH is an innovator in providing access to safe housing and services for survivors of domestic and sexual violence and their families as they rebuild their lives on their own terms.	Last year, DASH prevented 575 women and families from falling into homelessness by facilitating their placements in emergency, transitional, and permanent housing through our Safe Housing Programs and Housing Resource Center. We have also educated over 2,000 women and community advocates about the housing protections afforded to victims under local and federal law.	Washington, DC	emergency, transitional, and permanent safe housing and services for survivors and their families.	survivors of domestic and sexual violence and their families rebuild their lives on their own terms	225 individuals (94 women and 131 children) in our programs and we have provided over 80,000 "safe nights"					
Humane Society International	http://www.humanesocietyinternational.org	(202) 452-1100	EIN 52-1769464	1255 23rd Street Nw Suite 450	Washington	DC	20037	USA	Animal Protection & Welfare, Animals	Through the generous support of our donors and the compassionate engagement of our advocates, humane society international (hsi) extends the work of the humane society of the united states around the globe to promote the human-animal bond, protect street animals, support farm animal welfare, stop wildlife abuse, curtail and eliminate painful animal testing, confront cruelty to animals in all of its forms and respond to disasters with life-saving and rescue activity wherever it happens.			(companion animals) hsi is campaigning against the legal and illegal trade in ten million or more dogs destined for human consumption, amidst mounting concerns for human health and animal welfare. Hsi's work with the soi dog foundation to target border regions between thailand and vietnam where rabies is an issue. In regional efforts, chinese activists have, with hsi's support rescued thousands of dogs from meat traders' trucks in china. Hsi sponsored its annual world spay day in february. More than 600 event organizers around the world held events to spay or neuter thousands of animals. Ten dogs rescued from the streets of sochi, russia, the site of the 2014 winter olympics, are now in the united states and adopted out, thanks to the care and efforts of the povodog animal shelter in sochi and humane society international and our emergency placement partners. Hsi continues to support large-scale street dog sterilization programs in bhutan, india, bangladesh, the philippines, latin america and the pacific. Hsi's disaster program ended its response in haiti, responded to a fire disaster in chili and assisted animal sanctuaries in west africa threatened by the ebola outbreak.   (wildlife) last year, poachers killed at least 35,000 african elephants, a surge widely attributed to rising demand for ivory in china and other places. Hsi worked to persuade countries to destroy stockpiles of seized ivory to raise awareness about the elephant poaching crisis (china destroyed 6. 1 tons and hong kong 29. 6 tons). Hsi has long advocated that japan stop whaling in both the southern ocean and the north pacific, where japan says it is carrying on a scientific program. In 2014, as a result of a long term hsi strategy, the top united nations court (ijc) ordered japan to end antarctic whaling. The icj (international court of justice) ruled that japan's whaling activities do not qualify under the exemption for research whaling. Hsi and the government of vietnam are working together to reduce rhino horn demand and consumption in that country. The campaign has already reached over 10 million vietnamese and reduced consumer buying of rhino horn according to a national survey. In an historic world trade organization (wto) ruling, the european union ban on the seal product trade was upheld, with hsi exerting its influence through an amicus brief submitted to the wto appellate body. An appeal from hsi/india to jet airways resulted in implementation of a ban on the carriage of shark fins aboard its planes. Other airlines are following with bans of their own.   (farm animals) hsi is working in mexico, brazil, costa rica and many other countries to end the lifelong confinement of breeding sows in gestation crates. We're asking multinational food retailers who are already phasing out gestation crates in the united states to extend their crate-free policies to latin america and beyond, and petitioning food companies, local restaurants, supermarkets and producers to also adopt more humane practices. Hsi worked with arcos dorados (largest mcdonald's franchise in latin america) to gain their commitment to use "crate-free" pork. Global food giant heinz announced animal welfare improvements in its sustainable sourcing policy. The company, which had already pledged to work with its suppliers globally to find solutions to reduce the use of battery cages, committed to ensure that 20 percent of its eggs are cage free by the end of 2015 in its north american operations. Heinz's move is a result of discussions with humane society international.							
