name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Geographic areas served	Programs	Direct beneficiaries per year
Lighthouse Christian School	http://		EIN 92-0055823	913 College Rd	Fairbanks	AK	99701	USA							
National Spiritual Assembly Of The Bahais Of Alaska Assembly Of Ocean	http://		EIN 92-0075275	Po Box 10338	Anchorage	AK	99511	USA							
JUNEAU ARTS AND HUMANITIES COUNCIL	http://jahc.org	(907) 586-2787	EIN 23-7243859	350 Whittier St. Suite 101	Juneau	AK	99801	USA	Arts & Culture,Arts & Humanities Councils & Agencies	The juneau arts & humanities council cultivates vibrant arts and cultural opportunities and is a leader in building a strong, prosperous community where creativity and innovation thrive.		cultivate vibrant arts and cultural opportunities and to be a leader in building a strong, prosperous community where creativity and innovation thrive.		managing the Juneau Arts & Culture Center, offering concerts throughout the year, providing arts education after school in low-income housing complexes, coordinating the Artists in the Schools programs, the statewide Poetry Out Loud program, the JAHC Gallery exhibiting new and emerging artists' works, the Lobby Shop helping artists earn money through their art work, offering Wearable Arts Extravaganza, and much more	
Anchorage Community College Alumni Association	http://		EIN 94-3042564	2533 Providence Avenue	Anchorage	AK	99508	USA							
INSTITUTE OF THE NORTH	http://www.institutenorth.org	907-786-6324	EIN 75-3155877	1675 C Street, Suite 106	Anchorage	AK	99501	USA		The Institute of the Norths mission is to inform public policy and cultivate an engaged citizenry consistent with our focus on the North and our belief that commonly-owned resources should be developed and managed for individual and community prosperity.				Alaska Resource Governance & Economic DevelopmentArctic Policy and InfrastructureCivic Engagement Opportunitites for Emerging Leadership	
Girdwood Inc	http://		EIN 77-0631498	Po Box 1102	Girdwood	AK	99587	USA	Community & Neighborhood Development,Economic Development						
Talkeetna Historical Society	http://	(907) 733-2487	EIN 92-0109160	Po Box 76	Talkeetna	AK	99676	USA		Preservation of historical resourses				Operating a historical museum annual public festival	
Hope Community Homes I Inc	http://		EIN 91-1823436	540 W International Airport Rd	Anchorage	AK	99518	USA	Group Homes,Human Services						
Mary A Nordale House Foundation	http://	(907) 456-8901	EIN 91-1791912	805 Airport Way	Fairbanks	AK	99701	USA	Developmentally Disabled Centers,Disabilities,Human Services	To provide supportive housing for low income persons with disabilities.				Provides supportive housing for four (4) low income persons with disabilities.	
Juneau Youth Football League Inc	http://www.juneaufootball.com/	(907) 789-3181	EIN 92-0079212	Po Box 211409	Auke Bay	AK	99821	USA		To operate and support youth football and cheerleading in juneau, alaska				Youth league football & cheer - kindergarten through 8th gradeall operations of a youth league football and cheerleading program. The program begins with a two week preseason skills camp on august 1st and continues through an 8 week season that ends in mid october. The program is run by 146 adult volunteers including board members, coaches, and team parent support. The organization has no paid employees and contracts with the juneau douglas officials association and southeast emt services for officials and safety support. Estimated total participant direct number of hours for the season is approximately 35,000. Funding for the organization comes primarily from registrations fees, raffle ticket sales and a small number of contributions.	
Copper Valley Historical Society	http://		EIN 92-0067823	Po Box 84	Copper Center	AK	99573	USA							
Alaska Search And Rescue Dogs Inc	http://		EIN 94-3055594	200 West 34th Ave Box 655	Anchorage	AK	99503	USA							
Sweet Adelines International	http://		EIN 92-6003456	PO Box 91749	Anchorage	AK	99509	USA	Arts & Culture,Singing & Choral Groups						
Girwood Center For Visual Arts Inc	http://	(907) 743-0661	EIN 92-0115162	Po Box 678	Girdwood	AK	99587	USA		Cultural enrichment through visual arts				Ongoing artists' cooperative to provide gallery exposure for display exhibit and education special exhibits by artists to enrich community art awareness general promotion of girdwood artists	
Anchorage Symphony Orchestra	http://www.anchoragesymphony.org	(907) 274-8668	EIN 92-6002867	400 D St Ste 230	Anchorage	AK	99501	USA	Arts & Culture,Symphony Orchestras	To support, produce and promote symphonic music in the anchorage area.				Production of concerts and promotion of symphonic music in the anchorage area.	
Alaska Network On Domestic Violence And Sexual Assault Inc	http://		EIN 92-0087216	130 Seward St Ste 214	Juneau	AK	99801	USA	Civil Rights,Crime & Law,Domestic Violence,Human Services,Spouse Abuse Prevention,Victims Services						
Alaska Pacific University	http://www.alaskapacific.edu	(907) 564-8204	EIN 92-0023588	4101 University Dr	Anchorage	AK	99508	USA	Education,Universities	To provide excellent accredited liberal arts and sciences programs through experiential, hands-on instruction with alaska as its primary classroom.				Academic instruction and support services including instructional labs, research and public service programs student and auxiliary services including housing, cafeteria and student focused activities institutional financial aid; 347 students were served	
Word Of Faith Assembly Inc	http://		EIN 92-0118546	Po Box 875147	Wasilla	AK	99687	USA							
Alaska Literacy Program Inc	http://		EIN 23-7451172	1345 Rudakof Cir Ste 104	Anchorage	AK	99508	USA		Changing lives through literacy					
KOAHNIC BROADCAST CORPORATION	http://www.knba.org	907-793-3500	EIN 92-0139738	3600 San Jeronimo Ct Ste 480	Anchorage	AK	99508	USA	Arts & Culture,Media & Communications	To be the leader in bringing Native voices to Alaska and the nation.			Anchorage, Alaska and Nationwide through Native radio programs	National programming unit - reaching audiences of more than 500,000 each week, kbc is the primary producer of native-oriented programming for the entire public radio system. Kbc's award winning programs include: native america calling, a weeklong one-hour live moderated call-in program that is carried by 97 stations and repeaters in alaska as well as on tribal owned stations and other public radio stations located in markets with high native american populations; national native news, a weekday 5-minute newscast, the only daily newscast from a native american perspective that is carried on more than 300 u. S. And canadian radio stations and their translators; earthsongs, a dynamic weekly program spotlighting contemporary native music that is carried by a total of 98 stations throughout the nation including larger markets across the country like austin, texas.  broadcasting - since 1996, knba has been the first and only native radio station located in an urban market. Knba's signal reaches the anchorage metropolitan area, matanuska-susitna valley and kenai peninsula, and the industry's arbitron ratings estimate average daily listenership of 9,000 to 17,000 people, not including the thousands who regularly tune in via webstream at www. Knba. Org. Kbc's annual coverage of the alaska federation of natives convention is carried via satellite by radio stations in communities across alaska, including barrow, bethel, chevak, dillingham, and fairbanks. Knba rebroadcast special native-themed programming features such as "listen to the elders" and produced the alaska native artist spotlights.	
Alaska Assistance Dogs	http://		EIN 92-0175661	1081 W Robins Song Ave	Wasilla	AK	99654	USA	Education,Educational Services						
Mid-Valley Seniors Incorporated	http://	(907) 892-6114	EIN 92-0107364	Po Box 520775	Big Lake	AK	99652	USA	Unknown	Services for senior citizens				To serve congregate and home-delivered meals for senior citizens five days per week; provide low income housing for senior citizens; and provide transportation to senior citizens.	
Bridge Builders Of Anchorage	http://		EIN 92-0163115	Po Box 240294	Anchorage	AK	99524	USA	Community Service Clubs	Provide access to leaders of different ethnic groups as needed by agencies, civic groups, media, etc.					
Prince Of Wales Hatchery Association Inc	http://		EIN 92-0157270	Po Box 554	Craig	AK	99921	USA	Unknown	The mission of prince of wales hatchery is to enhance the production of salmon and restore balance to the salmonid species within the klawock watershed. It is our goal to provide employment, education and revenue to island communities and user groups to help stimulate growth				The association is currently working to enhance fish stocks in the common properties fishery in the prince of wales archipelago to the benefit of subsistence, sport, commercial, and charter fishing.	
Salcha Fair Association Inc	http://		EIN 92-0118522	Po Box 140086	Salcha	AK	99714	USA	Community & Neighborhood Development,Economic Development						
Anchorage Police Chaplain Ministries	http://apfcm.org		EIN 92-0123900	Po Box 200654	Anchorage	AK	99520	USA		To offer assistance in the form of emotional support, information, and resources to emergency personnel and to survivors within the state of alaska.				Provided emotional and spritual support for alaska law enforcement officers, their families, and crime victims by providing counselling, critical incident stress debriefing, and related services.	
Ketchikan Softball Association Inc	http://		EIN 92-0135275	Po Box 5716	Ketchikan	AK	99901	USA	Amateur Sports,Sports						
Eagle Wings Community Church	http://		EIN 92-0146976	Po Box 21008	Juneau	AK	99802	USA							
Calista Education And Culture Inc	http://		EIN 92-0088631	5015 Business Park Blvd Ste 3000	Anchorage	AK	99503	USA	Education,Scholarships,Scholarships & Student Financial Aid						
International Ministerial Association, Inc.-Revival Tabernacle	http://		EIN 92-0144024	PO Box 1537	Kenai	AK	99611	USA							
Alaskans Against The Death Penalty	http://		EIN 92-0148247	Po Box 210390	Anchorage	AK	99521	USA	Homeless & Housing,Housing & Shelter						
Aasc Housing I Inc	http://	(907) 677-8490	EIN 92-0161891	2515 A St	Anchorage	AK	99503	USA	Homeless & Housing,Housing Development, Construction & Management	To construct and manage affordable housing for low-income and disabled persons.				Provide quality affordable housing to low-income and disabled persons located in anchorage, alaska.	
Civil Air Patrol Birchwood Squadron	http://www.capnhq.gov/		EIN 58-1781014	Box 670733	Chugiak	AK	99567	USA	Disaster Aid,Disaster Preparedness & Relief Services,Human Service Organizations,Human Services	For more than 50 years, the Civil Air Patrol has aggressively performed the missions Congress mandated in 1946: Aerospace Education, Cadet Programs, and Emergency Services.					
Center For Employment Education	http://	(907) 279-8451	EIN 92-0151776	520 E 34th Ave Ste 201	Anchorage	AK	99503	USA		The center for employment education, inc. (cee) is a tuition-based training center and offers commercial truck driving, construction technology, hazardous materials handling, worker safety and other various vocational instruction to the general public.				Training/education in the areas of commercial truck driving, construction technology, hazardous materials handling, worker safety and other various vocational instruction to the general public. Approximately 805 students attended training sessions during the year.	
Stroller White Pipes And Drums	http://		EIN 92-0113926	4410 Windfall Ave	Juneau	AK	99801	USA	Arts & Culture,Arts, Culture & Humanities						
Homer Community Food Pantry	http://	(907) 235-1968	EIN 92-0153030	770 E End Rd	Homer	AK	99603	USA	Emergency Assistance,Human Services	To feed the hungry and provide emregency services				Emergency electric fuel and housing (140 clients) emergency prescription grants for the needy (18 clients) provide food for the needy (27,350 clients)	
Parents Families And Friends Of Lesbians And Gay Inc	http://		EIN 92-0155266	Po Box 210872	Anchorage	AK	99521	USA	Civil Rights,Counseling,Lesbian & Gay Rights,LGBTQ,Mental Health						
4-H Clubs And Affiliated 4-H Organizations	http://		EIN 94-3076079	1514 S Cushman St 303	Fairbanks	AK	99701	USA							
Institute Of Management Accountants Inc	http://		EIN 23-7353275	14701 Prator St	Anchorage	AK	99516	USA							
Library Services Inc	http://		EIN 92-0111084	Hc 60 Box 223	Copper Center	AK	99573	USA							
Alaska Chapter National Down Syndrome Congress	http://	(907) 271-4633	EIN 92-0133679	Po Box 241886	Anchorage	AK	99524	USA	Health,Patient & Family Support	Down syndrome parent support group				The program provided individual assistance which included activity and camp scholarships to help children particiate in sports, music,educational programs and camps.  the program provided social and local events, including monthly meeting of parents and annual meeting. Also provide workshops and speakers for parents and support groups.  the program provided community education, new parent support packages and monthly newsletters, web information to communicate with families in the state of alaska.  information for members and supporters to raise awareness of organization achievements and participation in exercise program for all.	
Alaska Christian Ministries Association	http://		EIN 92-0112776	2440 E Tudor Rd 150	Anchorage	AK	99507	USA							
Ketchikan Volunteer Rescue Squad Inc	http://		EIN 92-0107794	Po Box 5786	Ketchikan	AK	99901	USA	Emergency Medical Services & Transport,Health						
Grace Community Church Inc	http://		EIN 92-0130090	6689 Changepoint Dr	Anchorage	AK	99518	USA							
Anchorage Concert Foundation	http://	(907) 272-1471	EIN 92-0161542	430 W 7th Ave Ste 200	Anchorage	AK	99501	USA		The purposes of the foundation are to benefit and support the anchorage concert association, incorporated, in anchorage, alaska.				Supported the anchorage concert association, inc. In delivering the fine performing arts.	
Redeemed Ministries	http://		EIN 92-0135118	PO Box 2260	Dot Lake	AK	99737	USA	Protestant,Religion						
Han Ma Um Zen Center Of Alaska Inc	http://		EIN 92-0131028	1248 Medfra St	Anchorage	AK	99501	USA							
Daybreak Inc	http://	(907) 746-6019	EIN 91-0109284	550 S Alaska St Ste 208	Palmer	AK	99645	USA		Provide independent living environment for mentally ill.				Provided case management services and independent living skills to 75 individuals with long term mental health issues in the community.	
Interior Youth Basketball Inc	http://www.interioryouthbasketball.com	(907) 457-4492	EIN 92-0101376	Po Box 74317	Fairbanks	AK	99707	USA		To organize and foster participation in amateur youth basketball.				To foster amateur youth basketball in fairbanks, alaska. Funds used primarily for referees, uniforms, program coordinator, and equipment.	
Spring Brook Church Of Christ	http://		EIN 23-7304459	Spring Brook Drive	Eagle River	AK	99577	USA							
Mendenhall River Community School Parent Teacher Organization	http://www.akpta.org		EIN 94-3127066	10014 Crazy Horse Dr	Juneau	AK	99801	USA	Education,Parent & Teacher Groups	The Alaska Congress of Parents and Teachers (the Alaska PTA) is a branch of the National PTA, a nonprofit organization which seeks to unite the forces of home, school and community on behalf of children and youth.					
University Of Christian Studies & Seminary	http://		EIN 92-0152016	Po Box 770454	Eagle River	AK	99577	USA							
Pta Alaska	http://www.akpta.org		EIN 92-0138814	1049 E Poppy Ln	Soldotna	AK	99669	USA	Education,Parent & Teacher Groups	The Alaska Congress of Parents and Teachers (the Alaska PTA) is a branch of the National PTA, a nonprofit organization which seeks to unite the forces of home, school and community on behalf of children and youth.					
Alaska Council Of Teachers Of Mathematics	http://		EIN 94-3035278	Po Box 877618	Wasilla	AK	99687	USA	Unknown						
Real Alaskan Alpine Club	http://		EIN 92-0085127	1957 Weston Dr	Fairbanks	AK	99709	USA							
Civil Air Patrol, Inc.	http://www.capnhq.gov/		EIN 92-0149651	P O Box 559	Glenallen	AK	99588	USA	Disaster Aid,Disaster Preparedness & Relief Services,Human Service Organizations,Human Services	For more than 50 years, the Civil Air Patrol has aggressively performed the missions Congress mandated in 1946: Aerospace Education, Cadet Programs, and Emergency Services.					
North Slope Baptist Mission Inc	http://		EIN 94-3048802	Po Box 203	Pt Hope	AK	99766	USA							
Last Frontier Toastmasters Club	http://		EIN 92-0160668	750 Cope Industrial Way	Palmer	AK	99645	USA							
Seward Association For The Advancement Of Marine Science	http://www.alaskasealife.org	(907) 224-6300	EIN 92-0132479	Po Box 1329	Seward	AK	99664	USA	Animals,Biological & Life Sciences,Zoos & Aquariums	The alaska sealife center generates and shares scientific knowledge to promote understanding and stewardship of alaskas marine ecosystems.				Research program - cold water marine research facility dedicated to research of marine mammals, birds and fish, ongoing steller sea lion research. Also, includes the activities of the north pacific marine research institute.  visitor and education program - connects visitors of all ages with current research and rehabilitation projects through innovative programs which range from trained interpreters available to answer visitors' questions to scheduled programs for visitors who want more in-depth information on alaska's marine ecosystems.  rehabilitation program - only permanent facility in the state designed for treatment & rehabilitation of marine birds and animals. Also provides educational outreach, additional data for federal agencies and researchers.	
Alaska Multiple Sclerosis Center Inc	http://		EIN 20-1966870	3300 Providence Dr Ste B 04	Anchorage	AK	99508	USA	Health,Nerve, Muscle & Bone Diseases						
Pier One Theatre Inc	http://pieronetheatre.org	(907) 235-7333	EIN 23-7448364	Po Box 894	Homer	AK	99603	USA	Arts & Culture,Performing Arts	Produce and promote live performing arts.				Theatre programs: live theatrical performances, youth theatre instruction, musical productions. (5260 audience, artists, youth. )	
Anchorage Community Education Advisory Board Inc	http://		EIN 51-0189312	PO Box 112387	Anchorage	AK	99511	USA	Education,Educational Services						
Circle District Historical Society	http://		EIN 92-0074363	Po Box 30189	Central	AK	99730	USA							
Rosemary Hubbell Wirkus Memory Disorder Residential Facility, Inc.	http://		EIN 65-0440591	PO Box 671325	Chugiak	AK	99567	USA							
North Star Council On Aging Inc	http://		EIN 92-0037749	1424 Moore St	Fairbanks	AK	99701	USA	Human Services,Senior Centers,Seniors	To provide meals, transportation, and accessibility services to seniors in the community.				Congregate and home delivered meals are offered to persons 60 years or older and to those who are physically or mentally handicapped.  access services are offered to persons 60 years or older including transportation for shopping, meals and medical assistance.  outreach & nutritional education services are offered to persons in the community over 60 years of age to make them aware of services available.  outreach to persons in the community over 60 years of age to make them aware of services available.	
Seward Polar Bear Jumpoff Festival Inc	http://		EIN 92-0132023	Po Box 386	Seward	AK	99664	USA							
Alaska Scottish Ritecare Foundation	http://		EIN 92-0110302	518 East 14th Avenue Suite 5	Anchorage	AK	99501	USA							
Volunteers Of America Inc	http://		EIN 74-2240098	509 W 3rd Ave Ste 103	Anchorage	AK	99501	USA							
Bayshore Parent-Teacher Association Pta	http://www.akpta.org	(907) 742-5360	EIN 92-0119698	10500 Bayshore Dr	Anchorage	AK	99515	USA	Education,Parent & Teacher Groups	To promote the welfare of the children and youth in home, school, community, and place of worship. To raise the standards of home life. To secure adequate laws for the care and protection of children and youth. To bring into closer relation the home and the school, that parents and teachers may cooperate intelligently in the education of children and youth. To develop between educators and the general public such united efforts as will secure for all children and youth the highest advantages in physical, mental, social, and spiritual education.				The organization provided most of the after school activities, skating rink maintenance, technological upgrades and maintenance, library funding, bus service for field trips, family nights, classroom enhancements and a reading fair. Approximately 60 teahcers, support staff and 500 students were served.	
Copper Valley Community Library Association	http://		EIN 92-6010355	Po Box 173	Glennallen	AK	99588	USA							
First Prebyterian Church	http://		EIN 92-0024336	505 Sawmill Creek Rd	Sitka	AK	99835	USA							
International Reading Association Inc	http://		EIN 92-6003048	1851 Blackburn Way	North Pole	AK	99705	USA							
Supporters Of Slingerland	http://		EIN 92-0088319	1422 Demure Pl	Anchorage	AK	99508	USA							
Alert Alaska	http://		EIN 92-0138490	600 Burrow St Ste 404	Anchorage	AK	99501	USA	Religion,Religion-Related						
Alaska Pta	http://www.alaska.net/~akpta/		EIN 92-0088246	1004 W Tudor Rd	Anchorage	AK	99503	USA	Education,Parent & Teacher Groups	The Alaska Congress of Parents and Teachers (the Alaska PTA) is a branch of the National PTA, a nonprofit organization which seeks to unite the forces of home, school and community on behalf of children and youth.					
Light Of The World Tabernacle Church Inc	http://		EIN 92-0143098	Po Box 202009	Anchorage	AK	99520	USA							
Anchorage Festival Of Music	http://www.anchoragefestivalofmusic.org	(907) 276-2465	EIN 74-1936296	Po Box 100272	Anchorage	AK	99510	USA	Arts & Culture,Music	Providing musical programs and concerts as a service to the community and providing opportunities for local musicians to join with guest artists in chamber recitals. Supporting our alaskan youth with an opportunity to display their talents to the public and receive awards to further their studies.				Chamber music soirees featuring local musicians along with guest artists	
Kachemak Swim Club Assoc	http://		EIN 94-3076126	Po Box 578	Homer	AK	99603	USA	Sports,Swimming & Other Water Recreation	Dedicated to the development of excellence and achievement in competitive and recreational swimming.				Providing a venue and coaching for development and competition.	
Benton Bay Athletic Lions Club Foun Dation	http://	(907) 345-3737	EIN 94-3057694	Po Box 91395	Anchorage	AK	99509	USA		Community and youth service.				Diabetes awareness, food baskets to the needy, university assistance, youth sports, sight programs, disaster assistance, handicapped and drug awareness.	
Share The Spirit	http://		EIN 92-0157475	Po Box 3218	Homer	AK	99603	USA	Philanthropy,Public Foundations						
Alaska Museum Of Science And Nature	http://		EIN 92-0138658	201 N Bragaw St	Anchorage	AK	99508	USA	Children & Youth,Scouting						
Alaska Center For Land Reform Inc	http://		EIN 92-0163260	Po Box 91539	Anchorage	AK	99509	USA	Civil Rights						
Martin Luther King Jr Foundation Of Alaska Inc	http://		EIN 92-0117946	Po Box 200156	Anchorage	AK	99520	USA	Arts & Culture,Commemorative Events						
Downtown Soup Kitchen	http://www.downtownsoupkitchen.org	(907) 277-4302	EIN 92-0141715	Po Box 202684	Anchorage	AK	99520	USA	Food,Food Programs	The downtown soup kitchen exists to demonstrate god's heart for the hungry and homeless in anchorage, alaska by providing a full stomach and a hand up.				The downtown soup kitchen serves a hot lunch and provides showers, laundry and clothing for the homeless and working poor in anchorage. During the year, the feeding program served around 110,000 meals and the shower house provided 4760 showers.	
Sitka-Edgecumbe Youth Football Inc	http://		EIN 92-0160198	PO Box 1891	Sitka	AK	99835	USA	Football,Sports						
National Spiritual Assembly Of The Bahais Of Alaska Assembly Of Homer	http://		EIN 92-0075263	Po Box 713	Homer	AK	99603	USA							
Alaska Buddhist Society-Hwei Yuan Town	http://		EIN 92-0130836	12810 Mission Cir	Anchorage	AK	99516	USA							
Cook Inlet Soccer Club	http://www.ciscsoccer.org		EIN 94-3055547	9210 Vanguard Dr Ste 102b	Anchorage	AK	99507	USA	Soccer,Sports	Cook inlet soccer club is the most comprehensive soccer program in alaksa, offering recreational, pre-competitive, competitive and select travel playing opportunities. We exist to provide the youth of the greater anchorage area a positive meaningful experience while participating in athletic competition. Our recreational players participate on teams that provide equal development and playing opportunities. Our competitive division endeavors to provide the most complete and progressive program in alaska to provide our players the opportunity to develop themselves as world-class players and positive successful individuals, with a life long respect and enjoyment for playing the game. Our coaches are teachers and mentored that use proven skills development to provide the highest possible level of technical and tactical training,skill development, and team play available in the state.				Provide youth of the greater anchorage area a positive meaningful experience while participating in athletic competition. Our recreational players participate on teams that provide equal development and playing opportunities. Our competitive division endeavors to provide the most complete and progressive program in alaska to provide our players the opportunity to develop themselves as world-class players and positive successful individuals, with a life long respect and enjoyment for playing the game.  provide youth of the greater anchorage area a positive meaningful experience while participating in athletic competition. Our recreational players participate on teams that provide equal development and playing opportunities. Our competitive division endeavors to provide the most complete and progressive program in alaska to provide our players the opportunity to develop themselves as world-class players and positive successful individuals, with a life long respect and enjoyment for playing the game.	
Mccarthy Area Council	http://		EIN 92-0155556	Po Box Mxy	Glennallen	AK	99588	USA	Community & Neighborhood Development,Economic Development						
Juneau-Douglas High School Fast Break Club Inc	http://		EIN 92-0152539	1013 Wee Burn Dr	Juneau	AK	99801	USA	Education						
Child Evangelism Fellowship Inc	http://www.cefalaska.com	(907) 262-9605	EIN 92-0038207	43687 Kalifornsky Beach Rd	Soldotna	AK	99669	USA		Ministry to children by holding bible clubs, camps, and teacher training for teens.				To support chapters around the state of alaska that provide bible clubs for children and teacher training for teens.  to support chapters around the state of alaska that provide bible clubs for children and teacher training for teens.	
Girdwood 2020	http://		EIN 92-0173178	Po Box 1102	Girdwood	AK	99587	USA	Chambers of Commerce & Business Leagues						
Perseverance Theatre Incorporated	http://www.perseverancetheatre.org	(907) 364-2421	EIN 92-0071124	914 3rd St	Douglas	AK	99824	USA	Arts & Culture,Theater	Perseverance theatre's mission is to create professional theatre by and for alaskans. We value community engagement, professional rigor, and regional voice.				The organization produced 5 mainstage plays and brought 3 plays to anchorage. Additionally, perseverance theatre had an active education program, including young company, summer theatre arts rendezvous (star) and the university of alaska southeast (uas) productions. Adult training opportunities included college classes at uas as well as the alaska summer training intensive (asti). Our intern program where we bring on three graduate level interns to work in the theatre in the education, technical and production sections was added in fy 2014.	
