name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Geographic areas served	Programs	Direct beneficiaries per year
Goodwill Industries Of Southern Nevada Inc	http://www.sngoodwill.org	(702) 214-2000	EIN 23-7437479	1280 W Cheyenne Ave	N Las Vegas	NV	89030	USA	Human Service Organizations	Goodwill of southern nevada, inc. Is a non-profit organization whose mission is to provide education, employment and training for people with disabilities and other barriers to employment to maximize the quality of life for each individual served.				Goodwill's career connections programs provided workforce development services to 12,810 individual people with disabilities and other barriers; enabling 2,361 individuals to secure employment. Of the total people served, 359 people with disabilities referred by the bureau of vocational rehabilitation received community based training and 846 youth with disabilities received job training. Of the total number of people who secured employment, 507 secured employment through the veteran integration program.	
Womens Resource Medical Centers Of Southern Nevada Inc	http://www.wrmcsn.org	(702) 366-1247	EIN 94-2944732	2915 W Charleston Blvd Ste 1	Las Vegas	NV	89102	USA	Christianity, Counseling, Family Planning, Health, Mental Health, Religion, Reproductive Health Care, Reproductive Rights	Women's resource medical centers of southern nevada exists to save the lives of unborn children by sharing the love of jesus christ through spiritual, physical, emotional, and educational support to our clients.				Introduction thank you for taking the time to become familiar with the women's resource medical centers of southern nevada (wrmcsn). This organization originated in 1985 with the purpose of serving families in the community of southern nevada who are faced with a pregnancy that they did not plan. The mission remains the same today just as the statement proclaims, "women's resource medical centers of southern nevada exists to save the lives of unborn children by sharing the love of jesus christ through spiritual, physical, emotional, and educational support to our clients. " statistics from the center for disease control and the alan guttmacher institute indicate that 93% of all abortions occur because of social or economic reasons and that 50% of women who have had an abortion in the past are more likely to have another. Since 1985 we have personally met with some of these women and we have found that the majority of them would not choose abortion if they simply had someone to assist them in their circumstance. The wrmcsn acts as that support as we embrace these women and give them the education and resources that they need to be able to make a choice for life. All of the services that we offer are free of charge to our clients. As our mission statement proclaims, we are driven by divine love there is no worldly profit for this organization. The wrmcsn is a place where god's love is extended to those who are faced with the choice of death. Most of them do not know that his grace and mercy is abundantly poured out upon his creation to all those who will receive his gift of reconciliation. Many of our clients receive god's gift with joy and we are able to see the fruit of this ministry extend to both the lives of unborn babies being saved and the eternal life of the mother and father. Community impact according to time magazine, pregnancy centers are playing an important role in why abortion rates have lowered in recent years: "that would seem to be evidence that the quiet campaign for women's hearts and minds, conducted in thousands of crisis pregnancy centers around the country, on billboards, phone banks and websites, is having an effect. . . "(why have abortion rates fallen? " time, january 21, 2008. ) "today, it's still worthwhile to pass laws restricting abortion, but time and money spent on providing and promoting compassionate alternatives saves more lives. " (marvin olasky, "lessons from the past," world, january 17, 2009. ) las vegas has been listed as one of the top five "at-risk" abortion cities in our nation. Right here in southern nevada, over 6,000 clients a year receive: - pregnancy tests. - ultrasounds. - crisis counseling. - material resources such as maternity/baby clothes, diapers, formula, car seats, cribs and other related items that they need to support them with their decision to choose life. - parenting education. - abortion recovery program for women and men. - education on the benefits of abstinence outside of marriage. - prenatal/fetal development education. - male clients receive fatherhood counseling from a male mentor. Client approval ratings in order to ensure the highest level of client service, private and confidential "exit interviews" are conducted after every client visit. The women's resource medical centers of southern nevada has always been able to achieve the highest standard of service and in 2014 the client approval rating was 97%. The clients of women's resource medical centers of southern nevada also indicate that they would recommend the organization to a friend. The number one source of new clients among all other forms of advertising is "word of mouth. " "when i first came to the women's resource center and found out the news that i was expecting, i was not getting along with my family and was thinking that i didn't want my baby coming into the world with all of the problems. I was thinking that i had made a mistake. The following week i came to get my ultra-sound and heard the baby's heartbeat. I thought that even though my mom loves me, i was her mistake. Thanks to god i have a husband who supported me. My baby helped bring my mom and me together. He truly is my little angel and every time he smiles i thank god for the women's resource center because if i hadn't heard the baby's heartbeat i don't know if he would be here. " ~ america "i would like to thank women's resource center for saving the life of my precious baby. I was going to abort her, but now she is five months old. Thank you for the continuing support of providing diapers and supplies for my baby. From the bottom of my heart, thank you again for the help. " ~ herminia "when i first came to the women's resource center, i was shocked to find out that i was five weeks pregnant. It was a hard experience telling my parents that i was having a baby at such a young age. I was fifteen turning sixteen. My mom was disappointed about my pregnancy. My whole family was angry until they met my son. The anger went away and happiness came to all of our lives. We are now married and hector loves being a dad. " ~ keily "i wanted an abortion because i am muslim and my family would not accept me if i came home to africa pregnant and not married. The women's resource centers did not do abortions, but they gave me a free pregnancy test and an ultrasound. They told me that jesus was god and that he loved me. I could not have an abortion after seeing my baby on the ultrasound screen. Thank you so much. I love my little girl, samira, and i can't imagine her not being here. " ~ meme "in the beginning i didn't want to have the baby because we couldn't afford it. I asked my friend for help and she brought me to the women's resource center. The center gave me what i needed. I had an ultra-sound and saw my baby for the first time and that is when i decided to keep her. It was good that i came to the center that day. I am so thankful for the center and god for all the things that you have helped me with" ~ marcelina "when i came to the women's resource medical centers to have a free pregnancy test i did not know what i would dothanks to the staff i made a decision to have my baby and when i came back for my ultrasound i found out i was having twins if it were not for the women's resource medical centers i don't know what i would have done i am so thankful for all the help and resources they have given me and for helping me make a decision for life" ~ rushina "i was 36 and single and did not have any children; i was looking for an abortion fast as i was driving i saw a sign that said 'free pregnancy test' so i went in. It was confirmed that i indeed was pregnant. After spending some time at the women's resource medical centers they made me feel like it was not a disaster and i left with the idea that there might be a 'miracle' growing in me and not a 'mistake'. The center introduced me to christ too i look at my beautiful son and i thank god everyday that i saw a free pregnancy test sign"~ tammy "i have had multiple abortions. I was a drug addict who was in and out of jail. I came to the women's resource medical centers and my counselor showed me how to restore my relationship with christ and told me how much he loved me and my unborn child. I made a decision not to abort. I am so thankful that i walked through those doors"~ karen income sources the women's resource medical centers of southern nevada is a faith-based, non-profit 501(c)3 organization that is 100% funded by our local community. This organization does not receive government funding and all of our services are provided free of charge. Volunteers the women's resource medical centers of southern nevada serves over 6,000 client visits every year with the assistance of faithful volunteers. There are around 65 trained volunteers who have clocked in an average of 1,500 hours per month this is a value of 232,000 per year that the organization is saving from hired staff, even excluding the additional savings from payroll taxes, workmen's comp and medical benefits. In addition, our medical operations include approximately 100 hours per month of donated services from medical professionals. Thank you so much for taking the time to learn about this amazing organization. If you would like to partner with us, please visit our website www. Wrmcsn. Org	
Gnj Family Life Center	http://www.gnjinc.org	(702) 648-1407	EIN 88-0515158	1100 North D Street Ste 107	Las Vegas	NV	89106	USA	Family Services	Vocational training & job assistance.				Provided financial and work related assistance for low income, self- admitted adult and youth participants who received aid in the form of job and life skills training, job-seeking assistance, work experience opportunities, and related support services.	
Citizen Outreach Foundation Inc	http://	(202) 558-7162	EIN 94-3178977	5841 E Charleston Blvd No 230253	Las Vegas	NV	89142	USA	Unknown	To create, develop, and promote the discussion, understanding, and awareness of public policy issues, to increase participation in the governmental process, and to promote educational opportunities to enhance the quality of public policy education.				Internet communications - produce e-newsletters for public policy issues and non-partisan campaign training.   reagan legacy project - leading the national effort to designate the peak at the top of frenchman mountain to the east of las vegas as 'mount reagan' in commemoration of the 40th president.   seminars - nonpartisan public policy and training seminars.   public awareness through media - host weekly webcast interview show with public policy experts and elected officials; conduct print media advertising campaigns on public policy issues; officials participate on a number of radio talk shows and have op-eds published by various online publications.	
L & E Whitney Foundation	http://		EIN 88-0328487	300 S 4TH St	Las Vegas	NV	89101	USA	Philanthropy, Philanthropy, Voluntarism & Grantmaking Foundations						
Feline Charity	http://		EIN 27-3058316	PO Box 1210	Pahrump	NV	89041	USA	Animal Protection & Welfare, Animals						
The Key Foundation	http://	(702) 317-6440	EIN 94-3156057	1001 A St	Las Vegas	NV	89106	USA		To provide shelter for homeless veterans and their families while assisting them to become self-reliant with housing and gainful employment.				Provide job finding and temporary housing for homeless veterans. Assist with bus passes, id cards, health cards, and items needed for job hunting. Provide low cost housing during transitional periods.   provide job finding and temporary housing for homeless veterans. Assist with bus passes, id cards, health cards, and items needed for job hunting. Provide low cost housing during transitional periods.	
Battle Mountain Burners	http://		EIN 27-2670480	110 Carson Rd	Battle Mtn	NV	89820	USA	Arts & Culture, Cultural & Ethnic Awareness						
Brown School Parent Teacher Organization	http://	(775) 851-5600	EIN 94-3267225	13815 Spelling Ct	Reno	NV	89521	USA	Education, Parent & Teacher Groups	Support students education				Provide funding assistance to reinforce parent commitment to the importance of education as well as the critical role teachers play in students lives i. E. Events, programs and awards as well as provide additional educational opportunities that would not be available due to school district budget constraints i. E. Physical education, computer skills, music, library.   install and improve school grounds and provide equipment that would not otherwise be available due to school district budget constraints i. E. Instruments, sports, school supplies, playground equipment.   provide funding assistance to reinforce the importance of education i. E. Scholarships.	
Nevada Disability Advocacy And Law Center Inc	http://www.ndalc.org	(775) 333-7878	EIN 88-0327392	2820 W Charleston Blvd Ste 11	Las Vegas	NV	89102	USA	Centers to Support the Independence of Specific Populations, Human Services	The nevada disability advocacy and law center, inc. (organization) is a non-profit corporation created on october 11, 1994, to advocate for and protect the human and legal rights of the citizens with disabilities in the state of nevada. By law, the organization is to provide this service through systemic change. The organization pursues this by representing clients in legal actions, and working with executive and legislative branches of government to help protect and advocate for the rights of these individuals.				The organization's programs correspond to the grants received. The following is a list of the grants the organization received: developmental disabilities protection and advocacy program fund (padd): this fund is used to account for the receipt and expenditure of funds received on an annual basis from the u. S. Department of health and human services pursuant to the developmental disabilities assistance and bill of rights act. Mental illness protection and advocacy program fund (paimi): this fund is used to account for the receipt and expenditure of funds received on an annual basis from the u. S. Department of health and human services pursuant to the protection and advocacy for individuals with mental illness act of 1986. Protection and advocacy of individual rights program (pair): this fund is used to account for the receipt and expenditure of funds received on an annual basis from the u. S. Department of education pursuant to the protection and advocacy of individual rights program. Assistance technology program fund (paat): this fund is used to account for the receipt and expenditure of funds received on an annual basis directly from the u. S. Department of education pursuant to the technology related assistance to individuals with disabilities act of 1988 and the assistive technology act of 1998. Protection and advocacy for beneficiaries of social security (pabss): this fund is used to account for the receipt and expenditure of funds received on an annual basis from the u. S. Social security administration pursuant to the ticket to work and work incentives improvement act (twwiia). Protection and advocacy for voter access (pava): this fund is used to account for the receipt and expenditure of funds received form the u. S. Department of health and human services pursuant to the help america vote act of 2002. Protection and advocacy for individuals with traumatic brain injury (patbi): this fund is used to account for the receipt and expenditure of funds received from the u. S. Department of health and human services pursuant to the children's health act of 2000 title xiii - traumatic brain injury. Nevada disability employment education program (ndeep): this fund is used to account for the receipt and expenditure of funds received from the u. S. Department of health and human services passed through the state of nevada, department of health and human services pursuant to improving coordination of services among state agencies and community organizations with direct responsibility to individuals with disabilities in their pursuit of competitive employment and facilitate a 2% job placement a year among the ticket-to-work holders in nevada.	
URBAN ROOTS GARDEN CLASSROOMS	http://www.urgc.org		EIN 01-0944615	3001 West 4th St.	Reno	NV	89523	USA	Education, Educational Services			grow healthy minds, bodies and communities	northern Nevada	school garden support, academic enrichment programs such as Farm Camp, community workshops, and agricultural research opportunities.	175 students at our farm and campus and reached 796 students school gardens across Washoe County
JESSICAS CHILDREN FOUNDATION	http://www.jessicaschildren.org		EIN 27-1318342	1946 E.Hacienda Ave.	Las Vegas	NV	89119	USA				children of slain parents	Las Vegas, Nevada	counseling, clothing, food, shelter, financial assistance.	Jessica's Children Foundation become a collegiate recognized organization
Sigma Public Education And Research Foundation	http://		EIN 36-4028458	313 Casa Del Norte Dr	N Las Vegas	NV	89031	USA	Education, Scholarships, Scholarships & Student Financial Aid						
Douglas Animal Welfare Group	http://		EIN 30-0028975	Po Box 1850	Gardnerville	NV	89410	USA	Animal Protection & Welfare, Animals						
Lions Camp Dat So La Lee Inc	http://	(702) 433-5762	EIN 94-3112450	2640 Fawn Fescue Ct	Minden	NV	89423	USA	Camps, Sports	Provide camp for youths				Listed are the expenses for conducting a one week camp for children	
That Others May Live Foundation	http://www.thatothersmaylive.org	(229) 563-3549	EIN 88-0487308	6220 Mcleod Dr Ste 120	Las Vegas	NV	89120	USA	Children & Youth, Education, Philanthropy, Scholarships, Scholarships & Student Financial Aid, Voluntarism Promotion	The foundation provides scholarships, family counseling, and aid to surviving children of united states air force (usaf) rescue heroes who gave the ultimate sacrifice during a rescue mission, training, or other personnel recovery (pr) collateral mission.				The organization's primary efforts are all directed toward raising awareness of the resources available to the families of our country's fallen heroes, and towards attracting, receiving, investing, managing, and expending gifts and other resources designated for providing scholarships, family counseling, and aid to individuals and families that meet its mission criteria.   the organization provided scholarships to surviving relatives of usaf rescue heroes.	
Whitehead School Parent Faculty Association	http://		EIN 94-3029494	3570 Waterfall Dr	Sparks	NV	89434	USA							
On My Way Home Rescue	http://www.OnMyWayHomeRescue.com		EIN 46-4397718		Henderson	NV	89015	USA	Animal Protection & Welfare, Animals			Animals needing rescue from high kill shelters and owner surrendered animals that we can keep from entering the shelter system.	The Las Vegas valley (including Henderson, Nevada)	Medical care, rehabilitation, fostering, and love while a forever family is found for each animal.	200 animals to find their forever homes.
Leah Willis Dance Arts	http://lifegoals.webnode.com	702-929-7016	EIN 27-0413687	416 E. Sunset Rd. Ste. C	Henderson	NV	89011	USA	Arts & Culture, Arts Education, Children & Youth, Dance, Youth Development Programs	At the heart of our mission, is the goal of positively impacting our community so that the youth as well as the adults that take part in our programming become healthy, well-rounded, inspired and accountable. We hope each member will grow into intelligent, articulate and creative individuals who joyfully share their artistic passion, while actively striving to support and improve their communities.	Since joining the Henderson community in January 2015, we have had the pleasure of working with Kohl's, Buffalo Wild Wings, Boys and Girls Club of Southern Nevada, Target, Las Vegas Kettle Corn and Staples to make a change in our community. As a result we have raised over $2,000 and were able to give away school supplies to over 50 kids in Henderson. We hope to continue to raise money and impact the community through the arts.	performing arts education, residencies, academic and career competency for K-12 schools, businesses and communities in need.	any location	LWDA Innovative Arts Ensemble LWDA Healthy Habits Program	Major school districts, local businesses, as well as colleges attain success in volunteering, arts education and reduction of adolescent obesity.
Searchlight Community Church	http://		EIN 23-7062119	Po Box 732	Searchlight	NV	89046	USA							
Poodle Club Of America Foundation Inc	http://poodleclubofamerica.org	(702) 834-6557	EIN 41-1645173	5989 Sierra Medina Ave	Las Vegas	NV	89139	USA	Animals	Animal disease research specifically as it applies to poodles.				Grant to university of north carolina state for study of addison's disease.   grant to the university of california for research in the area of genetic diversity.   grant to akc canine health foundation for research in the area of tendon injury in dogs and progressive retinal atrophy research.   health seminars, video and online tapes, and testing as it relates to poodles and grant to study rabies.	
Police Auxiliary Civilian Team	http://		EIN 94-2819002	521 Junebug Pl	Henderson	NV	89015	USA	Crime & Law, Crime Prevention						
Nevada Policy Research Institute	http://www.npri.org/	(702) 222-0642	EIN 88-0276314	7130 Placid St	Las Vegas	NV	89119	USA	Unknown	Nevada policy research institute is a free-market think tank that seeks private solutions to public challenges facing nevada, the west and the nation. The institute educates nevada's citizens, media members and public officials about the importance of advancing free-market principles in public policy, particularly in education, fiscal policy and transparency. The institute accomplishes this by conducting scholarly research and analysis of nevada public policy issues, providing education for nevada citizens and, when necessary and appropriate, litigating on behalf of itself, its members, and/or private citizens on legal issues of public importance otherwise relating to its mission and purpose.				The institute uses a number of tools to ensure that its message reaches as many people as possible. Over 21,000 subscribers receive our weekly e- bulletin, which includes news and analysis from around nevada and the nation. Our commentaries examine policy matters currently before nevada lawmakers, and our policy studies provide a more in-depth look at the state's most pressing issues. Institute scholars often appear on radio and television broadcasts, and are regularly consulted by print reporters. When asked, npri staff testify before legislators in carson city. When necessary, the institute also litigates to protect the fundamental rights of individuals as set forth in the state and federal constitutions.	
George & Sonie Weiss Foundation	http://		EIN 94-3139138	P. O. Box 887	Winnemucca	NV	89446	USA	Education, Scholarships, Scholarships & Student Financial Aid						
Advocates To End Domestic Violence	http://	(775) 883-7654	EIN 94-2665387	Po Box 2529	Carson City	NV	89702	USA	Domestic Violence, Family Violence Shelters, Homeless & Housing	Domestic violence shelter				Advocates provides shelter and counseling for abused individuals and families. The organization helps over 2,000 victims annually  all revenue and expenses are for the benefit of the shelter	
Young Israel Aish Las Vegas	http://www.yiaishlv.com	702-360-8909	EIN 88-0348899	9590 W Sahara Ave	Las Vegas	NV	89117	USA	Judaism, Religion				Las Vegas, Nevada		
Grace Christian Academy Minden	http://		EIN 20-2415441	2320 Heybourne Rd	Minden	NV	89423	USA	Education, Primary & Elementary Schools						
Nevada Public Education Foundation	http://www.nvpef.org	(775) 687-9203	EIN 94-3164867	700 E Fifth St	Carson City	NV	89701	USA	Education	Established in 1991, Nevada Public Education Foundation (NPEF) serves as a catalyst for quality education statewide and leverages resources and partnerships to help Nevada's youth become "ready for life" as well as re-engaging those who prematurely left school. As an intermediary organization, Nevada Public Education Foundation convenes local, regional and statewide organizations doing similar work to maximize resources and effort; seeks to consistently measure and improve programs and services; and organizes public and private support to sustain the work and ensure that young people receive the education and resources they need to become productive, contributing members of society.	To date, the Foundation has made a huge impact on Nevada's youth. In addition to collaborating in the recent launch of the Washoe Ready for Life Community Compact, as well as launching a similar collaborative in Clark County this October,  the following are just a handful of its initiatives: * Hosted two RFL Nevada Dropout Prevention Summits to improve Nevadas graduation rate * Created the Nevada Compact to implement goals from the Summits and reflect a  shared commitment to education * Supported RFL Southern Nevada's efforts in hosting three Funders Forums to leverage opportunities and maximize impact * Supported local RFL collaboratives in Clark, Washoe, Churchill, Lyon, Storey, Nye and Esmeralda counties * Focused efforts to graduate all with short-term goal of 10% increase in the graduation rate by 2013  * In 2010, NPEF connected Clark County School District (CCSD) with United Way of Southern Nevada in response to a high school partnerships grant opportunity presented by AT&T. This connection resulted in a $100,000 grant to plan a family engagement project at five pilot high schools. Upon seeing results from the planning phase, UWSN funders implemented these efforts and plan to support the project for an additional four years. * RFL Southern Nevada worked with the Clark County Continuum of Care to align priorities and reach disconnected youth. As a result of this relationship, the Continuum successfully received a $3.1 million grant to provide housing and wraparound services to homeless youth ages 18-24 through St. Judes Ranch for Children project.	Through its Ready for Life (RFL) initiative, the Foundation has created a collaborative cross-agency effort to improve Nevada's success at engaging and graduating "ready for life" students and reengaging those who prematurely left school. Dozens of public and private organizations are partnering in the belief that as they work together, students will be more likely to complete high school and gain appropriate post-secondary education or training to become productive, contributing members of society.		Ready for life is a collaborative cross-agency effort to improve nevada's success at engaging and graduating "ready for life" students and reengaging those who prematurely left school. The funds under this program are used for research, training, technical assistance, and facilitation of collaborations, as well as grants to community collaboratives and partner organizations for planning, capacity building, and direct youth service activities.	Approximately 20,000
Senior Citizens Of Pioche	http://		EIN 88-0161760	Po Box 443	Pioche	NV	89043	USA							
Abigail Children International House Inc	http://	(702) 272-7475	EIN 26-3111677	3240 Las Vegas Blvd N Apt 114	Las Vegas	NV	89115	USA	Human Service Organizations	Children support & guidance				Individuals were provided life's necessities in this country.	
