name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Results	 	Bay Grasses In Classes 	Best Buddies Colleges	Vision Statement
CenterLink: The Community of LGBT Centers	http://www.lgbtcenters.org	954-765-6024	EIN 52-2292725	P.O. Box 9744	Ft. Lauderdale	FL	33321	USA	Civil Rights, Lesbian & Gay Rights, LGBTQ	CenterLink develops strong, sustainable LGBT community centers and builds a thriving center network that creates healthy, vibrant communities.	the leaders (board and staff) of LGBT Community Centers	(through support, programs, resources and by providing a peer network) over 170 member centers	Nationwide - as well as Canada, China and beyond	one-on-one and group training (virtual and in-person), webinars, Executive Director Boot Camp, annual Leadership Summit, online resource portal, phone and online support and more!					
Sundari Foundation, Inc.	http://lotushouseshelter.org	305-365-2478	EIN 81-0652266	217 NW 15th Street	Miami	FL	33136	USA	Homeless & Housing, Homeless Centers, Homeless Shelters	The Sundari Foundation is a 501c3 non-profit, non-denominational public charity, dedicated to the education, advancement and social inclusion of poor, disadvantanged and homeless women and children. The first initiative of the Foundation was the establishment of the Lotus House Womens Shelter in the heart of Overtown, Miami, an area suffering from profound poverty and urban blight in one of the poorest large cities in the United States. Lotus House is a unique women's resource center and residential facility serving women who are homeless or at risk of being homeless, whether due to domestic violence, untreated medical or mental illness, disability, loss of employment, or other economic reasons. For many women, it is the shelter of last resort, as time spent in temporary shelters does not afford them an opportunity to address untreated medical and mental health issues, obtain employment, and save the funds needed to secure affordable housing. This is not a typical short term shelter, but a place where the minds, bodies and spirits of women most in need are nurtured and supported to empower them to improve the quality of their lives on every level, achieve greater self sufficiency, and transition to permanent homes off the streets.			Miami Dade County, Florida	Operation of residential facility and resource center, known as lotus house women's shelter, providing free shelter, holistic support services and access to wide range of community resources for homeless women and children, including: food, clothing, counseling, job readiness training and educational workshops, access to medical and mental health treatment, pre-natal care, birthing and parenting classes, infant supplies, and a host of enrichment of activities. Facility serves approximately 350+ homeless women and children each year. After its initial formation, the foundation concentrated its efforts on providing relief to homeless, poor, distressed and disadvantaged women and children. It established lotus house as a prototype women's resource center and transitional housing facility, providing basic human services and resources to homeless, poor, distressed and disadvantaged women in miami-dade county. It elected not to further pursue assistance to the school project of the theodore gibson foundation, which was in the planning stages.   through its wholly owned subsidiary lotus house thrift, llc, the foundation has established a work program and community outreach thrift shop benefiting lotus house women's shelter, providing job training, clothing and furnishings for homeless, poor, distressed and disadvantaged women in furtherance of the foundation's charitable and educational purposes.   through its wholly owned subsidiary lotus wellness center, llc, the foundation established a free, volunteer, health and wellness clinic in furtherance of the foundation's charitable and educational purposes.					
Lee County Alliance of The Arts, Inc.	http://www.artinlee.org	239-939-2787	EIN 51-0182649	10091 McGregor Blvd.	Ft. Myers	FL	33919	USA	Alliances & Advocacy, Arts & Culture, Arts & Humanities Councils & Agencies, Performing Arts, Visual Arts	The Alliance for the Arts is the officially designated Arts organization for Lee County charged with the mission to facilitate and nurture the creation, development, promotion and education of arts and culture in Lee County.			Lee County, SW Florida	Sponsor, coordinate and promote the development of artistic disciplines in lee county, fl. Membership includes arts and cultural organizations, individuals and businesses. Services include theatrical performances, art exhibits, programs, as well as,educational classes and workshops serving youth and adults.					
Emerald Coast Wildlife Refuge Inc	http://www.ecwildliferefuge.com		EIN 59-3286744	105 Santa Rosa Blvd	Ft Walton Bch	FL	32548	USA	Animal-Related, Animals, Wildlife Preservation & Protection, Wildlife Sanctuaries	The mission of the Emerald Coast Wildlife Refuge, Inc. is Education, Conservation and Rehabilitation for the welfare of Florida''s natural fauna.									
Kids Beating Cancer	http://www.kidsbeatingcancer.com	866-800-HOPE	EIN 59-3136203	615 E Princeton St Suite 400	Orlando	FL	32803	USA	Cancer, Health, Health Support	Kids Beating Cancers mission is to provide resources and support for children with cancer, leukemia and related life threatening diseases throughout the treatment process. By funding pre-transplant testing and donor identification, costs never covered by Medicaid and only partially covered by insurance, any child can have access to stem cell transplantation, the best  and only hope for a cure. This testing is provided at no cost at the Kids Beating Cancer Pediatric Transplant Center, regardless of the transplanting hospital.   THE HEART OF OUR MISSION: children in need of marrow and stem cell transplants.   OUR CORE OBJECTIVE: helping children and their families before, during and after transplantation.  Because all a family should worry about is helping their child live!	Serving children with cancer, leukemia, and related life-threatening diseases of all races, ages - birth through 17 years old.	300	Central Florida, Florida & US	Fund the Match support pre-transplant test never funded by Medicaid Kids Beating Cancer Pediatric Transplant Center at Florida Hospital for Children Karing 4 Kids Meals for Families while in the KBC PTC My Room decorating a child's hospital room in a theme when they go to transplant	Since 1992, Kids Beating Cancer:	 Over 8,500 children served  Over 38,000 potential donors tested Over 13 million dollars raised Opened the Kids Beating Cancer Pediatric Transplant Center in 2012				
In Harmony With Nature animal haven	http://www.ihwn.org	(407) 495-8954	EIN 20-5967508	N Apopka Vineland Rd	Orlando	FL	32818	USA	Animal Protection & Welfare, Animals	In Harmony With Nature animal haven is dedicated: -To effectively educating individuals by enriching their lives with a greater awareness of nature and the connectedness we have to all living things.  -To create an understanding of the importance of wolves, and other wild canines to our ecosystems through interactive programs that increase our communitys connection with those creatures. -To offer a place for neglected, abandoned, abused or problem animals including domestic dogs and through care and rehabilitation work find new homes when appropriate.  -To facilitate change in the way we think and act towards the environment and all living things, bringing a sense of community with nature, leading to a more sustainable future in the effort to foster respect for all.	Assist animals on to a better quality of life.	over 40 animals find safety and a new life.	Central Florida	volunteer opportunities,  rescue and rehab, educational events	Our animal haven is growing. We are increasing the number of volunteers and sponsors assisting us as the number of animals in need keeps going up. We are setting up great new programs to assist these animals in finding loving new homes or providing a quality of life at our sanctuary.				
St Francis Animal Rescue Of Venice Inc	http://www.stfrancisarfl.org	(941) 492-6200	EIN 65-0409317	Po Box 563	Nokomis	FL	34274	USA	Animal Protection & Welfare, Animals	We are a no-kill shelter whose objective is to rescue abandoned, and unwanted cats and kittens in the community and to provide them with shelter, food, medical care and love for their entire life or until we can find them responsible, loving homes through adoption. We support local spay/neuter programs and educate people about responsible pet ownership.				Adoption to the general public of catslow cost pay/neuter for low income pet ownersmedication and treatment for cat "residents" of sheltermany of the cats at st. Francis are medically challenged. These cats are aging, and along with that come the inevitable physical infirmities associated with elderly cats-renal failure, diabetes, bowel issues, and even cancer. Some of the younger cats also have medical issues which require regular medication or treatments. The shelter even has ill or injured cats abandoned at the shelter by owners who cannot afford to pay for their pets' medical care. St. Francis is a no-kill rescue shelter. Euthanasia is only a treatment of last resort when a cat no longer has any quality of life and pain can no longer be controlled. All cats are provided with whatever medical treatment is necessary to assure them the opportunity to enjoy life for as long as possible.					
Mollys House Inc	http://www.mollyshouse.org	(772) 223-6659	EIN 65-0407242	430 Se Osceola St	Stuart	FL	34994	USA	Health, Patient & Family Support	Provides a "home away from home" to families and patients receiving healthcare on the treasure coast.				Hospital hospitality house that provides temporary housing and services for patients and families in a medical crisis. Programs include caregiver respite, adopt a family and art and healing.					
Adopt a Cat Foundation Inc	http://adoptacatfoundation.org	(561) 848-6903	EIN 65-1002665	1125 Old Dixie Hwy Ste 8	Lake Park	FL	33403	USA	Animal-Related, Animals	To find loving homes for rescued cats and kittens.				Provided shelter and veterinary care for 191 rescued cats and kittens; provided adoption services and placement of 105 cats and kittens in loving homes; totral number of cats that were part of the trap-neuter-return program that were neutered and returned to the colony - 107.					
Georgeanns Homeless Hounds & Foster Program of Florida Inc	http://		EIN 82-0555747		Weeki Wachee	FL	33709	USA	Animal Protection & Welfare, Animals										
An Orphans Wish	http://	208-938-9227	EIN 26-1920328	PO Box 2150	Seffner	FL	33583-2150	USA	International, International Relief	An Orphans Wish is a group of dedicated volunteers striving to improve the lives of orphans in China. Through child sponsorships and donations we support orphans with special needs residing at the House of Love in the city of Guilin.	Orphaned Children in China			Clubfoot Casting Unit The Clubfoot Casting Unit at An Orphans Wish was created to treat and care for orphans born with clubfoot, who otherwise would not have an opportunity to have their feet corrected. The Ponseti Method of serial casting is used to gently manipulate the affected foot with a series of casts, changed weekly. Once the desired position is achieved, braces are worn to keep the correction, on a gradually reduced schedule, until the child is 4-5 years old. The children treated at An Orphans Wish live in our residential facility until correction is achieved. Once the bracing protocol is well underway, the children are placed with a foster family. Most clubfoot patients stay in our facility between 6 and 9 months before moving to foster care.  Special Care Unit Our Special Care Unit (SCU) cares for orphaned children born with medical conditions, prematurely or those who are in need of specialized care. Children come into our unit from local orphanages and remain in our care until they are healthy enough to be placed into loving foster homes.  Upon entering our unit, the children are bathed, fed, evaluated to determine their medical needs, and placed into the arms of one of our wonderful caretakers. With the help of medical professionals we begin to develop a medical and specialized care plan, specific to each child. If needed, we arrange for the childs surgery and medical care by partnering with other charitable groups working in China. Our caretakers accompany the child during any surgery to ensure they are receiving the best care possible. Quality care post surgery is provided as well, so the child has the best opportunity for successful healing. Some childrens needs are too severe and the only care we can provide for them is palliative care. Other times the child only requires individualized care as well as lots of love and attention, and they begin to thrive.  Residential and Cerebral Palsy Unit: The House of Love is a residential unit, opened in 2005, that provides full-time care for orphans with cerebral palsy and other special needs that require long term care. These children have a more difficult time finding adoptive families, and so this unit was created to provide a loving home environment. The children receive individualized physical therapy, quality education, and specialized care to help them achieve their highest potential.					
Equality Florida, Inc.	http://www.eqfl.org	(813) 870-3735	EIN 59-3435235	P.O. Box 13184	St. Petersburg	FL	33733	USA	Bullying, Civil Rights, Lesbian & Gay Rights, LGBTQ	Equality Florida is the state''s largest human rights organization working to secure full equality for lesbian, gay, bisexual and transgender Floridians.				In 2006,Equality Florida launched our Florida GSA Network with catalystfunding from the Collin Higgins and Roblee foundations to hire apart-time organizer. Our network has grown to over 100 GSAs and has played a vital role in passing localanti-bullying policies that now protect nearly 56% of Florida's 2.6million students from harassment based on sexual orientation and 29%from harassment based on gender identity. We recognize that GSAs often provide a lifeline to young people struggling against anti-LGBT bias. We plan to build the Florida GSA Network into a permanent, powerful and youth-driven instrument of change.					
Prelude Chamber Music Camp Inc	http://preludechambermusic.org/	(904) 388-5738	EIN 05-0558398	4770 Apache Ave	Jacksonville	FL	32210	USA	Arts & Culture, Arts, Culture & Humanities	Our mission is to cultivate new opportunities for music education in Northeast Florida and offer enriching programs that allow musicians to share in the special joys of small ensembles and gain access to qualified consultants and community venues. Prelude gives musicians at every level an opportunity to experience and enjoy chamber music now and forever. More than just a passion for music, Prelude encourages life-long learning and enlists community involvement.				A 2 week camp for 100 string students of all ages including master classes with faculty coaches, classes in music theory & concert performances. Also, 1 adult master class.					
Lahav- For The Premature Infants In israel	http://	97239533935	EIN 		Haifa		32922	Israel		help the premature babies and their parent through their most difficult hours, change the social laws regarding premature infants and thier families, donaring equipment, raising civic awereness, giving information, protecting parents and premature infants rights, helping the NICU's and so on...		100,000 and more	all Israel		leghening the maternity leave for parents of a hospitelized child, changing guidelines in the medicine basket, building 10 parents rooms all around the country, producing 3 national premature babies awareness days, producing information booklets, maintaning a web site and a hot line, donating special equipment for the NICUs, raising awareness for the problems of the premature baby				
R'Club Child Care, Inc.	http://www.rclub.net	727-578-5437	EIN 59-1704870	4140 49th Street N.	St Petersburg	FL	33709	USA	Child Day Care, Children & Youth, Education, Preschools	R'Club's mission is to strengthen children and families through quality child/youth development programs which focus on respect, responsibility, resourcefulness, and responsiveness.		more than 3,000 children and their families.  86% of our early childhood program graduates tested ready for Kindergarten when entering school.		R'Club Child Care is the largest nonprofit child care provider in the Tampa Bay region serving more than 3,000 children daily in 47 locations with over 400 staff and a budget of a little more that $16 million annually.  R'Club provides programs for children from 8 weeks through middle school and for children with disabilities through 22 years of age.  Programs are early childhood education centers, public school-based before and after school, full days on teacher professional days, holidays, summer and other vacations and home-based early literacy services.  R'Club also is the official child care provider of the Tampa Bay Rays, providing child care for players' children at all home baseball games.  The agency was named the 2008 Nonprofit Business of the Year by the St. Petersburg Area Chamber of Commerce, the 2007 Nonprofit of the Year in the education category by the Tampa Bay Business Journal, and was named one of the 70 Top Workplaces for 2011 by the St. Petersburg Times.					
T E N Charities	http://www.madebysurvivors.com	800-831-6089	EIN 37-1497985	PO Box 3403	St Augustine	FL	32085	USA	Civil Rights, Job Training, Women, Womens Rights	The Empanicpation Network creates empowering opportunities for women and children worldwide to build an independent, safe andrewardingfuture.Our programs educate and train survivors of poverty, abuse, human trafficking, and slavery  vocational skills, business and leadership skills, and formal and non formal education. Upon graduatingfrom our school partners or vocational training programs, survivors earn a good income enabling them to permanently escape poverty and exploitation.	survivors of human trafficking and at risk women and children	250 students, 100 women trained vocationally or employed	India, Nepal, Cambodia, Bangladesh, Thailand	Education, Employment, Healing Arts, Aftercare support to shelters	Survivors Living in Shelters Built or Improved by MBS	500																		 Employed Survivors 	350																		 School Sponsored Children	250																		 Artisans Jewelers Trained	70				
Volunteers for Community Impact Inc.	http://www.vcifl.org/	407-298-4180	EIN 59-1626348	3545 Lake Breeze Drive	Orlando	FL	32808	USA	Community Improvement & Capacity Building, Human Services, Senior Centers, Voluntarism Promotion	"Building relationships by utilizing the experience of caring adults through high-impact volunteer service that adds value to the community"	teach children to learn how to read, mentor at risk youth, support the hungry and homelessness, comfort those in hospices and hospitals, technology education, and more!		Orange, Osceola, Seminole, Volusia, and Flagler counties, Floirda	Foster Grandparent Program, RSVP	In fiscal year 2011-2012, 1,184 volunteers gave 438,528 hours of volunteer service to the Central Florida community.				
Keeping the Blues Alive Foundation Inc.	http://www.keepingthebluesalive.org	954-428-4440x230	EIN 27-5553072	1761 W. Hillsboro Blvd  Suite 409	Deerfield Beach	FL	33442	USA	Alliances & Advocacy, Arts & Culture, Music	KTBAs purpose is to help nurture the next generation of musicians and appreciators by funding music educational programs and scholarships for students and teachers who posses the desire but lack the resources or access that would enable them to achieve their potential within the music industry.    By using the Blues genre as a vessel for musical growth, the Foundation aims to stimulate and foster relationships within the music community  paying it forward to young musicians while sustaining the Blues as a beacon of American history and culture as an artform.  To maximize our impact on current efforts, we may seek to collaborate with other non-profit organizations which fall under the 501(c) (3) section of the internal revenue code and are operated exclusively for educational and charitable purposes.	pass the torch onto the next generation of musicians	to date: 158 music projects, 6 scholarships; impacting 30,000 students	United States	funding for music classrooms and scholarships around the nation	To date we have funded 158 initiatives for the advancement of music education in schools across the country.  6 scholarships bear our name, including our Torchbearers - students who have received scholarships or grants on our behalf.  These gifts have affected over 30,000 students across the U.S. and we are giving every week!				
Ronald McDonald House Charities of South Florida, Inc.	http://www.rmhcsouthflorida.org	954-828-1822	EIN 59-1899866	15 SE 15th Street	Fort Lauderdale	FL	33316	USA	Health, Patient & Family Support	The mission of Ronald McDonald House Charities (RMHC) is to create, find and support programs that directly improve the health and well being of children in South Florida.  Guiding us in our mission are our core values:  Focusing on the critical needs of children.  Celebrating the diversity of the programs we offer and the staff, volunteers and donors who make them possible.  Staying true to our heritage of 32 years of responsible stewardship.  Operating with accountability and transparency.	families with seriously ill children	524 families	South Florida	Ronald McDonald House; Scholarship and grants program	There are two Ronald McDonald House in South Florida, one in Miami and another one in Fort Lauderdale. On any given year, more than 524 families stay at the Houses and are closer to their sick child.  It is proven that families together help heal the child faster.				
Annieruth Foundation, Inc	http://annieruthfoundation.org	904-200-7202	EIN 46-1171456	10326 Interstate Center Drive	Jacksonville	FL	32211	USA	Human Service Organizations	To strengthen underserved communities by providing educational programs and resources in an effort to educate, enrich and empower youth, parents and senior citizens.	youth, parents and senior citizens.	over 600 families.	Our mission is to be a catalyst of positive change in underserved communities.	Summer Internship, the Parenting Network, Striving Seniors Network and health & wellness presentations.	Since inception, the AnnieRuth Foundation has positively impacted over 1,000 families by providing services and resources in community centers and local elementary schools.				
Help in Charlotte County Inc	http://www.helpincharlottecounty.org		EIN 35-2334842	21061 Riddle Ave	Pt Charlotte	FL	33949	USA	Human Service Organizations	To meet the physical, mental, emotional and spiritual needs of our citizens.  "Building Partnerships to meet the needs of people."	feed an average of 20,000 individuals per month	30 food pantries, feeding programs, social service agencies and outreach ministries with much needed supplemental food, dry goods and personal care products.	Charlotte County, FL	semi truck loads of supplemental food, dry good and personal care products.	We have accomplished much and have much more to do.  Our programs have infused hundreds of thousands of goods and services into our county and positively impacted approximately 20,000 of our fellow citizens per month.  Thank you to our many donors, partners and volunteers.				
10 CAN, Inc.	http://www.10CAN.us		EIN 47-2135088	PO Box 1122	Newberry	FL	32669	USA											
Oasis Compassion Agency Inc	http://www.oasiscompassion.org	561-967-4066	EIN 65-0946248	4888 10th Ave. North	Greenacres	FL	33463	USA	Employment Preparation & Procurement, Human Service Organizations, Job Training, Religion, Religion-Related	Oasis Compassion Agency is committed to showing Gods love in practical ways by addressing the physical and spiritual needs of the poor/needy in central Palm Beach County. We work with clients to identify roadblocks to success, devise a plan to overcome them, and act on that plan. Oasis meets clients at their point(s) of need through its food pantry, clothing ministry, the opportunity for Biblical and mental counseling, and, through the Career  Center, formulating a plan to help clients take the steps that will enable them to stabilize their economic circumstances.			Central Palm Beach County	The organization is committed to showing god's love in a practical way through a program of feeding, clothing, biblical counseling, and putting people back to work.   the organization is committed to showing god's love in a practical way through a program of feeding, clothing, biblical counseling, and putting people back to work.					
Avet Project Inc	http://www.avetproject.org		EIN 26-4052103	P O Box 254555	Patrick AFB	FL	32925	USA	Military & Veterans Organizations, Personal Social Services, Veterans					what don't we do :)					
Universal Aid for Children, Inc.	http://www.UacUkraine.org	(954) 381-9044	EIN 59-1739205	2103 Coral Way, Suite 202	Miami	FL	33145	USA	Children & Youth, Children & Youth Services, Education, Health, Health Support, International, International Relief, Scholarships, Scholarships & Student Financial Aid	Universal Aid for Children, Inc. strives to fulfill the medical, educational and emotional needs of orphans, refugee children and young people with disabilities in the Odessa region of Ukraine.	Orphans, orphanage graduates, refugee children and young people with disabilities		Odessa, Ukraine	Universal aid for children's program service expenses include educational programs and scholarships for orphaned children, provide humanitarian aid to refugee women and children and delivered food, medicine, clothing, hygiene supplies and educational supplies to orphans and refugee children.   adoption services					
Canine Assisted Therapy, Inc.	http://www.catdogs.org	954-990-5175	EIN 27-0700622	1040 NE 45th Street	Oakland Park	FL	33334	USA	Animal Protection & Welfare, Animals, Human Services	Canine Assisted Therapy, Inc.s mission is to enhance the lives of children and adults by achieving specific physical, cognitive, social, or emotional goals through the use of certified pet therapy teams.	Children with special needs, veterans, hospital and hospice patients and families, youth in foster care facilities, youth testifying in court, dementia patients and children in schools reading below grade level.	Over 300,000 individuals in Florida	South Florida hospitals, courthouses, shelters, schools, special needs facilities, nursing homes, hospice, and child welfare facilities.	The Pack Reader program in schools serves children that have been identified as "at risk" or reading below grade level. Therapy dogs sit with children each week to listen to books read aloud which gives the children a chance to practice their literacy skills.  The Performing Canine Magic Program provides therapeutic goals and interventions for veterans with PTSD, individuals with traumatic brain injuries or Cerebral Palsy, physical and occupational therapy patients and children on the autism spectrum.  Animal Assisted Activities Teams help the elderly in assisted care facilities or senior care centers relieve loneliness and anxiety by interacting with the dogs. Therapy dogs also interact with Alzheimers patients.					
Bless the Children Inc	http://www.blessthechildreninc.org/	(727) 631-0088	EIN 54-1650281	411 Clevland St., #195	Clearwater	FL	33755	USA	International, International Relief	Bless the Children was founded by Karen Hubbard.  Our mission is to free orphaned, abandoned and impoverished children from the chains of poverty by empowering them with health, shelter, nutritional and educational support so that they may become productive members of society.				As an international organization helping the worlds poorest children in far-reaching areas of the world,our programs free abandoned and impoverished children from the chains of poverty by empowering them with health,shelter, nutrition, educational,spiritual and cultural support so they may become productive members of society.					
