name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Results
The Water Project	http://		EIN 04-3375310	PO Box 1492	Wilmington	VT	05363	USA	Environment, Water, Water Resources, Wetlands Conservation & Management						
Quechee Library Association	http://		EIN 03-6010391	Po Box 384	Quechee	VT	05059	USA							
Northeastern Vermont Area Health Education Center Inc	http://		EIN 04-3366707	Education Center Inc 347 Emerson Fa	St Johnsbury	VT	05819	USA	Health, Public Health	Promote excellence in rural health care systems by connecting students to careers, professionals to comunities and communities to better health.					
Aaa Friends In Adoption Inc	http://www.friendsinadoption.org	(800) 982-3678	EIN 52-1571672	212 Main St Box 238	Poultney	VT	05764	USA	Adoption, Children & Youth	The organization provides education and support to clients considering and completing private adoption of children.				The organization provides education and support to clients considering and completing private adoption of children	
Shrewsbury Historical Society Inc	http://		EIN 23-7259866	5419 Route 103	Cuttingsville	VT	05738	USA							
Vermont Coverts	http://www.vtcoverts.org	(802) 877-2777	EIN 03-0332447	Po Box 328	Vergennes	VT	05491	USA	Animals, Wildlife Preservation & Protection	To enlist vermont landowners in a long-term commitment to maintain and enhance diverse wildlife habitat and healthy ecosystems.				Coverts held two three day cooperator training events and one five week class at osha learning at dartmouth. Coverts is also involved in a variety of outreach and continuing education for landowners. In 2014 vt coverts conducted and co-sponsored 27 workshops and walks, 6 presentations and 4 opportunities for outreach with the display.	
Lions Twin State Soccer Association Inc	http://		EIN 02-0351000	328 Bowen Hill Rd	Springfield	VT	05156	USA	Eye Diseases, Blindness & Vision Impairments, Health						
International Church Of The Four Square Gospel	http://		EIN 94-2984434	160 Intervale Ave	Burlington	VT	05401	USA							
Vermont Legal Aid Inc	http://www.vtlegalaid.org	(800) 889-2047	EIN 03-0219366	264 N Winooski Ave	Burlington	VT	05401	USA	Crime & Law, Legal Services	To provide free legal services to vermonters who are low-income, elderly and those with disabilities.				Poverty law project represents low-income vermonters with civil legal problems in the areas of housing, family law, consumer law, employment, and problems with government benefits programs. This program serves clients who are below 200% of the federal poverty level.   health care advocate project operates a hotline providing advocacy on problems involving health care and health insurance. Case types include access to health care, billing, eligibility and insurance plan coverage issues.   elder law project represents people over 60 years of age in general and civil legal matters including housing, medicare and guardianship.   (1) disability law project represents vermonters with physical and developmental disabilities where their legal problems arise from their disability. Cases include guardianship, special education, discrimination in employment and housing, access to health care and social security disability-related benefits problems. Total expenses = 770,342. (2) mental health law project represents clients facing involuntary commitment and/ or involuntary medication proceedings. Total expenses = 635,837 including grants of 48,000. (3) long-term care ombudsman project represents individuals who receive long-term care services in nursing homes, residential care homes, assisted living residences, or in their own homes through the choices for care program. Issues addressed include quality of care, quality of life, and residents' rights. Total expenses = 563,801. (4) housing discrimination law project is established to conduct a full service, coordinated and comprehensive fair housing program under the private enforcement initiative of the u. S. Department of housing and urban development. Total expenses = 286,755. (5) vermont law help is a pilot project started to act as a screening and intake unit for the organization with a legal advice hotline that connects clients directly to attorneys. Total expenses = 191,137	
White Chapel Society Inc	http://	(802) 442-4508	EIN 03-0274426	2972 Chapel Rd	Bennington	VT	05201	USA		Religious services				Perform religious services benefitting our congregation	
Harmony Inc	http://		EIN 23-7073963	291 W County Rd	Calais	VT	05648	USA	Arts & Culture, Singing & Choral Groups						
Vermont Kidney Association	http://		EIN 23-7245381	Po Box 244	Burlington	VT	05402	USA							
Vermont Association Of Snow Travelers Inc	http://		EIN 23-7157363	26 Vast Ln	Barre	VT	05641	USA							
Adoption Advocates Inc	http://		EIN 04-3359207	521 Webster Rd	Shelburne	VT	05482	USA	Adoption, Children & Youth						
Craft Emergency Relief Fund, Inc.	http://www.craftemergency.org	802-229-2306	EIN 13-3273980	PO Box 838	Montpelier	VT	05601	USA	Arts & Culture, Arts Services, Emergency Assistance, Mutual & Membership Benefit	CERF+ safeguards and sustains the careers of craft artists; and provides emergency resources that benefit all artists.	US craft artists for emergency relief and professional development services. All US artists for emergency preparedness programs.			Through cerf+'s emergency relief and recovery programs, the organization distributed assistance in the form of 46 grants, 2 no interest loans, and 23 brokered donations of equipment, materials, and services to a total of 55 artists. Assistance totaled 157,043. Cerf+ also managed 32 active, no interest emergency recovery loans and provided emergency response counseling and referrals to 207 artists. During this time, cerf+'s maximum grant went from 3,000 to 4,000.   in fiscal year 2014, cerf+'s preparedness and resiliency building programs largely focused on three areas: increasing information about and access to business insurance; educating the next generation of makers about career protection; and spearheading a national movement in the arts sector to improve the overall safety-net for artists before, during and after disasters. Through these efforts, we served 951 individuals with business strengthening counseling (including education about business insurance) along with workshops/educational presentations on safeguarding artistic careers. Cerf+'s career protection curriculum training expanded with nine (9) participants from seven (7) nationally-recognized independent art schools and college art departments. This "train the trainer" program introduces faculty and career services staff to techniques of integrating the topic of risk management into their professional practice courses and workshops. Since the launch of this training program in 2012, eleven (11) schools have sent representatives. In the 2013-14 academic year, we estimate that more than 300 students (in bfa, mfa and certificate programs) received instruction in strategies to safeguard a creative career. Graduates of the 2012 and 2013 pilot workshops not only have exchanged teaching materials they have produced, but they are also promoting the importance of this curriculum to their colleagues both within and beyond their institutions. More than 900 people attended the nineteen (19) workshops and conference presentations cerf+ staff provided. In addition, our staff served as career-strengthening resources for artists by having our information booth at several conferences and art shows, such as the national council on education for the ceramic arts (nceca) and convergence, a conference of the handweavers guild of america in fiscal year 2014, cerf+ continued to provide a leadership role in building new alliances between the arts sector and the general emergency management field. Our national advocacy efforts to change the interpretation of artists' (and other self-employed workers) eligibility for post-disaster tool and equipment replacement by the federal emergency management agency (fema) continued to be one of two policy position priorities adopted by the national voluntary organizations active in disaster (nvoad). Cerf+'s director of programs was a featured presenter at nvoad's annual conference describing efforts within the arts community to become more disaster resilient and highlighting how the arts sector can contribute to recovery in communities after disasters.   in fiscal year 2014, cerf+ continued its role as co-chair of the national coalition for arts' preparedness and emergency response along with south arts, a regional arts organization based in atlanta, ga. During this time, the coalition steering committee worked with two consultants to produce a seven-year strategic and operational plan for its evolution from an informal task force to a sustainable/stable national network of arts responders. We have begun to implement the plan as well as initiated planning for a new arts responder network in illinois. Cerf+ also was one of the chief planners for a fall 2014 day-long summit of grantmakers in the arts to discuss how to address the human needs of artists in the wake of disasters.	Highlights from Fiscal Year 2009  Services to the field  --$85,750 in emergency relief assistance (grants, no-interest loans, and brokered assistance such as booth waivers, discounts/donations on supplies and equipment) was distributed to 37 craft artists.  --CERF+ announced a new set of Emerging Artist Guidelines to expand our relief assistance program to a broader pool of applicants.  --CERF+ received the Craft Organization Development Associations (CODA) award for leadership, creative thinking and outstanding service at the 2009 annual CODA conference in St. Paul, MN.  Organizational and project support   --CERF+ added 225 new donors to our list of supporters and advocates, augmenting the total number of supporters to 1,034 individuals, businesses, and non-profit organizations. --CERF+ garnered a major grant of $75,000 from the Nathan Cummings Foundation to support our leadership of a national coalition of 20+ major arts organizations fostering the improvement of an organized, nationwide safety net for artists and arts organizations before, during and after disasters. --CERF+s new disaster readiness and response toolthe Studio Protectorattracted sponsorship for production and marketing from Americans for the Arts, Craft in America, American Craft Council, ARTISIN, LLC, New York International Gift Fair, and the Robert M. Katz Memorial Foundation; over 4,500+ copies were sold in advance of the Fall 2009 release. --CERF+ also secured renewed grant funding ($40,000) from Joan Mitchell Foundation to support our leadership in the national coalition described above and in support of the Studio Protector. --CERF+ received a $100,000 challenge grant from the Windgate Charitable Foundation to help launch our first campaign for the future in 2011.
Springfield Area Parent Child Center	http://		EIN 22-3174684	6 Main St	N Springfield	VT	05150	USA							
Northeast Kingdom Human Services Inc	http://www.nkhs.org	(802) 334-6744	EIN 03-0212039	Po Box 724	Newport	VT	05855	USA		The mission of northeast kingdom human services, inc. Is to provide responsive and efficient community-based, consumer-sensitive, mental health, substance abuse, and developmental services to the residents of caledonia, essex and orleans counties situated in the northeastern portion of the state of vermont				Developmental services nkhs's division of developmental services assists individuals with disabilities to lead normal and complete lives, and to be accepted,valued, and contributing members of their families and communities. Nkhs does so by providing a comprehensive range of services, including, but not limited to, clinical assessment and intervention, case management, personal transportation,respite, crisis management, and fully-staffed residential facilities. Presently, nkhs's maintains a service population,on average, of 299 individuals enrolled in nkhs's developmental services program.   mental health services nkhs's division of mental health provides sensitive, responsive commnutiy-based mental health services to adults, children, and families residing within vermont's northeast kingdom. Services available include, but are not limited to, psychiatry, clinical assessment and intervention, case management, psychopharmacology, emergency or crisis care, respite, and early intervention services. Presently, 2,281 individuals are engaged in active treatment and receiving services through nkhs's mental health programs.   substance abuse services nkhs seeks, through the division of substance abuse services, to empower individuals and families affected by substance abuse and addictive disorders to improve their quality of life through education, prevention, and treatment. Services provided include, but are no limited to, clinical assessment, individual and group psychotherapy, case management, emergency crisis services, and court intervention services. Presently, 339 individuals are engaged in active treatement and receiving services through nkhs's substance abuse services programs.   other administrative expenses	
Burlington-Puerto Cabezas Sister City Program	http://		EIN 03-0302808	15 Beech St	Burlington	VT	05401	USA	International, International Agricultural Development						
Vermont Archaeological Society Inc	http://		EIN 51-0173254	Po Box 663	Burlington	VT	05402	USA	Arts & Culture, Historical Organizations						
University Of Vermont Medical Center Inc	http://www.uvmhealth.org/medcenter	(802) 847-5959	EIN 03-0219309	111 Colchester Ave	Burlington	VT	05401	USA	General Hospitals, Health					Inpatient services. For more information, see schedule o.   outpatient services. For more information, see schedule o.   professional services. For more information, see schedule o.	
Turtle Island Childrens Center Inc	http://www.turtleislandvt.org	(802) 229-4047	EIN 03-0358066	659 Elm St	Montpelier	VT	05602	USA	Child Day Care, Children & Youth	Every child at turtle island from the smallest infant to the liveliest toddler is nurtured in a safe and stimulating environment. Every child is respected and encouraged to respect others, the natural environment and the community in which they live. Every child's unique creativity and natural curiosity is given an opportunity to grow and flourish. Every child is given space and time to experience the joys of growing up.				Turtle island children's center operates an early childhood care and education program for up to 90 infants through preschoolers. It also operates after school and summer camp programs for up to 30 school-aged children.	
American Institute Of Banking Inc	http://		EIN 23-7448124	PO Box 587	Montpelier	VT	05601	USA							
Newport Ambulance Service Inc	http://		EIN 03-6013234	Po Box 911	Newport	VT	05855	USA							
Oldcastle Productions	http://	(802) 447-0564	EIN 23-7288883	Po Box 1555	Bennington	VT	05201	USA	Arts & Culture, Theater	Teaching acting skills, bring				Theater productions and acting classes  fundraising events  renovations of new theater building	
Strafford Historical Society Inc	http://		EIN 03-6007726	Po Box 100	Strafford	VT	05072	USA							
River Gallery School Inc	http://www.rivergalleryschool.org		EIN 03-0282269	32 Main St	Brattleboro	VT	05301	USA	Arts & Culture, Arts Education	Art education				Art education is provided year round to over 400 students. Rgs offers 54 classes, 20 workshops and outreach programs to children and senior citizens.	
National Shared Housing Resource Center Inc	http://		EIN 03-0336024	412 Farrell St Ste 300	S Burlington	VT	05403	USA	Unknown						
Sharon Pto Inc	http://		EIN 22-2855902	Po Box 155	Sharon	VT	05065	USA							
United Way Of Windham County	http://www.unitedwaywindham.org	(802) 257-4011	EIN 03-6003074	Po Box 617	Brattleboro	VT	05302	USA	Federated Giving Programs, Philanthropy	United way of windham county (uwwc) advances the common good by				Community impact: for many years, uwwc funded agency programs which provide direct services to community members who needed them. However, a new medel for determing which programs to fund was implemented in 2010. Funding decisions are now based on a set of target outcomes which are identified through a comprehensive community participation process. Working in the areas of education, income and health teams of community volunteers review applications for support and recommend specific amounts of program funding based on criteria that includes alignment with desired outcomes, program quality, program outcomes and the impact of out funding. We ask how much each program is doing, how well is being done and if anyone is better off as a result of participating in the program.   direct service dollars-true to our mission to mobilize the community to improve people's lives, we provide support to the state of vermont for the distribution of these funds.	
Vermont Association Of Child Care Resource & Referral Agencies	http://		EIN 03-0339646	181 Commerce St	Williston	VT	05495	USA	Human Service Organizations, Human Services						
Northern Community Housing Corporation	http://	(802) 863-8424	EIN 22-2853395	123 St Paul Street	Burlington	VT	05401	USA	Homeless & Housing, Housing Development, Construction & Management	Provide low income housing				Development of low to moderate income housing in vermont and new hampshire	
Central Vermont Crimestoppers	http://		EIN 03-0333060	354 Hastings Rd	Waitsfield	VT	05673	USA	Crime & Law, Crime Prevention						
Vermont Association For Family & Community Education, Inc.	http://		EIN 03-6013416	Agricultural Center Box 20	Guildhall	VT	05905	USA							
Geonomics Institute For International Economic Advancement	http://		EIN 94-3030322	14 Hillcrest Avenue	Middlebury	VT	05753	USA	Economics						
Bethany Birches Camp Inc	http://www.bethanybirches.com	(802) 672-5220	EIN 23-7105391	2610 Lynds Hill Rd	Plymouth	VT	05056	USA		To help young people develop their relationship with god, by providing a christ-centered camping experience in a natural and nurturing setting.				Bethany birches camp helps over 400 young people develop a relationship with god by providing them with a christ-centered camping experience in a natural and nurturing environment. Growth in family and community relationships is also a desired outcome.	
Valley Bible Church	http://		EIN 03-6012815	851 Fairview Ter	White Riv Jct	VT	05001	USA							
Ascutney Mountain Audubon Society	http://		EIN 03-0305543	Po Box 191	Springfield	VT	05156	USA							
Population Media Center, Inc.	http://www.populationmedia.org	802-985-8156	EIN 03-0358029	30 Kimball Avenue, Suite 302	South Burlington	VT	05403	USA	Arts & Culture, Education, Health, International, Libraries, Media & Communications, Reproductive Health Care, Reproductive Rights	The mission of Population Media Center is to collaborate with the mass media and other organizations worldwide to bring about stabilization of human population numbers at a level that can be sustained by the world's natural resources and to lessen the harmful impact of humanity on the earth's environment.  The emphasis of the organization's work is to educate people about the benefits of small families, elevate women's status, promote the concept of gender equity, and encourage the use of effective family planning methods.	women, men and children live better lives	millions of women, men and young adults from Ethiopia to East Los Angeles and many points in between.	developing nations around the world, but mostly in Africa,	radio serial dramas (soap operas!) to encourage use of family planning, avoid HIV/AIDS and STIs, prevent domestic violence, promote girls' education and put a stop to child brides.	Please visit our website for country by country results.
American Volkssport Association	http://www.ava.org/		EIN 74-2635835	Box 44	Hartford	VT	05047	USA	Amateur Sports, Sports	To share the spirit of walking with the clubs and walkers of the American Volkssport Association. Meet friends, walk scenic trails and improve your physical and mental health with a natural, accessible, and low-stress activity.					
Wells River Action Program Inc	http://		EIN 22-3284640	Po Box 538	Wells River	VT	05081	USA	Homeless & Housing, Housing & Shelter						
Youth Catalytics (Formerly New England Network for Child, Youth & Family Services)	http://www.youthcatalytics.org	802-425-3006	EIN 22-2561662	PO Box 35	Charlotte	VT	05445	USA	Children & Youth, Children & Youth Services, Education, Family Services, Human Services	Working in partnership with organizations and communities to advance promising practices with children, youth and families.				Meeting Design & Agenda Development  Group Facilitation  Strategic Planning  Organizational Policies and Procedures Development  Training: Positive Youth Development, LGBTQ Youth, Spirituality and Youth, Managing Volunteers, Art of Facilitation  Quantitative and Qualitative Research  Fund Development Planning  Grant Writing  Grant Critiquing  ImProve Outcomes Training and Products  Database Consultation and Development  Community-building Services and Products  Technical Assistance to Runaway/Homeless Youth Programs  Basic In-house Research and Evaluation Training for Social Workers  Publicity 101 for Social Workers  Basic Software Training for Social Workers  Website Development  Technology Assessment  Writing and Editing  Homeless/Transient Youth Counting Project Project Zoom-In Mapsite: Resource-Mapping Websites for and by Youth Volunteers in Child- and Youth-Serving Agencies	
Arrowhead Senior Citizen Center Inc	http://	(802) 893-4333	EIN 03-0274594	Po Box 785	Milton	VT	05468	USA		To provide social activities for senior citizens				Provide milton area seniors with dinners, meals, breakfasts, entertainment, social activities, flu fot clinics, life line screening, and trips at a very affordable cost.   vermont foodbank activities - milton seniors co-ordinate the monthly food drop program with an average of 50 families participating each month.   milton seniors continue to make capital improvements to their building and expand the parking lot. Membership is growing at 132 members.	
Casting for Recovery	http://www.castingforrecovery.org	1-802-362-9181	EIN 03-0354382	3738 Main Street PO Box 1123	Manchester	VT	05254	USA	Cancer, Counseling, Health, Health Care, Mental Health	The mission of Casting for Recovery (CfR) is to enhance the quality of life of women with breast cancer through a unique program that combines breast cancer education and peer support with the therapeutic sport of fly fishing. The retreats offer opportunities for women to find inspiration, discover renewed energy for life and experience healing connections with other women and nature. CfRs retreats are open to breast cancer survivors of all ages, in all stages of treatment and recovery, and are free to participants.	Any woman who has received a breast cancer diagnosis in her lifetime.	More than 600 breast cancer survivors at our retreats and many more through alumnae activities and events.	Nationwide	Healing retreats that combine breast cancer education and peer support with the therapeutic sport of fly fishing. CfR retreats offer women respite from the challenges of living with a breast cancer diagnosis, and an opportunity to gain renewed confidence and connect with other women - all at no cost to the participants. Why fly fishing? The casting motion of fly fishing is similar to exercises physicians prescribe for women following surgery or radiation for breast cancer, thus promoting soft tissue stretching.	Since our founding in 1998, we have conducted more than 500 retreats serving close to 7,000 women across the nation.  We currently offer 40 annual retreats in 35 states.   Post-retreat evaluations show that after attending a Casting for Recovery retreat:  100% felt it was a worthwhile experience 99% would recommend the program to others 98% felt connected with other participants 95% gained a new support base with new friends 92% felt better able to cope with their situation 91% felt more aware and accepting of themselves 91% learned something new about living with breast cancer.
The BOMA Project	http://www.bomaproject.org	802 231 2542	EIN 84-1671995	PO Box 1865 7272 Main Street, Suite A	Manchester Center	VT	05255	USA	Agricultural Programs, Economic Development, Food, International, International Agricultural Development, International Economic Development, Microfinance	The BOMA Project is an innovative microfinance organization that helps ultra-poor women in Northern Kenya to graduate from extreme poverty. We help women start small businesses, so they can earn a sustainable income, survive drought, pay for food and medical care, send their children to school, and accumulate savings for long-term family stability.	Women living in extreme poverty in Northern Kenya. When we begin working with them, 99 percent of BOMA entrepreneurs live on less than $2.50 per day (the poverty line), while 88 percent live on less than $1.25 per day (the extreme poverty line).	1,200 women (400 businesses per year, three women per business)	Laisamis, Loiyangalani, Marsabit and Samburu Districts of Northern Kenya.	Our cornerstone program, the Rural Entrepreneur Access Project (REAP), provides a seed capital grant, business skills and savings training, and two years of hands-on mentoring by local BOMA Village Mentors to business groups of three women. Once businesses are established and earning profits, we help them to assemble committed savings associations for business expansion and individual interest-bearing loans.	Since 2008, BOMA has launched 1,380 businesses across Northern Kenya, changing the lives of 4,668 women who support more than 23,400 children. Our goal is to lift 100,000 women and children out of extreme poverty within five years.
Tor Gul Inc	http://greatmotherconference.com	(802) 592-3062	EIN 41-1626994	Po Box 29	Peacham	VT	05862	USA						Creating and hosting the annual great mother conference. The conference educates approximately 125 participants to better understand and appreciate the relationship among psychology, mythology, the arts and other cultures.	
Coevolution Foundation	http://		EIN 94-2151696	29 Harbor Rd	Shelburne	VT	05482	USA							
Farmington Show Benefits Inc	http://		EIN 22-3237813	64 Felton Rd	Weston	VT	05161	USA	Human Services						
Heritance	http://www.heritance.org	802-649-1704	EIN 	63 Pattrell Road PO Box 1564	Norwich	VT	05055	USA	Arts & Culture, Support	Heritance coordinates a network of museum professionals who provide skills, knowledge, and services free of charge to museums in some of the poorest and most remote regions of the globe. To read our executive summary: http://www.heritance.org/corpdocs/Heritance_ExecutiveSummary_071106.pdf	Community-based museums world-wide, often in regions afflicted by poverty, disease or strifecurrently including museums in Rwanda, Kenya, South Africa, Canada, Mexico, Colombia, France.	18-24 museums and their stakeholders -- staff, volunteers, board members, international specialists who do research on their collections.	International		Heritance has established partnerships with over 20 museums on four continents and an international network of museum professionals who have delivered a full-range of technical and financial services free of charge to museums.
Glad Rags Sales Association	http://		EIN 23-7221801	Po Box 64	Woodstock	VT	05091	USA							
American Theatre Works Inc	http://www.dorsettheatrefestival.org	802-867-0303	EIN 03-0267296	PO Box 510	Dorset	VT	05251	USA	Arts & Culture, Theater	We are one of the foremost professional theater producers in New England, with a 35 year history.			Vermont, New York	DTF produces a four-play summer season serving more than 8000 audience members, and an educational workshop program.	
Rotary Club Of Lyndonville Vermont Inc	http://		EIN 03-0341110	183 Depot St	Lyndonville	VT	05851	USA	Federated Giving Programs, Philanthropy	To provide service to others.				The mission of rotary is to provide service to others, to promote high ethical standards, and to advance world understanding, goodwill and peace through its fellowship in business the mission of rotary is to provide service to others, to promote high ethical standards, and to advance world understanding, goodwill and peace through its fellowship in business	
Williamsville School Preservation Society Inc	http://		EIN 03-0307414	Po Box 139	Williamsville	VT	05362	USA							
Cradle To Grave Arts Of Burlington Vt	http://		EIN 22-3092913	Po Box 8	Chelsea	VT	05038	USA	Arts & Culture, Dance						
Burlington Crisis Pregnancy Services Inc	http://		EIN 03-0297936	56 Colchester Ave	Burlington	VT	05401	USA	Health, Reproductive Health Care, Reproductive Rights						
Magic House Inc	http://		EIN 01-0758063	138 White Rock Dr	Montpelier	VT	05602	USA	Education						
Northeast Kingdom Learning Services	http://www.neklsvt.org	(802) 334-6532	EIN 22-3113459	55 Seymour Ln Ste 11	Newport	VT	05855	USA	Adult Education, Education	Nekls is the leader in educational services to people of all ages living in the northeast kingdom of vermont. Looking to the future, nekls continues to explore new and creative ways to create the educational needs of our students. In addition, we are enhancing our capability to provide skill development for people in a changing and sometimes challenging workforce.				Comprehensive educational programs and services to community members who would like to advance their education or workplace skills or attain a high school diploma/equivalency. Service to community children and families through an array of support programs.	
Onion River Arts Council	http://		EIN 51-0202463	41 Elm Street	Montpelier	VT	05602	USA	Arts & Culture, Performing Arts Centers						
Windmill Hill Pinnacle Association	http://www.windmillhillpinnacle.org	(802) 387-5711	EIN 03-0334367	1915 Patch Rd	Westminster W	VT	05346	USA	Environment, Natural Resources Conservation & Protection	To extend maintain a conservation corridor that connects the pinnacle lands to other sites along the 16 mile windmill ridge located in or near 6 towns to conserve lands in nearby areas. To encourage a deeper understanding of the natural history of our landscape the wild plants animals it supports, to preserve its ecological historial integrity .				Stewardship of 1,820 acres and 21 miles of trails. Expenses are property taxes, liability insurance, trail access road maintenance trail maps brochures. Volunteers worked 1200 hours on trail development and maintenance. The average value is 12/hr 14,400 but it is not included on tax return or in financial statements. Trails brochures in kiosks show trails, inform public of rules for usage and give info about our organization.   education - many local schools use the pinnacle and the ridgeline for field trips, environmental studies and the place where students perform community service work projects such as improving trails and removing invasive species. We sponsor an education program in the 3rd and 4th grades in the westminster schools 2. For this purpose we hired a naturalist to develop a curriculum and to lead the field trips.	
Lake Champlain Cancer Research Organization Inc	http://	(802) 878-8723	EIN 22-2240867	7 Cindy Ln	Essex Jct	VT	05452	USA	Cancer, Cancer Research, Health	To provide funds/enable medical research for the prevention, control and treatment of cancer and related diseases.				Funds to enable medical research for the treatment of cancer and related diseases.	
Jeh Kulu Dance And Drum Theater	http://		EIN 04-3375216	Po Box 8574	Burlington	VT	05402	USA	Arts & Culture, Performing Arts						
Catamount Film & Arts Co	http://www.catamountarts.org	802-748-2600	EIN 03-0276780	115 Eastern Avenue PO Box 324	St Johnsbury	VT	05819	USA	Arts & Culture	Our Mission is to cultivate the Arts as an integral part of community life by inspiring appreciation of and participation in the Arts and by promoting the Arts throughout Northern Vermont and New Hampshire.	No single person is excluded access.		Northeastern Vermont and Northern New Hampshire	Catamount Film Series, Arts Education, Courageous Conversations Through Art, Schooltime Shows, First Night, Monthly Gallery Exhibits, Substance Free Teen Dances	 Screened over 150 high quality independent and international films without question the most impressive cinematic line-up in Vermont!  Held more than 200 special weeknight screenings.  Organized and managed First Night St. Johnsbury 2013, featuring over 65 acts and 175 performances in 18 venues, attracting nearly 3000 attendees.  Featured the works of over 50 artists in the various galleries including the addition of the Catamount Annex Gallery at Dylans Restaurant.  Partnered with Circus Smirkus for successful ticketing for 2012 Circus Tour.  Continued formal Planned Giving Program with the VT Community Foundation and secured several participants.  Hosted the Green Mountain Film Festival for the third year and featured 38 film screenings over 3 days, including the Catamount Arts High School Filmmakers Showcase which included entrants from all over the world.  Expanded the Kids ROCK family arts program to include the free Family Film Festival which featured a free summer Muppets Film Festival.  Partnered with Kingdom County Productions to present Michael Cleveland, the Suzanne Farrell Ballet, Buddy Guy, Paula Poundstone, Momix, Clint Black, The Irish Tenors, and the National Circus of China.   Continued collaboration and shared benefits with the Colonial Theatre in Bethlehem, NH.  Became the major ticketing outlet for the Haskell Opera House in Derby Line and Church Street Arts in Haverill.  Collaborated with the Northeast Kingdom Classical Series to help ticket and promote their four concerts.  Expanded Independent Lens into an evening presentation.  Added more Social Circles, including a Film Circle and a Fiber Arts Circle.  Hosted 8 school time performances at Fuller Hall, which were attended by over 4500 students from Northeast Kingdom elementary schools.  Featured over 50 live music events in the Cabaret Room including the weekly substance free Teen Open Mic series.   Simulcast of the Metropolitan Opera Live and summer series for a record breaking third year.   Simulcast the National Theater of London in six well-received performances during its third season.  Served as a venue for over 25 community organizations & dozens of local businessesOSHER, Youth Services, St. J Food Coop, etc.  Presented the second annual Kingdom Bluegrass Jamboree.  Began a year  long series of Courageous Conversations on topics of local interest and concern.  Presented simulcast of 14 ballets from The Bolshoi Ballet and the Royal Ballet of London.  Hosted a record setting Benefit Auction  and made the night St. Johnsburys social event of the year.  Collaborated with the Peacham Acoustic Music Festival to provide ticketing, publicity and event planning.  Mounted the fourth annual car raffle  the most successful raffle to date.
Grace Bible Fellowship Church Of Rutland Vermont	http://		EIN 22-2520623	25 Curtis Ave	Rutland	VT	05701	USA							
Pagan Alliance Church Incorporated	http://www.PaganAllianceChurch.org		EIN 61-1545468	2414 South Stream Road	Bennington	VT	05201	USA	Religion, Religion-Related						
Partners Of The Americas Vermont- Honduras	http://		EIN 03-6013223	667 Conway Rd	Starksboro	VT	05487	USA	International, International Development						
Hospice Of Bennington Area Inc	http://		EIN 03-0274570	PO Box 1231	Bennington	VT	05201	USA	Hospices, Human Services						
Full Gospel Businessmens Fellowship International	http://		EIN 03-0275040	1714 Baltimore Rd	Baltimore	VT	05143	USA							
