name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Direct beneficiaries per year	Geographic areas served	Programs	Target demographics
Jews For Judaism Inc	http://www.jewsforjudaism.org		EIN 52-1324729	Po Box 15059	Baltimore	MD	21282	USA	Interfaith Coalitions, Judaism, Mental Health, Mental Health & Crisis Intervention, Religion	Jews for Judaism, founded in 1984, is a non-affiliated, non-denominational organization serving the entire Jewish community. The principle purpose of the organization is to provide information on the methods and practices of deceptive missionary and cult groups that are targeting the Jewish community for conversion. Through preventive educational programming, Jews for Judaism works to make the Jewish community aware of who these groups are, what they are saying, and why Jews have rejected their advances for thousands of years. Jews for Judaism also reaches out to Jews who have been ensnared by these groups to offer them the opportunity to hear a Jewish perspective - often for the first time. Jews for Judaism is also the single largest source for information on these groups in the world, and we work with Jewish communities all over the world by providing them with up-to-date information on the groups that are operating in their communities.					
Blessed In Tech Ministries Incorporated	http://www.blessedintechministries.org	410-384-8200	EIN 45-3841462	P O Box 5931	Annapolis	MD	21403	USA	Job Training	Our mission is to restore empowerment and integrity back to our clients lives with knowledge and newly acquired skills for success with the Word of God as the foundation for a second chance after rehabilitation!!!  It is our goal to aid all those that need a change in their lives by focusing on all aspects of their life; natural, spiritual and mental not to mention financial.  Blessed in Tech Ministries, Incorporated was created to be the parent corporation for Blessed in Tech Computer Services, Second Chances After Rehabilitation Foundation (SCAR Foundation) and Bullock Enterprise Solutions.			The State of Maryland with our primary area of Anne Arundel County		all ages, races, disabled, homeless, unemployed/employed, seniors/youth
Phoenix Wildlife Center Inc	http://phoenixwildlifecenter.net		EIN 52-1891740	P O  Box 424	Phoenix	MD	21131	USA	Animal-Related, Animals, Health, Wildlife Preservation & Protection, Wildlife Sanctuaries	Referral source for individuals who have found an injured or orphaned animal in distress which needs rehabilitation; taking conservation/education message to public.		1000 wild animals return to the wild.	Maryland	rehabilitating and releasing back to the wild hundreds of injured, orphaned and displaced native Maryland wildlife recover from injuries such as car strikes, cat bites, poisonings, starvation and other anthropogenic injuries.	injured, orphaned and displaced native Maryland wildlife
Prince Georges County Memorial Library System	http://www.prge.lib.md.us	(301) 699-3500	EIN 52-6001858	9601 Capital Ln	Largo	MD	20774	USA	Education, Libraries	To provide library resources to the community of prince george's county, maryland				Promoted and made available library resources to fill informational, educational, cultural, and recreatonal needs of individuals and groups in prince george's county, maryland	
Farm Animal Reform Movement Inc	http://www.farmusa.org	301-530-1737	EIN 52-1302627	10101 Ashburton Ln	Bethesda	MD	20817	USA	Animal Protection & Welfare, Animals	FARM (Farm Animal Rights Movement) is a 501(c)(3) nonprofit, public-interest organization promoting vegan, plant-based diets to save animals, protect the environment, and improve health. We operate from the nation's capital and work through our Compassionate Activist Network (CAN) with volunteers in all 50 states and two dozen other countries. Campaigns include Meatout, Vegan Earth Day/Bite Global Warming, the Animal Rights National Conferences, Humane Facts, World Farm Animals Day, and Gentle Thanksgiving.			United States and 31 other countries	Grassroots outreach:the 10 billion lives program focuses on video outreach, offering incentives to watch a 4-minute video about the 10 billion animals raised and killed for food each year. Through a tactic called "pay-per-view," activists offer people $1 each to watch the video. Surveys indicate that an average viewer eats thirteen fewer animals per year after participating, meaning that the 10 billion lives tour has the potential to spare one million animals per year. The great american meatout is now an international observance in two dozen countries and in all fifty states. Every march since 1985, farm works through its grassroots network of volunteers organizing outreach events in their communities. The purpose is to demonstrate the joys and benefits of a plant-based diet to the public, while promoting the availability and selection of vegan foods in mainstream grocery stores and restaurants. World farm animals day is a global day of action, observed on october 2nd, dedicated to exposing, mourning, and memorializing the more than 65 billion cows, pigs, turkeys, chickens, and other land animals that needlessly suffer and are killed in the world's farms and slaughterhouses. Grassroots activists across 30 countries hold symbolic and educational events in their communities. Public awareness:farm raises public awareness by posting billboards and bus ads in major us cities, as well as running tv and online ads to promote veganism. For the past 16 years, farm's letters-to-the-editor program has been linking benefits of the vegan lifestyle to current news developments or national holidays. Each of the 16 letters per year is published in 30-50 local newspapers, reaching millions. Vegan support:the live vegan website serves as an online vegan starter guide, educating visitors on how to make an enjoyable transition to a vegan lifestyle. A colorful 32-page vegan starter guide magazine is also available on request. Farm's weekly e-mail newsletter meatout mondays goes out to more than 119,000 subscribers. Launched eight years ago as an off-shoot of meatout, the recipe club delivers an easy vegan recipe, product or book review, health news, and an inspirational message. Activist cultivation:the animal rights national conference is the world's largest and longest-running animal rights gathering, hailing back to 1981. It is a forum for movement leaders, local activists and caring individuals of all kinds to share knowledge, report on progress, discuss strategies, network, and "recharge batteries. "the sabina fund awards grants to grassroots groups promoting a vegan diet and respect for animals.	
National Capital Area Council Boy Scouts of America	http://www.NCACBSA.org	301-530-9360	EIN 53-0204610	9190 Rockville Pike	Bethesda	MD	20814	USA	Boy Scouts of America, Children & Youth	The Mission of the Boy Scouts of America is to prepare young people to make ethical and moral choices over their lifetimes by instilling in them the values of the Scout Oath and Law. Our vision for the National capital Area Council is to accomplish the mission of the Boy Scouts of America in such an exemplary manner as to be recognized by our public as the premier youth organization in the communities we serve.	2013 Highlights:  55,307 youth served 77.3% youth retention rate 21,928 adult leaders Growth in number of units Balanced budget for 22nd consecutive year 1,377 new Eagle Scouts 53,240 merit badges earned 313,877 service hours, valued at $6.9 million to community 908,620 pounds of food collected for area food banks 19 Meritorious Action and Lifesaving Awards	more than 55,000 youth through the help of nearly 22,000 adult volunteers. More than 313,000 community service hours were reported by area units for service projects completed by Scouts last year!	Northern Virginia, Southern Maryland, the District of Columbia and the U.S. Virgin Islands	Cub Scouts, Boy Scouts, Scout Camp, Venturing, High Adventure, Exploring, STEM, Scouting for Food and much more!  Youth members are organized into local Scouting units (packs, troops, crews, teams, ships and/or posts), depending on their age and program. Each unit is chartered to a local community organization, including churches, civic clubs and community businesses. These units help support the local community and the programs help youth develop character, citizenship, personal fitness, career interests and an appreciation for the environment. This is accomplished through rank advancement, service to others and outdoor activities.   Success in the advancement program can be measured by the number of local youth who achieved Scoutings highest rank - Eagle Scout.  To earn the Eagle Scout rank, the highest advancement rank in Scouting, a Boy Scout must fulfill requirements in the areas of leadership, service, and outdoor skills.	prepare youth for life, developing character, leadership and citizenship
Amman Imman Water is Life, Inc.	http://ammanimman.org	240-418-1143	EIN 26-3880078	914 Robin Road	Silver Spring	MD	20901	USA	Environment, International, International Development, International Relief, Water, Water Resources, Wetlands Conservation & Management	Amman Imman: Water is Life empowers and preserves Africa's most vulnerable indigenous peoples by offering organic, sustainable development options and emphasizes the role of women as a guiding force for renewed hope, optimism and dignity.  Amman Imman also engages school children worldwide as future leaders guided by compassion and philanthropy as they reach out to our African communities in friendship and solidarity.	Since 2006, Amman Imman has worked in the Azawak of West Africa, and brought sustainable sources of water to over 100,000 people and animals.	over 100,000 people and animals gain access to water, and worked with local people in five communities on health, education, food and livelihood activities	Africa	Through our Oases of Life program in Niger: borehole construction, management training, women's empowerment, skills-training,  health and sanitation, livestock, education, food programs, sustenance farming, economic development.  Through our Wells of Love education program: prepare students in over 150 schools as global citizens by providing opportunities for them to reach out in friendship and solidarity with the people of the Azawak.	empower and preserve the most vulnerable indigenous peoples by offering organic, sustainable development options and emphasizes the role of women as a guiding force for renewed hope, optimism and dignity.
Collegetracks	http://www.collegetracksusa.org	(301) 986-4124	EIN 20-4499806	5126 Manning Dr	Bethesda	MD	20814	USA	Children & Youth, Education, Educational Services, Scholarships, Scholarships & Student Financial Aid, Secondary & High Schools, Youth Development	Collegetracks changes lives and communities by giving low-income and first generation-to-college students the chance to go to college with enough financial aid and continuing support to attain degrees.				To offer: (1) college admissions and financial aid advising to students and families so they successfully navigate the college admissions process; (2) college success advising to increase the likelihood that low-income, first-generation college students will attain degrees.   scholarships: the b-cc community scholarships awarded  test preparation: preparing underrepresented students for the sat and act tests so their test scores better reflect their abilities.	
Pain Connection-Chronic Pain Outreach Center Inc	http://www.pain-connection.org		EIN 52-2200001	12320 Parklawn Dr Ste 210	Rockville	MD	20852	USA	Ambulatory & Primary Health Care, Community Health Systems, Health, Human Services, Nerve, Muscle & Bone Diseases, Personal Social Services	This organization was developed as the product of a chronic pain support group.  The group was developed in April 1999 and has been meeting at the Davis Library in Bethesda, Maryland. The group provided a forum for people handicapped by chronic pain, isolated due to the pain, and demoralized by changes in careers, families and society. Pain Connection was incorporated in August 1999. We want to expand our services and need premises for our center to provide: counseling for sufferers and their families; weekly support groups/seminars; casemanagement; occupational therapist; media center to include a libary with Internet access;  24 hour hotline; and transportation.					
Usa Track & Field Inc	http://		EIN 52-1592738	2657 G Annapolis Rd Ste 102	Hanover	MD	21076	USA							
PLATELET DISORDER SUPPORT ASSOCIATION	http://www.pdsa.org	(877) 528-3538	EIN 22-3611011	133 Rollins Ave.  Suite 5	Rockville	MD	20852	USA	Health, Health (General & Financing), Health Care, Heart & Circulatory System Diseases & Disorders	The Platelet Disorder Support Association is dedicated to enhancing the lives of people with immune thrombocytopenia (ITP) and other platelet disorders through education, advocacy, research and support.	Making the world of ITP a more manageable place to be!	30,000-40,000 constituents per month	Worldwide	PDSA is the premier ITP support organization offering more than 35 local support groups & 2 teleconference groups; 200+ pages of FREE information at www.pdsa.org; 16 FREE booklets (including Spanish and French versions); 2 quarterly newsletters & FREE monthly e-newsletter; PDSA discussion group, chat room, and social networking sites; patient support and referral service; yearly national conference; scholarship program; research program.	ITP patients, families, medical professionals & to raise public awareness for the most common bleeding disorder unknown to most.
Cancer Society of America	https://cancersocietyofamerica.org/		EIN 47-2282680	PO Box 2134	Rockville	MD	20847	USA	Health, Philanthropy	To provide relief to those who suffer from cancer, and to support cancer research groups to find cures to save lives.	Fighting and excluding cancer through awareness, prevention and early detection.	Many Cancer Patients.	To provide relief to those who suffer from cancer, and to support  cancer research groups to find cures to save lives.	- Fundraising and fund distribution to cancer patients. - Fundraising and fund distribution to cancer research programs. - Cancer advocacy.	To fight cancer by helping cancer patients, and support research groups to find cures for cancer.
TOWN CATS INC	http://towncats.net		EIN 52-2181508	PO Box 1405	Berlin	MD	21811	USA	Animal Protection & Welfare, Animal-Related, Animals						
The Metropolitan Center For The Visual Arts Inc	http://www.visartscenter.org		EIN 52-1549839	155 Gibbs St Ste 300	Rockville	MD	20850	USA	Arts & Culture, Arts Education, Cultural & Ethnic Awareness, Museums, Visual Arts	Provides exhibition space, classes, workshops and visual arts programs for artists, adult, seniors, children and teens regardless of ability.					
Sodexo Stop Hunger Foundation Inc	http://helpstophunger.org		EIN 31-1652380	9801 Washingtonian Blvd	Gaithersburg	MD	20878	USA	Corporate Foundations, Food, Food Programs, Philanthropy	Sodexho FoundationOur Mission is to be a driving and creative force that contributes to a hunger-free nation.More than 38 million Americans are food-insecure and at risk of hunger. In order to pursue our mission of creating a hunger-free nation, we seek to address the root causes of hunger.  Therefore, we support initiatives that help break the cycle of poverty such as: Food Delivery and Donations: Helping food banks in the communities we serve accomplish their mission to feed children, families and the elderly.Job Training:Supporting job training programs that address hunger by providing economically disadvantaged adults with the job skills they need to achieve self-sufficiency.Housing:Partnering with organizations that offer affordable housing to low-income families, so that people do not have to make a choice between paying rent or buying food.Education/School Readiness and Scholarships:Sponsoring organizations that work with low-income children and young adults to ensure that they have the support they need to succeed in school.  Education is the key to sustained employment and self-sufficiency.Public Policy:Supporting organizations that improve the lives of the hungry through independent nonpartisan research on hunger issues.100% of all donations to the Sodexho Foundation help fight hunger.					
Asthma & Allergy Foundation of America National	http://www.aafa.org	1.800.7.ASTHMA	EIN 13-1691693	8201 Corporate Dr Ste 1000	Landover	MD	20785	USA	Allergy-Related Diseases, Health	THE ASTHMA AND ALLERGY FOUNDATION OF AMERICA (AAFA), A NOT-FOR-PROFIT ORGANIZATION FOUNDED IN 1953, IS DEDICATED TO FINDING CURES AND IMPROVING THE QUALITY OF LIFE FOR PEOPLE WITH ASTHMA AND ALLERGIC DISEASES, AND THEIR CAREGIVERS, THROUGH EDUCATION, ADVOCACY AND RESEARCH. AAFA PROVIDES PRACTICAL INFORMATION, COMMUNITY BASED SERVICES AND SUPPORT THROUGH A NATIONAL NETWORK OF CHAPTERS AND SUPPORT GROUPS.				FAMILY AND PATIENT SERVICES AND PROFESSIONAL EDUCATION FAMILY AND PATIENT SERVICES - PREPARATION OF HEALTH ARTICLES AND PUBLICATIONS, DEVELOPMENT OF EDUCATIONAL PROGRAMS, SPONSORING HEALTH EDUCATION SEMINARS, SUPPORT GROUPS, AND TRAINING SUPPORT GROUP LEADERS.	
The Humane Society Of Dorchester County Inc	http://www.baywateranimalrescue.org	(410) 228-3090	EIN 52-0901622	4930 Bucktown Rd	Cambridge	MD	21613	USA	Animal Protection & Welfare, Animals	Baywater animal rescue is a no-kill shelter dedicated to improving the lives of people and pets				Provide humane treatment of animals	
Community Ministry Of Prince George S County Maryland	http://www.cmpgc.org		EIN 52-0974092	Po Box 250	Uppr Marlboro	MD	20773	USA	Congregate Meals, Food, Homeless & Housing, Housing & Shelter, Human Service Organizations, Religion	Assists individuals with outreach by seeking help from faith and other non profit groups; provides intake services to various government programs; providing referral services for budgeting advice, monetary assistance and health education				Health through early awareness; minority outreach and technical  aca affordable care act - small business health options program  mota bowie state university minority outreach and technical assistance (smoking cessation) program. Other	
