name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Results	Target demographics	Direct beneficiaries per year	Geographic areas served
Coast Guard Auxiliary Association Inc	http://cgauxa.org	(314) 962-8828	EIN 52-6056326	9449 Watson Industrial Park	Saint Louis	MO	63126	USA	Military & Veterans Organizations, Veterans	Supporting the u. S. Coast guard auxiliary in promoting boating safety including educational, outreach and other programs.	Water safety education programs.   distribution of educational materials and supplies.   national conference.				
ANGELS' ARMS	http://www.angelsarms.org	314-842-8400	EIN 43-1894074	12128A Tesson Ferry Road	St. Louis	MO	63128	USA	Children & Youth, Foster Care, Human Services	Angels' Arms is dedicated to providing and supporting loving homes for foster children by keeping brothers and sisters together within a nurturing family until a forever home is found.	Our program is to provide homes and loving families for foster children.	Although in existence only since 2000, Angels' Arms has changed the lives of over 350 children, including over 100 sibling groups, by providing them with a loving home and allowing them to thrive in a happy, functional family setting.	Angels' Arms provides homes for children placed in foster care in the Metropolitan St. Louis Area.	Over the past fifteen years, Angels' Arms has served over 350 children and the number of children living in the Angels' Arms' homes fluctuates, but the homes can accommodate up to 60 children at any given time.	We have ten homes throughout St. Louis County and St. Charles County.
Mid America Teen Community Emergency Response Team	https://midamericateencert.samariteam.com/	314-680-0791	EIN 27-1623014			MO	63385	USA		The mission of the TEEN CERT program is to train students in emergency preparedness and response to ensure students have the skills needed to protect themselves, and assist others, in the event of an emergency. In addition, students are likely to bring lessons learned in the classroom home, thereby spreading the preparedness message to the entire family.			Any teen or adult in the Greater St. Louis Metropolitan area, including the Missouri counties of St. Charles, St. Louis, Lincoln, Warren, Jefferson and Franklin, and St. Clair and Monroe counties in Illinois, who is at least 12 years old.		Missouri Counties of St. Charles, St. Louis, Lincoln, Warren, Jefferson and Franklin; Illinois Counties of St. Clair and Monroe
Council On American-Islamic Relations-St Louis Inc	http://		EIN 43-1916382	8945 Dunn Rd	Hazelwood	MO	63042	USA	Camps, Sports						
Wyman Center, Inc.	http://www.wymancenter.org	(636) 938-5245	EIN 43-0653263	600 Kiwanis Dr	Eureka	MO	63025	USA	Camps, Children & Youth, Sports, Youth Development	More than 30 years of youth development research is identifying key factors that help young people prepare for success in family life, social relationships, economic self-sufficiency and civic life. At the same time, researchers and demographers, as well as concerned parents, educators and youth work practitioners, have good reason to be concerned about the struggles faced by many of today''s parents, families and schools, the very places that once contributed so wholesomely to the development of young people. To address this urgent need, Wyman is preparing young people for success in three critical areas of life: healthy family and social relationships; economic self-sufficiency; and community involvement. We''re accomplishing this by teaching youth to be productive in school and work; to connect to community and family; and to be able to navigate in diverse environments and make healthy choices. Wyman''s philosophy, grounded in the most current national research, is that keeping young people "problem free" is simply not enough. We must help them be "fully prepared" to lead successful lives and build strong communities.	Wyman's signature programs include the Wyman Teen Leadership Program and the Wyman Teen Outreach Program. The Wyman Teen Leadership Program engages teens from economically disadvantaged circumstances year-round for five years beginning in eighth grade. The program is guided by a progressive leadership theme, and teens gain the experiences, skills and values needed to prepare to act as contributing students, family members, employees and citizens. One hundred percent of our last graduating class, graduated from high school on time and went on to post-secondary education. The Wyman Teen Outreach Program (TOP) is a national after-school program for teens whose effectiveness has been proven in over 20 years of operation. TOP is currently being administered in over 400 organizations and schools in the United States, Virgin Islands, and United Kingdom. Based upon the principles of youth development, an approach that provides teens with the necessary supports and opportunities to prepare for successful adulthood and avoid problem behavior, Wyman TOP has proven effective in increasing academic success and preventing teen pregnancy and other negative behaviors among program participants. Teens that complete Wyman TOP experience: 60% lower rate of school dropout 33% lower rate of pregnancy 14% lower rate of school suspension 11% lower rate of school course failure TOP teens gather weekly throughout the school year for open discussions about relevant issues such as peer pressure and making good decisions for the future. Wyman TOP teens also participate in regular community service learning and neighborhood improvement projects.				
Daisys Eye Cancer Fund	http://www.daisyfund.org/usa	314-669-1104	EIN 45-4886827	5640 Telegraph Road, Suite 306	Saint Louis	MO	63129	USA	Cancer	Increasing access to specialist care will bring the promise of life and sight to every child.  This is the mission of Daisy's Eye Cancer Fund.  We:   Educate about retinoblastoma to achieve early diagnosis and rapid referral to specialist care;   Empower medical teams to deliver sustainable high quality evidence-based care    Enable family support programs that reduce burdens and improve access to essential care	Retinoblastoma Family Groups: we aim to develop single-state and regional family groups across the USA, so that within five years, every family will have access to face-to-face support close to home.  Each family group will provide a program of social activities, information for families, a small grants fund for families in need, and local advocacy.  National Retinoblastoma Strategy: we aim to develop a national collaborative multi-center approach to retinoblastoma care, encompassing awareness campaigns, evidence based medical care and family support initiatives to improve care for all affected children, adult survivors and their families in America.  Ratis Challenge: In September 2006, Daisys Eye Cancer Fund launched Rati's Challenge to address the needs of families affected by retinoblastoma in Africa.  The Kenya National Retinoblastoma Strategy was launched through this program in September 2008, to build a model for capacity building and sustainable care of children in developing countries.  One Rb World: We aim to promote international collaboration to advance high quality retinoblastoma research and delivery of effective care to all children around the world.  Annual One Rb World working meetings inspire medical professionals and parent / survivor advocates to become engaged in collaborative work, and advance international sustainable projects that have capacity to rapidly improve awareness, clinical care and family support.  We work in full collaboration with DECF Chapters, prospering from shared experience and energy to keep our children at the heart of all we do.	 Awareness: we have hosted several successful awareness campaigns in collaboration with global awareness events in May and September.    Family Support: we have built an incredible social network among affected families and survivors within and between Rb treatment centers, providing social support, advocacy and key information to improve treatment outcome and quality of life of affected children and families.   One Rb World: in October 2012, we hosted the first global medical working meeting, discussing major challenges to effective care and potential solutions.  30 countries were represented (half of them developing nations).  New partnerships have been formed and collaborative activities proposed that we will move forward over the next few years to improve awareness, clinical care and family support worldwide.	Children with eye cancer (retinoblastoma), their families and adult survivors.		National and international (primarily the developing world)
Equi-Librium Therapy Center	http://www.etctherapy.org	4178301409	EIN 45-4263985	1148 S Courtney Lane	Rogersville,	MO	65742	USA	Animal Services, Animals, Birth Defects & Genetic Diseases, Health, Mental Health, Mental Health Associations, Rehabilitative Care	We Provide Exceptional Accredited Equine Therapy Services, Improving the Quality of LIFE for Those in the Ozarks.	Hippothearpy, Equine-Assisted Learning, Therapeutic Riding, Equine Facilitated Psychotherapy,	We work with over 420 clients every year by giving them the therapy they both need and love. By using our horses as a therapy tool for our counselors, therapists and speech pathologists, we are able to utilize our horses to engage the clients beyond what they are use to in a typical therapy room setting. This enhances our results and gives them something to look forward to!	Children and Veterans with disabilities, challenged teens, and those who suffer with mental health issues by using our equine as a therapy tool.	420 clients	Rogersville, MO and serve over 13 counties
Southwest Missouri Office of Aging	http://		EIN 43-1018538	1735 S Fort Ave	Springfield	MO	65807	USA	Human Services, Senior Centers, Seniors	IN OUR 17 COUNTY SERVICE AREA WE CONDUCT SUCH SERVICES AS CONGREGATE NOON DAY MEALS, HOME DELIVERED MEALS, TRANSPORTATION, INFORMATION AND REFERRAL, CASE MANAGEMENT, HOMEMAKER, FOOT CLINICS, IN-HOME RESPITE, PERSONAL CARE, MINOR HOME REPAIR, LEGAL SERVICES, PUBLIC INFORMATON AND EDUCATION, MEDICARE D COUNSELING, TAX COUNSELING, ADULT DAY CARE AND HEALTH SCREEN	options counseling, home delivered meals, respite care, personal care, transportation, tax counseling, Medicare enrollment and much more.		seniors 60+, their caregivers and families	thousands of seniors remain independent and in their homes.	17 counties in southwest Missouri
All New Hope Animal Rescue Llc	http://		EIN 45-3760251		Saint Louis	MO	63119	USA	Animal Protection & Welfare, Animals						
Easterseals Midwest	http://www.eastersealsmidwest.org/	1-800-200-2119	EIN 43-0979927	13545 Barrett Parkway Drive, Suite 300	Ballwin	MO	63021	USA	Autism, Disabilities, Health	Easterseals Midwest helps individuals with developmental disabilities - including autism - learn, live, work and participate in the community.	Autism Services,Employment Services, Early Childhood Services, Community Living Services		individuals with developmental disabilities		Easter Seals Midwest serves families and children throughout the state of Missouri and several counties in Kansas and Illinois.
Coat-A-Kid Inc	http://		EIN 30-0400167	13319 Kenroyal Dr	Saint Louis	MO	63131	USA	Emergency Assistance						
Against Malaria Foundation (US)	http://www.AgainstMalaria.com	816 472 9000	EIN 20-3069841	310 W 20th St Suite 300	Kansas City	MO	64108	USA	Health, Specifically Named Diseases	We fund and provide long-lasting insecticidal nets (LLINs) to protect those at risk from malaria.		The details of all our distribution programs can be found at: http://www.againstmalaria.com/Nets.aspx			
Coyote Hill Christian Children's Home	http://www.coyotehill.org	(573) 874-0179	EIN 43-1601128	P.O. Box 1 9501 Coyote Hill Rd	Harrisburg	MO	65256	USA	Group Homes, Human Services, Residential Care & Adult Day Programs		a professional and traditional home environment, Licensed Professional Counseling, academic tutoring, an extensive Life Skills Program, Independent Living Skills for the youth who are preparing to graduate high-school and go on to college, trade school, or begin a career.  As a result of the services of Coyote Hill, the child you help today will make a positive contribution to your own community in the years to come.		abused and neglected children	50 children	mid-Missouri
Trinity Christian Fellowship Of Neosho	http://		EIN 43-1573080	327 Bluff St	Noel	MO	64854	USA							
Our Lady's Inn	http://www.ourladysinn.org	314-351-4590	EIN 43-1213751	4223 S. Compton Ave.	St. Louis	MO	63111	USA	Family Services for Adolescent Parents, Homeless & Housing, Homeless Shelters, Religion, Roman Catholic, Single Parent Agencies	Our Ladys Inn provides pregnant women and their children shelter and hope for a new life through humble acts of love.	Both our St. Louis and St. Charles County homes house up to 18 pregnant women and their children who are homeless.  Our transitional housing program can accept three families at a time.  These are women who have completed our emergency residential program and still need supportive services.	In 2012, we housed a 139 moms and 159 children at our St. Louis and St. Charles locations. Our aftercare program served 148 moms and 187 children in 2012.	women who are pregnant and homeless		St. Louis and St. Charles Metropolitan Community
Noahs Ark Academy	http://www.noahsarkacademy.org	636-887-2273	EIN 26-3502956	411 West Pearce Blvd.	Wentzville	MO	63385	USA	Child Day Care, Children & Youth	Our Mission ... to build a stronger community through the children of the future, making a high quality early childhood program accessible to all children, the basis for their success later in life.	Noah's Ark Academy has many programs to support families and their varying needs throughout the community: 1)  Full Time and Part Time programs 2)  24 hour care, overnight & weekend care 3)  Rotating schedules 4)  Income based tuition program 5)  Teen parents 6)  Parent education 7)  Back to work programs through MERS Goodwill and Vocational Rehabilitation		Children age 6 weeks to 17 years old, whose family may require care during non-traditional hours, at-risk children and children of families requiring financial assistance, children recieving state assistance for child care not offerred at other programs.	To date, this year  Noah's Ark Academy has served  181 children; with,  34 children receiving income based tuition totaling $24,076; and,  21 foster children attended, totaling $26,736; and,  9 teen parents with a total of 11 children attended, totalling $27,534.	Wentzville, Warrenton, Troy, Wright City, Foristell, O'Fallon, Lake Saint Louis, among other cities in the St. Charles County, Warren County and Lincoln County areas.
Friends Of Turpentine Creek Wildlife Refuge	http://		EIN 20-0656327	13680 Little Farm Rd	Exclsor Sprgs	MO	64024	USA	Animals, Wildlife Sanctuaries						
Kansas City Pet Project	http://www.kcpetproject.org	(816) 513-9821	EIN 45-3067615	4400 Raytown Rd	Kansas City	MO	64129	USA	Animal Protection & Welfare, Animals	To end the killing of healthy and treatable pets in kansas city, missouri by using the most progressive and lifesaving programs and promoting effective animal control policies.	Shelter operations: operation of the kansas city municipal animal shelter. The shelter began 2014 with 683 animals. 9,851 additional animals were brought to the shelter by animal control or the public for a total of 10,534 animals that were provided shelter services during the year. Of this total, 6,046 were adopted, 1,282 we returned to their owner, and 1,282 were transferred to other animal welfare organizations. The year ended with 696 animals still in care. An overall live release rate of 93% was achieved for 2014.   veterinary program: provide veterinary care to all animals entering the shelter to include physical exam, vaccination, spay/neuter and treatment of any injuries or illnesses.   zona rosa adoption center: retail adoption center located in the zona rosa mall. Purpose is to facilitate additional adoptions in order to find homes for as many possible pets that enter the kcmo shelter.   volunteer program, foster rescue program: volunteer program focused on engaging community volunteers to assist with the care of animals at the shelter; foster/rescue program focused on finding temporary foster homes for animals needing socialization, medical recovery time and or care of small puppies and kittens until old enough to be adopted. Also works closely with rescue groups to transfer animals to rescue adoption programs.				
Northland Meals On Wheels Inc	http://northlandmealsonwheels.org	(816) 691-5322	EIN 23-7293663	2800 Clay Edwards Dr	Kansas City	MO	64116	USA		Northland meals on wheels relies on 130 volunteer drivers to deliver hospital-prepared, dietician-approved hot meals to home-bound individuals and those who cannot prepare meals for themselves. Approximately 160 clients are served five days per week.	A total of 36,136 meals were delivered by 130 volunteers to clients, monday through friday, throughout the year. This provides individuals nutritious meals and helps them continue to live independently in their own homes.				
Allied Arts Council of St. Joseph, MO Inc.	http://www.stjoearts.org	816-233-0231	EIN 43-0810827	118 South 8 Street	St. Joseph	MO	64501	USA		The Allied Arts Council seeks to make St. Joseph a better place to live through the arts. The mission of the Allied Arts Council is to provide leadership and support for the arts and to its member organizations	The Arts Fund supports eight member agencies:  Allied Arts Council American Guild of Organists Creative Arts Production Midwest Artist Association Performing Arts Association RiverSong Saint Joseph Community Chorus Saint Joseph Symphony	Last year we raised over $210,000 for the Arts Fund. This year our goal is to raise $215,000. The money raised helps our member organizations produce quality art and arts education programs.			Northwest Missouri
Pathways to Independence	http://www.ptistl.org	314-863-0202	EIN 43-1504762	200 S Hanley Road Suite 103	Clayton	MO	63105	USA	Developmentally Disabled Centers, Disabilities, Human Services, Job Training, Recreation & Sports, Sports	Pathways to Independence enriches the lives of adults with complex learning disabilities and associated disorders through the development of the social interaction and self-advocacy skills necessary to achieve each individuals goals for independence, community engagement and meaningful relationships.	social interaction, self-advocacy and community engagement training		adults whose social interaction skills are impacted by complex learning disabilities and associated developmental disabilties such as Level 1 autism (Asperger's Syndrome or PDD-NOS)	122 participants	St. Louis, MO
CENTER FOR SURVIVORS OF TORTURE AND WAR TRAUMA	http://www.stlcenterforsurvivors.org	(314) 533-4114	EIN 43-1938770	1077 S Newstead Ave	St Louis	MO	63110	USA	Human Service Organizations	THE CENTER FOR SURVIVORS OF TORTURE AND WAR TRAUMA IS COMMITTED TO FACILITATING THE HEALING PROCESS FOR REFUGEE AND IMMIGRANT SURVIVORS OF TORTURE AND ASSISTING THEIR FAMILIES BY PROVIDING CULTURALLY APPROPRIATE SERVICES, ADVOCACY, AND COMMUNITY EDUCATION THE CENTER SERVES REFUGEES IN THE ST LOUIS AREA WHO HAVE SURVIVED TORTURE, WAR	The mental health services of the center for survivors of torture and war trauma focuses on refugee individuals, children, and families who suffer from complex post traumatic stress disorder. Through mind/body intergrative therapeutic approaches, these survivors learn ways to become self-empowered to minimize their trauma symptoms, building support around them, and strengthen their ability to live a health and productive life. The goal of the program is to service 150 clients annually.				
Big Bend Railroad Club, Inc.	http://www.bigbendrrclub.org		EIN 23-7102084	8833 Big Bend Blvd.	Webster Groves	MO	63119	USA	Arts & Culture, Education, Museums, Recreation & Sports, Sports	Ever since our beginning in 1938, the club''s purpose has been to teach and improve the skills of model railroading to it''s members and to the general public, by building, maintaining and operating a scale model railroad and by demonstrating other related skills at various model railroad shows. In 1994, the club purchased the 1910 passenger depot that has been the club''s only home since 1938. We did this to save the building from demolition and preserve a piece of history. We are now committed to do whatever we can to preserve and maintain this fine example of vanishing history.	operating our model trains on scheduled and special events. We also try to make several needed repairs and restorations to the former 1910 railroad depot we are in.		anyone interested in railroading		the St. Louis area
Kansas City Consensus	http://www.consensuskc.org	(816) 531-5078	EIN 43-1305776	Po Box 10252	Kansas City	MO	64171	USA	Community Coalitions	To assist the public in developing a consensus as to the most appropriate recommendations for improving the quality of life for the many segments of kansas city society.	Conducted a highly successful county-wide community conversation on healthcare. Began the process of developing follow-on to the community conversation on healthcare. Developed s a follow-up to last year's community discussion on mental health action teams that are identifying concerns and actions that can be addressed within their service communityworked with 2 area public libraries on how to develop community conversations including traing appropriate staff.				
Project Peanut Butter	http://projectpeanutbutter.org	314-646-7191	EIN 59-3785405	7435 Flora	Maplewood	MO	63143	USA	Food, Health, International, International Relief, Nutrition, Pediatrics	Project Peanut Butter (PPB) seeks to advance the treatment of severe acute malnutrition, the single largest cause of child death in the world today, using effective, locally produced ready-to-use therapeutic foods. This nonprofit  offers nutritional recovery to thousands of children in sub-Saharan Africa annually through direct services, and indirectly affects tens of thousands more by providing RUTF at cost to relief agencies, such as UNICEF and Clinton Health Access Initiative, that work with severely malnourished children.	local production and distribution of peanut based ready-to-use therapeutic food (RUTF)		children ages 6 months-5 years suffering from acute malnutrition, a life-threatening condition		St. Louis, Missouri, USA/ Blantyre, Malawi/ Freetown, Sierra Leone/ Kumasi, Ghana
Helping Hands Therapeutic Riding Center	http://www.hhtrc.org	(816) 697-5400	EIN 90-0126311	31505 E Stringtown Road	Greenwood	MO	64034	USA	Centers to Support the Independence of Specific Populations	To help children and adults with disabilities by utilizing equine assisted activities and therapies to improve their everyday quality of life	To provide equine assisted therapy to approximately 108 disabled individuals				
If Not For Grace Ministries	http://		EIN 26-1809875	Po Box 836	Grain Valley	MO	64029	USA	Counseling, Mental Health						
Yang-Ward Foundation, Inc.	http://www.yangward.org		EIN 46-3195897	100 W Briarwood Ln	Columbia	MO	65203	USA		We embrace social responsibility and commitments to empower single women by engaging them in revenue-generating activities to gain better financial independence, invest in improving local education opportunities, and transform their lives.	engage single women in reveune generating activities such as cash crop production, and animal husbandry.	We launched our pilot program in Kot, Bhojpur in eastern Nepal in July, 2013 to great success.  In less than a year, it is on track to becoming self-sustainable. We employ 4 single women who work 5 hours a day 5 days a week for five times their previous wage. We have donated 5000 books to the local school where 1200 students are benefitting from these books, established two scholarships for underprivileged girls, and we are raising funds to establish computer labs.	single women	4 single women full time job, donated 5000 books to local school, set up two scholarship for underprivileged girls.	Nepal
Necc Personnel Club	http://		EIN 26-2936081	13698 Airport Rd	Bowling Green	MO	63334	USA	Recreational Clubs, Sports						
Berean Christian Academy Inc	http://bcamonett.com	(417) 236-9088	EIN 20-0732533	601 13th St	Monett	MO	65708	USA	Education, Elementary & Secondary Schools, Literacy	Operate a private christian school for grades k-12	Operate a private christian school for grades k-12				
HEALING HOUSE INC	http://www.healinghousekc.org	(816) 920-7181	EIN 20-1877757	4420 St John Avenue	Kansas City	MO	64123	USA	Mental Health, Substance Abuse Dependency, Prevention & Treatment	Healing House, Inc. is a non-profit, faith-based substance abuse recovery organization. We work in the Kansas City metropolitan area to provide safe and stable homes with opportunities for spiritual and personal growth along with purposeful guidance and support for men and women who are committed to overcoming their addiction and becoming responsible, productive, drug and alcohol free members of our community.	Healing House, Inc. is a non-profit, faith-based substance abuse recovery organization. We work in the Kansas City metropolitan area to provide safe and stable homes with opportunities for spiritual and personal growth along with purposeful guidance and support for men and women who are committed to overcoming their addiction and becoming responsible, productive, drug and alcohol free members of our community.		Recovering Addicts and Alcoholics	Over 300 addicts and alcoholics in recovery	Kansas City Metro
Best Foot Forward	http://		EIN 91-2186679	PO Box 5836	Saint Louis	MO	63134	USA	Arts & Culture, Dance						
DOORWAYS Interfaith AIDS Housing Services	http://www.doorwayshousing.org	(314) 535-1919	EIN 43-1484279	4385 Maryland Ave	St Louis	MO	63108	USA	AIDS, Health, Homeless & Housing, Homeless Centers, Housing Expense Reduction Support, Human Services, Rehabilitative Care	DOORWAYS maintains a continuum of housing services designed to meet the ever-changing needs of people living with HIV/AIDS in the St. Louis area, ensuring that none face homelessness and all may live with optimum health. This goal is driven by DOORWAYS' conviction that secure housing is the foundation for the most efficient, cost-effective and compassionate approach to the treatment, management and prevention of HIV/AIDS. Its special concern is for the very poor and their dependent children, those whose needs cannot be fully met by public assistance or by friends and families. DOORWAYS serves those affected by AIDS and HIV-related illnesses, regardless of religion, race, age, gender, sexual orientation, or physical or mental disability.  Since its founding in 1988, DOORWAYS has served 3,250 households and currently assists 485 and 85 children each month through its housing programs.	Interfaith residence improved the health of 2,800 people living with HIV/AIDS who need affordable housing and their family members. This was accomplished through our five programs. The own home program works to prevent homelessness for those who are unstably housed. Own home provided emergency housing, rent, mortgage, utility assistance and move-in subsidies to 1,162 people living with hiv/aids and their families. Own home provided 4,224 monthly units of housing. The own home program added an employment and self-sufficiency specialist to its team and expanded its services to its clients as a result. Cooper house is a residential care facility that offered permanent supportive housing for 45 people with hiv/aids who cannot live independently due to mental and physical concerns. Cooper house provides 24-hour nursing care. Cooper house provided 304 monthly units of housing, a 25% increase in services over the previous year. The residential program serves people affected by hiv/aids who are capable of independent living but whose financial and health issues limit their ability to pay fair market rent. Seven apartment buildings in the city of st. Louis provided healthy housing to 124 people living with hiv/aids and their families. The residential program provided 1,164 monthly units of housing. The outstate program, doorways' farthest reaching program, brought services to 166 people living with hiv/aids and their families in more than 100 underserved and rural communities in missouri and illinois. Outstate provided 1,149 monthly units of housing. Jumpstart is a program designed for homeless single parents with hiv/aids. Jumpstart provided rental assistance and supportive services for 19 single-parent families in st. Louis. Jumpstart provided 221 monthly units of housing.			More than 2,800 individuals	
Q Foundation For Kids	http://		EIN 47-5494932	2792 Riebold Cir	Arnold	MO	63010	USA	Philanthropy, Philanthropy, Charity & Voluntarism Promotion						
Pages And Chapters	http://		EIN 45-4563373	Po Box 32796	Kansas City	MO	64171	USA	Education, Literacy, Remedial Reading & Encouragement						
Women's Support and Community Services dba Safe Connections	http://www.safeconnections.org	(314) 646-7500	EIN 43-1077667	2165 Hampton Ave	Saint Louis	MO	63139	USA	Counseling, Domestic Violence, Family Violence Shelters, Homeless & Housing, Human Services, Mental Health, Sexual Assault Services	The mission of Safe Connections is to reduce the impact and incidence of relationship violence and sexual assault through education, crisis intervention, counseling, and support services.	Crisis support, individual and group counseling, and prevention education services		Women and teens	16,000 clients	St. Louis
