name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Furkids'' Main Goals: 	ACR REF Rheumatology Investigator Award
Ride Atlanta Inc	http://	(678) 423-0858	EIN 58-1589140	242 Lowell Dr	Sharpsburg	GA	30277	USA	Equestrian, Sports	Teaching horsemanship to disabled persons					Operation of a facility to provide equestrian therapy and to provide same to persons of all ages who suffer disabilities and disorders		
HealthMPowers, Inc.	http://www.healthmpowers.org	770-817-1733	EIN 58-2524601	3200 Point Parkway Suite 400	Norcross	GA	30092	USA	Children & Youth, Education, Health, Primary & Elementary Schools	The mission of HealthMPowers is to promote healthy behaviors and environments by empowering students, staff and families to improve health and academic achievement .				Entire state of Georgia	A non-profit 501(c)(3) organization, healthmpowers was founded in 1999 to address growing concern over the health of our youth. With a mission to "promote healthy behaviors and environments by empowering students, school staff and families to improve health and academic achievement," the organization has established a 13-year track record of improving student health knowledge, behavior, physical activity, bmi and school policies--all without taking away valuable class time. Healthmpowers is nationally recognized as an evidence-based program by usda's snap-ed, using the guidelines established by the center for disease control and prevention (cdc) as the foundation of our multi-year program. In addition to the multi-year program, healthmpowers launched a childcare program in 2014, and is the training partner for the georgia department of education, georgia department of public health, and georgia shape. The organization continues to work collaboratively with other national and state organizations including centers for disease control and prevention, shape america, alliance for a healthier generation, presidential youth fitness program, action for healthy kids, georgia shape, and children's healthcare of atlanta. During the 2014-15 fiscal year, healthmpowers served a total of 442 schools, 3,099 teachers, and 265,806 students through the multi-year elementary school program, the child care pilot program, "power up for 30" trainings in partnership with the georgia departments of education and public health, and georgia shape grantee trainings. Independently audited financial information from the fiscal year showed that 93% of expenses were directly related to program services. The multi-year healthmpowers program is a school-wide intervention that includes trainings, direct services and resource materials to empower schools with the tools they need to sustain positive health and environmental outcomes on their own upon completion of the program. The program is structured to provide maximum resources and benefits to underserved populations. In the 2014-15 school year, the multi-year program served 45,161 students and 2,196 staff in 80 snap-ed sponsored schools. The average free and reduced lunch rate was 84%, indicating that a large portion of the population is underserved. The value and impact of this work extends beyond the services healthmpowers provides. During 2015-15, healthmpowers' team members provided approximately 2,762 hours of direct nutrition and physical activity, while approximately 45,753 additional hours of nutrition and physical activity instruction were provided by respective participating school staff using the resources, lessons and training provided by healthmpowers. Results from both the additional instruction and increased physical activity include an 87% improvement in student nutrition and physical activity behaviors; a 69% improvement in student's pacer fitness test which measures aerobic fitness; and a 78% of students maintaining or improving bmi percentiles. The childcare pilot served 6 centers, 48 teachers, 441 students, and 55 family members. Each pilot center completed the growing fit: nutrition and physical activity assessment at the start of the year and at the end of the year to examine center policies and practices. By the end of the first year, all childcare centers improved, on average, eight different polices or practices. In less than one year, most centers were able to improve their programs in nutrition education, caregiver and family nutrition training, and the eating environment. Due to these positive results, the program will continue and expand in 2015-16 school year. Since 2013, healthmpowers has served as the training partner for power up for 30, reaching over 500 schools. Power up for 30 is a statewide initiative supported by the georgia departments of public health and education to increase physical activity during the school day in georgia. Elementary schools are provided a one-day, eight-hour professional development workshop, technical support, physical activity resources and recognition opportunities. Outcomes demonstrated that schools participating in the power up for 30 initiative made statistically significant improvements in providing students with more pa time, resulting in improved cardiovascular health outcomes. Compared with schools that did not participate in the initiative, power up for 30 schools saw increases in before and after-school student physical activity programs, days of recess, classroom physical activity time, and more students achieving the "healthy fitness zone" for aerobic capacity.		
MICHELLE ANTOINETTE JONES CRISIS CENTER INC	http://		EIN 47-0862215	7510 Aspen Ct	Jonesboro	GA	30236	USA	Centers to Support the Independence of Specific Populations								
Strength Through Faith Community	http://www.strengththroughfaithcenter.org		EIN 20-8793883	1073 Leslie Place	Lithonia	GA	30058	USA	Children & Youth, Human Service Organizations, Neighborhood Centers, Senior Centers, Seniors, Youth Development Programs	The Strength Through Faith Community Center, Inc. exists to address the social needs that both youth and seniors have in common by engaging them both in intergenerational activities that build and dispel prejudices. By bridging the gap between two generations it will promote support, caring, and guidance for our two most vulnerable members of society, the elderly and youth.							
Global Health Action, Inc.	http://www.globalhealthaction.org	(404) 634-5748	EIN 23-7241142	1190 W Druid Hills Dr., NE Ste. 145	Atlanta	GA	30329	USA	Adult Education, Education, Health, International, International Development	Global Health Action is creating healthier communities around the globe through education and training in leadership, management and health promotion.					The organization designs and conducts community health and development programs in under-served parts of the world. Dedicated to improving the health and well-being of individuals and communities around the globe, the organization achieves its mission through community-based health programs and livelihood opportunities. Programs are designed to build local capacity through specialized training for healthcare professionals and community leaders. Ongoing programs are primarily conducted in haiti. In addition, joint projects are conducted with program partners in china, and short-term training sessions are held from time to time in atlanta, ga. Short-term workshops and health and development projects may be conducted in various countries around the globe.		
GWINNETT SEXUAL ASSAULT CENTER INC	http://www.gsac-cac.org	770-497-9122	EIN 58-1762829	PO Box 1329	Duluth	GA	30096	USA	Crime & Law, Mental Health, Mental Health & Crisis Intervention, Sexual Abuse Prevention, Sexual Assault Services	GSAC-CAC provides medical and psychological support as well as legal advocacy to persons victimized by sexual assault and child sexual abuse.  We also provide the community with educational and prevention programs. GSAC-CAC treats all with respect and dignity in a safe, caring environment.	2012 Direct Victim Services Statistics (January  October):	3,763 individuals Forensic Medical Exams:	219		Crisis Calls:		1,070 Other Forensic Services:	  15		Advocacy:		   793 Forensic Interviews:		111		Legal Services:		1,286 Assist w/Court Cases:		  76		Counseling Referrals:	   193  67% of our victims are under age of 18	83% are under age of 22.	GSAC serves anyone who has been victimized by rape, sexual assault, or child sexual abuse, regardless of age, gender, race/ethnicity, nationality, religion, or sexual orientation.	More than 3,800 people receive direct services each year.	GSAC can provide forensic medical exams for anyone assaulted in Georgia. Primary Counties:  Gwinnett, Rockdale, Newton counties Cities:  Berkeley Lake, Braselton, Buford, Dacula, Duluth, Grayson, Lawrenceville, Lilburn, Loganville, Norcross, Snellville, Suwanee	Programs and services provided include: *  24-hour crisis line/ support line for allied professionals *  24-hour crisis intervention support *  24/7 forensic-medical evidentiary exam and GBI- SAEK evidence collection *  Victim Advocacy; Medical Advocacy; Family Advocacy Legal Advocacy Services *  24/7 Forensic Interviews (child and adolescent) *  Free legal aid services for victims with civil issues resulting from the sexual assault/abuse. *  Community awareness and education *  Professional training for schools, law enforcement, prosecutors, judges, medical and mental health professionals. *  College campus presentations *  Consultation for schools, media, government agencies, publications and educational films. *  Georgia Adolescent & Adult Sexual Assault Examiner (SAE)/ Sexual Assault Nurse Examiner (SANE)  Trainings provided statewide;  *  Georgia Pediatric-Advanced SAE/ SANE Training Programs.		
Ruby A Neeson Diabetes Awareness Foundation Inc.	http://www.fightdiabetesnow.org	770-299-1479	EIN 45-4542075	P.O Box 814	Duluth	GA	30096	USA		The mission of Ruby A. Neeson Diabetes Awareness Foundation, Inc. is to aid families affected by diabetes. We are a community-based charitable health organization dedicated to raising public awareness through advocacy and education.		Promote and heighten diabetes health and wellness		Georgia	Diabetes health and wellness workshops, cooking classes, support groups, chronic disease prevention workshops, and fitness classes.		
Caglewood Incorporated	http://www.caglewood.org	(770) 402-9355	EIN 58-2654347	5182 Glen Forrest Dr	Flowery Br	GA	30542	USA	Developmentally Disabled Centers, Disabilities	Eductnl servs to disadv youth					Camping trips for disadvantaged youth supplying religious and educational services		
Angel Flight Soars Inc	http://www.Angelflightsoars.org	1.877.4AN.ANGEL	EIN 58-1702239	Headquarters: 2000 Airport Road Suite 227 - PDK Airport	Atlanta	GA	30341	USA		The mission of Angel Flight is to remove the obstacle of transportation for individuals with medical and financial needs. We will accomplish this mission by arranging free air transportation to those who need it most. Angel Flight serves the community by flying patients to distant medical facilities, delivering supplies to disaster areas and reuniting families during desperate times.   This community service is made available to any individual, medical agency or health care organization for medically stable and ambulatory patients traveling from, to or through the States of Georgia, Alabama, Tennessee, Mississippi, and the Carolinas.	In our 33 years of community service, we have arranged more than 35,000 missions for families in need of distant medical care. Last year alone, Angel Flight arranged 2,861 missions, that's 8 missions a day, 7 days a week.  We helped patients from newborn to 97 years in age with 223 different medical afflictions from 44 states and 8 countries.  This year, we want to do even more.	Angel Flight Soars knows that illness isn't stopped by boundaries and believe that cures shouldn't be either, whether those boundaries are geographic or financial. We help by coordinating free flights to lifesaving medical treatments!	In 2015 Angel Flight Soars coordinated 2,861 missions serving more than 8,000 patients and their families	Georgia, Alabama, Mississippi, North Carolina, South Carolina, and Tennessee.	The mission of Angel Flight is to help families get to the hope of lifesaving medical treatments, surgeries and clinical programs as often and as long as necessary to ensure that no one has to go without medical treatment simply due to travel challenges.		
Enotah Casa, Inc.	http://www.enotahcasa.org	706-864-0300	EIN 58-2079736	266 B Mechanicsville Road	Dahlonega	GA	30533	USA	Child Abuse Prevention, Children & Youth, Children & Youth Services, Crime & Law, Domestic Violence, Legal Services, Protection Against Abuse	To provide trained, screened and supervised volunteers to advocate for the best interest of children in juvenile court deprivation proceedings.	Last year Enotah CASA provided a CASA (Court Appointed Special Advocate) volunteer to just over half of the cases involving abused or neglected children in the Enotah Judicial Circuit.	Abused and neglected children living in foster care in Lumpkin, White, Towns and Union counites in Georgia.	In 2008 CASA volunteers provided in-court advocacy service to over 200 abused or neglected children.	North Georgia (Lumpkin, Towns, Union and White Counties)			
Missionary Church International Incorporated	http://		EIN 58-2475494	Po Box 2681	Cleveland	GA	30528	USA									
Good Mews Animal Foundation Inc	http://goodmews.org	(770) 499-7370	EIN 58-1790828	3805 Robinson Rd Ne	Marietta	GA	30068	USA	Animal Protection & Welfare, Animals	Good mews offers an alternative to traditional animal shelters in the metro-atlanta area by providing a no kill, cage free haven for homeless abused or abandoned cats until placing them in permanent loving homes. Good mews promotes public awareness regarding the value of pets, animal welfare pet overpopulation and quallity human-companionship through education and outreach programs.					Provided shelter and veterinarian care for stray, abandoned and abused cats, while in transition to good homes. Benefit is to the general welfare of public and community.		
Variety-The Children's Charity of Georgia, Inc	http://www.varietyofgeorgia.org	678-994-4210	EIN 58-6036366	9800 Medlock Bridge Road Ste 1	Johns Creek	GA	30097	USA		Our mission is to aid and enhance the lives of children in need who may be challenged by physical and/or mental disabilities, poverty, abuse or neglect			Over 3,000		Freedom, Future Kids, and Caring for Kids		
Southern Center for Human Rights	http://www.schr.org		EIN 62-1025326	83 Poplar St   Nw	Atlanta	GA	30303	USA	Civil Rights, Crime & Law, Inmate Support, Public Interest Law	The Center was created in 1976 to respond to the deplorable conditions in prisons and jails in the South and the United States Supreme Court's decision that year allowing the resumption of capital punishment. Since its creation, the Center has been engaged in litigation, public education, advocacy, and work with other organizations and individuals to protect the civil and human rights of people prosecuted in the criminal courts, particularly those facing the death penalty, and confined in the prisons and jails of the South.							
Alpha Omega Epsilon National Foundation, Inc.	http://www.aoefoundation.com		EIN 36-4111818	305 Crossbridge Drive	Brunswick	GA	31525	USA	Education, Homeless & Housing, Housing Support, Scholarships, Scholarships & Student Financial Aid	Provide educational opportunities to women in engineering and technical sciences that enhance personal, professional, and academic development.							
Sonje Yo Inc	http://www.sonjeyo.org		EIN 80-0455873	4355 Cobb Parkway, Suite J-457	Atlanta	GA	30339	USA	Human Service Organizations								
Non Profit	http://	(404) 873-1661	EIN 58-1720888	1440 Spring Street Nw	Atlanta	GA	30327	USA	Philanthropy, Private Grantmaking Foundations	The foundation is operated exclusively for charitable, educational, or religious purposes by conducting or supporting activities for the benefit of, or to carry out the purposes of the jewish federation of greater atlanta, inc. , a section 501(c)(3) organization.					Support for the study of history.		
Feminist Womens Health Center Inc	http://www.feministcenter.org	404-248-5445  	EIN 58-1273243	1924 Cliff Valley Way NE Suite 100	Atlanta	GA	30329	USA	Civil Rights, Health, Lesbian & Gay Rights, LGBTQ, Reproductive Health Care, Reproductive Rights, Women, Womens Rights	Mission  The Feminist Womens Health Center provides accessible, comprehensive gynecological healthcare to all who need it without judgment.   As innovative healthcare leaders, we work collaboratively within our community and nationally to promote reproductive health, rights and justice. We advocate for wellness, uncensored health information and fair public policies by educating the larger community and empowering our clients to make their own decisions.   Vision  We envision a world where all people have unfettered access to nonjudgmental healthcare regardless of age, race, gender identity or class, a world in which our wholeness is honored and informed, individual choices are manifest.   Core Values  We provide quality healthcare and community education regardless of race, ethnicity, sexual orientation, gender identity, socio-economic or immigration status;   We respect the human dignity of all individuals;  We act with compassion and caring;   We remain committed to reproductive freedom and justice;   We actively include those who experience unique barriers to both education and healthcare access including non-english speakers, youth, GLBTQI*, all racial/ethnic/cultural communities and people with varied capabilities;   We provide medically accurate, comprehensive and respectful education;   We actively seek collaborations within our community to accomplish shared goals;   We recruit and educate young future leaders to continue our advocacy work;   We utilize resources in a way that provides the same high quality education and healthcare within our scope of practice to as many clients as possible;  and, We provide a work environment for all employees that is affirming, empowering and respectful of them as individuals,  while encouraging teamwork.							
Mourning Dove Ministries, Inc.	http://www.Mourning-Dove.org		EIN 30-0001352	870 Doe Hill Ln	Roswell	GA	30075	USA	Family Counseling, Mental Health, Mental Health Treatment	To stop the legacy of divorce and dysfuntional families through Bible-based, proven theories of counseling and coaching.							
Where Dreams Are Made, Inc.	http://	(404) 914-0470	EIN 01-0906474	3303 North Fulton Ave	East Point	GA	30364	USA	Adult & Child Matching Programs, Children & Youth	Enhance the minds of our youth in achieving their goals and dreams					Job Readiness/Independent Living Skills/Social Skills/College&High School Preparation/Substance Abuse Awareness/Personal Hygiene/Self Care		
Henry County Humane Society Inc	http://www.henryhumane.com/	(770) 914-1272	EIN 58-1437251	46 Work Camp Road	McDonough	GA	30253	USA	Animal Protection & Welfare, Animals	Henry County Humane Society exists to prevent cruelty to animals, relieve suffering among animals, find homes for homeless pets, and extend humane education to our county and beyond.		save the lives of animals that are unwanted, abused and often cruelly mistreated, and to champion the right of all animals to a safe and happy life.		Henry County Georgia and surrounding areas	Rescue, Adoption and Humane Education		
Second Chance Greyhounds Inc	http://www.secondchancegreyhounds.org	1.877.674.7397	EIN 26-4036169	445 Austin Dr	Douglasville	GA	30134	USA	Animal Protection & Welfare, Animals	Fostering hope in both humans and Greyhounds through rehabilitative training founded in compassion, patience, and kindness.	To date we have adopted over 150 Greyhounds into wonderful homes in over 13 states.	Responsible adults over the age of 21.	60 or so Greyhounds	Mostly the Southeast, including Georgia, Alabama, Florida, South Carolina, Tennessee, and North Carolina, although we have adopted Greyhounds in over 13 states.  If the situation is conducive for the adoption we will consider outlying states.	Greyhound adoption and prison training program		
Wilderness Works Inc	http://www.wildernessworks.org		EIN 20-0445312	644 Memorial Dr	Atlanta	GA	30312	USA	Children & Youth, Youth Development Programs	Providing children with scarce resources and little guidance with consistent, safe and well supervised enrichment activities and opportunities for personal growth.							
CARE (Cooperative for Assistance and Relief Everywhere)	http://www.care.org/	800-422-7385	EIN 13-1685039	151 Ellis St NE	Atlanta	GA	30303	USA	Economic Development, International, International Agricultural Development, International Development, International Economic Development, International Relief, Microfinance	CARE is a leading humanitarian organization dedicated to fighting poverty and social injustice. We place special emphasis on investing in women and girls because our six decades of experience show that their empowerment benefits whole communities. We know that when equipped with the proper resources, women have the power to help whole families and entire communities escape poverty.   Our mission is to serve individuals and families in the poorest communities in the world. Drawing strength from our global diversity, resources and experience, we promote innovative solutions and are advocates for global responsibility. We facilitate lasting change by:  Responding to natural disasters and emergencies, with an emphasis on meeting the needs of women, children and the elderly.  Helping improve the health  and save the lives  of pregnant women, new mothers and their babies.  Helping women access loans and start small businesses so they can provide for their families.  Helping girls around the world go to school and   working with communities to improve education for all children.  Delivering health and nutrition services to millions of children and their family members.	In fiscal year 2011, CARE worked in 84 countries around the world, supporting 1,015 poverty-fighting projects to reach almost 130 million people, over half of whom are women. This included providing emergency and disaster relief services and supplies to those in need, including more than 1.8 million women, children and families suffering from the famine and drought in the Horn of Africa.  In fiscal year 2011:  CAREs emergency preparedness, response and recovery programs reached nearly 12.5 million people, with special emphasis on the needs of those disproportionately affected by disasters: women, children and the elderly.  CAREs programs worked to reach nearly six million people with information and tools to promote gender equality and empower women to claim their rights. CAREs womens empowerment programs help women and men promote womens rights, provide solidarity and support groups for women, work to prevent sexual and gender-based violence, and ensure services and support for survivors of sexual and gender-based violence.    CARE worked to improve food security for 8 million people by providing nutritional support and promoting sustainable agriculture, and reached more than 26 million children and their family members with information and services to improve child health and nutrition.  CARE worked to help more than 7 million people improve their household income through increased access to financial and non-financial services, participation in village savings and loan associations, market linkages and diversified livelihoods.      CAREs programs worked to provide more than 5 million people with improved access to school and better quality education.  CARE worked to reach 41 million women, men and children with information and services to improve maternal health.  Through health and social services, CARE worked to help more than 16 million people protect themselves from HIV, reduce stigma associated with the illness, and mitigate its negative economic impact.  CARE worked to help more than 27 million people develop sustainable water management practices and helped communities improve hygiene and sanitation practices.		In fiscal year 2011, CARE worked in 84 countries around the world, supporting 1,015 poverty-fighting projects to reach almost 130 million people, over half of whom are women.	CARE works with people in poor communities in the following regions: Africa Asia Eastern Europe Latin America and the Caribbean Middle East	 Agriculture and natural resources  Economic development  Education  Emergency relief  Health  HIV and AIDS  Nutrition  Water, hygiene and sanitation		
Dreams With Open Arms	http://www.dreamsfirst.org	404.981-8932	EIN 05-0612230	5134 King Arthur Ln	Ellenwood	GA	30294	USA	Homeless & Housing, Homeless Shelters	Giving the Gift of Independence through Education, Enrichment Exposure and Empowerment, .  Enhancing the quality of life.	Step Up & Be Safe has distributed 1,000s of condoms to teens and young adults in Georgia and South Carolina. We have received numerous proclamations while advocating for teen pregnancy prevention in the State of Georgia. For, two years 2013-2014 the Honorable James Baskett City of Decatur Mayor, Honorable Bobby Cartwright City of Lovejoy Mayor and Honorable Lee May CEO DeKalb County have signed on and fully support this very important cause.  In South Carolina 2013 Dreams with Open Arms launch Step Up & Be Safe campaign in Abbeville county resulting into hundreds of teens making sexually healthy choices.  In 2014 Dreams with Open Arms  received proclamations from the Honorable Nikki Haley Governor of the state of South Carolina, Honorable Sarah Sherwood Mayor of the City of Abbeville, Honorable Johnnie Waller Mayor of the  Town of Calhoun Falls, Precious Jewels Lodge 181 F&AM PHA, Brownlee 279 Order of the Eastern Star all supporting teen pregnancy prevention.  South Carolina State House of Representatives Craig Gagnon and Michael Gambrell adopted a resolution H5218 on the house floor to honor Dreams with Open Arms work in South Carolina.	young people ages 13-19	300 young people through our programs	Ellenwood, GA and Abbeville County SC	Step Up and Be Safe, Support Matters, Passionate Parenting, Challenges & Choice PSA, Let's Talk PSA and Jewels Leadership Academy.		
Circle of Hope	http://www.gacircleofhope.org	706-776-4673 	EIN 58-1766060	PO Box 833	Cornelia	GA	30531	USA	Community Service Clubs, Crime & Law, Domestic Violence, Family Violence Shelters, Homeless & Housing, Protection Against Abuse	To support, empower and bring hope to those affected by domestic violence through advocacy, awareness, education, and community partnerships.		Victims of domestic violence and their children.	Approximately 1,000 adults and their children	Habersham, Stephens and White Counties	Crisis Line Emergency Shelter Community Based Services for families not in shelter Legal Advocacy Financial Assistance Transitional Housing Supportive Housing Prevention Education and Outreach		
Children Without a Voice USA	http://www.cwavusa.org	404-474-4020	EIN 26-2963377	P.O. Box 4351	Alpharetta	GA	30023	USA	Child Abuse Prevention, Crime & Law, Domestic Violence	Children Without a Voice USA is dedicated to raising awareness and preventing crimes against children, child abuse and neglect through advocacy and education.	A recent study of CWAV's activity proved that 85% of students had learned from our classes an recommended them to others.	High Risk and all prospective parents and elementary students.	2,000 students (bullying) 240 pre school children 1200 adults for abuse prevention	Nationwide	Parenting classes on Abusive Head Trauma prevention, Bullying classes to elementary students and Good Touch/Bad Touch to k-6th grade.		
