name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs
Women's Aglow Fellowship	http://www.aglow.org/		EIN 93-0878125	PO Box 23365	Barrigada		96921		Christianity, Religion	Aglow International is an intercultural transdenominational organization of Christian women with more than 3,500 fellowships in more than 151 nations. Our mission is to lead women to Jesus Christ and provide opportunity for Christian women to grow in their faith and minister to others. Aglow's vision to impact the lives of women worldwide is expressed in the strategic focuses of: Prayer, Evangelism, Relationship, and Reconciliation.					
Vietnam Veterans Of America Inc	http://		EIN 94-3174748	Po Box 5638	Hagatna	GU	96932	USA							
Korean Baptist Church Of Guam	http://		EIN 66-0485920	Po Box 24835	Barrigada	GU	96921	USA							
Gpha - Guam Pharmacists Association	http://		EIN 66-0848305	136 Kayen Chando	Dededo	GU	96929	USA							
Watch Tower Bible And Tract Society Of Guam	http://		EIN 54-2106676	143 Jehovah St	Barrigada	GU	96913	USA	Christianity, Religion						
Guam Korean Buddhist Association	http://		EIN 66-0571056	Po Box 11168	Tamuning	GU	96931	USA	Buddhism, Religion						
Guam Ultimate For All	http://		EIN 66-0818053	Po Box 753	Hagatna	GU	96932	USA	Amateur Sports Competitions, Sports						
Guam Educational Radio Foundation	http://		EIN 66-0486921	Uog Station	Mangilao	GU	96923	USA	Arts & Culture, Radio						
Xokiahi Cares, Inc	http://www.xokiahicares.org	671-787-3622	EIN 45-4992580	221 Farenholt Avenue Suie 202	Tamuning	GU	96913	USA		Mission statement: The mission of Xokiahi Cares is to empower the residents of their respective communities, to build, uplift, and nurture it. Xokiahi Cares promotes the building of a foundation for residents through our womens' program, feeding program, volunteer beautificationprojects, and community support. We want residentsto not only improve their community but to show pride and accomplishment through teamwork.		the local community	By serving over 1500 meals to the local community	Guam	Carers' Kitchen, XC & Friends 4 Life, For the Love of My Sister, Angel's Heart Bags,
Micronesian Conservation Coalition	http://		EIN 66-0839975	181 E Marine Corps Dr Ste 207	Hagatna	GU	96910	USA	Environment, Natural Resources Conservation & Protection						
Internaitonal Association Of Fire Fighters	http://		EIN 66-0569222	Po Box 22228	Barrigada	GU	96921	USA							
Air Force Sergeants Association	http://		EIN 98-0043814	Po Box 4325	Yigo	GU	96929	USA							
Evergreen Presbyterian Church	http://		EIN 66-0540412	Po Box 25666	Gmf	GU	96921	USA	Protestant, Religion						
Guam Museum Foundation Inc	http://		EIN 66-0670817	Po Box 518	Hagatna	GU	96932	USA	Arts & Culture, Museums						
Guahan Baptist Church	http://		EIN 66-0764242	109 N Paulino Heights Rd	Talofofo	GU	96915	USA	Protestant, Religion						
Pop Warner Little Scholars, Inc.	http://		EIN 94-3246063	113 Cadena De Amor Ln	Mangilao		96923		Football, Recreation & Sports, Sports	Pop Warner Little Scholars' mission is to inspire youth, regardless of race, creed, religion or national origin, and to practice the ideals of sportsmanship, scholarship, and physical fitness, as reflected in the life of the late Glenn Scobie "Pop" Warner.					
Habitat For Humanity International Inc	http://www.habitat.org		EIN 66-0578340	P O Box 22511 Gmf	Barrigaoa		96921		Christianity, Homeless & Housing, Housing Development, Construction & Management, Religion	Habitat for Humanity is a nonprofit, ecumenical Christian housing ministry dedicated to eliminating substandard housing and homelessness worldwide and to making adequate, affordable shelter a matter of conscience and action. Habitat invites people from all faiths and walks of life to work together in partnership, building houses with families in need.					
Military Order Of The Purple Heart Of The Usa	http://		EIN 66-0703073	Po Box 315816	Tamuning	GU	96931	USA							
Guma Guam Unique Merchandise Art Inc	http://		EIN 66-0798103	135 Chalan Santa Papa 2nd Floor	Hagatnag	GU	96910	USA	Arts & Culture, Arts & Humanities Councils & Agencies						
National Sojourners Inc	http://		EIN 66-0528129	999 S Marine Corps Dr	Tamuning		96913								
Guma Yu Us Bautista Unibetsiha	http://		EIN 73-1630351	PO Box 26552	Barrigada		96921								
Nichiren Shoshu Academy Marianas Chapter	http://		EIN 23-7445298	68 Y Sengsong Rd	Dededo	GU	96912	USA							
National Active And Retired Federal Employees Association	http://		EIN 66-0480334	118 Dama De Noche Ln	Mangilao	GU	96913	USA							
Sons Of Saipan	http://		EIN 66-0848128	Po Box 1392	Hagatna	GU	96932	USA	Disaster Aid						
Pacific Asia Travel Association Micronesia Chapter Inc	http://		EIN 66-0833800	Po Box 23217	Barrigada	GU	96921	USA	Chambers of Commerce & Business Leagues						
Staywell Foundation Inc	http://		EIN 66-0853864	430 W Soledad Ave	Hagatna	GU	96910	USA	Human Service Organizations						
Central Full Gospel Church Of Guam	http://		EIN 66-0552741	Po Box 11601	Tamuning	GU	96931	USA	Protestant, Religion						
Flame Treefreedom Center Inc	http://		EIN 66-0729416	Hc 1 Box 17500	Inarajan	GU	96915	USA	Human Services						
American Federation Of Teachers	http://		EIN 94-1556462	5525 Panama Ave	Richmond	CA	94804	USA							
Yigo Church Of Christ	http://		EIN 66-0552306	548 Chalan Padiron Rt 15	Yigo	GU	96929	USA	Christianity, Religion						
GUAM COALITION AGAINST SEXUAL ASSAULT AND FAMILY VIOLENCE CORP	http://		EIN 66-0686587	PO Box 1093	Hagatna		96932		Education, Educational Services						
Micronesia Community Development Corporation	http://		EIN 66-0646096	Po Box 27658	Barrigada	GU	96921	USA	Family Services						
Guma Mami	http://		EIN 98-0055958	Po Box Fn	Hagatna	GU	96932	USA	Homeless & Housing, Housing Development, Construction & Management	GUMA' MAMI, INC. MISSION IS TO FACILITATE THE FULL INCLUSION AND INTEGRATION OF ADULTS WITH INTELLECTUAL AND OTHER DISABILITIES INTO THEIR COMMUNITIES THROUGH INDIVIDUAL AND FAMILY SUPPORTS.					
Guam First Baptist Church	http://		EIN 66-0515186	Po Box 8319	Tamuning	GU	96931	USA							
Friends Of The Crime Lab Inc	http://		EIN 66-0714243	260 Club House Dr	Yona	GU	96915	USA	Education						
Pop Warner Little Scholars Inc	http://www.popwarner.com/		EIN 66-0601184	PO Box 2704	Hagatna		96932		Football, Recreation & Sports, Sports	Pop Warner Little Scholars' mission is to inspire youth, regardless of race, creed, religion or national origin, and to practice the ideals of sportsmanship, scholarship, and physical fitness, as reflected in the life of the late Glenn Scobie &quotPop&quot Warner.					
Inetnon Gef Pago Cultural Arts Program Inc	http://		EIN 66-0758329	Po Box 6004	Merizo	GU	96916	USA	Arts & Culture						
Episcopal Church Of St John The Devine	http://		EIN 66-0502325	Po Box 7350	Tamuning	GU	96931	USA							
Guam Evangelical Holiness Church	http://		EIN 66-0673438	111 Chalan Balako Pmb 661	Dededo	GU	96929	USA	Protestant, Religion						
Maria Artero Catholic Preschool And Regional Treasurer	http://		EIN 66-0637992	161a Sunset Dr	Agana Heights	GU	96910	USA							
Infant Of Prague Nursery And Kindergarten Inc	http://		EIN 66-0544053	211 Fr San Vitores St	Perezville Tamuning	GU	96913	USA							
Able Industries Of The Pacific	http://		EIN 66-0524297	Po Box 326369	Hagatna	GU	96932	USA	Job Training, Vocational Rehabilitation						
Distributive Education Clubs Of America	http://		EIN 98-0036634	275 Farenholt Ave Ste 271	Tamuning		96913								
Pd Hemlani Foundation Ltd	http://		EIN 66-0769916	Po Box 315296	Tamuning	GU	96931	USA	International, International Relief						
First Church Of God	http://		EIN 98-0077449	Po Box 20850	Gmf	GU	96921	USA							
Victory Chapel Inc	http://		EIN 98-0065009	Po Box 20688	Barrigada	GU	96921	USA	Christianity, Religion						
Hu Nae Hao Kanta Inc	http://		EIN 98-0503688	Po Box 1195	Hagatna	GU	96932	USA	Arts & Culture, Singing & Choral Groups						
Glory And Freedom Ministries	http://		EIN 66-0788450	535 Chalan Pale Ramon Haya Ste 116	Yigo	GU	96929	USA	Christianity, Religion						
Island Success Through Learning	http://		EIN 66-0733345	Pmb 617 535 Chalan Pale Ramon Haya	Yigo	GU	96929	USA	Education						
Assembly Of God Agat Guam Christian Life Center A Religous Organizati	http://		EIN 98-0058629	Po Box 7012	Agat	GU	96928	USA	Christianity, Religion						
Calvary Baptist Church	http://		EIN 96-0001172	1196 N Marine Corps Dr	Tamuning	GU	96913	USA							
Guam Baptist Association	http://		EIN 66-0677722	1196 N Marine Corps Dr	Tamuning	GU	96913	USA							
Guam Humanities Council Inc	http://		EIN 66-0478133	111 W Chalan Santo Papa Ste 711	Hagatna	GU	96910	USA	Arts & Culture, Arts, Culture & Humanities, Humanities	TO PROMOTE PUBLIC UNDERSTANDING AND APPRECIATION OF THE HUMANITIES, TO FOSTER PUBLIC AWARENESS AND USE OF THE DISCIPLINES OF THE HUMANITIES AND TO DEMONSTRATE THE IMPORTANCE AND EFFICACY OF SCHOLARSHIP IN THE HUMANITIES IN THE CONTEMPORARY SOCIETY.					
National Air Traffic Controllers Association	http://		EIN 98-0104248	1775 Admiral Sherman Blvd	Barrigada	GU	96913	USA							
Ericas House	http://		EIN 66-0734861	Po Box 21263	Barrigada	GU	96921	USA	Victims Services						
Sanctuary Inc	http://		EIN 96-0002543	406 Maimai St	Chalan Pago	GU	96910	USA	Children & Youth, Crime & Law, Youth Violence Prevention	SOCIAL SERVICE					
Ja Worldwide Inc	http://		EIN 98-0098267	Ste 510 Wgcic Building	Hagatna	GU	96910	USA	Education, Scholarships, Scholarships & Student Financial Aid						
Tbs Complete Enlightenment Temple Inc	http://		EIN 66-0755567	1023 N Marine Dr Ste B-5	Upper Tumon	GU	96913	USA	Buddhism, Religion						
Father Duenas Memorial School Endowment Foundation Inc	http://		EIN 66-0789257	231 Ypao Rd Ste 101	Tamuning	GU	96913	USA	Education						
Guam Buddhism Society	http://		EIN 98-0085979	Po Box 21027	Barrigada	GU	96921	USA	Buddhism, Religion						
International Reading Association Inc	http://		EIN 23-7023468	PO Box 325691	Hagatna		96932								
Marianas Baptist Church	http://		EIN 98-0084843	Po Box 7740	Agat	GU	96928	USA							
New Heaven Church Inc	http://		EIN 66-0770192	Pmp 685 1270 N Marine Corps Dr Ste	Tamuning	GU	96931	USA	Christianity, Religion						
Mercy Heights Nursery And Kindergarten Inc	http://		EIN 66-0544104	211 Fr San Vitores St	Perezville	GU	96913	USA							
Catholic Daughters Of The Americas	http://		EIN 66-0787745	124 E Papaya Ct	Dededo	GU	96929	USA							
Korean Evangelical Church Of Guam	http://		EIN 66-0694561	Po Box 10916	Tamuning	GU	96931	USA	Christianity, Religion						
International Association Of Lions Clubs	http://		EIN 66-0852303	Po Box 7800	Agat	GU	96928	USA							
Guam Sailing Federation	http://		EIN 66-0610484	Po Box 2297	Hagatna	GU	96932	USA	Amateur Sports, Sports						
Businesswoman Of The Year Inc	http://		EIN 66-0720680	400 Route 8	Maite	GU	96910	USA	Education, Scholarships, Scholarships & Student Financial Aid						
God Is Love Ministries In Guam	http://		EIN 66-0653634	Po Box 11936	Yigo	GU	96929	USA							
Big Brothers Big Sisters Of Guam	http://www.bbbsa.org		EIN 94-3365012	Po Box 3131	Hagatna	GU	96932	USA	Big Brothers & Big Sisters, Children & Youth	Our philosophy revolves around a belief that sharing, caring and listening to a child's concerns can make a positive difference. We also know that the increasingly complex demands of today's society can be addressed with sensitivity and simplicity through a mentor relationship. Programs such as ours provide additional support to the family structure, helping children grow into healthy and productive adults.					
Gca Trades Academy Inc	http://		EIN 66-0682811	718 N Marine Corps Dr Ste 203	Tamuning		96913		Education, Vocational & Technical Schools						
Indwelling Ministries	http://		EIN 66-0736600	Po Box 26893	Barrigada	GU	96921	USA	Protestant, Religion						
Knights Of Columbus	http://		EIN 31-0669541	470 Country Club Dr	Xenia	OH	45385	USA							
Castle Zion Church Inc	http://		EIN 66-0730694	Po Box 26637	Barrigada	GU	96921	USA	Protestant, Religion						
Elim Pacific Ministries	http://elimpacific.net	1-671-646-4601	EIN 66-0613185	556 E Marine Corps Dr Ste	Hagatna	GU	96910	USA	Crime & Law, Half-Way Houses for Offenders & Ex-Offenders, Job Training, Mental Health, Protestant, Religion, Substance Abuse Treatment, Vocational Counseling	EMPOWER Pacific Islanders LOVE people in practical ways makes miracles happen INCUBATE dreams and initiatives that look like Heaven MOBILIZE ministers who make a difference in the world  Oasis exists to empower people and especially women to live their destiny, overcoming barriers that have trapped them. Pacific Islander women stuck in poverty and abuse can find freedom and a new life as inner healing and trauma therapy are provided.	2002 Elim Pacific Ministries was incorporated:  2002 Zion Fellowship begins village outreaches to poor.  2004 Oasis Empowerment Center established and assists over 100 women annually to find freedom from addictions and are helped to start living a new life. 2005 The Second Chance Shop is opened in Dededo 2005 Ready2Work is established to empower individuals with disabilities to become ready for employment.  2006 Oasis moves to UIU Building and receives a special award as Non-Profit of the Year from the National Association of Social Workers 2007 Receives $125,000 HUD grant  Continuum of Care funding to open the Transitional Housing Project 2008 Creates OPEN Prevention Coalition  2010 Completes Real Stories Guam Alcohol Prevention Project. 2011 Moves to East Hagatna 2011 Receives a 2 year Grant from HUD to establish the SAM Permanent Supportive Sober Living Home for women.  2012 Rape Prevention Project exceeds outreach goals.  2012 Hidden Treasures Boutique opens to help women move into greater levels of empowerment over addiction, and poverty. 2012 Empowered Together Project scheduled to open to serve women with children in Recovery	Pacific Islander Women, women with children, victims of human trafficking, individuals with disabilities.	95 in outpatient and inpatient programs, over 100 in rape prevention outreach	GUAM, MARIANA ISLANDS, WESTERN PACIFIC ISLANDS, PACIFIC RIM	Case Management, Job Training, Supported Employment, Microenterprise, Counseling, Trauma Therapy
Lend-A-Hand Inc	http://		EIN 98-0085071	238 Archbishop Flores Street	Agana	GU	96910	USA							
Beautiful United Church	http://		EIN 66-0613682	Po Box 22317	Barrigada	GU	96921	USA	Christianity, Religion						
Guam Sports Events Incorporated	http://		EIN 66-0825002	210 Pale San Vitores Rd	Tamuning	GU	96913	USA	Amateur Sports, Sports						
National Association Of Social Workers Inc	http://		EIN 91-2107185	Po Box 2123	Hagatna	GU	96932	USA							
Guam Animals In Need Inc	http://		EIN 66-0457503	Po Box 22365	Gmf Barrigada	GU	96921	USA	Animal Protection & Welfare, Animals						
Mercy Action Marianas Ltd	http://		EIN 66-0631865	211 San Vitores St Perezville	Tamuning	GU	96913	USA							
Guam Church Of Resurrection	http://		EIN 98-0104816	Po Box 26443	Barrigada	GU	96921	USA	Protestant, Religion						
Jesus Lord Of The Harvest Ministrie S International Inc	http://		EIN 94-3228795	Po Box 21557	Barrigada	GU	96921	USA	Christianity, Religion						
Guam Legal Services Corporation	http://		EIN 98-0046988	113 Bradley Pl	Hagatna	GU	96910	USA	Human Service Organizations						
Guam Sexual Assault And Abuse Resource Center	http://		EIN 66-0706890	133 Lagoon Dr	Tamuning	GU	96913	USA	Mental Health, Sexual Assault Services						
Guam Education Financing Foundation Inc	http://	(404) 504-2772	EIN 66-0652247	138 Archbishop Flores St Pdb 1008	Hagatna	GU	96910	USA	Community Improvement & Capacity Building	Operate by holding title to schools to be constructed for the benefit of and leased to the government of guam.					Develop and maintain liguan elementary school, astumbo middle school, okkodo high school and adacao elementary school.   administrative services provided for the creation of guam education financing foundation ii, inc. A 501(c)(4) organization that will operate for the social welfare of the residents of guam by holding title to schools to be constructed for the benefit of and leased to the government of guam.
Church Of Christ Of The Territory Of Guam	http://		EIN 98-0046301	Po Box 883	Aguna	GU	96932	USA	Christianity, Religion						
Guam Facilities Foundation Inc	http://	(671) 646-5739	EIN 98-0031619	Po Box 3457	Hagatna	GU	96932	USA	Homeless & Housing, Housing Development, Construction & Management	To develop and construct simple, decent, affordable houses for persons in need and the fostering of low income housing.					
Christian Conciliation Service Guam	http://		EIN 66-0518611	Po Box 3267	Hagatna	GU	96932	USA	Religion, Religion-Related						
Guam Korean Buddhist Temple	http://		EIN 98-0213387	Po Box 24471	Barrigada	GU	96921	USA	Buddhism, Religion						
Toastmasters International	http://		EIN 90-1006674	116 Kayen Jose Untalan	Dededo	GU	96929	USA							
Yoido Full Gospel Church Guam Inc	http://		EIN 66-0648531	181 Summerville Dr Apt 1009	Tamuning	GU	96913	USA	Protestant, Religion						
Chen-Yung Memorial Foundation Inc	http://		EIN 98-0450934	330 Hernan Cortez Ave Ste 200	Hagatna	GU	96910	USA	Homeless & Housing, Housing Development, Construction & Management						
The Japanese School Of Guam	http://		EIN 66-0450948	170 Terao St	Mangilao	GU	96913	USA	Education, Secondary & High Schools						
