name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	 	
Oklahoma Halfway House	http://	(405) 232-0231	EIN 73-0766287	517 Sw 2nd St	Oklahoma City	OK	73109	USA		To assist offenders in re-entry into the community by identifying the special needs and problems of each resident who returns from incarceration and provide residential services for a positive transition to community life.	Assist residents to ensure their successful reintegration into society by reducing recidivism and by facilitating their independence. The organization received government contract awards from the u. S. Bureau of prisons for $1,378,784 and the department of corrections for $611,785.						
Mindys Memory Primate Sanctuary Inc	http://www.mindysmem.org	(405) 824-2954	EIN 73-1522989	2205 Sw 24th St	Newcastle	OK	73065	USA	Animal Protection & Welfare, Animals, Protection of Endangered Species, Wildlife Preservation & Protection, Wildlife Sanctuaries	To provide a healthy, safe, and humane environment for any monkeys needing care and treatment who are either former pets, from closing zoos, or retired from reasearch. We accomplish this by providing appropriate housing, psychological enrichment, a healthy daily diet, and medical care.	Provided permanent caring home for primates in need.						
John 3 16 Mission	http://www.john316mission.org	(918) 587-1186	EIN 73-0744834	575 N 39th West Ave	Tulsa	OK	74127	USA	Homeless & Housing, Homeless Centers, Human Services	John 3:16 mission's foundational purpose is a)to provide food, shelter, clothing and recovery services to people who are homeless, and, b) to prevent homelessness from occurring amoung at-risk or disadvantaged people. John 3:16 mission conducts all activities according to definitive christian values of faith, love and charity for all and openly expresses these beliefs and values.	The family ministries center seeks to facilitate, in christ's name, family and community, and by doing so, to meaningfully reduce the number of homeless living in tulsa. Family ministries meets the physical, spiritual and emotional needs of those who are facing hardships or possibly at-risk of becoming homeless. Daily programs aid in crisis relief by providing food, clothing, furniture, vehicles and utility assitance. Along with daily programming, family ministries serves the community by hosting an annual clothes for kids back to school festival to prepare children to go back to school with confidence; a thanksgiving food basket distribution to ensure all families have a thanksgiving meal, and monthly biblically based life skill classes. Accomplishments in service to families in 2013: over 6,000 food baskets distributed; over 40,000 articles of clothing and 700 pieces of furniture distributed; and $13,000 dollars distributed for utility assistance  men's recovery program: the creation life skill's program is a christ-centered, live-in recovery program to assist men who are willing to make a serious commitment to life transformation. Approximately 70 students participate in the program, live at the mission and are provided three hot meals a day. The recovery program offers counseling, life skill classes, bible studies, work programs, and recreational activites all in the hope of walking them through the process of healing and life change. Those men who apply themselves and trust god to work in their lives will leave the new life creation life skills program a restored human being, ready to live, work and worship independently.   the kitchen served approximately 150,000 meals to homeless people and men in the creation of life skills program. We also store and give out the food that is donated through different programs.						
Leadership Oklahoma City Affiliated Fund Of The Oc City Community Fnd	http://		EIN 73-1461684	Po Box 1146	Oklahoma City	OK	73101	USA	Leadership Development								
Grace Bible Fellowship	http://		EIN 73-1157004	Route 1 Box 58c	Calumet	OK	73014	USA									
Christian Science Association Of Pupils Of Mrs Betty Ann Ridley Csb	http://	(405) 848-9435	EIN 73-1348476	3007 United Founders Blvd	Oklahoma City	OK	73112	USA	Christianity, Religion	Religious education	Members and guests are invited to an annual meeting for which the purpose is to encourage the theology and further understanding of christian science. Approximately 200 people attend the annual meeting.   printed copies of the lectures and addresses are presented at the annual meeting along with other relevant material and recorded media items are distributed throughout the year. Approximately 725 copies of lectures were sold.						
Association For Media-Based Continuing Education For Engineers	http://		EIN 51-0195060	512 Engineering N	Stillwater	OK	74078	USA	Technology								
Rivergate Church Inc	http://		EIN 73-1175160	1439 E 71st St	Tulsa	OK	74136	USA									
Institute for Environmental Innovation	http://		EIN 73-1610432		Tulsa	OK	74159	USA									
Wings Special Needs Adult Community	http://www.wingsok.com	(405) 242-4646	EIN 20-1141382	Po Box 2095	Edmond	OK	73083	USA	Developmentally Disabled Centers, Disabilities	Special needs adult programs and education.	Provide a safe and protected facility and caring environment to further educate adults with special needs.   daily programs and skills classes						
Peppers Ranch	http://www.peppersranch.com	405-348-8333	EIN 73-1608380	P.O. Box 3814	Edmond	OK	73034	USA		Peppers Ranch seeks to "break the cycle" of child abuse and neglect through housing, counseling and growth oriented activities. By creating a network of caring adults on whom children can depend, Peppers Ranch is committed to providing a safe environment where physical and emotional wounds can heal.	Tutoring, Art Therapy, Horse Riding Program, Literacy Program, Nutrition Program  and 4-H	Peppers Ranch seeks to break the cycle of abuse and neglect. While loving homes are the most important thing we provide, we also place a strong emphasis on improving educational outcomes. With only 50% of foster kids earning their high school diploma, we provide tutoring to assist the children in catching up with their same age peers. To date, any young person who has spent at least a year at Peppers Ranch (except one young man) has graduated with their high school diploma. We currently  have one young man in the military serving in Afghanistan and four enrolled in college for the fall. Our children are notorious for earning "Student of the Month" in elementary school. Our parents model a healthy family system so the children learn appropriate parenting skills and relationship skills with a spouse. Our program has been so successful that we are in the process of building 3 additional homes to open in the fall of 2011.	Children in foster care ages birth to age 18 when they age out. After care program follows the kids that age out into early adulthood.	Children in Oklahoma Foster Care and those that have aged out. We currently assist 40 young people ages 6 months to 21 years old.	Oklahoma		
Edgemere Park Preservation Inc	http://		EIN 51-0193932	Po Box 54655	Oklahoma City	OK	73154	USA									
Dillon International Inc	http://www.dillonadopt.com	(918) 749-4600	EIN 73-1078800	7335 S Lewis Ave Ste 302	Tulsa	OK	74136	USA	Adoption, Children & Youth, International, International Relief	To assist families in the adoption of children, post adoption services for adoptees, and humanitarian aid for at risk children.	Adoption services of 99 children placed with families.   post adoption services for heritage camps,birthland tours and birth search program.   humanitarian aid - provide aid to schools, food, and medical care.						
Bethesda Inc	http://bethesdaok.org	(405) 321-3026	EIN 73-1170216	1181 E Main	Norman	OK	73069	USA	Mental Health, Mental Health & Crisis Intervention	See stm	Bethesda, inc. Was founded to provide psychotherapeutic treatment programs for victims, families, and adult survivors. Bethesda is the only center dedicated exclusively to comprehensive treatment of sexually abused children.						
Bodine Home and School Association	http://		EIN 47-1455434	5301 S Bryant Ave	Oklahoma City	OK	73129	USA	Education, Parent & Teacher Groups								
OK Save A Dog	http://www.oksaveadog.org		EIN 87-0692917	990214 S 3580 Rd	Prague	OK	74864	USA	Animal Protection & Welfare, Animals	We take dogs on death row who have no other option but euthanasia. We spay/neuter and do any vet work needed before finding loving lifelong homes. We have a tough screening process to make sure dog and family will be happy with each other. Educate the public about the importance of S/N and pay for spay/neuter in dogs owners cannot afford.		Have saved over 6000 dogs in 11 yrs.  about 5-600 per year.  NO wages paid no administration costs 100% of donations goes to the dogs. One non paid volunteer	Dogs in kill pounds. Who have no other future except us	600 dogs and 600 families			
Safe Haven Canine Rescue And Humane Society	http://		EIN 59-3795235	824 N Poplar Ln	Oklahoma City	OK	73130	USA	Animal Protection & Welfare, Animals	Animal rescueto take in, administer treament to and provide placement for displaced animals as well as a spay and neutering program for the city.	Provide medical services for abandoned animals and place them inhomes. Also to spay and neuter pets for the city						
Muskogee Regional Medical Foundation	http://	(918) 684-2297	EIN 73-1320000	Po Box 1247	Muskogee	OK	74402	USA	Ambulatory & Primary Health Care, Health	To benefit the health and well being of muskogee and surrounding community.	Support to various medical institutions.						
Lmsarcoma Direct Research Foundation	http://lmsdr.org	6509228762	EIN 87-0763851	P.O. 52697	Tulsa	OK	74105	USA	Health	LMSdr funds LMS specific research, advocates for promising research, provides patient education and support, collaborates with other organizations and is a voice for the LMS community.  We are the bridge between researchers and LMS patients.	Providing patient education, support and funding of promising LMS research.	We have raised over 1 million dollars for research.  Please see our website for the grants we have awarded.	patients with leiomyosarcoma (LMS)	2000 LMS families	world-wide		
Kappa Kappa Psi Fraternity	http://		EIN 51-0202236	Po Box 849	Stillwater	OK	74076	USA									
Madill P H Church	http://		EIN 58-1790004	500 N 1st St	Madill	OK	73446	USA									
Hope Academy Emp	http://tulsahope.org	(918) 398-8192	EIN 20-2464652	1007 S Main St	Tulsa	OK	74119	USA	Children & Youth, Education, Elementary & Secondary Schools, Literacy, Public & Societal Benefit, Secondary & High Schools, Youth Development Programs	Help at-risk students become productive members of society through personal education and reduce number of high school dropouts by reaching out.	Provided education services to over 100 students that were failing, suspended, or expelled from traditional school systems.						
Fight Against Breast Cancer	http://fightagainstbreastcancer.org	9189551463	EIN 27-3862972		Catoosa	OK	74015	USA	Breast Cancer	Contribute to the Fight.Our objective is to aid those who are less fortunate with breast cancer. We are dedicated to are time and services to help the less fortunate people with breast cancer get the donations they need.		Products:    Fight Against Breast Cancer, wants to rise the awareness. We are a NonProfit 501 (c) 3 That this organizations does Charity,Fund-raising, And Donation	Our site we are exists to meet the needs of its members, and to help those members there need in times   We come together as a community of believers. We support one anothers values and beliefs. We nurture the faith of our members in a variety of ways including  breast cancer programs, education for All ages with Disabilities get help on thing they need.				
Iiao Insurance Foundation	http://	(405) 840-4426	EIN 73-1317684	Po Box 13490	Oklahoma City	OK	73113	USA		Provide educational and charitable services to professional insurance agents in the insurance industry.	Providing education and charitable services to professional insurance agents in the insurance industry.   to provide scholarships for continuing education in the field of insurance.						
Ozarks Corporation For Innovation Development	http://	(580) 924-5094	EIN 73-1146048	Po Box 1335	Durant	OK	74702	USA	Microfinance, Small Business Development	Provide development capital in the form of loans which may be used as a basis to leverage additional public and private resources necessary to establish or expand small business firms	To provide loans to small businesses under usda & eda loan programs.						
J ROY DUNNING CHILDRENS SHELTER	http://	(580) 357-6263	EIN 73-0975683	PO Box 2622	Lawton	OK	73502	USA	Group Homes, Human Services	Care for displaced children	Operate the j roy dunning children's shelter which provides care for children temporarily displaced from the home  provides emergency foster care/food shelter for displaced children						
Mark Lavine Ministries	http://		EIN 36-4138620	1410 Orchard Dr	Grove	OK	74344	USA									
Combat Team Ministries	http://	(918) 812-5738	EIN 73-1525248	6702 E 87th Pl	Tulsa	OK	74133	USA	Christianity, Religion	Teachings of the lord	An evangelistic outreach combining martial arts, drama and music to reach the youth of today, to dsicipline them in the ways of god.						
Hope Harbor Inc	http://www.hopeharborinc.org		EIN 73-0623050	Po Box 1047	Claremore	OK	74018	USA	Children & Youth, Children & Youth Services, Group Homes	Restoring hope and equipping children and families for lives with meaning and purpose	Residential group care, school and counseling						
Rebuilding Together Oklahoma City, Inc.	http://www.rebuildingtogetherokc.org	405-607-0464	EIN 73-1450790	730 W Wilshire #108	Oklahoma City	OK	73116	USA	Home Improvement & Repairs, Homeless & Housing, Housing & Shelter, Housing Rehabilitation	Rebuilding Together began as Christmas in April began in 1973 in Midland, TX, where some local community leaders and volunteers assisted a neighbor in need by rehabilitating her home. The program spread, and Christmas in April USA was founded in 1988 as a national organization, and now offers assistance to 245 affiliates across the country. We provide necessary repairs for low-income elderly homeowners at no cost to them.  The work is done primarily by volunteers (both skilled and unskilled).  Applicants must be 60 years of age, own their home and live in the greater OKC area.  We provide improvements they would never be able to make on their own.  We rebuild lives and neighborhoods, thus improving our community.	Spring Work Day, Year Round Program		In order to be eligible to receive free home repairs through Rebuilding Together OKC an individual must:  .  	Be 55 years of age or older. .  	Own and reside in their home with plans to remain in this home. . 	Be financially unable to make the repairs.		The greater OKC area; North to Danforth Road, South to SW 89th Street, East to Post Road and West to Countyline Road.		
Apex Usa Inc	http://	(580) 323-3555	EIN 73-1512766	Po Box 8	Clinton	OK	73601	USA	International, International Academic Exchange	The organizations primary exempt purpose is to promote,further and facilitate international understanding, friendship and cooperation between citizens of the united states and from countries throughout the world, through intercultural, educational and work/training opportunities.	Educational and work/training opportunities.						
Tulsa Day Center for the Homeless Inc	http://	918-583-5588	EIN 73-1557819	415 W Archer St	Tulsa	OK	74103	USA	Homeless & Housing, Homeless Shelters	PROMOTE SELF-SUFFICIENCY IN A SAFE ENVIRONMENT.					Tulsa area		
Sweet Adelines International	http://		EIN 52-1276296	6120 E 76th St	Tulsa	OK	74136	USA									
Horse Feathers Equine Center Inc	http://www.horsefeathersequinecenter.org	405-260-7281	EIN 20-5165544	PO Box 1372	Guthrie	OK	73044	USA	Animal Protection & Welfare, Animal Services, Animals, Children & Youth, Youth Development - Agricultural	The primary objective and purpose of this corporation shall be: to provide a humane alternative for abandoned, abused, unwanted, neglected, or slaughter bound horses; to provide medical care, food, gentling, training depending on individual circumstances allowing them to be potentially easier to adopt, provide shelter to horses in need of such care and to place these horses in caring homes where they can lead productive lives. When an animal is deemed be unable to be adopted out it will be placed in sanctuary to live out its life in a humane fashion. Our secondary purpose is to provide education to prospective horse owners, current horse owners, youth or any interested party seeking to educate themselves about horses, also to be referred to as equine, husbandry further helping to prevent horse/equine neglect and abuse. Although our primary focus is on horses/equine this organization shall not be limited to and if called upon shall allow other limited types of animals such as bovine, bison, and mammals not interfering with the State and Federal Wildlife laws.	Horse Feathers Equine Center is a 501(c)(3) non profit dedicated and committed to providing services to horses that are found to be in need of healthcare, nutrition, and rehabilitation. We will assist abused, neglected and slaughter-bound horses in need on a discretionary basis by rehabilitating, training, and placing them in a forever home.  Every horse we rehabilitate receives medical attention to address all immediate physical needs, and ongoing veterinary, farrier and alternative/holistic care where needed.  We utilize a tailored training program specific to each horse to help them realize their full potential, work within its limitations and work to address the issues that cruelty or neglect has left on their lives.  Our staff uses proven methods and techniques to help our horses become balanced, confident and as productive as possible. The ultimate goal is to find a forever, lifelong home that is a perfect fit for each horse and their adoptive family.  We strive to prevent future cruelty towards horses by educating the community on responsible equine husbandry through hands on instruction, clinics, and classes. Utilizing those not adoptable gives a second chance at a purpose and fulfilled life.  Those horses not adoptable into a loving forever home due to illness, age, or other circumstances will remain at the facility to live their lives out in a humane fashion. Those deemed able to participate, will be used to assist with EAGALA, Equine Assisted Therapy, helping those who come for issues such as PTSD, Trauma, Developmental Disorders, Drug & Alcohol issues, and any other Mental Health disorder.		rehab neglected and unwanted horses		Guthrie Oklahoma		
Cordell Public School Academic Foundation	http://		EIN 73-1358472	Po Box 171	Cordell	OK	73632	USA	Education, Elementary & Secondary Schools, Literacy								
The Griffin Promise Autism Clinic	http://www.thegriffinpromise.com		EIN 46-2661825	2552 E KENOSHA ST	Broken Arrow	OK	74014	USA			play therapy and training based on the award winning SonRise Program.		children and families affected by Autism	several families begin their journey	eastern Oklahoma		
Okmulgee-Okfuskee County Youth Services Inc	http://www.annemoroneyyouthservices.com	(918) 756-7700	EIN 73-1486908	1950 N Okmulgee Ave	Okmulgee	OK	74447	USA	Children & Youth, Crime & Law, Youth Violence Prevention	To shelter and improve the quality of life for children, youth and families in the corporations service area by addressing mental health needs through direct services of shelter, consultation, counseling and education.	Youth services - provide emergency shelter and related services, i. E. Counseling, recreation, etc. For youth, provides alternatives to detention services for community youths, provided community education and services.						
Oklahoma Association Of Area Agencies On Aging	http://	(918) 584-7526	EIN 73-1317252	2 W 2nd St Ste 800	Tulsa	OK	74103	USA			Administration of program to distribute grant money to 11 organizations for the purpose of distributing the money to providers of certain medical expenses, eyeglasses, hearing aids utility payments for residents of oklahoma that are 55 years or older.   administration of several educational programs for the elderly.						
Developmental Wings Inc	http://www.developmentalwings.com		EIN 26-1605836	103 Eastland Rd	Roland	OK	74954	USA	Human Services	Developmental Wings, Inc., is a non-profit corporation organized in the State of Oklahoma. The purpose for which the corporation has been formed is to provide customized educational, developmental, and advocacy programs for people with autism and developmental disabilities in under-served populations in eastern Oklahoma and western Arkansas.	Horse Riding Bowling Softball Field Trips Art and Music classes Wing Cadets (similar concept of boy scouts)	Each year we organize 5 -6 fundraising events to provide free recreational services to our clients	children (ages 3 -18) with autism and other developmental disabilities in eastern Oklahoma and western Arkansas.		Western Arkansas and Eastern Oklahoma		
Community Action Project of Tulsa County, Inc.	http://www.captulsa.org	918-382-3200	EIN 73-1019247	4606 S. Garnett Rd Ste 100	Tulsa	OK	74146	USA	Education, Family Services, Personal Social Services, Preschools	CAP Tulsa is a direct service agency providing high-quality early childhood education programs coupled with comprehensive parent support services as part of a two-generation approach to breaking the cycle of poverty. Our mission is to help families in need achieve economic self-sufficiency. Our vision for the future is that children grow up and achieve economic success so that their children are not born into poverty.	Early childhood education programs:the early childhood program provides early education services to income eligible children. Community action project of tulsa county, inc. 's (cap tulsa) flagship program promotes early childhood education by delivering a comprehensive high-quality school readiness curriculum addressing the educational, nutritional, health, social and emotional needs of low-income children ages birth to five. As the primary head start grantee for tulsa county, cap tulsa presently directly operates over 140 classrooms at 13 different sites strategically located throughout the city of tulsa and surrounding communities. In 2014, we served more than 2,200 children, ages birth to five, nearly all of which are from families living at or below the federal poverty lines. Additionally cap tulsa oversees operations with eleven partners throughout the state serving an additional 950 children. By combining best practices in early education and collaborative partnerships with area school districts, social services agencies, and healthcare practitioners, cap tulsa offers a range of services targeted to children and their families. These services include parental education, crisis intervention, medical and dental care, nutrition assistance, and instruction to children with special needs. Our program has been identified by the u. S. Department of health and human services as one of the most innovative in the country, and the majority of our preschool centers have achieved accreditation from the highly-regarded national association for education of the young child (naeyc).   social services and neighborhood development:community action project of tulsa county, inc. (cap tulsa) partners with family & children services to provide family support, parent education, crisis intervention and family counseling services. Cap tulsa also collaborates with the oklahoma state university center for health services to meet the health care needs of enrolled children, their parents and siblings. In total, our program has collaborative agreements with more than 20 different partners and providers of various supportive services.   housing:housing program provides housing and related services to income eligible individuals. Cap tulsa, through wholly owned subsidiaries and limited partnerships, provides low-income rental housing with 232 total units and 14 single family homes.						
American Bushido-Kai Karate Assn Ministry And Missions Inc	http://abkakarate.com	(918) 232-1168	EIN 20-3040118	Po Box 14288	Tulsa	OK	74159	USA	Christianity, Religion	The a. B. K. A. Exist to glorify god, to honor christ and to build up and expand the kingdom of god through evangelism and discipleship. Our work is benevolent ministry, global missions and developing christ-like character in our students.	The geber derek project was designed to collect enough funds to purchase a piece of land in guatemala on which to build a boy's ranch where underprivileged youth could be cared for in a christian environment. The land was purchased and subsequently donated to engadi ministries, inc. Who will build and staff the facility.   missions: missions funds were sent to alaska, guatemala, philippines, and for other domestic church missions  martial arts training and other						
Hope Center Of Tulsa Inc	http://		EIN 73-1340724	4010 W New Orleans St	Broken Arrow	OK	74011	USA	Family Counseling								
The Tristesse Grief Center Inc	http://		EIN 73-1619790	3930 E 31st St	Tulsa	OK	74135	USA	Counseling, Mental Health	Unresolved grief can devastate children, teenagers, and adults who do not have the tools to process their grief in healthy ways.							
Oakridge Ministries Inc	http://www.oakridgecamp.com		EIN 54-1615428	20007 State Highway 9	Anadarko	OK	73005	USA	Christianity, Religion	Oakridge ministries exists to provide summer camp, year-round retreats, and local ministry opportunities for people of all ages, with the goals of introducing each person to the saving grace of jesus christ, teaching each person the word of god, and providing christian ministry, recreation and fellowship experiences for everyone.	Oakridge ministries exists to provide summer camp, year-round retreats, and local ministry opportunities for people of all ages, with the goals of introducing each person to the saving grace of jesus christ, teaching each person the word of god, and providing christian ministry, recreation and fellowship experiences for everyone.						
Oklahoma City Community Foundation Inc	http://www.occf.org		EIN 23-7024262	Po Box 1146	Oklahoma City	OK	73101	USA	Community Foundations, Philanthropy	The mission of the Oklahoma City Community Foundation, a non-profit public charity, is to serve the charitable needs of its donors and the Oklahoma City area through the development and administration of endowment and other charitable funds with the goal of preserving capital and enhancing value. The mission will be fulfilled by pursuit of these goals:Provide convenient, efficient and effective ways through which donors can contribute assets to charitable purposes.Encourage donors to create funds that will benefit the community both now and in the future.Advocate for the development of endowment funds and provide appropriate means by which permanent endowment funds can be built and wisely managed to provide long-term support.Develop restricted and unrestricted community endowments which shall be used to develop, facilitate, coordinate and enhance services that meet the changing needs of the community.							
JBFC (Janada L. Batchelor Foundation for Children Inc)	http://www.jbfc-online.org	918-706-2268	EIN 20-5351345	PO Box 4541	Tulsa	OK	74159	USA	International, International Development	JBFC is dedicated to alleviating extreme rural poverty in Tanzania, East Africa. We take a holistic approach to change by providing refuge for abused and abandoned girls, primary, secondary and vocational education, access to healthcare, and economic development through agriculture.	refuge for vulnerable girls, primary and secondary education, access to healthcare, and economic development through agriculture.	In less than a decade, JBFC has gone from a handful of acres to a 70-acre holistic campus. We provide a home to 45 girls who were once abandoned and abused. We opened Joseph & Mary Schools in 2010, enrolling 300 primary and secondary students. Joseph & Mary Schools are ranked in the top 3.5% of schools in Tanzania. JBFC's farm now provides more than 400 pounds of produce a week. JBFC serves about 200,000 meals a year. More than 100 volunteers visit JBFC's campus every year.	alleviate extreme poverty	45 residential girls, 300 students, and employment for 70 people	Tanzania, East Africa		
RAIN Oklahoma	http://www.rainoklahoma.org	405.232.2437	EIN 73-1397513	5001 N. Pennsylvania  Suite 100	Oklahoma City	OK	73112	USA	AIDS, Health		RAIN Oklahoma's programs and services include: case management, HIV prevention education (general, workplace and youth and older adult peer education), nutritional counseling referrals, dental and eye care referrals, transportation assistance, housing and utility assistance, outreach, case management services for elderly and disabled individuals and free anonymous and confidential HIV antibody testing and counseling.	In November, we moved to a new location! This location is conveniently located on a major bus route with ample parking for clients. Fundraising efforts continue to offset the decrease in federal and private finding.	individuals with HIV and other chronic illnesses	1200 individuals	Central and Western Oklahoma		
Theatre Tulsa Inc	http://		EIN 73-0668093	Po Box 995	Tulsa	OK	74101	USA	Arts & Culture, Theater								
Womens International Bowling Congress Inc	http://		EIN 36-3360564	PO Box 542	Maud	OK	74854	USA									
Christian Womens Outreach Inc	http://		EIN 73-1460508	Po Box 364	Stillwater	OK	74076	USA	Christianity, Religion								
