name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Geographic areas served	Programs	Target demographics	Results	Direct beneficiaries per year	
The Spark Foundation	http://www.thesparkfoundation.org	616-742-9102	EIN 26-2073166	80 Ottawa Ave, Ste. 101	Grand Rapids	MI	49503	USA	International, International Development	The Spark Foundation is dedicated to providing resources to teachers throughout the world, whether those resources are as simple as adequate lighting in developing nations, or as complex as curriculum that meets United States Common Core Standards.	Rwanda, Kenya, Haiti	Sparkle A new clean water initiative beginning in Fall 2012 to provide families in Haiti with access to bacteria-free water				
Family Literacy Center	http://www.readlapeer.org	(810) 664-2737	EIN 38-2642247	Po Box 485	Lapeer	MI	48446	USA	Education, Job Training, Literacy, Remedial Reading & Encouragement	Tutoring of adults in reading, writing, spelling, and speaking english and providing skill building workshops for families.		Tutoring of adults in reading, writing, spelling and speaking english and skill building workshops for families.				
Wedgwood Christian Services	http://www.wedgwood.org	616.942.2110	EIN 38-1918221	3300 36th Street SE	Grand Rapids	MI	49512	USA	Children & Youth, Children & Youth Services, Human Service Organizations, Human Services, Mental Health, Mental Health Treatment, Youth Development Programs	Extending God's love to youth and families through professional counseling and educational services.	Michigan	innovative counseling and prevention programs, educational services and residential treatment programs.	at-risk children and families	Provided excellent services to 11,000 abused, neglected or at-risk children in our community.	11,000 children and their families	
Methodist Children's Home Society	http://www.mchsmi.org/	313-531-7462	EIN 38-1240951	26645 W 6 Mile Rd	Detroit	MI	48240	USA	Human Services, Residential Care & Adult Day Programs	To meet the physical, emotional and spiritual needs of the children in our care, develop personal, family and community relationships that will contribute to healthy opportunities for the children to reach their fullest potential, and to advocate on behalf of all children. Since 1917, our vision has been to care for children when nobody else could or would.	Redford, Michigan	adoption, foster care, residential treatment services, transitional housing, and literacy programs for abused and neglected children.	Children	In the past five years, more than 300 boys have come through the Children's Village. We fulfill a vital and challenging purpose within the state of Michigan by providing a broad range of services to children and families in crisis. Our clinical therapists provide treatment for our most vulnerable youth with the hope that one day they will be free from the pain and confusion caused by abuse and neglect. This care sparks hope and promise for a better future- for children and families, and ultimately the entire community.	73 boys in our residential home, facilitated 41 adoptions, and placed 141 foster children into families	
Kalamazoo Gospel Mission	http://kzoogospel.org		EIN 38-1877515	448 N Burdick St	Kalamazoo	MI	49007	USA	Congregate Meals, Food, Homeless & Housing, Homeless Shelters	To meet the physical, emotional, and spiritual needs of homeless men, women and children.						
La Isla Foundation	http://www.laislafoundation.org	(616) 676-9310	EIN 26-2384892	P.O. Box 816	Ada	MI	49301	USA	International, International Relief	By addressing the CKDu epidemic we will improve the lives of those affected by ensuring that governmental and corporate institutions respect and facilitate human rights, workers rights and public health standards. Engaging in direct action and highlighting institutional failures that have contributed to this public health crisis ensures that future generations are not affected. Since our founding, La Isla Foundation has been instrumental in researching the cause of the disease; coordinating communities, workers and researchers; and bringing respected international media attention to the CKDu epidemic. Our goal is to facilitate change in governmental and corporate policies making the health of workers and their communities a priority on both sides of the sugar and biofuel supply chain.  These Pillars are both our guiding principles and reflect our goals. 1)Facilitate research into the cause of the CKDu epidemic. 2)Organize and support workers, researchers, and communities. 3) Connect consumers, producers, and workers through coordination with international media and our own content production 4) Change government, industry, and consumer policy via legal avenues, certifications, and trade regulations while ensuring compliance with these future policy changes		Public health investigation research to find the cause of the CKDu epidemic. Community education including: public health, english and computation classes, alternative trade workshops, and after school programs.		-Completed prevalence study for La Isla and Candelaria communities -Renovated health clinic and primary school -Completed Knowledge, Attitudes and Practices Study -Completed initial Human Rights Study -Initiated feasibility study for potable water -Renovated a school building for use as a community learning center -Implemented English classes for primary school in La Isla -Supplied La Isla school library with books and computers -Built latrines throughout Guancastal Sur -Implemented computer classes for youth and adults in La Isla -Began after school sports and arts clubs in the primary school -Arranged speaking tours through the USA and Europe -Completed the demographic study and socioeconomic survey in La Isla -Initiated Compliance Study investigation		
Charity Music, Inc.	http://www.CharityMusic.org	586-247-7444	EIN 20-2155382	40736 Hayes Road	Clinton Township	MI	48038	USA	Arts & Culture, Music	Provide musical instruments to at risk, disadvantaged and homeless youth wishing to explore their hidden musical talents.	the Metro Detroit arae	the Musical Instrument Loan Program which provides musical instruments at no charge to individuals wishing to explore their hidden musical talents. In addition our Notes of Appreciation, Music for Our Military program provides musical instruments and live entertainment to VA Facilities nationwide.	cultivate the next upcoming crop of young artists	Over 200 donated instruments received in various stages of disrepair. Ongoing repairs in processat our newly occupied Donation and Volunteer Center in Clinton Township, MI.  Fundraising efforts continue to ensure timely repair and purchase of needed instruments.	Give the Gift of Music to over 400 individuals, and 5 schools.	
Michigan Coalition To End Domestic And Sexual Violence	http://www.mcedsv.org	(517) 347-7000	EIN 38-2460520	3893 Okemos Rd Ste B2	Okemos	MI	48864	USA	Human Services	The michigan coalition to end domestic and sexual violence (mcedsv) is dedicated to the empowerment of all the state's survivors of domestic and sexual violence. Our mission is to develop and promote efforts aimed at the elimination of all domestic and sexual violence in michigan. Our vision is to be michigan's catalyst for creating empowered and transformed individuals, communities, and societies committed to building a lasting legacy of equality, peace and social justice, where domestic and sexual violence no longer exists.		Domestic and sexual violence services, including: 1. Addressing the needs of survivors through public policy, public education, and social change: mcedsv provides expertise and education to policy makers and public officials on issues affecting survivors. Mcedsv ensures the voice of survivors and their loved ones are heard throughout the state. Mcedsv assists local and state law enforcement agencies to develop effective responses to domestic and sexual violence. (continued on schedule o) 2. Statewide leadership to enhance gender-based violence prevention efforts to promote comprehensive, community-based social change efforts to end domestic and sexual violence and build peaceful communities through the following projects: the delta project, the statewide prevention steering committee, and project connect. 3. Skill building training: mcedsv provided advanced and basic training or served as experts in more than 40 events, educating nearly 900 leaders, advocates, and community members on the prevention of domestic and sexual violence and intervention strategies for survivors. 4. Mcedsv technical assistance programs are delivered through the following projects: building the safety net project (bsn), nonprofit legal and management assistance program, and the michigan resource center on domestic and sexual violence.				
Super Ewan Inc	http://www.superewan.org	586-214-7788	EIN 47-1550768	57260 Decora Park Blvd	New Haven	MI	48048	USA	Community Foundations, Congregate Meals, Food, Homeless & Housing, Homeless Centers, Philanthropy	Super Ewan, Inc. is a 501(c)(3) non-profit organization that has devoted its energy to passionately advocating for the homeless, hungry and less fortunate people of Metro Detroit. We provide food, clothing, basic necessities and emergency support to those in need.	Metro Detroit	advocating for the homeless and needy	the homeless and needy	As of July 2015 we have helped over 1700 men, women and children with the basic necessities needed day to day. We have grown from one location in Detroit to two locations including one in Chesterfield, MI.	over 1200 less fortunate people	
Homeless Angels	http://www.homelessangels.org	844Imhomeless	EIN 37-1747160	5472 Oak Hills Dr	Eaton Rapids	MI	48827	USA	Human Services	Mission Statement  Rebuild and restore faith in humanity through innovative ideas, programs and events with the main goal of involving the community in REAL change for people that are homeless or at risk of homelessness.	Lansing Michigan, in the Magnuson Hotel 1650 s. Pennsylvania Ave. Lansing Michigan	emergency shelter, personal needs, clothing, food.  Working with other agencies in the community to transition them in to permanent housing, job training, benefits available, and GED.  We try to advocate them to get them the help they need.	the homeless and those in need in our area	Homeless Angels Statistics as of June 30.2016   On any given night, 1000 kids are left unsheltered. There are currently a total of 4500 homeless in Lansing.  1842 total number of emergency shelters 1378 total families helped with food 98047 total diapers provided 3790 number of children helped 764 home owners created 812 total clothing vouchers		
Power Company Kids Club	http://www.powercompanykidsclub.org		EIN 20-2383454	Po Box 432126	Pontiac	MI	48343	USA	Children & Youth, Youth Centers & Clubs	The Power Company Kids Club is dedicated to promoting the emotional, physical, spiritual, and social well-being of the at-risk children and teens of our inner cities through weekly Bible teaching, mentoring, and cooperation with parents, churches, community organizations, schools and civic leaders.						
SandCastles Grief Support Program	http://www.henryford.com/SandCastles	(313) 874-6881	EIN 	1 Ford Place, 4A	Detroit	MI	48202	USA		Henry Ford Hospice created the SandCastles Grief Support Program to provide grieving children and families the opportunity to come together for nurturing and strength as they learn to cope with the loss of a loved one.  SandCastles works to provide a safe and comforting environment for children and teens, ages 3-18, to grieve their loss and to find within themselves their natural capacity to heal. Participation in group activities with peers supports the healing process by helping young people to accept grief as a normal response to loss.	Detroit Metro Area					
H-Cat Hamtramck Cat Assistance Team	http://		EIN 61-1435024	3338 Doremus St	Hamtramck	MI	48212	USA	Animal Protection & Welfare, Animals							
Handbags Of Hope	http://handbagsofhope.webs.com	586-215-2050	EIN 26-3627238	15580 Glander Ave	Eastpointe	MI	48021	USA	Emergency Assistance	We ask women to donate gently used or new purses. Each bag is filled with 10 essential items, creating a functional handbag. Our handbags are donated across the State to 21 shelters and 6 local teen programs. Most are victims of domestic violence, all have very few possessions. A woman's handbag is a very personal item, most depend on it to get thru their day. We provide 3,000 filled handbags a year and have just receive our 501(3) (c).	Michigan	Turning Pointe, Big Family, Women in transition, Safe, Sara's House + more.	support, advocacy and awareness - through community collaboration - to end all forms of domestic Violence/ bullying and by promoting a safe environment for all.   Our goal is to change the perception and views of society as a whole to understand Domestic	2007 9 shelters 2 teen programs = 910 handbags 2008 14 shelters 4 teen programs = 1145 handbags 2009  21 shelters 6 teen programs = 3,000 handbags 200 evening bag to local high school Prom programs.	33 programs gifting 1700 filled purses.	
Corner Health Center	http://www.cornerhealth.org	(734) 484-3600	EIN 38-2329742	47 N Huron	Ypsilanti	MI	48197	USA	Arts & Culture, Children & Youth, Children & Youth Services, Community Clinics, Community Health Systems, Health, Theater	The Young Adults Health Center was established to deal with high rates of teen pregnancy in Ypsilanti. In our first few years of operation, the teen birth rate in Ypsilanti dropped by 56%! The Corner was also established to provide primary medical care to 12 to 21 year olds who did not have a family doctor and/or were more comfortable receiving birth control and other services from a provider especially for teens.		Health center for young adults ages 12 through 21 and their children. 1,369 patients with visits totaling 6,394 in fiscal year 2013-2014. Services include primary medical care, mental health services, and prenatal care.   health education through a theatre troupe, which had 41 performances and 67 workshops for 1,454 audience participants on health topics sti and hiv prevention and teen/parent communication.   education and outreach includes support for the community advisory council and youth leadership council. Outreach activities consist of promoting and advertising our services, conducting educational workshops, providing information about public health insurance options, and participating in local coalitions related to our mission. Outreach programs reached 2,745 individuals, including youth, parents, schools, and community members.				
Open Doors Kalamazoo	http://www.opendoorskalamazoo.org	(269) 343-6064	EIN 23-7088427	Po Box 50102	Kalamazoo	MI	49005	USA	Homeless & Housing, Homeless Shelters	Building relationships to overcome homelessness through housing, employment, education and sobriety, in response to god's love for all.		Open doors kalamazoo provides services to help homeless adults gain employment and become self-supporting and provides affordable housing for low-wage workers and their families.				
Childrens Bereavement Network	http://www.camplivelaughlove.org		EIN 38-3590814	PO Box 181	Gaylord	MI	49734	USA	Arts & Culture, Children & Youth, Children & Youth Services, Health, Health Care, Single Organization Support	The Childrens Bereavement Network will provide a relaxed & safe setting for campers to explore their feelings & offer hope to children who have experienced a loss through death.				This will be our 9th camp and this year we doubled the number of children at camp compared to last year.		
International Institute Of Metropolitan Detroit Inc	http://		EIN 38-1358200	111 E Kirby St	Detroit	MI	48202	USA	Ethnic &  Immigrant Centers, Human Services, Immigration							
Habitat For Humanity Of Huron Valley	http://www.habitat.org	734-677-1558	EIN 38-2874694	170 Aprill Drive Suite A	Ann Arbor	MI	48103	USA	Homeless & Housing, Homeowners & Tenants Associations, Housing & Shelter, Housing Development, Construction & Management	Enriching our whole community through a legacy of affordable home ownership		Homeownership, Critical Home Repair & Weatherization, ReStore				
Wish Upon A Teen	http://wishuponateen.org		EIN 26-2708229	261 E Maple Rd	Birmingham	MI	48009	USA	Children & Youth, Youth Development Programs	To offer support for teenagers, as well as family and friends, that have suffered life-altering experiences.		Decorate my room - provide theme decorating items to hospital room for patients suffering long-term hospitalization.   teen programs for relief of trauma, to improve social skills and self image: cooking (teen cuisine), music & media classes, computer classes.   benefiting teens, as well as family and freinds, that have suffered life- altering experiences.				
Destiny And Purpose Community Outreach	http://www.dapco.org	(877) 832-1277	EIN 38-3486156	127 N Washington St	Ypsilanti	MI	48197	USA	Philanthropy, Private Grantmaking Foundations	Community outreach		Community outreach				
White Lake Township Goodfellows	http://		EIN 38-3260763	9822 Avonlea St	White Lake	MI	48386	USA	Human Service Organizations, Human Services							
Faiths Angels Inc	http://		EIN 26-4335012	2633 11 Mile Rd Nw	Sparta	MI	49345	USA	Health, Heart & Circulatory System Diseases & Disorders							
Autism Support & Resource Center	http://www.GeneseeAutism.org	810-742-5404	EIN 84-1645502	4476 S Dort Hwy	Burton	MI	48529	USA	Autism, Disabilities, Health	To enhance the quality of life and provide support and empowerment to families and individuals with autism through all phases of life.	Genesee County and surrounding areas	support group meetings, advocacy, assistance, resources within the area, socials, activities, holiday parties and much more.	families and individuals with autism			
Children's Leukemia Foundation of Michigan	http://www.leukemiamichigan.org	248-530-3000	EIN 38-1682300	27240 Haggerty Rd Suite E-15	Farmington Hills	MI	48331	USA	Cancer, Health, Patient & Family Support	Children's Leukemia Foundation of Michigan, serving children and adults, provides information, support, financial assistance to Michigan families affected by leukemia and related disorders.  CLF also funds medical research conducted exclusively at Michigan's two NCI-designated cancer centers, Barbara Ann Karmanos Cancer Institute and the University of Michigan Cancer Center. Finally, CLF provides small grants to fund professional development or special projects that enhance the practice of health professionals who provide care or treatment to people in Michigan with leukemia, lymphoma or a related diagnosis.	State of Michigan	The Social workers at Childrens Leukemia Foundation of Michigan (CLF) listen to their patients and caregivers, determining needs and providing a steady hand through tough times. CLF provides casework and information and referral services in order to guide families to the resources they need.  CLF offers a Resource Room that provides print, audio, video and electronic information to help families learn more about cancer and surrounding issues. The Resource Room is available on either a walk-in or mail-out basis.  All newly registered families receive Stepping Stones, a 150-page binder filled with facts, interactive exercises and referrals that empower families with the information they need to gain answers to their questions.	Children or adults in the state of Michigan diagnosed with leukemia, lymphoma or any other blood related disorder	Actively serving over 4,100 patients and families in the state of Michigan through information, emotional support and financial assistance.	over 13,000 patients and family members directly affect by blood cancer in the state of Michigan	
Macomb Feeding the Need	http://www.macombftn.org	(586) 872-5229	EIN 46-1112388	27151 Gratiot Ave	Roseville	MI	48066	USA		To Feed the Needs of the community mind, body, soul and spirit	Roseville, MI	Gave food and supplies to residence of macomb county	our mission is to feed the needs of the community, mind, body, soul and spirit		The Homeless, near homeless and veterans. Helping families get off the streets. Plus working with the kids in Roseville school growing green community gardens	
Community Opportunity Center Non- Profit Housing Corporation	http://		EIN 38-3143428	33150 Schoolcraft Rd Ste 104	Livonia	MI	48150	USA	Developmentally Disabled Centers, Disabilities, Human Services	Support & House Developmentally Disabled						
Northeast Michigan Center For Fine Arts Inc	http://www.artintheloft.org	(989) 356-4877	EIN 37-1426898	109 N Second Ave Ste 300	Alpena	MI	49707	USA	Art Museums, Arts & Culture	The organization promotes public awareness, education, & participation in the arts through the operation of a regional fine arts center.		Art in the loft - gallery operations  educational opportunities / workshops - education of artists via workshops held by local and national artists.   art in the loft - non cash - rent expense (in-kind donation for gallery facilities - fmv - 30,000) see noncash contribution information				
Progressive Residential Services Inc	http://		EIN 38-2402726	6001 N Adams Rd Ste 165	Bloomfld Hls	MI	48304	USA								
Amyloidosis Foundation	http://www.amyloidosis.org		EIN 20-0291856	7151 N Main St Ste 2	Clarkston	MI	48346	USA	Down Syndrome Research, Health	Increase education and awareness of amyloidosis and support research for a cure		Travel grant program to attend internatioon amyloid symposium in the netherlands  grant program - distribution of $200,000 for medical research at boston university, carl t hayden research foundation, tufts medical center, university of lisboa, portugal and irrccs clinic, pavia italy  to tie out the tax return page 2 ,part iii line 4e to page 10 part ix line 25 column b				
Cleft Lip and Palate Foundation of Smiles	http://www.cleftsmile.org	(616) 608-3881	EIN 45-2230155	1270 Blanchard St. SW	Wyoming	MI	49509	USA	Health, Voluntary Health Associations & Medical Disciplines	Our Mission is to educate and bring awareness to others around the world whose lives are touched by cleft lip and or/ palate and other Craniofacial anomalies by providing Support, Education, Advocacy, and Research		http://www.cleftsmile.org/programs/ Visit our Programs place to learn about our supported programs.				
Animal Aid Foundation	http://www.myanimalaid.org	(248) 321-0159	EIN 27-3503504	Po Box 70033	Rochester Hls	MI	48307	USA	Human Service Organizations	To support the activities of local animal charities as well as assist in finding lifelong homes for animals in need.		Veterinary care and boarding was provided to numerous animals during 2014. A contribution (assistance) was given to another organization with a similar mission to help them accomplish their mission.				
The Hope Project Inc	http://www.hopeprojectusa.org	(231) 747-8555	EIN 35-2270341	185 E Laketon Ave	Muskegon	MI	49442	USA	Centers to Support the Independence of Specific Populations	A christian organization joining a coalition to stop human trafficking in america, working to increase public awareness and to provide aid and rehabilitation to rescued victims, providing life skills and interpersonal skills training.		We participated on the michigan human trafficking task force, working with a coalition of 90 agencies to stop human trafficking in america, working to increase public awareness and to provide aid and rehabilitation to rescued victims, providing life skills and interpersonal skills training. The organization is in the process of refurbishing a rehabilitation home for rescued victims. There were 18 direct beneficiaries of the program in 2014. We mentored 1 teenage female survivor and 17 adult women survivors of sex trafficking and provided trauma-informed counseling for 3 adult women survivors of sex trafficking. We also provided group therapy for 8 adult women survivors of sex trafficking. Through speaking engagements, panel participation, forum participation and media coverage we brought awareness of human trafficking to over 3,750 adults and youth in the west michigan community. Training on human trafficking was provided to 320 medical staff, 32 juvenile justice staff and 110 child welfare workers. We chair the muskegon county coalition against human trafficking, a coalition of law enforcement, social service agencies and community members in muskegon county to develop a community approach to human trafficking and to increase the knowledge of front line workers likely to encounter potential human trafficking situations.				
