name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Target demographics	Geographic areas served	Programs	Results	Direct beneficiaries per year	VISION: 	
Meals On Wheels, Inc. of Tarrant County	http://www.mealsonwheels.org	817-336-0912	EIN 75-2568798	320 South Fwy	Fort Worth	TX	76104	USA	Food, Meals on Wheels	To promote the dignity and independence of older adults, persons with disabilities, and other homebound persons by delivering nutritious meals and providing or coordinating needed services.	Homebound elderly and disabled people in Tarrant County who are unable to prepare meals for themselves and who have no one to do so for them.	Tarrant County, Texas	Home-delivered meals Client services Neighbor Helping Neighbor HAIL (Healthy Aging and Indepdent Living)  Client services: companion pet food, friendly visits from volunteers, supplemental pantry food, mobility assistance (wheelchairs, grab bars, ramps, walkers, etc.), utility bill payment assistance, smoke detectors, heaters/blankets, fans/air conditioners, etc.	We have cooked and delivered more than 15 million meals since 1973.	4,000		
Nobelity Project	http://www.nobelity.org		EIN 20-3795033	PO Box 161925	Austin	TX	78733	USA	Arts & Culture, Children & Youth, Education, Film & Video, International, International Studies, Youth Community Service Clubs	In Kenya, Latin America and the U.S., our education and film partnerships build critical school infrastructure, support literacy and scholarship, and promote conservation and community service. Together we are bridging the gaps to help these communities shape a brighter future for their children and children everywhere.   The Nobelity Project : Inspiring Stories, Inspired Actions	partner communities carry out innovative solutions to local challenges, and to share their inspiring stories.	Kenya, Honduras, Mexico, Ecuador, Nepal and the US	Nobelity In Action--supporting environmental, health, and education initiatives helping communities bridge the gap in funding and implementation. Nobelity In Schools--engaging US students in issues that effect their futures and providing service opportunities that prove the local acts have global impacts. Nobelity On Screen--producing short and feature length documentary films that raise people's awareness on these issues and move them to action.	3 feature documentaries, 50 short films, over 30 community school projects in Kenya, and countless screenings of our films in US schools.  Our goals for 2015 include 10 new preschools for Kenyan communities, sponsoring Kenya students to attend college, support of literacy learning in Roatan Honduras, 50,000 trees planted in fire-ravaged areas of Texas and deforested lands in Kenya, providing free service learning opportunities and lesson plans for teachers , and many more chances to tell the stories of people around the world doing good work.	over 30 community partners impacting thousands of young people and their families		
Cy-Fair Helping Hands	http://cyfairhelpinghands.org		EIN 45-2820606	7710 Cherry Park Dr. Suite S	Houston	TX	77095	USA			the homeless and near homeless become self-sufficient	the Cy-Fair	emergency shelter, transitional housing, a food pantry and a clothes closet.		over 200 individuals and families		
Rasur Foundation International	http://www.rasurinternational.org	469-708-7804	EIN 26-4327907	PO Box 170055	Irving	TX	75017	USA	Education	Teaching a social and emotional skill set for a more connected world.	create a more connected world	the United States, Costa Rica and other countries	building social-emotional intelligence through training in the Connection Practice.	Costa Rica: - More than 1,500 teachers in Costa Rica have been trained in the Connection Practice, impacting almost 40,000 students.  - Connection Practice courses at the UN-mandated University for Peace have consistently been the highest rated courses by international graduate students.   United States: More than 1,300 adults and children in the United States have been trained.			
Bering Omega Community Services	http://www.beringomega.org	(713) 529-6071	EIN 76-0589592	2150 West 18th St	Houston	TX	77008	USA	AIDS, Health, Health Care, Homeless & Housing, Housing Expense Reduction Support, Nursing	Bering omega community services exists to nurture the well being and meet the physical, emotional and spiritual needs of persons affected by hiv/aids through compassionate health care and social services.			Bering omega dental clinic provided 15,032 patient visits to 2,533 hiv + individuals. Dental services offered at this program are critical to overall overall good health, securing and maintaining employment and self esteem as well as to preventing pain, tooth loss and possible loss of life.   the bering omega housing and financial assistance program provides safe and stable housing for clients in our community struggling with housing and financial issues. In 2014, the program administered $1,279,061 in emergency rent/mortgage and utility payments for 446 hiv + individuals and others in their households. For many, this assistance was vital in preventing homelessness.   omega house was created in 1986 to operate as a residential facility to care for persons with aids who are in the terminal stage of the illness. The hospice program provided 2,413 days of hospice care to 41 terminal phase aids patients.				
Hope Stone,  Inc	http://www.hopestoneinc.org	713.526.1907	EIN 76-0519238	2726 Bissonnet Street Suite 240-513	Houston	TX	77005	USA	Arts & Culture, Arts Education, Children & Youth, Performing Arts, Support, Youth Development Programs	Hope Stone, Inc. unlocks the innate creativity of young people and adults through our arts outreach programs with a vision of art for all.	Hope Stone, Inc. believes in  art for all, we believe Brilliant Art = Brilliant Minds	Greater Houston, Throughout Texas	Hope Stones mission is to unlock the innate creativity of young people and adults through our arts outreach programs with a vision of art for all. We are an organization dedicated to nurturing the creative side of children and adults through the positive, empowering experience of the arts. At Hope Stone we believe in Mindfulness Arts Education and are dedicated to this concept in all aspects of our work in the community.  Founded in 1997 by its current President & CEO, Jane Weiner, Hope Stone conveys the intrinsic value of the arts through education programs tailored to suit the needs of specific populations of children and adults.  Our childrens program (Hope Stone Kids) reaches out to students in a variety of school settings, using highly skilled artists from the artistic disciplines of music, dance, and theater.  Hope Stones professional dance company (Hope Stone Dance) stages compelling and accessible new works that challenge, entertain, and educate audiences.  Recently, Hope Stone has successfully adapted the time-tested methods used in its youth programming to create an arts outreach program for special populations (The Hope Project).		We work with 700 students ages 2-95 yrs,  and perform each year to over 3000 students, some seeing live dance/theater for the first time		
Cornerstone Assistance Network Inc	http://www.canetwork.org	817-632-6000	EIN 75-2417646	3500 Noble Ave.	Ft. Worth	TX	76111	USA	Christianity, Community Improvement & Capacity Building, Emergency Assistance, Homeless & Housing, Homeless Centers, Human Services, Religion	Uniting with others in Christian love to meet the needs of people.	individuals & families struggling with poverty.	Tarrant County, Texas	This division provides direct services to individuals and families in need of food, clothing, furniture, educational/employment training, children's after-school programs, senior adult programs and medical services.It also offers resources to churches and community agencies to help them better serve the needy in their communities. It also offers a jobs readiness and development program for women, after-school programs and tutoring for children, and senior citizen programs.The Center also partners with local doctors and nurses to operate a free medical clinic for those in the community.				
Central Texas Society For The Prevention Of Cruelty To Animals	http://www.centraltexasspca.org	(512) 260-7722	EIN 74-2497839	Po Box 98	Cedar Park	TX	78630	USA	Animal Protection & Welfare, Animals	Rescue neglected, unwanted homeless dogs and cats nurture and provide shelter until they are placed with a forever family strive to reduce animal overpopulation prevent cruelty to animals teach responsible pet ownership through an outreach of humane education and a network of resources.			Provide food/shelter/medical care/adoption services for homeless dogs/cats.				
Star of Hope Mission	http://www.sohmission.org	(713) 440-5337	EIN 74-1152599	PO Box 4052 6897 Ardmore	Houston	TX	77054	USA	Homeless & Housing, Homeless Centers, Homeless Shelters, Mental Health, Substance Abuse Treatment	Star of Hope is a Christ-centered community dedicated to meeting the needs of homeless men, women and their children. Positive life changes are encouraged through structured programs which focus on spiritual growth, education, employment, life management and recovery from substance abuse.			The star of hope doris & carloss morris men's development center (mdc) is a 328 bed facility which provides 24/7 emergency shelter and life-recovery programs to homeless men at various stages of self sufficiency. The shelter operated at 95-100 percent of bed capacity throughout 2014 and accommodated up to 60 overflow guests by providing floor mats (especially during extreme weather conditions). Throughout 2014, mdc served 3,121 men, providing 123,027 nights of lodging and 270,493 meals. Star of hope also operates an outreach van which provides water, referrals and other star of hope services to individuals who choose not to come into the shelter.   the star of hope women & family emergency shelter (w&f) is a 296 bed facility which provides emergency shelter, services and programs leading to stability for homeless women and families in crisis. The shelter operated at or above capacity throughout 2014, sleeping as many as 90 on a given night on overflow floor mats. W&f services also include a medical clinic, a licensed daycare and pre-school, a teen activity program, a computer learning center and referrals for longer term housing. Particular attention is given to providing stability to homeless children, including enrolling them in public schools and providing volunteer tutors to help them regain lost ground. Throughout 2014, w&f served 2,251 adults and 1,465 children, providing 126,672 nights of lodging and 208,357 meals.   the star of hope randy and kathy tabor transitional living center (tlc) can house up to 69 families with children and up to 45 single women. The time frame of their stay ranges in duration from 18-24 months during which residents pursue a self-supporting life through various life skills classes, job assistance and substance abuse recovery programs. During the year, 160 clients graduated from these programs and 73 found employment. During 2014, tlc was "home" to 248 adults and 284 children, providing 73,066 nights of lodging in private rooms and 126,338 meals.				
Planet Cancer	http://www.planetcancer.org	512-452-9010	EIN 74-2943419	314 E. Highland Mall Blvd. Ste. 306	Austin	TX	78752	USA	Cancer	Young adults with cancer slip into a lonely no-mans land. Too old for the instant community of a childrens hospital, theyre still too young to be a part of the over-50 community that overwhelmingly populates adult cancer wards. Because young adults with cancer are a relatively small group, the difficulty of finding peer support is increased exponentially, forcing many to deal in isolation with issues specific to this age and stage of life: dating with cancer, disclosure to a potential employer, long-term insurance issues, moving back home, loss of fertility, or having to quit school or a newly-launched career.Planet Cancer exists so that no young adult will have to endure such isolation. In addition, we work to raise awareness in the medical community about young adults as a distinct group with distinct needs. A greater focus on young adults, their cancers, their issues (including lack of insurance and low participation in clinical trials) and their medical needs will hopefully lead to improvement in survival rates, which have not increased one iota for this age group in 30 years.	18-40 year old cancer patients and survivors.	national	Planet cancer has provided a critical community of peer support and advocacy for young adults with cancer.				
Adopt A Rescued Friend Inc	http://www.aarfhouston.org	713-854-1216	EIN 26-2538874	PO Box 62736	Houston	TX	77205	USA	Animal Protection & Welfare, Animals	Adopt A Rescued Friend Inc (AARF) is a 501(c)3 non-profit, no kill, all breed organization. Our Mission at AARF is to rescue, rehabilitate and re-home companion animals with families who are ready for a lifetime commitment. We foster in our homes and depend solely upon donations from the public for support. All of our officers, directors and fosters are unpaid volunteers. The only compensation we receive is the knowledge that we are making a difference.	abused, abandoned and injured canines		veterinary care, training, food and shelter for dogs and puppies looking for a new home.				
Music In The Schools	http://		EIN 26-3938997	18866 Stone Oak Pky Ste 103-94	San Antonio	TX	78258	USA	Arts & Culture, Children & Youth, Fund Raising & Fund Distribution, Music, Public & Societal Benefit, Youth Development Programs								
The Ordinary Inc	http://		EIN 47-3207207	17503 La Cantera parkway Suite 104-265	San Antonio	TX	78257	USA		Our mission is to empower ordinary people to identify an issue or need within our community, and together, with other ordinary people, produce an extraordinary action to meet that need							
North Texas Food Bank	http://www.ntfb.org	(214) 330-1396	EIN 75-1785357	4500 S. Cockrell Hill Rd.	Dallas	TX	75236	USA	Food, Food Banks & Pantries, Food Programs	The North Texas Food Bank passionately pursues a hunger-free community.			Feeding Kids- Kids Cafe, Food 4 Kids, Summer Feeding ProgramFeeding Seniors- People and Nutrition (PAN) Feeding Families- General program, Food for FamiliesFood Stamp Outreach Program				
COMIX35 (ROX35 Media, Inc.)	http://www.comix35.org	(505) 331-1802	EIN 74-2815860	PO Box 73706	Houston	TX	77273	USA	Arts & Culture, Christianity, Protestant, Religion, Visual Arts	Understanding the need for a ministry such as COMIX35 can be a challenge in countries such as the USA where the biggest selling comic book title moves only a million copies a year.It is much more obvious in places such as:JAPAN, where the top title Shonen Jump sells 3.2 million copies every single week and a staggering 2.1 billion comics total are sold every year...KOREA, where 7,000 new comic book titles appear every year and 25 million volumes are published...THAILAND, where the top 2 comics, Kai Hua Roh and Mahasanook, together sell over 8 million copies a month...FRANCE, where graphic novels featuring the popular cartoon character Astrix le Gaulois have sold approximately 200 million volumes...The MIDDLE EAST and NORTHERN AFRICA, where the successful pan-Arab comic strip magazine Majid has a certified weekly circulation of 150,000 to 175,000 copies and is sold in almost every Arab state.INDIA ... PHILIPPINES ... NORWAY ... MEXICO ... BRAZIL ... ARGENTINA ... The international examples go on and on.Comics are excellent communication tools. People around the world already read them. They adapt to fit specific people groups. Comics are a natural for bringing the Good News of Jesus Christ to children and adults across the globe.COMIX35's mission is to help ministries and individuals produce effective Christian comics as part of an evangelism strategy and/or discipleship program for their own people.			The visual story medium known as "comics" here in the west is the most widely-read form of popular literature worldwide and a natural communication tool for sharing the good news of jesus christ with children and adults across the globe. Our ministry's program accomplishments in 2014 included: christian comics seminars for young professionals in kiev, ukraine, and for native americans in durango, co; production of two new personal testimony comic tracts by us prison inmates to reach other inmates, in english and in spanish; a sports-themed tract for quebec, canada; production of new christian-themed comics magazines for french-speaking africans.	COMIX35 has held 40 Christian comics teaching events for over 860 attendees representing 51 countries across Asia, Europe, Africa, the Middle East, and the Americas.  COMIX35 has been involved in the production of numerous evangelistic Christian comics, tracts, and graphic novels in the US and around the world including Dorie the Girl Nobody Loved (Eastern Europe) and Manga Messiah (Japan). The Dorie comic has been used by Operation Mobilisation's Greater Europe team from Bulgaria to the Sakha (Yakutia) Republic in eastern Siberia and has been called one of their most successful publications. It is distributed in both orphanages and prisons. The Manga Messiah series, an adaptation of the Bible in the Japanese comic style, has now reached a total of 7 million books and booklets in 22 languages. Many people around the world have received Christ as their Savior through this project.			
Attention Deficit Disorders Association-Southern Region	https://www.adda-sr.org/	281-897-0982	EIN 76-0254591	12345 Jones Rd Ste 287-7	Houston	TX	77070	USA	Health, Human Services, Mental Health, Mental Health Associations, Personal Social Services, Specifically Named Diseases	ADDA-SR is a non-profit organization. Their mission is to:      * Provide a resource network     * To support individuals impacted by attention deficit disorders and related conditions     * To advocate for the development of community resources and services that meet the education, social, and health care needs of all individuals with ADD/ADHD     * To keep the public informed on the disorder through the media, an association newsletter, referral service, monthly chapter meetings, education programs, parent and adult services, as well as conferences and workshops.	Anyone interested in ADHD	Based in Texas but serve anyone	Educational conference featuring nationally know speakers and educators attended by over 300 doctors, health professionals , parents, and advocates  workshops for parents, advocates, and mental health professionals  community resource and referral telephone line and newsletter preparation and mailing to membership	Continuous events educating parents, educators and health care providers.  Along with our workshops and our annual conference, we have added webinars.  We have increasing phone calls for those seeking help that have little or no funds and no insurance.	1,000 +/-		
PrideRock Wildlife Refuge	https://www.priderock.org	2148026798	EIN 75-2792911	17194 CR 329	Terrell	TX	75160	USA	Animal Protection & Welfare, Animals, Environment, Protection of Endangered Species, Wildlife Sanctuaries	PrideRock Wildlife Refuge's mission is to provide a safe haven for as many big cats and other abused, abandoned, neglected, or confiscated as it is financially able to support. PrideRock is providing quality healthcare, nutrition, and a stimulating environment for the life of any animal it has taken in.	big cats, north American bears, African spotted hyena, wolf hybrids	Terrell, TX	promote awareness of the importance of having facilities such as ours to provide housing, space, enrichment, species-specific diets, a comfortable and safe environment and the peace of knowing that these magnificent big cats will have a place to live the rest of their lives after being abused, neglected or displaced by previous owners or breeders.				
Rainforest Partnership	http://www.rainforestpartnership.org	512-420-0101	EIN 26-1618125	800 W 34th St. Suite #105	Austin	TX	78705	USA	Animals, Environment, Forest Conservation, Land Resources Conservation, Protection of Endangered Species, Water, Water Resources, Wetlands Conservation & Management	Our mission is to protect and regenerate tropical rainforests by working with the people of the forests to develop sustainable livelihoods that empower and respect both people and nature.  Our project model:  We partner with forest communities to help them make an income that allows them to protect their forests. We do this by working with communities to develop and market products made out of raw materials found only in the rainforest or by providing services that are unique to rainforest.  By developing the market for these products, locally, elsewhere in Latin America, and in the U.S., sales of these goods and services give residents a financial stake in protecting their forests.	We partner and work with indigenous rainforest communities  help them make a sustainable income that allows them to protect their forests and their way of life.	Communities with tropical rainforests					
Birth Mom Missions	http://birthmommission.com	8177231926	EIN 26-4550204	2201 Wolf St. #2204	Dallas	TX	75201	USA	Adoption, Children & Youth, Counseling, Family Services for Adolescent Parents, Mental Health	Changing the Face of Adoption, Supporting Families, Honoring Motherhood, Cherishing Life, Loving KidsBirth Mom Missions is a nonprofit organization created and managed by actual birth mothers of adoption.We provide a much needed service to women who have placed their child for adoption. There is also an overlooked service to single pregnant woman (one that is pro-life and not on board with an adoption agency) No matter what the result of a woman''s adoption decision or her opinion on it today, this is meant to be a place for her to come and know that she is loved and has a special place in our hearts. The mission touches the lives of those adopted, adoptive parents, hopeful adoptive parents, pregnant woman at risk, and the unborn and other parts of society in ways yet to be seen.                A mother''s love is patient and forgiving when all others are forsaking,it never fails or falters, even though the heart is breaking.	The mission touches the lives of those adopted, adoptive parents, hopeful adoptive parents, pregnant woman at risk, and the unborn and other parts of society in ways yet to be seen.  (Options to birthmom: lifemom, firstmom, tummymom, etc...In actuality most birth moms of adoption don't really care what they are called by the adoptive family and others....as long as they are called.)	Everywhere		Changing the Face of Adoption, Supporting Families, Honoring Motherhood, Cherishing Life, Loving Kids  We have saved many lives from abortion. And we have found a community of women who share similar experiences and are able to process and grieve the loss of adoption. Made many adoptive children aware they are loved by their first mother.	1,000		
The Rose	http://www.TheRose.org	281.484.4708	EIN 76-0193812	12700 N. Featherwood, Suite 260	Houston	TX	77034	USA	Breast Cancer, Cancer, Community Health Systems, Health	The Rose is the Houston areas leading 501(c)(3) non-profit breast cancer organization providing mammography screening, diagnosis, access to treatment and support to all women regardless of their ability to pay.   At The Rose, you will receive uncompromised care from medical professionals dedicated to breast health. The added value of your visit is the difference you can make in another womans life.   The Rose depends on revenue from paying customers, grants and donations for its funding. By scheduling your mammogram with us, you will enable us to help others who are less fortunate...You help us serve low-income, uninsured women.							
Houston Boychoir Inc	http://www.houstonboychoir.org	281-484-1560	EIN 76-0627922	PO Box 271342	Houston	TX	77277	USA	Arts & Culture, Children & Youth, Performing Arts, Singing & Choral Groups, Youth Development Programs	We build men of character. The men of the future from the boys of today. #sing4life			The organization encourages education in choral music. The choral group included 66 boys with unchanged voices and 8 with changed voices. The choral group performed twenty-one public performances and five private performances.				
Diamond Dachshund Rescue	http://		EIN 76-0738044	Po Box 17736	San Antonio	TX	78217	USA	Animal Protection & Welfare, Animals								
