name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Geographic areas served	Programs	Direct beneficiaries per year	Our goals are to:
Saving Grace: Imagine Life without Violence	http://www.saving-grace.org	541-382-9227	EIN 93-0797194	1004 NW Milwaukee Aveune, Suite 100	Bend	OR	97701	USA	Crime & Law, Domestic Violence, Family Violence Shelters, Homeless & Housing, Hot Lines & Crisis Intervention, Human Services, Mental Health, Sexual Abuse Prevention	Saving Grace provides comprehensive intimate partner  violence and sexual assault services and promotes the value of living life free from violence.	2012 fiscal year in review: 100% of victims surveyed agreed* they can now keep themselves safer  99% of victims surveyed agreed* they now make better choices 98% of victims surveyed agreed* they have better access to resources * 61% of surveys distributed were returned  14,176 crisis services were provided for 5,012 people, including:  - 281 women and children were protected, fed, clothed and lodged for 3,138 days - 2,850 hotline calls were answered - 92 families received 1,891 supervised visits and exchanges. Additionally,  - 4,563 people learned how to prevent violence - 75 volunteers provided 13,983 hours of services	Deschutes, Jefferson and Crook County in Central Oregon	Central Oregon	Saving Grace services include:  24-hour emergency hotline, emergency shelter, hospital response, emergency transportation, children's services, crisis counseling & therapy, support groups, court advocacy, systems advocacy, parent/child supervised visitation and safe exchanges, community education and public awareness.	5,012 people received direct crisis response services in 2013	
Portland-Mutare Sister City Association	http://		EIN 93-1302625	Po Box 33518	Portland	OR	97292	USA	Emergency Assistance							
Casa Verde Connects	http://casaverdeconnects.com/	360 649 7135	EIN 45-2606871	1724 Ne Broadway St 536	Portland	OR	97232	USA	International Academic Exchange	Casa Verde provides youth, from all backgrounds, the experiences, sustainable resources and skills necessary to reach their highest potential in globalized society.	We have spent the last year growing our Organization, developing our Nicaragua site and creating a strong team.	Youth 14-24 from all backgrounds.				
Child Foundation	http://www.ChildFoundation.org	503-224-0409	EIN 93-1148608	4475 SW Scholls Ferry Road Suite 170	Portland	OR	97225	USA	Children & Youth, Children & Youth Services, Gift Distribution, Human Services	To help children in need, who have been identified as high achievers, remain in school.	Child Foundation has helped over 15,000 children to change their life. Presently, Child Foundation supports 6,800 children to be able to continue their education through its unique sponsorship program.  This year, 240 of our students got accepted into universities in Iran and 11 of our Afghan students were accepted by Afghanistan universities.			Iran: child foundation supports disadvantaged children in iran who need assistance in order to stay in school. The children and their families are identified by a social service agency in iran, refah koodak, and then referred to child foundation. Because of the us sanctions against iran, most support was provided in the form of bulk food, which is distributed to the children's families. As sanctions are lifted or licenses are granted by us ofac (us office of foreign asset control), cash assistance is provided as well. In the fiscal year ended may 31, 2014, child foundation received permission to provide $500,000 in cash; prior to the end of the fiscal year, $410,000 had reached iran and the remaining $90,000 was in process. The number of children currently receiving support is about 3,000.   afghanistan: child foundation matches supporters in the usa and other countries with disadvantaged children in afghanistan who need assistance in order to stay in school. Cf also supports the programs of future for afghan children, which runs a computer school and theater camp, as well as a program for thalassemia awareness and support.   indonesia: support is provided to needy children and enables them to continue their eduction. About half of the children are in elementary and middle school, and the other half are in high school.   usa: us staff matches sponsors and donors from the us and many other countries with children needing assistance and supports these relationships by facilitating communication between sponsors and children. They also ensure that pledges made are collected and forwarded overseas, and that sponsors are informed twice a year of their sponsorees' progress in school.		
Ninos Del Lago	http://www.ninosdellago.org	(503) 569-2122	EIN 20-0834503	Po Box 1005	Silverton	OR	97381	USA	Children & Youth, Youth Development Programs	Educational nature facility for at-risk youth				Reception of two groups of children from our ngo link-partner schools (45-50 each group); each even was for four (4) days and three (3) nights. Most of the work related to the program is provided by volunteers. Overhead costs, not directly associated with the program provide the infrastructure to allow for the programs to occur  we conducted an outreach in north-west guatemala and sponsored a workshop in panajacel for 12 senior-level guatemalan university students in guatemala city who qualified. Licensed psychologist, volunteer, and mindfulness practitioner cristina herrera, along with a team of local volunteers, conducted this important 4-day workshop in panajacel which resulted in university students being trained to volunteer and work as mindful mentors (for the children) in the future. Most of the work related to the program is provided by volunteers. Overhead costs, not directly associated with the program provide the infrastructure to allow for the programs to occur  in july, 2014, we received another group of 45 children from our local village/community: san andreas semetejbajfor a one-day event. Teachers and children enjoyed a tour of our 60acre forest site, and recieved an overview of our pgoram, followed by a picnic lunch. The purpose of this event was to help build a sense of "community" between the local village children and adults and the ninos del lago program. Most of the work related to the program is provided by volunteers. Overhead costs, not directly associated with the program provide the infrastructure to allow for the programs to occur  also, in 2014, our la cadena program outreach team (volunteers) traveled to meet with potential ngo la cadena link partners that are other licensed, ngo's that provide high-quality public school curriculum to the children they serve who come from poor and vulnerable communities. Children from these, our la cadena (link) partners ngo's will benefit from our 4-year journey to the forest program.		
OREGON DOG RESCUE	http://www.oregondogrescue.org	503-645-3003	EIN 35-2304457	17944 Nw Gilbert Ln	Portland	OR	97229	USA	Animal Protection & Welfare, Animals	Oregon Dog Rescue is an all-breed, no-kill shelter. It is a 501(c) (3) non-profit organization started by two dedicated women with twelve years of experience with rescue dogs. An all-volunteer group, Oregon Dog Rescue is devoted to placing the dogs in the best homes and assuring the long-term success of the adoption. We are available for follow-up care and for the lifetime of the pet. Our team includes a network of professionals who are available to assist with the well being of the animals.			Portland Vancover Area	We have achieved our ongoing mission and goal to identify, rescue and find replacement homes for dogs who are in marginal care to abusive situations. The public has found our mission to be valuable and have provided support for our efforts in the form of volunteerism and financial donations		
CREATIVE ARTS COMMUNITY	http://		EIN 23-7283106	PO Box 4958	Portland	OR	97208	USA	Arts & Culture, Arts Education							
Ross Ragland Theatre	http://www.rrtheater.org	(541) 884-0651	EIN 93-1006823	218 N 7th St	Klamath Falls	OR	97601	USA	Arts & Culture, Performing Arts Centers	To provide a forum for musical, art, drama, and other events including programs for the youth in the klamath and surrounding counties.				During the current fiscal period, the theater provided musical, art, drama, and other events including programs for the youth in the klamath and surrounding counties.		
Collateral Repair Project	http://www.collateralrepairproject.org	(541) 770-5274	EIN 20-4928141	Po Box 23146	Medford	OR	97501	USA	International, International Development	Collateral Repair Project (CRP) provides aid and community to Iraqi refugees and other civilian victims of war and conflict - those commonly referred to as "collateral damage". We seek to repair some of this damage, and through these efforts to foster peace and reconciliation.		Iraqi refugees in Jordan	Amman Jordan	Family Resource & Community Center for refugees in Amman, Jordan. We also provide Emergency Assistance for destitute refugees.		
Oregon Historical Society	http://www.ohs.org	(503) 222-1741	EIN 93-0391599	1200 Sw Park Ave	Portland	OR	97205	USA	Arts & Culture, Historical Organizations	As the steward of oregon's history, the oregon historical society educates, informs, and engages the public through collecting, preserving, and interpreting the past. . . . In other words, oregon history matters.				Exhibits - the society collects, preserves, documents, and exhibits the state's material culture with more than 85,000 artifacts. Its major permanent exhibition, oregon my oregon, has won two national awards, an award of merit from the american association for state and local history, and a muse award from the american association of museums media and technology committee. In 2012, a new american association of state and local history award winning permanent exhibition, oregon voices, was completed, combining the technology of today with stories from the past. This interactive exhibit gives visitors a chance to explore the issues and events that shaped oregon from 1950 forward. The society mounts eight to ten travelling and temporary exhibitions on varied themes each year. The on-site exhibits are shown in its seven galleries. The society also loans objects to more than 30 historical institutions on a yearly basis. In 2014, 80,580 visitors came to the oregon historical society to view its exhibits and participate in various programs.   research services - the research library of the oregon historical society offers an unparalleled collection concerning the history of oregon and the region. It contains more than 35,000 books, 25,000 maps, 2. 5 million photographs and negatives, 8 million feet of film, 8,000 oral history tapes, and 12,000 linear feet of manuscript. These collections, along with thousands of serials, journals, newsletters, government documents, posters, and microfilm materials, broaden and enrich the understanding and interpretation of the cultural, political, religious, social, economic, scientific, and technological life in oregon. In 2014, the research library, operating 32 hours a week, served over 2,971 patrons in person and 2,966 remote reference inquiries via mail and electronic media from all over the world. The society's library staff has cataloged thousands of books, ephemera, oral histories, manuscripts, and image collections, and made them available on the society's web site for easy access by patrons. The library has over 30,000 digitized photographs from its collection, and now has over 3,000 digital images available to order online via the society's web site. The research library provides research support to all society programs and departments. The society publishes the oregon historical quarterly, which has been a benefit of membership since 1900. The quarterly is a peer-reviewed, public history journal that brings documented history about oregon and the pacific northwest to both scholars and the general audience. The quarterly is supported by an advisory committee comprised of scholars, public historians, and educators from throughout the state.   education - in 2001, the society began a dynamic education program, the teaching oregon history project. Using the rich resources of the society's research library and archives, the project identifies primary source materials that engage the imaginations and intellects of oregon's students. Narratives, documents, biographies, lesson plans, and curricula are made available through the society's web site and in print. In addition, the society distributes existing curriculum materials to public and private schools in oregon, including artifact kits and slide shows; it arranges school tours of the museum galleries and library; and presents education workshops. The oregon history project received the clio award from the american library association, and two national awards from the national council of state historic preservation officers. The education program served 11,078 students in 2014, which includes 366 college tours and 1,675 adults in docent-led tours. The travelling trunk program also served 3,801 students throughout oregon.		
United Horsemens Front	http://www.united-horsemen.org	(541) 571-7588	EIN 80-0252141	Po Box 454	Hermiston	OR	97838	USA	Animal Protection & Welfare, Animals	Charitable and educational organization informing the public about the unintended consequences of the closing of u. S. Horse processing plants.				Educating the public about the unintended consequences of closing the u. S. Horse processing industry. The united horsemen's front used its web site and printed materials to accomplish this goal. United horsemen volunteers conveyed this information at various equine events throughout the country.		
Cascade Policy Institute	http://www.cascadepolicy.org	(503) 242-0900	EIN 93-1045925	4850 Sw Scholls Ferry Rd Ste 103	Portland	OR	97225	USA	Education, Unknown	To develop and promote public policy alternatives that foster individual liberty, personal responsibility and economic opportunity.				Research, writing, publishing, sponsoring public speakers, providing internships to college students, facilitation of childrens scholarship fund - portland. Beneficiaries are all oregonians.		
Four Way Community Foundation	http://	(541) 479-9775	EIN 51-0173092	Po Box 652	Grants Pass	OR	97528	USA	Community Foundations, Philanthropy	Support of charitable organizations benefiting the residents of josephine and western jackson counties in the state of oregon.				Grants made to charitable organizations for the benefit of residents of josephine and western jackson counties in the state of oregon		
Pacific Crest Sinfonietta	http://		EIN 20-0459975	7725 N Fowler Ave	Portland	OR	97217	USA	Arts & Culture, Music	Education				Consistent with our objectives of music education, music education advocacy and music performance, the pacific crest sinfonietta has continued to focus on providing opportunities for portland, oregon's metropolitan area youth. In an environment where only a part of portland's public schools offer music coursework, the sinfonietta seeks to help fill the gap by providing and supporting educational access to this important art form. The sinfonietta offers high school students the opportunity to participate in it's american music program, a conduit for advanced jazz education and performance of our country's original art music. The amp is a nationally recognized music education program which trains youth in music history, technical proficiency and the real world of music performance. It provides classes three times per week to about 20 students per year. Many of these students go on to attend top music colleges and become music industry professionals. During 2014 amp students performed jazz and blues at a variety of music events, including the clark college jazz festival, the mingus competition, the next generation festival, and numerous small and large community events in the portland area. The number of persons in attendance varied from approximately one hundred fifty to ten thousand at the largest event, the portland waterfront blues festival. In addition, to further it's jazz education efforts, the amp students began a small music mentoring program with king elementary school students. And the sinfonietta's artistic director continued to offer area middle and high school jazz band instructors access to the amp's clinics with national music educators. The sinfonietta plans to continue it's successful student jazz orchestra program and to develop additional school and community relationships and education projects during the coming year.		
Death With Dignity National Center	http://www.deathwithdignity.org	(503) 228-4415	EIN 93-1162366	520 Sw 6th Ave Ste 1220	Portland	OR	97204	USA	Civil Rights, Civil Rights, Social Action & Advocacy, Education, Public & Societal Benefit, Right to Die & Euthanasia	The mission of the death with dignity national center is to promote death with dignity laws based on our model legislation, the oregon death with dignity act, both to provide an option for dying individuals and to stimulate nationwide improvements in end-of-life care.				Oregon plus one: during the year ended march 31, 2015, through our core service, the oregon plus one program, death with dignity national center lent its expertise in public policy analysis to citizens, public officials, and end-of-life experts interested in the oregon, washington, and vermont death with dignity experience. We provided information about the latest statistics and research, and we provided data concerning implementation of the law. We provided resources regarding the law's impact on the medical profession, and we assisted with research and analysis of public policy data. Consistent with the goal of the program, we provided assistance and disseminated information to individuals in other states which are looking to enhance end-of-life care for the terminally ill.   public education: through this program, we provided information and educational materials about aid in dying and death with dignity standards and practices to individuals nationwide. In addition, we responded to requests for information and provided referrals to terminally ill individuals and their family members about a wide range of end-of-life issues. We provided educational materials through our website, acting as a trusted resource for legal, medical, and other scholarly research. Our dignity report provided more than 13,000 individuals with substantive articles, updates, and interviews during the year.   communications: this program promotes death with dignity laws based on our model legislation, the oregon death with dignity act, and other end-of-life care issues to a national audience online and through the media. Important target audiences included public officials and policy decision-makers, individuals who are terminally ill and their family members and physicians.		
The Arc Of Benton County Inc	http://www.arcbenton.org	(541) 753-1711	EIN 93-6014702	414 Nw 4th St	Corvallis	OR	97330	USA	Human Service Organizations, Human Services, Job Training	The arc of benton county advocates and provides services, as needed, to enhance the lives of people with intellectual and developmental disabilities and their families.				Educating the public and policy makers about the abilities and needs of individuals with intellectual and developmental disabilities and their families. Providing assistance to the parent or individual to meet their needs for support and assistance.   provide recreational programs for people with intellectual and developmental disabilities.   provide low income, special needs housing for people with intellectual and developmental disabilities.   thrift stores to provide additional revenues to support core operations. Donated goods and merchandise are sold to the public and proceeds are used in daily operations of the organization.		
Marine Corps Family Foundation Inc	http://www.marinecorpsfamilyfoundation.org		EIN 90-1720080	4280 44th Ct NE	Salem	OR	97305	USA	Federated Giving Programs, Philanthropy, Philanthropy, Charity & Voluntarism Promotion, Private Grantmaking Foundations, Voluntarism Promotion	Bringing communities together in pride to support and honor those who choose to serve our great country				Operation Santa, Letters to Troops, Marine Corps Kids, Operation Sunscreen		
Scio Youth Club	http://		EIN 43-1964348	Po Box 315	Scio	OR	97374	USA	Children & Youth, Youth Development Programs							
Assistance League Of Eugene	http://www.eugene.assistanceleague.org	(541) 485-3721	EIN 51-0157135	1149 Willamette St	Eugene	OR	97401	USA	Human Service Organizations, Human Services, Thrift Shops	Assistance league of eugene is a nonprofit volunteer organization dedicated to providing programs which enhance the quality of life in our community.				Operation school bell- provides school-appropriate clothing to students in grades k-8 with verified financial need in two eugene school districts. About 1,700 students are served annualy.   childrens' dental center-provides dental services to low income children in eight lane county school districts. Dental services are donated by local dental practitioners. Approximately 450 children are served annually.   food pantry provides supplemental weekend food during the school year to families of children who are participating in the reduced and free lunch program in the eugene school district.   hug a bear-provides stuffed bears to the eugene police department and other agencies to give to individuals in stressful situations. Welcome basket-provides cleaning supplies and other sundries to low income families and veterans moving into transitional housing. Oregon heritage-gives presentations to area children about the oregon trail and pioneer life at the lane co. Historical museum. Caring and sharing-offers fellowship and music to residents in long-term care facilities. Operation bookshelf transports library books to shut-ins and makes donations to the library to purchase large print books.		
Prineville Lake Acres Unit 2 Property Owners Association	http://		EIN 93-0916600	12649 Se Cayuse St	Prineville	OR	97754	USA		grading of Paving of Association Roadways						
Childrens Cancer Association	http://www.JoyRx.org	503-244-3141	EIN 93-1181662	1200 NW Naito Parkway Suite 140	Portland	OR	97209	USA	Cancer, Emergency Assistance, Health, Human Services, Patient & Family Support	When seriously ill children and their families need more than medicine, CCA's innovative programs create joy one moment at a time.		CCA serves children and teens facing cancer and other serious illness	all 50 states	MyMusicRx, Chemo Pal Mentor Program, Link, and Caring Cabin. The Childrens Cancer Association knows that for seriously ill children and their families every moment is precious. Thats why our programs leverage music, friendship, play, and resources to create transformative moments of joy for 20,000 children, teens, and their family members each year. We believe kids deserve long, wonderful lives. Or at the very least, short wonderful lives. Unlike many organizations dedicated to the worthy goal of someday finding a cure for cancer, CCA is all about creating joy today. To see our programs in action, or visit us anytime at JoyRx.org.	Last year, CCA  delivered award winning, free-of-charge services to children, teens and their families 81,000 times with free service and program interactions in more than 200 pediatric settings in all 50 states.	
Sanctuary One	http://www.sanctuaryone.org	(541) 951-0014	EIN 20-8982518	13195 Upper Applegate Road	Jacksonville	OR	97530	USA	Animal Protection & Welfare, Animals, Citizen Participation, Health, Health Care	Sanctuary One at Double Oak Farm is a nonprofit care farm where people, animals, and the earth work together for mutual healing. Care farming (also known as green care, farm care, or farming for health), is well established in Europe, but is a relatively new concept in the United States.  For more information, please visit us on the Web at www.SanctuaryOne.org.				Sanctuary one helps people of all ages experience natures power to heal by volunteering on a real working farm we provide educational tours that open peoples hearts and minds we invite schools and youth-serving nonprofit groups to visit the farm for some fresh air, exercise, and hands-on service-learning we help teenagers who are in legal trouble learn how to make better choices we mentor interns who want to become the next generation of care farmers we promote the ethics of sustainable living and we provide a safe, loving home to 100 or more rescued farm animals and house pets at a time.		
Oregon Student Association	http://www.orstudents.org	(503) 286-0477	EIN 93-0683005	635 Ne Dekum St	Portland	OR	97211	USA		Student research & communication.				Direct services - responding to a wide range of student requests, by regularly visiting campuses to assist students with campaigns and events. Co-sponsored 17th annual student leadership conference, osa internship and summer internship programs, and published many reports and publications, including student handbook for votor registration for student government leaders, 6 issues of a monthly newsletter, osa internet digest, the osa year in review and provided about 400 leadership workshops for students at all of our institutions.   advocacy: conducting research and implementing our legislative agenda in the state capitol, focusing on equal access to a quality and affordable post-secondary education. Attend to issues of tuition and financial aid, work to improve voter registration and student fees. Worked to prioritize child care block grant to keep parent students on the oregon health plan. Association serves all students from the oregon university system, lane community college and oregon health & sciences university, approximately 333,234 full time equivalent students for the 2013-2014 academic year.   education - educating students about issues affecting them through seminars, publications and electronic media and offering skills training for effective organizing and leadership efforts. Research into student parent and child care needs, assessing needs of students of color, and reviewing tenure and faculty reward systems, osa survey of student opinion, research on students and on oregon health plan.		
Green Empowerment	http://www.greenempowerment.org	(503) 284-5774	EIN 93-1230409	140 SW Yamhill Street	Portland	OR	97204	USA	Economic Development, Energy Resources Conservation & Development, Environment, International, International Economic Development, Microfinance, Philanthropy, Public Foundations	Green Empowerment provides villages in the developing world access to clean water, electricity through renewable energy, and sustainable solutions.	Major program accomplishments include:  192,834-- Patients served by electrified health clinics 6,148-- People with clean water at home 24,140-- Households that have electric lighting	Strengthen communities by delivering renewable energy and safe clean water along with related health, environment and agriculture projects.	Latin America and Asia with key projects in Nicaragua, Ecuador, Philippines, Malaysia and Myanmar.	* Training for organizations, communities, and government agencies on how to design, construct, operate, maintain, and finance small scale, renewable energy, and water and sanitation systems to provide access to electricity, clean drinking water and sanitation. * Capacity building with local partners to magnify their impact and strengthen their program implementation. * Creates networks of regional stakeholders around different technologies such as solar, wind power, hydro-electricity, and biogas. Through coordinated research, conferences and knowledge sharing, participants from universities, NGOs, businesses, governments, and professionals have improved their skills and ability to serve their communities. * Service-learning for professionals, students, community groups, and families, to engage in hands-on learning about renewable energy, clean water access, and sustainable development.		
Pathways Of Discovery Ministries	http://		EIN 14-1928331	Po Box 22607	Milwaukie	OR	97269	USA	Christianity, Religion							
International Nature Institute	http://		EIN 93-1229819	1201 Sw 12th Ave Ste 215	Portland	OR	97205	USA	Environment							
Foundation for the Preservation of the Mahayana Tradition Inc	http://www.fpmt.org	(503)808-1588	EIN 77-0221830	1632 Se 11th Ave	Portland	OR	97214	USA	Animal Protection & Welfare, Animals, Community Health Systems, Education, Health	We provide integrated education through which peoples minds and hearts can be transformed into their highest potential for the benefit of others, inspired by an attitude of universal responsibility. We are committed to creating harmonious environments and helping all beings develop their full potential of infinite wisdom and compassion. Our organization is based on the Buddhist tradition of Lama Tsongkhapa of Tibet as taught to us by our founder Lama Thubten Yeshe and spiritual director Lama Zopa Rinpoche.		build a more compassionate world	62 different countries	mediation centers, study groups, and charitable projects providing education and community service.		
Relief Nursery Inc	http://www.reliefnursery.org	(541) 343-9706	EIN 93-0784800	1720 W 25th Street	Eugene	OR	97405	USA	Child Abuse Prevention, Crime & Law, Domestic Violence	The relief nursery combines a comprehensive, family support program and a therapeutic early childhood program designed to serve high-risk lane county low income families of children under six years of age who have experienced child abuse and/or neglect and/or who are at risk for child abuse and/or neglect. The model is unique in its delivery of comprehensive, integrative, and individually responsive services including therapeutic early childhood classroom experiences, home visits, special education services, parent education and support, referrals to community resources, mental health services, alcohol and recovery support services, family events, nutritious meals, and support for other basic needs such as transportation to events, food, and clothes, as well as crisis response and respite.				Therapeutic early childhood program is a family based program providing classroom time and home visits serving approximately 192 infants, toddlers and preschoolers who have suffered abuse and/or neglect, or are under extreme stress at home. Children receive 6 hours of classroom time per week and teachers do monthly home visits providing parent education and support. Classroom time is focused on supporting the child's social and emotional needs and on encouraging communication and social interaction. Children are supported by counselors and community volunteers. We maintain a maximum ratio of 1 teacher to 5 children. Additionally, children receive 2 usda approved meals per day.   the outreach program serves approximately 237 families and 318 children/year. The outreach program provides "front-end" intake, enrollment and crisis response for families initially contacting the relief nursery. The approach is strength-based and creative, offering choices and support to families in a compassionate and strength-based manner. A flexible strategy is utilized, providing timely services for families with multiple issues who are seeking support for themselves and their children. Intake workers offer a supportive response and provide information, as needed about the relief nursery and other community resources. In addition to intake, resources, and referrals, the outreach program provides respite care, home visits, and access to other relief nursery services such as family literacy events, mental health and other specialized programs. Outreach workers work with the families to determine if enrollment in the therapeutic early childhood program meets their needs and the needs of their children.   accessing success provides alcohol and drug recovery support services for approximately 225 families per year. These families have substance abuse issues and/or have been impacted by substance abuse. The unique aspects of our accessing success program include peer support interventionists who are in recovery themselves. These interventionists provide mentoring, gender specific support for parents, and lead other accessing success program activities. Other activities include a "parents for recovery" support group, transportation to and from aa and 12 step meetings, and activities promoting an alcohol and drug-free lifestyle. The approach is strength based and creative, offering choices and support to families in a patient and compassionate manner. A flexible strategy is essential in meeting the needs of families with multiple issues and overcoming the many obstacles interfering with recovery success.   mental health services: counselors provide individual, adult, child and family counseling services that include assessment, treatment plans, and monitoring/documenting progress. The mental health service follows a family systems model based upon the belief that working with the entire family is the most effective means to help the client achieve treatment goals. Strong focus is placed on parent-child attachment and relationships, emotional regulation skills, behavior management strategies and resiliency, and traumainformed therapy. Approximately 83 children and families per year were served. Parent education: in additional to the integration of informal parent education and support into all aspects of the relief nursery, formal parent education classes and parenting activities are offered and are accessed by approximately 29 families/year. Parent education classes are offered in english and spanish in a variety of formats in order to meet the needs of families. Transportation support, light meals, and childcare are provided in order to insure access to events and to remove barriers and challenges for parents. Healthy families: healthy families is a home-visitation program for first time parents based on healthy families quality assurance standards that are compatible with the relief nursery program and is embedded within our program with healthy families, families having access to other relief nursery services. The health start program serves approximately 115 families per year includes regularly scheduled home visits offering parent education and support with a focus on enhancing the parent-child.		
Vernonia Emergency Radio Association	http://		EIN 93-1231643	Po Box 272	Vernonia	OR	97064	USA	Disaster Aid, Disaster Preparedness & Relief Services							
Osu Folk Club Thrift Shop Foundation	http://	(541) 752-4733	EIN 41-2256427	144 Nw 2nd St	Corvallis	OR	97330	USA	Education, Scholarships, Scholarships & Student Financial Aid	The osu folk club thrift shop foundation awards and administers scholarships to oregon state university students and grants to benton county, oregon non-profit organizations. These awards further the foundation's purpose by providing educational opportunities for osu students and by providing support for social service and educational organizations in the foundation's community.				Scholarships to oregon state university are provided to osu students. The oregon state university business office serves as conduit for these scholarships.   annual grants are made each spring to civic, welfare, charitable, or local governmental organizations to further their work, often through the purchase of specific assets.		
