name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs			Our Black HerStory Project
Choice Of New Rochelle Inc	http://www.choicenr.org	(914) 576-0173	EIN 13-3828528	200 East Post Road Lower Level	White Plains	NY	10601	USA	Centers to Support the Independence of Specific Populations, Civil Rights, Disabilities, Disabled Persons Rights, Homeless & Housing, Homeless Centers, Human Services, Mental Health	The organization provides peer advocacy, case management and homeless outreach within the county of westchester, new york					The organization has initiated a homeless outreach program designed to contact clients in shelters and on the streets with the goal to transition into community-based housing. In 2013, choice was able to serve approximately 1,000 individuals. In the case management program, case managers meet with clients twice a month at the client's home or in a community setting to work on goals such as independent housing, benefit acquisition and budgeting. In 2013, choice was able to serve approximately 500 individuals. The peer advocacy program is primarily based in the office and clients meet with their advocates as often as they deem necessary. The program is geared towards individuals who can not tolerate typical case management. These clients frequently face acute issues such as eviction, domestic violence and loss of benefits. In 2013, choice was able to serve approximately 550 individuals.			
Adirondack Mountain Club, Inc.	http://www.adk.org	(518) 668-4447	EIN 15-0586270	814 Goggins Rd	Lake George	NY	12845	USA	Environment, Environmental Education, Natural Resources Conservation & Protection	The Adirondack Mountain Club (ADK) is dedicated to the protection and responsible recreational use of the New York State Forest Preserve, and other Parks, wild lands and waters vital to our members and chapters. The Club, founded in 1922, is a member-directed organization committed to public service and stewardship. ADK employs a balanced approach to outdoor recreation, advocacy, environmental education and natural resource conservation. ADK encourages the involvement of all people in its mission and activities; its goal is to be a community that is comfortable, inviting, and accessible.					ADK's Conservation and Advocacy Program develops policies and implements initiatives that promote the responsible recreational use, protection, stewardship, and acquisition of New York's wild lands, parks and waterways. Working with ADK's Conservation Committee and various chapter conservation committees, our advocacy work advances these goals in the areas of government, legal, and public affairs.ADK's Education Program provides opportunities for individuals and groups to develop knowledge, skills, understanding, and an appreciation of the natural environment. ADK's Trails Program promotes land stewardship through the development and maintenance of a quality, all encompassing trail system while encouraging responsible use and protection of New York State's Forest Preserve, Parks and other wild lands and waters. ADK Recreation Programs promote responsible enjoyment of our natural areas. ADK's 27 chapters located in New York State, New Jersey, and Massachusetts, offer over one thousand recreational activities each year including hiking, canoeing, cross-country skiing, and snowshoeing.			
STOMP Out Bullying - Love Our Children USA	http://www.stompoutbullying.org	877-602-8559	EIN 06-1563232	220 E 57th Street 9th Floor - Suite G	New York	NY	10022	USA	Children & Youth, Children & Youth Services, Crime & Law, Crime & Legal-Related, Domestic Violence, Human Services, Protection Against Abuse	A pioneer in the issue, STOMP Out Bullying, is the leading national anti-bullying and cyberbullying organization for kids and teens in the U.S. It focuses on reducing and preventing bullying, cyberbullying and other digital abuse, educating against homophobia, racism and hatred, decreasing school absenteeism and truancy, and deterring violence in schools, online and in communities across the country.It is supported by many in the celebrity, entertainment and media industries, and has received much national media attention. STOMP Out Bullying is recognized as the most influential bullying and cyberbullying prevention organization in the country and beyond. www.stompoutbullying.org	Since 2005 STOMP Out Bullying has helped over5 million students resolve bullying and cyberbullying issue.  It is recognized as the most influential anti-bullying organization in the country and beyond. STOMP Out Bullying helped over 55,000  students and saved 1,100 lives through its HelpChat Line. These numbers increase daily.  Since 1999, Love Our Children USA has helped over 100,000 parents to develop more positive parenting skills.	educate kids and teens in bullying and cyberbullying prevention, educate against racism, hatred, homophobia, child abuse and child violence	Since our inception, we have helped over 5 million of students, resolve bullying and cyberbullying situations. Our HelpChat Line we directly helped over 55,000 students and saved the lives of over 1,100. These numbers increase daily.	National	A pioneer in the issue, STOMP Out Bullying is the leading national anti-bullying and cyberbullying organization for kids and teens in the U.S.  Created in 2005, STOMP Out Bullying it is recognized as the most influential anti-bullying organization in America. It focuses on reducing and preventing bullying, cyberbullying, sexting and other digital abuse, educating against homophobia, racism and hatred, decreasing school absenteeism, and deterring violence in schools, online and in communities across the country.  Love Our Children USA is the leading national nonprofit and Go-To prevention organization fighting all forms of violence and neglect against children in the U.S. Since 1999, Love Our Children USA has broken ground in preventing violence against children and eliminating behaviors that keep them from reaching their full potential.  It is recognized as the most influential anti-bullying organization in the U.S. and beyond.			
United Sikhs	http://www.unitedsikhs.org	(646) 688-3525	EIN 11-3483921	Jaf Po Box 7203	New York	NY	10036	USA	Civil Rights, Community Coalitions, Disaster Aid, Minority Rights, Public Safety, Disaster Preparedness & Relief	To transform, alleviate, educate and protect the lives of underprivileged, individuals and minority communities impacted by disasters, natural or man-made, suffering from hunger, illiteracy, diseases, or from violation of civil and human-rights into informed and vibrant members of society by fostering sustainable programs regardless of color, race, religion or creed.				UNITED SIKHS is a U.N. affiliated, international non-profit, non-governmental, humanitarian relief, human development and advocacy organization, aimed at empowering those in need, especially disadvantaged and minority communities across the world.	Humanitarian Aid, Legal Aid and Community Empowerment and Education			
World Education Services Inc	http://www.wes.org	(212) 219-7329	EIN 23-7396384	One Battery Park Plaza	New York	NY	10004	USA	International, International Academic Exchange	The mission of world education services is to foster the integration of internationally educated persons into academic and professional settings.					Credential evaluations - wes operates a foreign credential evaluation and verification service in the united states and canada. The service processes applications for evaluation for individuals seeking further education (44% of total), immigration (48%), employment (4%), professional licensing (3%), and others (1%) in the united states and canada.   global talent bridge - wes helps skilled immigrants across the united states overcome the barriers that keep them from fully utilizing their talents and education in the united states and canada by providing professional development and training to the staff of community and government organizations, direct outreach, and research studies and resources.   research & advisory services ("ras")- wes provides research-based consulting solutions to student mobility, international enrollment, and transnational education. Based on its research, wes also produces reports and conducts workshops and webinars offered to higher education professionals across the united states.   knowledge resource exchange - wes provides training on foreign credential evaluation methods and procedures, international recruitment strategies, and country educational systems through workshops and webinars. Wes produces world education news & reviews, a monthly online publication for professionals in international education, which includes analysis of international trends, "how to" articles on credential evaluation with sample documents, and up-to-date profiles of the educational systems of various countries.			
World Animal Protection	http://www.worldanimalprotection.us.org	1-800-883-9772	EIN 04-2718182	450 Seventh Avenue 31st Floor	New York City	NY	10123	USA	Animal Protection & Welfare, Animals, Veterinary Services, Wildlife Preservation & Protection	World Animal Protection is an international animal welfare organization. We were known as WSPA (World Society for the Protection of Animals). Our vision is a world where animal welfare matters and animal cruelty has ended.					Animal welfare programs: in 2014, world animal protection successfully improved the welfare of millions of animals around the world, in communities, in farming, in disasters, and in the wild. We exposed the suffering of wildlife used for tourist entertainment with our new campaign aimed at keeping wild animals in the wild, educating over 473,000 people on the hidden cruelty behind elephant rides. We also convinced 23 international tour operators to stop offering elephant rides altogether. 2014 saw the completion of our sanctuary for rescued bears in romania, now a permanent home for 81 bears. And we protected 190,000 dogs from the senseless culling triggered by people's fear of rabies, by working with governments, partners and communities to deliver vaccination programs around the world. In 2014, 11 more bears in pakistan were rescued from the "blood sport" of bear baiting, whereby they are trapped, chained, and forced to endure attacks by trained dogs in front of a paying audience. They now live safely at the world animal protection-funded balkasar sanctuary. Seven bear owners have benefited from our alternative livelihood program and are now proud shop owners. They have all signed an agreement to never purchase another bear again. The number of bears used for bear baiting has decreased from 300 bears in 1997, when we began this project, to approximately 40 today. We protected marine animals from the threat of abandoned fishing gear, known as ghost gear, by working with partners to remove over 800 pounds of discarded gear, traps, lines and plastics from hawaii's big island and the new hampshire coastline. 2014 marked the 50th anniversary of world animal protection's work protecting animals caught in disasters. Our relief efforts following the devastation of 2013's typhoon haiyan continued in 2014; we have helped over 70,000 animals in the philippines following that disaster. We achieved critical change for millions of farm animals through our global partnership with nestl, the world's biggest food company. Nestl has committed to work with us to improve the welfare of the farm animals in its supply chain, which means the hundreds of thousands of farms that supply nestl with its dairy, meat, poultry and eggs will have to comply with higher animal welfare standards. Brf, brazil's largest pork producer, also signed a partnership agreement with world animal protection to improve animal welfare throughout its supply chain. Brf made an incredible first commitment to phase out gestation crates for pigs in favor of more humane group housing over a twelve-year period. We thank our supporters for moving the world to protect animals!			
Centro de Capacitacion, Investigacion y Demostracion del Metodo Biointensivo de Cultivo en Nicaragua, Inc.	http://www.BioNica.org	845-489-5959	EIN 46-1555608	100 Kinderhook Street	Chatham	NY	12037	USA	Agricultural Programs, Environment, Food	The core mission of the Centro de Capacitacin, Investigacin y Demostracin del Mtodo Biointensivo de Cultivo en Nicaragua (CCID en Nicaragua) is to provide training in sustainable small-scale agricultural practices for agricultural technicians working with non-governmental organizations that have small-scale agricultural projects and also for small-scale growers. The overall objective is to demonstrate how to Grow the Soil so as to produce more food in less space (ms alimentos en menos espacio).  Research (Investigacin): The CCID en Nicaragua supports scientific research at the Centro Biointensivo on the application of the biointensive method as a small-scale agricultural system that builds sustainable soil fertility, conserves natural resources, reduces agricultural water consumption and fuel use, and offsets the causes and effects of climate change by sequestering large quantities of carbon in the soil and reducing the output of greenhouse gases.	Since April 2013, CCID en Nicaragua has trained over six hundred small-scale growers, agricultural technicians, and college students in the basic methods of biointensive agriculture at its training and research center.  CCID en Nicaragua operates the Centro Biointensivo in collaboration with the Universidad Nacional Agraria (national agrarian university), Ecology Action (Willets, California), and Ecologa y Poblacin (ECOPOL - Mexico).  In addition, since May 2012, CCID en Nicaragua has trained approximately five hundred people though its Extension Programs by partnering with other organizations (international, national and local), in all parts of Nicaragua, including the two autonomous regions of RAAN and RAAS.	small-scale farmers and agricultural technicians in Nicaragua	over 600 small-scale growers and agricultural technicians learn how to develop the soil so as to grow organic crops	Nicaragua	The core mission of the Centro de Capacitacin, Investigacin y Demostracin del Mtodo Biointensivo de Cultivo en Nicaragua (CCID en Nicaragua) is to provide training in sustainable small-scale agricultural practices for agricultural technicians working with non-governmental organizations that have small-scale agricultural projects and also for small-scale growers. The overall objective is to demonstrate how to Grow the Soil so as to produce more food in less space (ms alimentos en menos espacio).			
United States Institute for Theatre Technology Inc	http://www.usitt.org	315-463-6463	EIN 13-6216921	315 S Crouse Ave Suite 200	Syracuse	NY	13210	USA	Arts & Culture, Arts Education, Professional Societies & Associations	The United States Institute for Theatre Technology, Inc. (USITT) connects performing arts design and technology communities to ensure a vibrant dialog among practitioners, educators, and students.	Our 24 educational offerings annually reach over 6000 professionals at all points in their career span.	young people and professionals	more than 30,000 students by providing inspections and safety training to 24 high schools in the US.	the entertainment design and technology industry	education and training, rigging inspections, and research funding			
The Parent-Child Home Program, Inc.	http://www.parent-child.org	516-883-7480	EIN 11-2495601	1415 Kellum Place Suite 101	Garden City	NY	11530	USA	Children & Youth, Children & Youth Services, Education, Educational Services, Family Services, Social Science	The Parent-Child Home Program's (PCHP) nationwide network of sites provides low-income families with the necessary skills and tools to ensure their children achieve their greatest potential in school and in life. The National Center assists underserved communities in replicating and expanding this proven school readiness program that builds early parent-child verbal interaction and supports learning at home. Together we are strengthening families and communities, and building the workforce of the future.	Almost 50 years of research shows that the program effectively increases school readiness, decreases the need for special education services before grade 3 by 50%, and increases participants high school graduation rates by over 30% - to the same level as their middle income peers. For more information: http://www.parent-child.org/proven-outcomes.html		7000 families		The Parent-Child Home Program envisions a world where every child enters school ready to succeed because every parent has the knowledge, skills, and resources to build school readiness where it starts: the home.			
Baltimore Woods Nature Center Inc	http://www.baltimorewoods.org	35 673-1350	EIN 16-0973044	Po Box 133	Marcellus	NY	13108	USA	Education, Environment, Environmental Education	Baltimore Woods Nature Center is a not-for-profit environmental education organization committed to promoting environmental awareness, understanding, and responsible natural resource stewardship among all people, especially children. BWNC accomplishes this through teaching and interactive activities at Baltimore Woods as well as urban, suburban, and other rural landscapes of Central New York.				Central NY				
Twenty Paws Rescue	http://		EIN 37-1645937	Po Box 245007	Brooklyn	NY	11224	USA	Animal Protection & Welfare, Animals									
Peconic Baykeeper Inc	http://www.peconicbaykeeper.org	631-653-4804	EIN 11-3617329	PO Box 893 10 Old Country Road	Quogue	NY	11959	USA	Environment	Established in 1997, Peconic Baykeeper is a licensed member of Waterkeeper Alliance. Peconic Baykeeper is the only independent, not-for-profit organization solely dedicated to the protection and improvement of the Peconic and South Shore estuaries of Long Island.  We work to reverse the environmental degradation of the past and promote new strategies and policies to protect and improve water quality. We identify pollution problems that impact our waters and work towards affecting change that provides for improvements in water quality and habitat protection. Our collaboration with other stakeholder groups and local government is essential towards this goal.	*Established a vessel sewage No-Discharge Zone for the Peconic and South Shore Estuary Reserve.  *Compelled Suffolk County to stop dredging hundreds of miles of ditches in tidal wetlands.  *Halted a marina project in Shinnecock Bay that would have destroyed habitat and degraded water quality.  *Moved New York State to designate the Forge River as "Impaired Waters&";, an unfortunate distinction that is the catalyst for corrective action.				Peconic Baykeeper serves as a public advocate and community educator through its clean water programs and initiatives.			
Lupus Research Alliance, Inc.	http://www.lupusresearch.org	(212) 218-2840	EIN 58-2492929	275 Madison Avenue 10th Floor	New York	NY	10016	USA	Health, Medical Research, Specifically Named Diseases Research	The mission of the Lupus Research Alliance is to prevent, treat and cure Systemic Lupus Erythematosus through medical research.					The mission of the Lupus Research Alliance (LRA) is to find better treatments and ultimately prevent and cure Systemic Lupus Erythematosus (SLE or lupus), a debilitating autoimmune disease, through medical research.To accomplish this mission, the ALR engages in active grant making management, working hand-in-hand with investigators to guide and drive the research process.			
Sonnet Repertory Theatre Inc	http://www.sonnetrepertorytheatre.org	(212) 560-2432	EIN 03-0481445	P.O. Box 772	New York	NY	10108	USA	Arts & Culture, Theater	Sonnet Repertory Theatre, Inc., is dedicated to classic theatre for the modern planet. SRT promotes classic plays and adaptations, providing forums for collaboration between emerging artists and established professionals. With Classics in the Classroom, SRT aims not only to entertain, but also to educate young people by engaging them with timeless literature through expressive theatre.					SRT has a three-tiered approach to educational residencies specially tailored for the needs and interests of students grades K- 12.			
BioBus	http://biobus.org	3477664974	EIN 	1361 Amsterdam Ave, Suite 340	New York	NY	10027	USA		BioBus inspires the next generation of scientists by offering hands-on learning opportunities for young people. We operate state-of-the-art educational facilities where students and their teachers engage in authentic scientific inquiry alongside professional scientists.	Over 150,000 students in over 500 schools and communities have explored the microscopical world aboard the BioBus since 2008.	Low-income K-12 students in the New York and across the country.	30,000	United States				
Bonnie Boys Club, Inc. dba, The Bonnie Youth Club	http://www.bonnieyouth.org	(718) 941-4698	EIN 11-6075963	1221 Church Ave	Brooklyn	NY	11218	USA	Baseball & Softball, Boys Clubs, Children & Youth, Crime & Law, Sports, Youth Community Service Clubs, Youth Violence Prevention	The Bonnie Youth Club, an all-volunteer organization, centered in the heart of Flatbush, concentrates on developing youth into successful adults. The majority of our youth are from minority and economically disadvantaged backgrounds. However,we have a healthy and vital mix of student/athletes from various economic and ethnic backgrounds. We represent the "mosaic" that is New York City.The Bonnies have developed a baseball and youth development program that has resulted in more of our over 400 yearly participants succeeding in school, graduating from high school and going on to higher education, often with athletic and/or academic scholarships.		Serving youth throughout New York City between the ages of 5-21.	350	New York city	SUPPORT,SERVICE AND SUCCESS,  initiated in 1999, is our primary youth development and support program. Our program emphasizes positive self-worth, mentoring, and a high school and college program that has been highly successful. We use the expertise within the Bonnies and links with outside sources to help our youth.			
Seamens Society For Children And Families	http://www.roots-wings.org		EIN 13-5563010	50 Bay St	Staten Island	NY	10301	USA	Children & Youth, Children & Youth Services	Seamen's Society was founded in 1846 to care for the children and widows of sailors in the Port of New York. Seamen's Society was one of the first organizations to care for abandoned children in family settings, rather than institutions. Today, Seamen's Society is a comprehensive social service agency working in Staten Island and Brooklyn providing the following services to children and families in need: foster care and adoption, medical and mental health services, preventive and intensive preventive services, center-based and family day care, domestic violence intervention, HIV/AIDS education and prevention, educational support and youth programs.								
Starting Artists Inc	http://www.startingartists.org	718-701-5483	EIN 20-4700030	211 Smith Street	Brooklyn	NY	11201	USA	Arts & Culture, Arts Education, Arts Services, Children & Youth, Visual Arts, Youth Development Programs	Starting Artists, Inc. (SA) benefits under-served middle and high school youth through hands-on training in the arts and entrepreneurship. SAs free after-school classes in media arts and business prepare and inspire teenagers to create arts-based enterprises.	Often the arts reach under-performing students when other disciplines cannot. Students, parents, and school administrators report several outcomes such as increased self-confidence, higher grades and test scores, further engagement in enrichment programs and community service, self-identification as an artist, and demonstrated interest in the arts and business as a career. Through SA, young people who have been traditionally underserved gain access to the cultural capital so vital to class mobility. Of the SA students who submitted work, 75% won top honors in the 2009 Scholastic Art & Writing Awards, the most prestigious and longest-running student art competition in the US. In addition, in 2009, all of our 8th grade students who applied to LaGuardia High School for the Arts, NYC's most well-known arts-specific high school, were admitted and in 2010, 5 out of 6 visual arts applicants gained admission to the visual arts program there.	The Afterschool Program welcomes students ages 12-19 years old while special events, private classes, and birthday parties are open to all ages.	250+	NYC	Free Afterschool Program, Vacation Arts Intensives, Birthday Parties, Community Events, Classes on Demand, Street Fairs.			
Children of Peru Foundation Inc	http://www.childrenofperu.org/	(917) 215-1977	EIN 20-4276630	340 East 64th Street, Suite 2G	New York	NY	10065	USA	Health	Children of Peru Foundation is dedicated to building a better future for poor children in Peru. We raise funds to make grants to a select group of non-governmental organizations working in Peru to provide better healthcare and education for poor children. http://www.childrenofperu.org/					Children of peru foundation is a organization based in new york & dedicated to building a better future for poor children in peru. They raise funds to make grants to a select group of non-governmental organizations working in peru to provide better healthcare & education for poor children.			
