name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Programs	Direct beneficiaries per year	Geographic areas served
AmpleHarvest.org, Inc.	http://www.AmpleHarvest.org	AMPLE-6-9880 	EIN 27-2433274	24 Clover Rd	Newfoundland	NJ	07435	USA	Environment, Food, Food Banks & Pantries	AmpleHarvest.org eliminates food waste, hunger and malnutrition in America by educating, encouraging and empowering growers to share their excess harvest with thousands of local food pantries instead of letting it rot in the garden.	Founded by CNN Hero Gary Oppenheimer in mid 2009, AmpleHarvest.org has already registered nearly 8,000 (1 out of every 5) food pantries in America.    Has identified the magnitude of the garden food waste problem by way of a two year study (www.AmpleHarvest.org/Study)  Is creating $200M impact annually (food plus health benefits)  Has created Food Waste Weekend to enable clergy of all faiths to help their congregations learn about ending food waste.  AmpleHarvest.org has received backing and support from the White House,  Google, the USDA, numerous faith organizations and the Feeding America network of food banks.	end food waste in home/community gardens, reduce hunger, and reduce the environmental  impact of the waste of food	AmpleHarvest.org which is educating, encouraging and enabling millions of gardeners to end the waste of 11 billion pounds of food by finding a local food pantry eager for their excess garden produce.	millions of gardeners help nearly 8,000 food pantries (food banks, food shelves, and food closets) nationwide	all 50 states
Helping Hearts Equine Rescue	http://www.hher.webs.com	(732) 786-9015	EIN 26-1729584	PO Box 342	Perrineville	NJ	08535	USA	Animal Protection & Welfare, Animals	"Helping Hearts Equine Rescue is a 501(c)3 Non-Profit animal welfare organization incorporated in the State of New Jersey. We are dedicated to the rescue, rehabilitation and placement of equines in need; assisting equines in situations of neglect, abuse or threat of slaughter located in, but not necessarily limited to Monmouth, Middlesex and Ocean Counties - in our home state of New Jersey. To educate the public regarding the standards of care required to maintain an equine as a riding partner and/or companion animal in a humane manner."			Our Goals:  (1) Accept into our program equines in need who have been victims of abuse, neglect or abandonment;  (2) Assist in the placement of equines under the care of private owners who can no longer maintain them;  (3) Provide necessary management, veterinary and farrier care for those equines under our protection;  (4) Rehabilitate and adopt out equines to suitable homes as sport-horse prospects; pleasure riding prospects or as retirement/companion animals;  (5) Obtain sponsorships for those equines who maintain a permanent residency within the auspices of our organization;  (6) To provide all animals under our care with a comfortable and dignified existence without pain or suffering. If and when physical and medical circumstances no longer allow that comfortable life; to let them go gently and kindly with a humane veterinary-assisted euthanasia.		
Fur Friends In Need Inc	http://		EIN 32-0243704	591 Holmdel Rd	Hazlet	NJ	07730	USA	Animal Protection & Welfare, Animals						
Center for Family Services Inc	http://www.centerffs.org	856.964.1990	EIN 22-3669704	584 Benson St	Camden	NJ	08103	USA	Family Services, Health, Mental Health, Mental Health & Crisis Intervention, Rehabilitative Care	The mission of the Center For Family Services is to support and empower individuals, families and communities to achieve a better life through vision, hope and strength.		individuals of all ages in finding the vision, the hope, and the strength for a better life.	substance abuse, victim and trauma, early childhood education, safe and supportive housing, family support, and counseling.		Camden, NJ
Cookies for Kids Cancer	http://www.cookiesforkidscancer.org	(646) 454-0386	EIN 26-2320528	31 Hoffmans Crossing Rd Larry S Witt	Califon	NJ	07830	USA	Health	Cookies for Kids' Cancer, a national 501(c)3 non-profit, is committed to raising funds for research to develop new, improved treatments for pediatric cancer, the #1 disease killer of children in the U.S. We provide inspiration and support for individuals, businesses and organizations to raise funds by hosting grassroots bake sales and other fundraising events.	Since 2008, Cookies for Kids' Cancer has funded over 4 dozen childhood cancer research grants; resulting in nine promising new treatments now in clinical trial, available to children today. In just six short years, supporters have held more than 5,500 events in all 50 states and 16 countries worldwide.		Online cookie sales to support the organization's efforts to fund research of new therapies to treat and cure pediatric cancer(80,979 of contributed program service expenses not included in amount on line 4a).   local bake sales to support the organization's efforts to fund research of new therapies to treat and cure pediatric cancer (132,124 of contributed program service expenses not included in amount on line 4b).		
SCHOLARSHIP FUND FOR INNER-CITY CHILDREN	http://www.sficnj.org	973-497-4279	EIN 51-0546401	171 Clifton Avenue P. O. Box 9500	Newark	NJ	07104-0500	USA		SFIC provides children in need with the opportunity to receive a high quality, values-based education in a nurturing and safe environment.  The Fund provides partial-tuition scholarships to economically disadvantaged children attending private and parochial schools within Bergen, Essex, Hudson and Union counties.  Scholarship awards are based upon need without regard to race, religion or ethnicity.	Originally founded in 1983 by Archbishop Peter L. Gerety as the Fund for Educational Advancement, the fund has impacted the lives of thousands of inner-city children enabling them to attend private and parochial schools. Most recipients are African-American or Hispanic children attending inner-city schools.  These scholarships are intended to provide them with the tools for independence and success.  In 1999 a partnership was created with the Childrens Scholarship Fund (CSF) a national organization which has increased the number of scholarships significantly.  With matching funds provided by CSF, scholarship programs expanded in Newark, Jersey City and Elizabeth with dramatic results.  Under the direction of the SFIC Board of Trustees and the Executive Director the fund has been able to provide over 45,000 students with over $35,000,000 in partial tuition scholarships.  SFIC General Fund Scholarships are $1,000.  CSF scholarships range from 25% to 75% of the tuition up to a maximum of $2,500 per student.   For the 2013-2014 academic year SFIC supported over 2,200 students with $2.6 million in tuition assistance.	low income families and students	1. The SFIC General Scholarship Program 2. The Children's Scholarship Program 3. Donor Designated Scholarship Program	over 1,900 applicants with partial tuition scholarships totalling over $2 Million.	the inner city ares of Bergen, Essex, Hudson and Union counties
Footprints In The Sand Foundation	http://www.footprintsfoundation.com	(212) 546-6248	EIN 74-3075491	161 Mckinley Street	Closter	NJ	07624	USA	Corporate Foundations, Philanthropy	To provide assistance to children and their families in obtaining necessary medical, educational, and therapeutic treatment			To provide assistance to children and their families in obtaining necessary medical, educational, and therapeutic treatment		
Bear Search And Rescue Foundation	http://		EIN 06-1652942	36 Ketley Pl	Princeton	NJ	08540	USA							
Enyi Md Foundation Inc	http://www.enyimdfoundation.org		EIN 26-4391019	5071 Main St	Voorhees	NJ	08043	USA	Health	To address medical inefficiencies in Nigeria, and improve accessibility to emergency medical assistance in a timely manner.	We spend a lot of time on an annual 5K run and family fun-walk to raise funds to purchase Automated External Defibrillators (AEDs)  to donate to Churches, clinics, and communities in Nigeria.  Partner with  and donate to ANPAs emergency medical services (EMS) training program to provide training for first responders.	People in need of emergency health services in Nigeria	Collaborate with ANPA to provide emergency medical service training programs in Nigeria. Annual 5K run and family fun walk to raise funds and promote health.		Nigeria in West Africa
American Dystonia Society, Inc.	http://www.dystonia.us		EIN 27-1254291	17 Suffolk Ln	Princeton Juntion	NJ	08550	USA	Health, Neurology & Neuroscience, Personal Social Services, Philanthropy, Specifically Named Diseases Research						
Hoboken Family Alliance Inc	http://www.hobokenfamily.com	(201) 533-1585	EIN 13-4216229	Po Box 1194	Hoboken	NJ	07030	USA	Centers to Support the Independence of Specific Populations	Hoboken family alliance, inc. (hfa) is a 100% volunteer-driven organization dedicated to connecting families and supporting our local community. For over 10 years, the hfa has improved the hoboken community and its overall way of life through the efforts of individual and family volunteers. The organization focuses its efforts on educational and parenting resources, grants to non-profits addressing family needs and options, open and public space concerns, special needs programming and projects, college scholarships, and childrens resources and events.			Provide community newsletter, food, birthday parties, and other community events designed to accomplish above described purpose.		
Jewish Vocational Service of Metro West	http://www.jvsnj.org	(973) 674-6330	EIN 22-1487229	111 Prospect St	East Orange	NJ	07017	USA	Education, Employment Preparation & Procurement, Ethnic &  Immigrant Centers, Human Services, Immigration, Job Training, Vocational & Technical Schools, Vocational Rehabilitation	Founded in 1939, Jewish Vocational Service of MetroWest (JVS) is a nonprofit community-based vocational rehabilitation, training, health and human services agency serving New Jersey residents and businesses on a nonsectarian basis. The agency provides a broad range of services for individuals from age 14 to 100+ throughout the State. Services include career counseling; life-work planning; aptitude and psychological testing; educational planning; vocational evaluation; customized skills training; migr resettlement and citizenship education; English as a Second Language and adult basic education; eldercare services; vocational rehabilitation; case management; job placement; and customized, on-site training for employees at the workplace.  The mission of JVS is to use its special knowledge and skills to help members of the community maximize their abilities and potential and become economically self-reliant, productive citizens.     JVS' highest priorities are the individuals who need its help the most:  people with disabilities; people who require new skills to obtain or maintain employment;  individuals transitioning from welfare to work;  unemployed family wage earners;  dislocated, downsized employees; newly arrived immigrants or refugees;  mature adults;  frail elderly individuals; and  the next working generation.	JVS regularly adapts its service offerings to meet critical client needs. The following programs have been added in the last few years. Wellness Works provides onsite access to health services and health education, thereby improving health outcomes and productivity for at-risk clients with disabilities and students attending JVS ESL and vocational skills classes. A document scanning and imaging bureau and onsite caf provide training and employment for JVS clients. The Career Center assists teens and adults diagnosed with an autism spectrum disorder to learn the skills they need to obtain employment and gain independence.				
Eve's Children	http://	800-359-7801	EIN 27-5361706			NJ	08070	USA		Eve's Children is a nonprofit organization dedicated to exposing the plight of the homeless in this country and assisting them. It is our mission to minister to them with the Gospel and help provide food and clothing when funds are available and make referrals to the programs they qualify for. We are also offering an opportunity to others who wish to serve.		Low income, homeless men, women and children in the following counties Camden, Gloucester and Salem counties New Jersey.			New Jersey
The Garage Theatre Group Inc	http://www.garagetheatre.org	201-569-7710	EIN 22-3227995	161 Newcomb Rd	Tenafly	NJ	07670	USA	Arts & Culture, Theater	The Garage Theatre Group believes in the power of theatre as a tool for growth, understanding, and communication. Our aim is to use the process of theatre, as well as the product, to educate, inform, and connect the communi ty in which we live.  The shows that comprise The Garage theatre Group season are challenging as well as entertaining, reflecting our belief that theatre is an open dialogue between the playwright, the performer, and the audience.  At the conclusion of each Main Stage performance, a discussion with the cast, director, and audience is held. By doing so, we hope to inspire and create a new generation of artists, theatregoers, and patrons.			To provide low cost theater events to the general public and to teach young adults about the theatrical experience		Northern New Jersey
Jubilation Creations	http://jubilationcreations.org/	856-240-1558	EIN 27-1848145	713 Haddon Ave	Collingswood	NJ	08108	USA	Autism, Disabilities, Health	Jubilation Creations is dedicated to offering the best in creative self-expression classes for the Special Needs community, including those with autism, developmental disabilities, Downs Syndrome, and others. Arts & Crafts classes & special needs Yoga classes are offered throughout the year, by appointment only, (arts & crafts classes), or at specific class times, (yoga classes).  Starting at ages 8 through adulthood, classes are held 6 days a week, all forms of funding, private, state, and others, are accepted.	We are proud to say we have changed the lives of many of our wonderfully talented class attendees...by instilling joy, self-confidence, a sense of pride and achievement!  We have seen tremendous gains in many of our craft artists in their improved ability to interact with others, in their increased fine motor and eye-hand coordination skills...all gained without stress, and through joy, by creative fun and relaxed social interaction that is the hallmark of our philosophy.  No other program offers the tremendous range of projects/crafts that we do, which include jewelry-making, paper & wood crafts, pottery/ceramics, glass crafts, string art, knitting, loom weaving, sewing, and much, much more!	anyone who is creative person with special needs, whether they be developmentally disabled, be a returning disabled veteran, have PTSD, TBI, or any other type of special need;	arts & crafts classes for the fun and joy of it, as well as creative entrepreneur/job training and other opportunities for the creative special needs person to earn money doing whatever creative endeavors they enjoy doing!  We also offer yoga classes to help those interested in relaxing through peaceful, stress-relieving exercise.  Classes are offered on a weekly, recurring basis or field trips through schools, organizations, and other special groups are welcome.	over 20 individuals!  We now have over 30 talented individuals who enjoy our classes, most of them attend at least one hour classes weekly!	the Southern New Jersey/Philadelphia region,
Art Pride New Jersey Foundation Inc	http://www.ArtPrideNJ.com	609-479-3377	EIN 22-3460723	432 High St.	Burlington	NJ	08016	USA	Arts & Culture, Arts & Humanities Councils & Agencies, Cultural & Ethnic Awareness	The ArtPRIDE New Jersey Foundation, Inc. provides leadership in strengthening the vital role of the arts in New Jerseys quality of life, education and economic growth.	We have been able to maintain State funding for arts and culture through difficult economic times.  We also advocate for federal support and promote the value of the arts to all who live in and visit New Jersey.	All New Jersey residents regardless of age or income level	Promotion and education of the public regarding the benefits of arts and humanities in new jersey		New Jersey
Baps Charities	http://www.bapscharities.org		EIN 77-0533155	81 Suttons Lane Suite 201	Piscataway	NJ	08854	USA	Disaster Aid, Education, Health, International, International Relief, Public Health, Public Safety, Disaster Preparedness & Relief	BAPS Charities aims to... Serve individuals, families, and communities in need around the world, irrespective of class, race, gender and religion, by supporting:?	High quality, low-cost health care through well-staffed hospitals, clinics dispensaries and medical awareness programs?	Sustainable educational institutions providing a rigorous education?	Immediate relief and ongoing assistance to survivors of natural disasters?	The protection of our natural resources by utilizing innovative solutions that promote the responsible use of Earth?s resources?	Socioeconomic development initiatives with severely deprived families in remote regions of India					
EPOCH	http://	(973) 377-7636	EIN 22-2006583	Po Box 231	Madison	NJ	07940	USA	Education, Special Education	Recreation for the handicapped:the program provided recreational activities - including swimming, bowling & basketball - to handicapped children. These activities provided social interaction and excercise - which, in many cases, is the only interaction, outside of school, that these children have.			Recreation for the handicapped:the program provided recreational activities - including swimming, bowling & basketball - to handicapped children. These activities provided social interaction and excercise - which, in many cases, is the only interaction, outside of school, that these children have.		
Jersey Cares	http://www.jerseycares.org	(973) 424-1091	EIN 22-3294530	494 Broad Street Suite 104	Newark	NJ	07102	USA		Jersey Cares increases civic engagement in New Jersey by coordinating volunteer opportunities to address community-identified needs.			Everyday throughout the state of New Jersey, more and more caring individuals are giving back to their communities by volunteering on Jersey Cares  projects. Here are the ways you can volunteer with us and get involved today:   Individual Monthly Calendar Projects  We offer many exciting and rewarding volunteer opportunities and we are always looking for new volunteers to join the ranks. All of our projects are team-based and lead by a trained Project Coordinator. Volunteering with Jersey Cares is flexible  sign up to volunteer at a time and location that is convenient to you; volunteer just once, or return again and again to support your community.  Browse our calendar for a variety of events that you are interested in.  Continue to visit our website for new activities.   Youth Service Opportunities  Jersey Cares aims to provide a variety of fun and exciting opportunities for youngsters to play a role in improving their communities.  Whether collecting donated items for a shelter, or spending time with isolated seniors, youth volunteers can impact in their neighborhoods while developing the skills needed to become strong community leaders.   Corporate Service Program  Through our Corporate Service Program, Jersey Cares will provide your company with customized volunteer project planning that will engage your employees in a day of service which will benefit the entire community.   Annual Events  Annual Events provide the perfect way for individuals and groups to make a difference in just one day. You can participate on a team or as an individual.   First Night Kit Program  Throughout the year, we manage projects where volunteers assemble kits for domestic violence shelters, transitional housing facilities, runaway safe havens, foster homes and other agencies with transitional populations in need of hygiene items on the "first night" of their stay. Start a collection and send in your items today!   Leadership Opportunities  Jersey Cares offers a variety of leadership opportunities including:                 - Monthly Calendar Project Coordinators                 - Event Planning Committee Members                 - Annual Event Team Leader Roles                  - Mural Artists  Additional Community Activities and Donation Referrals   Additional Community Activities include service opportunities offered by other nonprofit organizations. Jersey Cares does not manage these projects.		
Perth Amboy Happy Home Shelter Incorporated	http://		EIN 01-0958223	362 State St	Perth Amboy	NJ	08861	USA	Animal Protection & Welfare, Animals						
HISPANIC COUNCIL ON SOCIAL POLICY CENTER FOR COMMUNITY DEVELOPMENT CORP.	http://www.hcspccd.wix.com/hispanic	(973) 914-8205	EIN 	1 Market Street Suite 3	Paterson	NJ	07501	USA		The Hispanic Council On Social Policy Center For Community Development Corporation (HCSPCCD) is a community based, community operated, social services organization created to serve the needs of the Hispanic community via programs, services and advocacy.					
The Food Bank of Monmouth and Ocean Counties	http://www.foodbankmoc.org	(732) 918-2600	EIN 22-2622522	3300 Route 66	Neptune	NJ	07753	USA	Disaster Aid, Disaster Preparedness & Relief Services, Food, Food Banks & Pantries, Job Training	Our mission is to provide food for as many people in need as possible. To fulfill our mission, the FoodBank solicits, collects, stores and distributes over 5 million of pounds of donated and surplus, perishable and nonperishable food annually to more than 260 area food pantries, soup kitchens, shelters and other feeding programs. These agencies provide the food directly to children, elderly, working poor adults and families in crisis in their neighborhoods.This food helps low income families remain as self-sufficient as possible by allowling them to use their limited resources to pay for other basic needs, such as housing, medical bills, child care costs or transportation to and from work, while still being able to put food on the family table.  In addition, the FoodBank addresses the root causes of hunger by providing Culinary Job Skills Training for people in need of better paid jobs through its onsite kitchen, which also prepares hot meals for at risk children at a local after school program (a Kids Cafe). The Backpack Program provides food for the weekend to chronically hungry children at local schools. Our Mobile Pantry program, in partnership with the Salvation Army, provides emergency food to people living in areas that are not served by pantries.  The Food Stamp (now called SNAP) Outreach program provides eligibility information and application assistance to families eligible for this important national food assistance program.  The FoodBank welcomes community partners and volunteers from businesses, schools, civic organizations as well as individuals to help in all aspects of FoodBank operations.			Emergency food distribution- the core program of the foodbank is the collection of donated and surplus food in its warehouse and the distribution of that food to charitable agencies serving families in need in monmouth and ocean counties. The foodbank served 169 charitable agencies, which in turn operated a total of 295 different programs, consisting of food pantries, soup kitchens, shelters for homeless or abused persons, after school programs for children, and day and residential programs for low income children, the elderly and disabled. While some agencies pick up the food themselves, about 70% of all the food distributed is delivered directly to the agencies on foodbank trucks. Sources of donated food include local food drives and donations, national donations through feeding america, and government food such as the emergency food assistance program (tefap). The foodbank supplements donated food and products with specific food and grocery items purchased through a small bulk co-op program, as well as purchases made with funding from the state food purchase program. Mobile pantry program uses a specially outfitted beverage truck to distribute food directly to people at 16 sites each month, including housing authorities, trailer parks, union buildings, churches and other community sites where existing pantries are difficult to reach. The foodbank operates the senior food package program, also known as the commodity supplemental food program (csfp), which provides monthly packages of food, provided by the department of agriculture, to seniors living in low income housing sites. The backpack program provides backpacks of food, each with 4 weekend meals, distributed on friday afternoons to over 675 children identified by schools to be at high risk of hunger. The program operates at 25 schools throughout the school year. The foodbank participates in the summer food service program, sponsoring the provision of breakfasts and/or lunches to over 500 low income children attending summer programs at 14 community sites.   multiple benefits access program- the goal of the multiple benefits access program is to assist households to access benefits and resources that will help them build income and food security, and is provided at over 20 community partner sites each month. This program includes supplemental nutrition assistance program (snap) outreach, which assesses client eligibility and assists with application submission for food stamps. The volunteer income tax assistance (vita) outreach component provides free tax preparation for low to moderate income households during tax season, ensuring eligible households claim critical eitc and other tax credits. The navigator program provides public education about affordable health care at community events and one-on-one assistance in applying for health insurance under the affordable care act and medicaid/nj family care. The program also provides other forms of assistance including utilities application assistance, welfare and pantry assistance.   culinary kitchen program - the culinary kitchen program provides hands-on training in an onsite kitchen for underprivileged adults in need of permanent employment. The program helps men and women become self-sufficient by providing the skills they need to obtain better-paid jobs. The culinary kitchen program provides hot meals daily for 120 low income children at the monmouth county boys & girls club in asbury park and red bank. The community garden program is a community service run food garden, which harvests fresh produce for pick-up by local pantries serving families in need. Children's programs enable youth groups to visit the foodbank to learn about hunger, its causes, and solutions, or display their works in an art gallery depicting important social themes such as hunger and volunteerism. Volunteer program provides community service opportunities for businesses, civic groups, schools and individuals. Hunger awareness- the foodbank also promotes hunger awareness campaigns with the local media to educate the public regarding the problem of hunger.		
