name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Results
Northeast Historic Film	http://www.oldfilm.org	(207) 469-0924	EIN 22-2823713	85 Main St	Bucksport	ME	04416	USA	Arts & Culture, Arts, Culture & Humanities, Education, History Museums	To collect, preserve, and make available to the public, film and videotape of interest to the people of northern new england.				Outreach - on and off-site presentations, lending of material to members and educational institutions, annual international symposium, annual home movie day, on site research in the study center  preservation - acquisition, restoration, cataloging and transfer to digital media and storage of original film for public	
NORDX	http://www.nordx.org	(207) 396-7812	EIN 01-0511356	301a Us Route 1	Scarborough	ME	04074	USA	Health, Health Care	To maximize the efficiencies and quality of clinical diagnostic, blood banking and anatomic pathology laboratory services throughout the mainehealth network.				Nordx is committed to supporting their partners in healthcare by providing superior quality and cost-effective laboratory services which emphasize customer satisfaction, value, innovation, technology, and exceptional service. Nordx provides comprehensive, dependable laboratory services to hospitals, networks, physician offices, post-acute and long-term care providers, managed care organizations, and employer groups throughout the region. See attached community benefit statement.	
Scarborough Public Library	http://www.scarboroughlibrary.org	(207) 883-4723	EIN 01-6010284	48 Gorham Rd	Scarborough	ME	04074	USA		To establish and maintain a public library in scarborough, me.				The organization is a public library for the town of scarborough, maine residents (approximate population 19,500).	
Ellsworth Church Of The Nazarene	http://		EIN 01-0405767	445 High St	Ellsworth	ME	04605	USA							
Belfast Museum Inc	http://www.belfastmuseum.org	(207) 338-9229	EIN 51-0161688	10 Market St	Belfast	ME	04915	USA	Arts & Culture, Natural History & Natural Science Museums	The belfast historical society and museum is dedicated				Operate museum free and open to the public for research and education, hold monthly special events, collect and display artifacts,maintain "museum in the streets" walking tour of historical sites in belfast,create new exhibits, and operate a summer student intern program.	
Rangeley Lakes Heritage Trust Inc	http://rlht.org	(207) 864-7311	EIN 01-0472641	Po Box 249	Oquossoc	ME	04964	USA	Environment, Land Resources Conservation	The permanent protection of significant scenic and historic natural resources of the rangeley lakes region for the benefit of the public and enjoyment of future generations.				Purchase of land in the rangeley lakes region of maine in order to preserve for the benefit of the public.	
International Church Of The Four Square Gospel	http://		EIN 01-0374112	200 Hancock St Apt 904	Bangor	ME	04401	USA							
New England Regional Theater Company	http://		EIN 74-3212948	20 Davis St	Brunswick	ME	04011	USA	Arts & Culture, Theater						
School At Withy Windle	http://		EIN 51-0204275	High St	Bath	ME	04530	USA							
Somerset Humane Society	http://	(207) 474-6493	EIN 01-0357595	Po Box 453	Skowhegan	ME	04976	USA	Animal Protection & Welfare, Animals	Provision of control and care for stray cats, dogs and other domestic animals. Educate the public and protect them from injury caused by diseased or uncontrolled animals.				During 2014 the shelter had the following activity with respect to the animals taken in and adopted out:dog intakes (strays and owner surrenders): 219dog adoptions and return to owners: 194dog euthanizations 17dogs still at the shelter at year end 8cat intakes (strays and owner surrenders): 392cats born at the shelter 13cat adoptions and return to owners: 319cat euthanizations 138cats still at the shelter at year end 52other animals 13while at the shelter all animals are cared for with veterinary services, cleaning/bathing and daily nutrition.	
Maine Greyhound Placement Service	http://www.greyhoundplacement.com/	(207) 626-2893	EIN 04-3387579	231 Old Belgrade Rd	Augusta	ME	04330	USA	Animal Protection & Welfare, Animals	To find loving, responsible homes for retired racing greyhounds that can no longer compete on the racetrack.				Mgps operates a veterinary clinic for the care of greyhounds and animals from other area shelters.   retired racing greyhounds are spayed and neutered,receive all medical updates, then are housed, fed and cared for until someone is found to adopt them. These retired racers are very intelligent, adaptable dogs who fit easily into their new homes following a brief adjustment period.   volunteers help mgps publish a newsletter, hold an annual open house, and perform meet & greet events at pet stores and other locations throughout the state. Through our activities we seek to inform, educate and encourage the public to adopt these healthy dogs that the racing industry would otherwise euthanize.	
St John-Aroostook Rc & D	http://		EIN 01-0347484	18 Community Center Dr	Ft Fairfield	ME	04742	USA							
SENATOR GEORGE J MITCHELL SCHOLARSHIP RESEARCH INSTITUTE	http://www.mitchellinstitute.org	(207) 773-7700	EIN 01-0523390	22 Monument Sq Ste 200	Portland	ME	04101	USA	Education, Scholarships, Scholarships & Student Financial Aid	The principal purpose of the mitchell institute is to provide scholarships and other support to maine students pursuing higher education. Because of our organization's desire to understand and remove barriers to college for maine students, a related purpose is to engage in research on these issues.				Providing scholarship support to maine students attending college or university and conducting research on ways to advance the higher education aspirations of maine students.	
Winterport Historical Association	http://		EIN 01-0361404	Po Box 342	Winterport	ME	04496	USA	Arts & Culture, History Museums						
Harpswell Heritage Land Trust	http://www.hhltmaine.org		EIN 22-2552116	Po Box 359	Harpswell	ME	04079	USA	Environment, Land Resources Conservation, Natural Resources Conservation & Protection, Water, Water Resources, Wetlands Conservation & Management					Conservation and stewardship of land and historic buildings. Public education. Children's day camp. Commnuity gardens program.  Communication with members and public.	
Frenchman Bay Conservancy	http://www.frenchmanbay.org	(207) 422-2328	EIN 22-2849309	Po Box 150	Hancock	ME	04640	USA	Environment, Water, Water Resources, Wetlands Conservation & Management	The mission of the frenchman bay conservancy is to build lasting relationships and commitments that conserve the distinctive landscapes and natural resources of the frenchman bay and union river watersheds.				Preservation and stewardship of natural resources through the acquisition, monitoring and maintenance of land and conservation easements (the conservancy owns twenty-three properties and holds thirty-one easements).   public education in regard to the preservation and conservation of natural resources and habitat (including publication of newsletter and sponsoring of seminars).	
Healing Through Horses	http://www.healingthroughhorsesmaine.com	207-926-0314	EIN 46-3282097	51 Meadow Lane	New Gloucester	ME	04260	USA		Our mission is to partner people with horses and through these partnerships, help individuals, families and groups overcome lifes challenges. We currently are serving both adults and children with great success. Our goal is to increase our mental health assistance to our veterans suffering from PTSD and other mental health challenges brought on by their service to our country.	children and adults	we supported 2 veterans, 4 olympians to the special olympics, 8 emotional disturbed children, provided opportunities for relationship building for children with autism, supported well over 20 clients with a range of mental health issues. these services were provided to children, adults, and families.	Eqine Assisted Psychotherapy	Healing Through Horses is a 501c3 3-person counseling service that offers Equine Assisted Psychotherapy (EAP) in a private indoor horse facility in New Gloucester, Maine. Horses are known for their unique blend of gentle disposition and compassionate power. EAP is animal assisted therapy that incorporates human interaction with horses as guides. Used for decades, it is a proven form of therapy that effectively employs a horses innate ability to connect and bond with people in a non-judgmental manner. Horses are sensitive, compassionate and gentle animals. They are able to perceive the needs of humans and  Our mission is to partner people with horses and through these partnerships, help individuals, families and groups overcome lifes challenges. We currently are serving both adults and children with great success. Our goal is to increase our mental health assistance to our veterans suffering from PTSD and other mental health challenges brought on by their service to our country.	
Yale Club Of Western Maine	http://		EIN 01-0516058	Po Box 175	W Boothby Hbr	ME	04575	USA	Alumni Associations, Education						
Maine Country Music Association	http://		EIN 01-0428411	272 Lewiston St	Mechanic Fls	ME	04256	USA	Chambers of Commerce & Business Leagues						
Halfway Home Pet Rescue Inc	http://www.halfwayhomepetrescue.org	207-999-1075	EIN 94-3471733	PO Box 488	Caribou	ME	04736	USA	Animal Protection & Welfare, Animals	Halfway Home Pet Rescue is dedicated to improving the quality of life for stray animals in Aroostook County, Maine. We focus our mission on the rescue and rehabilitation of cats and kittens from Caribou and surrounding communities who are not eligible for admission to other area shelters. HHPR provides medical care, social and emotional rehabilitation through our foster home network and a safe haven that is half way home.	abandoned pets and their families	more than 300 cats and kittens.	Caribou, Maine	feral TNR, spay/neuter assistance, pet food assistance, rehabilitation of abandoned and abused cats & kittens, adoption, foster home placements, recycling programs.	HHPR has served more than 1200 stray, abandoned and feral cats and kittens in the area.
Unity Historical Society Inc	http://		EIN 01-0381899	Po Box 4	Unity	ME	04988	USA							
Spirit Of America Foundation	http://		EIN 01-0461052	Po Box 5637	Augusta	ME	04332	USA	Public & Societal Benefit						
Coastal Medical Care	http://www.wchi.com	(207) 338-2500	EIN 01-0487091	118 Northport Ave	Belfast	ME	04915	USA		To provide employment screening for employers in the surrounding community and to provide health screenings and health education in order to promote wellness in waldo county.				Coastal medical care provided 1,150 occupational medical visits. See the attached waldo county healthcare, inc. Community benefit report.   the waldo county dental project provided 307 dental care visits. It also provided events, meetings and education to 2,275 people. See the attached waldo county healthcare, inc. Community benefit report.   coastal medical care (cmc) provided 422 immunizations, health screenings and education for community participants.	
Wolves Social Club Inc	http://		EIN 01-0216888	40 High St	Sanford	ME	04073	USA							
Bath Rotary Club Charitable Trust	http://		EIN 01-0455507	Po Box 313	Bath	ME	04530	USA	Education, Scholarships, Scholarships & Student Financial Aid						
Isleboro Pre School	http://		EIN 01-0376079	Po Box 88	Islesboro	ME	04848	USA							
Harpswell Community Broadcasting Corporation	http://www.harpswelltv.org		EIN 01-0472463	Po Box 99	Harpswell	ME	04079	USA	Arts & Culture, Television	To broadcast community issues/interests to educate the public and foster better community awareness.				Broadcast town meetings, selectmen's meetings, and committee meetings to foster community awareness  family tree broadcast in cooperation with midocast hospital to provide community education.   broadcast army and navy news, naba channel, arts channel to provide education and awareness in the community.   universal depreciation expense for the three defined exempt purpose descriptions listed on form 990, part iii, lines 4a, 4b, 4c.	
Brick Store Museum	http://www.brickstoremuseum.org	2079854802	EIN 01-0238760	117 Main Street	Kennebunk	ME	04043	USA	Arts & Culture, History Museums	The Brick Store Museum was founded in 1936 and is located in five nineteenth-century buildings in the heart of Kennebunk''s National Register Historic District. The museum exhibits, interprets and preserves impressive collections of material culture and decorative and fine arts, in addition to maintaining an extensive regional archives. As a not-for-profit organization, the museum relies upon admissions, memberships, grants and donations to fund its mission of preserving the heritage of the Kennebunks.	our citizens and vistors celebrate the material culture of the Kennebunks		Residents of York County and summer visitors to the Kennebunks	exhibitions of our history, companion events such as lectures, concerts and educational programs and a research archive used by visitors to study local history.	
NAMI-MAINE INCORPORATED	http://www.namimaine.org	(207) 622-5767	EIN 01-0406214	1 Bangor St	Augusta	ME	04330	USA	Mental Health, Mental Health & Crisis Intervention	Provide support services, education, and advocacy to individuals and families affected by mental illness.				Provision of peer and family support groups, respite services for families and mental health education for peers, families and professionals. Provision of peer and family support groups, respite services for families and mental health education for peers, families and professionals.	
Vernon Continuing Care Homes Inc	http://meetinghousevillage.org		EIN 02-0427450	143 Rogers Road	Kittery	ME	03904	USA	Human Services, Seniors, Supportive Housing for Older Adults	Continuing care for the elderly				The home is devoted to establishing a continuing care home for the elderly.	
His Hands Support Ministries	http://www.hishandssupportministries.org	(207) 652-2911	EIN 20-8779787	Po Box 62	Farmington	ME	04938	USA	Interfaith Coalitions, Religion	The organization's primary exempt purpose is to provide charitable giving to other nonprofit organizatons in haiti, africa, india, guatemala, the philippines, swaziland, indonesia, honduras and the dominican where needs exist and to provide missionary outreach.				The organization made grants to churches and schools in haiti, africa, india, guatemala, the philippines, swaziland, indonesia, honduras and the dominican. They provided support to pay school fees and additional support to needy families of children in the church or school. The organization paid medical expenses for haitian children who were born with life-threatening birth defects, and paid additional financial support for humanitarian relief in the dr congo africa. Travel expense for work teams to haiti and africa was also paid by the organization.	
Maine Leadership Institute	http://		EIN 01-0348888	29 Mary Ln	Cumb Foreside	ME	04110	USA							
Maine Island Trail Association	http://www.mita.org	(207) 761-8225	EIN 01-0478709	58 Fore St Ste 30-3	Portland	ME	04101	USA	Environment, Natural Resources Conservation & Protection	The maine island trail association's goal is to establish a model of thoughtful use and volunteer stewardship for the maine islands that will assure their conservation in a natural state while providing an exceptional recreational asset that is maintained and cared for by the people who use it.				Trail management - management of all recreational use of certain islands located off the maine coast.   stewardship over certain islands off the maine coast under various contractual arrangements.   publication of the annual guidebook that is available only to members, as well as an educational newsletter, and education and outreach efforts to the general public.	
JHA Services Inc	http://www.thecedarsportland.org	207.221.7002	EIN 01-0451663	630 Ocean Ave	Portland	ME	04103	USA	Health, Nursing Facilities, Seniors	The Cedars is a community which offers a continuum of outstanding living options for seniors. We promote quality care and service, support wellness and maximize independence. With strong roots in our Jewish heritage, we welcome people of all backgrounds.		646 patients were admitted last year.		Long-term skilled care and rehabilitation services for seniors, and Living Well With Dementia program.	
Acorn Productions	http://	207-854-0065	EIN 01-0519659	PO Box 304	Westbrook	ME	04098	USA	Arts & Culture, Performing Arts Schools	Promoting performing arts					
Curtis Lake Christian Church	http://		EIN 01-6014398	38 Westview Dr	Sanford	ME	04073	USA							
Goodwill Development Corporation	http://	(207) 774-6323	EIN 01-0380519	353 Cumberland Avenue Po Box 8600	Portland	ME	04104	USA	Human Services, Residential Care & Adult Day Programs					The organization provides low income housing for persons with special needs and living requirements.	
Lubec Memorial Library	http://www.lubec.lib.me.us		EIN 01-0284221	55 Water St	Lubec	ME	04652	USA	Education, Libraries						
Duck Pond Wildlife Care Center	http://		EIN 01-0513442	1787 N Belfast Ave	Vassalboro	ME	04989	USA	Animals, Wildlife Preservation & Protection						
Mid-Maine Homeless Shelter Inc	http://www.shelterme.org	(207) 872-8082	EIN 01-0425115	19 Colby St	Waterville	ME	04901	USA	Homeless & Housing, Homeless Shelters	Providing emergency food and shelter to homeless and displaced persons in central maine				Used to provide emergency food and shelter to homeless and displaced persons in central maine.	
Pope Memorial Humane Society Of Knox County	http://www.hskcme.org		EIN 01-0445336	Po Box 1294	Rockland	ME	04841	USA	Animal Protection & Welfare, Animals						
Hospice Volunteers Of Kennebec	http://		EIN 22-2598394	150 Dresden Ave	Gardiner	ME	04345	USA	Hospices, Human Services						
Destination Imagination Inc	http://		EIN 52-1649999	193 Elm St	Bangor	ME	04401	USA							
North Parish Congregational Church	http://		EIN 01-6009348	893 Main St	Sanford	ME	04073	USA							
Friends Of The Many Rivers Program	http://		EIN 01-0452027	23 Orono Rd	Portland	ME	04102	USA							
Wyllaned	http://		EIN 22-3051190	Po Box 63	Norway	ME	04268	USA							
Wells-Ogunquit Music Boosters Association	http://		EIN 01-0477707	200 Sanford Rd	Wells	ME	04090	USA	Education, Student Services						
Sustainable Harvest International	http://www.sustainableharvest.org	(207) 669-8254	EIN 43-2023182	PO Box 1447 (mail) 104 Main Street (office)	Ellsworth	ME	04605	USA	Energy Resources Conservation & Development, Environment, Environmental Education, Food, Forest Conservation	Our mission is to preserve the environment by partnering with families to improve well-being through sustainable farming.	stop slash-and-burn farming and alleviate poverty	over 550 families	Central America	locally-trained extension agents who assist small-scale farmers and communities with the implementation of sustainable land-use practices by providing materials, tools, and knowledge to willing participants. SHI helps plan and implement alternative power projects such as biodigesters and solar-powered water pumps. SHI also aids communities by helping to establish community loan funds and farmer cooperatives.	+Worked with more than 2,543 families +Planted 3.8 million trees, restoring 15,100 acres of forest devastated by slash-and-burn agriculture
Amazon Pueblo	http://www.amazonpueblo.org		EIN 46-0893738	3 Walker Place	Rockland	ME	04841	USA		The mission of the Amazon Pueblo project is to help the indigenous community of La Libertad, Amazonas, Colombia, to enhance their dignity and quality of life.  This will be achieved through the efforts of volunteerism and sustainable socially-conscious business to teach best practices with food, water, energy, and economics.	indigenous communities	20 people in one village	the Colombian Amazon	encouraging sustainable growth by developing socially-conscious business.	
Waldo Community Action Partners	http://www.waldocap.org	(207) 338-6809	EIN 01-6020566	Po Box 130	Belfast	ME	04915	USA	Human Service Organizations, Human Services	To create opportunities for people to improve their quality of life.				Family services - head start - served 182 children in waldo county offering programs for low-income families to participate in the education, health care, social and emotional growth of their children.   transportation - delivering trips within waldo county. Transportation program is a full service provider serving residents of waldo county communities. Wctp provides non-emergency public transportation to low-income, elderly and disabled people in waldo county as well as to the general public.   midcoast connector - brokerage for non emergency medical transportation for mainecare eligible residents within region 5.	
Brunswick-Topsham Land Trust Inc	http://www.btlt.org	(207) 729-7694	EIN 22-2714194	56 Maine St	Brunswick	ME	04011	USA	Environment, Farmland Preservation, Food, Land Resources Conservation, Recreation & Sports, Sports	To preserve, protect, and steward the cherished landscapes and rich natural resources of our communities, to provide access for recreation, and to support local agriculture and other traditional land uses, now and for generations to come.				Land conservation - btlt conserves in perpetuity highly valued natural areas, working lands, and shorefront using all the tools of private land conservation. At the end of fy 2015, btlt owned 641. 1 acres outright, and held conservation easements on 1,609. 19 acres, including 35. 2 acres in easement acquired in the past year. These lands include ecologically significant coastal estuaries, wetlands, important plant and wildlife habitat, agricultural fields used for local food production, and small parcels providing green space and public access to rivers and ocean. Landowners donate or sell land or an interest in their land (i. E. Conservation easement) to the trust. The public benefits of this program, available to residents of and visitors to midcoast maine, include: scenic landscapes; outdoor recreation opportunities; local agriculture; habitat and resource protection; flood protection; and water access for fishing and commercial shellfish harvesting.   land stewardship - btlt actively stewards its fee and easement properties to ensure that their conservation values are maintained. Every fee property is managed according to a site-specific management plan and every easement property is monitored annually to ensure the terms of the easement are being upheld. Other stewardship responsibilities include: managing property; defending easements; maintaining 17 miles of trails on properties that provide public access; building new trails; building and maintaining bridges, kiosks, and other amenities; providing appropriate signage; outreach and public education focused on conservation and natural resources. Stewardship activities are carried out on the 641 acres btlt owns outright and the 1,609 acres on which it holds easements.   support for local agriculture - an important part of btlt's mission is support for local agriculture. The trust supports agriculture in the following ways: protecting farm and pasture land for agriculture, including a 321-acre working farm; operating a farmers' market that provides a much-needed retail outlet for 40 local farmers and producers; providing a community garden that makes 80 individual garden plots available to community members and a 6,000 sq. Ft. Common good bed available to a local food bank to raise produce for its clients; and establishing the local farms-local food initiative. This initiative is a partnership between the brunswick-topsham land trust and the kennebec estuary land trust formed to enhance the local food economy, raise awareness of the benefits of local food, and increase farmland conservation in the region. The public benefits of these programs include: increased availability of local food in the region; increased outlets for local farmers to sell their produce; increased viability of local agriculture in our area; community garden plotholders have the ability to raise their own food; the local food bank grew over 2,600 pounds of food for food insecure families.	
Hardy Girls Healthy Women Inc	http://www.hardygirlshealthywomen.org	(207) 861-8131	EIN 01-0538121	PO Box 821 93 Main Street, Suite 308	Waterville	ME	04903	USA	Children & Youth, Civil Rights, Civil Rights, Social Action & Advocacy, Community Improvement & Capacity Building, Girls Clubs, Youth Development	Hardy Girls Healthy Women is a research-based non-profit empowering girls with knowledge, critical thinking skills, and a platform to drive social change.  HGHW takes girls seriously and puts the power in their hands to challenge a society that ignores their brilliance. We dare adult allies to join us in standing with girls. Our vision is girls causing a ruckus.		1,184 girls, 63 community partners		training institute:supporting parents and other adults working with girls by providing workshops, webinars, curricula and guidebooks.   girls rock! weekend - a statewide celebration dedicated to celebrating girls' leadership and accomplishments.   adventure girls - introducing elementary school-aged girls to women in non-traditional careers girls advisory board - leadership development program for high school aged girls girls' coalition groups - empowering adolescent girls to work together to overcome common challenges such as girlfighting, unhealthy relationships and body image	2016 annual numbers:  - partnered with 1,184 girls  - totaling 8,189 hours  - with 63 community partner organizations around the state of Maine and beyond.
East Parish Housing Ministry Inc	http://	(207) 524-3003	EIN 04-3218708	2014 Industry Rd	Starks	ME	04911	USA	Human Service Organizations, Human Services	Housing rehabilitation for the low income elderly and the disabled.				Housing rehabilitation for the low income elderly and the disabled.	
Jha Properties Inc	http://www.thecedarsportland.org	(207) 772-5456	EIN 01-0510768	630 Ocean Ave	Portland	ME	04103	USA	Homeless & Housing, Senior Citizens Housing & Retirement Communities, Seniors	Retirement community for the elderly (inactive as of may 1, 2014)				Retirement community for the elderly (inactive as of may 1, 2014)	
Kno-Wal-Lin Help At Home Inc	http://www.penbayhealthcare.org	(207) 921-6747	EIN 22-2968726	4 White St	Rockland	ME	04841	USA		Help at home is dedicated to helping people remain comfortable and safe in their homes. It's the helping hand when you need it, where you need it throughout knox, waldo and lincoln counties.				Help at home is a not-for-profit, state licensed, private duty program serving mid-coast maine. The program offers care up to 24 hours per day, or a range of care from a few hours per day, per week or month to best match the requested private duty needs. Help at home brings assistance with daily activities including private duty nursing, personal care, homemaking & laundry services, errands and scheduled transportation, light cleaning & chores, companionship, pet care and many other household duties. During the year, 36,348 hours of care were provided to 110 clients.	
Art Play Inc	http://		EIN 01-0374483	Po Box 6735	Portland	ME	04103	USA							
Sanford Springvale Youth Athletic Association	http://www.ssyaakids.org	(207) 490-2027	EIN 22-3141142	Po Box 802	Springvale	ME	04083	USA	Children & Youth, Youth Centers & Clubs	Provides youth athletic programs in sanford-springvale, maine. Includes football, cheerleading, basketball, field hockey, lacrosse and wrestling.				Provides youth athletic programs in sanford-springvale, maine. Includes football, cheerleading, basketball, field hockey, lacrosse and wrestling.	
Free Christian Society	http://		EIN 23-7119588	5 Fletcher Rd	Anson	ME	04911	USA							
Matawi Inc	http://www.matawi.org		EIN 26-4252281	PO Box 1119	Lewiston	ME	04243	USA	Adult Education, Education, International, Promotion of International Understanding, Scholarships, Scholarships & Student Financial Aid	Matawi supports education, civic engagement, and leadership development in the global refugee community.  Through a range of programs and initiatives, we seek to responsively identify and nurture strengths, skills, and potential for growth across the diaspora.  With an awareness that refugee needs and contexts are in constant flux, we currently emphasize facilitation of access to higher education for young women; the gathering and sharing of life-stories; and cultural brokering between resettling populations and local community agencies.			Dadaab, Kenya and South-Central Maine		
Healthy Kids A Family Resource Network	http://	(207) 563-1818	EIN 01-0451523	Po Box 689	Damariscotta	ME	04543	USA	Child Abuse Prevention, Crime & Law, Domestic Violence	Healthy kids is a community based family resource network, offering support and educational outreach to families throughout lincoln county. Since 1985, healthy kids has worked to enhance and improve the lives of children and parents, providing a wide variety of programs, including lincoln county healthy families and parents as teachers.				Publishes and distributes quarterly newsletter, provides in service training for educators about identifying and handling disclosures of child abuse.	
Portland Museum Of Art	http://www.portlandmuseum.org	(207) 775-6148	EIN 01-0378420	7 Congress Sq	Portland	ME	04101	USA	Art Museums, Arts & Culture	The portland museum of art (pma) strives to enrich the lives of people through acquisition, preservation, and interpretation of the visual arts and the museum's architecturally significant buildings.				Educational programs: create outstanding educational programs and collection-based activities to inspire and enrich the lives of diverse audiences and serve as a vital cultural center for the city and region (46,146 participants in 2014).   exhibitions and collections: originate outstanding exhibitions from pma's permanent collection and through borrowed works of art. Present traveling exhibitions that support and extend pma's mission. Preserve, document, and interpret eighteen-thousand objects in the collection and five architectural landmarks (132,886 visitors in 2014).   collection items purchased: 9 works of art were purchased for pma's collections in 2014, providing new opportunities for visitors and the community to experience original work.	
Waldoboro Public Library	http://www.waldoborolibrary.org	(207) 832-4484	EIN 01-0329748	Po Box 768	Waldoboro	ME	04572	USA		Operation of public library				Operation of waldoboro public library	
Birth Roots Inc	http://www.ourbirthroots.org	(207) 772-4784	EIN 20-1803650	101 State St	Portland	ME	04101	USA	Family Planning, Health, Public Health, Reproductive Rights, Unknown	Birth Roots removes the obstacles to perinatal health by providing a continuity of community support, education and resources, before, during and after the birth of a child. Birth Rootss unique and innovative programs reduce perinatal isolation and provide access to a support network thus helping to alleviate two of the most preventable causes of postpartum depression.	newly pregnant, almost due, new parents in Southern Maine	500 families	Southern Maine	Prenatal classes & groups, Postnatal classes & groups, Doula Training, Doula Teas, Perinatal Resource Guide	
Clyde Bailey Drop In Center Inc	http://		EIN 04-3373628	1331 Roosevelt Trail	Raymond	ME	04071	USA	Community Service Clubs, Health, Health Care, Mental Health, Public & Societal Benefit, Substance Abuse Prevention	To provide a place were recovering alcoholics can participate in educational meetings and social activities in an alcohol free environment.					
