name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Target demographics	Geographic areas served	Programs	Results	Direct beneficiaries per year
Warren County Historical Society	http://www.wchsmuseum.org	513-932-1817	EIN 31-6055607	105 S Broadway	Lebanon	OH	45036	USA	Art Museums, Arts & Culture, Historical Organizations, History Museums	Our Mission is to serve the regional and national community by safekeeping the rich and varied history of our little part of the world. And by doing so give all who come in contact with us the opportunity to know the people and events that that formed this remarkable community.	preserve and present the heritage of Ohio	Southwestern Ohio between Dayton and Cincinnati	Museum exhibits, library and genealogical information upkeep, maintenance and restoration. Costs also include museum occupancy expenses, supplies, insurance and other operational expenses. Revenues include admissions, tours, camps, re-enactments, educational programs.   the historical society hosts two antique shows per year to display and educate about historic craftsmanship. Costs include rent, advertising, security and labor  the historical society hosts a quilt show each year to display and educate about historic craftsmanship. Costs include rent, advertising, security and labor.		
Ohio Environmental Council	http://www.theOEC.org	614-487-7506	EIN 31-0805578	1145 Chesapeake Ave Suite I	Columbus	OH	43212	USA	Environment, Water, Water Resources, Wetlands Conservation & Management	The mission of the Ohio Environmental Council is to secure healthy air, land, and water for all who call Ohio home.		Ohio	Program priorities include: --Safeguard Lake Erie and the drinking water supply of over 3 million Ohioans.--Improve air quality by reducing pollution from power plants and dirty diesel buses.--Protect wetlands through our Vernal Pool Monitoring Program and advocating for more protective state wetland rules.--Train watershed groups on technical aspects of the Clean Water Act and fundraising techniques to enhance local river protection efforts.  --Reform Ohio's landfill laws to better protect communities and the environment.  --Promote sustainable agriculture and fight air and water pollution from factory farms.		
GREATER ALLIANCE FOUNDATION INC	http://www.greateralliancefoundation.org	330-823-8560	EIN 34-1873212	960 W State Street, Suite 130	Alliance	OH	44601	USA	Philanthropy, Public Foundations	To provide for individuals and other entities interested in the quality of life in the Alliance area, and the opportunity to direct their giving toward identifiable and worthy needs that sometimes go unmet by the established charitable resources.	worthy needs	the greater Alliance community	new fuel technology for the Alliance Police Department, playground equipment for the First Baptist Child Care Program, the high tech "Sim Man" to train practical nursing students at the R. T. White School of Nursing, a grand new facility for the Stuckey Family Interfaith Child Development Center and literacy projects such as One Book-One Community and Authors @ 215.  Career Centre computer updates along with scholarships for youth and adult education are of interest to our foundation along with our efforts toward teaching 2nd graders to swim and our grants towards the arts to Carnation City Players, the Canton Symphony Orchestra and the Alliance City Schools for musical instruments.		
1eighty Ministries	http://www.1eighty.org	800-263-2574	EIN 27-0365801	2234 Utica Road	Lebanon	OH	45036	USA	Christianity, Congregate Meals, Family Services, Food, Mental Health, Mental Health & Crisis Intervention, Religion	The vision of 1eighty Ministries is to help people locally who are "down and out" make a 180 degree turn in their lives and get back on track.  We recognize that through the recent global financial crisis, many individuals and families have been severely hurt both personally and financially.  Many people cannot even provide their most basic needs, including food, clothing, and shelter.  1eighty Ministries is a beacon of hope for people helping them with these basic needs, as well as their spiritual well being.  We are here to throw life lines, and we ask nothing in return.  We plant the seed, water it, and watch God make it grow!  "If anyone has material possessions and sees his brother in need but has no pity on him, how can the love of God be in him? Dear children, let us not love with words or tongue but with actions and in truth."  1 John 3:17-18  1eighty Ministries is a non-profit organization.  We are run by a group of independent business men and pastors who simply have a heart to show the love of Jesus to those in need.  Monetary donations given to 1eighty Ministries are used to assist people in feeding, nutrition, clothing, furniture, and other basic needs.  Staff members primarily raise their own support, so you can be sure that any donation from you will be used for the direct benefit of people whom it is intended.		Warren County, Ohio	We fed approximately 100 people every wednesday and thursday night in 2012. We also provided 10,000+ articles of clothing, hygienic items, and household items to needy people.		
Liberty Bible Academy Association Inc	http://		EIN 31-1056220	4900 Old Irwin Simpson Rd	Mason	OH	45040	USA	Education, Primary & Elementary Schools						
American Legion Department Of Ohio Inc	http://www.ohiolegion.com	(740) 362-7478	EIN 31-4115640	60 Big Run Rd	Delaware	OH	43015	USA		Serves veterans by providing benefits, employment and child welfare programs. Also works to improve communities through service, athletics and education.			Rehabilitation and service: yearly processes over $40 million in claims for veterans' benefits for any veteran or veteran's spouse or dependents. Also provides employment & child welfare programs.   special reserve - gifts for yanks: provides numerous items to veterans administration care facilities (not provided in their federally funded budgets) for the improvement of care for hospitalized veterans in ohio.   sons of american legion and lifetime membership which promote veterans interests and extend involvement to a broader range of individuals in the community.		
Graceworks Lutheran Services	http://www.graceworks.org	(937) 436-6885	EIN 31-0540159	6430 Inner Mission Way	Dayton	OH	45459	USA	Human Service Organizations, Human Services	In response to jesus christ, graceworks lutheran services helps people experience dignity and wholeness in relationship with god, family and community.			Bethany village: bethany village provided health and residential services to more than 700 older adults who live at bethany village (bethany), a state-of-the-art continuing care retirement community that includes a chronic and sub-acute healthcare facility (linden house), a memory support unit (courtyard park), an assisted living facility (pavilion and arbor) and residential living residences (vista place, homestead, park ridge place, cottages and villas), all on 100 acres. Bethany provided short-term, goal-oriented therapy and nursing care to more than 650 people at the bethany rehabilitation center. Over sixty-nine percent of the people served returned to their previous homes after recovery. Bethany provided over $4. 1 million in uncompensated charitable care during the period. All residents, regardless of ability to pay, receive private rooms and holistic care that provides for their physical, social, psychological, emotional and spiritual needs. Volunteer services provided opportunities for 224 volunteers to faithfully care for the needs of those whom we serve through 33,553 hours of services at bethany village.   community care: consumer credit counseling service (cccs) helped 1,519 people experience one-on-one financial counseling and helped 371 clients manage their debts through the cccs debt management program. Another 1,271 individuals learned about available services through outreach presentations. An additional 142 individuals benefited from financial literacy workshops. The preble county emergency assistance program provided food, clothing and financial assistance for shelter, utilities and medications to 7,516 individuals. Thousands more received affordable clothing and household items at the once around thrift shop in eaton. The once around shop achieved $74,668 in sales revenue through 10,845 customer transactions. Senior companion program provided fulfilling opportunities for 47 income-eligible older adults to provide 36,098 hours of faithful service through friendly visits and respite care to 131 older persons who were able to maintain independence in their own homes. Community care provided $540,423 in uncompensated charitable services during the period to people who needed counseling and to people with limited resources.		
Dairy Barn, Inc. Southeastern Ohio Cultural Arts Center	http://www.dairybarn.org	740-592-4981	EIN 31-0945939	PO Box 747 8000 Dairy Ln	Athens	OH	45701	USA	Art Museums, Arts & Culture, Arts Education	The Dairy Barn was founded as a community arts center in 1979 after a group of residents saved the old dairy barn (formerly part of the Athens Asylum for the Insane) from demolition. The Dairy Barn Southeastern Ohio Cultural Arts Center has since grown into a first-class arts center and gallery, with a 12-month calendar of exhibitions, classes and special events. The Dairy Barn is home of the internationally renowned Quilt National and Bead International exhibitions.		Southeastern Ohio and surrounding counties	Promotion of cultural arts through on-site events, educational out-		
Ken Heart Foundation	http://www.kenheart.org	(440) 466-0417	EIN 34-1935921	Po Box 237	Geneva	OH	44041	USA	Children & Youth, Education, Educational Services, Health, Health Support, Public & Societal Benefit, Youth Development	To make parents, students, school boards and state officials aware of the risks of undetected heart defects which can cause injury or death while playing sports and to change regulations that are in place to make it safer for school athletics.			To make parents, students, school boards and state officials aware of the risks of undetected heart defects which can cause injury or death while playing sports and to change regulations that are in place to make it safer for school athletics.		
CLEVELAND TENANT ORGANIZATION	http://www.clevelandtenants.org	(216)432-0617	EIN 34-1166896	3631 Perkins Ave Ste 3A-4	Cleveland	OH	44114	USA	Homeless & Housing, Homeowners & Tenants Associations	To preserve and expand the supply of safe, decent, fair, accessible and affordable rental housing in Northeast Ohio.		Cuyahoga County	Rental Information Center - Provides information on rights, responsibilities and remedies to tenants and landlords.Eviction Diversion program - Provides information and referral services to tenants facing eviction.Tenant Advocacy and Organizing - Provides organizing assistance to tenants in multifamily housing and around specific tenant defined issues.	CTO annually works with over 20,000 tenants and landlords through our programs.  In 2009, we were the recipient of the Anisfield-Wolf Memorial Award, largely considered the highest accolade that a local non-profit organization can receive.	
Restoration Automotive Inc.	http://www.restorationauto.org.		EIN 26-1902356	6153 Enterprise Pky	Grove City	OH	43123	USA	Children & Youth, Youth Development Programs	Provide auto repair to people in need	families with their transportion needs.		Full service automotive repair services at significantly reduced cost. Vehicle placement services.		
St Rita School for The Deaf	http://www.srsdeaf.org	513-771-7600	EIN 31-0537509	1720 Glendale Milford Rd	Cincinnati	OH	45215	USA	Education, Parent & Teacher Groups, Special Education	St. Rita School for the Deaf is a Catholic school whose purpose is to educate infants and students who need special methods of communication in a safe, value-oriented environment.	children 6 weeks to 12th grade who have a hearing loss or are hearing and have communication needs such as apraxia	the Greater Cincinnati area	LOFT Language Opportunities for Tots  The LOFT program is designed to meet the developmental needs of young children, hearing and deaf, from birth to 5 years old.  It strives to provide experiences that enrich and enhance each childs language, cognitive, social, emotional, physical, and creative development.  Staff provide care that is warm, supportive, nurturing, and responsive to each childs needs.  Within LOFTs daily schedule, each child will be exposed to opportunities to create, explore, and influence their environment, with an emphasis on developing communication and problem solving skills.  A balance of child-centered and adult-modeled activities promote interpersonal interaction and provide opportunities to develop a positive self-concept.    LOFTs preschool program is built upon the Montessori philosophy and led by a Montessori trained and certified teacher.  Large open spaces and low teacher-child ratios create an environment that is conducive to every childs growth and development.  Following the Early Learning Content Standards, children leaving preschool and entering Kindergarten will be prepared and ready to learn.   Learning Gardens  St. Rita School for the Deaf has a unique Learning Gardens program, providing hands-on learning experiences that support state standards for Math, Science, and English.  The gardens and greenhouse help nurture the wonderment of nature, create respect for all living things, and inspire students to work cooperatively with one another and their community.  Through their work in the gardens, students are reminded that there is a myriad of exciting discoveries to be made in the natural world, and that they dont have to travel someplace exotic to experience thrill.  The Learning Gardens provide the perfect backdrop for students to learn about propagation, landscaping, soil, preparation, composting, and pest control.  In a totally organic environment, students of all ages are learning how to grow foods naturally, not only for the health of the earth but for the health of their own bodies.    Literacy  We believe the best way to educate deaf and hard of hearing children and hearing children with language or communication disorders is through Comprehensive Communication.  This philosophy offers a child every available stimulus for human interaction, including ASL, PSE, assistive listening devices, visual aids, and technology.    All staff and teachers communicate in a way with each child to help him/her develop their language and build reading and writing skills.    A full-time Literacy Coordinator works closely with teachers and speech therapists to ensure that each student stays on track with his or her reading and writing goals.  St. Rita School for the Deaf is currently using Literacy comprised of a Nine Piece Program which includes: Reading to Students, Language Experience, Independent Reading, Dialogue Journals, Guided Reading and Writing, Shared Reading and Writing, Writing Workshop, and Research Reading and Writing.  It also includes Montessori methods as well to help children identify parts of speech and sentence structure.   Socialization  Growing and learning socially, outside of the classroom, is an important aspect of education at St. Rita School for the Deaf.  With a thriving After School Activities Program, St. Rita School students have unique opportunities to communicate with their peers in a more casual setting.  There are clubs, classes, and team sports for different age groups, with new activities available each semester.  These social programs are not limited to St. Rita School students, but are open to all mainstreamed students as well.  These programs serve as a creative outlet for self-expression, teamwork, and building self-esteem.  Technology  Technology plays a crucial role in developing communication and language with the students at St. Rita School for the Deaf.    Children who wear haring aids and cochlear implants can benefit from the Phonak FM System.  The FM System amplifies the teachers voice to help children recognize speech sounds and focus on what matters most, learning.  Classrooms are equipped with technology that includes Interwrite Boards, computers, and video phones, and TVs.    Interwrite Boards become an extension of the computer, offering students a chance to stand in front of the class and use digital markers to write, drag, and tap their way through educational lessons that are fun.  Using the virtual marker, students can drag words to their corresponding pictures and watch the image come to life through simple animation.  These interactive exercises assist St. Ritas students of all ages form connections between ASL (American Sign Language) and written English.  The school continues to see an increase in Reading and Math scores while using the Interwrite Boards.  Video phones provide a visual tool for communicating with one another.  Students can see the facial expressions of the other person to provide a clear communication of the concepts and ideas being portrayed.  WSRS News is broadcasted live from the TV studio to all classrooms everyday to for morning announcements, The Pledge of Allegiance, and a thought for the day.  Vocabulary words are introduced as well to help the child continue to develop their language.  Sign n Say  www.apraxiaeducation.org  St. Rita School for the Deafs Sign n Say Program uses sign language to give students with childhood apraxia of speech another way to communicate, building a language base to allow children to progress in their academic education while they develop the speech skills needed to communicate verbally.  Small class sizes allow each student with apraxia to receive individual attention they need to overcome their motor and sensory challenges associated with Apraxia.  These components are combined Sign n Say adaptation of curriculum and teaching techniques to create an environment where children can succeed both academically and socially.    A support group allows parents of apraxic children to get together once a month and compare notes on how they are dealing with the special needs of their child.  The group is open to parents of students not enrolled in the Sign n Say program as well.      Voc 2 A program for high school students who are deaf with other multiple needs and their learning and language level are far below their age.  The students are not college bound students but have the potential to be productive members of society after they leave St. Rita School for the Deaf.  The Voc 2 program teaches functional academics through the community and life skills.  Students participate in an array of programs including the Special Olympics and community work sites.  A Work Study Coordinator, works closely with the students teaching them job training skills.  She also works closely with community businesses that are willing to help train students in various jobs.  Currently, CiCis Pizza in Tri-County, LaRosas in Tri-County, and Sharon Hill Day Care are embracing our students and teaching them various job training skills to help them become productive members of society.    Part of the curriculum for the students is to have specials for the kids which include physical education, art, and for some of the students-yoga.	More than 90% of students enrolled into the LOFT program are prepared for Kindergarten.	182
Village Improvement Project Incorporated	http://		EIN 47-1515667	374 Howland Dr	Gahanna	OH	43230	USA	Economic Development, Microfinance, Rural Economic Development						
Djs Hope 4 Hearts Foundation	http://www.djshope.com		EIN 45-4440957	37899 lakeshore	Eastlake	OH	44095	USA			Children & their families during sick times	USA	giving hospitalized children gifts, families financial help with parking, lodging, food, daycare, transportation, funeral assistance		Local heart transplant children
Siffrin Inc	http://www.siffrin.org	(330) 478-0263	EIN 34-1193822	3688 Dressler Rd Nw	Canton	OH	44718	USA	Developmentally Disabled Centers, Disabilities, Group Homes, Human Service Organizations	To support people with disabilities to achieve full community access leading to a meaningful and productive life, by encouraging and assisting personal choice and goals of each individual.			Siffrin provides services such as employment, fiscal assistance, residential, and community support to approximately 272 persons with mental retardation and developmental disabilities.		
Iglesia Cristiana De Avivamiento Uncion Poder Y Fuego Inc.	http://		EIN 45-5508979	3338 Fulton Ave	Cleveland	OH	44109	USA							
Malachi House Inc	http://www.malachihouse.org	(216) 621-8831	EIN 34-1598707	2810 Clinton Ave	Cleveland	OH	44113	USA	Human Service Organizations, Human Services	To provide end of life quality care to needy recipients			Malachi house served 103 residents during the fiscal year. Funding provided by contributions from the general public allowed malachi house to accept all qualified recipients who applied for assistance.		
Dayton History	http://www.daytonhistory.org	(937) 293-2841	EIN 31-6037490	1000 Carillon Blvd	Dayton	OH	45409	USA	Arts & Culture, History Museums	Dayton history's purpose is to promote and disseminate historical knowledge of dayton and montgomery county, ohio and the surrounding miami valley region, to collect and preserve historical materials, to restore and maintain local historical buildings and sites and to provide quality educational experiences for the entire community.			Educational services: guided tours, heritage dining, annual heritage festival, summer educational camps, historical reenactments  museum services: collections, artifacts and exhibit maintenance and preservation of buildings which house historical artifacts  development and marketing: admissions, special park events, event rentals, membership development		
Hearts For A Safe Harbor	http://heartsforasafeharbor.com		EIN 72-1588484	PO Box 280	Canfield	OH	44406	USA	Children & Youth, Health, Health Care, International, International Development, International Relief, Youth Development Programs	Hearts for a Safe Harbor, founded in 2004, is currently raising funds to construct Safe Harbor House in Gulu, Unganda to fulfill the many needs of the youth and the people of the community.  These needs include; traumatic counseling for youth due to 21 of years of war and children being forced into armed conflict at the age of 7 or 8, counseling for the adults of the community who have lost their children to war, suicide, alcohol, and drug prevention, and skill training. Safe Harbor House will serve as a place of peace and healing for the community and all will be welcome.					
Habitat for Humanity International Inc	http://		EIN 02-0566901	7600 Fulton Dr Nw	Massillon	OH	44646	USA	Homeless & Housing, Housing Development, Construction & Management						
Forget Me Not Animal Rescue Inc.	http://forgetmenotanimalrescue.weebly.com/		EIN 45-4196515	PO Box 360573	Strongsville	OH	44136	USA	Animal Protection & Welfare, Animals	It is our mission to protect and improve the lives of abused, abandoned, and homeless animals. We work tirelessly to save and rehabilitate both physically and mentally abused animals. Every animal is given as much time and care as needed; as euthanasia is not an option. We strive to help and educate the public on the importance of pet sterilization, responsible pet ownership, and the humane treatment of all these wonderful animals. We are a foster based rescue, which means we do not have a physical location.	protect and improve the lives of abused, abandoned, and homeless animals. We work tirelessly to save and rehabilitate both physically and mentally abused animals. Every animal is given as much time and care as needed; as euthanasia is not an option.	Cleveland, OH	educating the public on the importance of pet sterilization, responsible pet ownership, and the humane treatment of all these wonderful animals. Rescuing from abusive situations and high kill shelters.	This year we continue to pull many dogs and cats in need of medical help.  To date we have helped heartworm positive dogs, dogs with patella and septic joint issues, 2 dogs beaten so badly they have neurological damage but strong spirits and a cat who almost died in labor with a pro lapsed uterus.  She and her kittens survived. Our journey continues but we need your help!	50 animals find forever homes
Family Promise of Lorain County Inc	http://	(440) 284-0494	EIN 20-5804251	PO Box 179	Elyria	OH	44036	USA	Homeless & Housing, Homeless Centers	Emergency shelter services			Comprehensive emergency shelter services to homeless families including meals, shelter, case management and support		
Amethyst	http://www.amethyst-inc.org	614/242-1284	EIN 31-1092242	455 East Mound Street	Columbus	OH	43215	USA	Mental Health, Substance Abuse Treatment	Amethyst fosters a culture of recovery, empowering women and families in a safe, sober community.			Amethyst provides gender-specific alcohol and drug treatment combined with supportive housing for homeless women.  At Amethyst, our program model focuses on addiction and emphasizes the roles that poverty and trauma play in perpetuating drug and alcohol use in women. Our nationally recognized programs include:  Rapid Stabilization Program (RSVP) Permanent Supportive Housing S.T.A.R Outpatient Program Supported Employment Trauma Services Integrated Tobacco Program SummerQuest Program Admissions		
Cystic Fibrosis Foundation	http://		EIN 31-0708677	4420 Carver Woods Dr	Blue Ash	OH	45242	USA							
Cat Fanciers Association Inc	http://www.cfa.org	(330) 680-4070	EIN 21-0700441	260 E Main St	Alliance	OH	44601	USA		The cat fanciers' association, inc. Is the world's largest registry of pedigreed cats. It promotes the welfare of cats and the improvement of their breed, promulgates rules for, and management of, cat shows, licenses cat shows and promotes the interest of breeders and exhibitors of cats.			Events and shows: the organization provided a forum for cat owners, breeders, exhibitors, and the general public to learn about issues related to medical and scientific advancements in the care and breeding of cats and provided a venue for competition and excellence in cat care and breeding.   the organization provides registration and recording of pedigrees of cats, litters, cattery names, ownership transfers, confirmations, certification of cattery inspections, licensing of cat shows, and recording of awards.   the organization published a 500+ page cfa yearbook, a printed magazine, videos, books, and educational brochures. All pubications are of interest to cat show ehibitors, cat breeders and cat owners. Articles cover general cat care, breeding information, and cat show information. The organization maintained a website, an on-line magazine, and an on-line almanac. The website contains a plethora of information regarding cats that is of interest to cat owners. The on-line almanac is geared toward breeders and exhibitors.   to preserve and promote the pedigreed breeds of cats and to enhance the well-being of all cats.		
Humane Society Of Greater Dayton	http://www.humanesocietydayton.org	(937) 268-7387	EIN 31-0537073	1661 Nicholas Rd	Dayton	OH	45417	USA	Animal Protection & Welfare, Animals	Building loving relationships between people and pets.			Animal care and placement--operation of facilities to house and care for unwanted pets until they can be placed in the care of qualified persons. 2,188 animals were adopted into homes in 2014.   operation of animal clinic--maintain facilities to neuter and spay animals and to treat sick animals that are brought to the humane society. 3,891 animals were spayed or neutered in 2014.   education--conduct programs to teach individuals the proper care of pets.		
New Heights Educational Group	http://www.NewHeightsEducation.org	4197860247	EIN 26-1424214	14735 Power Dam Road	Defiance	OH	43512	USA	Education, Educational Services	The New Heights Educational Group, Inc. promotes literacy for children and adults by offering a range of educational support services. Such services include: assisting families in the selection of schools; organization of educational activities; and acquisition of materials.   We promote a healthy learning environment and enrichment programs for families of preschool and school-age children, including children with special needs.		Ohio, and anyone that comes to us for services	Resources and Literacy		An adult, who graduated from area public schools but couldnt read, learn to read through our program 	A young man, who was given up on by public schools and told that he would only work at McDonalds, go from a 2.0 GPA to 3.9 GPA in 4years 	A young girl who had problems in math jump 2 years in one year time There are many more stories...	
Cincinnati Tradition	http://		EIN 31-1181294	5664 Desertgold Dr	Cincinnati	OH	45247	USA							
Another Chance Equine Rescue	http://		EIN 74-3197277	17332 Avon Belden Rd	Grafton	OH	44044	USA	Animal Protection & Welfare, Animals	Rescuing equines and rehabilitation			Rescued equines from slaughter house and meat buyers and rehabilitated equines adopted out to new homes in 2014 equals more than 6		
United Brachial Plexus Network	http://		EIN 74-2936388	1610 Kent St	Kent	OH	44240	USA	Health, Health Care						
Angels For Kids Foundation	http://www.angelsforkidsfoundation.com	440-225-0554	EIN 26-4363948	799 North Court Street Suite 13	Medina	OH	44281	USA		To help as many children as we can during their time of need.	homeless and underprivileged children	Lorain, Cuyahoga, Medina, Trumbull and Mahoning Counties in Ohio			Hundreds
New Directions Career Center	http://www.newdirectionscc.org	(614) 849-0028	EIN 31-1130384	199 E. Rich Street	Columbus	OH	43215	USA	Centers to Support the Independence of Specific Populations, Human Services	At its inception in 1980, New Directions Career Center was the only organization dedicated to career development for women in central Ohio.  We are change partners, encouraging indviduals to change their lives.  We endorse and support efforts toward self-sufficiency, paid employment, and increased independence.  Skills gained here are useful at work and home.  We empower clients to knock down barriers to employment, face challenges to job retention and open doors to career advancement.  We walk our clients, from wherever they are to where they want to go.    In our 30 years of experience we have touched over 60,000 lives, including multi-generational families.  Our programs build capacity to be resilient in the face of the changing job market.  Lives get changed here.  Our programs are overseen by licensed counselors and career development experts.  Our cornerstone program is called, "New Directions", a four week program for women in transition designed to reduce barriers to satisfying, long-term employment and to guide clients in development of a career plan.  Additional group programs exist  which focus on everything from resume writing and job search strategies to networking and career change or advancement - and more.    Graduates of our program may access Career Placement  and Individual Career Counseling  Services.  We also offer monthly workshops which address a variety of topics including financial literacy, communication skills and life-long learning.     We are a relationship-based organization.  In any given year, we may have 250 or more volunteers providing over 2,000 hours of service in roles, such as:  program faculty, guest speakers, committee members, board members, fund-raisers, event planners, office workers, etc.  To ensure that we execute the best programs and services for our clients, the Center has been board-governed since its inception.  Our board of community partners and business professionals is diverse by race, gender, religious and ethnic background, sector representation and skill sets.  New Directions Career Center is a not-for-profit, 501(c)(3) organization with a diverse funding base.  We assist individuals regardless of their ability to pay.		New Directions Career Center serves the central Ohio region and beyond.  This includes Franklin County as well as its contiguous counties.			
WOMEN ENTREPRENEURS OF AMERICA INC	http://www.weainc.webs.com	888-871-3566	EIN 05-0559274	16781 Chagrin Blvd	Shaker Hts	OH	44120	USA	Business & Industry	To assist small business concerns owned and controlled by women.  To provide tools and resources to support their entrepreneurial growth in business.	disadvantaged women in need of support in starting and growing a business.	Cleveland, Ohio and Global Chapters throughout the United States	programs such as workshops on setting up a business, marketing and advertising, legal consultations, events thats geared toward showcasing small businesses, annual conferences and expos to assist with connecting more entrepreneurs.	Women Entrepreneurs of America has raised the bar by setting aspirational goals for the proportion of women in leadership roles, insisting on diverse slates of candidates for senior positions, and developing mentoring and training programs.  Hundreds of disadvantaged women has gone from startup to approximately 5 years into their business through the assistance of our organization.	600+ women startups
Bistro Group Family Charity Tr	http://		EIN 30-0181789	5803 Mariemont Ave	Cincinnati	OH	45227	USA	Voluntary Employees Beneficiary Associations (Non-Government)						
Tri State Cart Inc	http://www.TriStateCART.com		EIN 20-5488794	3984 State Route 132	Batavia	OH	45103	USA	Animal Protection & Welfare, Animals	Search, rescue, shelter and care of animals impacted resulting from a declared emergency or disaster.  Also to educate the public in disaster prepareness, and train volunteers to safely become responders.					
Community Resource Center Inc	http://www.resourceweb.org	513-554-4944	EIN 31-1364553	3610 Park 42 Dr	Cincinnati	OH	45241	USA	Human Services	Building Stronger Nonprofits	Nonprofits become stronger	13 counties in the Greater Cincinnati area	furniture, supplies, seminars and other support services		over 250 local charities
